# seed=33
# instance=UNFAIR
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5743,0.8519,0.9250,-0.1632,0.2429,"19 7 21 2 32 32 11 32 17 41 18 1 32 18 20 5 5 4 8 15 36 34 42 26 7 27 4 8 39 26 35 4 40 34 6 41 27 26 35 10 32 30 20 1 32 31 41 30 0 7 39 40 19 34 8 25 17 18 17 39 35 18 10 41 42 38 21 30 5 31 32 16 8 29 12 15 16 2 11 31 2 23 5 42 34 2 7 2 10 7 20 1 22 39 35 17 9 36 19 19 23 19 42 21 4 39 15 34 1 25 31 37 5 22 41 30 3 3 38 35 20 0 29 28 28 15 1 29 12 20 18 28 27 11 42 39 21 11 42 3 38 31 5 19 28 27 42 24 1 28 29 24 1 6 34 24 21 10 13 36 19 35 30 30 7 18 5 38 16 32 17 14 16 2 18 14 35 14 21 35 40 26 12 1 28 17 28 27 35 34 41 8 41 24 23 27 12 19 28 35 0 29 42 7 42 27 30 7 19 8 27 17 0 40 0 17 34 23 20 9 17 42 23 30 27 7 12 20 38 41 31 16 26 33 3 4 17 0 1 34 8 36 32 24 30 3 39 0 0 41 2 24 13 34 30 28 19 0 9 0 41 10 41 8 2 34 22 31 33 29 36 9 35 40 13 20 1 1 13 26 31 17 26 12 21 33 21 29 18 2 21 0 1 7 39 0 23 18 20 11 35 36 17 16 4 19 13 23 27 37 40 6 5 8 21 6 24 34 10 24 38 39 38 40 23 11 4 25 42 1 36 21 5 2 33 1 14 27 33 19 11 15 2 22 29 22 10 11 40 18 6 1 9 29 11 35 21 41 27 38 22 34 18 18 38 30 2 42 4 42 18 28 4 30 15 14 41 1 24 37 32 22 3 35 25 30 32 5 25 27 15 31 18 14 13 26 34 23 24 4 4 35 16 22 39 2 14 8 8 40 12 31 38 32 38 37 32 0 10 38 29 32 5 3 11 9 5 11 42 38 27 36 13 3 1 30 27 7 39 2 17 21 14 9 6 30 27 29 6 5 22 35 2 0 33 0 33 15 23 1 22 8 1 13 24 25 22 18 16 32 14 5 28 24 7 22 14 26 22 25 29 34 12 35 10 17 33 24 40 10 37 38 14 25 24 5 30 28 10 2"
1,2,-0.7715,0.9545,0.6103,-0.2182,0.2060,"25 25 26 2 12 25 2 27 2 10 26 25 12 7 25 25 2 25 25 2 8 25 25 2 2 2 25 2 25 2 2 25 2 2 25 25 25 9 25 25 25 25 26 2 8 25 8 12 26 2 2 25 25 2 26 25 8 2 25 25 25 7 27 26 2 27 25 11 25 2 26 8 8 25 25 25 25 8 25 26 2 11 2 25 11 25 2 26 7 11 25 25 7 9 25 2 2 2 8 25 1 4 41 41 6 5 6 2 4 41 4 2 6 6 4 5 41 41 4 39 39 41 41 41 2 2 41 5 5 41 39 2 41 0 4 13 2 2 5 39 4 41 39 38 41 41 41 5 41 0 13 4 6 41 41 37 13 2 41 2 41 6 37 39 41 39 6 2 5 25 6 5 41 39 39 41 39 6 37 21 39 37 5 0 5 41 41 0 19 4 2 37 2 37 39 39 37 37 16 0 2 16 12 2 2 12 12 2 4 2 37 35 12 4 12 2 2 2 16 2 4 2 12 2 6 12 16 2 12 12 2 2 2 34 2 16 2 35 16 12 2 12 12 2 2 6 2 37 37 16 5 36 2 2 12 12 12 2 5 2 2 2 2 2 12 37 2 2 5 35 16 12 12 12 2 4 10 2 6 12 36 2 6 12 36 5 4 37 2 2 37 4 12 12 37 35 2 37 12 2 34 42 34 12 16 35 34 36 12 34 34 13 34 42 36 34 34 34 39 34 34 36 34 16 42 34 34 18 42 34 34 11 34 34 33 36 34 12 16 16 34 2 36 34 34 16 35 36 34 35 0 16 42 34 34 9 34 35 42 42 36 16 34 36 39 42 12 34 34 34 34 42 34 38 34 34 34 34 34 34 34 34 34 12 36 36 42 12 34 33 36 23 34 2 35 35 34 41 42 42 27 25 33 31 25 27 25 25 31 32 25 25 26 12 25 25 12 25 26 25 25 33 25 33 26 33 25 25 25 25 23 25 23 25 25 25 25 25 25 23 32 31 25 31 12 26 25 25 12 25 25 25 25 12 25 27 32 31 26 26 12 12 25 12 25 31 25 25 12 25 25 31 27 25 25 25 27 26 27 33 25 26 27 25 31 25 25 25 23 25 27 33 12 26 26 20 25 12 27 25"
2,3,-0.8264,1.0000,0.5786,-0.2627,0.1716,"20 35 12 12 12 22 19 1 12 24 2 42 12 20 20 4 37 12 20 20 13 1 9 7 2 12 12 12 20 20 12 20 12 15 20 12 2 20 24 12 15 19 11 12 20 12 20 1 20 38 20 19 12 9 12 12 19 12 10 12 12 19 19 32 19 12 12 5 42 19 20 37 19 20 21 20 19 19 20 24 20 19 37 12 19 12 19 18 9 20 12 20 12 12 19 12 41 12 12 1 0 25 12 25 12 25 25 5 12 25 25 23 27 9 25 25 23 25 5 25 27 12 25 25 12 25 25 12 26 40 25 33 24 25 25 23 25 12 12 12 26 27 26 24 23 12 25 25 14 1 25 23 25 12 8 25 25 25 25 25 12 32 24 38 30 12 23 25 25 25 24 16 23 25 25 25 25 25 27 23 25 27 40 27 25 25 25 25 30 27 26 26 25 24 2 25 25 25 25 26 9 14 19 19 17 19 15 12 14 15 17 19 12 15 19 42 19 19 17 12 15 19 19 12 7 7 15 19 42 16 15 16 17 8 15 12 31 15 14 17 15 12 12 14 12 16 17 19 19 14 14 17 14 16 14 15 16 7 19 15 15 16 42 16 19 12 17 19 42 15 19 19 17 19 12 16 15 16 19 42 12 19 17 19 42 14 16 17 17 17 19 14 12 19 12 12 42 14 17 7 39 28 39 2 13 28 28 21 28 28 8 34 39 39 28 39 28 39 0 39 28 30 9 28 30 4 28 28 1 28 29 29 28 29 30 28 28 39 28 39 28 39 39 39 39 28 28 28 28 28 28 39 28 39 30 9 30 39 39 28 39 28 28 29 22 39 39 28 28 39 28 39 28 39 29 40 29 28 28 28 39 28 39 39 28 28 39 28 39 16 35 28 39 28 28 28 28 28 39 23 26 41 41 41 25 2 2 39 13 13 27 39 10 41 39 25 39 41 39 41 25 2 3 41 25 39 25 39 41 39 13 0 41 39 39 41 38 39 25 0 39 27 39 0 39 3 0 25 39 41 25 39 41 39 25 39 25 39 26 41 39 25 13 38 41 0 25 39 27 41 25 39 39 41 41 25 25 39 17 39 39 39 39 0 5 39 39 25 41 39 41 39 2 39 39 2 27 41 39 39"
3,4,-0.8353,1.0000,0.5490,-0.2926,0.1735,"12 0 12 9 25 25 25 25 0 0 1 1 25 16 3 26 13 12 38 3 25 25 25 26 25 25 36 3 26 25 25 13 25 39 25 3 27 25 26 25 27 38 27 4 26 0 26 25 3 26 26 25 27 0 25 0 3 0 26 25 25 25 27 3 3 26 25 26 16 25 0 25 25 12 3 13 25 25 27 0 25 25 25 25 27 25 26 12 25 25 25 26 3 3 13 25 35 25 0 26 9 42 2 37 5 2 5 2 2 9 12 11 9 42 10 9 42 13 2 4 2 42 9 2 10 9 9 2 10 2 9 10 11 2 6 2 11 42 10 10 42 9 2 11 12 2 10 11 9 11 2 11 13 2 2 9 42 2 9 2 9 2 9 11 9 10 42 9 10 4 42 42 2 6 10 11 4 9 10 2 9 2 42 10 9 42 9 2 2 2 2 9 2 37 2 9 5 10 2 37 39 9 9 9 9 12 9 9 15 9 12 9 31 39 9 9 9 9 9 11 12 9 39 33 9 10 11 33 32 9 21 9 11 9 39 12 9 9 9 9 10 9 15 39 15 9 12 11 12 14 9 39 9 33 39 31 39 9 9 10 10 39 39 9 9 39 9 9 9 10 10 0 10 9 12 9 39 9 9 10 10 9 31 32 31 39 9 9 39 9 32 9 9 31 9 9 39 10 9 9 21 12 12 12 12 12 12 12 22 12 22 12 12 12 12 12 12 12 12 22 12 21 22 34 12 12 12 12 24 21 30 12 22 12 12 12 12 12 12 12 34 12 21 12 12 22 12 22 12 22 24 12 12 21 21 12 22 21 12 12 23 22 23 21 12 24 23 30 12 12 22 12 35 24 12 12 12 23 12 21 17 34 12 12 12 21 28 22 24 22 23 12 12 12 22 12 22 21 12 12 25 9 23 9 23 23 23 8 23 23 23 23 24 25 9 9 23 23 10 25 9 9 23 23 23 23 22 11 23 9 10 23 23 25 24 24 9 23 23 9 24 23 23 23 23 24 23 23 11 23 24 25 23 25 10 23 23 9 23 23 26 23 23 23 23 23 23 23 25 23 24 23 24 23 23 9 23 26 10 23 9 25 23 9 9 11 25 24 23 25 9 23 23 25 23 23 11 23 5 24"
4,5,-0.8404,1.0000,0.5321,-0.3052,0.1706,"20 35 12 12 12 22 19 1 12 24 2 42 12 20 20 4 37 12 20 20 13 1 9 7 2 12 12 12 20 20 12 20 12 15 20 12 2 20 24 12 15 19 11 12 20 12 20 1 20 38 20 19 12 9 12 12 19 12 10 12 12 19 19 32 19 12 12 5 42 19 20 37 19 20 21 20 19 19 20 24 20 19 37 12 19 12 19 18 9 20 12 20 12 12 19 12 41 12 12 1 0 25 12 25 12 25 25 5 12 25 25 23 27 9 25 25 23 25 5 25 27 12 25 25 12 25 25 12 26 40 25 33 24 25 25 23 25 12 12 12 26 27 26 24 23 12 25 25 14 1 25 23 25 12 8 25 25 25 25 25 12 32 24 38 30 12 23 25 25 25 24 16 23 25 25 25 25 25 27 23 25 27 40 27 25 25 25 25 30 27 26 26 25 24 2 25 25 25 25 26 9 14 19 19 17 19 15 12 14 15 17 19 12 15 19 42 19 19 17 12 15 19 19 12 7 7 15 19 42 16 15 16 17 8 15 12 31 15 14 17 15 12 12 14 12 16 17 19 19 14 14 17 14 16 14 15 16 7 19 15 15 16 42 16 19 12 17 19 42 15 19 19 17 19 12 16 15 16 19 42 12 19 17 19 42 14 16 17 17 17 19 14 12 19 12 12 42 14 17 7 39 28 39 2 13 28 28 21 28 28 8 34 39 39 28 39 28 39 0 39 28 30 9 28 30 4 28 28 1 28 29 29 28 29 30 28 28 39 28 39 28 39 39 39 39 28 28 28 28 28 28 39 28 39 30 9 30 39 39 28 39 28 28 29 22 39 39 28 28 39 28 39 28 39 29 40 29 28 28 28 39 28 39 39 28 28 39 28 39 16 35 28 39 28 28 28 28 28 39 23 26 41 41 41 25 2 2 39 13 13 27 39 10 41 39 25 39 41 39 41 25 2 3 41 25 39 25 39 41 39 13 0 41 39 39 41 38 39 25 0 39 27 39 0 39 3 0 25 39 41 25 39 41 39 25 39 25 39 26 41 39 25 13 38 41 0 25 39 27 41 25 39 39 41 41 25 25 39 17 39 39 39 39 0 5 39 39 25 41 39 41 39 2 39 39 2 27 41 39 39"
5,5,-0.8397,1.0000,0.5345,-0.3064,0.1174,"20 35 12 12 12 22 19 1 12 24 2 42 12 20 20 4 37 12 20 20 13 1 9 7 2 12 12 12 20 20 12 20 12 15 20 12 2 20 24 12 15 19 11 12 20 12 20 1 20 38 20 19 12 9 12 12 19 12 10 12 12 19 19 32 19 12 12 5 42 19 20 37 19 20 21 20 19 19 20 24 20 19 37 12 19 12 19 18 9 20 12 20 12 12 19 12 41 12 12 1 0 25 12 25 12 25 25 5 12 25 25 23 27 9 25 25 23 25 5 25 27 12 25 25 12 25 25 12 26 40 25 33 24 25 25 23 25 12 12 12 26 27 26 24 23 12 25 25 14 1 25 23 25 12 8 25 25 25 25 25 12 32 24 38 30 12 23 25 25 25 24 16 23 25 25 25 25 25 27 23 25 27 40 27 25 25 25 25 30 27 26 26 25 24 2 25 25 25 25 26 9 14 19 19 17 19 15 12 14 15 17 19 12 15 19 42 19 19 17 12 15 19 19 12 7 7 15 19 42 16 15 16 17 8 15 12 31 15 14 17 15 12 12 14 12 16 17 19 19 14 14 17 14 16 14 15 16 7 19 15 15 16 42 16 19 12 17 19 42 15 19 19 17 19 12 16 15 16 19 42 12 19 17 19 42 14 16 17 17 17 19 14 12 19 12 12 42 14 17 7 39 28 39 2 13 28 28 21 28 28 8 34 39 39 28 39 28 39 0 39 28 30 9 28 30 4 28 28 1 28 29 29 28 29 30 28 28 39 28 39 28 39 39 39 39 28 28 28 28 28 28 39 28 39 30 9 30 39 39 28 39 28 28 29 22 39 39 28 28 39 28 39 28 39 29 40 29 28 28 28 39 28 39 39 28 28 39 28 39 16 35 28 39 28 28 28 28 28 39 23 26 41 41 41 25 2 2 39 13 13 27 39 10 41 39 25 39 41 39 41 25 2 3 41 25 39 25 39 41 39 13 0 41 39 39 41 38 39 25 0 39 27 39 0 39 3 0 25 39 41 25 39 41 39 25 39 25 39 26 41 39 25 13 38 41 0 25 39 27 41 25 39 39 41 41 25 25 39 17 39 39 39 39 0 5 39 39 25 41 39 41 39 2 39 39 2 27 41 39 39"
6,6,-0.8573,1.0000,0.4756,-0.3130,0.1024,"12 0 12 9 25 25 25 25 0 0 1 1 25 16 3 26 13 12 38 3 25 25 25 26 25 25 36 3 26 25 25 13 25 39 25 3 27 25 26 25 27 38 27 4 26 0 26 25 3 26 26 25 27 0 25 0 3 0 26 25 25 25 27 3 3 26 25 26 16 25 0 25 25 12 3 13 25 25 27 0 25 25 25 25 27 25 26 12 25 25 25 26 3 3 13 25 35 25 0 26 9 42 2 37 5 2 5 2 2 9 12 11 9 42 10 9 42 13 2 4 2 42 9 2 10 9 9 2 10 2 9 10 11 2 6 2 11 42 10 10 42 9 2 11 12 2 10 11 9 11 2 11 13 2 2 9 42 2 9 2 9 2 9 11 9 10 42 9 10 4 42 42 2 6 10 11 4 9 10 2 9 2 42 10 9 42 9 2 2 2 2 9 2 37 2 9 5 10 2 37 39 9 9 9 9 12 9 9 15 9 12 9 31 39 9 9 9 9 9 11 12 9 39 33 9 10 11 33 32 9 21 9 11 9 39 12 9 9 9 9 10 9 15 39 15 9 12 11 12 14 9 39 9 33 39 31 39 9 9 10 10 39 39 9 9 39 9 9 9 10 10 0 10 9 12 9 39 9 9 10 10 9 31 32 31 39 9 9 39 9 32 9 9 31 9 9 39 10 9 9 21 12 12 12 12 12 12 12 22 12 22 12 12 12 12 12 12 12 12 22 12 21 22 34 12 12 12 12 24 21 30 12 22 12 12 12 12 12 12 12 34 12 21 12 12 22 12 22 12 22 24 12 12 21 21 12 22 21 12 12 23 22 23 21 12 24 23 30 12 12 22 12 35 24 12 12 12 23 12 21 17 34 12 12 12 21 28 22 24 22 23 12 12 12 22 12 22 21 12 12 25 9 23 9 23 23 23 8 23 23 23 23 24 25 9 9 23 23 10 25 9 9 23 23 23 23 22 11 23 9 10 23 23 25 24 24 9 23 23 9 24 23 23 23 23 24 23 23 11 23 24 25 23 25 10 23 23 9 23 23 26 23 23 23 23 23 23 23 25 23 24 23 24 23 23 9 23 26 10 23 9 25 23 9 9 11 25 24 23 25 9 23 23 25 23 23 11 23 5 24"
7,7,-0.8747,1.0000,0.4176,-0.3312,0.1276,"28 25 25 25 26 13 25 27 25 25 28 18 25 25 25 25 12 12 18 25 25 28 26 25 30 26 25 12 28 26 25 25 12 27 25 28 25 25 25 25 25 26 12 17 25 27 25 12 26 25 28 25 17 25 25 25 25 25 12 26 12 18 26 25 12 26 18 25 25 25 20 17 29 12 12 25 25 25 28 19 25 18 25 12 27 25 18 25 12 25 25 12 28 28 25 12 18 17 27 12 7 7 19 7 7 19 17 8 8 8 8 8 7 7 19 15 17 19 19 7 19 8 8 7 14 12 17 15 19 17 17 7 36 7 17 7 7 7 7 36 15 7 12 7 12 19 7 12 34 19 19 12 15 36 19 7 19 19 17 7 7 7 7 12 7 7 17 19 14 17 18 7 19 15 8 15 7 15 7 7 8 7 7 7 19 15 12 7 12 7 7 7 7 7 7 7 17 36 34 7 17 12 25 25 27 25 37 0 21 39 25 27 17 25 27 25 27 12 25 25 26 26 25 25 25 21 26 27 17 27 27 25 26 17 27 25 26 25 17 27 17 27 25 21 25 27 25 18 17 26 25 25 25 25 25 26 12 22 12 22 18 17 39 25 17 25 17 25 25 25 25 17 25 27 27 25 27 25 25 25 25 17 25 17 17 17 25 25 17 17 25 4 27 25 25 17 27 26 25 18 23 23 23 24 24 34 23 23 24 15 23 23 23 23 24 23 14 23 23 23 23 24 24 23 24 23 23 23 24 23 23 23 23 23 23 23 23 23 23 23 24 23 23 24 23 24 24 23 15 26 23 23 23 23 23 23 24 15 23 24 23 23 23 23 23 24 24 23 23 17 23 17 23 23 24 23 23 23 24 23 24 23 23 23 23 23 24 17 23 23 24 19 23 24 23 15 23 23 23 23 31 38 38 12 31 31 25 31 38 13 32 31 31 20 32 33 31 0 0 25 28 3 3 33 38 31 12 33 1 31 13 13 31 31 3 3 12 31 31 1 13 31 31 31 20 31 1 1 31 31 12 33 31 1 31 28 31 0 0 31 27 31 31 31 32 1 31 13 13 31 31 31 13 12 28 0 31 7 12 31 38 31 31 31 26 31 12 32 33 31 3 19 29 33 31 31 19 31 31 32"
8,7,-0.8269,1.0000,0.5768,-0.3243,0.1027,"28 25 25 25 26 13 25 27 25 25 28 18 25 25 25 25 12 12 18 25 25 28 26 25 30 26 25 12 28 26 25 25 12 27 25 28 25 25 25 25 25 26 12 17 25 27 25 12 26 25 28 25 17 25 25 25 25 25 12 26 12 18 26 25 12 26 18 25 25 25 20 17 29 12 12 25 25 25 28 19 25 18 25 12 27 25 18 25 12 25 25 12 28 28 25 12 18 17 27 12 7 7 19 7 7 19 17 8 8 8 8 8 7 7 19 15 17 19 19 7 19 8 8 7 14 12 17 15 19 17 17 7 36 7 17 7 7 7 7 36 15 7 12 7 12 19 7 12 34 19 19 12 15 36 19 7 19 19 17 7 7 7 7 12 7 7 17 19 14 17 18 7 19 15 8 15 7 15 7 7 8 7 7 7 19 15 12 7 12 7 7 7 7 7 7 7 17 36 34 7 17 12 25 25 27 25 37 0 21 39 25 27 17 25 27 25 27 12 25 25 26 26 25 25 25 21 26 27 17 27 27 25 26 17 27 25 26 25 17 27 17 27 25 21 25 27 25 18 17 26 25 25 25 25 25 26 12 22 12 22 18 17 39 25 17 25 17 25 25 25 25 17 25 27 27 25 27 25 25 25 25 17 25 17 17 17 25 25 17 17 25 4 27 25 25 17 27 26 25 18 23 23 23 24 24 34 23 23 24 15 23 23 23 23 24 23 14 23 23 23 23 24 24 23 24 23 23 23 24 23 23 23 23 23 23 23 23 23 23 23 24 23 23 24 23 24 24 23 15 26 23 23 23 23 23 23 24 15 23 24 23 23 23 23 23 24 24 23 23 17 23 17 23 23 24 23 23 23 24 23 24 23 23 23 23 23 24 17 23 23 24 19 23 24 23 15 23 23 23 23 31 38 38 12 31 31 25 31 38 13 32 31 31 20 32 33 31 0 0 25 28 3 3 33 38 31 12 33 1 31 13 13 31 31 3 3 12 31 31 1 13 31 31 31 20 31 1 1 31 31 12 33 31 1 31 28 31 0 0 31 27 31 31 31 32 1 31 13 13 31 31 31 13 12 28 0 31 7 12 31 38 31 31 31 26 31 12 32 33 31 3 19 29 33 31 31 19 31 31 32"
9,7,-0.8398,1.0000,0.5341,-0.3223,0.1348,"28 25 25 25 26 13 25 27 25 25 28 18 25 25 25 25 12 12 18 25 25 28 26 25 30 26 25 12 28 26 25 25 12 27 25 28 25 25 25 25 25 26 12 17 25 27 25 12 26 25 28 25 17 25 25 25 25 25 12 26 12 18 26 25 12 26 18 25 25 25 20 17 29 12 12 25 25 25 28 19 25 18 25 12 27 25 18 25 12 25 25 12 28 28 25 12 18 17 27 12 7 7 19 7 7 19 17 8 8 8 8 8 7 7 19 15 17 19 19 7 19 8 8 7 14 12 17 15 19 17 17 7 36 7 17 7 7 7 7 36 15 7 12 7 12 19 7 12 34 19 19 12 15 36 19 7 19 19 17 7 7 7 7 12 7 7 17 19 14 17 18 7 19 15 8 15 7 15 7 7 8 7 7 7 19 15 12 7 12 7 7 7 7 7 7 7 17 36 34 7 17 12 25 25 27 25 37 0 21 39 25 27 17 25 27 25 27 12 25 25 26 26 25 25 25 21 26 27 17 27 27 25 26 17 27 25 26 25 17 27 17 27 25 21 25 27 25 18 17 26 25 25 25 25 25 26 12 22 12 22 18 17 39 25 17 25 17 25 25 25 25 17 25 27 27 25 27 25 25 25 25 17 25 17 17 17 25 25 17 17 25 4 27 25 25 17 27 26 25 18 23 23 23 24 24 34 23 23 24 15 23 23 23 23 24 23 14 23 23 23 23 24 24 23 24 23 23 23 24 23 23 23 23 23 23 23 23 23 23 23 24 23 23 24 23 24 24 23 15 26 23 23 23 23 23 23 24 15 23 24 23 23 23 23 23 24 24 23 23 17 23 17 23 23 24 23 23 23 24 23 24 23 23 23 23 23 24 17 23 23 24 19 23 24 23 15 23 23 23 23 31 38 38 12 31 31 25 31 38 13 32 31 31 20 32 33 31 0 0 25 28 3 3 33 38 31 12 33 1 31 13 13 31 31 3 3 12 31 31 1 13 31 31 31 20 31 1 1 31 31 12 33 31 1 31 28 31 0 0 31 27 31 31 31 32 1 31 13 13 31 31 31 13 12 28 0 31 7 12 31 38 31 31 31 26 31 12 32 33 31 3 19 29 33 31 31 19 31 31 32"
