rank,fitness,winrate,genome
1,-0.8266,1.0000,"40 25 27 8 25 25 2 25 40 25 25 25 25 27 12 7 7 25 25 40 16 25 16 26 12 27 25 25 12 25 25 26 7 25 25 25 2 26 25 12 25 2 25 25 25 12 27 25 25 16 7 25 40 7 21 2 25 25 25 16 27 25 12 6 25 7 25 16 27 25 25 25 25 12 2 7 25 25 2 27 27 25 27 25 7 2 40 40 26 12 25 25 25 25 16 12 25 25 8 25 8 2 7 2 12 21 2 22 2 8 2 22 2 21 21 2 7 7 7 2 8 21 7 8 8 23 2 8 22 7 8 7 2 8 7 2 8 2 21 7 8 8 2 12 24 2 12 2 21 7 2 8 7 2 21 2 24 21 21 7 7 2 21 7 8 18 7 21 2 23 7 12 2 8 2 22 2 2 2 2 7 12 2 23 23 8 21 2 8 7 8 21 2 8 2 7 7 2 8 12 16 25 16 42 12 42 12 16 16 16 25 12 12 12 16 12 12 16 42 25 42 16 12 25 26 12 16 42 12 25 12 16 25 25 42 5 42 25 42 42 16 12 27 12 42 16 12 16 42 25 37 12 42 12 16 26 42 25 12 16 42 26 42 5 42 16 42 25 42 12 42 16 2 42 16 16 16 12 42 27 12 26 42 12 42 42 16 42 42 25 42 8 12 26 27 42 12 42 12 42 27 25 26 25 19 26 25 25 21 19 19 38 29 25 27 25 19 19 19 26 21 21 25 19 25 26 25 20 27 25 26 26 19 38 27 19 25 25 19 25 25 25 25 25 20 25 25 25 21 21 27 26 25 27 25 19 27 25 19 26 25 25 26 19 22 1 25 22 25 21 21 21 26 20 19 1 25 25 25 19 19 25 20 25 26 25 19 25 25 21 19 25 25 20 21 19 6 20 25 27 2 37 4 5 19 6 9 9 6 19 20 2 20 2 37 37 9 9 20 37 6 31 5 9 20 19 20 9 5 9 31 19 11 31 19 9 5 9 4 9 11 9 20 31 10 31 6 19 5 20 19 20 19 19 2 19 9 6 19 4 19 19 9 19 2 2 4 6 9 4 4 31 9 9 19 19 10 19 10 10 19 19 19 37 4 6 19 19 19 6 9 2 9 4 19 31 19 9 9 19"
2,-0.8007,1.0000,"40 25 27 8 25 25 2 25 40 25 25 25 25 27 12 7 7 25 25 40 16 25 16 26 12 27 25 25 12 25 25 26 7 25 25 25 2 26 25 12 25 2 25 25 25 12 27 25 25 16 7 25 40 7 21 2 25 25 25 16 27 25 12 6 25 7 25 16 27 25 25 25 25 12 2 7 25 25 2 27 27 25 27 25 7 2 40 40 26 12 25 25 25 25 16 12 25 25 8 25 8 2 7 2 12 21 2 22 2 8 2 22 2 21 21 2 7 7 7 2 8 21 7 8 8 23 2 8 22 7 8 7 2 8 7 2 8 2 21 7 8 8 2 12 24 2 12 2 21 7 2 8 7 2 21 2 24 21 21 7 7 2 21 7 8 18 7 21 2 23 7 12 2 8 2 22 2 2 2 2 7 12 2 23 23 8 21 2 8 7 8 21 2 8 2 7 7 2 8 12 16 25 16 42 12 42 12 16 16 16 25 12 12 12 16 12 12 16 42 25 42 16 12 25 26 12 16 42 12 25 12 16 25 25 42 5 42 25 42 42 16 12 27 12 42 16 12 16 42 25 37 12 42 12 16 26 42 25 12 16 42 26 42 5 42 16 42 25 42 12 42 16 2 42 16 16 16 12 42 27 12 26 42 12 42 42 16 42 42 25 42 8 12 26 27 42 12 42 12 42 27 25 26 25 19 26 25 25 21 19 19 38 29 25 27 25 19 19 19 26 21 21 25 19 25 26 25 20 27 25 26 26 19 38 27 19 25 25 19 25 25 25 25 25 20 25 25 25 21 21 27 26 25 27 25 19 27 25 19 26 25 25 26 19 22 1 25 22 25 21 21 21 26 20 19 1 25 25 25 19 19 25 20 25 26 25 19 25 25 21 19 25 25 20 21 19 6 20 25 27 2 37 4 5 19 6 9 9 6 19 20 2 20 2 37 37 9 9 20 37 6 31 5 9 20 19 20 9 5 9 31 19 11 31 19 9 5 9 4 9 11 9 20 31 10 31 6 19 5 20 19 20 19 19 2 19 9 6 19 4 19 19 9 19 2 2 4 6 9 4 4 31 9 9 19 19 10 19 10 10 19 19 19 37 4 6 19 19 19 6 9 2 9 4 19 31 19 9 9 19"
3,-0.7753,0.8750,"39 28 28 28 28 28 39 28 28 28 39 39 39 39 28 28 28 39 28 5 4 39 39 3 30 28 24 28 28 28 0 39 29 39 28 28 29 23 28 39 29 28 23 3 0 37 29 29 28 24 28 23 39 28 30 28 29 29 38 39 28 6 28 28 39 29 2 39 28 30 28 28 39 39 39 23 28 29 28 28 23 39 39 28 30 39 4 29 30 29 30 39 39 28 23 28 28 29 39 28 8 21 22 12 12 21 22 22 12 21 21 22 21 21 21 7 21 21 21 21 21 21 12 12 21 23 21 8 22 21 22 22 22 24 12 21 21 35 21 21 21 21 21 12 24 24 12 12 21 21 22 21 21 7 21 21 24 21 21 21 21 2 21 7 24 18 21 21 21 23 21 12 21 12 21 22 23 21 21 12 24 12 21 23 23 21 21 21 22 24 8 21 24 7 7 21 12 12 21 12 25 27 37 6 26 2 4 4 5 27 4 25 4 25 25 2 39 26 23 27 26 37 25 25 5 25 25 16 25 25 27 39 2 4 25 25 6 26 39 26 27 25 26 5 26 4 25 25 37 25 27 4 25 25 2 42 25 25 25 37 25 23 25 27 26 27 37 42 2 6 2 25 25 25 6 37 26 25 37 25 26 37 5 5 26 25 6 37 2 25 26 4 27 25 5 25 25 39 5 25 30 20 19 29 29 28 19 28 28 19 29 28 29 38 28 28 29 19 28 1 21 21 28 28 28 28 28 28 13 13 28 29 29 29 28 28 19 20 19 28 28 28 13 30 20 19 29 28 21 28 19 19 28 28 28 29 19 20 19 28 28 28 19 28 28 28 19 28 28 28 30 21 29 28 19 28 19 3 28 19 28 28 28 28 28 28 19 28 29 29 28 28 28 28 30 29 6 20 38 19 29 13 39 28 29 38 3 28 28 29 28 28 28 39 29 28 39 28 30 0 28 39 28 28 28 28 39 28 28 3 28 13 13 39 0 28 28 28 28 28 28 28 39 28 12 12 39 39 28 0 3 0 39 29 29 28 28 28 39 1 30 30 3 30 30 39 39 3 28 28 38 28 39 28 29 28 28 0 3 29 3 28 3 2 30 28 0 28 1 28 28 28 1 30 29 0 30 28 29 28"
4,-0.7730,1.0000,"2 7 6 2 6 7 8 2 2 4 31 2 7 2 2 37 8 31 31 2 2 2 31 7 31 7 4 7 7 2 2 6 2 4 2 2 32 32 2 2 6 8 7 33 2 2 32 2 7 7 7 7 2 7 31 7 2 2 31 7 31 2 2 2 4 31 7 2 8 2 2 4 2 2 2 33 31 7 4 2 2 2 2 8 2 7 6 2 2 37 5 2 8 8 2 2 2 31 7 8 5 37 40 40 40 33 31 42 2 37 5 2 5 31 40 4 2 37 40 0 5 2 6 6 42 31 2 2 2 2 31 31 31 2 2 6 40 40 2 2 40 40 4 40 40 32 40 40 40 40 40 40 2 33 40 40 40 37 31 31 40 40 6 31 5 37 40 5 40 42 40 32 2 40 31 2 33 2 40 2 2 40 40 37 40 2 40 31 40 40 40 5 41 5 40 31 31 37 4 40 32 31 2 31 2 33 31 31 32 32 31 1 31 31 7 31 31 4 7 31 28 33 33 7 0 31 31 7 32 2 2 32 1 8 31 31 31 31 31 31 30 31 31 2 2 31 31 31 31 7 13 31 32 31 31 31 31 2 13 31 2 31 31 13 31 31 37 31 30 31 31 38 31 33 31 31 31 2 37 31 31 31 28 32 0 31 31 2 8 8 31 2 31 13 31 1 33 38 6 33 16 25 16 25 12 12 16 42 12 25 25 12 25 16 27 42 12 25 25 25 42 42 42 12 42 42 39 42 42 25 25 16 26 25 42 42 25 39 25 16 17 27 26 25 42 12 25 42 25 25 42 25 27 25 42 26 26 27 25 25 25 25 25 26 42 16 25 12 16 25 12 25 27 16 42 25 27 16 25 25 12 25 5 25 16 39 12 26 16 25 25 25 25 25 25 27 17 39 42 25 8 12 17 28 7 19 17 30 12 12 12 12 30 29 12 8 12 17 28 12 15 12 15 12 7 30 17 14 0 29 29 12 29 12 12 17 19 3 15 29 12 24 30 30 12 12 12 8 12 19 12 19 12 12 17 8 12 12 28 12 8 12 12 12 19 28 12 7 13 15 12 28 3 28 7 17 28 12 15 12 29 12 12 12 12 14 7 15 12 12 12 8 12 17 15 30 12 7 12 7"
5,-0.7338,0.9615,"31 7 2 7 7 7 8 7 32 7 31 7 7 31 8 37 8 31 31 7 31 3 31 7 31 7 31 7 7 31 7 8 8 31 2 8 32 32 2 7 7 8 7 33 7 31 32 8 7 7 7 7 38 7 31 7 32 7 31 7 31 7 7 7 31 31 7 31 8 32 7 31 7 7 7 33 31 7 7 7 7 31 33 8 31 7 7 32 31 7 7 7 8 8 31 7 7 31 7 8 5 37 40 40 40 33 31 42 2 37 5 2 5 31 40 4 2 37 40 0 5 2 6 6 42 31 2 2 2 2 31 31 31 2 2 6 40 40 2 2 40 40 4 40 40 32 40 40 40 40 40 40 2 33 40 40 40 37 31 31 40 40 6 31 5 37 40 5 40 42 40 32 2 40 31 2 33 2 40 2 2 40 40 37 40 2 40 31 40 40 40 5 41 5 40 31 31 37 4 40 3 2 5 31 2 2 2 13 2 2 6 37 2 2 7 31 3 4 1 31 2 0 3 2 0 37 31 37 2 2 3 13 1 8 31 2 6 31 13 2 30 31 5 2 2 31 31 2 5 13 13 2 2 31 37 13 2 0 6 5 0 3 2 13 1 2 2 31 2 1 2 2 2 2 38 31 2 13 2 38 4 31 1 1 2 31 0 2 0 2 2 2 6 2 6 2 2 4 2 33 16 25 16 25 12 12 16 42 12 25 25 12 25 16 27 42 12 25 25 25 42 42 42 12 42 42 39 42 42 25 25 16 26 25 42 42 25 39 25 16 17 27 26 25 42 12 25 42 25 25 42 25 27 25 42 26 26 27 25 25 25 25 25 26 42 16 25 12 16 25 12 25 27 16 42 25 27 16 25 25 12 25 5 25 16 39 12 26 16 25 25 25 25 25 25 27 17 39 42 25 8 15 17 7 7 19 17 17 14 17 15 14 7 7 3 8 17 17 14 19 15 14 15 17 7 15 17 14 0 19 19 7 7 7 7 17 19 3 15 7 14 24 19 19 12 7 15 8 0 19 17 19 19 7 17 8 0 7 7 7 8 7 19 7 19 38 19 7 13 15 7 1 3 14 7 17 17 17 15 17 8 7 7 7 7 14 7 15 19 7 7 8 7 17 15 7 7 7 17 7"
6,-0.7298,0.9565,"31 7 2 7 7 7 8 7 32 7 31 7 7 31 8 37 8 31 31 7 31 3 31 7 31 7 31 7 7 31 7 8 8 31 2 8 32 32 2 7 7 8 7 33 7 31 32 8 7 7 7 7 38 7 31 7 32 7 31 7 31 7 7 7 31 31 7 31 8 32 7 31 7 7 7 33 31 7 7 7 7 31 33 8 31 7 7 32 31 7 7 7 8 8 31 7 7 31 7 8 5 37 40 38 40 1 13 42 0 37 5 1 5 13 1 4 2 3 40 1 5 2 0 6 3 31 38 3 2 1 31 31 1 2 38 6 40 40 1 1 13 0 3 40 40 32 40 40 38 40 13 3 2 33 40 0 38 38 31 31 40 13 6 31 3 13 40 5 40 42 40 32 2 40 38 2 33 38 40 2 3 13 38 37 40 2 40 31 40 40 40 38 38 5 40 31 13 37 4 40 5 31 2 31 2 2 2 31 5 2 2 1 2 37 2 31 2 2 2 2 2 2 6 4 37 31 31 2 2 2 2 2 1 8 31 31 31 6 5 2 4 6 31 6 2 2 37 2 2 7 2 31 32 31 31 31 6 2 13 2 2 5 31 13 2 2 37 37 30 2 2 2 31 33 31 2 31 2 4 2 6 2 37 2 0 4 31 2 2 6 2 2 31 2 31 1 2 5 2 37 16 25 16 25 12 12 16 42 12 25 25 12 25 16 27 42 12 25 25 25 42 42 42 12 42 42 39 42 42 25 25 16 26 25 42 42 25 39 25 16 17 27 26 25 42 12 25 42 25 25 42 25 27 25 42 26 26 27 25 25 25 25 25 26 42 16 25 12 16 25 12 25 27 16 42 25 27 16 25 25 12 25 5 25 16 39 12 26 16 25 25 25 25 25 25 27 17 39 42 25 25 3 7 26 26 26 8 25 7 7 13 27 25 7 25 25 7 3 38 25 26 7 7 33 25 25 7 25 26 25 25 7 7 25 25 7 25 3 7 25 0 25 7 8 25 25 25 25 25 26 25 25 27 27 25 26 25 7 7 25 25 25 27 25 25 25 27 25 25 25 7 1 3 26 26 27 24 7 25 25 25 27 7 7 7 25 7 25 25 7 25 25 7 8 7 25 27 27 25 25"
7,-0.7104,0.8261,"39 28 28 28 28 28 39 28 28 28 39 39 39 39 28 28 28 39 28 5 4 39 39 3 30 28 24 28 28 28 0 39 29 39 28 28 29 23 28 39 29 28 23 3 0 37 29 29 28 24 28 23 39 28 30 28 29 29 38 39 28 6 28 28 39 29 2 39 28 30 28 28 39 39 39 23 28 29 28 28 23 39 39 28 30 39 4 29 30 29 30 39 39 28 23 28 28 29 39 28 8 21 22 12 12 21 22 22 12 21 21 22 21 21 21 7 21 21 21 21 21 21 12 12 21 23 21 8 22 21 22 22 22 24 12 21 21 35 21 21 21 21 21 12 24 24 12 12 21 21 22 21 21 7 21 21 24 21 21 21 21 2 21 7 24 18 21 21 21 23 21 12 21 12 21 22 23 21 21 12 24 12 21 23 23 21 21 21 22 24 8 21 24 7 7 21 12 12 21 12 25 27 37 6 26 2 4 4 5 27 4 25 4 25 25 2 39 26 23 27 26 37 25 25 5 25 25 16 25 25 27 39 2 4 25 25 6 26 39 26 27 25 26 5 26 4 25 25 37 25 27 4 25 25 2 42 25 25 25 37 25 23 25 27 26 27 37 42 2 6 2 25 25 25 6 37 26 25 37 25 26 37 5 5 26 25 6 37 2 25 26 4 27 25 5 25 25 39 5 25 30 20 19 29 29 28 19 28 28 19 29 28 29 38 28 28 29 19 28 1 21 21 28 28 28 28 28 28 13 13 28 29 29 29 28 28 19 20 19 28 28 28 13 30 20 19 29 28 21 28 19 19 28 28 28 29 19 20 19 28 28 28 19 28 28 28 19 28 28 28 30 21 29 28 19 28 19 3 28 19 28 28 28 28 28 28 19 28 29 29 28 28 28 28 30 29 6 20 38 19 29 13 39 28 29 38 3 28 28 29 28 28 28 39 29 28 39 28 30 0 28 39 28 28 28 28 39 28 28 3 28 13 13 39 0 28 28 28 28 28 28 28 39 28 12 12 39 39 28 0 3 0 39 29 29 28 28 28 39 1 30 30 3 30 30 39 39 3 28 28 38 28 39 28 29 28 28 0 3 29 3 28 3 2 30 28 0 28 1 28 28 28 1 30 29 0 30 28 29 28"
8,-0.6954,0.8800,"31 7 2 7 7 7 8 7 32 7 31 7 7 31 8 37 8 31 31 7 31 3 31 7 31 7 31 7 7 31 7 8 8 31 2 8 32 32 2 7 7 8 7 33 7 31 32 8 7 7 7 7 38 7 31 7 32 7 31 7 31 7 7 7 31 31 7 31 8 32 7 31 7 7 7 33 31 7 7 7 7 31 33 8 31 7 7 32 31 7 7 7 8 8 31 7 7 31 7 8 5 37 40 40 40 33 31 42 2 37 5 2 5 31 40 4 2 37 40 0 5 2 6 6 42 31 2 2 2 2 31 31 31 2 2 6 40 40 2 2 40 40 4 40 40 32 40 40 40 40 40 40 2 33 40 40 40 37 31 31 40 40 6 31 5 37 40 5 40 42 40 32 2 40 31 2 33 2 40 2 2 40 40 37 40 2 40 31 40 40 40 5 41 5 40 31 31 37 4 40 30 16 2 31 16 28 16 12 32 30 12 28 28 12 7 31 31 12 12 16 28 12 28 29 16 31 31 28 30 2 30 28 1 8 31 29 31 28 16 28 29 16 29 28 2 28 12 12 16 30 16 31 29 30 31 16 31 30 28 16 30 16 12 12 28 28 30 28 30 28 12 28 12 28 12 16 12 2 37 31 28 29 28 16 12 30 16 12 28 28 31 2 16 12 16 16 12 38 28 12 16 25 16 25 12 12 16 42 12 25 25 12 25 16 27 42 12 25 25 25 42 42 42 12 42 42 39 42 42 25 25 16 26 25 42 42 25 39 25 16 17 27 26 25 42 12 25 42 25 25 42 25 27 25 42 26 26 27 25 25 25 25 25 26 42 16 25 12 16 25 12 25 27 16 42 25 27 16 25 25 12 25 5 25 16 39 12 26 16 25 25 25 25 25 25 27 17 39 42 25 8 3 7 7 7 7 8 8 7 7 13 7 7 7 3 8 7 3 38 7 0 7 7 33 7 7 7 7 0 0 0 7 7 7 7 7 7 3 7 7 0 24 7 8 12 7 7 8 0 7 7 7 7 7 7 8 0 7 7 7 8 7 31 7 13 38 8 7 13 7 7 1 3 3 7 7 24 7 23 8 8 7 7 7 7 7 7 7 3 7 7 8 7 8 7 7 7 7 7 7"
9,-0.6746,0.8000,"35 34 2 7 7 34 3 7 34 34 34 7 1 7 34 35 7 1 36 34 8 3 35 34 34 36 34 7 35 34 34 0 7 34 36 34 4 35 34 34 7 8 36 3 7 34 34 8 7 34 34 35 34 34 7 34 35 8 34 34 34 34 34 34 8 7 8 34 36 3 7 35 0 36 7 35 7 36 8 35 36 8 34 7 7 6 7 34 2 8 7 1 34 0 31 34 34 7 7 34 8 34 22 34 36 21 35 34 40 36 21 34 40 34 34 7 34 34 21 40 35 21 40 34 34 23 21 34 34 40 22 34 34 34 34 34 21 35 36 36 34 21 35 36 34 34 40 40 34 40 34 34 34 40 21 21 34 34 34 36 36 34 34 34 24 34 34 21 21 34 21 34 34 40 34 36 40 21 21 36 40 40 21 34 40 34 36 21 22 34 8 34 40 40 40 34 34 40 34 40 25 27 25 25 26 25 25 25 42 27 2 25 25 25 25 27 39 26 23 27 26 25 25 25 25 25 25 16 25 25 27 39 25 12 25 25 37 26 39 26 27 25 26 26 26 25 25 25 25 25 27 25 25 25 25 42 25 25 25 25 25 23 25 27 26 27 25 42 25 25 25 25 25 25 39 39 26 25 25 25 26 3 24 25 26 25 12 27 25 25 26 12 27 25 25 25 25 39 25 25 16 25 16 25 12 12 16 42 12 25 25 12 25 16 27 42 12 25 25 25 42 42 42 12 42 42 39 42 42 25 25 16 26 25 42 42 25 39 25 16 17 27 26 25 42 12 25 42 25 25 42 25 27 25 42 26 26 27 25 25 25 25 25 26 42 16 25 12 16 25 12 25 27 16 42 25 27 16 25 25 12 25 5 25 16 39 12 26 16 25 25 25 25 25 25 27 17 39 42 25 7 35 34 34 34 3 10 0 9 9 34 7 9 34 34 34 34 36 34 36 10 9 34 34 13 36 9 34 9 9 34 13 9 34 9 34 34 34 9 34 0 13 35 34 10 34 34 9 34 34 11 34 11 34 34 35 0 34 35 9 36 36 34 9 34 34 7 1 35 34 34 34 34 34 34 9 34 34 9 34 34 34 34 9 34 36 9 34 9 34 38 10 9 9 36 34 34 10 11 34"
10,-0.6696,0.8333,"31 7 2 7 7 7 8 7 32 7 31 7 7 31 8 37 8 31 31 7 31 3 31 7 31 7 31 7 7 31 7 8 8 31 2 8 32 32 2 7 7 8 7 33 7 31 32 8 7 7 7 7 38 7 31 7 32 7 31 7 31 7 7 7 31 31 7 31 8 32 7 31 7 7 7 33 31 7 7 7 7 31 33 8 31 7 7 32 31 7 7 7 8 8 31 7 7 31 7 8 5 37 40 40 40 33 31 42 2 37 5 2 5 31 40 4 2 37 40 0 5 2 6 6 42 31 2 2 2 2 31 31 31 2 2 6 40 40 2 2 40 40 4 40 40 32 40 40 40 40 40 40 2 33 40 40 40 37 31 31 40 40 6 31 5 37 40 5 40 42 40 32 2 40 31 2 33 2 40 2 2 40 40 37 40 2 40 31 40 40 40 5 41 5 40 31 31 37 4 40 32 31 2 31 2 33 31 31 32 32 31 1 31 31 7 31 31 4 7 31 28 33 33 7 0 31 31 7 32 2 2 32 1 8 31 31 31 31 31 31 30 31 31 2 2 31 31 31 31 7 13 31 32 31 31 31 31 2 13 31 2 31 31 13 31 31 37 31 30 31 31 38 31 33 31 31 31 2 37 31 31 31 28 32 0 31 31 2 8 8 31 2 31 13 31 1 33 38 6 33 16 25 16 25 12 12 16 42 12 25 25 12 25 16 27 42 12 25 25 25 42 42 42 12 42 42 39 42 42 25 25 16 26 25 42 42 25 39 25 16 17 27 26 25 42 12 25 42 25 25 42 25 27 25 42 26 26 27 25 25 25 25 25 26 42 16 25 12 16 25 12 25 27 16 42 25 27 16 25 25 12 25 5 25 16 39 12 26 16 25 25 25 25 25 25 27 17 39 42 25 8 15 17 7 7 19 17 17 14 17 15 14 7 7 3 8 17 17 14 19 15 14 15 17 7 15 17 14 0 19 19 7 7 7 7 17 19 3 15 7 14 24 19 19 12 7 15 8 0 19 17 19 19 7 17 8 0 7 7 7 8 7 19 7 19 38 19 7 13 15 7 1 3 14 7 17 17 17 15 17 8 7 7 7 7 14 7 15 19 7 7 8 7 17 15 7 7 7 17 7"
