seed,ae_fitness,ae_winrate,tier1_winrate,tier2_winrate,tier3_winrate,tier4_winrate,tier5_winrate
31,-0.881,0.75,1.0,0.9,1.0,0.85,0.35
32,-0.8107,0.75,1.0,0.85,1.0,0.7,0.6
33,-0.8178,0.65,1.0,0.9,1.0,0.75,0.4
34,-0.8079,0.35,1.0,0.95,1.0,0.75,0.7
35,-0.8061,0.8,1.0,0.9,1.0,0.75,0.45
36,-0.7838,0.6,1.0,0.9,0.95,0.55,0.65
37,-0.8266,0.3,1.0,0.95,1.0,0.85,0.7
38,-0.7942,0.3,1.0,0.85,1.0,0.75,0.5
39,-0.7779,0.5,1.0,0.9,1.0,0.7,0.65
40,-0.8015,0.85,1.0,0.9,1.0,0.65,0.6
41,-0.8251,0.65,1.0,0.9,1.0,0.7,0.6
42,-0.8578,0.7,1.0,0.95,1.0,0.65,0.4
43,-0.7987,0.1,1.0,0.7,1.0,0.45,0.4
44,-0.811,0.45,1.0,0.9,1.0,0.65,0.5
45,-0.8034,0.75,1.0,0.95,1.0,0.9,0.45
46,-0.8009,0.9,1.0,0.95,0.95,0.5,0.5
47,-0.8334,0.6,1.0,0.95,1.0,0.5,0.6
48,-0.773,0.65,1.0,0.85,1.0,0.7,0.5
49,-0.8362,0.85,1.0,0.95,1.0,0.7,0.4
50,-0.8437,0.45,1.0,0.9,1.0,0.85,0.55
51,-0.7735,0.4,1.0,0.85,1.0,0.75,0.4
52,-0.8382,0.45,1.0,0.95,1.0,0.6,0.35
53,-0.8017,0.55,1.0,0.85,1.0,0.7,0.55
54,-0.7817,0.8,1.0,0.95,1.0,0.8,0.35
55,-0.8367,0.25,1.0,0.9,1.0,0.8,0.65
56,-0.8343,0.55,1.0,0.95,1.0,0.75,0.5
57,-0.8001,0.9,1.0,0.95,0.9,0.75,0.45
58,-0.8858,0.85,1.0,0.85,1.0,0.7,0.45
59,-0.7602,0.25,1.0,0.85,1.0,0.65,0.3
60,-0.8531,0.05,1.0,0.9,0.9,0.5,0.35
