# seed=123456
# popSize=100
# generations=50
# crossover=BlockUniformCrossover(p=0.75)
# mutation=FlipMutation(p0=0.1,pMin=0.002,alpha=0.9)
# fitness=winrate - lambda*similarity
# lambda_similarity=0.2
# similarity_metric=cosine
# similarity_space=buckets
# similarity_window=±1
# fights_per_team=5
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5710,0.7500,0.8951,-0.2161,0.1310,"[P0] 42 0 16 16 16 37 17 39 6 15 37 0 21 28 40 39 14 1 28 33 34 31 15 19 16 10 25 38 21 25 31 10 23 12 42 13 26 36 13 10 25 6 31 27 15 0 29 32 19 20 36 3 4 4 0 14 24 42 0 1 1 4 36 30 41 14 11 27 13 40 34 23 34 12 35 1 42 30 24 16 0 25 33 16 41 14 16 13 2 22 17 39 25 4 21 14 13 8 29 25; [P1] 5 33 14 25 13 10 32 24 25 17 33 27 20 9 3 34 20 19 36 32 2 8 24 0 18 15 23 19 7 5 26 23 21 15 15 39 37 39 26 1 27 17 6 37 11 10 22 23 21 36 7 24 25 6 39 21 24 8 0 10 25 15 24 3 35 3 28 29 12 24 5 25 25 7 24 25 34 0 14 15 16 20 38 19 30 15 31 14 15 34 2 19 25 38 0 1 3 25 31 4; [P2] 36 21 11 6 12 8 1 39 14 26 27 20 12 19 6 38 27 25 12 32 13 39 28 5 32 11 9 25 36 40 9 23 25 36 33 6 39 19 39 33 15 1 15 25 27 17 7 38 42 12 17 18 4 20 19 8 16 20 35 31 25 34 4 3 33 28 32 5 16 9 37 41 31 33 2 32 8 25 2 19 4 3 26 24 33 12 3 17 19 26 4 0 17 39 10 28 42 7 15 25; [P3] 30 30 11 5 28 27 30 14 23 38 15 6 25 36 4 5 24 3 17 18 34 4 2 20 17 14 27 19 11 1 6 8 38 20 26 0 16 30 15 8 37 21 24 20 42 1 25 34 8 18 10 12 17 2 34 23 23 14 4 36 22 15 9 28 11 31 41 17 27 41 34 23 27 4 28 26 33 9 40 22 40 18 31 9 31 39 15 39 24 20 31 27 30 30 35 19 41 10 5 17; [P4] 1 2 13 17 38 15 39 38 42 27 9 13 23 1 21 40 1 9 22 31 34 16 25 26 29 1 33 39 11 6 17 25 26 23 24 40 25 37 21 34 34 19 9 7 17 14 7 18 21 15 26 2 42 23 4 21 28 1 28 12 16 31 33 7 23 2 0 35 33 21 8 41 14 39 24 37 18 2 27 19 23 2 28 20 30 8 28 16 16 41 37 33 39 2 10 23 26 22 33 5"
1,2,-0.5817,0.7647,0.9149,-0.2216,0.1083,"[P0] 19 25 7 33 15 19 7 3 6 12 37 23 33 18 28 0 17 26 22 12 4 38 16 18 1 26 18 36 6 4 31 40 18 18 33 39 28 17 7 40 29 16 9 17 3 39 35 16 17 7 35 41 15 2 28 35 26 40 34 17 36 31 42 14 31 42 14 4 6 21 26 19 36 8 3 20 0 32 11 35 6 40 19 40 42 1 38 20 2 37 21 10 20 42 12 33 20 20 2 34; [P1] 37 34 9 31 27 5 24 28 13 3 40 31 42 39 36 19 5 8 37 40 24 27 21 20 23 2 16 22 35 0 19 39 7 24 13 0 18 38 21 27 41 24 18 1 1 1 29 19 26 8 22 32 6 4 26 13 39 32 40 39 17 20 18 28 37 38 32 6 41 0 10 3 37 23 31 24 29 10 8 24 40 27 7 27 5 25 2 6 36 31 23 32 30 35 2 4 10 18 39 33; [P2] 35 16 1 17 3 32 4 3 32 42 34 39 31 5 13 40 3 40 3 38 9 35 30 35 11 8 13 20 33 19 6 16 21 25 36 4 0 0 33 12 38 28 29 23 20 17 11 19 21 39 27 11 35 1 16 1 18 16 19 18 15 21 42 27 31 25 38 37 30 32 8 41 16 32 39 17 27 34 14 36 15 34 14 20 40 23 39 13 32 13 12 7 38 14 36 36 7 23 0 16; [P3] 9 24 11 27 6 35 1 21 16 24 3 25 13 23 12 8 2 22 2 14 16 2 25 11 27 3 0 6 10 15 2 39 40 32 19 21 32 28 27 26 19 20 30 8 11 14 1 24 26 35 11 41 30 2 27 11 14 5 35 28 17 14 17 3 33 6 40 37 23 7 12 14 3 7 23 20 32 14 3 21 38 39 37 33 17 10 30 20 8 27 35 32 4 23 30 17 18 23 16 21; [P4] 8 13 22 25 0 5 32 38 41 33 35 31 25 12 13 23 42 14 35 40 23 3 25 9 17 18 17 25 3 22 18 20 13 2 25 25 21 17 21 15 21 0 12 31 34 10 15 28 1 21 10 42 37 28 25 28 35 2 37 9 31 23 4 15 39 15 16 24 12 27 0 42 24 28 0 23 2 14 36 11 35 21 17 1 21 35 27 24 14 39 37 26 16 1 21 41 15 17 9 12"
2,2,-0.5817,0.7647,0.9149,-0.2242,0.1230,"[P0] 19 25 7 33 15 19 7 3 6 12 37 23 33 18 28 0 17 26 22 12 4 38 16 18 1 26 18 36 6 4 31 40 18 18 33 39 28 17 7 40 29 16 9 17 3 39 35 16 17 7 35 41 15 2 28 35 26 40 34 17 36 31 42 14 31 42 14 4 6 21 26 19 36 8 3 20 0 32 11 35 6 40 19 40 42 1 38 20 2 37 21 10 20 42 12 33 20 20 2 34; [P1] 37 34 9 31 27 5 24 28 13 3 40 31 42 39 36 19 5 8 37 40 24 27 21 20 23 2 16 22 35 0 19 39 7 24 13 0 18 38 21 27 41 24 18 1 1 1 29 19 26 8 22 32 6 4 26 13 39 32 40 39 17 20 18 28 37 38 32 6 41 0 10 3 37 23 31 24 29 10 8 24 40 27 7 27 5 25 2 6 36 31 23 32 30 35 2 4 10 18 39 33; [P2] 35 16 1 17 3 32 4 3 32 42 34 39 31 5 13 40 3 40 3 38 9 35 30 35 11 8 13 20 33 19 6 16 21 25 36 4 0 0 33 12 38 28 29 23 20 17 11 19 21 39 27 11 35 1 16 1 18 16 19 18 15 21 42 27 31 25 38 37 30 32 8 41 16 32 39 17 27 34 14 36 15 34 14 20 40 23 39 13 32 13 12 7 38 14 36 36 7 23 0 16; [P3] 9 24 11 27 6 35 1 21 16 24 3 25 13 23 12 8 2 22 2 14 16 2 25 11 27 3 0 6 10 15 2 39 40 32 19 21 32 28 27 26 19 20 30 8 11 14 1 24 26 35 11 41 30 2 27 11 14 5 35 28 17 14 17 3 33 6 40 37 23 7 12 14 3 7 23 20 32 14 3 21 38 39 37 33 17 10 30 20 8 27 35 32 4 23 30 17 18 23 16 21; [P4] 8 13 22 25 0 5 32 38 41 33 35 31 25 12 13 23 42 14 35 40 23 3 25 9 17 18 17 25 3 22 18 20 13 2 25 25 21 17 21 15 21 0 12 31 34 10 15 28 1 21 10 42 37 28 25 28 35 2 37 9 31 23 4 15 39 15 16 24 12 27 0 42 24 28 0 23 2 14 36 11 35 21 17 1 21 35 27 24 14 39 37 26 16 1 21 41 15 17 9 12"
3,3,-0.5937,0.7778,0.9202,-0.2254,0.1207,"[P0] 25 36 15 2 2 22 20 12 1 36 9 10 8 18 22 4 19 18 26 42 27 26 22 4 3 35 31 26 25 10 9 17 27 6 20 16 20 38 28 24 13 24 12 41 39 23 5 1 24 0 35 8 35 28 28 9 0 18 22 35 6 41 31 11 24 42 33 15 12 40 24 31 9 10 9 13 5 22 19 0 32 12 18 29 24 30 23 15 42 29 26 2 31 14 21 22 28 33 24 39; [P1] 20 18 29 19 6 19 30 21 7 35 27 0 34 16 25 39 22 33 7 39 12 13 32 36 19 15 35 35 37 35 10 35 27 34 31 17 10 13 42 29 38 17 24 24 18 41 10 17 26 24 27 32 34 8 29 24 0 3 26 27 38 14 28 33 30 25 17 23 28 31 17 18 34 26 27 1 21 15 42 9 15 31 28 11 3 7 15 3 6 36 39 6 10 13 23 0 28 2 38 19; [P2] 35 20 11 21 6 9 0 38 7 37 6 27 2 18 30 41 25 40 31 7 28 17 32 33 16 24 29 11 28 31 41 10 33 31 1 19 13 36 40 16 42 7 6 29 1 5 38 20 41 17 0 39 1 27 6 30 32 16 34 14 5 32 17 28 18 35 16 5 25 13 11 13 32 26 27 4 13 5 17 6 23 15 14 8 40 34 7 24 32 6 15 32 24 4 39 19 33 15 26 8; [P3] 29 24 3 39 39 19 32 6 19 2 26 38 42 6 13 21 5 33 17 14 19 18 39 5 2 33 28 29 28 12 30 0 25 34 35 18 36 24 32 36 30 29 17 25 25 14 23 17 33 2 35 20 19 41 13 19 16 39 39 2 8 34 17 34 15 38 19 0 23 4 0 37 28 9 10 1 1 19 35 42 38 35 24 19 31 30 14 20 36 41 2 20 42 37 39 30 18 31 0 26; [P4] 42 37 8 39 38 33 15 41 41 1 35 26 28 31 2 13 24 4 21 24 8 20 2 31 29 23 5 20 2 4 29 38 22 22 1 19 14 27 15 2 8 30 23 4 3 21 15 25 32 5 32 39 30 15 6 32 32 34 10 23 5 40 2 39 2 31 30 1 4 39 38 42 16 27 26 18 22 38 15 2 28 33 23 14 5 22 39 25 7 40 40 33 3 29 38 14 42 36 9 33"
4,3,-0.5937,0.7778,0.9202,-0.2295,0.1257,"[P0] 25 36 15 2 2 22 20 12 1 36 9 10 8 18 22 4 19 18 26 42 27 26 22 4 3 35 31 26 25 10 9 17 27 6 20 16 20 38 28 24 13 24 12 41 39 23 5 1 24 0 35 8 35 28 28 9 0 18 22 35 6 41 31 11 24 42 33 15 12 40 24 31 9 10 9 13 5 22 19 0 32 12 18 29 24 30 23 15 42 29 26 2 31 14 21 22 28 33 24 39; [P1] 20 18 29 19 6 19 30 21 7 35 27 0 34 16 25 39 22 33 7 39 12 13 32 36 19 15 35 35 37 35 10 35 27 34 31 17 10 13 42 29 38 17 24 24 18 41 10 17 26 24 27 32 34 8 29 24 0 3 26 27 38 14 28 33 30 25 17 23 28 31 17 18 34 26 27 1 21 15 42 9 15 31 28 11 3 7 15 3 6 36 39 6 10 13 23 0 28 2 38 19; [P2] 35 20 11 21 6 9 0 38 7 37 6 27 2 18 30 41 25 40 31 7 28 17 32 33 16 24 29 11 28 31 41 10 33 31 1 19 13 36 40 16 42 7 6 29 1 5 38 20 41 17 0 39 1 27 6 30 32 16 34 14 5 32 17 28 18 35 16 5 25 13 11 13 32 26 27 4 13 5 17 6 23 15 14 8 40 34 7 24 32 6 15 32 24 4 39 19 33 15 26 8; [P3] 29 24 3 39 39 19 32 6 19 2 26 38 42 6 13 21 5 33 17 14 19 18 39 5 2 33 28 29 28 12 30 0 25 34 35 18 36 24 32 36 30 29 17 25 25 14 23 17 33 2 35 20 19 41 13 19 16 39 39 2 8 34 17 34 15 38 19 0 23 4 0 37 28 9 10 1 1 19 35 42 38 35 24 19 31 30 14 20 36 41 2 20 42 37 39 30 18 31 0 26; [P4] 42 37 8 39 38 33 15 41 41 1 35 26 28 31 2 13 24 4 21 24 8 20 2 31 29 23 5 20 2 4 29 38 22 22 1 19 14 27 15 2 8 30 23 4 3 21 15 25 32 5 32 39 30 15 6 32 32 34 10 23 5 40 2 39 2 31 30 1 4 39 38 42 16 27 26 18 22 38 15 2 28 33 23 14 5 22 39 25 7 40 40 33 3 29 38 14 42 36 9 33"
5,3,-0.5937,0.7778,0.9202,-0.2220,0.1191,"[P0] 25 36 15 2 2 22 20 12 1 36 9 10 8 18 22 4 19 18 26 42 27 26 22 4 3 35 31 26 25 10 9 17 27 6 20 16 20 38 28 24 13 24 12 41 39 23 5 1 24 0 35 8 35 28 28 9 0 18 22 35 6 41 31 11 24 42 33 15 12 40 24 31 9 10 9 13 5 22 19 0 32 12 18 29 24 30 23 15 42 29 26 2 31 14 21 22 28 33 24 39; [P1] 20 18 29 19 6 19 30 21 7 35 27 0 34 16 25 39 22 33 7 39 12 13 32 36 19 15 35 35 37 35 10 35 27 34 31 17 10 13 42 29 38 17 24 24 18 41 10 17 26 24 27 32 34 8 29 24 0 3 26 27 38 14 28 33 30 25 17 23 28 31 17 18 34 26 27 1 21 15 42 9 15 31 28 11 3 7 15 3 6 36 39 6 10 13 23 0 28 2 38 19; [P2] 35 20 11 21 6 9 0 38 7 37 6 27 2 18 30 41 25 40 31 7 28 17 32 33 16 24 29 11 28 31 41 10 33 31 1 19 13 36 40 16 42 7 6 29 1 5 38 20 41 17 0 39 1 27 6 30 32 16 34 14 5 32 17 28 18 35 16 5 25 13 11 13 32 26 27 4 13 5 17 6 23 15 14 8 40 34 7 24 32 6 15 32 24 4 39 19 33 15 26 8; [P3] 29 24 3 39 39 19 32 6 19 2 26 38 42 6 13 21 5 33 17 14 19 18 39 5 2 33 28 29 28 12 30 0 25 34 35 18 36 24 32 36 30 29 17 25 25 14 23 17 33 2 35 20 19 41 13 19 16 39 39 2 8 34 17 34 15 38 19 0 23 4 0 37 28 9 10 1 1 19 35 42 38 35 24 19 31 30 14 20 36 41 2 20 42 37 39 30 18 31 0 26; [P4] 42 37 8 39 38 33 15 41 41 1 35 26 28 31 2 13 24 4 21 24 8 20 2 31 29 23 5 20 2 4 29 38 22 22 1 19 14 27 15 2 8 30 23 4 3 21 15 25 32 5 32 39 30 15 6 32 32 34 10 23 5 40 2 39 2 31 30 1 4 39 38 42 16 27 26 18 22 38 15 2 28 33 23 14 5 22 39 25 7 40 40 33 3 29 38 14 42 36 9 33"
6,3,-0.5937,0.7778,0.9202,-0.2235,0.1241,"[P0] 25 36 15 2 2 22 20 12 1 36 9 10 8 18 22 4 19 18 26 42 27 26 22 4 3 35 31 26 25 10 9 17 27 6 20 16 20 38 28 24 13 24 12 41 39 23 5 1 24 0 35 8 35 28 28 9 0 18 22 35 6 41 31 11 24 42 33 15 12 40 24 31 9 10 9 13 5 22 19 0 32 12 18 29 24 30 23 15 42 29 26 2 31 14 21 22 28 33 24 39; [P1] 20 18 29 19 6 19 30 21 7 35 27 0 34 16 25 39 22 33 7 39 12 13 32 36 19 15 35 35 37 35 10 35 27 34 31 17 10 13 42 29 38 17 24 24 18 41 10 17 26 24 27 32 34 8 29 24 0 3 26 27 38 14 28 33 30 25 17 23 28 31 17 18 34 26 27 1 21 15 42 9 15 31 28 11 3 7 15 3 6 36 39 6 10 13 23 0 28 2 38 19; [P2] 35 20 11 21 6 9 0 38 7 37 6 27 2 18 30 41 25 40 31 7 28 17 32 33 16 24 29 11 28 31 41 10 33 31 1 19 13 36 40 16 42 7 6 29 1 5 38 20 41 17 0 39 1 27 6 30 32 16 34 14 5 32 17 28 18 35 16 5 25 13 11 13 32 26 27 4 13 5 17 6 23 15 14 8 40 34 7 24 32 6 15 32 24 4 39 19 33 15 26 8; [P3] 29 24 3 39 39 19 32 6 19 2 26 38 42 6 13 21 5 33 17 14 19 18 39 5 2 33 28 29 28 12 30 0 25 34 35 18 36 24 32 36 30 29 17 25 25 14 23 17 33 2 35 20 19 41 13 19 16 39 39 2 8 34 17 34 15 38 19 0 23 4 0 37 28 9 10 1 1 19 35 42 38 35 24 19 31 30 14 20 36 41 2 20 42 37 39 30 18 31 0 26; [P4] 42 37 8 39 38 33 15 41 41 1 35 26 28 31 2 13 24 4 21 24 8 20 2 31 29 23 5 20 2 4 29 38 22 22 1 19 14 27 15 2 8 30 23 4 3 21 15 25 32 5 32 39 30 15 6 32 32 34 10 23 5 40 2 39 2 31 30 1 4 39 38 42 16 27 26 18 22 38 15 2 28 33 23 14 5 22 39 25 7 40 40 33 3 29 38 14 42 36 9 33"
7,4,-0.6178,0.8000,0.9110,-0.2249,0.1206,"[P0] 0 12 35 20 2 39 30 33 18 13 4 29 35 9 17 32 16 39 8 15 39 28 2 35 19 7 20 18 15 4 22 7 1 17 28 18 26 39 24 25 4 27 30 2 40 8 40 15 39 16 10 31 27 42 8 1 9 27 3 13 31 13 12 10 42 39 9 20 34 29 9 32 19 13 37 10 24 13 27 12 0 9 15 12 23 18 39 28 42 2 41 14 6 27 36 4 22 32 15 38; [P1] 39 31 14 26 12 11 28 18 3 7 35 22 24 37 7 38 35 8 12 7 13 1 24 33 37 6 38 2 24 14 10 26 39 31 15 1 0 17 11 34 14 32 10 8 30 6 13 40 28 1 32 40 14 29 7 26 42 41 9 14 8 4 26 7 1 13 16 35 19 2 8 28 23 25 20 36 28 20 6 23 32 39 41 10 38 9 33 34 7 25 10 1 21 38 42 31 31 38 29 25; [P2] 30 11 15 38 20 18 39 40 15 24 32 40 0 11 38 20 0 27 27 10 39 30 14 28 1 17 20 31 33 4 38 2 21 15 26 24 24 20 40 38 25 26 29 20 23 39 40 40 40 5 24 17 7 13 23 24 9 38 31 38 21 36 9 25 36 36 37 39 10 20 38 25 38 12 31 39 9 2 38 12 33 7 24 29 22 39 33 22 26 20 32 17 17 24 2 23 2 14 31 11; [P3] 4 32 26 13 39 40 29 16 39 30 6 1 24 40 17 18 4 11 32 31 41 13 9 40 24 31 29 6 36 23 34 9 0 23 2 28 10 6 16 10 5 5 18 41 6 39 13 27 1 1 12 15 39 10 37 8 17 5 1 22 0 32 13 23 9 26 26 1 0 29 28 14 28 7 1 11 17 7 14 6 1 24 42 28 5 2 18 33 7 12 27 7 33 7 5 22 11 41 15 1; [P4] 32 29 31 6 3 27 9 14 26 29 5 29 38 33 30 23 20 27 29 6 15 0 2 30 34 34 17 32 6 8 5 33 20 41 31 33 9 12 22 1 17 37 14 37 27 34 2 11 14 34 37 2 11 28 14 12 16 20 12 33 36 6 34 16 33 28 3 42 10 32 1 15 42 26 7 32 36 26 12 1 3 39 7 32 42 28 21 8 35 14 28 10 14 38 9 25 19 7 22 1"
8,5,-0.6404,0.8235,0.9157,-0.2267,0.1186,"[P0] 34 28 20 32 37 33 34 8 25 31 33 36 7 2 25 37 1 38 2 14 3 17 1 22 14 41 12 1 24 7 25 14 39 2 27 40 24 36 16 39 2 41 37 15 30 32 29 37 36 10 10 34 4 26 34 27 16 0 2 40 28 0 1 11 11 3 31 34 42 41 13 25 32 5 1 23 30 40 37 0 20 34 22 40 0 9 4 34 2 10 2 41 13 11 21 2 18 27 37 20; [P1] 6 20 22 0 4 0 18 41 20 0 32 31 1 2 31 40 39 10 37 24 21 41 42 33 15 0 2 6 22 38 5 1 17 40 8 7 36 28 32 28 21 22 37 29 0 21 22 5 17 13 26 13 0 36 9 16 7 32 5 13 28 25 32 20 27 4 5 19 20 25 15 34 5 12 38 25 2 34 28 11 23 42 0 14 30 34 0 15 28 39 6 22 17 19 39 39 6 6 17 26; [P2] 35 21 33 17 3 39 4 3 32 31 34 20 12 5 25 40 3 2 3 38 9 35 22 1 11 8 13 11 33 19 6 17 25 25 0 4 40 3 35 6 38 28 19 23 36 17 11 19 42 39 27 2 31 40 16 25 32 24 19 18 39 21 24 27 31 25 14 34 30 42 8 5 1 32 39 28 15 24 14 36 33 27 22 20 40 9 39 28 32 12 12 7 38 14 36 36 31 11 0 16; [P3] 33 5 7 29 7 7 8 27 20 13 41 42 37 40 0 29 1 8 38 12 7 13 25 29 34 20 17 32 9 29 7 7 8 21 19 25 15 27 15 40 24 8 21 20 29 28 7 6 37 17 20 12 21 32 8 39 21 40 1 14 22 36 1 11 2 16 22 11 42 31 24 15 24 20 4 22 15 29 6 24 21 19 21 36 42 1 39 15 39 23 25 36 38 24 5 10 33 10 23 25; [P4] 1 2 13 17 38 15 39 21 42 27 9 13 41 1 21 22 1 12 22 31 32 16 38 26 22 1 33 19 11 6 17 25 26 41 24 40 25 37 21 34 34 42 9 7 17 14 21 18 21 15 26 24 42 0 4 21 28 1 28 12 41 31 33 7 40 2 23 35 33 21 8 41 14 39 6 14 18 15 27 19 1 2 28 28 30 8 0 16 16 41 37 33 39 2 10 23 25 22 20 5"
9,5,-0.6404,0.8235,0.9157,-0.2344,0.1188,"[P0] 34 28 20 32 37 33 34 8 25 31 33 36 7 2 25 37 1 38 2 14 3 17 1 22 14 41 12 1 24 7 25 14 39 2 27 40 24 36 16 39 2 41 37 15 30 32 29 37 36 10 10 34 4 26 34 27 16 0 2 40 28 0 1 11 11 3 31 34 42 41 13 25 32 5 1 23 30 40 37 0 20 34 22 40 0 9 4 34 2 10 2 41 13 11 21 2 18 27 37 20; [P1] 6 20 22 0 4 0 18 41 20 0 32 31 1 2 31 40 39 10 37 24 21 41 42 33 15 0 2 6 22 38 5 1 17 40 8 7 36 28 32 28 21 22 37 29 0 21 22 5 17 13 26 13 0 36 9 16 7 32 5 13 28 25 32 20 27 4 5 19 20 25 15 34 5 12 38 25 2 34 28 11 23 42 0 14 30 34 0 15 28 39 6 22 17 19 39 39 6 6 17 26; [P2] 35 21 33 17 3 39 4 3 32 31 34 20 12 5 25 40 3 2 3 38 9 35 22 1 11 8 13 11 33 19 6 17 25 25 0 4 40 3 35 6 38 28 19 23 36 17 11 19 42 39 27 2 31 40 16 25 32 24 19 18 39 21 24 27 31 25 14 34 30 42 8 5 1 32 39 28 15 24 14 36 33 27 22 20 40 9 39 28 32 12 12 7 38 14 36 36 31 11 0 16; [P3] 33 5 7 29 7 7 8 27 20 13 41 42 37 40 0 29 1 8 38 12 7 13 25 29 34 20 17 32 9 29 7 7 8 21 19 25 15 27 15 40 24 8 21 20 29 28 7 6 37 17 20 12 21 32 8 39 21 40 1 14 22 36 1 11 2 16 22 11 42 31 24 15 24 20 4 22 15 29 6 24 21 19 21 36 42 1 39 15 39 23 25 36 38 24 5 10 33 10 23 25; [P4] 1 2 13 17 38 15 39 21 42 27 9 13 41 1 21 22 1 12 22 31 32 16 38 26 22 1 33 19 11 6 17 25 26 41 24 40 25 37 21 34 34 42 9 7 17 14 21 18 21 15 26 24 42 0 4 21 28 1 28 12 41 31 33 7 40 2 23 35 33 21 8 41 14 39 6 14 18 15 27 19 1 2 28 28 30 8 0 16 16 41 37 33 39 2 10 23 25 22 20 5"
