# seed=123456
# instance=BALANCED
# popSize=100
# generations=50
# crossover=BlockUniformCrossover(p=0.75)
# mutation=FlipMutation(p0=0.1,pMin=0.002,alpha=0.9)
# selection=NaryTournament(k=3)
# elitism=2
# lambda_similarity=0.2
# fights_per_team=5
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5930,0.7778,0.9241,-0.2087,0.1289,"24 18 14 35 23 30 10 34 23 29 9 12 32 30 28 0 15 0 27 2 37 0 29 20 13 31 28 39 24 18 24 21 6 28 6 8 5 34 37 41 13 33 21 12 29 19 40 24 1 24 37 29 35 18 7 11 24 5 20 25 40 21 14 0 4 30 14 16 31 15 25 40 13 27 31 27 29 29 9 32 26 17 31 26 7 10 6 16 38 2 0 1 32 37 30 12 38 28 2 10 9 23 12 36 17 38 7 27 2 9 1 26 29 19 9 16 30 1 37 34 28 33 15 32 24 37 8 17 39 21 29 16 37 15 1 5 20 32 11 24 7 36 40 40 41 29 37 42 25 36 39 38 30 10 32 30 36 12 8 34 29 1 24 39 35 16 2 0 18 23 20 29 23 5 26 31 27 21 39 28 31 32 42 22 37 11 6 24 10 15 36 31 24 42 18 21 39 9 31 37 1 2 8 40 26 5 4 29 13 33 34 19 32 6 14 42 19 24 36 38 24 15 3 37 31 24 14 16 30 23 24 38 5 12 21 6 0 31 39 39 17 35 3 38 32 9 31 32 7 15 32 29 40 35 23 5 27 35 22 7 35 11 23 3 24 11 23 8 2 11 25 38 5 10 31 35 4 31 32 17 40 21 36 15 8 26 37 1 16 1 29 6 17 21 1 30 26 32 39 6 20 32 26 13 39 40 29 16 39 30 7 1 24 40 17 18 32 11 32 31 16 13 9 32 24 13 29 7 36 23 34 20 0 23 21 28 10 8 16 10 16 5 29 41 6 2 13 27 1 1 12 15 32 40 37 8 17 14 7 31 23 32 13 23 36 4 21 31 22 29 28 14 28 7 1 11 17 22 14 6 1 32 39 32 16 17 18 33 7 27 21 29 2 7 5 22 11 34 15 22 21 14 13 2 41 14 33 41 37 34 24 6 25 40 5 30 28 19 23 33 27 34 23 17 20 37 12 41 37 27 5 19 36 25 21 39 36 12 0 16 39 11 27 13 9 15 31 25 22 13 37 15 28 30 5 15 33 10 29 27 5 5 40 11 0 40 18 40 11 24 0 5 16 21 3 22 9 34 41 24 8 31 9 6 21 37 20 20 29 26 35 8 38 1 19 33 0 34 19 19"
1,1,-0.5930,0.7778,0.9241,-0.2278,0.1187,"24 18 14 35 23 30 10 34 23 29 9 12 32 30 28 0 15 0 27 2 37 0 29 20 13 31 28 39 24 18 24 21 6 28 6 8 5 34 37 41 13 33 21 12 29 19 40 24 1 24 37 29 35 18 7 11 24 5 20 25 40 21 14 0 4 30 14 16 31 15 25 40 13 27 31 27 29 29 9 32 26 17 31 26 7 10 6 16 38 2 0 1 32 37 30 12 38 28 2 10 9 23 12 36 17 38 7 27 2 9 1 26 29 19 9 16 30 1 37 34 28 33 15 32 24 37 8 17 39 21 29 16 37 15 1 5 20 32 11 24 7 36 40 40 41 29 37 42 25 36 39 38 30 10 32 30 36 12 8 34 29 1 24 39 35 16 2 0 18 23 20 29 23 5 26 31 27 21 39 28 31 32 42 22 37 11 6 24 10 15 36 31 24 42 18 21 39 9 31 37 1 2 8 40 26 5 4 29 13 33 34 19 32 6 14 42 19 24 36 38 24 15 3 37 31 24 14 16 30 23 24 38 5 12 21 6 0 31 39 39 17 35 3 38 32 9 31 32 7 15 32 29 40 35 23 5 27 35 22 7 35 11 23 3 24 11 23 8 2 11 25 38 5 10 31 35 4 31 32 17 40 21 36 15 8 26 37 1 16 1 29 6 17 21 1 30 26 32 39 6 20 32 26 13 39 40 29 16 39 30 7 1 24 40 17 18 32 11 32 31 16 13 9 32 24 13 29 7 36 23 34 20 0 23 21 28 10 8 16 10 16 5 29 41 6 2 13 27 1 1 12 15 32 40 37 8 17 14 7 31 23 32 13 23 36 4 21 31 22 29 28 14 28 7 1 11 17 22 14 6 1 32 39 32 16 17 18 33 7 27 21 29 2 7 5 22 11 34 15 22 21 14 13 2 41 14 33 41 37 34 24 6 25 40 5 30 28 19 23 33 27 34 23 17 20 37 12 41 37 27 5 19 36 25 21 39 36 12 0 16 39 11 27 13 9 15 31 25 22 13 37 15 28 30 5 15 33 10 29 27 5 5 40 11 0 40 18 40 11 24 0 5 16 21 3 22 9 34 41 24 8 31 9 6 21 37 20 20 29 26 35 8 38 1 19 33 0 34 19 19"
2,1,-0.5930,0.7778,0.9241,-0.2265,0.1174,"24 18 14 35 23 30 10 34 23 29 9 12 32 30 28 0 15 0 27 2 37 0 29 20 13 31 28 39 24 18 24 21 6 28 6 8 5 34 37 41 13 33 21 12 29 19 40 24 1 24 37 29 35 18 7 11 24 5 20 25 40 21 14 0 4 30 14 16 31 15 25 40 13 27 31 27 29 29 9 32 26 17 31 26 7 10 6 16 38 2 0 1 32 37 30 12 38 28 2 10 9 23 12 36 17 38 7 27 2 9 1 26 29 19 9 16 30 1 37 34 28 33 15 32 24 37 8 17 39 21 29 16 37 15 1 5 20 32 11 24 7 36 40 40 41 29 37 42 25 36 39 38 30 10 32 30 36 12 8 34 29 1 24 39 35 16 2 0 18 23 20 29 23 5 26 31 27 21 39 28 31 32 42 22 37 11 6 24 10 15 36 31 24 42 18 21 39 9 31 37 1 2 8 40 26 5 4 29 13 33 34 19 32 6 14 42 19 24 36 38 24 15 3 37 31 24 14 16 30 23 24 38 5 12 21 6 0 31 39 39 17 35 3 38 32 9 31 32 7 15 32 29 40 35 23 5 27 35 22 7 35 11 23 3 24 11 23 8 2 11 25 38 5 10 31 35 4 31 32 17 40 21 36 15 8 26 37 1 16 1 29 6 17 21 1 30 26 32 39 6 20 32 26 13 39 40 29 16 39 30 7 1 24 40 17 18 32 11 32 31 16 13 9 32 24 13 29 7 36 23 34 20 0 23 21 28 10 8 16 10 16 5 29 41 6 2 13 27 1 1 12 15 32 40 37 8 17 14 7 31 23 32 13 23 36 4 21 31 22 29 28 14 28 7 1 11 17 22 14 6 1 32 39 32 16 17 18 33 7 27 21 29 2 7 5 22 11 34 15 22 21 14 13 2 41 14 33 41 37 34 24 6 25 40 5 30 28 19 23 33 27 34 23 17 20 37 12 41 37 27 5 19 36 25 21 39 36 12 0 16 39 11 27 13 9 15 31 25 22 13 37 15 28 30 5 15 33 10 29 27 5 5 40 11 0 40 18 40 11 24 0 5 16 21 3 22 9 34 41 24 8 31 9 6 21 37 20 20 29 26 35 8 38 1 19 33 0 34 19 19"
3,2,-0.6148,0.8000,0.9261,-0.2258,0.1206,"30 4 28 11 2 19 38 30 27 26 38 0 7 32 39 41 11 13 13 20 18 13 6 24 38 4 1 1 7 10 35 26 7 37 21 42 37 15 28 29 18 2 4 29 41 4 15 24 34 0 11 17 38 35 24 2 20 26 6 13 4 13 2 38 5 17 1 13 11 34 25 37 13 4 37 21 8 21 39 39 24 2 16 5 12 10 25 33 18 1 10 13 39 1 4 26 41 9 24 5 29 20 24 36 4 0 41 41 25 0 32 13 1 2 21 40 39 10 37 22 21 29 22 33 15 0 2 6 22 33 5 1 17 40 6 36 0 28 32 36 15 22 37 29 37 9 1 5 5 13 40 23 0 36 8 37 7 32 12 13 4 39 27 20 27 4 5 19 20 25 15 21 5 12 39 25 2 21 39 11 15 13 0 29 30 34 0 15 28 41 33 22 17 19 36 39 6 6 21 26 35 17 9 7 31 16 2 15 9 12 19 7 2 38 17 22 1 32 22 25 12 41 21 19 42 38 8 10 42 33 29 34 23 13 39 24 35 13 36 19 32 30 23 12 2 20 13 13 0 3 37 16 37 19 8 15 40 20 41 25 34 25 1 37 8 6 35 21 17 16 27 37 41 40 37 10 21 42 32 9 31 28 37 8 33 35 40 32 16 29 19 32 35 42 7 40 25 29 24 5 18 36 42 25 8 24 28 4 15 6 20 38 37 27 21 2 16 10 33 26 41 12 6 16 11 30 1 32 8 5 30 9 2 5 34 21 20 14 16 22 21 31 39 7 34 32 39 25 41 13 40 12 19 1 12 37 29 16 33 23 39 21 20 36 39 0 24 30 34 11 36 35 13 1 36 36 38 35 37 2 2 1 16 39 4 38 4 26 6 19 3 5 25 9 6 21 19 3 25 13 21 35 2 39 22 14 1 2 28 16 1 33 35 15 23 20 37 26 16 14 12 23 1 25 37 20 18 35 17 25 7 4 19 14 33 8 5 16 16 7 1 25 23 19 41 18 3 5 24 17 30 21 15 18 30 10 6 7 3 40 9 37 7 14 23 10 19 4 9 27 39 16 34 41 16 32 32 10 10 0 12 2 13 24 19 3 3 19 38 19 21 26 39 40 16 25 0 36 10 20"
4,2,-0.6148,0.8000,0.9261,-0.2355,0.1286,"30 4 28 11 2 19 38 30 27 26 38 0 7 32 39 41 11 13 13 20 18 13 6 24 38 4 1 1 7 10 35 26 7 37 21 42 37 15 28 29 18 2 4 29 41 4 15 24 34 0 11 17 38 35 24 2 20 26 6 13 4 13 2 38 5 17 1 13 11 34 25 37 13 4 37 21 8 21 39 39 24 2 16 5 12 10 25 33 18 1 10 13 39 1 4 26 41 9 24 5 29 20 24 36 4 0 41 41 25 0 32 13 1 2 21 40 39 10 37 22 21 29 22 33 15 0 2 6 22 33 5 1 17 40 6 36 0 28 32 36 15 22 37 29 37 9 1 5 5 13 40 23 0 36 8 37 7 32 12 13 4 39 27 20 27 4 5 19 20 25 15 21 5 12 39 25 2 21 39 11 15 13 0 29 30 34 0 15 28 41 33 22 17 19 36 39 6 6 21 26 35 17 9 7 31 16 2 15 9 12 19 7 2 38 17 22 1 32 22 25 12 41 21 19 42 38 8 10 42 33 29 34 23 13 39 24 35 13 36 19 32 30 23 12 2 20 13 13 0 3 37 16 37 19 8 15 40 20 41 25 34 25 1 37 8 6 35 21 17 16 27 37 41 40 37 10 21 42 32 9 31 28 37 8 33 35 40 32 16 29 19 32 35 42 7 40 25 29 24 5 18 36 42 25 8 24 28 4 15 6 20 38 37 27 21 2 16 10 33 26 41 12 6 16 11 30 1 32 8 5 30 9 2 5 34 21 20 14 16 22 21 31 39 7 34 32 39 25 41 13 40 12 19 1 12 37 29 16 33 23 39 21 20 36 39 0 24 30 34 11 36 35 13 1 36 36 38 35 37 2 2 1 16 39 4 38 4 26 6 19 3 5 25 9 6 21 19 3 25 13 21 35 2 39 22 14 1 2 28 16 1 33 35 15 23 20 37 26 16 14 12 23 1 25 37 20 18 35 17 25 7 4 19 14 33 8 5 16 16 7 1 25 23 19 41 18 3 5 24 17 30 21 15 18 30 10 6 7 3 40 9 37 7 14 23 10 19 4 9 27 39 16 34 41 16 32 32 10 10 0 12 2 13 24 19 3 3 19 38 19 21 26 39 40 16 25 0 36 10 20"
5,3,-0.6780,0.8696,0.9576,-0.2297,0.1228,"30 23 28 11 2 39 38 30 5 22 15 0 7 32 17 41 27 13 13 20 18 13 6 24 38 19 1 1 7 33 1 32 2 39 21 9 29 15 30 29 18 22 4 29 41 4 15 24 0 1 11 17 38 35 24 13 20 5 6 5 4 33 2 5 5 41 32 11 27 34 25 39 19 2 37 28 31 8 39 19 24 22 16 10 13 34 25 33 18 1 10 30 39 29 4 26 1 9 22 5 6 34 9 31 27 29 18 28 39 3 40 31 42 39 36 19 8 2 37 20 24 15 39 20 23 2 2 22 35 0 19 33 7 24 13 0 18 42 21 27 41 24 18 1 1 1 29 19 26 8 22 32 6 4 42 13 24 32 40 39 17 20 18 28 37 38 32 6 32 0 10 3 37 24 31 24 29 18 8 24 10 27 7 27 31 5 2 22 36 3 6 32 30 35 2 4 22 18 28 33 4 24 39 7 3 39 7 19 27 31 7 3 38 16 38 26 40 37 40 15 27 10 22 28 5 7 41 12 20 4 14 0 25 20 5 20 0 32 32 9 39 21 8 9 10 2 41 34 42 33 14 30 5 13 23 1 19 34 37 35 39 30 4 2 14 8 2 33 26 12 16 6 29 13 41 20 15 18 34 25 35 12 0 28 29 39 39 25 1 3 1 34 1 30 31 7 18 24 4 31 24 17 19 7 19 28 35 19 3 26 26 11 26 3 20 21 12 28 38 8 36 9 36 28 1 10 24 3 26 3 40 29 36 9 37 29 17 1 25 40 2 15 19 36 42 18 2 31 36 33 37 0 20 6 37 1 10 38 1 41 7 7 16 14 16 2 3 1 33 8 24 26 30 1 32 40 33 10 17 14 6 8 39 20 13 18 39 23 3 16 26 35 7 19 36 16 27 0 19 18 7 21 11 36 21 1 30 5 5 24 23 34 10 35 22 16 35 31 8 20 14 35 32 12 8 0 7 35 10 28 40 39 33 15 12 30 38 10 8 29 36 39 23 6 28 31 28 18 19 25 22 29 17 4 16 38 21 30 30 0 14 37 23 7 19 19 42 22 33 3 23 16 11 16 34 6 18 39 29 39 40 23 25 40 41 31 22 1 1 26 20 3 12 39 39 41 12 28 33 3"
6,3,-0.6780,0.8696,0.9576,-0.2474,0.1273,"30 23 28 11 2 39 38 30 5 22 15 0 7 32 17 41 27 13 13 20 18 13 6 24 38 19 1 1 7 33 1 32 2 39 21 9 29 15 30 29 18 22 4 29 41 4 15 24 0 1 11 17 38 35 24 13 20 5 6 5 4 33 2 5 5 41 32 11 27 34 25 39 19 2 37 28 31 8 39 19 24 22 16 10 13 34 25 33 18 1 10 30 39 29 4 26 1 9 22 5 6 34 9 31 27 29 18 28 39 3 40 31 42 39 36 19 8 2 37 20 24 15 39 20 23 2 2 22 35 0 19 33 7 24 13 0 18 42 21 27 41 24 18 1 1 1 29 19 26 8 22 32 6 4 42 13 24 32 40 39 17 20 18 28 37 38 32 6 32 0 10 3 37 24 31 24 29 18 8 24 10 27 7 27 31 5 2 22 36 3 6 32 30 35 2 4 22 18 28 33 4 24 39 7 3 39 7 19 27 31 7 3 38 16 38 26 40 37 40 15 27 10 22 28 5 7 41 12 20 4 14 0 25 20 5 20 0 32 32 9 39 21 8 9 10 2 41 34 42 33 14 30 5 13 23 1 19 34 37 35 39 30 4 2 14 8 2 33 26 12 16 6 29 13 41 20 15 18 34 25 35 12 0 28 29 39 39 25 1 3 1 34 1 30 31 7 18 24 4 31 24 17 19 7 19 28 35 19 3 26 26 11 26 3 20 21 12 28 38 8 36 9 36 28 1 10 24 3 26 3 40 29 36 9 37 29 17 1 25 40 2 15 19 36 42 18 2 31 36 33 37 0 20 6 37 1 10 38 1 41 7 7 16 14 16 2 3 1 33 8 24 26 30 1 32 40 33 10 17 14 6 8 39 20 13 18 39 23 3 16 26 35 7 19 36 16 27 0 19 18 7 21 11 36 21 1 30 5 5 24 23 34 10 35 22 16 35 31 8 20 14 35 32 12 8 0 7 35 10 28 40 39 33 15 12 30 38 10 8 29 36 39 23 6 28 31 28 18 19 25 22 29 17 4 16 38 21 30 30 0 14 37 23 7 19 19 42 22 33 3 23 16 11 16 34 6 18 39 29 39 40 23 25 40 41 31 22 1 1 26 20 3 12 39 39 41 12 28 33 3"
7,3,-0.6780,0.8696,0.9576,-0.2534,0.1245,"30 23 28 11 2 39 38 30 5 22 15 0 7 32 17 41 27 13 13 20 18 13 6 24 38 19 1 1 7 33 1 32 2 39 21 9 29 15 30 29 18 22 4 29 41 4 15 24 0 1 11 17 38 35 24 13 20 5 6 5 4 33 2 5 5 41 32 11 27 34 25 39 19 2 37 28 31 8 39 19 24 22 16 10 13 34 25 33 18 1 10 30 39 29 4 26 1 9 22 5 6 34 9 31 27 29 18 28 39 3 40 31 42 39 36 19 8 2 37 20 24 15 39 20 23 2 2 22 35 0 19 33 7 24 13 0 18 42 21 27 41 24 18 1 1 1 29 19 26 8 22 32 6 4 42 13 24 32 40 39 17 20 18 28 37 38 32 6 32 0 10 3 37 24 31 24 29 18 8 24 10 27 7 27 31 5 2 22 36 3 6 32 30 35 2 4 22 18 28 33 4 24 39 7 3 39 7 19 27 31 7 3 38 16 38 26 40 37 40 15 27 10 22 28 5 7 41 12 20 4 14 0 25 20 5 20 0 32 32 9 39 21 8 9 10 2 41 34 42 33 14 30 5 13 23 1 19 34 37 35 39 30 4 2 14 8 2 33 26 12 16 6 29 13 41 20 15 18 34 25 35 12 0 28 29 39 39 25 1 3 1 34 1 30 31 7 18 24 4 31 24 17 19 7 19 28 35 19 3 26 26 11 26 3 20 21 12 28 38 8 36 9 36 28 1 10 24 3 26 3 40 29 36 9 37 29 17 1 25 40 2 15 19 36 42 18 2 31 36 33 37 0 20 6 37 1 10 38 1 41 7 7 16 14 16 2 3 1 33 8 24 26 30 1 32 40 33 10 17 14 6 8 39 20 13 18 39 23 3 16 26 35 7 19 36 16 27 0 19 18 7 21 11 36 21 1 30 5 5 24 23 34 10 35 22 16 35 31 8 20 14 35 32 12 8 0 7 35 10 28 40 39 33 15 12 30 38 10 8 29 36 39 23 6 28 31 28 18 19 25 22 29 17 4 16 38 21 30 30 0 14 37 23 7 19 19 42 22 33 3 23 16 11 16 34 6 18 39 29 39 40 23 25 40 41 31 22 1 1 26 20 3 12 39 39 41 12 28 33 3"
8,3,-0.6780,0.8696,0.9576,-0.2582,0.1168,"30 23 28 11 2 39 38 30 5 22 15 0 7 32 17 41 27 13 13 20 18 13 6 24 38 19 1 1 7 33 1 32 2 39 21 9 29 15 30 29 18 22 4 29 41 4 15 24 0 1 11 17 38 35 24 13 20 5 6 5 4 33 2 5 5 41 32 11 27 34 25 39 19 2 37 28 31 8 39 19 24 22 16 10 13 34 25 33 18 1 10 30 39 29 4 26 1 9 22 5 6 34 9 31 27 29 18 28 39 3 40 31 42 39 36 19 8 2 37 20 24 15 39 20 23 2 2 22 35 0 19 33 7 24 13 0 18 42 21 27 41 24 18 1 1 1 29 19 26 8 22 32 6 4 42 13 24 32 40 39 17 20 18 28 37 38 32 6 32 0 10 3 37 24 31 24 29 18 8 24 10 27 7 27 31 5 2 22 36 3 6 32 30 35 2 4 22 18 28 33 4 24 39 7 3 39 7 19 27 31 7 3 38 16 38 26 40 37 40 15 27 10 22 28 5 7 41 12 20 4 14 0 25 20 5 20 0 32 32 9 39 21 8 9 10 2 41 34 42 33 14 30 5 13 23 1 19 34 37 35 39 30 4 2 14 8 2 33 26 12 16 6 29 13 41 20 15 18 34 25 35 12 0 28 29 39 39 25 1 3 1 34 1 30 31 7 18 24 4 31 24 17 19 7 19 28 35 19 3 26 26 11 26 3 20 21 12 28 38 8 36 9 36 28 1 10 24 3 26 3 40 29 36 9 37 29 17 1 25 40 2 15 19 36 42 18 2 31 36 33 37 0 20 6 37 1 10 38 1 41 7 7 16 14 16 2 3 1 33 8 24 26 30 1 32 40 33 10 17 14 6 8 39 20 13 18 39 23 3 16 26 35 7 19 36 16 27 0 19 18 7 21 11 36 21 1 30 5 5 24 23 34 10 35 22 16 35 31 8 20 14 35 32 12 8 0 7 35 10 28 40 39 33 15 12 30 38 10 8 29 36 39 23 6 28 31 28 18 19 25 22 29 17 4 16 38 21 30 30 0 14 37 23 7 19 19 42 22 33 3 23 16 11 16 34 6 18 39 29 39 40 23 25 40 41 31 22 1 1 26 20 3 12 39 39 41 12 28 33 3"
9,3,-0.6780,0.8696,0.9576,-0.2748,0.1226,"30 23 28 11 2 39 38 30 5 22 15 0 7 32 17 41 27 13 13 20 18 13 6 24 38 19 1 1 7 33 1 32 2 39 21 9 29 15 30 29 18 22 4 29 41 4 15 24 0 1 11 17 38 35 24 13 20 5 6 5 4 33 2 5 5 41 32 11 27 34 25 39 19 2 37 28 31 8 39 19 24 22 16 10 13 34 25 33 18 1 10 30 39 29 4 26 1 9 22 5 6 34 9 31 27 29 18 28 39 3 40 31 42 39 36 19 8 2 37 20 24 15 39 20 23 2 2 22 35 0 19 33 7 24 13 0 18 42 21 27 41 24 18 1 1 1 29 19 26 8 22 32 6 4 42 13 24 32 40 39 17 20 18 28 37 38 32 6 32 0 10 3 37 24 31 24 29 18 8 24 10 27 7 27 31 5 2 22 36 3 6 32 30 35 2 4 22 18 28 33 4 24 39 7 3 39 7 19 27 31 7 3 38 16 38 26 40 37 40 15 27 10 22 28 5 7 41 12 20 4 14 0 25 20 5 20 0 32 32 9 39 21 8 9 10 2 41 34 42 33 14 30 5 13 23 1 19 34 37 35 39 30 4 2 14 8 2 33 26 12 16 6 29 13 41 20 15 18 34 25 35 12 0 28 29 39 39 25 1 3 1 34 1 30 31 7 18 24 4 31 24 17 19 7 19 28 35 19 3 26 26 11 26 3 20 21 12 28 38 8 36 9 36 28 1 10 24 3 26 3 40 29 36 9 37 29 17 1 25 40 2 15 19 36 42 18 2 31 36 33 37 0 20 6 37 1 10 38 1 41 7 7 16 14 16 2 3 1 33 8 24 26 30 1 32 40 33 10 17 14 6 8 39 20 13 18 39 23 3 16 26 35 7 19 36 16 27 0 19 18 7 21 11 36 21 1 30 5 5 24 23 34 10 35 22 16 35 31 8 20 14 35 32 12 8 0 7 35 10 28 40 39 33 15 12 30 38 10 8 29 36 39 23 6 28 31 28 18 19 25 22 29 17 4 16 38 21 30 30 0 14 37 23 7 19 19 42 22 33 3 23 16 11 16 34 6 18 39 29 39 40 23 25 40 41 31 22 1 1 26 20 3 12 39 39 41 12 28 33 3"
