# seed=123456
# instance=EXPONENTIAL
# popSize=100
# generations=50
# crossover=BlockUniformCrossover(p=0.75)
# mutation=FlipMutation(p0=0.1,pMin=0.002,alpha=0.9)
# selection=NaryTournament(k=3)
# elitism=2
# lambda_similarity=0.2
# fights_per_team=5
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6928,0.8824,0.9479,-0.2487,0.1834,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 22 37 20 12 6 24 7 0 14 39 2 27 14 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 41 32 22 0 2 8 28 37 1 11 11 35 41 41 42 41 13 25 32 40 12 23 37 37 37 0 20 34 22 10 0 9 4 34 2 10 3 2 13 11 21 40 32 27 37 20 41 5 30 2 5 22 35 34 29 28 3 28 25 25 11 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 20 8 20 39 14 28 18 40 18 34 29 3 39 8 3 33 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 6 31 26 4 18 33 6 26 1 24 34 17 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 19 13 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 31 14 37 30 0 20 13 13 38 2 3 19 22 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 7 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 27 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 9 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 41 20 17 26 9 8 28 41 31 13 16 33 7 30 37 15 17 3 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 12 9 22 18 11 39 13 19 37 24 26 21 21 23 37 42 23 16 8 9 40 23 34 36 39 2 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 37 34 27 12 29 12 12 21 27 6 37 40 21 1 38 18 2 31 16 26 11 26 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 19 2 32 36 2 22 41 26 30 34 35 4 9 15 10 4 4 3 31 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 12 29 27 1 2 24 7 28 0 17 39 38 30 39 42"
1,2,-0.7100,0.8947,0.9237,-0.2957,0.1103,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
2,3,-0.7616,0.9444,0.9143,-0.3281,0.1160,"12 11 3 39 15 19 4 16 28 28 13 39 22 22 33 11 25 11 22 5 42 13 7 35 17 39 28 4 17 33 19 29 31 19 28 13 40 12 19 22 22 39 33 14 18 40 21 38 33 13 13 26 4 3 25 30 24 7 19 21 14 37 13 28 6 16 11 2 41 31 1 42 18 24 14 8 39 42 39 10 38 10 9 15 33 11 24 4 33 22 26 11 42 31 25 2 34 37 12 42 29 20 40 36 21 0 22 41 25 25 22 13 1 2 0 40 18 10 37 40 21 29 22 33 33 0 2 6 22 33 36 1 20 40 8 36 0 28 7 17 15 22 10 29 37 9 22 23 21 13 0 23 0 36 8 10 7 32 12 13 9 39 32 20 27 4 39 19 2 25 15 21 11 15 15 25 2 41 28 11 34 42 0 29 30 25 42 15 28 10 33 22 0 19 26 39 6 6 21 26 12 20 22 9 13 1 21 39 26 25 1 10 37 2 9 17 5 35 33 13 29 12 17 5 24 37 8 21 38 1 9 18 37 29 18 2 11 26 14 19 36 28 14 38 33 13 42 23 2 39 2 31 1 31 12 19 12 39 5 29 33 28 42 30 36 11 7 29 0 17 23 38 25 11 35 21 21 38 32 15 35 9 22 40 19 5 25 9 11 33 29 41 23 31 21 40 9 12 26 35 30 25 7 17 33 32 7 30 3 21 35 6 8 28 17 0 2 10 21 3 42 1 2 39 18 42 7 17 0 36 2 7 40 24 0 41 10 3 19 41 14 29 14 2 15 1 17 4 18 34 37 15 12 26 20 14 4 13 0 19 24 29 9 8 12 35 16 38 39 39 38 15 29 38 14 24 15 10 10 39 41 32 37 41 23 28 18 12 16 13 31 29 0 12 15 9 1 27 1 4 23 17 30 1 18 9 19 14 7 22 39 20 40 40 28 11 24 7 19 12 11 3 2 22 30 17 36 8 33 22 18 3 24 41 39 8 40 18 22 10 23 21 15 37 1 5 22 13 16 21 29 18 3 8 17 15 23 24 26 32 26 19 14 12 10 40 33 23 2 42 9 7 7 21 26 31 21 8 6 31 27 37 34 24 42 42 21 21 18 28 39 40 10 24 40 25 22 27 12 36"
3,3,-0.7616,0.9444,0.9143,-0.3502,0.0648,"12 11 3 39 15 19 4 16 28 28 13 39 22 22 33 11 25 11 22 5 42 13 7 35 17 39 28 4 17 33 19 29 31 19 28 13 40 12 19 22 22 39 33 14 18 40 21 38 33 13 13 26 4 3 25 30 24 7 19 21 14 37 13 28 6 16 11 2 41 31 1 42 18 24 14 8 39 42 39 10 38 10 9 15 33 11 24 4 33 22 26 11 42 31 25 2 34 37 12 42 29 20 40 36 21 0 22 41 25 25 22 13 1 2 0 40 18 10 37 40 21 29 22 33 33 0 2 6 22 33 36 1 20 40 8 36 0 28 7 17 15 22 10 29 37 9 22 23 21 13 0 23 0 36 8 10 7 32 12 13 9 39 32 20 27 4 39 19 2 25 15 21 11 15 15 25 2 41 28 11 34 42 0 29 30 25 42 15 28 10 33 22 0 19 26 39 6 6 21 26 12 20 22 9 13 1 21 39 26 25 1 10 37 2 9 17 5 35 33 13 29 12 17 5 24 37 8 21 38 1 9 18 37 29 18 2 11 26 14 19 36 28 14 38 33 13 42 23 2 39 2 31 1 31 12 19 12 39 5 29 33 28 42 30 36 11 7 29 0 17 23 38 25 11 35 21 21 38 32 15 35 9 22 40 19 5 25 9 11 33 29 41 23 31 21 40 9 12 26 35 30 25 7 17 33 32 7 30 3 21 35 6 8 28 17 0 2 10 21 3 42 1 2 39 18 42 7 17 0 36 2 7 40 24 0 41 10 3 19 41 14 29 14 2 15 1 17 4 18 34 37 15 12 26 20 14 4 13 0 19 24 29 9 8 12 35 16 38 39 39 38 15 29 38 14 24 15 10 10 39 41 32 37 41 23 28 18 12 16 13 31 29 0 12 15 9 1 27 1 4 23 17 30 1 18 9 19 14 7 22 39 20 40 40 28 11 24 7 19 12 11 3 2 22 30 17 36 8 33 22 18 3 24 41 39 8 40 18 22 10 23 21 15 37 1 5 22 13 16 21 29 18 3 8 17 15 23 24 26 32 26 19 14 12 10 40 33 23 2 42 9 7 7 21 26 31 21 8 6 31 27 37 34 24 42 42 21 21 18 28 39 40 10 24 40 25 22 27 12 36"
4,3,-0.7616,0.9444,0.9143,-0.3652,0.1214,"12 11 3 39 15 19 4 16 28 28 13 39 22 22 33 11 25 11 22 5 42 13 7 35 17 39 28 4 17 33 19 29 31 19 28 13 40 12 19 22 22 39 33 14 18 40 21 38 33 13 13 26 4 3 25 30 24 7 19 21 14 37 13 28 6 16 11 2 41 31 1 42 18 24 14 8 39 42 39 10 38 10 9 15 33 11 24 4 33 22 26 11 42 31 25 2 34 37 12 42 29 20 40 36 21 0 22 41 25 25 22 13 1 2 0 40 18 10 37 40 21 29 22 33 33 0 2 6 22 33 36 1 20 40 8 36 0 28 7 17 15 22 10 29 37 9 22 23 21 13 0 23 0 36 8 10 7 32 12 13 9 39 32 20 27 4 39 19 2 25 15 21 11 15 15 25 2 41 28 11 34 42 0 29 30 25 42 15 28 10 33 22 0 19 26 39 6 6 21 26 12 20 22 9 13 1 21 39 26 25 1 10 37 2 9 17 5 35 33 13 29 12 17 5 24 37 8 21 38 1 9 18 37 29 18 2 11 26 14 19 36 28 14 38 33 13 42 23 2 39 2 31 1 31 12 19 12 39 5 29 33 28 42 30 36 11 7 29 0 17 23 38 25 11 35 21 21 38 32 15 35 9 22 40 19 5 25 9 11 33 29 41 23 31 21 40 9 12 26 35 30 25 7 17 33 32 7 30 3 21 35 6 8 28 17 0 2 10 21 3 42 1 2 39 18 42 7 17 0 36 2 7 40 24 0 41 10 3 19 41 14 29 14 2 15 1 17 4 18 34 37 15 12 26 20 14 4 13 0 19 24 29 9 8 12 35 16 38 39 39 38 15 29 38 14 24 15 10 10 39 41 32 37 41 23 28 18 12 16 13 31 29 0 12 15 9 1 27 1 4 23 17 30 1 18 9 19 14 7 22 39 20 40 40 28 11 24 7 19 12 11 3 2 22 30 17 36 8 33 22 18 3 24 41 39 8 40 18 22 10 23 21 15 37 1 5 22 13 16 21 29 18 3 8 17 15 23 24 26 32 26 19 14 12 10 40 33 23 2 42 9 7 7 21 26 31 21 8 6 31 27 37 34 24 42 42 21 21 18 28 39 40 10 24 40 25 22 27 12 36"
5,3,-0.7616,0.9444,0.9143,-0.3769,0.0142,"12 11 3 39 15 19 4 16 28 28 13 39 22 22 33 11 25 11 22 5 42 13 7 35 17 39 28 4 17 33 19 29 31 19 28 13 40 12 19 22 22 39 33 14 18 40 21 38 33 13 13 26 4 3 25 30 24 7 19 21 14 37 13 28 6 16 11 2 41 31 1 42 18 24 14 8 39 42 39 10 38 10 9 15 33 11 24 4 33 22 26 11 42 31 25 2 34 37 12 42 29 20 40 36 21 0 22 41 25 25 22 13 1 2 0 40 18 10 37 40 21 29 22 33 33 0 2 6 22 33 36 1 20 40 8 36 0 28 7 17 15 22 10 29 37 9 22 23 21 13 0 23 0 36 8 10 7 32 12 13 9 39 32 20 27 4 39 19 2 25 15 21 11 15 15 25 2 41 28 11 34 42 0 29 30 25 42 15 28 10 33 22 0 19 26 39 6 6 21 26 12 20 22 9 13 1 21 39 26 25 1 10 37 2 9 17 5 35 33 13 29 12 17 5 24 37 8 21 38 1 9 18 37 29 18 2 11 26 14 19 36 28 14 38 33 13 42 23 2 39 2 31 1 31 12 19 12 39 5 29 33 28 42 30 36 11 7 29 0 17 23 38 25 11 35 21 21 38 32 15 35 9 22 40 19 5 25 9 11 33 29 41 23 31 21 40 9 12 26 35 30 25 7 17 33 32 7 30 3 21 35 6 8 28 17 0 2 10 21 3 42 1 2 39 18 42 7 17 0 36 2 7 40 24 0 41 10 3 19 41 14 29 14 2 15 1 17 4 18 34 37 15 12 26 20 14 4 13 0 19 24 29 9 8 12 35 16 38 39 39 38 15 29 38 14 24 15 10 10 39 41 32 37 41 23 28 18 12 16 13 31 29 0 12 15 9 1 27 1 4 23 17 30 1 18 9 19 14 7 22 39 20 40 40 28 11 24 7 19 12 11 3 2 22 30 17 36 8 33 22 18 3 24 41 39 8 40 18 22 10 23 21 15 37 1 5 22 13 16 21 29 18 3 8 17 15 23 24 26 32 26 19 14 12 10 40 33 23 2 42 9 7 7 21 26 31 21 8 6 31 27 37 34 24 42 42 21 21 18 28 39 40 10 24 40 25 22 27 12 36"
6,3,-0.7616,0.9444,0.9143,-0.3826,-0.0015,"12 11 3 39 15 19 4 16 28 28 13 39 22 22 33 11 25 11 22 5 42 13 7 35 17 39 28 4 17 33 19 29 31 19 28 13 40 12 19 22 22 39 33 14 18 40 21 38 33 13 13 26 4 3 25 30 24 7 19 21 14 37 13 28 6 16 11 2 41 31 1 42 18 24 14 8 39 42 39 10 38 10 9 15 33 11 24 4 33 22 26 11 42 31 25 2 34 37 12 42 29 20 40 36 21 0 22 41 25 25 22 13 1 2 0 40 18 10 37 40 21 29 22 33 33 0 2 6 22 33 36 1 20 40 8 36 0 28 7 17 15 22 10 29 37 9 22 23 21 13 0 23 0 36 8 10 7 32 12 13 9 39 32 20 27 4 39 19 2 25 15 21 11 15 15 25 2 41 28 11 34 42 0 29 30 25 42 15 28 10 33 22 0 19 26 39 6 6 21 26 12 20 22 9 13 1 21 39 26 25 1 10 37 2 9 17 5 35 33 13 29 12 17 5 24 37 8 21 38 1 9 18 37 29 18 2 11 26 14 19 36 28 14 38 33 13 42 23 2 39 2 31 1 31 12 19 12 39 5 29 33 28 42 30 36 11 7 29 0 17 23 38 25 11 35 21 21 38 32 15 35 9 22 40 19 5 25 9 11 33 29 41 23 31 21 40 9 12 26 35 30 25 7 17 33 32 7 30 3 21 35 6 8 28 17 0 2 10 21 3 42 1 2 39 18 42 7 17 0 36 2 7 40 24 0 41 10 3 19 41 14 29 14 2 15 1 17 4 18 34 37 15 12 26 20 14 4 13 0 19 24 29 9 8 12 35 16 38 39 39 38 15 29 38 14 24 15 10 10 39 41 32 37 41 23 28 18 12 16 13 31 29 0 12 15 9 1 27 1 4 23 17 30 1 18 9 19 14 7 22 39 20 40 40 28 11 24 7 19 12 11 3 2 22 30 17 36 8 33 22 18 3 24 41 39 8 40 18 22 10 23 21 15 37 1 5 22 13 16 21 29 18 3 8 17 15 23 24 26 32 26 19 14 12 10 40 33 23 2 42 9 7 7 21 26 31 21 8 6 31 27 37 34 24 42 42 21 21 18 28 39 40 10 24 40 25 22 27 12 36"
7,3,-0.7616,0.9444,0.9143,-0.3984,0.0006,"12 11 3 39 15 19 4 16 28 28 13 39 22 22 33 11 25 11 22 5 42 13 7 35 17 39 28 4 17 33 19 29 31 19 28 13 40 12 19 22 22 39 33 14 18 40 21 38 33 13 13 26 4 3 25 30 24 7 19 21 14 37 13 28 6 16 11 2 41 31 1 42 18 24 14 8 39 42 39 10 38 10 9 15 33 11 24 4 33 22 26 11 42 31 25 2 34 37 12 42 29 20 40 36 21 0 22 41 25 25 22 13 1 2 0 40 18 10 37 40 21 29 22 33 33 0 2 6 22 33 36 1 20 40 8 36 0 28 7 17 15 22 10 29 37 9 22 23 21 13 0 23 0 36 8 10 7 32 12 13 9 39 32 20 27 4 39 19 2 25 15 21 11 15 15 25 2 41 28 11 34 42 0 29 30 25 42 15 28 10 33 22 0 19 26 39 6 6 21 26 12 20 22 9 13 1 21 39 26 25 1 10 37 2 9 17 5 35 33 13 29 12 17 5 24 37 8 21 38 1 9 18 37 29 18 2 11 26 14 19 36 28 14 38 33 13 42 23 2 39 2 31 1 31 12 19 12 39 5 29 33 28 42 30 36 11 7 29 0 17 23 38 25 11 35 21 21 38 32 15 35 9 22 40 19 5 25 9 11 33 29 41 23 31 21 40 9 12 26 35 30 25 7 17 33 32 7 30 3 21 35 6 8 28 17 0 2 10 21 3 42 1 2 39 18 42 7 17 0 36 2 7 40 24 0 41 10 3 19 41 14 29 14 2 15 1 17 4 18 34 37 15 12 26 20 14 4 13 0 19 24 29 9 8 12 35 16 38 39 39 38 15 29 38 14 24 15 10 10 39 41 32 37 41 23 28 18 12 16 13 31 29 0 12 15 9 1 27 1 4 23 17 30 1 18 9 19 14 7 22 39 20 40 40 28 11 24 7 19 12 11 3 2 22 30 17 36 8 33 22 18 3 24 41 39 8 40 18 22 10 23 21 15 37 1 5 22 13 16 21 29 18 3 8 17 15 23 24 26 32 26 19 14 12 10 40 33 23 2 42 9 7 7 21 26 31 21 8 6 31 27 37 34 24 42 42 21 21 18 28 39 40 10 24 40 25 22 27 12 36"
8,3,-0.7616,0.9444,0.9143,-0.4081,-0.0138,"12 11 3 39 15 19 4 16 28 28 13 39 22 22 33 11 25 11 22 5 42 13 7 35 17 39 28 4 17 33 19 29 31 19 28 13 40 12 19 22 22 39 33 14 18 40 21 38 33 13 13 26 4 3 25 30 24 7 19 21 14 37 13 28 6 16 11 2 41 31 1 42 18 24 14 8 39 42 39 10 38 10 9 15 33 11 24 4 33 22 26 11 42 31 25 2 34 37 12 42 29 20 40 36 21 0 22 41 25 25 22 13 1 2 0 40 18 10 37 40 21 29 22 33 33 0 2 6 22 33 36 1 20 40 8 36 0 28 7 17 15 22 10 29 37 9 22 23 21 13 0 23 0 36 8 10 7 32 12 13 9 39 32 20 27 4 39 19 2 25 15 21 11 15 15 25 2 41 28 11 34 42 0 29 30 25 42 15 28 10 33 22 0 19 26 39 6 6 21 26 12 20 22 9 13 1 21 39 26 25 1 10 37 2 9 17 5 35 33 13 29 12 17 5 24 37 8 21 38 1 9 18 37 29 18 2 11 26 14 19 36 28 14 38 33 13 42 23 2 39 2 31 1 31 12 19 12 39 5 29 33 28 42 30 36 11 7 29 0 17 23 38 25 11 35 21 21 38 32 15 35 9 22 40 19 5 25 9 11 33 29 41 23 31 21 40 9 12 26 35 30 25 7 17 33 32 7 30 3 21 35 6 8 28 17 0 2 10 21 3 42 1 2 39 18 42 7 17 0 36 2 7 40 24 0 41 10 3 19 41 14 29 14 2 15 1 17 4 18 34 37 15 12 26 20 14 4 13 0 19 24 29 9 8 12 35 16 38 39 39 38 15 29 38 14 24 15 10 10 39 41 32 37 41 23 28 18 12 16 13 31 29 0 12 15 9 1 27 1 4 23 17 30 1 18 9 19 14 7 22 39 20 40 40 28 11 24 7 19 12 11 3 2 22 30 17 36 8 33 22 18 3 24 41 39 8 40 18 22 10 23 21 15 37 1 5 22 13 16 21 29 18 3 8 17 15 23 24 26 32 26 19 14 12 10 40 33 23 2 42 9 7 7 21 26 31 21 8 6 31 27 37 34 24 42 42 21 21 18 28 39 40 10 24 40 25 22 27 12 36"
9,3,-0.7616,0.9444,0.9143,-0.4077,-0.0069,"12 11 3 39 15 19 4 16 28 28 13 39 22 22 33 11 25 11 22 5 42 13 7 35 17 39 28 4 17 33 19 29 31 19 28 13 40 12 19 22 22 39 33 14 18 40 21 38 33 13 13 26 4 3 25 30 24 7 19 21 14 37 13 28 6 16 11 2 41 31 1 42 18 24 14 8 39 42 39 10 38 10 9 15 33 11 24 4 33 22 26 11 42 31 25 2 34 37 12 42 29 20 40 36 21 0 22 41 25 25 22 13 1 2 0 40 18 10 37 40 21 29 22 33 33 0 2 6 22 33 36 1 20 40 8 36 0 28 7 17 15 22 10 29 37 9 22 23 21 13 0 23 0 36 8 10 7 32 12 13 9 39 32 20 27 4 39 19 2 25 15 21 11 15 15 25 2 41 28 11 34 42 0 29 30 25 42 15 28 10 33 22 0 19 26 39 6 6 21 26 12 20 22 9 13 1 21 39 26 25 1 10 37 2 9 17 5 35 33 13 29 12 17 5 24 37 8 21 38 1 9 18 37 29 18 2 11 26 14 19 36 28 14 38 33 13 42 23 2 39 2 31 1 31 12 19 12 39 5 29 33 28 42 30 36 11 7 29 0 17 23 38 25 11 35 21 21 38 32 15 35 9 22 40 19 5 25 9 11 33 29 41 23 31 21 40 9 12 26 35 30 25 7 17 33 32 7 30 3 21 35 6 8 28 17 0 2 10 21 3 42 1 2 39 18 42 7 17 0 36 2 7 40 24 0 41 10 3 19 41 14 29 14 2 15 1 17 4 18 34 37 15 12 26 20 14 4 13 0 19 24 29 9 8 12 35 16 38 39 39 38 15 29 38 14 24 15 10 10 39 41 32 37 41 23 28 18 12 16 13 31 29 0 12 15 9 1 27 1 4 23 17 30 1 18 9 19 14 7 22 39 20 40 40 28 11 24 7 19 12 11 3 2 22 30 17 36 8 33 22 18 3 24 41 39 8 40 18 22 10 23 21 15 37 1 5 22 13 16 21 29 18 3 8 17 15 23 24 26 32 26 19 14 12 10 40 33 23 2 42 9 7 7 21 26 31 21 8 6 31 27 37 34 24 42 42 21 21 18 28 39 40 10 24 40 25 22 27 12 36"
