# seed=-123456
# instance=EXPONENTIAL
# popSize=100
# generations=100
# crossover=BlockUniformCrossover(p=0.75)
# mutation=FlipMutation(p0=0.3,pMin=0.02,alpha=0.9)
# selection=NaryTournament(k=3)
# elitism=3
# lambda_similarity=0.3
# fights_per_team=5
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.8235,0.8235,0.0000,-0.0660,0.2842,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 22 37 20 12 6 24 7 0 14 39 2 27 14 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 41 32 22 0 2 8 28 37 1 11 11 35 41 41 42 41 13 25 32 40 12 23 37 37 37 0 20 34 22 10 0 9 4 34 2 10 3 2 13 11 21 40 32 27 37 20 41 5 30 2 5 22 35 34 29 28 3 28 25 25 11 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 20 8 20 39 14 28 18 40 18 34 29 3 39 8 3 33 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 6 31 26 4 18 33 6 26 1 24 34 17 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 19 13 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 31 14 37 30 0 20 13 13 38 2 3 19 22 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 7 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 27 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 9 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 41 20 17 26 9 8 28 41 31 13 16 33 7 30 37 15 17 3 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 12 9 22 18 11 39 13 19 37 24 26 21 21 23 37 42 23 16 8 9 40 23 34 36 39 2 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 37 34 27 12 29 12 12 21 27 6 37 40 21 1 38 18 2 31 16 26 11 26 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 19 2 32 36 2 22 41 26 30 34 35 4 9 15 10 4 4 3 31 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 12 29 27 1 2 24 7 28 0 17 39 38 30 39 42"
1,2,-0.9375,0.9375,0.0000,-0.2951,0.1441,"12 9 27 26 39 39 39 31 2 28 39 17 12 2 17 12 26 25 29 12 39 39 26 39 39 11 17 39 39 39 28 17 39 12 12 17 12 9 12 25 12 18 18 12 9 39 39 26 12 26 26 29 39 2 39 9 39 18 17 39 12 39 29 28 12 33 12 18 28 39 39 39 39 39 9 12 12 39 25 18 9 18 39 2 17 2 18 39 39 39 25 18 9 39 9 17 39 39 27 12 39 12 12 12 2 39 2 27 2 12 11 26 39 32 2 12 2 26 10 7 2 2 33 12 27 2 12 27 2 2 25 2 2 25 2 34 10 39 31 8 2 39 2 8 39 12 39 12 12 27 2 2 12 39 2 40 40 25 2 33 39 39 12 2 39 16 12 28 25 2 39 27 2 2 25 2 39 26 12 12 26 26 27 12 25 39 26 9 12 8 8 2 39 27 32 2 26 2 2 11 12 30 12 12 17 39 29 2 19 7 9 9 12 39 12 12 7 39 9 20 39 12 12 7 0 12 12 17 39 19 39 2 9 12 8 12 12 12 39 39 2 2 12 19 39 12 39 7 39 12 9 2 39 19 19 8 19 36 39 8 39 7 19 12 39 9 39 30 12 19 40 7 41 39 7 39 20 39 19 20 39 7 39 12 39 7 12 17 20 19 8 39 20 39 18 8 8 39 20 8 27 7 39 21 12 39 39 25 8 12 12 9 7 21 7 26 26 7 8 27 7 2 39 12 39 22 12 12 9 26 39 26 39 12 8 22 22 30 25 12 26 12 21 7 27 7 27 12 7 22 39 22 9 8 39 39 7 7 25 7 12 27 12 11 39 39 39 27 22 12 8 11 26 7 25 26 21 12 7 22 12 16 21 39 33 39 8 2 39 16 27 27 7 8 26 39 39 39 7 25 33 30 12 0 29 29 12 12 39 33 28 39 39 0 3 30 39 12 39 12 12 32 12 39 10 12 32 12 0 28 12 39 39 12 12 7 3 12 39 30 39 0 0 12 12 39 9 3 29 3 30 29 34 39 3 12 36 3 0 39 29 32 3 39 12 39 30 0 10 29 28 12 33 0 12 30 16 29 39 12 33 39 29 28 12 39 28 33 12 12 39 12 39 29 3 28 28 32 12 12"
2,3,-0.9474,0.9474,0.0000,-0.2849,0.2111,"12 10 2 2 12 19 2 12 39 39 12 39 2 19 39 39 2 2 28 12 39 11 39 39 2 12 2 2 2 39 18 2 2 17 28 2 2 39 39 39 2 2 20 17 39 2 39 12 11 2 39 2 39 2 12 12 39 2 8 17 39 9 2 10 39 12 23 39 12 27 2 39 2 39 39 12 11 39 12 39 10 39 39 2 39 12 36 19 2 39 10 12 2 12 1 11 17 39 2 10 3 20 3 39 3 3 10 39 39 12 11 39 27 0 27 39 3 12 0 0 39 21 12 27 21 39 20 39 11 3 39 39 12 10 7 39 39 39 32 39 18 22 21 39 39 11 12 3 36 3 22 12 12 2 27 12 21 3 12 26 3 12 12 21 12 22 39 21 19 39 39 3 12 2 21 39 21 32 12 21 21 26 12 21 0 21 0 39 31 39 21 21 39 39 3 0 3 9 41 26 25 12 31 25 12 2 12 39 12 12 25 2 39 25 21 39 2 39 39 12 39 39 12 39 12 2 2 34 19 31 35 2 12 39 39 12 39 2 12 3 25 12 32 12 39 3 16 2 36 12 12 33 12 39 26 3 15 12 39 27 33 27 7 12 41 0 26 2 32 35 39 12 40 39 21 12 39 33 34 3 31 26 12 27 3 39 39 2 12 31 5 39 12 12 25 0 19 27 39 39 2 39 12 18 39 9 11 39 2 12 12 39 2 2 39 10 39 39 2 8 10 39 35 12 39 11 34 10 17 12 0 12 17 10 8 9 12 39 9 3 41 12 12 30 11 39 39 2 12 39 18 10 12 17 39 11 12 2 36 2 9 11 2 7 39 0 9 7 12 35 12 39 12 2 39 2 12 35 10 12 36 12 9 17 12 17 9 12 2 10 10 12 10 12 15 39 16 12 9 10 0 12 36 36 39 34 12 9 39 10 36 11 34 12 39 0 2 36 12 3 39 0 12 39 39 2 10 12 2 0 21 34 36 39 39 12 9 12 34 12 33 35 39 36 39 12 9 35 33 35 3 36 35 39 12 0 35 34 3 35 3 12 12 12 12 34 34 10 22 36 36 35 34 12 14 35 36 12 0 12 9 12 39 35 10 10 16 10 3 3 34 2 41 2 36 3 21 36 39 12"
3,4,-1.0000,1.0000,0.0000,-0.3058,0.1581,"8 7 12 21 12 39 12 19 8 8 39 39 12 39 22 19 7 12 39 7 7 8 39 39 7 20 39 39 19 39 20 39 20 39 39 12 12 19 32 35 7 20 12 12 12 39 12 8 39 28 12 12 12 39 39 29 39 39 39 12 12 12 33 28 39 30 19 7 8 39 12 39 8 20 28 20 23 21 40 19 12 7 12 12 39 20 8 39 23 12 7 30 39 19 12 12 22 8 12 12 12 39 34 39 39 2 27 39 36 12 39 27 12 12 2 34 12 26 28 39 39 12 12 12 39 17 12 17 29 34 39 17 12 35 12 39 12 17 39 12 17 12 39 12 2 12 27 39 34 25 27 12 34 39 12 12 29 39 12 39 12 12 34 34 39 12 39 25 2 17 12 39 17 12 12 39 34 25 12 25 12 25 27 25 25 39 12 12 26 39 27 39 12 13 12 12 26 39 28 26 2 39 2 39 8 39 39 2 39 8 11 39 2 9 2 10 11 39 39 31 9 12 7 39 39 2 9 2 39 10 2 12 12 39 39 32 9 9 39 2 8 11 12 39 2 31 10 9 2 33 11 12 9 32 2 2 12 32 39 2 2 39 2 12 2 33 2 12 39 9 25 9 11 2 9 2 10 2 10 31 2 8 11 2 11 32 11 5 39 6 33 2 9 2 33 9 11 39 2 2 22 25 39 2 21 39 39 10 12 12 22 12 2 12 39 0 0 39 9 12 2 21 2 39 34 12 12 21 21 12 2 35 12 2 39 29 12 3 12 39 10 39 22 39 0 39 0 2 10 4 10 2 2 12 3 12 2 12 39 3 12 12 2 20 39 12 12 2 39 2 12 12 35 11 2 39 9 12 10 2 9 15 2 3 2 12 26 12 3 2 39 39 12 3 12 19 12 10 9 0 12 30 2 32 2 39 2 28 8 12 12 29 39 8 11 39 39 29 28 30 8 28 33 39 7 7 28 12 7 8 2 39 33 12 12 28 25 12 8 12 30 8 0 12 39 29 8 28 31 12 12 39 12 39 12 8 39 7 29 12 2 12 12 39 12 12 7 29 12 7 39 39 12 7 7 22 39 12 8 2 7 29 8 26 30 12 12 11 39 12 8 2 12 12 30 28 30 7 2 0"
4,4,-1.0000,1.0000,0.0000,-0.3028,0.1255,"8 7 12 21 12 39 12 19 8 8 39 39 12 39 22 19 7 12 39 7 7 8 39 39 7 20 39 39 19 39 20 39 20 39 39 12 12 19 32 35 7 20 12 12 12 39 12 8 39 28 12 12 12 39 39 29 39 39 39 12 12 12 33 28 39 30 19 7 8 39 12 39 8 20 28 20 23 21 40 19 12 7 12 12 39 20 8 39 23 12 7 30 39 19 12 12 22 8 12 12 12 39 34 39 39 2 27 39 36 12 39 27 12 12 2 34 12 26 28 39 39 12 12 12 39 17 12 17 29 34 39 17 12 35 12 39 12 17 39 12 17 12 39 12 2 12 27 39 34 25 27 12 34 39 12 12 29 39 12 39 12 12 34 34 39 12 39 25 2 17 12 39 17 12 12 39 34 25 12 25 12 25 27 25 25 39 12 12 26 39 27 39 12 13 12 12 26 39 28 26 2 39 2 39 8 39 39 2 39 8 11 39 2 9 2 10 11 39 39 31 9 12 7 39 39 2 9 2 39 10 2 12 12 39 39 32 9 9 39 2 8 11 12 39 2 31 10 9 2 33 11 12 9 32 2 2 12 32 39 2 2 39 2 12 2 33 2 12 39 9 25 9 11 2 9 2 10 2 10 31 2 8 11 2 11 32 11 5 39 6 33 2 9 2 33 9 11 39 2 2 22 25 39 2 21 39 39 10 12 12 22 12 2 12 39 0 0 39 9 12 2 21 2 39 34 12 12 21 21 12 2 35 12 2 39 29 12 3 12 39 10 39 22 39 0 39 0 2 10 4 10 2 2 12 3 12 2 12 39 3 12 12 2 20 39 12 12 2 39 2 12 12 35 11 2 39 9 12 10 2 9 15 2 3 2 12 26 12 3 2 39 39 12 3 12 19 12 10 9 0 12 30 2 32 2 39 2 28 8 12 12 29 39 8 11 39 39 29 28 30 8 28 33 39 7 7 28 12 7 8 2 39 33 12 12 28 25 12 8 12 30 8 0 12 39 29 8 28 31 12 12 39 12 39 12 8 39 7 29 12 2 12 12 39 12 12 7 29 12 7 39 39 12 7 7 22 39 12 8 2 7 29 8 26 30 12 12 11 39 12 8 2 12 12 30 28 30 7 2 0"
5,4,-1.0000,1.0000,0.0000,-0.3095,0.1497,"8 7 12 21 12 39 12 19 8 8 39 39 12 39 22 19 7 12 39 7 7 8 39 39 7 20 39 39 19 39 20 39 20 39 39 12 12 19 32 35 7 20 12 12 12 39 12 8 39 28 12 12 12 39 39 29 39 39 39 12 12 12 33 28 39 30 19 7 8 39 12 39 8 20 28 20 23 21 40 19 12 7 12 12 39 20 8 39 23 12 7 30 39 19 12 12 22 8 12 12 12 39 34 39 39 2 27 39 36 12 39 27 12 12 2 34 12 26 28 39 39 12 12 12 39 17 12 17 29 34 39 17 12 35 12 39 12 17 39 12 17 12 39 12 2 12 27 39 34 25 27 12 34 39 12 12 29 39 12 39 12 12 34 34 39 12 39 25 2 17 12 39 17 12 12 39 34 25 12 25 12 25 27 25 25 39 12 12 26 39 27 39 12 13 12 12 26 39 28 26 2 39 2 39 8 39 39 2 39 8 11 39 2 9 2 10 11 39 39 31 9 12 7 39 39 2 9 2 39 10 2 12 12 39 39 32 9 9 39 2 8 11 12 39 2 31 10 9 2 33 11 12 9 32 2 2 12 32 39 2 2 39 2 12 2 33 2 12 39 9 25 9 11 2 9 2 10 2 10 31 2 8 11 2 11 32 11 5 39 6 33 2 9 2 33 9 11 39 2 2 22 25 39 2 21 39 39 10 12 12 22 12 2 12 39 0 0 39 9 12 2 21 2 39 34 12 12 21 21 12 2 35 12 2 39 29 12 3 12 39 10 39 22 39 0 39 0 2 10 4 10 2 2 12 3 12 2 12 39 3 12 12 2 20 39 12 12 2 39 2 12 12 35 11 2 39 9 12 10 2 9 15 2 3 2 12 26 12 3 2 39 39 12 3 12 19 12 10 9 0 12 30 2 32 2 39 2 28 8 12 12 29 39 8 11 39 39 29 28 30 8 28 33 39 7 7 28 12 7 8 2 39 33 12 12 28 25 12 8 12 30 8 0 12 39 29 8 28 31 12 12 39 12 39 12 8 39 7 29 12 2 12 12 39 12 12 7 29 12 7 39 39 12 7 7 22 39 12 8 2 7 29 8 26 30 12 12 11 39 12 8 2 12 12 30 28 30 7 2 0"
6,4,-1.0000,1.0000,0.0000,-0.3019,0.1146,"8 7 12 21 12 39 12 19 8 8 39 39 12 39 22 19 7 12 39 7 7 8 39 39 7 20 39 39 19 39 20 39 20 39 39 12 12 19 32 35 7 20 12 12 12 39 12 8 39 28 12 12 12 39 39 29 39 39 39 12 12 12 33 28 39 30 19 7 8 39 12 39 8 20 28 20 23 21 40 19 12 7 12 12 39 20 8 39 23 12 7 30 39 19 12 12 22 8 12 12 12 39 34 39 39 2 27 39 36 12 39 27 12 12 2 34 12 26 28 39 39 12 12 12 39 17 12 17 29 34 39 17 12 35 12 39 12 17 39 12 17 12 39 12 2 12 27 39 34 25 27 12 34 39 12 12 29 39 12 39 12 12 34 34 39 12 39 25 2 17 12 39 17 12 12 39 34 25 12 25 12 25 27 25 25 39 12 12 26 39 27 39 12 13 12 12 26 39 28 26 2 39 2 39 8 39 39 2 39 8 11 39 2 9 2 10 11 39 39 31 9 12 7 39 39 2 9 2 39 10 2 12 12 39 39 32 9 9 39 2 8 11 12 39 2 31 10 9 2 33 11 12 9 32 2 2 12 32 39 2 2 39 2 12 2 33 2 12 39 9 25 9 11 2 9 2 10 2 10 31 2 8 11 2 11 32 11 5 39 6 33 2 9 2 33 9 11 39 2 2 22 25 39 2 21 39 39 10 12 12 22 12 2 12 39 0 0 39 9 12 2 21 2 39 34 12 12 21 21 12 2 35 12 2 39 29 12 3 12 39 10 39 22 39 0 39 0 2 10 4 10 2 2 12 3 12 2 12 39 3 12 12 2 20 39 12 12 2 39 2 12 12 35 11 2 39 9 12 10 2 9 15 2 3 2 12 26 12 3 2 39 39 12 3 12 19 12 10 9 0 12 30 2 32 2 39 2 28 8 12 12 29 39 8 11 39 39 29 28 30 8 28 33 39 7 7 28 12 7 8 2 39 33 12 12 28 25 12 8 12 30 8 0 12 39 29 8 28 31 12 12 39 12 39 12 8 39 7 29 12 2 12 12 39 12 12 7 29 12 7 39 39 12 7 7 22 39 12 8 2 7 29 8 26 30 12 12 11 39 12 8 2 12 12 30 28 30 7 2 0"
7,4,-1.0000,1.0000,0.0000,-0.2993,0.1565,"8 7 12 21 12 39 12 19 8 8 39 39 12 39 22 19 7 12 39 7 7 8 39 39 7 20 39 39 19 39 20 39 20 39 39 12 12 19 32 35 7 20 12 12 12 39 12 8 39 28 12 12 12 39 39 29 39 39 39 12 12 12 33 28 39 30 19 7 8 39 12 39 8 20 28 20 23 21 40 19 12 7 12 12 39 20 8 39 23 12 7 30 39 19 12 12 22 8 12 12 12 39 34 39 39 2 27 39 36 12 39 27 12 12 2 34 12 26 28 39 39 12 12 12 39 17 12 17 29 34 39 17 12 35 12 39 12 17 39 12 17 12 39 12 2 12 27 39 34 25 27 12 34 39 12 12 29 39 12 39 12 12 34 34 39 12 39 25 2 17 12 39 17 12 12 39 34 25 12 25 12 25 27 25 25 39 12 12 26 39 27 39 12 13 12 12 26 39 28 26 2 39 2 39 8 39 39 2 39 8 11 39 2 9 2 10 11 39 39 31 9 12 7 39 39 2 9 2 39 10 2 12 12 39 39 32 9 9 39 2 8 11 12 39 2 31 10 9 2 33 11 12 9 32 2 2 12 32 39 2 2 39 2 12 2 33 2 12 39 9 25 9 11 2 9 2 10 2 10 31 2 8 11 2 11 32 11 5 39 6 33 2 9 2 33 9 11 39 2 2 22 25 39 2 21 39 39 10 12 12 22 12 2 12 39 0 0 39 9 12 2 21 2 39 34 12 12 21 21 12 2 35 12 2 39 29 12 3 12 39 10 39 22 39 0 39 0 2 10 4 10 2 2 12 3 12 2 12 39 3 12 12 2 20 39 12 12 2 39 2 12 12 35 11 2 39 9 12 10 2 9 15 2 3 2 12 26 12 3 2 39 39 12 3 12 19 12 10 9 0 12 30 2 32 2 39 2 28 8 12 12 29 39 8 11 39 39 29 28 30 8 28 33 39 7 7 28 12 7 8 2 39 33 12 12 28 25 12 8 12 30 8 0 12 39 29 8 28 31 12 12 39 12 39 12 8 39 7 29 12 2 12 12 39 12 12 7 29 12 7 39 39 12 7 7 22 39 12 8 2 7 29 8 26 30 12 12 11 39 12 8 2 12 12 30 28 30 7 2 0"
8,4,-1.0000,1.0000,0.0000,-0.3067,0.1755,"8 7 12 21 12 39 12 19 8 8 39 39 12 39 22 19 7 12 39 7 7 8 39 39 7 20 39 39 19 39 20 39 20 39 39 12 12 19 32 35 7 20 12 12 12 39 12 8 39 28 12 12 12 39 39 29 39 39 39 12 12 12 33 28 39 30 19 7 8 39 12 39 8 20 28 20 23 21 40 19 12 7 12 12 39 20 8 39 23 12 7 30 39 19 12 12 22 8 12 12 12 39 34 39 39 2 27 39 36 12 39 27 12 12 2 34 12 26 28 39 39 12 12 12 39 17 12 17 29 34 39 17 12 35 12 39 12 17 39 12 17 12 39 12 2 12 27 39 34 25 27 12 34 39 12 12 29 39 12 39 12 12 34 34 39 12 39 25 2 17 12 39 17 12 12 39 34 25 12 25 12 25 27 25 25 39 12 12 26 39 27 39 12 13 12 12 26 39 28 26 2 39 2 39 8 39 39 2 39 8 11 39 2 9 2 10 11 39 39 31 9 12 7 39 39 2 9 2 39 10 2 12 12 39 39 32 9 9 39 2 8 11 12 39 2 31 10 9 2 33 11 12 9 32 2 2 12 32 39 2 2 39 2 12 2 33 2 12 39 9 25 9 11 2 9 2 10 2 10 31 2 8 11 2 11 32 11 5 39 6 33 2 9 2 33 9 11 39 2 2 22 25 39 2 21 39 39 10 12 12 22 12 2 12 39 0 0 39 9 12 2 21 2 39 34 12 12 21 21 12 2 35 12 2 39 29 12 3 12 39 10 39 22 39 0 39 0 2 10 4 10 2 2 12 3 12 2 12 39 3 12 12 2 20 39 12 12 2 39 2 12 12 35 11 2 39 9 12 10 2 9 15 2 3 2 12 26 12 3 2 39 39 12 3 12 19 12 10 9 0 12 30 2 32 2 39 2 28 8 12 12 29 39 8 11 39 39 29 28 30 8 28 33 39 7 7 28 12 7 8 2 39 33 12 12 28 25 12 8 12 30 8 0 12 39 29 8 28 31 12 12 39 12 39 12 8 39 7 29 12 2 12 12 39 12 12 7 29 12 7 39 39 12 7 7 22 39 12 8 2 7 29 8 26 30 12 12 11 39 12 8 2 12 12 30 28 30 7 2 0"
9,4,-1.0000,1.0000,0.0000,-0.3020,0.1064,"8 7 12 21 12 39 12 19 8 8 39 39 12 39 22 19 7 12 39 7 7 8 39 39 7 20 39 39 19 39 20 39 20 39 39 12 12 19 32 35 7 20 12 12 12 39 12 8 39 28 12 12 12 39 39 29 39 39 39 12 12 12 33 28 39 30 19 7 8 39 12 39 8 20 28 20 23 21 40 19 12 7 12 12 39 20 8 39 23 12 7 30 39 19 12 12 22 8 12 12 12 39 34 39 39 2 27 39 36 12 39 27 12 12 2 34 12 26 28 39 39 12 12 12 39 17 12 17 29 34 39 17 12 35 12 39 12 17 39 12 17 12 39 12 2 12 27 39 34 25 27 12 34 39 12 12 29 39 12 39 12 12 34 34 39 12 39 25 2 17 12 39 17 12 12 39 34 25 12 25 12 25 27 25 25 39 12 12 26 39 27 39 12 13 12 12 26 39 28 26 2 39 2 39 8 39 39 2 39 8 11 39 2 9 2 10 11 39 39 31 9 12 7 39 39 2 9 2 39 10 2 12 12 39 39 32 9 9 39 2 8 11 12 39 2 31 10 9 2 33 11 12 9 32 2 2 12 32 39 2 2 39 2 12 2 33 2 12 39 9 25 9 11 2 9 2 10 2 10 31 2 8 11 2 11 32 11 5 39 6 33 2 9 2 33 9 11 39 2 2 22 25 39 2 21 39 39 10 12 12 22 12 2 12 39 0 0 39 9 12 2 21 2 39 34 12 12 21 21 12 2 35 12 2 39 29 12 3 12 39 10 39 22 39 0 39 0 2 10 4 10 2 2 12 3 12 2 12 39 3 12 12 2 20 39 12 12 2 39 2 12 12 35 11 2 39 9 12 10 2 9 15 2 3 2 12 26 12 3 2 39 39 12 3 12 19 12 10 9 0 12 30 2 32 2 39 2 28 8 12 12 29 39 8 11 39 39 29 28 30 8 28 33 39 7 7 28 12 7 8 2 39 33 12 12 28 25 12 8 12 30 8 0 12 39 29 8 28 31 12 12 39 12 39 12 8 39 7 29 12 2 12 12 39 12 12 7 29 12 7 39 39 12 7 7 22 39 12 8 2 7 29 8 26 30 12 12 11 39 12 8 2 12 12 30 28 30 7 2 0"
