rank,fitness,winrate,genome
1,-0.7141,1.0000,"25 42 25 5 27 39 27 6 26 27 27 2 25 0 27 25 26 25 25 17 39 25 27 9 25 10 25 25 25 9 12 7 25 26 25 27 12 35 27 12 25 21 25 25 25 0 27 25 2 25 2 27 2 25 27 27 26 12 12 25 1 26 26 32 25 27 25 25 11 27 41 27 27 25 27 11 27 26 25 27 27 25 27 25 39 12 12 39 26 27 27 18 41 2 1 26 12 2 39 25 30 6 28 0 4 20 33 10 21 39 9 39 10 9 0 22 22 2 33 2 2 14 2 31 23 10 0 41 11 39 0 33 21 10 39 16 0 10 1 39 9 2 23 39 31 28 11 31 10 41 0 9 10 15 28 11 33 39 0 2 11 11 29 10 10 2 28 22 0 37 41 24 12 41 3 39 2 39 2 0 11 10 14 23 9 2 12 12 3 7 33 39 10 2 0 1 9 24 9 0 27 23 41 27 9 22 12 25 39 13 12 23 39 12 26 39 21 39 22 24 39 2 17 2 12 26 7 39 34 6 7 21 8 7 21 7 2 2 26 22 25 32 1 24 39 12 26 39 2 12 7 27 19 25 7 25 8 39 26 24 39 7 4 26 12 24 37 12 21 12 12 2 24 42 31 7 25 24 25 8 26 10 12 24 8 25 8 39 27 3 11 11 21 26 25 25 24 39 24 23 12 39 31 23 7 24 0 0 24 17 31 7 32 31 24 8 7 8 39 7 33 32 23 24 25 41 33 24 24 33 8 2 17 24 13 7 7 23 38 3 40 31 33 39 23 18 24 39 41 17 31 18 24 35 8 7 13 8 23 39 2 33 12 23 8 7 23 25 32 32 23 23 2 17 8 7 13 32 24 8 9 2 2 8 3 39 23 33 7 7 8 7 25 10 25 24 8 33 18 4 36 3 42 36 12 35 34 36 36 38 2 10 30 35 3 26 34 12 19 34 5 12 9 27 3 12 36 35 2 34 1 10 35 39 39 36 8 26 39 38 39 2 7 26 2 0 4 26 0 34 3 25 0 8 36 7 36 34 34 26 7 13 7 39 12 34 34 7 26 12 3 3 12 36 12 41 35 25 39 7 34 12 34 27 25 35 34 36 25 12 34 2 15 39 3 36 10 12 2 26"
2,-0.7138,1.0000,"25 42 25 5 27 39 27 6 26 27 27 2 25 0 27 25 26 25 25 17 39 25 27 9 25 10 25 25 25 9 12 7 25 26 25 27 12 35 27 12 25 21 25 25 25 0 27 25 2 25 2 27 2 25 27 27 26 12 12 25 1 26 26 32 25 27 25 25 11 27 41 27 27 25 27 11 27 26 25 27 27 25 27 25 39 12 12 39 26 27 27 18 41 2 1 26 12 2 39 25 30 6 28 0 4 20 33 10 21 39 9 39 10 9 0 22 22 2 33 2 2 14 2 31 23 10 0 41 11 39 0 33 21 10 39 16 0 10 1 39 9 2 23 39 31 28 11 31 10 41 0 9 10 15 28 11 33 39 0 2 11 11 29 10 10 2 28 22 0 37 41 24 12 41 3 39 2 39 2 0 11 10 14 23 9 2 12 12 3 7 33 39 10 2 0 1 9 24 9 0 27 23 41 27 9 22 12 25 39 13 12 23 39 12 26 39 21 39 22 24 39 2 17 2 12 26 7 39 34 6 7 21 8 7 21 7 2 2 26 22 25 32 1 24 39 12 26 39 2 12 7 27 19 25 7 25 8 39 26 24 39 7 4 26 12 24 37 12 21 12 12 2 24 42 31 7 25 24 25 8 26 10 12 24 8 25 8 39 27 3 11 11 21 26 25 25 24 39 24 23 12 39 31 23 7 24 0 0 24 17 31 7 32 31 24 8 7 8 39 7 33 32 23 24 25 41 33 24 24 33 8 2 17 24 13 7 7 23 38 3 40 31 33 39 23 18 24 39 41 17 31 18 24 35 8 7 13 8 23 39 2 33 12 23 8 7 23 25 32 32 23 23 2 17 8 7 13 32 24 8 9 2 2 8 3 39 23 33 7 7 8 7 25 10 25 24 8 33 18 4 36 3 42 36 12 35 34 36 36 38 2 10 30 35 3 26 34 12 19 34 5 12 9 27 3 12 36 35 2 34 1 10 35 39 39 36 8 26 39 38 39 2 7 26 2 0 4 26 0 34 3 25 0 8 36 7 36 34 34 26 7 13 7 39 12 34 34 7 26 12 3 3 12 36 12 41 35 25 39 7 34 12 34 27 25 35 34 36 25 12 34 2 15 39 3 36 10 12 2 26"
3,-0.7070,1.0000,"25 42 25 5 27 39 27 6 26 27 27 2 25 0 27 25 26 25 25 17 39 25 27 9 25 10 25 25 25 9 12 7 25 26 25 27 12 35 27 12 25 21 25 25 25 0 27 25 2 25 2 27 2 25 27 27 26 12 12 25 1 26 26 32 25 27 25 25 11 27 41 27 27 25 27 11 27 26 25 27 27 25 27 25 39 12 12 39 26 27 27 18 41 2 1 26 12 2 39 25 30 6 28 0 4 20 33 34 40 39 9 39 10 9 35 22 22 2 33 2 35 14 39 31 23 10 0 41 11 39 35 33 34 10 39 16 0 10 1 39 34 2 23 39 31 28 39 36 10 41 0 9 10 15 28 11 33 35 0 34 34 11 29 10 39 2 28 22 0 37 41 24 34 41 3 39 39 39 2 39 39 10 14 23 9 2 12 12 3 7 33 39 34 2 0 36 9 24 9 0 27 23 41 27 9 22 12 25 39 13 12 23 39 12 26 39 21 39 22 24 39 2 17 2 12 26 7 39 34 6 7 21 8 7 21 7 2 2 26 22 25 32 1 24 39 12 26 39 2 12 7 27 19 25 7 25 8 39 26 24 39 7 4 26 12 24 37 12 21 12 12 2 24 42 31 7 25 24 25 8 26 10 12 24 8 25 8 39 27 3 11 11 21 26 25 25 24 39 24 23 12 39 31 23 7 24 0 0 24 17 31 7 32 31 24 0 7 8 39 7 33 32 23 24 25 41 33 24 24 2 8 2 17 24 13 7 7 23 38 3 40 31 33 39 23 18 24 39 41 17 31 18 24 35 8 7 13 4 23 39 2 33 12 23 8 7 23 25 32 32 23 23 2 17 2 2 13 32 24 8 9 2 2 8 3 39 23 2 7 2 8 7 25 10 25 24 8 33 18 4 36 3 42 36 12 35 34 36 36 38 2 10 30 35 3 26 34 12 19 34 5 12 9 3 3 12 36 35 2 34 41 10 35 39 39 36 8 3 39 38 39 2 7 26 2 0 4 26 0 34 3 25 0 8 36 7 36 34 34 26 7 13 7 39 12 34 34 7 26 12 3 3 12 36 12 41 35 25 39 7 3 12 34 27 25 35 34 36 25 12 34 2 15 39 3 36 10 12 2 26"
4,-0.6043,0.8936,"25 42 25 5 27 39 27 6 26 27 27 2 25 0 27 25 26 25 25 17 39 25 27 9 25 10 25 25 25 9 12 7 25 26 25 27 12 35 27 12 25 21 25 25 25 0 27 25 2 25 2 27 2 25 27 27 26 12 12 25 1 26 26 32 25 27 25 25 11 27 41 27 27 25 27 11 27 26 25 27 27 25 27 25 39 12 12 39 26 27 27 18 41 2 1 26 12 2 39 25 30 30 28 28 4 20 33 10 17 39 9 39 10 30 0 22 22 2 17 2 18 18 2 31 23 10 0 41 28 12 17 33 21 28 39 16 0 10 1 39 9 39 18 39 31 28 11 31 10 41 0 9 10 15 28 11 33 39 0 2 11 11 29 10 12 2 12 22 17 28 30 24 12 29 30 39 2 29 18 0 11 10 14 23 9 39 12 12 3 30 33 39 18 2 18 1 9 18 9 39 27 23 41 27 9 22 12 25 39 13 12 23 39 12 26 39 21 39 22 24 39 2 17 2 12 26 7 39 34 6 7 21 8 7 21 7 2 2 26 22 25 32 1 24 39 12 26 39 2 12 7 27 19 25 7 25 8 39 26 24 39 7 4 26 12 24 37 12 21 12 12 2 24 42 31 7 25 24 25 8 26 10 12 24 8 25 8 39 27 3 11 11 21 26 25 25 24 39 24 23 12 39 31 23 7 24 0 0 24 17 31 7 32 31 24 8 7 8 39 7 33 32 23 24 25 41 33 24 24 33 8 2 17 24 13 7 7 23 38 3 40 31 33 39 23 18 24 39 41 17 31 18 24 35 8 7 13 8 23 39 2 33 12 23 8 7 23 25 32 32 23 23 2 17 8 7 13 32 24 8 9 2 2 8 3 39 23 33 7 7 8 7 25 10 25 24 8 33 18 4 36 3 42 34 12 35 34 36 36 38 2 36 30 35 3 39 34 34 19 34 5 12 9 35 35 12 36 35 2 34 1 10 35 39 1 36 8 26 39 38 39 36 7 26 2 0 4 26 0 35 3 36 0 8 35 7 36 34 34 26 36 13 35 39 12 35 34 7 26 12 3 35 12 36 12 41 34 25 39 35 34 12 34 27 25 35 34 36 34 12 34 2 15 36 36 34 10 12 2 34"
5,-0.5819,0.8723,"25 42 25 5 27 39 27 6 26 27 27 2 25 0 27 25 26 25 25 17 39 25 27 9 25 10 25 25 25 9 12 7 25 26 25 27 12 35 27 12 25 21 25 25 25 0 27 25 2 25 2 27 2 25 27 27 26 12 12 25 1 26 26 32 25 27 25 25 11 27 41 27 27 25 27 11 27 26 25 27 27 25 27 25 39 12 12 39 26 27 27 18 41 2 1 26 12 2 39 25 30 18 28 0 4 20 33 21 22 18 9 39 12 9 21 22 22 2 33 19 21 14 2 31 1 10 22 20 20 39 12 33 18 10 18 16 0 10 17 39 9 2 19 39 18 28 20 31 10 12 0 16 10 15 28 11 12 17 0 19 11 11 20 10 39 18 12 22 0 20 18 19 12 41 20 18 2 17 20 0 11 10 12 23 19 19 20 12 18 39 39 39 10 12 0 39 9 20 19 0 27 23 8 8 9 22 12 25 39 13 12 23 39 12 26 39 21 39 22 24 39 2 3 2 12 8 7 39 34 6 7 21 7 7 8 7 2 2 26 22 25 32 1 24 39 12 26 39 2 12 7 27 19 25 7 8 8 39 26 24 39 7 4 26 7 24 37 8 21 12 12 2 24 42 31 8 25 24 25 8 26 10 12 24 8 25 8 7 27 3 7 11 21 26 25 7 24 39 24 23 12 39 27 11 32 2 32 9 2 17 25 7 32 31 11 12 11 8 2 7 39 31 26 9 2 41 33 26 32 39 31 2 32 31 13 9 7 2 38 3 40 31 33 26 23 18 24 9 31 39 11 10 24 31 8 31 39 12 23 2 2 33 12 11 8 25 33 25 31 12 23 23 2 12 2 10 27 12 39 8 9 39 12 12 3 10 26 2 7 38 2 7 25 42 25 10 33 33 18 4 36 3 42 36 12 35 34 36 36 38 2 12 30 12 3 26 34 12 19 34 5 12 9 38 3 12 36 35 2 12 1 10 35 39 39 36 8 26 39 38 39 2 7 12 2 0 4 26 0 34 3 25 0 8 36 7 14 34 34 26 7 13 12 39 12 34 34 7 26 12 12 3 12 36 12 41 35 25 39 7 34 12 34 27 25 35 34 36 12 12 34 2 15 39 3 12 10 12 2 26"
6,-0.5779,0.8704,"25 42 25 5 27 39 27 6 26 27 27 2 25 0 27 25 26 25 25 17 39 25 27 9 25 10 25 25 25 9 12 7 25 26 25 27 12 35 27 12 25 21 25 25 25 0 27 25 2 25 2 27 2 25 27 27 26 12 12 25 1 26 26 32 25 27 25 25 11 27 41 27 27 25 27 11 27 26 25 27 27 25 27 25 39 12 12 39 26 27 27 18 41 2 1 26 12 2 39 25 12 21 28 0 12 20 33 21 22 39 9 17 36 9 21 1 22 2 35 2 36 14 39 18 34 36 13 41 11 12 0 18 21 10 39 16 0 10 34 18 9 2 39 39 22 28 21 31 10 41 0 18 10 15 12 11 33 39 0 39 11 11 39 10 10 34 12 36 17 37 41 24 36 41 3 39 2 12 2 0 11 18 14 23 12 2 39 39 3 7 17 35 18 18 17 36 9 39 21 0 27 23 8 27 39 22 7 25 39 29 12 23 7 30 26 30 21 28 22 12 28 2 29 2 30 29 40 39 15 7 7 7 8 28 7 12 7 2 26 28 8 32 12 24 39 12 8 39 2 12 7 27 19 29 39 25 12 39 28 24 39 7 30 26 12 24 37 12 29 7 29 28 8 30 29 7 29 7 8 28 26 10 28 12 8 30 8 7 27 3 11 39 12 26 30 39 24 39 24 23 12 39 27 11 32 2 32 9 2 17 25 7 32 31 11 12 11 8 2 7 39 31 26 9 2 41 33 26 32 39 31 2 32 31 13 9 7 2 38 3 40 31 33 26 23 18 24 9 31 39 11 10 24 31 8 31 39 12 23 2 2 33 12 11 8 25 33 25 31 12 23 23 2 12 2 10 27 12 39 8 9 39 12 12 3 10 26 2 7 2 2 7 25 42 25 10 33 33 18 4 36 3 42 3 12 35 34 36 36 38 2 10 30 35 3 26 34 12 19 34 5 12 9 27 3 12 36 35 2 34 3 10 35 39 39 36 8 0 39 38 39 2 7 26 2 0 4 26 0 34 3 25 0 8 36 7 36 34 34 26 7 13 7 39 12 34 34 7 26 12 0 3 12 36 12 41 35 25 39 7 34 12 34 27 25 0 34 36 25 12 34 2 15 39 3 36 10 12 3 41"
7,-0.5241,0.8163,"25 42 25 5 27 39 27 6 26 27 27 2 25 0 27 25 26 25 25 17 39 25 27 9 25 10 25 25 25 9 12 7 25 26 25 27 12 35 27 12 25 21 25 25 25 0 27 25 2 25 2 27 2 25 27 27 26 12 12 25 1 26 26 32 25 27 25 25 11 27 41 27 27 25 27 11 27 26 25 27 27 25 27 25 39 12 12 39 26 27 27 18 41 2 1 26 12 2 39 25 12 21 28 0 12 20 33 21 22 39 9 39 36 9 21 1 22 2 35 2 36 14 2 36 34 36 13 41 11 35 0 39 21 10 36 16 0 10 34 39 9 2 39 39 22 28 21 31 10 41 0 16 10 15 12 11 33 39 0 39 11 11 29 10 10 34 12 36 0 37 41 24 36 41 3 39 2 12 2 0 11 36 14 23 12 2 39 12 3 7 36 35 10 2 0 36 9 39 21 0 27 23 8 27 39 22 7 25 39 29 12 23 7 30 26 30 21 28 22 12 28 2 29 2 30 29 40 39 15 7 7 7 8 28 7 12 7 2 26 28 8 32 12 24 39 12 8 39 2 12 7 27 19 29 39 25 12 39 28 24 39 7 30 26 12 24 37 12 29 7 29 28 8 30 29 7 29 7 8 28 26 10 28 12 8 30 8 7 27 3 11 39 12 26 30 39 24 39 24 23 12 39 27 11 32 2 32 9 2 17 25 7 32 31 11 12 11 8 2 7 39 31 26 9 2 41 33 26 32 39 31 2 32 31 13 9 7 2 38 3 40 31 33 26 23 18 24 9 31 39 11 10 24 31 8 31 39 12 23 2 2 33 12 11 8 25 33 25 31 12 23 23 2 12 2 10 27 12 39 8 9 39 12 12 3 10 26 2 7 2 2 7 25 42 25 10 33 33 18 4 36 3 42 3 12 35 34 36 36 38 2 10 30 35 3 26 34 12 19 34 5 12 9 27 3 12 36 35 2 34 3 10 35 39 39 36 8 0 39 38 39 2 7 26 2 0 4 26 0 34 3 25 0 8 36 7 36 34 34 26 7 13 7 39 12 34 34 7 26 12 0 3 12 36 12 41 35 25 39 7 34 12 34 27 25 0 34 36 25 12 34 2 15 39 3 36 10 12 3 41"
8,-0.4779,0.7708,"25 42 25 5 27 39 27 6 26 27 27 2 25 0 27 25 26 25 25 17 39 25 27 9 25 10 25 25 25 9 12 7 25 26 25 27 12 35 27 12 25 21 25 25 25 0 27 25 2 25 2 27 2 25 27 27 26 12 12 25 1 26 26 32 25 27 25 25 11 27 41 27 27 25 27 11 27 26 25 27 27 25 27 25 39 12 12 39 26 27 27 18 41 2 1 26 12 2 39 25 2 21 28 0 12 2 33 21 11 39 9 2 36 9 21 1 22 2 35 11 36 14 2 36 10 36 13 41 11 11 0 39 21 10 36 16 0 10 34 39 9 2 39 39 22 2 21 31 10 11 0 16 10 15 12 11 33 39 0 39 11 11 29 10 10 34 10 36 0 37 41 24 36 41 3 11 2 12 2 0 11 36 14 2 16 2 39 39 3 7 36 35 10 2 0 36 9 39 21 0 27 23 41 27 9 22 12 25 39 13 12 23 39 12 26 39 21 39 22 24 39 2 17 2 12 26 7 39 34 6 7 21 8 7 21 7 2 2 26 22 25 32 1 24 39 12 26 39 2 12 7 27 19 25 7 25 8 39 26 24 39 7 4 26 12 24 37 12 21 12 12 2 24 42 31 7 25 24 25 8 26 10 12 24 8 25 8 39 27 3 11 11 21 26 25 25 24 39 24 23 12 39 27 11 32 2 32 9 2 12 25 7 32 31 11 12 11 8 2 7 39 31 26 9 12 41 33 26 32 39 31 12 32 31 13 9 7 2 38 3 40 31 33 26 23 18 24 9 31 39 11 12 24 31 8 31 39 12 23 2 12 33 12 11 8 25 33 25 31 12 23 23 2 12 2 10 27 12 39 8 9 39 12 12 3 15 26 2 7 2 2 7 25 42 25 10 33 33 18 4 36 3 42 36 12 35 34 36 36 38 2 10 30 35 3 26 34 12 19 34 5 12 9 0 3 12 36 35 2 34 41 10 35 39 39 36 8 3 39 38 39 2 7 26 2 0 4 26 0 34 3 25 0 8 36 7 36 34 34 26 7 13 7 39 12 34 34 7 26 12 3 3 12 36 12 41 35 25 39 7 3 12 34 27 25 35 34 36 25 12 34 2 15 39 3 36 10 12 2 26"
9,-0.4692,0.7619,"25 42 25 5 27 39 27 6 26 27 27 2 25 0 27 25 26 25 25 17 39 25 27 9 25 10 25 25 25 9 12 7 25 26 25 27 12 35 27 12 25 21 25 25 25 0 27 25 2 25 2 27 2 25 27 27 26 12 12 25 1 26 26 32 25 27 25 25 11 27 41 27 27 25 27 11 27 26 25 27 27 25 27 25 39 12 12 39 26 27 27 18 41 2 1 26 12 2 39 25 30 6 28 0 4 20 33 10 21 39 9 39 10 9 0 22 22 2 33 2 2 14 2 31 3 10 0 41 11 39 0 3 21 3 39 16 3 10 1 39 9 2 23 39 31 28 11 31 10 41 0 9 10 15 0 11 33 39 0 2 11 11 29 10 10 2 28 22 0 37 41 24 12 41 3 39 2 39 2 0 11 10 14 23 9 2 12 12 3 7 33 39 10 16 0 1 9 24 9 0 27 23 41 27 9 11 12 25 39 13 9 23 39 12 26 39 21 2 22 24 39 39 39 2 12 26 7 39 34 6 7 21 8 7 10 7 2 2 39 22 25 2 1 24 39 12 26 39 10 11 2 11 19 25 7 10 8 39 26 24 39 7 4 10 9 39 37 12 21 9 12 2 11 9 31 7 25 24 25 8 26 10 12 24 8 25 8 10 27 3 11 11 9 11 25 39 2 39 24 23 12 39 27 11 32 2 32 9 2 17 25 7 32 31 11 12 11 8 2 7 39 31 26 9 2 41 33 26 32 39 31 2 32 31 13 9 7 2 38 3 40 31 33 26 23 18 24 9 31 39 11 10 24 31 8 31 39 12 23 2 2 33 12 11 8 25 33 25 31 12 23 23 2 12 2 10 27 12 39 8 9 39 12 12 3 10 26 2 7 2 2 7 25 42 25 10 33 33 18 4 12 3 42 12 12 35 34 36 36 38 12 10 30 35 3 26 34 12 19 12 5 12 9 12 3 12 36 35 2 34 1 10 35 39 39 36 8 26 39 38 39 2 7 26 2 0 4 26 0 34 3 25 0 8 36 7 36 34 34 26 7 13 12 12 12 34 34 7 26 12 3 3 12 36 12 41 35 25 12 7 34 12 34 27 25 35 34 36 25 12 34 2 15 39 3 36 12 12 12 26"
10,-0.4527,0.7447,"25 42 25 5 27 39 27 6 26 27 27 2 25 0 27 25 26 25 25 17 39 25 27 9 25 10 25 25 25 9 12 7 25 26 25 27 12 35 27 12 25 21 25 25 25 0 27 25 2 25 2 27 2 25 27 27 26 12 12 25 1 26 26 32 25 27 25 25 11 27 41 27 27 25 27 11 27 26 25 27 27 25 27 25 39 12 12 39 26 27 27 18 41 2 1 26 12 2 39 25 30 6 28 0 4 20 33 10 21 39 9 39 10 9 0 22 22 2 33 2 2 14 2 31 3 10 0 41 11 39 0 33 21 3 39 16 3 10 1 39 9 2 23 39 31 28 11 31 10 41 0 9 10 15 0 11 33 39 0 2 11 11 29 10 10 2 28 22 0 37 41 24 12 41 3 39 2 39 2 0 11 10 14 23 9 2 12 12 3 7 33 39 10 2 0 1 9 24 9 0 27 23 41 27 9 11 12 25 39 13 9 23 39 12 26 39 21 2 22 24 39 39 39 2 12 26 7 39 34 6 7 21 8 7 10 7 2 2 39 22 25 2 1 24 39 12 26 39 10 11 2 11 19 25 7 10 8 39 26 24 39 7 4 10 9 39 37 12 21 9 12 2 11 9 31 7 25 24 25 8 26 10 12 24 8 25 8 10 27 3 11 11 9 11 25 39 2 39 24 23 12 39 27 11 32 2 32 9 2 17 25 7 32 31 11 12 11 8 2 7 39 15 26 9 2 41 33 26 32 39 31 2 32 31 13 9 7 2 38 3 40 31 33 26 23 18 24 9 31 39 11 10 24 31 8 31 39 12 23 2 2 33 12 11 12 25 33 25 12 12 23 12 2 12 2 10 12 12 39 8 9 39 12 12 3 10 26 2 7 2 2 7 12 42 25 10 33 33 18 4 12 3 42 12 12 35 34 36 36 38 12 10 30 35 3 26 34 12 19 12 5 12 9 12 3 12 36 35 2 34 1 10 35 39 39 36 8 26 39 38 39 2 7 26 2 0 4 26 0 34 3 25 0 8 36 7 36 34 34 26 7 13 12 12 12 34 34 7 26 12 3 3 12 36 12 41 35 25 12 7 34 12 34 27 25 35 34 36 25 12 34 2 15 39 3 36 12 12 12 26"
