rank,fitness,winrate,genome
1,-0.7092,1.0000,"20 22 22 10 2 12 21 38 19 2 16 27 25 2 25 2 2 4 2 4 39 21 11 19 27 12 39 2 31 25 5 25 27 26 20 21 39 20 19 5 12 2 41 22 19 15 22 1 39 5 2 39 19 20 20 12 38 12 2 38 26 2 2 22 37 26 27 5 2 19 38 12 2 12 2 2 21 23 27 22 39 39 39 12 39 39 22 2 12 22 18 2 2 9 2 12 12 1 2 24 24 24 24 23 24 11 23 9 4 24 24 12 20 39 12 24 3 12 20 39 2 39 4 23 23 20 20 2 1 24 23 24 12 39 24 39 2 42 24 23 39 10 39 24 16 39 12 11 5 21 37 11 29 24 23 23 12 23 24 20 39 23 39 26 11 39 26 2 11 9 10 10 24 25 39 23 23 2 24 39 39 2 23 23 30 12 24 39 11 23 20 23 24 11 23 9 19 12 27 9 7 23 19 42 2 32 39 1 42 21 20 39 39 26 31 39 13 33 12 39 39 2 31 19 32 26 2 25 23 2 25 28 12 32 12 2 2 28 12 12 2 32 3 23 12 23 31 19 26 19 39 2 39 12 19 27 12 12 20 2 8 18 39 37 39 12 12 4 23 39 39 10 20 27 25 24 2 32 32 3 20 33 28 39 20 19 42 23 2 31 12 39 20 31 2 31 32 23 4 24 39 25 28 30 11 15 16 39 10 27 42 36 9 39 26 2 13 28 2 39 27 8 2 27 39 42 29 25 2 9 14 29 12 26 18 29 35 37 28 39 21 39 3 11 28 12 27 25 34 11 39 25 5 7 25 31 40 25 0 25 18 25 25 39 5 28 14 9 22 10 19 25 32 0 23 33 11 39 26 39 26 1 3 8 12 28 5 38 24 10 26 0 11 10 39 37 0 39 29 15 39 2 9 11 10 20 17 5 31 19 2 17 36 38 21 0 15 8 8 10 37 21 26 2 16 4 13 25 0 7 35 32 33 25 20 17 6 18 31 3 2 12 33 1 10 21 28 1 9 34 11 11 41 20 15 6 23 35 0 8 25 13 18 34 35 18 15 32 0 41 0 26 39 24 9 35 34 35 24 31 19 9 19 24 4 13 0 4 19 15 0 19 3 20 20 20 17 20 12 24"
2,-0.7082,1.0000,"20 23 22 10 2 12 21 26 19 2 23 27 25 2 24 24 2 3 12 4 23 23 11 26 24 24 39 24 23 25 39 12 12 26 20 21 23 20 19 25 12 23 41 24 19 15 22 1 12 5 23 39 19 23 1 25 25 12 25 38 26 23 2 22 25 12 25 12 2 23 38 12 24 12 26 23 21 23 27 22 39 12 39 23 39 39 23 25 23 22 12 2 2 9 2 12 12 1 2 24 15 23 39 9 24 24 24 11 4 24 18 12 20 2 12 24 3 39 20 39 2 32 4 10 23 20 10 24 1 24 23 13 9 24 24 12 2 42 2 23 39 24 10 10 11 11 9 0 3 21 9 2 29 24 19 2 12 23 24 20 39 23 24 26 39 39 26 2 18 16 11 38 24 39 10 23 23 9 24 12 38 2 23 11 2 12 24 21 12 23 39 23 24 2 24 2 10 12 27 39 7 23 19 42 2 32 39 1 42 21 20 39 39 26 31 39 13 33 12 39 39 2 31 19 32 26 2 25 23 2 25 28 12 32 12 2 2 28 12 12 2 32 3 23 12 23 31 19 26 19 39 2 39 12 19 27 12 12 20 2 8 18 39 37 39 12 12 4 23 39 39 10 20 27 25 24 2 32 32 3 20 33 28 39 20 19 42 23 2 31 12 39 20 31 2 31 32 23 4 24 39 25 2 30 11 15 2 39 39 27 42 12 9 39 26 21 0 12 23 39 27 8 2 39 39 42 12 24 12 26 14 29 12 26 18 29 35 37 41 18 21 39 3 23 9 0 27 39 0 11 42 25 5 7 25 31 12 25 0 25 15 23 25 39 0 23 11 24 22 10 19 11 32 39 23 33 9 0 39 39 12 1 3 9 0 24 5 39 10 27 26 3 24 24 39 39 12 39 12 15 39 2 9 11 10 20 17 5 31 19 2 17 36 38 21 0 15 8 8 10 37 21 26 2 16 4 13 25 0 7 35 32 33 25 20 17 6 18 31 3 2 12 33 1 10 21 28 1 9 34 11 11 41 20 15 6 23 35 0 8 25 13 18 34 35 18 15 32 0 41 0 26 39 24 9 35 34 35 24 31 19 9 19 24 4 13 0 4 19 15 0 19 3 20 20 20 17 20 12 24"
3,-0.7079,1.0000,"20 22 24 10 2 12 21 38 23 2 16 27 39 2 25 2 24 4 2 24 39 21 11 19 27 12 39 2 31 25 12 23 27 24 20 21 39 20 39 5 12 2 41 22 19 24 22 1 39 5 2 39 19 20 20 12 38 12 2 23 26 2 2 22 37 26 27 5 2 19 38 23 2 12 2 2 21 23 24 22 39 39 39 12 39 39 22 2 12 22 18 2 12 9 2 12 12 1 2 24 15 23 39 9 24 24 24 11 4 24 18 12 20 2 12 24 3 39 20 39 2 32 4 10 23 20 10 24 1 24 23 13 9 24 24 12 2 42 2 23 39 24 10 10 11 11 9 0 3 21 9 2 29 24 19 2 12 23 24 20 39 23 24 26 39 39 26 2 18 16 11 38 24 39 10 23 23 9 24 12 38 2 23 11 2 12 24 21 12 23 39 23 24 2 24 2 10 12 27 39 7 23 10 42 24 2 21 9 42 21 20 12 9 26 24 39 13 10 12 39 39 11 24 11 39 26 39 39 23 11 25 28 39 39 22 10 2 28 12 10 2 10 2 23 39 23 39 21 26 3 24 2 29 27 11 27 39 12 23 17 8 22 39 12 39 12 36 11 23 22 23 10 39 27 25 10 22 22 8 3 39 23 28 11 20 18 42 23 2 12 34 39 39 24 2 9 41 10 4 24 39 25 2 30 11 15 2 39 39 27 42 12 9 39 26 21 0 12 23 39 27 8 2 39 39 42 12 24 12 26 14 29 12 26 18 29 35 37 41 18 21 39 3 23 9 0 27 39 0 11 42 25 5 7 25 31 12 25 0 25 15 23 25 39 0 23 11 24 22 10 19 11 32 39 23 33 9 0 39 39 12 1 3 9 0 24 5 39 10 27 26 3 24 24 39 39 12 39 12 15 39 2 9 11 10 20 17 5 31 19 2 17 36 38 21 0 15 8 8 10 37 21 26 2 16 4 13 25 0 7 35 32 33 25 20 17 6 18 31 3 2 12 33 1 10 21 28 1 9 34 11 11 41 20 15 6 23 35 0 8 25 13 18 34 35 18 15 32 0 41 0 26 39 24 9 35 34 35 24 31 19 9 19 24 4 13 0 4 19 15 0 19 3 20 20 20 17 20 12 24"
4,-0.7054,1.0000,"20 26 22 10 37 12 21 26 19 22 23 27 25 2 0 24 22 3 27 4 27 23 11 39 39 12 39 24 39 26 27 12 12 26 21 3 23 20 19 25 12 23 22 26 19 15 22 1 12 25 23 22 19 23 1 39 12 12 25 26 27 23 2 22 25 25 25 12 2 22 38 39 39 12 26 23 21 26 27 39 39 26 39 23 39 39 23 25 21 26 12 21 2 21 2 12 12 1 27 26 15 23 7 8 10 2 8 8 13 0 2 8 7 2 2 24 5 39 11 11 2 2 2 10 23 2 39 7 7 11 2 11 2 2 2 10 2 8 2 23 39 10 10 3 2 7 9 2 37 2 7 2 2 2 2 2 2 23 2 2 15 2 2 26 10 7 39 2 2 16 2 12 41 10 2 4 23 2 24 39 8 12 23 11 2 12 42 21 12 2 39 39 10 2 24 13 10 2 9 39 7 23 9 9 2 10 39 10 42 39 20 12 39 10 2 39 7 8 9 39 39 39 31 19 8 35 28 30 23 2 39 28 39 32 34 7 8 28 12 36 9 32 3 23 8 23 10 9 8 30 10 28 9 9 19 9 12 7 20 2 8 2 10 35 10 12 12 4 7 39 8 34 20 7 7 24 2 32 9 3 20 38 28 7 20 34 2 28 2 31 12 39 20 39 2 10 32 23 8 24 39 25 12 30 11 15 12 40 28 27 3 12 12 3 26 21 7 12 12 39 0 8 0 39 41 4 8 24 12 26 14 29 12 26 2 29 16 8 41 0 30 0 0 23 2 0 27 39 42 11 42 25 0 37 25 12 12 30 0 8 8 7 3 39 0 0 39 24 39 10 8 8 32 39 23 33 8 3 39 39 39 1 3 2 12 39 28 2 0 27 12 3 8 12 39 0 12 39 12 2 12 2 2 23 30 12 24 23 12 24 27 23 26 24 0 0 29 23 2 34 23 39 39 27 39 12 23 29 39 7 25 9 0 11 20 10 24 2 17 10 40 9 11 0 12 25 27 23 25 25 10 27 36 17 15 0 24 18 12 2 39 10 24 12 27 12 39 27 9 28 2 27 18 26 28 9 26 36 26 12 23 35 17 25 39 26 0 25 24 39 23 10 41 12 31 20 25 20 27 28"
5,-0.6367,0.9333,"20 26 22 10 2 12 21 26 19 22 23 27 25 2 39 24 22 3 27 4 27 23 11 39 39 12 39 24 39 26 27 12 12 26 21 21 23 20 19 25 12 23 22 26 19 15 22 1 12 25 23 22 19 23 1 39 12 12 25 26 27 23 2 22 25 25 25 12 2 22 38 39 39 12 26 23 21 26 27 39 39 26 39 23 39 39 23 25 21 26 12 21 2 21 2 12 12 1 27 26 15 23 7 8 10 12 8 8 13 0 2 8 7 2 2 24 9 39 11 11 2 2 2 10 23 2 39 7 7 11 2 11 2 24 7 10 2 8 2 23 39 10 10 3 11 16 9 2 12 2 14 2 2 2 12 2 2 23 12 2 15 2 2 26 10 7 39 2 2 16 2 12 41 10 12 4 23 2 12 39 8 12 23 11 2 12 42 16 12 2 39 39 12 2 24 13 10 2 9 39 39 23 9 23 2 23 39 10 42 39 20 12 39 10 2 39 7 8 9 39 39 39 31 19 8 35 28 30 23 2 39 28 39 32 23 24 8 23 12 36 9 32 3 23 8 23 10 9 8 30 10 28 23 9 19 9 12 7 20 2 8 2 10 35 10 12 12 4 7 24 24 34 20 12 12 24 2 32 9 3 20 23 28 7 20 34 2 39 2 31 12 39 20 39 2 39 32 23 8 23 39 25 12 30 11 15 12 40 28 27 42 12 12 3 26 21 7 12 12 39 27 8 2 39 39 4 8 24 12 26 14 29 12 26 2 29 16 8 41 0 30 0 3 23 2 0 27 39 42 11 42 25 0 37 25 12 12 30 0 8 8 7 12 39 0 0 39 24 39 10 8 8 32 39 23 33 8 0 39 39 39 1 3 2 12 39 28 2 0 27 12 3 8 12 39 29 12 39 12 2 12 2 9 25 9 12 3 27 27 32 39 27 30 38 0 0 9 39 39 11 32 39 10 32 25 10 25 39 10 7 9 9 0 27 20 10 26 25 17 18 28 39 33 31 12 39 27 39 12 26 11 26 12 27 25 0 12 2 12 26 11 26 31 12 1 12 12 26 27 27 26 27 39 26 28 35 10 27 26 10 0 35 17 39 9 39 0 4 10 15 0 9 27 27 2 20 11 39 2 27"
6,-0.6349,0.9318,"20 26 22 10 2 12 21 26 19 22 23 27 25 2 39 24 22 3 27 4 27 23 11 39 39 12 39 24 39 26 27 12 12 26 21 21 23 20 19 25 12 23 22 26 19 15 22 1 12 25 23 22 19 23 1 39 12 12 25 26 27 23 2 22 25 25 25 12 2 22 38 39 39 12 26 23 21 26 27 39 12 26 39 23 39 39 23 25 21 26 12 21 2 21 2 12 12 1 27 26 15 23 7 8 10 12 8 8 13 0 2 8 7 2 2 24 9 39 11 11 2 2 2 10 23 2 39 7 7 11 2 11 2 24 7 10 2 8 2 23 39 10 10 3 11 16 9 2 12 2 14 2 2 2 12 2 2 23 12 2 15 2 2 26 10 7 39 2 2 16 2 12 41 10 12 4 23 2 12 39 8 12 23 11 2 12 42 16 12 2 39 39 12 2 24 13 10 2 9 39 7 23 9 9 2 10 39 10 42 39 20 12 39 10 2 39 7 8 9 39 39 39 31 19 8 35 28 30 23 2 39 28 39 32 34 7 8 28 12 36 9 32 3 23 8 23 10 9 8 30 10 28 9 9 19 9 12 7 20 2 8 2 10 35 10 12 12 4 7 39 8 34 20 7 7 24 2 32 9 3 20 38 28 7 20 34 2 28 2 31 12 39 20 39 2 10 32 23 8 24 39 25 12 30 11 15 12 40 28 27 42 12 12 3 26 21 7 12 12 39 27 8 2 39 39 4 8 24 12 26 14 29 12 26 2 29 16 8 41 0 30 0 3 23 2 0 27 39 42 11 42 25 0 37 25 12 12 30 0 8 8 7 12 39 0 0 39 24 39 10 8 8 32 39 23 33 8 0 39 39 39 1 3 2 12 39 28 2 0 27 12 3 8 12 39 29 12 39 12 2 12 2 9 25 30 12 3 27 27 32 39 27 30 38 0 0 29 39 39 10 32 39 26 32 25 26 25 39 39 7 25 9 0 27 20 26 26 25 17 18 28 39 33 31 12 39 27 39 12 26 11 26 12 27 25 0 12 18 12 26 39 26 31 12 1 12 12 26 27 27 26 27 39 26 28 35 10 27 26 31 0 35 17 39 9 39 0 4 10 15 0 19 27 27 31 20 39 39 2 27"
7,-0.5698,0.8667,"20 26 22 10 2 12 21 26 19 22 23 27 25 2 39 24 22 3 27 4 27 23 11 39 39 12 39 24 39 26 27 12 12 26 21 21 23 20 19 25 12 23 22 26 19 15 22 1 12 25 23 22 19 23 1 39 12 12 25 26 27 23 2 22 25 25 25 12 2 22 38 39 39 12 26 23 21 26 27 39 39 26 39 23 39 39 23 25 21 26 12 21 2 21 2 12 12 1 27 26 15 23 7 8 10 12 8 8 13 0 2 8 7 2 2 24 9 39 11 11 2 2 2 10 23 2 39 7 7 11 2 11 2 24 7 10 2 8 2 23 39 10 10 3 11 16 9 2 12 2 14 2 2 2 12 2 2 23 12 2 15 2 2 26 10 7 39 2 2 16 2 12 41 10 12 4 23 2 12 39 8 12 23 11 2 12 42 16 12 2 39 39 12 2 24 13 10 2 9 39 7 23 9 9 2 10 39 10 42 39 20 12 39 10 2 39 7 8 9 39 39 39 31 19 8 35 28 30 23 2 39 28 39 32 34 7 8 28 12 36 9 32 3 23 8 23 10 9 8 30 10 28 9 9 19 9 12 7 20 2 8 2 10 35 10 12 12 4 7 39 8 34 20 7 7 24 2 32 9 3 20 38 28 7 20 34 2 28 2 31 12 39 20 39 2 10 32 23 8 24 39 25 12 30 11 15 12 40 28 27 42 12 12 3 26 21 7 12 12 39 27 8 2 39 39 4 8 24 12 26 14 29 12 26 2 29 16 8 41 0 30 0 3 23 2 0 27 39 42 11 42 25 0 37 25 12 12 30 0 8 8 7 12 39 0 0 39 24 39 10 8 8 32 39 23 33 8 0 39 39 39 1 3 2 12 39 28 2 0 27 12 3 8 12 39 29 12 39 12 2 12 2 9 25 9 12 3 27 27 32 39 27 30 38 0 0 9 39 39 11 32 39 10 32 25 10 25 39 10 7 9 9 0 27 20 10 26 25 17 18 28 39 33 31 12 39 27 39 12 26 11 26 12 27 25 0 12 2 12 26 11 26 31 12 1 12 12 26 27 27 26 27 39 26 28 35 10 27 26 10 0 35 17 39 9 39 0 4 10 15 0 9 27 27 2 20 11 39 2 27"
8,-0.5220,0.8182,"20 26 22 10 37 12 21 26 19 22 23 27 25 2 0 24 22 3 27 4 27 23 11 39 39 12 39 24 39 26 27 12 12 26 21 3 23 20 19 25 12 23 22 26 19 15 22 1 12 25 23 22 19 23 1 39 12 12 25 26 27 23 2 22 25 25 25 12 2 22 38 39 39 12 26 23 21 26 27 39 39 26 39 23 39 39 23 25 21 26 12 21 2 21 2 12 12 1 27 26 15 23 7 8 10 2 8 8 13 0 2 8 7 2 2 24 5 39 11 11 2 2 2 10 23 2 39 7 7 11 2 11 2 2 2 10 2 8 2 23 39 10 10 3 2 7 9 2 37 2 7 2 2 2 2 2 2 23 2 2 15 2 2 26 10 7 39 2 2 16 2 12 41 10 2 4 23 2 24 39 8 12 23 11 2 12 42 21 12 2 39 39 10 2 24 13 10 2 9 39 7 23 9 9 2 10 39 10 42 39 20 12 39 10 2 39 7 8 9 39 39 39 31 19 8 35 28 30 23 2 39 28 39 32 34 7 8 28 12 36 9 32 2 23 8 23 10 9 8 30 10 28 9 9 19 9 12 7 20 2 8 2 10 35 10 12 12 4 7 39 8 34 20 7 7 24 2 32 9 3 20 38 28 7 20 34 2 28 2 31 12 39 20 39 2 10 32 23 8 24 39 25 12 30 11 15 12 40 28 27 42 12 12 3 26 21 7 12 12 39 27 8 2 39 39 4 8 24 12 26 14 29 12 26 2 29 16 8 41 0 30 0 3 23 2 0 27 39 42 11 42 25 0 37 25 12 12 30 0 8 8 7 12 39 0 0 39 24 39 10 8 8 32 39 23 33 8 0 39 39 39 1 3 2 12 39 28 2 0 27 12 3 8 12 39 29 12 39 12 2 12 2 2 25 30 12 10 27 12 32 27 12 26 38 0 0 29 39 2 34 32 39 39 27 39 12 10 29 39 7 25 9 0 11 20 10 32 2 17 10 40 9 11 0 12 25 27 39 25 25 10 27 36 17 15 0 11 18 12 2 39 10 31 12 27 12 39 27 9 28 2 27 18 26 28 9 26 36 26 12 27 35 17 25 9 26 0 25 10 39 10 10 41 12 31 20 25 20 27 28"
9,-0.4862,0.7826,"20 26 22 10 37 12 21 26 19 22 23 27 25 2 0 24 22 3 27 4 27 23 11 39 39 12 39 24 39 26 27 12 12 26 21 3 23 20 19 25 12 23 22 26 19 15 22 1 12 25 23 22 19 23 1 39 12 12 25 26 27 23 2 22 25 25 25 12 2 22 38 39 39 12 26 23 21 26 27 39 39 26 39 23 39 39 23 25 21 26 12 21 2 21 2 12 12 1 27 26 15 23 7 8 10 2 8 8 13 0 2 8 7 2 2 24 5 39 11 11 2 2 2 10 23 2 39 7 7 11 2 11 2 2 2 10 2 8 2 23 39 10 10 3 2 7 9 2 37 2 7 2 2 2 2 2 2 23 2 2 15 2 2 26 10 7 39 2 2 16 2 12 41 10 2 4 23 2 24 39 8 12 23 11 2 12 42 21 12 2 39 39 10 2 24 13 10 2 9 39 7 23 9 9 2 10 39 10 42 39 20 12 39 10 2 39 7 8 9 39 39 39 31 19 8 35 28 30 23 2 39 28 39 32 34 7 8 28 12 36 9 32 3 23 8 23 10 9 8 30 10 28 9 9 19 9 12 7 20 2 8 2 10 35 10 12 12 4 7 39 8 34 20 7 7 24 2 32 9 3 20 38 28 7 20 34 2 28 2 31 12 39 20 39 2 10 32 23 8 24 39 25 12 30 11 15 12 40 28 27 42 12 12 3 26 21 7 12 12 39 27 8 2 39 39 4 8 24 12 26 14 29 12 26 2 29 16 8 41 0 30 0 3 23 2 0 27 39 42 11 42 25 0 37 25 12 12 30 0 8 8 7 12 39 0 0 39 24 39 10 8 8 32 39 23 33 8 0 39 39 39 1 3 2 12 39 28 2 0 27 12 3 8 12 39 29 12 39 12 2 12 2 2 25 30 12 10 27 12 32 27 12 26 38 0 0 29 39 2 34 32 39 39 27 39 12 10 29 39 7 25 9 0 11 20 10 32 2 17 10 40 9 11 0 12 25 27 39 25 25 10 27 36 17 15 0 11 18 12 2 39 10 31 12 27 12 39 27 9 28 2 27 18 26 28 9 26 36 26 12 27 35 17 25 9 26 0 25 10 39 10 10 41 12 31 20 25 20 27 28"
10,-0.4852,0.7800,"20 26 22 10 2 12 21 26 19 22 23 27 25 2 39 24 22 3 27 4 27 23 11 39 39 12 39 24 39 26 27 12 12 26 21 21 23 20 19 25 12 23 22 26 19 15 22 1 12 25 23 22 19 23 1 39 12 12 25 26 27 23 2 22 25 25 25 12 2 22 38 39 39 12 26 23 21 26 27 39 39 26 39 23 39 39 23 25 21 26 12 21 2 21 2 12 12 1 27 26 15 23 39 8 10 2 8 8 13 0 2 8 7 2 2 24 5 39 11 11 2 2 2 10 23 2 39 7 7 11 2 11 2 2 2 10 2 8 2 23 39 10 10 3 2 7 9 2 12 2 7 2 2 2 2 2 2 23 2 2 15 2 2 26 10 7 39 2 2 16 2 12 41 10 2 4 37 2 24 39 8 12 23 11 2 12 42 21 12 2 39 39 10 2 24 13 10 2 9 39 7 23 39 34 2 32 39 1 42 21 20 12 39 26 31 39 12 33 39 39 39 2 31 19 32 35 28 30 23 2 12 28 39 32 34 2 2 28 12 36 2 32 3 23 12 23 31 19 35 30 39 28 39 12 19 27 12 12 20 2 8 18 39 35 39 12 12 4 30 39 39 34 20 27 34 24 2 32 32 3 20 0 28 39 20 34 28 28 2 31 12 39 20 39 2 31 32 23 4 24 39 12 2 12 33 15 2 39 39 32 8 12 8 28 39 21 7 12 31 8 39 39 2 39 39 4 0 28 39 7 7 8 12 26 2 8 33 8 41 30 21 31 12 7 30 39 29 8 0 38 29 30 8 37 25 3 12 39 39 8 31 7 8 39 0 23 8 7 22 10 8 8 32 39 23 28 29 0 39 39 33 1 39 2 0 2 5 2 0 28 26 31 8 29 39 39 12 28 12 8 12 2 2 25 30 12 10 27 12 32 27 12 26 38 0 0 29 39 2 34 32 39 39 27 39 12 10 29 39 7 25 9 0 11 20 10 32 27 17 10 10 9 11 0 12 25 27 39 25 25 10 27 36 17 15 0 11 18 12 2 39 10 31 12 27 12 39 27 9 28 2 27 18 26 28 9 26 36 26 12 27 35 17 25 9 26 0 25 10 39 10 10 41 12 31 20 25 20 27 28"
