rank,fitness,winrate,genome
1,-0.6921,1.0000,"39 22 21 21 39 25 21 39 15 39 26 11 39 11 21 27 31 31 9 22 22 39 22 39 33 39 31 10 25 32 9 10 39 22 21 39 31 26 21 32 33 9 39 39 31 39 39 39 25 31 32 21 32 25 39 33 39 39 39 33 33 22 39 25 22 31 9 26 39 33 25 9 33 21 31 39 39 39 27 39 22 31 39 22 39 22 39 22 39 14 22 21 32 39 32 26 33 14 31 39 39 30 12 16 16 39 41 28 30 29 28 29 29 12 12 17 30 29 12 15 20 29 39 1 14 18 18 15 12 15 15 16 39 39 17 29 15 39 14 39 39 39 29 29 29 15 29 14 29 16 14 30 30 15 16 15 30 15 30 39 20 39 14 30 14 15 39 14 14 41 14 28 30 16 38 28 29 39 39 17 15 14 13 28 28 28 30 15 30 39 14 39 15 20 16 14 20 30 19 17 40 11 11 11 40 10 9 40 9 10 26 40 11 11 11 26 40 10 9 11 9 11 11 5 10 15 15 40 40 9 36 40 10 25 9 9 10 10 10 40 11 25 9 26 40 11 41 25 10 40 9 26 5 11 10 41 40 10 10 25 10 40 40 25 10 20 11 40 34 9 5 11 11 9 40 11 10 9 41 10 9 9 10 40 11 9 35 41 9 27 9 26 11 11 9 11 11 10 40 41 22 21 22 39 22 12 18 22 12 17 17 18 16 17 18 15 16 22 17 11 22 23 17 21 22 12 17 18 16 39 39 16 39 4 21 39 21 39 21 21 21 16 39 22 22 4 18 22 5 5 22 21 39 39 21 4 22 5 4 23 39 39 21 12 21 21 21 4 5 39 5 22 4 12 22 24 22 17 22 17 4 4 39 13 39 18 12 39 39 39 22 12 39 21 22 21 16 39 39 17 32 27 33 13 22 1 3 39 27 33 39 38 27 32 0 39 39 31 33 33 31 39 22 22 21 33 20 31 31 22 31 22 22 33 27 27 22 22 20 39 39 33 32 33 33 27 21 33 33 22 38 31 27 22 25 32 31 22 31 39 39 38 21 32 26 27 21 25 21 22 22 32 1 32 21 27 22 33 33 27 32 27 1 21 22 21 39 22 26 31 26 26 3 31 22 27 31 22 22 27"
2,-0.6837,1.0000,"12 34 32 39 36 34 39 39 24 23 35 39 0 39 35 34 38 3 24 19 13 39 24 34 39 0 35 23 33 3 1 7 39 0 23 39 36 1 39 19 19 34 39 13 39 36 39 38 39 39 13 1 35 36 24 13 3 7 23 36 0 34 39 39 1 36 39 39 24 39 39 1 39 13 35 19 35 24 39 8 39 36 23 23 39 39 39 34 39 39 35 36 3 0 36 39 39 35 39 0 19 14 14 41 15 41 15 41 19 8 41 41 15 15 21 20 23 14 8 15 15 14 14 15 21 41 21 22 14 22 21 22 41 1 21 22 14 15 21 20 3 21 21 41 3 19 21 3 3 22 15 21 20 20 41 21 15 13 15 29 20 41 41 19 3 41 30 0 14 0 1 21 20 15 15 22 15 21 41 14 14 38 22 41 11 22 41 14 15 41 41 19 38 22 15 0 41 22 20 15 17 9 29 20 32 9 17 19 6 20 19 37 2 11 19 17 20 19 19 19 6 19 20 18 32 20 34 17 20 20 6 26 10 18 8 10 10 2 10 17 11 19 19 20 20 17 9 9 9 20 17 17 10 9 17 37 10 10 31 20 19 9 11 9 17 18 20 18 17 20 33 7 32 18 20 19 18 10 18 11 36 32 11 9 9 8 19 20 32 20 19 32 24 9 42 11 33 9 19 20 4 23 4 10 25 5 36 5 20 24 5 25 36 19 24 24 19 10 27 10 20 26 27 10 23 26 36 23 24 35 34 5 35 4 23 27 36 25 25 26 35 24 34 9 27 27 25 5 26 25 26 34 9 11 36 23 4 36 4 34 36 31 26 20 27 23 24 4 34 27 26 9 27 25 35 9 36 27 34 5 11 32 27 33 35 19 27 26 11 19 36 27 26 5 23 26 26 4 4 4 2 2 6 2 36 41 28 37 40 29 17 37 29 41 38 41 39 2 0 11 11 2 6 40 13 41 41 41 13 38 37 41 9 37 29 6 41 41 6 41 2 9 29 41 41 37 6 6 41 2 41 41 6 2 41 37 40 37 2 37 41 40 1 11 41 2 9 37 2 6 37 40 1 41 3 2 37 6 41 37 37 6 41 41 30 28 17 1 41 40 11 41 9 2 9 37 41 37 41 10"
3,-0.6692,0.9778,"20 7 19 19 25 23 19 26 20 7 26 23 19 42 7 27 8 23 20 26 24 20 20 7 19 42 27 23 25 23 35 20 23 19 20 42 19 26 1 19 19 20 19 19 19 7 7 20 26 25 13 19 26 24 42 20 42 19 20 23 25 27 23 19 42 27 42 26 16 19 24 20 20 20 24 8 23 19 19 8 1 24 23 8 23 19 19 20 24 20 17 0 1 19 16 20 7 36 24 7 17 16 36 18 12 12 16 23 24 18 12 18 12 17 12 23 16 12 18 17 24 8 7 23 17 24 16 34 7 27 12 13 17 12 33 12 8 17 32 33 16 18 35 38 13 27 26 38 16 16 32 16 17 8 8 16 8 8 8 18 36 18 18 12 23 12 25 17 33 23 17 8 17 18 18 19 17 36 27 8 25 25 18 18 18 8 23 19 18 16 26 17 17 18 16 7 27 18 8 17 39 7 8 7 20 19 39 7 23 7 20 7 3 7 7 39 39 39 39 19 8 34 34 26 20 7 20 20 39 20 20 39 8 7 39 20 19 34 27 20 7 27 39 20 19 39 27 8 26 8 8 27 39 39 39 39 19 39 20 39 39 30 19 39 39 39 39 8 39 7 29 7 7 39 8 8 8 19 8 7 20 19 36 39 39 39 33 7 19 30 8 39 20 8 7 29 8 7 39 39 15 15 30 29 39 12 15 28 13 30 16 38 13 0 38 0 29 38 11 13 0 0 1 14 11 14 0 11 11 3 14 0 30 0 28 30 0 0 15 30 0 39 3 13 13 28 0 29 10 11 14 30 1 0 28 0 13 0 9 3 11 3 38 0 1 39 3 11 39 28 14 1 1 3 9 15 11 0 11 29 0 3 3 3 28 12 38 28 14 29 13 1 38 12 10 39 16 30 15 15 12 28 4 19 11 23 34 19 35 29 35 4 30 35 30 30 28 29 7 12 16 35 29 20 28 34 30 20 4 35 23 30 28 11 29 19 4 4 19 8 7 5 20 19 30 20 34 20 8 28 30 30 6 5 35 19 20 4 29 30 7 4 5 16 4 28 35 34 35 30 28 20 19 29 5 20 4 19 16 29 20 20 4 34 29 29 30 29 20 19 29 19 12 29 26 19 24 20 34 20"
4,-0.5495,0.9792,"39 39 39 21 39 39 39 39 39 39 39 11 39 11 39 27 39 39 9 22 22 39 39 39 33 39 39 10 39 32 9 10 39 22 21 39 39 39 21 39 33 39 39 39 39 39 39 39 25 31 39 21 32 39 39 33 39 39 39 39 33 22 39 39 39 31 39 26 39 39 25 9 33 39 31 39 39 39 27 39 22 31 39 22 39 22 39 22 39 14 22 21 39 39 32 26 33 14 39 39 39 30 26 39 16 22 39 21 39 29 25 29 39 12 12 22 21 29 39 26 22 39 21 39 26 22 21 39 26 15 39 39 39 39 26 29 15 22 39 39 39 39 39 29 25 26 29 14 29 39 39 22 39 39 25 25 39 15 21 21 39 39 39 30 22 15 39 39 21 21 39 22 39 39 39 22 39 39 22 39 15 39 39 28 39 28 22 15 30 39 27 22 26 20 16 21 27 22 19 27 39 7 8 7 20 19 39 7 23 7 20 7 3 7 7 39 39 39 39 19 8 34 34 26 20 7 20 20 39 20 20 39 8 7 39 20 19 34 27 20 7 27 39 20 19 39 27 8 26 8 8 27 39 39 39 39 19 39 20 39 39 30 19 39 39 39 39 8 39 7 29 7 7 39 8 8 8 19 8 7 20 19 36 39 39 39 33 7 19 30 8 39 20 8 7 29 8 7 39 39 15 15 30 29 39 12 15 28 13 30 16 38 13 0 38 0 29 38 11 13 0 0 1 14 11 14 0 11 11 3 14 0 30 0 28 30 0 0 15 30 0 39 3 13 13 28 0 29 10 11 14 30 1 0 28 0 13 0 9 3 11 3 38 0 1 39 3 11 39 28 14 1 1 3 9 15 11 0 11 29 0 3 3 3 28 12 38 28 14 29 13 1 38 12 10 39 16 30 15 15 12 28 0 1 38 23 34 19 1 29 0 4 30 13 0 30 28 29 7 12 16 35 13 1 28 34 30 0 13 38 38 30 28 11 3 19 4 4 19 8 7 5 20 19 38 20 34 20 3 28 30 0 6 5 3 19 20 4 0 13 38 4 38 13 4 3 35 34 13 30 28 20 19 29 5 20 4 19 16 13 20 1 4 34 0 29 30 29 20 19 29 19 12 1 26 19 1 20 38 20"
5,-0.4490,0.8636,"12 42 32 42 42 34 39 39 24 8 42 39 42 42 35 42 39 42 39 19 13 42 24 39 42 0 35 23 42 42 42 7 8 39 23 42 36 1 42 8 39 34 42 13 39 36 39 38 39 39 39 39 39 42 39 39 3 7 23 39 42 39 39 39 39 42 39 39 24 39 39 1 42 42 39 19 39 8 7 8 39 36 42 42 39 42 39 39 39 39 42 36 3 0 8 39 39 39 39 8 9 9 36 34 9 36 36 35 18 35 28 36 36 35 17 18 30 10 12 18 18 17 30 17 14 34 18 30 29 35 35 34 18 36 30 29 36 29 29 30 17 36 29 29 30 17 29 29 10 28 29 30 29 17 9 36 29 35 35 36 28 28 14 30 35 36 10 9 17 11 29 9 35 11 9 36 36 34 39 36 10 18 18 28 35 17 18 15 17 35 34 9 35 35 36 28 36 9 36 17 12 29 28 35 13 9 34 19 27 0 38 26 29 1 28 29 20 38 13 30 36 30 1 28 12 35 35 17 30 30 13 27 31 34 35 36 0 28 31 28 11 12 38 13 20 28 0 36 0 25 29 1 33 12 1 34 10 29 29 29 29 35 12 13 28 1 38 35 30 25 0 1 13 34 36 38 18 31 16 36 16 12 11 35 34 0 0 35 26 27 19 32 30 9 0 36 28 25 13 20 41 36 41 11 41 35 36 41 41 24 5 25 36 41 11 41 10 10 41 9 11 35 41 10 41 26 36 10 34 35 35 41 35 4 34 41 36 10 11 41 35 41 34 9 27 41 41 35 35 41 35 9 41 36 41 23 10 11 4 36 41 9 10 41 27 34 24 4 34 11 41 11 27 41 41 9 11 27 35 41 41 41 41 41 35 19 41 26 11 19 9 41 41 11 23 26 26 36 10 41 32 26 19 13 22 25 1 39 3 20 39 38 1 32 19 39 39 19 1 38 26 20 1 20 26 25 25 31 3 27 0 22 22 20 0 27 3 22 27 39 20 20 27 25 33 27 38 20 33 22 26 31 27 38 25 32 31 27 25 39 39 38 26 27 26 20 27 0 25 19 22 26 26 32 21 27 22 33 27 13 13 20 1 21 22 38 39 22 26 38 25 26 3 3 19 20 27 1 22 20"
6,-0.4249,0.8444,"12 23 32 42 42 34 39 39 23 24 42 23 42 42 35 42 39 24 23 23 24 42 24 24 42 0 23 24 23 42 24 7 8 39 23 42 23 1 42 24 39 23 23 13 23 36 39 38 39 23 39 39 39 42 39 39 23 23 23 24 42 39 39 39 39 42 39 39 24 39 39 1 42 42 24 19 39 8 24 24 39 23 24 42 39 23 39 39 39 39 24 23 23 0 23 39 39 39 39 8 17 16 36 18 12 12 16 23 24 18 12 18 12 17 12 23 16 12 18 17 24 8 7 23 17 24 16 34 7 27 12 13 17 12 33 12 8 17 32 33 16 18 35 38 13 27 26 38 16 16 32 16 17 8 8 16 8 8 8 18 36 18 18 12 23 12 25 17 33 23 17 8 17 18 18 19 17 36 27 8 25 25 18 18 18 8 23 19 18 16 26 17 17 18 16 7 27 18 8 17 39 7 8 7 20 19 39 7 23 7 20 7 3 7 7 39 39 39 39 19 8 34 34 26 20 7 20 20 39 20 20 39 8 7 39 20 19 34 27 20 7 27 39 20 19 39 27 8 26 8 8 27 39 39 39 39 19 39 20 39 39 30 19 39 39 39 39 8 39 7 29 7 7 39 8 8 8 19 8 7 20 19 36 39 39 39 33 7 19 30 8 39 20 8 7 29 8 7 39 39 15 15 30 29 39 12 15 28 13 30 16 38 13 0 38 0 29 38 11 13 0 0 1 14 11 14 0 11 11 3 14 0 30 0 28 30 0 0 15 30 0 39 3 13 13 28 0 29 10 11 14 30 1 0 28 0 13 0 9 3 11 3 38 0 1 39 3 11 39 28 14 1 1 3 9 15 11 0 11 29 0 3 3 3 28 12 38 28 14 29 13 1 38 12 10 39 16 30 15 15 7 5 33 4 22 5 5 7 27 5 4 4 4 8 8 39 7 7 4 40 31 39 22 5 21 8 4 5 7 22 8 22 7 40 4 4 4 7 8 39 8 33 4 5 33 40 5 33 4 5 7 5 8 22 8 4 5 40 4 4 39 5 40 7 5 40 4 40 4 4 40 4 1 32 5 27 22 4 33 4 40 40 8 7 22 40 39 22 4 8 26 26 40 5 5 8 31 40 22 5"
7,-0.4187,0.8478,"39 39 39 21 39 39 39 39 39 39 39 11 39 11 39 27 39 39 9 22 22 39 39 39 33 39 39 10 39 32 9 10 39 22 21 39 39 39 21 39 33 39 39 39 39 39 39 39 25 31 39 21 32 39 39 33 39 39 39 39 33 22 39 39 39 31 39 26 39 39 25 9 33 39 31 39 39 39 27 39 22 31 39 22 39 22 39 22 39 14 22 21 39 39 32 26 33 14 39 39 39 30 26 39 16 22 39 21 39 29 25 29 39 12 12 22 21 29 39 26 22 39 21 39 26 22 21 39 26 15 39 39 39 39 26 29 15 22 39 39 39 39 39 29 25 26 29 14 29 39 39 22 39 39 25 25 39 15 21 21 39 39 39 30 22 15 39 39 21 21 39 22 39 39 39 22 39 39 22 39 15 39 39 28 39 28 22 15 30 39 27 22 26 20 16 21 27 22 19 27 39 7 8 7 8 7 39 7 23 7 20 7 7 8 7 8 39 39 39 19 8 8 34 26 7 7 20 20 8 20 20 39 7 7 7 8 19 34 27 20 7 27 39 20 19 39 27 8 26 8 7 8 8 39 39 8 19 39 20 7 39 30 19 7 39 39 39 8 39 7 29 7 8 39 7 7 7 7 8 7 20 19 36 39 39 7 33 7 19 30 8 39 20 8 7 29 8 7 39 7 15 15 30 29 39 12 15 28 13 30 16 38 13 0 38 0 29 38 11 13 0 0 1 14 11 14 0 11 11 3 14 0 30 0 28 30 0 0 15 30 0 39 3 13 13 28 0 29 10 11 14 30 1 0 28 0 13 0 9 3 11 3 38 0 1 39 3 11 39 28 14 1 1 3 9 15 11 0 11 29 0 3 3 3 28 12 38 28 14 29 13 1 38 12 10 39 16 30 15 15 12 28 4 19 11 23 34 19 35 29 35 4 30 35 30 30 28 29 7 12 16 35 29 20 28 34 30 20 4 35 23 30 28 11 29 19 4 4 19 8 7 5 20 19 30 20 34 20 8 28 30 30 6 5 35 19 20 4 29 30 7 4 5 16 4 28 35 34 35 30 28 20 19 29 5 20 4 19 16 29 20 20 4 34 29 29 30 29 20 19 29 19 12 29 26 19 24 20 34 20"
8,-0.3969,0.8140,"12 42 32 42 42 34 39 39 24 8 42 39 42 42 35 42 39 42 39 19 13 42 24 39 42 0 35 23 42 42 42 7 8 39 23 42 36 1 42 8 39 34 42 13 39 36 39 38 39 39 39 39 39 42 39 39 3 7 23 39 42 39 39 39 39 42 39 39 24 39 39 1 42 42 39 19 39 8 7 8 39 36 42 42 39 42 39 39 39 39 42 36 3 0 8 39 39 39 39 8 23 30 23 24 16 39 18 28 18 29 28 18 17 23 17 24 17 23 12 23 18 17 23 17 23 24 23 30 17 23 24 18 18 17 30 29 30 29 29 24 17 39 29 29 18 17 18 24 29 17 29 30 23 24 29 15 30 18 28 29 24 39 23 23 24 18 18 14 17 41 24 17 30 16 18 24 17 24 24 29 18 18 18 23 28 17 18 15 17 17 29 17 18 24 28 14 17 24 24 23 40 38 5 11 9 13 11 10 9 10 0 40 1 9 5 5 4 9 4 4 9 13 10 13 5 3 15 40 40 3 13 40 38 25 9 12 12 3 10 11 4 16 3 26 12 0 4 5 1 0 11 3 12 11 13 41 0 10 9 5 1 40 10 0 10 16 4 4 34 4 5 11 11 1 9 5 9 4 10 5 11 16 4 10 1 9 35 41 9 38 38 26 4 1 5 13 12 10 1 41 41 36 41 11 41 35 36 41 41 24 5 25 36 41 11 41 10 10 41 9 11 35 41 10 41 26 36 10 34 35 35 41 35 4 34 41 36 10 11 41 35 41 34 9 27 41 41 35 35 41 35 9 41 36 41 23 10 11 4 36 41 9 10 41 27 34 24 4 34 11 41 11 27 41 41 9 11 27 35 41 41 41 41 41 35 19 41 26 11 19 9 41 41 11 23 26 26 36 10 41 32 27 33 13 22 0 1 39 3 33 39 38 1 32 0 39 39 31 1 38 31 39 1 22 13 33 20 31 3 22 0 22 22 33 0 27 3 22 20 39 39 33 13 33 33 27 38 33 33 22 1 31 27 38 25 32 31 22 3 39 39 38 21 0 26 38 21 0 21 22 22 32 1 32 21 27 22 33 33 13 13 38 1 21 22 38 39 22 26 38 3 26 3 3 22 27 3 1 22 27"
9,-0.3944,0.8182,"12 23 32 42 42 34 39 39 23 24 42 23 42 42 35 42 39 24 23 23 24 42 24 24 42 0 23 24 23 42 24 7 8 39 23 42 23 1 42 24 39 23 23 13 23 36 39 38 39 23 39 39 39 42 39 39 23 23 23 24 42 39 39 39 39 42 39 39 24 39 39 1 42 42 24 19 39 8 24 24 39 23 24 42 39 23 39 39 39 39 24 23 23 0 23 39 39 39 39 8 9 9 36 34 9 36 36 35 18 35 28 36 36 35 17 18 30 10 12 18 18 17 30 17 14 34 18 30 29 35 35 34 18 36 30 29 36 29 29 30 17 36 29 29 30 17 29 29 10 28 29 30 29 17 9 36 29 35 35 36 28 28 14 30 35 36 10 9 17 11 29 9 35 11 9 36 36 34 39 36 10 18 18 28 35 17 18 15 17 35 34 9 35 35 36 28 36 9 36 17 40 12 10 11 9 10 11 10 9 10 9 40 16 9 11 16 12 9 12 12 9 12 10 5 12 15 15 40 40 12 16 40 16 25 9 12 16 10 10 11 11 16 9 16 12 16 12 25 12 40 11 26 12 11 10 41 12 10 12 11 10 40 12 25 10 16 12 11 16 11 12 11 16 16 12 9 16 9 10 10 16 16 10 10 16 9 35 16 9 12 9 12 12 16 10 12 12 16 40 12 15 29 2 2 39 2 30 6 13 30 2 38 13 0 28 37 29 37 11 13 0 37 1 14 29 14 29 29 28 29 14 2 29 0 29 30 0 28 15 30 29 39 2 6 13 28 0 29 28 29 14 30 1 0 28 0 28 30 9 37 11 37 38 0 1 30 28 28 6 28 14 30 29 2 29 28 30 6 11 37 0 29 29 29 28 12 38 28 14 30 28 1 38 30 10 39 30 30 15 30 32 26 19 13 22 25 1 39 3 20 39 38 1 32 19 39 39 19 1 38 26 20 1 20 26 25 25 31 3 27 0 22 22 20 0 27 3 22 27 39 20 20 27 25 33 27 38 20 33 22 26 31 27 38 25 32 31 27 25 39 39 38 26 27 26 20 27 0 25 19 22 26 26 32 21 27 22 33 27 13 13 20 1 21 22 38 39 22 26 38 25 26 3 3 19 20 27 1 22 20"
10,-0.3830,0.8000,"12 42 32 42 42 34 39 39 24 8 42 39 42 42 35 42 39 42 39 19 13 42 24 39 42 0 35 23 42 42 42 7 8 39 23 42 36 1 42 8 39 34 42 13 39 36 39 38 39 39 39 39 39 42 39 39 3 7 23 39 42 39 39 39 39 42 39 39 24 39 39 1 42 42 39 19 39 8 7 8 39 36 42 42 39 42 39 39 39 39 42 36 3 0 8 39 39 39 39 8 21 30 26 16 16 22 41 21 30 29 25 29 25 12 12 22 21 29 26 26 22 25 21 25 26 22 21 22 26 15 25 21 39 39 26 29 15 22 22 39 39 27 21 29 25 26 29 14 29 22 22 22 30 21 25 25 30 15 21 21 22 39 14 30 22 15 39 14 21 21 14 22 30 22 38 22 29 39 22 22 15 26 21 28 28 28 22 15 30 39 27 22 26 20 16 21 27 22 19 27 12 29 28 35 28 9 34 19 27 32 30 26 29 35 28 29 20 30 36 30 36 30 30 28 12 35 35 17 30 30 30 27 31 34 35 36 28 28 31 28 11 12 30 29 20 28 30 36 25 25 29 29 33 12 16 34 10 29 29 29 29 35 12 25 28 30 28 35 30 25 28 7 26 34 36 19 18 31 16 36 16 12 11 35 34 28 29 35 26 27 19 32 30 9 35 36 28 25 36 20 15 15 30 29 39 12 15 28 13 30 16 38 13 0 38 0 29 38 11 13 0 0 1 14 11 14 0 11 11 3 14 0 30 0 28 30 0 0 15 30 0 39 3 13 13 28 0 29 10 11 14 30 1 0 28 0 13 0 9 3 11 3 38 0 1 39 3 11 39 28 14 1 1 3 9 15 11 0 11 29 0 3 3 3 28 12 38 28 14 29 13 1 38 12 10 39 16 30 15 15 32 1 33 13 22 38 1 39 27 13 0 38 27 32 0 1 1 38 33 33 31 39 22 22 38 38 1 3 31 0 31 22 22 33 27 0 22 3 20 38 38 33 32 38 33 1 38 38 13 22 38 31 27 22 25 32 31 22 31 39 39 38 21 32 13 13 21 25 21 22 22 32 1 32 0 27 22 3 3 27 32 38 1 21 22 21 39 22 26 13 26 26 3 31 22 27 0 22 22 1"
