# seed=12
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.5)
# mutation=p0=0.05,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.3
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6459,0.9231,0.9238,-0.2025,0.2338,"1 20 6 31 36 37 27 33 1 21 37 2 28 0 39 7 8 30 42 24 21 4 19 17 16 22 18 18 34 21 12 1 9 31 18 0 10 36 25 32 1 36 27 9 41 28 4 36 28 20 3 26 10 19 2 0 0 21 42 2 15 9 39 29 7 23 26 36 24 34 42 38 33 7 39 26 36 34 37 25 6 15 36 15 40 31 23 4 5 28 16 32 28 10 1 22 25 22 15 41 38 40 24 15 8 8 24 21 4 41 12 26 4 29 15 41 11 21 40 5 21 11 9 28 39 10 7 9 21 36 9 4 7 5 23 39 12 18 16 33 17 33 5 40 5 19 0 23 25 35 0 34 9 11 23 0 14 11 14 38 4 14 9 7 13 8 41 5 41 3 40 4 11 40 21 31 10 2 28 9 16 38 11 12 5 40 12 10 2 2 3 23 11 38 30 38 20 14 15 36 11 16 33 0 24 16 41 12 39 22 26 11 24 27 5 15 0 4 18 41 28 1 11 15 34 35 39 9 28 1 39 11 34 28 22 7 35 6 37 3 15 24 40 24 25 42 21 15 34 1 2 23 2 35 31 10 13 16 25 7 15 21 28 41 6 33 41 32 15 33 0 19 7 30 1 10 9 33 26 5 27 21 42 3 23 39 34 30 40 2 42 28 31 0 8 35 28 25 33 18 28 36 8 29 32 17 24 2 20 30 36 10 24 7 30 28 22 12 14 2 11 3 5 5 35 5 2 18 20 10 5 42 17 5 8 18 17 4 39 13 11 35 15 28 5 18 10 14 25 30 13 36 24 27 31 30 33 38 1 21 42 11 14 27 19 2 4 8 14 28 10 38 33 42 10 22 14 35 2 14 30 18 23 3 6 1 27 13 31 1 0 7 23 30 17 31 7 13 17 17 18 15 42 0 17 41 31 42 26 17 1 7 25 9 12 18 30 5 34 30 19 33 42 4 34 23 3 37 20 17 7 10 25 3 19 27 8 39 19 41 4 12 6 3 39 12 8 18 1 25 19 40 0 42 29 5 34 3 42 11 8 29 13 16 18 30 12 1 29 9 5 5 28 18 22 37 13 0 21 8 23 4 8 13 37 2 39 2 10 1 6 35 24 30 40 20 19 2 39 11"
1,2,-0.6979,0.9583,0.8683,-0.2804,0.1298,"33 33 4 1 31 1 9 31 20 31 4 2 32 35 35 17 10 30 26 39 33 8 17 37 8 25 22 39 12 39 10 39 17 22 2 2 15 22 20 39 22 12 32 12 2 22 42 42 33 20 42 13 22 0 0 29 7 31 42 18 36 32 14 32 21 35 22 22 33 39 22 2 16 22 35 38 39 27 14 16 32 32 24 23 16 26 31 33 32 10 31 31 18 39 35 26 21 32 34 22 12 35 39 17 17 17 28 17 16 10 31 20 19 36 35 10 24 28 18 11 18 12 19 0 39 19 0 20 10 30 17 38 12 17 2 20 11 12 34 17 35 9 23 2 28 9 39 9 39 12 17 12 11 12 2 12 13 9 26 18 36 12 19 35 13 35 20 11 7 39 34 10 12 40 4 39 15 19 19 10 12 20 11 12 2 0 12 12 2 9 42 10 17 18 24 10 36 9 13 34 31 39 11 39 39 15 17 7 32 17 15 21 27 9 17 18 17 20 9 36 36 37 29 31 39 10 18 39 19 12 1 2 17 19 35 41 2 2 11 39 12 31 39 19 10 16 19 0 9 39 39 17 35 3 39 0 21 35 10 12 7 39 20 20 26 18 9 11 34 20 25 11 39 2 1 39 36 18 2 10 26 18 1 34 22 20 0 10 12 22 20 35 39 20 2 11 12 23 7 11 5 9 5 23 19 36 39 2 18 40 23 23 25 23 29 16 4 17 23 17 23 32 31 19 24 18 2 42 39 23 3 18 13 18 36 38 26 12 31 10 18 21 1 31 23 23 26 4 39 39 12 11 18 8 18 19 42 21 17 24 17 18 0 39 3 27 17 8 24 36 6 39 32 12 41 14 37 12 25 24 7 28 13 18 5 36 20 33 34 13 14 6 18 18 39 12 9 35 38 34 12 1 34 37 33 22 41 0 42 38 12 19 38 2 28 15 35 0 20 34 17 25 26 20 29 12 13 8 19 36 28 36 30 35 36 20 39 35 20 6 36 39 4 10 6 36 12 40 15 12 36 19 23 39 19 33 39 19 34 37 33 36 3 34 38 21 22 27 20 39 34 36 25 42 20 37 26 19 20 5 19 34 29 35 7 34 25 36 19 19 26 20 1 11 36 18 23 12 19 35"
2,3,-0.7109,0.9545,0.8121,-0.2922,0.1099,"35 13 39 28 24 38 27 12 12 35 29 28 34 4 40 39 39 2 27 11 2 11 39 11 2 39 0 9 2 12 42 35 25 6 26 11 27 21 28 4 4 12 6 19 36 32 1 12 39 1 30 36 2 39 1 34 2 39 40 34 11 2 30 42 39 38 28 27 9 35 8 37 29 2 34 3 25 12 27 2 30 35 8 2 11 37 39 1 21 10 34 36 34 39 24 34 23 2 31 28 10 25 13 21 12 9 7 12 24 24 30 29 39 3 39 3 9 24 19 28 5 12 28 2 19 25 12 21 14 23 26 7 2 7 39 21 22 1 19 23 25 8 20 24 39 39 12 8 39 25 39 29 36 22 33 12 12 10 10 12 12 8 19 28 23 7 13 8 25 30 19 23 24 8 22 29 21 35 9 7 12 26 19 2 0 19 0 15 21 23 29 7 30 0 12 27 42 2 41 24 39 1 41 17 4 17 7 39 8 5 41 5 7 10 8 8 7 32 8 12 17 7 0 2 2 13 2 7 12 7 17 20 2 28 29 18 8 17 2 27 34 8 1 17 39 12 30 7 7 8 7 0 34 7 8 19 15 17 8 8 39 4 8 8 8 16 12 8 25 7 21 37 7 17 12 8 30 12 8 2 19 41 42 26 12 8 25 8 7 8 22 17 2 7 4 8 7 21 7 37 8 31 8 32 7 7 16 8 12 33 12 32 21 39 29 42 12 7 15 2 32 12 17 39 38 8 20 31 29 8 7 25 27 2 39 24 8 12 8 8 11 28 8 7 8 8 8 25 12 8 31 7 32 26 28 26 14 24 27 10 8 7 39 7 7 25 13 26 31 39 7 25 7 7 31 2 23 38 27 23 36 25 7 8 24 4 39 7 13 6 16 30 39 31 28 25 39 32 26 39 39 23 30 29 23 20 24 37 20 12 39 20 0 12 19 19 19 25 12 39 19 23 12 23 19 12 39 19 19 12 22 6 19 20 35 0 12 12 12 20 12 12 20 35 29 24 19 28 38 30 19 12 19 19 37 12 10 3 14 0 24 40 12 39 24 39 2 12 19 40 0 24 33 19 40 7 12 19 19 12 26 24 19 23 19 41 24 8 0 16 32 19 27 12 39 39 20 12 38 41"
3,3,-0.7109,0.9545,0.8121,-0.2858,0.1365,"35 13 39 28 24 38 27 12 12 35 29 28 34 4 40 39 39 2 27 11 2 11 39 11 2 39 0 9 2 12 42 35 25 6 26 11 27 21 28 4 4 12 6 19 36 32 1 12 39 1 30 36 2 39 1 34 2 39 40 34 11 2 30 42 39 38 28 27 9 35 8 37 29 2 34 3 25 12 27 2 30 35 8 2 11 37 39 1 21 10 34 36 34 39 24 34 23 2 31 28 10 25 13 21 12 9 7 12 24 24 30 29 39 3 39 3 9 24 19 28 5 12 28 2 19 25 12 21 14 23 26 7 2 7 39 21 22 1 19 23 25 8 20 24 39 39 12 8 39 25 39 29 36 22 33 12 12 10 10 12 12 8 19 28 23 7 13 8 25 30 19 23 24 8 22 29 21 35 9 7 12 26 19 2 0 19 0 15 21 23 29 7 30 0 12 27 42 2 41 24 39 1 41 17 4 17 7 39 8 5 41 5 7 10 8 8 7 32 8 12 17 7 0 2 2 13 2 7 12 7 17 20 2 28 29 18 8 17 2 27 34 8 1 17 39 12 30 7 7 8 7 0 34 7 8 19 15 17 8 8 39 4 8 8 8 16 12 8 25 7 21 37 7 17 12 8 30 12 8 2 19 41 42 26 12 8 25 8 7 8 22 17 2 7 4 8 7 21 7 37 8 31 8 32 7 7 16 8 12 33 12 32 21 39 29 42 12 7 15 2 32 12 17 39 38 8 20 31 29 8 7 25 27 2 39 24 8 12 8 8 11 28 8 7 8 8 8 25 12 8 31 7 32 26 28 26 14 24 27 10 8 7 39 7 7 25 13 26 31 39 7 25 7 7 31 2 23 38 27 23 36 25 7 8 24 4 39 7 13 6 16 30 39 31 28 25 39 32 26 39 39 23 30 29 23 20 24 37 20 12 39 20 0 12 19 19 19 25 12 39 19 23 12 23 19 12 39 19 19 12 22 6 19 20 35 0 12 12 12 20 12 12 20 35 29 24 19 28 38 30 19 12 19 19 37 12 10 3 14 0 24 40 12 39 24 39 2 12 19 40 0 24 33 19 40 7 12 19 19 12 26 24 19 23 19 41 24 8 0 16 32 19 27 12 39 39 20 12 38 41"
4,3,-0.7109,0.9545,0.8121,-0.2885,0.1234,"35 13 39 28 24 38 27 12 12 35 29 28 34 4 40 39 39 2 27 11 2 11 39 11 2 39 0 9 2 12 42 35 25 6 26 11 27 21 28 4 4 12 6 19 36 32 1 12 39 1 30 36 2 39 1 34 2 39 40 34 11 2 30 42 39 38 28 27 9 35 8 37 29 2 34 3 25 12 27 2 30 35 8 2 11 37 39 1 21 10 34 36 34 39 24 34 23 2 31 28 10 25 13 21 12 9 7 12 24 24 30 29 39 3 39 3 9 24 19 28 5 12 28 2 19 25 12 21 14 23 26 7 2 7 39 21 22 1 19 23 25 8 20 24 39 39 12 8 39 25 39 29 36 22 33 12 12 10 10 12 12 8 19 28 23 7 13 8 25 30 19 23 24 8 22 29 21 35 9 7 12 26 19 2 0 19 0 15 21 23 29 7 30 0 12 27 42 2 41 24 39 1 41 17 4 17 7 39 8 5 41 5 7 10 8 8 7 32 8 12 17 7 0 2 2 13 2 7 12 7 17 20 2 28 29 18 8 17 2 27 34 8 1 17 39 12 30 7 7 8 7 0 34 7 8 19 15 17 8 8 39 4 8 8 8 16 12 8 25 7 21 37 7 17 12 8 30 12 8 2 19 41 42 26 12 8 25 8 7 8 22 17 2 7 4 8 7 21 7 37 8 31 8 32 7 7 16 8 12 33 12 32 21 39 29 42 12 7 15 2 32 12 17 39 38 8 20 31 29 8 7 25 27 2 39 24 8 12 8 8 11 28 8 7 8 8 8 25 12 8 31 7 32 26 28 26 14 24 27 10 8 7 39 7 7 25 13 26 31 39 7 25 7 7 31 2 23 38 27 23 36 25 7 8 24 4 39 7 13 6 16 30 39 31 28 25 39 32 26 39 39 23 30 29 23 20 24 37 20 12 39 20 0 12 19 19 19 25 12 39 19 23 12 23 19 12 39 19 19 12 22 6 19 20 35 0 12 12 12 20 12 12 20 35 29 24 19 28 38 30 19 12 19 19 37 12 10 3 14 0 24 40 12 39 24 39 2 12 19 40 0 24 33 19 40 7 12 19 19 12 26 24 19 23 19 41 24 8 0 16 32 19 27 12 39 39 20 12 38 41"
5,3,-0.7109,0.9545,0.8121,-0.3031,0.1410,"35 13 39 28 24 38 27 12 12 35 29 28 34 4 40 39 39 2 27 11 2 11 39 11 2 39 0 9 2 12 42 35 25 6 26 11 27 21 28 4 4 12 6 19 36 32 1 12 39 1 30 36 2 39 1 34 2 39 40 34 11 2 30 42 39 38 28 27 9 35 8 37 29 2 34 3 25 12 27 2 30 35 8 2 11 37 39 1 21 10 34 36 34 39 24 34 23 2 31 28 10 25 13 21 12 9 7 12 24 24 30 29 39 3 39 3 9 24 19 28 5 12 28 2 19 25 12 21 14 23 26 7 2 7 39 21 22 1 19 23 25 8 20 24 39 39 12 8 39 25 39 29 36 22 33 12 12 10 10 12 12 8 19 28 23 7 13 8 25 30 19 23 24 8 22 29 21 35 9 7 12 26 19 2 0 19 0 15 21 23 29 7 30 0 12 27 42 2 41 24 39 1 41 17 4 17 7 39 8 5 41 5 7 10 8 8 7 32 8 12 17 7 0 2 2 13 2 7 12 7 17 20 2 28 29 18 8 17 2 27 34 8 1 17 39 12 30 7 7 8 7 0 34 7 8 19 15 17 8 8 39 4 8 8 8 16 12 8 25 7 21 37 7 17 12 8 30 12 8 2 19 41 42 26 12 8 25 8 7 8 22 17 2 7 4 8 7 21 7 37 8 31 8 32 7 7 16 8 12 33 12 32 21 39 29 42 12 7 15 2 32 12 17 39 38 8 20 31 29 8 7 25 27 2 39 24 8 12 8 8 11 28 8 7 8 8 8 25 12 8 31 7 32 26 28 26 14 24 27 10 8 7 39 7 7 25 13 26 31 39 7 25 7 7 31 2 23 38 27 23 36 25 7 8 24 4 39 7 13 6 16 30 39 31 28 25 39 32 26 39 39 23 30 29 23 20 24 37 20 12 39 20 0 12 19 19 19 25 12 39 19 23 12 23 19 12 39 19 19 12 22 6 19 20 35 0 12 12 12 20 12 12 20 35 29 24 19 28 38 30 19 12 19 19 37 12 10 3 14 0 24 40 12 39 24 39 2 12 19 40 0 24 33 19 40 7 12 19 19 12 26 24 19 23 19 41 24 8 0 16 32 19 27 12 39 39 20 12 38 41"
6,3,-0.7109,0.9545,0.8121,-0.2896,0.1260,"35 13 39 28 24 38 27 12 12 35 29 28 34 4 40 39 39 2 27 11 2 11 39 11 2 39 0 9 2 12 42 35 25 6 26 11 27 21 28 4 4 12 6 19 36 32 1 12 39 1 30 36 2 39 1 34 2 39 40 34 11 2 30 42 39 38 28 27 9 35 8 37 29 2 34 3 25 12 27 2 30 35 8 2 11 37 39 1 21 10 34 36 34 39 24 34 23 2 31 28 10 25 13 21 12 9 7 12 24 24 30 29 39 3 39 3 9 24 19 28 5 12 28 2 19 25 12 21 14 23 26 7 2 7 39 21 22 1 19 23 25 8 20 24 39 39 12 8 39 25 39 29 36 22 33 12 12 10 10 12 12 8 19 28 23 7 13 8 25 30 19 23 24 8 22 29 21 35 9 7 12 26 19 2 0 19 0 15 21 23 29 7 30 0 12 27 42 2 41 24 39 1 41 17 4 17 7 39 8 5 41 5 7 10 8 8 7 32 8 12 17 7 0 2 2 13 2 7 12 7 17 20 2 28 29 18 8 17 2 27 34 8 1 17 39 12 30 7 7 8 7 0 34 7 8 19 15 17 8 8 39 4 8 8 8 16 12 8 25 7 21 37 7 17 12 8 30 12 8 2 19 41 42 26 12 8 25 8 7 8 22 17 2 7 4 8 7 21 7 37 8 31 8 32 7 7 16 8 12 33 12 32 21 39 29 42 12 7 15 2 32 12 17 39 38 8 20 31 29 8 7 25 27 2 39 24 8 12 8 8 11 28 8 7 8 8 8 25 12 8 31 7 32 26 28 26 14 24 27 10 8 7 39 7 7 25 13 26 31 39 7 25 7 7 31 2 23 38 27 23 36 25 7 8 24 4 39 7 13 6 16 30 39 31 28 25 39 32 26 39 39 23 30 29 23 20 24 37 20 12 39 20 0 12 19 19 19 25 12 39 19 23 12 23 19 12 39 19 19 12 22 6 19 20 35 0 12 12 12 20 12 12 20 35 29 24 19 28 38 30 19 12 19 19 37 12 10 3 14 0 24 40 12 39 24 39 2 12 19 40 0 24 33 19 40 7 12 19 19 12 26 24 19 23 19 41 24 8 0 16 32 19 27 12 39 39 20 12 38 41"
7,3,-0.7109,0.9545,0.8121,-0.2907,0.0644,"35 13 39 28 24 38 27 12 12 35 29 28 34 4 40 39 39 2 27 11 2 11 39 11 2 39 0 9 2 12 42 35 25 6 26 11 27 21 28 4 4 12 6 19 36 32 1 12 39 1 30 36 2 39 1 34 2 39 40 34 11 2 30 42 39 38 28 27 9 35 8 37 29 2 34 3 25 12 27 2 30 35 8 2 11 37 39 1 21 10 34 36 34 39 24 34 23 2 31 28 10 25 13 21 12 9 7 12 24 24 30 29 39 3 39 3 9 24 19 28 5 12 28 2 19 25 12 21 14 23 26 7 2 7 39 21 22 1 19 23 25 8 20 24 39 39 12 8 39 25 39 29 36 22 33 12 12 10 10 12 12 8 19 28 23 7 13 8 25 30 19 23 24 8 22 29 21 35 9 7 12 26 19 2 0 19 0 15 21 23 29 7 30 0 12 27 42 2 41 24 39 1 41 17 4 17 7 39 8 5 41 5 7 10 8 8 7 32 8 12 17 7 0 2 2 13 2 7 12 7 17 20 2 28 29 18 8 17 2 27 34 8 1 17 39 12 30 7 7 8 7 0 34 7 8 19 15 17 8 8 39 4 8 8 8 16 12 8 25 7 21 37 7 17 12 8 30 12 8 2 19 41 42 26 12 8 25 8 7 8 22 17 2 7 4 8 7 21 7 37 8 31 8 32 7 7 16 8 12 33 12 32 21 39 29 42 12 7 15 2 32 12 17 39 38 8 20 31 29 8 7 25 27 2 39 24 8 12 8 8 11 28 8 7 8 8 8 25 12 8 31 7 32 26 28 26 14 24 27 10 8 7 39 7 7 25 13 26 31 39 7 25 7 7 31 2 23 38 27 23 36 25 7 8 24 4 39 7 13 6 16 30 39 31 28 25 39 32 26 39 39 23 30 29 23 20 24 37 20 12 39 20 0 12 19 19 19 25 12 39 19 23 12 23 19 12 39 19 19 12 22 6 19 20 35 0 12 12 12 20 12 12 20 35 29 24 19 28 38 30 19 12 19 19 37 12 10 3 14 0 24 40 12 39 24 39 2 12 19 40 0 24 33 19 40 7 12 19 19 12 26 24 19 23 19 41 24 8 0 16 32 19 27 12 39 39 20 12 38 41"
8,3,-0.7109,0.9545,0.8121,-0.2922,0.1521,"35 13 39 28 24 38 27 12 12 35 29 28 34 4 40 39 39 2 27 11 2 11 39 11 2 39 0 9 2 12 42 35 25 6 26 11 27 21 28 4 4 12 6 19 36 32 1 12 39 1 30 36 2 39 1 34 2 39 40 34 11 2 30 42 39 38 28 27 9 35 8 37 29 2 34 3 25 12 27 2 30 35 8 2 11 37 39 1 21 10 34 36 34 39 24 34 23 2 31 28 10 25 13 21 12 9 7 12 24 24 30 29 39 3 39 3 9 24 19 28 5 12 28 2 19 25 12 21 14 23 26 7 2 7 39 21 22 1 19 23 25 8 20 24 39 39 12 8 39 25 39 29 36 22 33 12 12 10 10 12 12 8 19 28 23 7 13 8 25 30 19 23 24 8 22 29 21 35 9 7 12 26 19 2 0 19 0 15 21 23 29 7 30 0 12 27 42 2 41 24 39 1 41 17 4 17 7 39 8 5 41 5 7 10 8 8 7 32 8 12 17 7 0 2 2 13 2 7 12 7 17 20 2 28 29 18 8 17 2 27 34 8 1 17 39 12 30 7 7 8 7 0 34 7 8 19 15 17 8 8 39 4 8 8 8 16 12 8 25 7 21 37 7 17 12 8 30 12 8 2 19 41 42 26 12 8 25 8 7 8 22 17 2 7 4 8 7 21 7 37 8 31 8 32 7 7 16 8 12 33 12 32 21 39 29 42 12 7 15 2 32 12 17 39 38 8 20 31 29 8 7 25 27 2 39 24 8 12 8 8 11 28 8 7 8 8 8 25 12 8 31 7 32 26 28 26 14 24 27 10 8 7 39 7 7 25 13 26 31 39 7 25 7 7 31 2 23 38 27 23 36 25 7 8 24 4 39 7 13 6 16 30 39 31 28 25 39 32 26 39 39 23 30 29 23 20 24 37 20 12 39 20 0 12 19 19 19 25 12 39 19 23 12 23 19 12 39 19 19 12 22 6 19 20 35 0 12 12 12 20 12 12 20 35 29 24 19 28 38 30 19 12 19 19 37 12 10 3 14 0 24 40 12 39 24 39 2 12 19 40 0 24 33 19 40 7 12 19 19 12 26 24 19 23 19 41 24 8 0 16 32 19 27 12 39 39 20 12 38 41"
9,3,-0.7109,0.9545,0.8121,-0.2897,0.1366,"35 13 39 28 24 38 27 12 12 35 29 28 34 4 40 39 39 2 27 11 2 11 39 11 2 39 0 9 2 12 42 35 25 6 26 11 27 21 28 4 4 12 6 19 36 32 1 12 39 1 30 36 2 39 1 34 2 39 40 34 11 2 30 42 39 38 28 27 9 35 8 37 29 2 34 3 25 12 27 2 30 35 8 2 11 37 39 1 21 10 34 36 34 39 24 34 23 2 31 28 10 25 13 21 12 9 7 12 24 24 30 29 39 3 39 3 9 24 19 28 5 12 28 2 19 25 12 21 14 23 26 7 2 7 39 21 22 1 19 23 25 8 20 24 39 39 12 8 39 25 39 29 36 22 33 12 12 10 10 12 12 8 19 28 23 7 13 8 25 30 19 23 24 8 22 29 21 35 9 7 12 26 19 2 0 19 0 15 21 23 29 7 30 0 12 27 42 2 41 24 39 1 41 17 4 17 7 39 8 5 41 5 7 10 8 8 7 32 8 12 17 7 0 2 2 13 2 7 12 7 17 20 2 28 29 18 8 17 2 27 34 8 1 17 39 12 30 7 7 8 7 0 34 7 8 19 15 17 8 8 39 4 8 8 8 16 12 8 25 7 21 37 7 17 12 8 30 12 8 2 19 41 42 26 12 8 25 8 7 8 22 17 2 7 4 8 7 21 7 37 8 31 8 32 7 7 16 8 12 33 12 32 21 39 29 42 12 7 15 2 32 12 17 39 38 8 20 31 29 8 7 25 27 2 39 24 8 12 8 8 11 28 8 7 8 8 8 25 12 8 31 7 32 26 28 26 14 24 27 10 8 7 39 7 7 25 13 26 31 39 7 25 7 7 31 2 23 38 27 23 36 25 7 8 24 4 39 7 13 6 16 30 39 31 28 25 39 32 26 39 39 23 30 29 23 20 24 37 20 12 39 20 0 12 19 19 19 25 12 39 19 23 12 23 19 12 39 19 19 12 22 6 19 20 35 0 12 12 12 20 12 12 20 35 29 24 19 28 38 30 19 12 19 19 37 12 10 3 14 0 24 40 12 39 24 39 2 12 19 40 0 24 33 19 40 7 12 19 19 12 26 24 19 23 19 41 24 8 0 16 32 19 27 12 39 39 20 12 38 41"
