# seed=29
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.5)
# mutation=p0=0.002,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.3
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6347,0.9149,0.9340,-0.1884,0.2188,"35 10 13 40 39 25 32 18 36 16 30 8 39 31 18 4 2 12 37 16 1 24 18 12 2 28 24 2 23 13 15 28 17 0 24 25 11 24 4 11 0 12 21 37 32 39 7 41 3 6 42 16 9 35 32 2 4 15 42 35 21 36 21 30 16 29 12 41 1 34 16 11 19 26 11 15 4 17 10 25 8 36 24 5 40 40 30 33 15 10 28 24 6 9 35 17 32 13 11 42 38 14 4 5 21 22 12 6 41 36 21 2 19 16 17 23 12 31 3 21 20 22 33 0 42 35 6 20 33 13 19 7 19 40 16 30 21 25 38 30 25 19 1 3 36 0 2 23 12 9 9 7 31 1 27 41 17 21 4 0 13 33 23 9 31 1 27 22 40 11 41 14 1 1 12 32 36 17 6 5 38 4 4 31 15 33 33 0 0 16 22 3 2 29 4 8 40 27 38 8 23 10 14 27 18 31 39 27 32 39 35 37 15 33 16 12 24 8 15 20 42 4 27 13 38 9 36 20 19 20 4 34 41 40 38 17 5 21 9 12 21 33 27 21 35 15 32 19 0 39 28 11 27 39 12 23 39 20 34 37 39 2 8 40 39 24 37 22 5 1 0 13 41 32 7 1 33 6 41 37 3 42 2 29 15 0 7 18 35 33 1 7 38 29 41 20 20 39 22 25 29 11 7 39 12 14 25 27 29 22 14 30 26 15 16 35 21 33 17 16 35 35 31 40 1 19 7 15 18 26 7 13 37 33 15 14 22 34 42 32 15 5 7 29 22 19 22 19 40 8 40 17 16 16 41 35 28 32 10 0 33 33 10 27 38 42 31 23 11 30 0 4 39 22 3 1 39 37 22 9 33 18 29 37 25 10 27 6 12 27 22 41 14 36 38 37 8 11 0 19 21 40 26 8 38 24 7 40 10 34 41 39 40 34 26 29 38 18 40 22 42 38 21 5 17 4 39 7 14 42 35 17 37 21 35 25 42 26 20 6 2 33 32 21 24 36 39 6 34 19 8 22 39 5 1 33 7 2 35 5 34 30 39 40 2 33 30 18 38 8 16 0 3 9 11 17 27 33 16 20 7 36 37 21 13 26 2 12 2 5 24 6 26 8 16 40 42 6 37 33"
1,2,-0.6366,0.9149,0.9275,-0.2376,0.1792,"30 31 24 21 37 17 28 1 4 16 7 4 26 24 19 41 10 22 3 16 2 38 2 12 9 4 31 34 21 32 2 12 34 8 18 28 41 21 12 0 11 8 23 1 20 2 18 34 2 6 6 0 12 22 1 16 21 20 25 19 9 40 28 23 4 36 16 13 34 34 21 16 21 23 38 32 2 5 34 30 0 23 29 14 22 12 18 9 9 7 3 6 9 31 40 8 33 23 41 30 9 11 17 13 7 14 25 38 21 9 0 31 7 1 21 10 28 0 6 23 3 42 9 13 24 15 15 13 28 14 30 30 11 18 34 40 42 38 23 39 33 31 39 25 10 14 18 0 4 42 39 11 31 36 40 21 6 26 30 35 7 1 21 39 4 34 19 38 38 37 21 4 20 30 23 1 3 26 12 25 8 21 30 41 36 2 27 15 20 28 5 5 33 23 14 33 38 25 24 31 14 35 39 19 32 33 6 42 25 29 20 40 15 14 32 0 34 39 31 41 29 27 16 40 23 35 26 40 4 15 36 10 17 42 39 5 36 29 14 16 26 39 27 30 8 9 22 20 20 11 3 8 11 1 7 35 18 27 10 6 13 38 33 14 41 1 12 39 8 34 23 24 30 31 39 11 31 11 12 6 5 21 2 38 33 8 12 37 40 33 29 0 27 33 24 8 16 5 31 5 14 2 18 20 11 4 39 10 28 36 22 32 19 2 2 39 35 1 39 19 22 40 29 18 20 31 28 0 6 27 37 10 30 41 2 28 16 20 23 33 31 9 39 29 23 36 18 10 4 24 7 35 1 0 9 10 2 24 40 12 29 35 26 8 11 19 13 2 40 5 5 41 7 28 34 6 32 5 35 41 40 10 28 12 19 35 21 17 18 31 36 10 39 33 6 18 3 18 15 15 39 17 24 38 7 23 30 25 8 19 29 31 1 18 30 32 5 21 37 22 13 27 30 40 30 19 24 41 5 39 8 28 34 31 30 1 2 29 0 30 15 27 21 2 12 5 24 22 34 41 4 5 28 30 0 26 18 38 25 40 39 36 9 13 22 22 20 42 39 3 1 28 19 21 28 3 0 40 35 3 28 28 5 14 18 38 6 18 37 28 42 27 7 12 30 5 4 2 36 42"
2,2,-0.6366,0.9149,0.9275,-0.2417,0.1496,"30 31 24 21 37 17 28 1 4 16 7 4 26 24 19 41 10 22 3 16 2 38 2 12 9 4 31 34 21 32 2 12 34 8 18 28 41 21 12 0 11 8 23 1 20 2 18 34 2 6 6 0 12 22 1 16 21 20 25 19 9 40 28 23 4 36 16 13 34 34 21 16 21 23 38 32 2 5 34 30 0 23 29 14 22 12 18 9 9 7 3 6 9 31 40 8 33 23 41 30 9 11 17 13 7 14 25 38 21 9 0 31 7 1 21 10 28 0 6 23 3 42 9 13 24 15 15 13 28 14 30 30 11 18 34 40 42 38 23 39 33 31 39 25 10 14 18 0 4 42 39 11 31 36 40 21 6 26 30 35 7 1 21 39 4 34 19 38 38 37 21 4 20 30 23 1 3 26 12 25 8 21 30 41 36 2 27 15 20 28 5 5 33 23 14 33 38 25 24 31 14 35 39 19 32 33 6 42 25 29 20 40 15 14 32 0 34 39 31 41 29 27 16 40 23 35 26 40 4 15 36 10 17 42 39 5 36 29 14 16 26 39 27 30 8 9 22 20 20 11 3 8 11 1 7 35 18 27 10 6 13 38 33 14 41 1 12 39 8 34 23 24 30 31 39 11 31 11 12 6 5 21 2 38 33 8 12 37 40 33 29 0 27 33 24 8 16 5 31 5 14 2 18 20 11 4 39 10 28 36 22 32 19 2 2 39 35 1 39 19 22 40 29 18 20 31 28 0 6 27 37 10 30 41 2 28 16 20 23 33 31 9 39 29 23 36 18 10 4 24 7 35 1 0 9 10 2 24 40 12 29 35 26 8 11 19 13 2 40 5 5 41 7 28 34 6 32 5 35 41 40 10 28 12 19 35 21 17 18 31 36 10 39 33 6 18 3 18 15 15 39 17 24 38 7 23 30 25 8 19 29 31 1 18 30 32 5 21 37 22 13 27 30 40 30 19 24 41 5 39 8 28 34 31 30 1 2 29 0 30 15 27 21 2 12 5 24 22 34 41 4 5 28 30 0 26 18 38 25 40 39 36 9 13 22 22 20 42 39 3 1 28 19 21 28 3 0 40 35 3 28 28 5 14 18 38 6 18 37 28 42 27 7 12 30 5 4 2 36 42"
3,2,-0.6366,0.9149,0.9275,-0.2403,0.1609,"30 31 24 21 37 17 28 1 4 16 7 4 26 24 19 41 10 22 3 16 2 38 2 12 9 4 31 34 21 32 2 12 34 8 18 28 41 21 12 0 11 8 23 1 20 2 18 34 2 6 6 0 12 22 1 16 21 20 25 19 9 40 28 23 4 36 16 13 34 34 21 16 21 23 38 32 2 5 34 30 0 23 29 14 22 12 18 9 9 7 3 6 9 31 40 8 33 23 41 30 9 11 17 13 7 14 25 38 21 9 0 31 7 1 21 10 28 0 6 23 3 42 9 13 24 15 15 13 28 14 30 30 11 18 34 40 42 38 23 39 33 31 39 25 10 14 18 0 4 42 39 11 31 36 40 21 6 26 30 35 7 1 21 39 4 34 19 38 38 37 21 4 20 30 23 1 3 26 12 25 8 21 30 41 36 2 27 15 20 28 5 5 33 23 14 33 38 25 24 31 14 35 39 19 32 33 6 42 25 29 20 40 15 14 32 0 34 39 31 41 29 27 16 40 23 35 26 40 4 15 36 10 17 42 39 5 36 29 14 16 26 39 27 30 8 9 22 20 20 11 3 8 11 1 7 35 18 27 10 6 13 38 33 14 41 1 12 39 8 34 23 24 30 31 39 11 31 11 12 6 5 21 2 38 33 8 12 37 40 33 29 0 27 33 24 8 16 5 31 5 14 2 18 20 11 4 39 10 28 36 22 32 19 2 2 39 35 1 39 19 22 40 29 18 20 31 28 0 6 27 37 10 30 41 2 28 16 20 23 33 31 9 39 29 23 36 18 10 4 24 7 35 1 0 9 10 2 24 40 12 29 35 26 8 11 19 13 2 40 5 5 41 7 28 34 6 32 5 35 41 40 10 28 12 19 35 21 17 18 31 36 10 39 33 6 18 3 18 15 15 39 17 24 38 7 23 30 25 8 19 29 31 1 18 30 32 5 21 37 22 13 27 30 40 30 19 24 41 5 39 8 28 34 31 30 1 2 29 0 30 15 27 21 2 12 5 24 22 34 41 4 5 28 30 0 26 18 38 25 40 39 36 9 13 22 22 20 42 39 3 1 28 19 21 28 3 0 40 35 3 28 28 5 14 18 38 6 18 37 28 42 27 7 12 30 5 4 2 36 42"
4,3,-0.6644,0.9333,0.8963,-0.2353,0.1399,"1 23 21 12 26 7 10 7 39 10 10 26 11 1 4 39 8 9 11 9 40 40 16 1 11 14 13 7 32 33 30 34 22 9 12 32 6 9 1 8 0 8 8 7 6 24 14 2 8 7 33 18 15 1 0 8 29 12 15 7 11 11 4 27 10 9 34 8 16 23 41 12 39 0 23 18 35 2 20 8 18 20 0 28 6 7 11 11 35 34 12 41 26 9 32 11 36 42 23 9 2 28 10 30 37 41 37 36 27 4 8 25 31 2 9 30 22 2 37 4 30 28 40 19 30 0 7 36 14 33 23 14 34 29 10 14 1 4 36 36 7 16 3 41 9 39 18 1 31 3 2 4 40 10 3 30 15 24 26 3 34 2 9 35 2 18 31 8 39 37 23 20 15 29 35 18 12 42 9 27 8 42 32 16 35 0 21 31 3 16 18 29 32 5 22 28 32 1 1 38 16 31 11 2 11 2 10 9 22 16 0 12 2 7 24 12 26 2 13 7 2 29 2 2 10 38 8 10 7 6 39 9 17 2 40 39 23 6 3 28 25 10 10 29 4 10 29 24 31 25 9 3 17 24 24 35 35 13 32 36 33 12 29 25 2 20 2 11 6 35 10 9 20 17 41 32 35 4 18 9 41 1 39 1 17 11 39 10 5 1 3 35 13 5 37 9 3 9 9 14 14 2 18 20 11 4 39 10 28 36 22 32 19 2 2 39 35 1 39 19 22 40 29 18 20 31 28 0 6 27 37 10 30 41 2 28 16 20 23 33 31 9 39 29 23 36 18 10 4 24 7 35 1 0 9 10 2 24 40 12 29 35 26 8 11 19 13 2 40 5 5 41 7 28 34 6 32 5 35 41 40 10 28 12 19 35 21 17 18 31 36 10 39 33 6 18 3 18 15 15 2 7 11 8 10 41 40 7 31 7 20 10 41 7 30 33 0 8 7 8 21 39 1 26 37 31 24 21 25 38 9 11 13 7 41 2 7 23 15 7 19 23 16 19 5 20 41 8 39 19 1 8 1 8 38 37 32 7 12 30 4 11 20 36 3 11 38 16 26 22 11 0 34 13 19 4 20 4 21 8 20 29 33 33 2 31 21 11 11 7 17 17 7 31 20 8 1 29 36 22"
5,3,-0.6644,0.9333,0.8963,-0.2359,0.1011,"1 23 21 12 26 7 10 7 39 10 10 26 11 1 4 39 8 9 11 9 40 40 16 1 11 14 13 7 32 33 30 34 22 9 12 32 6 9 1 8 0 8 8 7 6 24 14 2 8 7 33 18 15 1 0 8 29 12 15 7 11 11 4 27 10 9 34 8 16 23 41 12 39 0 23 18 35 2 20 8 18 20 0 28 6 7 11 11 35 34 12 41 26 9 32 11 36 42 23 9 2 28 10 30 37 41 37 36 27 4 8 25 31 2 9 30 22 2 37 4 30 28 40 19 30 0 7 36 14 33 23 14 34 29 10 14 1 4 36 36 7 16 3 41 9 39 18 1 31 3 2 4 40 10 3 30 15 24 26 3 34 2 9 35 2 18 31 8 39 37 23 20 15 29 35 18 12 42 9 27 8 42 32 16 35 0 21 31 3 16 18 29 32 5 22 28 32 1 1 38 16 31 11 2 11 2 10 9 22 16 0 12 2 7 24 12 26 2 13 7 2 29 2 2 10 38 8 10 7 6 39 9 17 2 40 39 23 6 3 28 25 10 10 29 4 10 29 24 31 25 9 3 17 24 24 35 35 13 32 36 33 12 29 25 2 20 2 11 6 35 10 9 20 17 41 32 35 4 18 9 41 1 39 1 17 11 39 10 5 1 3 35 13 5 37 9 3 9 9 14 14 2 18 20 11 4 39 10 28 36 22 32 19 2 2 39 35 1 39 19 22 40 29 18 20 31 28 0 6 27 37 10 30 41 2 28 16 20 23 33 31 9 39 29 23 36 18 10 4 24 7 35 1 0 9 10 2 24 40 12 29 35 26 8 11 19 13 2 40 5 5 41 7 28 34 6 32 5 35 41 40 10 28 12 19 35 21 17 18 31 36 10 39 33 6 18 3 18 15 15 2 7 11 8 10 41 40 7 31 7 20 10 41 7 30 33 0 8 7 8 21 39 1 26 37 31 24 21 25 38 9 11 13 7 41 2 7 23 15 7 19 23 16 19 5 20 41 8 39 19 1 8 1 8 38 37 32 7 12 30 4 11 20 36 3 11 38 16 26 22 11 0 34 13 19 4 20 4 21 8 20 29 33 33 2 31 21 11 11 7 17 17 7 31 20 8 1 29 36 22"
6,4,-0.6736,0.9400,0.8878,-0.2440,0.2037,"1 23 24 12 32 7 10 24 39 10 39 26 11 1 32 39 39 9 39 23 40 40 16 24 11 32 13 7 32 33 30 32 22 9 12 33 6 9 23 8 0 8 8 7 23 24 14 24 8 7 33 39 15 1 24 8 29 23 15 7 39 11 12 27 10 9 34 8 16 23 32 12 39 0 23 18 39 2 39 31 18 20 12 28 6 7 39 33 35 34 24 41 32 9 32 11 36 42 23 23 10 10 9 9 26 8 11 11 0 41 29 18 40 6 9 9 26 9 25 10 33 0 33 10 17 18 37 16 31 9 29 33 25 10 35 11 27 12 7 7 21 21 10 25 4 11 41 26 42 33 6 26 25 39 10 39 10 5 2 9 10 39 25 9 11 4 39 33 5 10 13 10 32 24 37 10 31 25 9 11 25 39 26 39 39 16 27 11 31 2 10 6 14 15 35 6 11 11 25 39 23 10 14 7 18 31 39 27 32 39 35 37 7 8 7 12 24 8 15 7 42 7 27 7 38 7 36 20 7 20 4 34 41 40 38 7 5 21 9 12 21 33 27 21 35 15 32 19 0 39 28 11 27 39 12 7 39 20 34 37 39 2 8 8 39 24 37 22 5 1 0 13 41 32 7 1 33 6 41 37 3 42 2 29 15 0 7 18 7 33 1 7 38 29 7 20 20 8 22 25 8 22 39 21 21 39 11 11 8 39 10 32 10 10 2 39 2 1 39 19 8 40 29 21 20 31 28 10 6 10 11 10 30 11 2 8 16 20 23 7 31 9 11 29 23 39 11 22 4 22 7 35 1 0 9 10 22 24 21 21 8 35 26 8 11 19 13 11 40 5 9 41 7 21 34 6 8 5 35 41 9 7 21 21 11 35 2 17 18 11 22 10 7 39 7 18 3 18 15 21 21 40 33 7 38 24 7 8 10 34 32 39 40 7 26 29 8 32 40 22 42 38 7 5 17 4 39 7 14 33 35 17 31 21 8 25 42 26 20 6 2 31 32 21 39 36 39 6 34 19 8 22 39 8 1 8 7 2 35 5 34 30 39 8 2 33 8 18 38 39 33 0 8 9 11 17 7 33 7 20 7 33 12 21 31 12 2 12 2 5 24 6 8 8 16 40 42 6 37 7"
7,4,-0.6736,0.9400,0.8878,-0.2490,0.1349,"1 23 24 12 32 7 10 24 39 10 39 26 11 1 32 39 39 9 39 23 40 40 16 24 11 32 13 7 32 33 30 32 22 9 12 33 6 9 23 8 0 8 8 7 23 24 14 24 8 7 33 39 15 1 24 8 29 23 15 7 39 11 12 27 10 9 34 8 16 23 32 12 39 0 23 18 39 2 39 31 18 20 12 28 6 7 39 33 35 34 24 41 32 9 32 11 36 42 23 23 10 10 9 9 26 8 11 11 0 41 29 18 40 6 9 9 26 9 25 10 33 0 33 10 17 18 37 16 31 9 29 33 25 10 35 11 27 12 7 7 21 21 10 25 4 11 41 26 42 33 6 26 25 39 10 39 10 5 2 9 10 39 25 9 11 4 39 33 5 10 13 10 32 24 37 10 31 25 9 11 25 39 26 39 39 16 27 11 31 2 10 6 14 15 35 6 11 11 25 39 23 10 14 7 18 31 39 27 32 39 35 37 7 8 7 12 24 8 15 7 42 7 27 7 38 7 36 20 7 20 4 34 41 40 38 7 5 21 9 12 21 33 27 21 35 15 32 19 0 39 28 11 27 39 12 7 39 20 34 37 39 2 8 8 39 24 37 22 5 1 0 13 41 32 7 1 33 6 41 37 3 42 2 29 15 0 7 18 7 33 1 7 38 29 7 20 20 8 22 25 8 22 39 21 21 39 11 11 8 39 10 32 10 10 2 39 2 1 39 19 8 40 29 21 20 31 28 10 6 10 11 10 30 11 2 8 16 20 23 7 31 9 11 29 23 39 11 22 4 22 7 35 1 0 9 10 22 24 21 21 8 35 26 8 11 19 13 11 40 5 9 41 7 21 34 6 8 5 35 41 9 7 21 21 11 35 2 17 18 11 22 10 7 39 7 18 3 18 15 21 21 40 33 7 38 24 7 8 10 34 32 39 40 7 26 29 8 32 40 22 42 38 7 5 17 4 39 7 14 33 35 17 31 21 8 25 42 26 20 6 2 31 32 21 39 36 39 6 34 19 8 22 39 8 1 8 7 2 35 5 34 30 39 8 2 33 8 18 38 39 33 0 8 9 11 17 7 33 7 20 7 33 12 21 31 12 2 12 2 5 24 6 8 8 16 40 42 6 37 7"
8,4,-0.6736,0.9400,0.8878,-0.2506,0.1917,"1 23 24 12 32 7 10 24 39 10 39 26 11 1 32 39 39 9 39 23 40 40 16 24 11 32 13 7 32 33 30 32 22 9 12 33 6 9 23 8 0 8 8 7 23 24 14 24 8 7 33 39 15 1 24 8 29 23 15 7 39 11 12 27 10 9 34 8 16 23 32 12 39 0 23 18 39 2 39 31 18 20 12 28 6 7 39 33 35 34 24 41 32 9 32 11 36 42 23 23 10 10 9 9 26 8 11 11 0 41 29 18 40 6 9 9 26 9 25 10 33 0 33 10 17 18 37 16 31 9 29 33 25 10 35 11 27 12 7 7 21 21 10 25 4 11 41 26 42 33 6 26 25 39 10 39 10 5 2 9 10 39 25 9 11 4 39 33 5 10 13 10 32 24 37 10 31 25 9 11 25 39 26 39 39 16 27 11 31 2 10 6 14 15 35 6 11 11 25 39 23 10 14 7 18 31 39 27 32 39 35 37 7 8 7 12 24 8 15 7 42 7 27 7 38 7 36 20 7 20 4 34 41 40 38 7 5 21 9 12 21 33 27 21 35 15 32 19 0 39 28 11 27 39 12 7 39 20 34 37 39 2 8 8 39 24 37 22 5 1 0 13 41 32 7 1 33 6 41 37 3 42 2 29 15 0 7 18 7 33 1 7 38 29 7 20 20 8 22 25 8 22 39 21 21 39 11 11 8 39 10 32 10 10 2 39 2 1 39 19 8 40 29 21 20 31 28 10 6 10 11 10 30 11 2 8 16 20 23 7 31 9 11 29 23 39 11 22 4 22 7 35 1 0 9 10 22 24 21 21 8 35 26 8 11 19 13 11 40 5 9 41 7 21 34 6 8 5 35 41 9 7 21 21 11 35 2 17 18 11 22 10 7 39 7 18 3 18 15 21 21 40 33 7 38 24 7 8 10 34 32 39 40 7 26 29 8 32 40 22 42 38 7 5 17 4 39 7 14 33 35 17 31 21 8 25 42 26 20 6 2 31 32 21 39 36 39 6 34 19 8 22 39 8 1 8 7 2 35 5 34 30 39 8 2 33 8 18 38 39 33 0 8 9 11 17 7 33 7 20 7 33 12 21 31 12 2 12 2 5 24 6 8 8 16 40 42 6 37 7"
9,4,-0.6736,0.9400,0.8878,-0.2513,0.1417,"1 23 24 12 32 7 10 24 39 10 39 26 11 1 32 39 39 9 39 23 40 40 16 24 11 32 13 7 32 33 30 32 22 9 12 33 6 9 23 8 0 8 8 7 23 24 14 24 8 7 33 39 15 1 24 8 29 23 15 7 39 11 12 27 10 9 34 8 16 23 32 12 39 0 23 18 39 2 39 31 18 20 12 28 6 7 39 33 35 34 24 41 32 9 32 11 36 42 23 23 10 10 9 9 26 8 11 11 0 41 29 18 40 6 9 9 26 9 25 10 33 0 33 10 17 18 37 16 31 9 29 33 25 10 35 11 27 12 7 7 21 21 10 25 4 11 41 26 42 33 6 26 25 39 10 39 10 5 2 9 10 39 25 9 11 4 39 33 5 10 13 10 32 24 37 10 31 25 9 11 25 39 26 39 39 16 27 11 31 2 10 6 14 15 35 6 11 11 25 39 23 10 14 7 18 31 39 27 32 39 35 37 7 8 7 12 24 8 15 7 42 7 27 7 38 7 36 20 7 20 4 34 41 40 38 7 5 21 9 12 21 33 27 21 35 15 32 19 0 39 28 11 27 39 12 7 39 20 34 37 39 2 8 8 39 24 37 22 5 1 0 13 41 32 7 1 33 6 41 37 3 42 2 29 15 0 7 18 7 33 1 7 38 29 7 20 20 8 22 25 8 22 39 21 21 39 11 11 8 39 10 32 10 10 2 39 2 1 39 19 8 40 29 21 20 31 28 10 6 10 11 10 30 11 2 8 16 20 23 7 31 9 11 29 23 39 11 22 4 22 7 35 1 0 9 10 22 24 21 21 8 35 26 8 11 19 13 11 40 5 9 41 7 21 34 6 8 5 35 41 9 7 21 21 11 35 2 17 18 11 22 10 7 39 7 18 3 18 15 21 21 40 33 7 38 24 7 8 10 34 32 39 40 7 26 29 8 32 40 22 42 38 7 5 17 4 39 7 14 33 35 17 31 21 8 25 42 26 20 6 2 31 32 21 39 36 39 6 34 19 8 22 39 8 1 8 7 2 35 5 34 30 39 8 2 33 8 18 38 39 33 0 8 9 11 17 7 33 7 20 7 33 12 21 31 12 2 12 2 5 24 6 8 8 16 40 42 6 37 7"
