rank,fitness,winrate,genome
1,-0.8597,1.0000,"25 2 13 0 2 0 2 26 38 2 26 6 3 25 0 13 2 25 4 1 4 2 25 0 25 0 25 2 38 38 2 5 38 1 2 26 25 2 0 0 25 3 0 25 2 0 2 27 2 3 13 25 0 0 2 6 25 0 2 0 4 0 27 2 13 1 0 2 13 0 38 2 38 13 13 25 5 2 2 13 2 13 0 2 37 39 5 3 28 1 2 0 3 25 2 2 25 3 6 25 34 7 34 7 7 7 34 7 35 8 7 8 32 34 7 7 33 7 34 7 7 34 42 7 34 31 34 7 7 7 31 7 8 34 7 7 7 2 34 34 8 34 31 7 7 8 7 7 33 8 7 32 31 7 34 7 7 35 7 7 7 7 33 31 7 6 7 8 7 8 34 7 7 8 7 32 7 7 8 7 34 34 8 34 7 8 8 7 7 7 7 7 7 7 12 32 32 7 34 13 3 2 5 4 2 2 2 4 0 3 2 2 2 37 0 2 0 37 2 19 2 2 0 2 2 2 0 2 19 19 37 19 19 37 2 2 2 5 2 19 0 19 19 5 42 0 2 0 2 2 2 19 2 2 37 6 2 37 2 2 2 6 0 5 37 3 0 2 5 19 0 4 0 2 19 6 2 2 2 37 2 2 42 0 19 4 19 2 19 42 2 2 19 3 19 2 19 20 2 5 0 3 2 0 0 13 1 1 0 0 2 13 38 1 13 8 2 0 8 1 0 2 2 2 0 2 3 6 13 37 1 2 2 13 2 0 0 0 2 38 38 13 2 2 13 2 3 1 38 2 0 38 38 38 2 2 38 38 3 2 3 0 2 2 2 2 0 3 3 13 2 4 0 0 2 0 2 7 13 2 13 38 13 2 38 0 3 2 38 5 0 13 6 38 1 13 3 0 13 2 2 2 10 5 2 2 40 9 2 2 4 2 2 29 2 2 2 9 9 2 28 2 4 30 37 2 5 28 2 28 40 10 5 2 9 23 2 2 2 28 2 5 5 37 2 2 2 6 2 2 28 9 9 2 9 2 2 2 30 2 40 10 9 9 2 9 2 5 2 2 28 11 10 2 40 2 23 2 2 28 9 9 2 4 2 6 5 37 29 2 4 5 2 2 2 9 37 2 11 2"
2,-0.8589,1.0000,"30 1 41 28 3 25 3 41 3 0 41 0 25 3 28 25 27 1 38 28 30 3 0 0 41 0 41 41 26 41 25 3 25 3 3 25 0 25 3 41 28 30 25 0 25 0 25 41 3 0 3 28 0 0 25 26 0 41 0 25 3 0 3 3 38 29 0 0 41 0 41 41 41 41 0 0 25 25 0 41 41 41 0 41 0 39 0 25 0 41 3 0 0 3 41 28 41 3 26 25 12 24 12 23 23 23 23 23 24 22 14 14 23 23 23 23 12 23 23 23 23 12 12 23 23 23 23 24 22 12 12 23 21 23 12 12 23 23 23 24 12 12 12 12 12 24 24 23 24 12 12 12 23 12 23 23 12 12 24 24 23 24 12 24 12 12 12 24 24 12 12 12 23 21 23 12 22 23 23 23 21 23 12 23 12 23 14 23 22 23 23 12 12 16 22 23 15 21 21 21 39 39 22 39 39 21 39 39 39 22 12 39 39 39 39 22 0 39 21 39 21 39 39 39 39 39 3 21 39 0 39 39 39 39 12 21 3 21 21 39 3 0 21 39 26 21 39 39 3 39 21 39 21 25 39 3 0 12 21 39 39 39 39 21 41 8 39 25 0 39 39 0 39 39 21 39 0 22 39 21 21 22 39 39 0 39 39 39 21 21 39 22 21 39 12 25 39 21 21 39 0 3 13 41 12 3 12 3 3 21 3 13 3 3 21 0 3 3 22 3 0 21 38 3 3 38 34 0 0 3 0 0 1 38 3 0 1 0 41 38 38 41 3 41 41 41 3 22 41 34 0 3 38 3 0 1 41 0 3 38 13 16 41 21 41 0 41 41 0 12 3 21 12 3 3 41 0 13 0 41 16 38 3 13 3 3 39 12 3 3 0 0 3 41 3 12 0 12 41 13 21 17 12 23 21 21 16 22 24 17 21 21 22 5 24 23 37 12 21 2 17 21 2 21 18 4 17 5 2 21 6 3 37 12 37 21 18 21 37 37 37 17 4 12 16 21 21 21 4 12 12 21 21 37 23 5 21 4 22 5 16 21 22 12 21 21 4 17 2 21 17 9 5 21 2 24 4 18 17 21 5 21 6 12 21 2 21 17 6 37 6 21 17 5 21 16 6 21 21 6"
3,-0.8458,1.0000,"30 0 28 28 3 28 29 28 25 28 27 28 30 28 29 29 30 3 28 29 25 28 29 17 30 25 28 25 29 3 28 28 29 0 28 28 28 28 3 30 28 3 0 28 29 25 19 27 28 28 30 28 28 42 28 28 29 27 29 0 28 25 25 29 3 29 0 30 23 28 28 25 29 0 25 25 30 28 28 28 28 0 28 28 28 39 25 3 28 30 28 28 28 28 28 28 29 26 25 25 39 39 0 0 0 3 39 39 8 38 7 41 39 0 38 13 41 0 39 39 0 39 3 7 38 39 39 39 39 39 41 39 0 39 3 0 39 39 0 3 7 0 7 39 39 39 39 8 39 3 39 7 39 39 38 3 39 3 39 0 0 1 39 7 39 39 39 7 9 13 0 0 39 39 13 39 39 7 7 39 39 7 3 7 38 1 0 39 27 39 0 39 7 39 26 39 39 7 39 39 2 5 37 5 13 2 1 5 37 42 42 42 2 28 37 5 5 2 6 2 6 2 42 4 2 2 42 2 2 2 5 4 42 4 42 37 42 42 42 4 42 42 2 17 37 2 0 6 4 37 6 42 2 28 37 38 42 42 38 37 3 42 2 5 42 37 0 2 2 6 2 37 6 37 6 2 4 0 42 2 6 38 4 42 42 2 5 4 37 5 42 42 13 28 6 42 13 42 5 6 7 13 7 1 7 1 7 7 13 7 8 8 2 7 7 8 11 7 8 13 7 2 38 7 7 7 3 7 7 7 7 3 7 7 7 7 0 10 7 7 3 1 1 7 1 7 3 1 7 7 0 8 7 2 7 13 8 0 7 7 3 31 8 8 4 0 7 8 1 7 7 7 7 8 38 2 7 0 7 2 7 7 7 38 0 7 7 8 7 7 3 3 38 13 7 0 13 13 6 0 42 9 4 2 21 6 9 37 37 42 42 9 21 21 42 42 42 42 9 6 9 6 9 11 21 10 21 6 9 21 2 5 6 42 42 42 9 22 2 28 9 9 42 10 42 9 9 4 37 42 6 42 5 42 42 9 9 42 21 42 9 9 5 9 42 9 2 9 42 9 42 11 5 42 2 42 23 9 9 28 42 42 42 42 6 9 42 42 11 42 9 42 9 21 2 9 42 11 6 10"
4,-0.8419,1.0000,"30 0 28 28 3 28 29 28 25 28 27 28 30 28 29 29 30 3 28 29 25 28 29 17 30 25 28 25 29 3 28 28 29 0 28 28 28 28 3 30 28 3 0 28 29 25 19 27 28 28 30 28 28 42 28 28 29 27 29 0 28 25 25 29 3 29 0 30 23 28 28 25 29 0 25 25 30 28 28 28 28 0 28 28 28 39 25 3 28 30 28 28 28 28 28 28 29 26 25 25 16 12 41 41 41 0 0 28 28 12 16 28 12 12 28 12 29 28 41 12 12 28 12 12 9 28 12 12 30 29 28 1 28 12 12 41 29 29 33 28 12 12 12 1 12 30 29 28 12 30 12 28 29 28 41 16 12 12 1 12 28 12 30 30 28 29 28 41 41 12 29 12 12 29 12 41 12 12 28 3 38 28 9 12 38 30 29 29 12 12 38 28 28 29 0 28 12 41 12 30 3 35 34 3 13 3 34 5 34 3 0 34 34 36 0 3 3 35 0 3 6 34 3 2 42 0 41 3 2 36 0 0 3 0 42 0 34 3 3 3 0 42 34 35 0 0 34 35 3 0 3 35 34 0 0 0 34 0 0 34 3 3 3 0 3 3 34 37 3 3 3 3 6 2 35 41 0 34 34 2 0 34 4 34 0 0 3 4 0 34 3 0 0 34 6 34 0 34 5 3 16 21 34 22 12 22 16 21 34 12 21 21 16 12 22 16 12 16 22 16 21 21 16 0 21 21 34 21 3 0 21 22 16 16 22 35 21 35 21 21 22 22 21 21 21 12 21 12 16 34 21 12 12 34 21 12 12 21 21 12 21 16 34 21 12 21 16 16 34 1 16 16 0 16 21 21 12 9 16 21 16 12 39 21 16 12 39 34 12 16 12 12 0 23 22 3 16 42 0 12 19 0 19 19 0 1 20 28 13 13 28 19 28 38 0 28 28 42 19 19 19 19 3 30 19 28 30 28 3 28 28 42 38 19 0 19 28 19 19 28 19 13 13 20 28 38 20 28 13 19 13 0 20 19 19 28 38 38 38 19 13 19 19 28 28 25 42 28 28 0 19 19 19 19 13 3 3 38 3 13 28 20 19 28 38 19 28 3 0 38 19 28 42 19 38 3 19 1 20 19"
5,-0.8372,0.9565,"25 2 13 0 2 0 2 26 38 2 26 6 3 25 0 13 2 25 4 1 4 2 25 0 25 0 25 2 38 38 2 5 38 1 2 26 25 2 0 0 25 3 0 25 2 0 2 27 2 3 13 25 0 0 2 6 25 0 2 0 4 0 27 2 13 1 0 2 13 0 38 2 38 13 13 25 5 2 2 13 2 13 0 2 37 39 5 3 28 1 2 0 3 25 2 2 25 3 6 25 34 7 34 7 7 7 34 7 35 8 7 8 32 34 7 7 33 7 34 7 7 34 42 7 34 31 34 7 7 7 31 7 8 34 7 7 7 2 34 34 8 34 31 7 7 8 7 7 33 8 7 32 31 7 34 7 7 35 7 7 7 7 33 31 7 6 7 8 7 8 34 7 7 8 7 32 7 7 8 7 34 34 8 34 7 8 8 7 7 7 7 7 7 7 12 32 32 7 34 13 3 2 5 4 2 2 2 4 0 3 2 2 2 37 0 2 0 37 2 19 2 2 0 2 2 2 0 2 19 19 37 19 19 37 2 2 2 5 2 19 0 19 19 5 42 0 2 0 2 2 2 19 2 2 37 6 2 37 2 2 2 6 0 5 37 3 0 2 5 19 0 4 0 2 19 6 2 2 2 37 2 2 42 0 19 4 19 2 19 42 2 2 19 3 19 2 19 20 2 5 0 3 2 0 0 13 1 1 0 0 2 13 38 1 13 8 2 0 8 1 0 2 2 2 0 2 3 6 13 37 1 2 2 13 2 0 0 0 2 38 38 13 2 2 13 2 3 1 38 2 0 38 38 38 2 2 38 38 3 2 3 0 2 2 2 2 0 3 3 13 2 4 0 0 2 0 2 7 13 2 13 38 13 2 38 0 3 2 38 5 0 13 6 38 1 13 3 0 13 2 2 2 10 5 2 2 40 9 2 2 4 2 2 29 2 2 2 9 9 2 28 2 4 30 37 2 5 28 2 28 40 10 5 2 9 23 2 2 2 28 2 5 5 37 2 2 2 6 2 2 28 9 9 2 9 2 2 2 30 2 40 10 9 9 2 9 2 5 2 2 28 11 10 2 40 2 23 2 2 28 9 9 2 4 2 6 5 37 29 2 4 5 2 2 2 9 37 2 11 2"
6,-0.8055,0.9583,"30 1 41 28 3 25 3 41 3 0 41 0 25 3 28 25 27 1 38 28 30 3 0 0 41 0 41 41 26 41 25 3 25 3 3 25 0 25 3 41 28 30 25 0 25 0 25 41 3 0 3 28 0 0 25 26 0 41 0 25 3 0 3 3 38 29 0 0 41 0 41 41 41 41 0 0 25 25 0 41 41 41 0 41 0 39 0 25 0 41 3 0 0 3 41 28 41 3 26 25 12 12 12 12 12 12 21 12 22 12 12 21 12 12 12 12 12 12 12 12 12 12 12 21 22 12 22 22 22 21 12 12 21 22 12 12 12 12 12 21 22 12 12 12 21 12 22 22 12 12 12 12 21 12 12 12 12 22 12 15 12 14 12 12 12 12 12 12 12 12 12 12 21 21 21 12 22 12 12 19 12 12 12 12 12 21 22 12 22 22 12 12 12 16 22 12 21 12 21 12 39 39 22 39 39 21 39 39 39 22 12 39 39 39 39 22 0 39 21 39 21 39 39 39 39 39 3 21 39 0 39 39 39 39 12 21 3 21 21 39 3 0 21 39 26 21 39 39 3 39 21 39 21 25 39 3 0 12 21 39 39 39 39 21 41 8 39 25 0 39 39 0 39 39 21 39 0 22 39 21 21 22 39 39 0 39 39 39 21 21 39 22 21 39 12 25 39 21 21 39 22 21 34 22 22 22 16 21 39 21 22 39 39 21 21 21 12 21 22 21 21 21 21 39 21 21 21 21 3 21 21 22 21 16 21 21 21 21 21 39 21 21 22 21 21 12 39 39 16 39 21 39 21 21 21 21 39 39 21 22 21 16 34 21 21 21 21 21 21 21 16 21 21 21 21 22 21 21 39 21 21 21 39 21 21 12 21 39 39 39 21 21 39 21 21 21 16 42 39 21 12 22 12 21 12 1 15 22 21 14 12 21 12 12 24 21 21 12 21 21 22 21 21 22 12 21 22 21 22 21 21 12 12 21 21 12 21 21 17 21 12 12 21 12 16 22 38 21 21 12 21 22 21 21 21 21 21 21 21 21 12 21 22 21 12 22 22 12 38 22 12 12 21 21 22 21 21 21 21 22 21 21 21 12 12 14 21 21 21 21 21 15 21 21 13 12 21 12 1 21"
7,-0.7893,0.9583,"30 1 41 28 3 25 3 41 3 0 41 0 25 3 28 25 27 1 38 28 30 3 0 0 41 0 41 41 26 41 25 3 25 3 3 25 0 25 3 41 28 30 25 0 25 0 25 41 3 0 3 28 0 0 25 26 0 41 0 25 3 0 3 3 38 29 0 0 41 0 41 41 41 41 0 0 25 25 0 41 41 41 0 41 0 39 0 25 0 41 3 0 0 3 41 28 41 3 26 25 12 12 12 17 12 12 21 12 22 22 14 14 12 12 12 12 12 21 12 12 12 12 12 12 21 12 22 12 22 12 12 12 21 12 12 12 12 12 12 14 12 12 12 12 12 22 22 22 12 12 12 12 12 12 12 12 12 12 12 15 12 14 12 15 12 12 12 12 12 12 12 12 15 21 19 12 22 12 12 19 21 12 12 12 12 21 14 12 22 22 22 12 12 16 22 12 15 21 21 21 39 39 22 39 39 21 39 39 39 22 12 39 39 39 39 22 0 39 21 39 21 39 39 39 39 39 3 21 39 0 39 39 39 39 12 21 3 21 21 39 3 0 21 39 26 21 39 39 3 39 21 39 21 25 39 3 0 12 21 39 39 39 39 21 41 8 39 25 0 39 39 0 39 39 21 39 0 22 39 21 21 22 39 39 0 39 39 39 21 21 39 22 21 39 12 25 39 21 21 39 39 39 34 22 39 22 16 21 39 12 39 39 39 12 22 39 12 39 22 16 39 21 16 39 21 21 34 39 3 0 21 22 16 16 22 39 21 35 21 39 22 39 39 39 21 12 39 39 16 39 21 39 12 39 21 39 39 39 21 12 39 16 34 21 12 21 16 39 34 1 16 16 0 16 39 21 12 39 39 21 39 12 39 21 16 12 39 39 39 39 39 12 39 23 22 3 16 42 39 39 12 22 12 21 12 1 15 22 21 14 12 21 12 12 24 21 21 12 21 21 22 21 21 22 12 21 22 21 22 21 21 12 12 21 21 12 21 21 17 21 12 12 21 12 16 22 38 21 21 12 21 22 21 21 21 21 21 21 21 21 12 21 22 21 12 22 22 12 38 22 12 12 21 21 22 21 21 21 21 22 21 21 21 12 12 14 21 21 21 21 21 15 21 21 13 12 21 12 1 21"
8,-0.7885,0.9231,"25 0 25 40 40 28 29 26 25 28 40 25 40 25 25 25 40 25 40 29 25 40 40 40 40 40 25 40 25 27 25 40 27 25 40 26 40 28 3 30 40 25 0 40 25 25 40 40 26 40 40 25 25 40 25 28 25 25 40 40 28 27 27 25 40 40 0 25 40 28 25 25 40 25 25 40 25 25 28 25 25 25 40 40 28 39 40 3 28 25 26 25 40 25 25 28 25 25 26 25 17 3 3 41 13 1 13 18 13 0 3 1 18 0 38 13 1 0 0 13 18 17 30 28 1 28 13 0 0 3 3 17 3 3 41 1 0 3 3 0 3 0 3 3 3 41 0 3 17 18 0 3 17 3 0 16 3 0 17 0 0 0 0 30 3 3 18 17 17 3 29 30 38 17 28 38 12 3 0 3 3 13 9 0 0 0 17 17 3 0 38 3 17 0 3 0 3 3 1 17 39 39 22 39 39 21 39 39 39 22 12 39 39 39 39 22 0 39 21 39 21 39 39 39 39 39 3 21 39 0 39 39 39 39 12 21 3 21 21 39 3 0 21 39 26 21 39 39 3 39 21 39 21 25 39 3 0 12 21 39 39 39 39 21 41 8 39 25 0 39 39 0 39 39 21 39 0 22 39 21 21 22 39 39 0 39 39 39 21 21 39 22 21 39 12 25 39 21 21 39 39 39 34 22 39 22 16 21 39 12 39 39 39 12 22 39 12 39 22 16 39 21 16 39 21 21 34 39 3 0 21 22 16 16 22 39 21 35 21 39 22 39 39 39 21 12 39 39 16 39 21 39 12 39 21 39 39 39 21 12 39 16 34 21 12 21 16 39 34 1 16 16 0 16 39 21 12 39 39 21 39 12 39 21 16 12 39 39 39 39 39 12 39 23 22 3 16 42 39 39 7 7 7 7 8 7 7 8 7 17 17 7 7 7 7 7 7 7 7 7 7 0 0 7 7 7 7 8 7 7 1 7 7 7 7 7 8 8 7 7 7 7 7 7 8 8 7 7 7 7 8 7 7 7 7 8 7 7 8 7 7 7 7 7 7 8 7 17 3 7 8 7 7 7 7 7 7 7 7 7 23 7 38 8 8 7 8 8 7 7 7 7 7 7 7 0 7 7 7 7"
9,-0.7776,0.8800,"30 1 41 28 3 25 3 41 3 0 41 0 25 3 28 25 27 1 38 28 30 3 0 0 41 0 41 41 26 41 25 3 25 3 3 25 0 25 3 41 28 30 25 0 25 0 25 41 3 0 3 28 0 0 25 26 0 41 0 25 3 0 3 3 38 29 0 0 41 0 41 41 41 41 0 0 25 25 0 41 41 41 0 41 0 39 0 25 0 41 3 0 0 3 41 28 41 3 26 25 12 12 12 17 12 12 21 12 22 22 14 14 12 12 12 12 12 21 12 12 12 12 12 12 21 12 22 12 22 12 12 12 21 12 12 12 12 12 12 14 12 12 12 12 12 22 22 22 12 12 12 12 12 12 12 12 12 12 12 15 12 14 12 15 12 12 12 12 12 12 12 12 15 21 19 12 22 12 12 19 21 12 12 12 12 21 14 12 22 22 22 12 12 16 22 12 15 21 21 21 0 31 5 0 2 31 3 4 32 3 31 2 0 33 0 3 31 37 31 31 2 33 31 31 0 2 33 32 31 31 3 19 19 0 0 3 31 3 2 33 31 3 0 31 33 0 33 0 31 2 31 33 31 0 3 0 0 37 3 3 0 31 31 33 0 31 0 2 0 3 0 0 3 0 31 0 3 0 33 31 2 2 0 31 0 31 19 2 3 31 32 0 41 0 3 2 31 20 2 31 32 31 4 31 31 2 31 32 31 32 33 33 2 31 31 31 11 31 31 32 33 33 33 3 31 31 3 31 31 11 31 31 0 2 31 0 0 10 32 32 0 3 31 3 33 31 3 31 2 31 31 3 31 32 31 2 31 32 0 31 31 31 2 31 31 9 2 2 0 31 0 11 31 32 33 2 2 31 2 32 11 33 31 31 0 32 31 3 31 33 31 31 32 31 2 0 2 0 6 6 19 31 31 31 31 32 31 33 31 19 31 31 31 31 19 19 31 31 31 33 31 19 31 19 31 11 31 19 31 31 19 19 19 31 31 31 19 19 31 31 31 19 32 33 19 31 31 31 33 31 33 31 19 31 19 31 33 31 19 31 31 31 31 31 19 19 31 31 33 31 34 31 19 31 32 31 31 20 31 33 33 31 19 31 31 20 33 31 31 34 19 31 31 31 31 33 20 20 31 31"
10,-0.7637,0.9167,"30 1 41 28 3 25 3 41 3 0 41 0 25 3 28 25 27 1 38 28 30 3 0 0 41 0 41 41 26 41 25 3 25 3 3 25 0 25 3 41 28 30 25 0 25 0 25 41 3 0 3 28 0 0 25 26 0 41 0 25 3 0 3 3 38 29 0 0 41 0 41 41 41 41 0 0 25 25 0 41 41 41 0 41 0 39 0 25 0 41 3 0 0 3 41 28 41 3 26 25 12 12 12 17 12 12 21 12 22 22 14 14 12 12 12 12 12 21 12 12 12 12 12 12 21 12 22 12 22 12 12 12 21 12 12 12 12 12 12 14 12 12 12 12 12 22 22 22 12 12 12 12 12 12 12 12 12 12 12 15 12 14 12 15 12 12 12 12 12 12 12 12 15 21 19 12 22 12 12 19 21 12 12 12 12 21 14 12 22 22 22 12 12 16 22 12 15 21 21 21 39 39 22 39 39 21 39 39 39 22 12 39 39 39 39 22 0 39 21 39 21 39 39 39 39 39 3 21 39 0 39 39 39 39 12 21 3 21 21 39 3 0 21 39 26 21 39 39 3 39 21 39 21 25 39 3 0 12 21 39 39 39 39 21 41 8 39 25 0 39 39 0 39 39 21 39 0 22 39 21 21 22 39 39 0 39 39 39 21 21 39 22 21 39 12 25 39 21 21 39 39 39 34 22 39 22 16 21 39 12 39 39 39 12 22 39 12 39 22 16 39 21 16 39 21 21 34 39 3 0 21 22 16 16 22 39 21 35 21 39 22 39 39 39 21 12 39 39 16 39 21 39 12 39 21 39 39 39 21 12 39 16 34 21 12 21 16 39 34 1 16 16 0 16 39 21 12 39 39 21 39 12 39 21 16 12 39 39 39 39 39 12 39 23 22 3 16 42 39 39 1 17 12 1 21 1 0 22 24 1 21 21 1 12 24 13 13 12 38 17 17 21 21 21 18 38 17 3 21 21 1 3 38 12 21 38 18 1 17 22 17 17 12 12 16 21 38 0 17 12 1 21 21 18 3 17 21 3 22 16 16 0 22 38 38 21 22 17 38 21 17 38 21 21 21 3 17 18 3 21 0 21 21 12 21 0 21 13 21 21 38 21 17 12 13 16 1 21 1 18"
