# seed=3
# instance=EXPONENTIAL
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.5)
# mutation=p0=0.002,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.3
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6564,0.9348,0.9278,-0.1827,0.2785,"27 2 8 31 37 30 9 21 12 41 34 0 33 28 33 1 5 10 3 5 12 18 15 37 20 36 39 30 29 36 2 6 36 35 10 9 19 34 27 24 31 34 5 10 40 34 3 26 37 39 4 5 42 29 23 15 21 34 14 40 1 32 41 23 17 30 33 26 25 33 29 19 32 9 22 24 0 26 29 14 2 9 10 17 9 27 40 33 27 12 34 27 40 26 42 32 0 11 41 28 28 14 25 23 42 15 38 9 22 11 24 8 16 26 34 40 22 2 37 29 13 37 7 34 6 7 42 25 15 19 16 10 16 22 41 0 28 13 36 1 42 4 42 17 0 19 31 37 37 3 21 16 11 30 25 33 12 27 2 36 11 25 22 6 1 40 40 27 16 4 13 0 13 23 42 7 31 5 4 25 26 42 35 16 22 1 30 32 40 8 39 36 17 7 22 37 39 34 40 27 40 4 7 26 41 24 14 24 4 12 12 17 2 33 3 36 15 27 37 25 14 7 35 36 31 23 1 20 28 35 16 34 14 36 27 31 28 15 37 40 15 12 42 2 42 4 6 24 34 14 2 26 7 18 30 36 33 12 40 32 19 31 22 19 2 34 14 15 40 27 20 40 35 20 3 36 38 39 35 15 23 38 24 12 21 2 34 26 0 18 26 2 13 36 39 39 0 40 42 28 7 9 34 21 39 31 36 20 10 0 25 18 25 22 22 22 35 26 5 10 13 9 25 13 32 23 32 1 27 24 1 0 8 33 33 0 22 28 15 9 42 39 8 27 1 14 16 0 20 17 9 13 26 12 4 3 1 12 23 17 15 34 1 16 37 24 9 31 6 12 13 7 10 22 37 14 28 14 41 42 28 18 38 16 28 10 36 25 42 14 24 24 20 36 21 3 37 33 1 7 11 33 29 34 24 39 1 19 11 13 22 31 12 11 25 24 21 19 9 22 14 32 7 39 39 9 16 12 30 34 29 4 22 2 6 24 33 17 11 10 38 7 7 28 0 41 2 27 16 24 19 2 31 12 13 16 14 23 35 27 21 2 17 14 19 39 29 29 29 36 30 20 21 25 13 17 3 5 2 22 19 34 33 18 14 16 0 35 33 11 17 30 35 10 10 41 41 9 20 17"
1,2,-0.6753,0.9556,0.9342,-0.2282,0.2516,"17 15 25 33 39 18 18 2 13 37 7 32 25 41 14 21 17 31 15 16 12 8 30 3 0 22 2 14 3 7 21 3 41 41 40 28 38 22 30 31 39 21 39 14 4 20 27 1 28 15 8 28 0 26 39 24 15 38 26 40 1 30 34 39 19 24 4 1 41 37 14 20 12 38 25 16 18 0 7 25 39 29 26 27 5 24 39 1 12 25 2 26 26 24 28 16 33 26 21 41 28 37 10 27 10 13 25 23 39 10 27 36 9 13 1 2 17 12 29 11 36 37 27 13 1 13 25 2 9 29 13 36 25 18 35 32 27 5 22 23 41 29 22 39 18 13 12 19 9 12 33 20 37 33 33 18 3 34 34 34 16 9 18 22 37 21 11 27 30 3 2 42 0 22 8 37 35 38 12 22 38 14 16 18 3 38 9 29 36 18 28 8 34 34 35 26 11 17 19 15 15 3 28 0 32 41 33 7 22 41 37 41 8 39 35 18 12 30 41 15 33 42 35 17 42 41 15 23 18 1 1 40 32 29 9 37 28 2 32 33 31 10 0 34 36 34 36 1 42 35 26 21 1 41 14 5 3 18 16 36 21 8 23 29 20 1 34 12 11 31 41 30 19 40 29 32 23 34 42 5 22 2 0 26 24 2 28 10 40 40 14 21 15 0 23 32 20 0 8 40 21 27 32 42 2 42 0 4 34 15 32 6 12 13 27 19 37 1 13 33 25 11 42 15 18 1 27 21 39 28 20 17 17 26 4 10 3 40 37 15 7 37 12 20 1 39 29 16 41 30 9 26 33 40 37 25 32 9 15 41 40 19 20 9 15 26 17 41 4 32 32 38 12 5 13 38 12 6 11 25 27 38 33 11 27 24 23 4 6 32 41 6 4 13 12 31 23 0 15 2 24 25 8 19 24 2 11 39 28 36 38 22 8 39 5 2 12 15 24 38 8 2 0 28 6 6 11 13 0 11 22 39 31 22 32 26 31 31 11 25 23 39 5 24 18 11 8 1 38 23 42 26 30 1 0 32 33 27 31 30 26 41 4 2 29 5 34 37 17 10 16 22 28 33 35 13 7 1 33 36 36 33 35 3 31 35 22 40 34 9 11 36 16 20 16 17 26 27 42 20"
2,3,-0.6866,0.9655,0.9296,-0.2394,0.2544,"17 39 25 33 39 18 12 2 13 37 26 27 25 41 14 27 17 31 15 39 27 8 30 39 0 22 2 14 3 7 21 3 41 41 40 28 38 22 25 31 39 21 39 14 4 20 27 1 28 25 8 28 0 25 39 24 15 38 26 25 1 30 26 39 19 24 4 1 41 37 39 20 12 38 25 16 26 0 7 25 27 29 26 27 5 24 39 1 12 25 2 26 26 24 26 16 12 26 21 41 29 25 4 19 7 3 2 36 4 32 34 9 40 36 17 0 36 39 7 1 10 3 25 32 41 22 22 42 0 19 36 37 25 7 39 39 27 30 33 7 18 27 24 34 28 21 4 13 3 19 18 6 25 23 24 5 36 36 27 38 3 37 25 18 12 25 21 42 28 34 34 11 15 34 9 42 37 40 37 16 8 20 22 16 38 23 21 39 42 40 2 32 33 1 16 29 16 29 39 34 0 4 11 34 2 16 41 13 15 8 5 7 0 5 0 20 21 16 10 22 27 7 20 37 0 18 28 34 33 4 10 5 38 21 12 9 11 30 8 36 2 7 5 1 18 7 2 2 30 21 38 11 9 38 16 30 12 42 34 12 12 1 29 10 30 28 27 0 12 36 21 8 22 0 12 15 1 14 29 37 4 12 17 17 42 31 13 8 35 23 14 7 15 1 14 38 1 3 7 34 18 39 19 41 17 35 38 37 29 23 20 22 1 27 26 15 35 21 32 20 0 31 19 36 11 25 41 12 40 20 32 25 39 11 41 2 4 26 10 2 35 20 40 20 2 19 5 7 30 40 36 10 9 42 20 19 23 31 19 40 36 17 35 5 9 3 2 28 36 8 12 19 31 10 20 19 4 39 10 42 19 0 18 23 32 7 16 16 12 28 22 18 20 20 20 32 5 19 19 41 10 42 15 27 8 37 12 24 38 1 37 40 40 10 10 17 29 24 33 9 32 23 3 18 25 10 27 27 32 34 34 7 37 36 40 28 31 19 39 15 31 29 26 6 35 26 36 31 24 26 3 35 33 22 40 2 9 24 4 34 29 1 20 37 39 41 17 10 24 4 17 37 2 31 23 10 15 39 42 19 22 25 42 26 23 6 35 14 35 25 29 5 19 30 7 38 35 35 11 18"
3,3,-0.6866,0.9655,0.9296,-0.2509,0.2072,"17 39 25 33 39 18 12 2 13 37 26 27 25 41 14 27 17 31 15 39 27 8 30 39 0 22 2 14 3 7 21 3 41 41 40 28 38 22 25 31 39 21 39 14 4 20 27 1 28 25 8 28 0 25 39 24 15 38 26 25 1 30 26 39 19 24 4 1 41 37 39 20 12 38 25 16 26 0 7 25 27 29 26 27 5 24 39 1 12 25 2 26 26 24 26 16 12 26 21 41 29 25 4 19 7 3 2 36 4 32 34 9 40 36 17 0 36 39 7 1 10 3 25 32 41 22 22 42 0 19 36 37 25 7 39 39 27 30 33 7 18 27 24 34 28 21 4 13 3 19 18 6 25 23 24 5 36 36 27 38 3 37 25 18 12 25 21 42 28 34 34 11 15 34 9 42 37 40 37 16 8 20 22 16 38 23 21 39 42 40 2 32 33 1 16 29 16 29 39 34 0 4 11 34 2 16 41 13 15 8 5 7 0 5 0 20 21 16 10 22 27 7 20 37 0 18 28 34 33 4 10 5 38 21 12 9 11 30 8 36 2 7 5 1 18 7 2 2 30 21 38 11 9 38 16 30 12 42 34 12 12 1 29 10 30 28 27 0 12 36 21 8 22 0 12 15 1 14 29 37 4 12 17 17 42 31 13 8 35 23 14 7 15 1 14 38 1 3 7 34 18 39 19 41 17 35 38 37 29 23 20 22 1 27 26 15 35 21 32 20 0 31 19 36 11 25 41 12 40 20 32 25 39 11 41 2 4 26 10 2 35 20 40 20 2 19 5 7 30 40 36 10 9 42 20 19 23 31 19 40 36 17 35 5 9 3 2 28 36 8 12 19 31 10 20 19 4 39 10 42 19 0 18 23 32 7 16 16 12 28 22 18 20 20 20 32 5 19 19 41 10 42 15 27 8 37 12 24 38 1 37 40 40 10 10 17 29 24 33 9 32 23 3 18 25 10 27 27 32 34 34 7 37 36 40 28 31 19 39 15 31 29 26 6 35 26 36 31 24 26 3 35 33 22 40 2 9 24 4 34 29 1 20 37 39 41 17 10 24 4 17 37 2 31 23 10 15 39 42 19 22 25 42 26 23 6 35 14 35 25 29 5 19 30 7 38 35 35 11 18"
4,4,-0.6883,0.9592,0.9030,-0.2495,0.1902,"17 39 25 33 39 18 12 2 13 37 26 27 25 41 14 27 17 31 15 39 27 8 30 39 0 22 2 14 3 7 21 3 41 41 40 28 38 22 25 31 39 21 39 14 4 20 27 1 28 25 8 28 0 25 39 24 15 38 26 25 1 30 26 39 19 24 4 1 41 37 39 20 12 38 25 16 26 0 7 25 27 29 26 27 5 24 39 1 12 25 2 26 26 24 26 16 12 26 21 41 28 37 10 27 10 13 25 23 39 10 27 36 9 13 18 2 17 18 39 11 17 17 27 13 1 13 25 2 9 29 13 36 25 18 35 32 27 5 12 23 41 29 22 39 17 13 12 19 17 12 33 20 37 33 33 18 3 34 34 34 17 9 18 22 37 17 11 27 30 3 2 42 0 18 8 17 35 38 12 22 38 14 16 17 3 17 9 29 36 17 28 8 34 34 35 26 11 17 19 15 0 4 11 34 2 16 19 13 15 8 19 7 0 5 20 20 21 16 10 19 27 7 20 37 0 18 28 34 33 4 10 5 20 12 20 9 11 30 8 20 2 7 5 1 18 20 2 2 19 21 38 11 9 38 16 30 12 42 34 12 12 1 29 10 30 28 27 0 12 36 21 20 19 0 12 19 1 14 29 37 4 19 17 17 42 31 13 19 35 23 14 7 15 1 14 38 1 3 7 34 18 39 19 41 17 35 38 37 29 23 20 22 1 27 26 15 35 21 32 20 0 31 19 36 11 25 41 12 40 20 32 25 39 11 41 2 4 26 10 2 35 20 40 20 2 19 5 7 30 40 36 10 9 42 20 19 23 31 19 40 36 17 35 5 9 3 2 28 36 8 12 19 31 10 20 19 4 39 10 42 19 0 18 23 32 7 16 16 12 28 22 18 20 20 20 32 5 19 19 41 24 25 12 19 24 24 11 39 28 36 38 23 8 39 5 2 12 39 24 38 24 2 0 23 6 6 11 24 39 39 22 39 31 39 32 24 23 31 11 25 23 39 12 24 18 24 8 1 38 23 23 39 30 1 0 24 33 27 24 30 26 41 4 24 29 12 23 23 17 24 16 22 24 23 35 13 23 1 33 23 12 23 35 23 31 35 22 40 24 23 39 36 16 20 23 23 23 27 24 20"
5,4,-0.6883,0.9592,0.9030,-0.2598,0.2127,"17 39 25 33 39 18 12 2 13 37 26 27 25 41 14 27 17 31 15 39 27 8 30 39 0 22 2 14 3 7 21 3 41 41 40 28 38 22 25 31 39 21 39 14 4 20 27 1 28 25 8 28 0 25 39 24 15 38 26 25 1 30 26 39 19 24 4 1 41 37 39 20 12 38 25 16 26 0 7 25 27 29 26 27 5 24 39 1 12 25 2 26 26 24 26 16 12 26 21 41 28 37 10 27 10 13 25 23 39 10 27 36 9 13 18 2 17 18 39 11 17 17 27 13 1 13 25 2 9 29 13 36 25 18 35 32 27 5 12 23 41 29 22 39 17 13 12 19 17 12 33 20 37 33 33 18 3 34 34 34 17 9 18 22 37 17 11 27 30 3 2 42 0 18 8 17 35 38 12 22 38 14 16 17 3 17 9 29 36 17 28 8 34 34 35 26 11 17 19 15 0 4 11 34 2 16 19 13 15 8 19 7 0 5 20 20 21 16 10 19 27 7 20 37 0 18 28 34 33 4 10 5 20 12 20 9 11 30 8 20 2 7 5 1 18 20 2 2 19 21 38 11 9 38 16 30 12 42 34 12 12 1 29 10 30 28 27 0 12 36 21 20 19 0 12 19 1 14 29 37 4 19 17 17 42 31 13 19 35 23 14 7 15 1 14 38 1 3 7 34 18 39 19 41 17 35 38 37 29 23 20 22 1 27 26 15 35 21 32 20 0 31 19 36 11 25 41 12 40 20 32 25 39 11 41 2 4 26 10 2 35 20 40 20 2 19 5 7 30 40 36 10 9 42 20 19 23 31 19 40 36 17 35 5 9 3 2 28 36 8 12 19 31 10 20 19 4 39 10 42 19 0 18 23 32 7 16 16 12 28 22 18 20 20 20 32 5 19 19 41 24 25 12 19 24 24 11 39 28 36 38 23 8 39 5 2 12 39 24 38 24 2 0 23 6 6 11 24 39 39 22 39 31 39 32 24 23 31 11 25 23 39 12 24 18 24 8 1 38 23 23 39 30 1 0 24 33 27 24 30 26 41 4 24 29 12 23 23 17 24 16 22 24 23 35 13 23 1 33 23 12 23 35 23 31 35 22 40 24 23 39 36 16 20 23 23 23 27 24 20"
6,4,-0.6883,0.9592,0.9030,-0.2630,0.1635,"17 39 25 33 39 18 12 2 13 37 26 27 25 41 14 27 17 31 15 39 27 8 30 39 0 22 2 14 3 7 21 3 41 41 40 28 38 22 25 31 39 21 39 14 4 20 27 1 28 25 8 28 0 25 39 24 15 38 26 25 1 30 26 39 19 24 4 1 41 37 39 20 12 38 25 16 26 0 7 25 27 29 26 27 5 24 39 1 12 25 2 26 26 24 26 16 12 26 21 41 28 37 10 27 10 13 25 23 39 10 27 36 9 13 18 2 17 18 39 11 17 17 27 13 1 13 25 2 9 29 13 36 25 18 35 32 27 5 12 23 41 29 22 39 17 13 12 19 17 12 33 20 37 33 33 18 3 34 34 34 17 9 18 22 37 17 11 27 30 3 2 42 0 18 8 17 35 38 12 22 38 14 16 17 3 17 9 29 36 17 28 8 34 34 35 26 11 17 19 15 0 4 11 34 2 16 19 13 15 8 19 7 0 5 20 20 21 16 10 19 27 7 20 37 0 18 28 34 33 4 10 5 20 12 20 9 11 30 8 20 2 7 5 1 18 20 2 2 19 21 38 11 9 38 16 30 12 42 34 12 12 1 29 10 30 28 27 0 12 36 21 20 19 0 12 19 1 14 29 37 4 19 17 17 42 31 13 19 35 23 14 7 15 1 14 38 1 3 7 34 18 39 19 41 17 35 38 37 29 23 20 22 1 27 26 15 35 21 32 20 0 31 19 36 11 25 41 12 40 20 32 25 39 11 41 2 4 26 10 2 35 20 40 20 2 19 5 7 30 40 36 10 9 42 20 19 23 31 19 40 36 17 35 5 9 3 2 28 36 8 12 19 31 10 20 19 4 39 10 42 19 0 18 23 32 7 16 16 12 28 22 18 20 20 20 32 5 19 19 41 24 25 12 19 24 24 11 39 28 36 38 23 8 39 5 2 12 39 24 38 24 2 0 23 6 6 11 24 39 39 22 39 31 39 32 24 23 31 11 25 23 39 12 24 18 24 8 1 38 23 23 39 30 1 0 24 33 27 24 30 26 41 4 24 29 12 23 23 17 24 16 22 24 23 35 13 23 1 33 23 12 23 35 23 31 35 22 40 24 23 39 36 16 20 23 23 23 27 24 20"
7,5,-0.7035,0.9767,0.9107,-0.2627,0.1733,"17 39 25 33 39 18 12 2 17 37 18 27 25 41 12 18 17 31 17 39 27 39 17 39 0 22 2 14 18 7 39 3 12 18 40 28 38 39 25 31 39 21 39 14 12 20 18 12 28 17 8 28 0 25 39 24 17 38 26 25 12 30 26 39 19 24 4 1 41 37 39 20 18 18 25 16 12 0 7 25 27 29 26 27 17 24 39 17 12 25 39 26 26 24 17 16 12 26 21 41 28 39 10 2 10 13 25 23 39 10 27 36 34 13 10 2 17 12 29 36 36 37 27 2 1 13 35 2 9 29 10 36 25 18 35 32 10 35 11 23 35 29 22 39 18 13 12 12 9 34 33 20 2 33 2 2 36 11 34 39 16 9 18 39 37 21 11 27 30 12 2 39 0 22 10 37 11 10 12 10 38 2 35 18 3 38 9 36 36 18 39 8 34 34 35 26 39 11 19 36 15 3 28 0 32 41 33 7 22 41 37 41 8 39 35 18 12 30 41 15 33 42 35 17 42 41 15 23 18 1 1 40 32 29 9 37 28 2 32 33 31 10 0 34 36 34 36 1 42 35 26 21 1 41 14 5 3 18 16 36 21 8 23 29 20 1 34 12 11 31 41 30 19 40 29 32 23 34 42 5 22 2 0 26 24 2 28 10 40 40 14 21 15 0 23 32 20 0 8 40 21 27 33 42 2 32 0 4 33 39 32 6 12 39 27 39 37 1 13 33 25 11 42 31 40 39 27 39 39 28 33 17 17 26 4 10 12 40 39 15 7 39 12 12 1 39 29 16 41 30 9 26 39 40 37 25 32 9 32 41 40 19 20 9 15 26 12 41 31 32 32 38 12 39 33 38 12 6 11 25 32 31 33 11 27 39 23 4 6 32 41 6 4 13 32 31 33 0 15 33 24 25 8 19 12 2 11 39 28 36 38 22 8 39 5 2 12 15 12 38 8 2 0 28 6 6 11 13 0 11 22 39 31 22 32 26 31 31 11 25 23 39 5 24 18 11 8 1 38 23 12 12 30 1 0 32 33 27 31 30 26 41 4 2 29 5 34 37 17 10 16 22 28 33 35 13 7 12 33 36 36 33 35 3 31 35 22 40 34 9 11 36 12 20 16 17 26 27 42 12"
8,5,-0.7035,0.9767,0.9107,-0.2673,0.1608,"17 39 25 33 39 18 12 2 17 37 18 27 25 41 12 18 17 31 17 39 27 39 17 39 0 22 2 14 18 7 39 3 12 18 40 28 38 39 25 31 39 21 39 14 12 20 18 12 28 17 8 28 0 25 39 24 17 38 26 25 12 30 26 39 19 24 4 1 41 37 39 20 18 18 25 16 12 0 7 25 27 29 26 27 17 24 39 17 12 25 39 26 26 24 17 16 12 26 21 41 28 39 10 2 10 13 25 23 39 10 27 36 34 13 10 2 17 12 29 36 36 37 27 2 1 13 35 2 9 29 10 36 25 18 35 32 10 35 11 23 35 29 22 39 18 13 12 12 9 34 33 20 2 33 2 2 36 11 34 39 16 9 18 39 37 21 11 27 30 12 2 39 0 22 10 37 11 10 12 10 38 2 35 18 3 38 9 36 36 18 39 8 34 34 35 26 39 11 19 36 15 3 28 0 32 41 33 7 22 41 37 41 8 39 35 18 12 30 41 15 33 42 35 17 42 41 15 23 18 1 1 40 32 29 9 37 28 2 32 33 31 10 0 34 36 34 36 1 42 35 26 21 1 41 14 5 3 18 16 36 21 8 23 29 20 1 34 12 11 31 41 30 19 40 29 32 23 34 42 5 22 2 0 26 24 2 28 10 40 40 14 21 15 0 23 32 20 0 8 40 21 27 33 42 2 32 0 4 33 39 32 6 12 39 27 39 37 1 13 33 25 11 42 31 40 39 27 39 39 28 33 17 17 26 4 10 12 40 39 15 7 39 12 12 1 39 29 16 41 30 9 26 39 40 37 25 32 9 32 41 40 19 20 9 15 26 12 41 31 32 32 38 12 39 33 38 12 6 11 25 32 31 33 11 27 39 23 4 6 32 41 6 4 13 32 31 33 0 15 33 24 25 8 19 12 2 11 39 28 36 38 22 8 39 5 2 12 15 12 38 8 2 0 28 6 6 11 13 0 11 22 39 31 22 32 26 31 31 11 25 23 39 5 24 18 11 8 1 38 23 12 12 30 1 0 32 33 27 31 30 26 41 4 2 29 5 34 37 17 10 16 22 28 33 35 13 7 12 33 36 36 33 35 3 31 35 22 40 34 9 11 36 12 20 16 17 26 27 42 12"
9,6,-0.7043,0.9756,0.9045,-0.2781,0.1431,"17 39 25 33 39 18 2 2 17 37 18 27 25 41 12 18 17 31 17 39 27 2 17 39 0 22 2 14 18 7 39 3 12 18 40 28 38 39 5 31 39 21 39 14 12 20 18 12 28 17 8 28 0 25 39 24 17 38 26 25 12 2 26 39 2 24 4 1 41 37 39 20 18 18 25 16 12 0 7 25 27 29 26 27 17 24 39 17 12 25 39 26 26 24 17 16 12 26 21 41 39 25 4 19 7 10 2 9 4 22 12 9 40 36 17 0 36 39 7 1 10 3 22 32 41 22 21 39 22 19 18 39 25 7 12 39 27 9 39 11 22 12 17 34 28 12 9 12 3 17 10 12 2 10 24 11 36 18 17 2 22 37 11 18 21 25 21 10 11 18 15 12 39 10 9 10 37 40 10 39 8 20 11 39 38 2 21 39 17 11 2 32 9 1 17 12 39 17 39 34 5 23 23 19 20 32 2 30 30 19 28 26 29 19 2 40 30 28 20 38 16 29 39 20 30 12 0 42 39 12 31 10 3 9 1 14 2 2 20 2 12 19 20 2 34 19 30 17 31 34 2 12 39 39 2 20 2 9 35 29 20 26 13 39 19 20 25 17 28 30 19 20 7 2 39 20 38 2 40 23 19 30 1 2 1 39 38 39 2 19 12 20 23 7 28 19 28 9 41 9 18 39 19 41 17 35 38 37 29 23 20 22 1 27 26 15 35 21 32 20 0 31 19 36 11 25 41 12 40 20 32 25 39 11 41 2 4 26 10 2 35 20 40 20 2 19 5 7 30 40 36 10 9 42 20 19 23 31 19 40 36 17 35 5 9 3 2 28 36 8 12 19 31 10 20 19 4 39 10 42 19 0 18 23 32 7 16 16 12 28 22 18 20 20 20 32 5 19 19 41 24 25 12 19 24 24 11 39 28 36 38 23 8 39 5 2 12 39 24 38 24 2 0 23 6 6 11 24 39 39 22 39 31 39 32 24 23 31 11 25 23 39 12 24 18 24 8 1 38 23 23 39 30 1 0 24 33 27 24 30 26 41 4 24 29 12 23 23 17 24 16 22 24 23 35 13 23 1 33 23 12 16 35 23 31 35 22 40 24 23 39 36 16 20 23 23 23 27 24 20"
