# seed=47
# instance=SUPPORT_LIKE_PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6245,0.9000,0.9184,-0.1805,0.2449,"9 7 22 24 26 20 4 6 37 7 36 34 36 24 31 41 28 41 29 35 5 40 16 10 16 22 30 21 26 2 7 33 38 34 36 19 25 0 2 2 24 0 10 19 16 31 17 26 32 10 4 29 7 27 18 5 4 40 0 23 1 40 42 31 16 3 27 41 17 9 32 34 18 0 22 11 17 35 35 13 36 4 31 6 11 18 32 2 37 32 11 37 37 33 14 1 27 7 28 3 4 15 4 17 40 6 0 21 17 8 34 24 26 23 29 37 26 29 34 40 5 0 41 9 17 20 36 18 42 12 2 25 38 4 9 0 5 4 33 31 35 11 32 16 14 23 27 41 35 1 2 10 2 5 24 42 18 17 17 19 4 2 22 13 21 29 9 8 39 33 8 8 34 6 16 16 41 4 11 0 37 8 42 10 18 35 41 13 36 40 16 12 19 7 0 23 22 5 5 42 29 12 16 37 15 7 17 3 5 19 9 14 39 36 4 35 9 3 15 32 17 19 24 8 12 20 39 14 38 34 20 14 36 31 16 10 41 20 28 36 9 31 31 20 20 34 7 2 30 10 0 4 7 2 13 17 3 8 25 37 0 25 12 17 5 42 17 23 22 42 37 15 39 1 14 22 0 11 30 21 31 1 4 9 37 16 39 35 9 4 20 21 13 3 30 29 17 25 4 8 30 24 40 22 33 19 33 12 4 15 10 32 16 2 6 4 4 3 31 2 25 42 18 33 25 1 11 17 29 14 14 39 9 36 3 24 24 35 0 8 26 16 16 23 34 14 36 34 42 4 1 16 33 18 18 8 27 32 7 27 34 12 7 31 20 8 29 19 38 24 32 20 30 14 5 25 21 7 40 28 3 18 37 30 27 30 39 34 3 2 25 6 25 4 39 25 3 36 11 13 21 14 17 21 21 3 3 4 9 21 2 1 41 20 5 42 4 4 30 21 12 35 26 36 4 33 25 8 2 37 14 24 3 12 8 8 3 25 0 12 29 13 20 24 10 2 23 27 2 18 16 0 30 20 17 36 42 30 40 15 40 42 24 25 9 27 22 19 20 6 9 2 39 25 37 12 24 28 27 16 38 28 20 19 9 13 39 40 13 32 12 6 12 14 22 24 24 6 40 42"
1,2,-0.7744,0.9286,0.5138,-0.2390,0.2421,"27 25 26 26 42 26 25 6 27 25 42 25 25 25 40 25 25 26 12 27 25 42 25 0 42 25 25 25 11 25 25 28 9 42 42 42 25 9 26 25 27 25 27 25 25 27 42 26 25 9 7 42 25 20 42 37 27 25 1 25 27 25 12 25 27 42 27 42 26 26 25 42 27 1 4 26 25 10 25 38 9 42 25 12 42 25 27 25 25 42 37 25 25 25 42 26 38 42 9 26 34 0 34 19 38 41 34 34 41 34 34 0 1 13 36 34 34 34 41 36 3 34 34 13 34 0 34 36 36 34 41 34 4 6 34 36 34 36 38 38 17 36 14 15 34 19 34 25 41 34 34 34 37 34 41 34 34 37 34 19 0 0 36 2 41 34 35 0 34 34 34 36 34 34 41 0 17 36 34 36 5 41 2 34 34 34 19 35 1 35 34 15 41 34 34 34 41 34 19 34 2 2 2 0 0 5 2 2 20 6 0 2 2 2 6 2 2 2 2 3 2 0 5 2 3 2 2 3 2 2 2 3 2 4 2 2 2 2 37 3 4 2 37 0 2 0 2 29 2 2 37 4 2 6 4 41 2 2 3 37 2 2 4 2 37 2 2 2 4 3 2 2 2 4 2 6 2 2 2 2 5 2 2 5 2 2 2 2 26 2 42 2 0 22 3 2 0 6 3 2 42 41 20 19 19 41 19 19 19 19 2 41 2 19 19 19 41 20 41 2 19 41 1 11 19 19 10 41 11 41 41 13 19 15 20 2 19 19 19 0 2 20 20 19 19 19 19 41 41 20 38 20 19 1 10 2 19 19 41 20 19 37 19 20 11 2 19 19 19 5 41 41 41 19 41 2 15 2 19 19 19 41 2 41 10 19 19 41 19 19 19 2 19 41 19 2 19 11 19 41 1 36 1 0 34 36 1 34 34 34 38 1 38 38 3 2 35 34 34 3 1 35 8 34 34 36 38 25 35 34 8 2 36 1 3 34 36 34 38 8 2 34 36 13 34 36 34 38 0 0 34 35 34 2 36 7 34 2 3 2 36 2 13 34 3 35 38 34 13 13 34 34 2 35 34 36 2 34 34 2 36 34 8 34 38 8 0 34 36 1 3 34 34 35 34 13 2 1 34 34"
2,2,-0.7716,0.9200,0.4948,-0.2716,0.1774,"27 25 26 26 42 26 25 6 27 25 42 25 25 25 40 25 25 26 12 27 25 42 25 0 42 25 25 25 11 25 25 28 9 42 42 42 25 9 26 25 27 25 27 25 25 27 42 26 25 9 7 42 25 20 42 37 27 25 1 25 27 25 12 25 27 42 27 42 26 26 25 42 27 1 4 26 25 10 25 38 9 42 25 12 42 25 27 25 25 42 37 25 25 25 42 26 38 42 9 26 34 0 34 19 38 41 34 34 41 34 34 0 1 13 36 34 34 34 41 36 3 34 34 13 34 0 34 36 36 34 41 34 4 6 34 36 34 36 38 38 17 36 14 15 34 19 34 25 41 34 34 34 37 34 41 34 34 37 34 19 0 0 36 2 41 34 35 0 34 34 34 36 34 34 41 0 17 36 34 36 5 41 2 34 34 34 19 35 1 35 34 15 41 34 34 34 41 34 19 34 2 2 2 0 0 5 2 2 20 6 0 2 2 2 6 2 2 2 2 3 2 0 5 2 3 2 2 3 2 2 2 3 2 4 2 2 2 2 37 3 4 2 37 0 2 0 2 29 2 2 37 4 2 6 4 41 2 2 3 37 2 2 4 2 37 2 2 2 4 3 2 2 2 4 2 6 2 2 2 2 5 2 2 5 2 2 2 2 26 2 42 2 0 22 3 2 0 6 3 2 42 41 20 19 19 41 19 19 19 19 2 41 2 19 19 19 41 20 41 2 19 41 1 11 19 19 10 41 11 41 41 13 19 15 20 2 19 19 19 0 2 20 20 19 19 19 19 41 41 20 38 20 19 1 10 2 19 19 41 20 19 37 19 20 11 2 19 19 19 5 41 41 41 19 41 2 15 2 19 19 19 41 2 41 10 19 19 41 19 19 19 2 19 41 19 2 19 11 19 41 1 36 1 0 34 36 1 34 34 34 38 1 38 38 3 2 35 34 34 3 1 35 8 34 34 36 38 25 35 34 8 2 36 1 3 34 36 34 38 8 2 34 36 13 34 36 34 38 0 0 34 35 34 2 36 7 34 2 3 2 36 2 13 34 3 35 38 34 13 13 34 34 2 35 34 36 2 34 34 2 36 34 8 34 38 8 0 34 36 1 3 34 34 35 34 13 2 1 34 34"
3,3,-0.8354,1.0000,0.5486,-0.2918,0.1636,"13 2 2 8 7 19 19 2 8 8 2 2 2 1 8 20 7 31 19 31 2 2 7 0 2 2 2 3 13 8 34 7 8 2 8 8 7 2 34 2 8 2 1 1 2 19 8 6 19 13 7 19 19 2 31 2 2 19 2 2 7 19 8 8 19 2 2 7 2 1 7 34 19 19 19 2 19 19 19 7 19 2 3 2 1 7 38 34 2 19 2 13 19 2 34 2 8 2 2 2 12 20 17 17 20 19 17 17 17 20 18 17 19 17 20 17 17 19 17 18 17 41 19 17 17 17 17 17 19 17 25 17 23 18 17 18 17 17 19 17 17 19 18 17 17 17 17 12 38 19 17 20 17 17 12 23 20 17 19 17 19 17 18 19 19 17 17 19 20 23 17 23 20 20 19 25 17 23 17 17 18 19 17 17 19 18 18 17 23 17 19 19 19 17 17 23 17 17 19 17 3 3 22 12 21 2 12 12 21 21 0 12 12 21 22 22 12 38 2 39 38 21 21 21 2 2 12 2 22 12 12 21 12 12 22 12 12 4 38 6 2 21 0 12 21 12 12 22 21 12 21 21 39 12 2 12 12 22 12 22 22 21 2 2 12 22 22 0 12 12 39 22 39 13 13 12 19 12 21 22 12 12 21 21 12 12 21 2 12 12 12 12 12 12 0 12 21 12 3 2 0 31 39 39 39 33 9 9 39 9 13 39 9 39 39 31 9 39 9 9 9 31 9 39 9 31 31 39 9 9 39 9 10 9 35 39 31 31 9 39 39 9 9 38 39 9 39 9 10 9 9 31 10 39 39 39 9 31 34 1 31 31 39 9 39 1 39 39 9 31 1 39 39 31 39 10 31 39 39 32 39 31 39 39 31 10 9 39 13 34 11 39 3 39 34 11 11 39 39 9 30 6 28 28 28 9 25 29 27 9 42 28 28 28 29 28 28 26 28 25 28 28 28 28 25 28 29 42 28 42 28 2 28 25 42 4 26 25 26 28 28 25 28 28 25 28 25 4 28 29 28 27 25 27 25 25 26 30 28 9 28 25 42 27 37 42 2 28 29 28 28 29 28 30 25 5 29 25 37 25 25 28 28 28 29 25 29 25 28 28 25 25 28 28 29 28 30 28 28 29"
4,3,-0.7965,0.9333,0.4561,-0.2950,0.1653,"13 2 2 8 7 19 19 2 8 8 2 2 2 1 8 20 7 31 19 31 2 2 7 0 2 2 2 3 13 8 34 7 8 2 8 8 7 2 34 2 8 2 1 1 2 19 8 6 19 13 7 19 19 2 31 2 2 19 2 2 7 19 8 8 19 2 2 7 2 1 7 34 19 19 19 2 19 19 19 7 19 2 3 2 1 7 38 34 2 19 2 13 19 2 34 2 8 2 2 2 12 20 17 17 20 19 17 17 17 20 18 17 19 17 20 17 17 19 17 18 17 41 19 17 17 17 17 17 19 17 25 17 23 18 17 18 17 17 19 17 17 19 18 17 17 17 17 12 38 19 17 20 17 17 12 23 20 17 19 17 19 17 18 19 19 17 17 19 20 23 17 23 20 20 19 25 17 23 17 17 18 19 17 17 19 18 18 17 23 17 19 19 19 17 17 23 17 17 19 17 3 3 22 12 21 2 12 12 21 21 0 12 12 21 22 22 12 38 2 39 38 21 21 21 2 2 12 2 22 12 12 21 12 12 22 12 12 4 38 6 2 21 0 12 21 12 12 22 21 12 21 21 39 12 2 12 12 22 12 22 22 21 2 2 12 22 22 0 12 12 39 22 39 13 13 12 19 12 21 22 12 12 21 21 12 12 21 2 12 12 12 12 12 12 0 12 21 12 3 2 0 31 39 39 39 33 9 9 39 9 13 39 9 39 39 31 9 39 9 9 9 31 9 39 9 31 31 39 9 9 39 9 10 9 35 39 31 31 9 39 39 9 9 38 39 9 39 9 10 9 9 31 10 39 39 39 9 31 34 1 31 31 39 9 39 1 39 39 9 31 1 39 39 31 39 10 31 39 39 32 39 31 39 39 31 10 9 39 13 34 11 39 3 39 34 11 11 39 39 9 30 6 28 28 28 9 25 29 27 9 42 28 28 28 29 28 28 26 28 25 28 28 28 28 25 28 29 42 28 42 28 2 28 25 42 4 26 25 26 28 28 25 28 28 25 28 25 4 28 29 28 27 25 27 25 25 26 30 28 9 28 25 42 27 37 42 2 28 29 28 28 29 28 30 25 5 29 25 37 25 25 28 28 28 29 25 29 25 28 28 25 25 28 28 29 28 30 28 28 29"
5,3,-0.7785,0.9677,0.6308,-0.3038,0.1635,"13 2 2 8 7 19 19 2 8 8 2 2 2 1 8 20 7 31 19 31 2 2 7 0 2 2 2 3 13 8 34 7 8 2 8 8 7 2 34 2 8 2 1 1 2 19 8 6 19 13 7 19 19 2 31 2 2 19 2 2 7 19 8 8 19 2 2 7 2 1 7 34 19 19 19 2 19 19 19 7 19 2 3 2 1 7 38 34 2 19 2 13 19 2 34 2 8 2 2 2 12 20 17 17 20 19 17 17 17 20 18 17 19 17 20 17 17 19 17 18 17 41 19 17 17 17 17 17 19 17 25 17 23 18 17 18 17 17 19 17 17 19 18 17 17 17 17 12 38 19 17 20 17 17 12 23 20 17 19 17 19 17 18 19 19 17 17 19 20 23 17 23 20 20 19 25 17 23 17 17 18 19 17 17 19 18 18 17 23 17 19 19 19 17 17 23 17 17 19 17 3 3 22 12 21 2 12 12 21 21 0 12 12 21 22 22 12 38 2 39 38 21 21 21 2 2 12 2 22 12 12 21 12 12 22 12 12 4 38 6 2 21 0 12 21 12 12 22 21 12 21 21 39 12 2 12 12 22 12 22 22 21 2 2 12 22 22 0 12 12 39 22 39 13 13 12 19 12 21 22 12 12 21 21 12 12 21 2 12 12 12 12 12 12 0 12 21 12 3 2 0 31 39 39 39 33 9 9 39 9 13 39 9 39 39 31 9 39 9 9 9 31 9 39 9 31 31 39 9 9 39 9 10 9 35 39 31 31 9 39 39 9 9 38 39 9 39 9 10 9 9 31 10 39 39 39 9 31 34 1 31 31 39 9 39 1 39 39 9 31 1 39 39 31 39 10 31 39 39 32 39 31 39 39 31 10 9 39 13 34 11 39 3 39 34 11 11 39 39 9 30 6 28 28 28 9 25 29 27 9 42 28 28 28 29 28 28 26 28 25 28 28 28 28 25 28 29 42 28 42 28 2 28 25 42 4 26 25 26 28 28 25 28 28 25 28 25 4 28 29 28 27 25 27 25 25 26 30 28 9 28 25 42 27 37 42 2 28 29 28 28 29 28 30 25 5 29 25 37 25 25 28 28 28 29 25 29 25 28 28 25 25 28 28 29 28 30 28 28 29"
6,3,-0.8227,1.0000,0.5911,-0.3118,0.1467,"13 2 2 8 7 19 19 2 8 8 2 2 2 1 8 20 7 31 19 31 2 2 7 0 2 2 2 3 13 8 34 7 8 2 8 8 7 2 34 2 8 2 1 1 2 19 8 6 19 13 7 19 19 2 31 2 2 19 2 2 7 19 8 8 19 2 2 7 2 1 7 34 19 19 19 2 19 19 19 7 19 2 3 2 1 7 38 34 2 19 2 13 19 2 34 2 8 2 2 2 12 20 17 17 20 19 17 17 17 20 18 17 19 17 20 17 17 19 17 18 17 41 19 17 17 17 17 17 19 17 25 17 23 18 17 18 17 17 19 17 17 19 18 17 17 17 17 12 38 19 17 20 17 17 12 23 20 17 19 17 19 17 18 19 19 17 17 19 20 23 17 23 20 20 19 25 17 23 17 17 18 19 17 17 19 18 18 17 23 17 19 19 19 17 17 23 17 17 19 17 3 3 22 12 21 2 12 12 21 21 0 12 12 21 22 22 12 38 2 39 38 21 21 21 2 2 12 2 22 12 12 21 12 12 22 12 12 4 38 6 2 21 0 12 21 12 12 22 21 12 21 21 39 12 2 12 12 22 12 22 22 21 2 2 12 22 22 0 12 12 39 22 39 13 13 12 19 12 21 22 12 12 21 21 12 12 21 2 12 12 12 12 12 12 0 12 21 12 3 2 0 31 39 39 39 33 9 9 39 9 13 39 9 39 39 31 9 39 9 9 9 31 9 39 9 31 31 39 9 9 39 9 10 9 35 39 31 31 9 39 39 9 9 38 39 9 39 9 10 9 9 31 10 39 39 39 9 31 34 1 31 31 39 9 39 1 39 39 9 31 1 39 39 31 39 10 31 39 39 32 39 31 39 39 31 10 9 39 13 34 11 39 3 39 34 11 11 39 39 9 30 6 28 28 28 9 25 29 27 9 42 28 28 28 29 28 28 26 28 25 28 28 28 28 25 28 29 42 28 42 28 2 28 25 42 4 26 25 26 28 28 25 28 28 25 28 25 4 28 29 28 27 25 27 25 25 26 30 28 9 28 25 42 27 37 42 2 28 29 28 28 29 28 30 25 5 29 25 37 25 25 28 28 28 29 25 29 25 28 28 25 25 28 28 29 28 30 28 28 29"
7,3,-0.8231,1.0000,0.5896,-0.3223,0.1528,"13 2 2 8 7 19 19 2 8 8 2 2 2 1 8 20 7 31 19 31 2 2 7 0 2 2 2 3 13 8 34 7 8 2 8 8 7 2 34 2 8 2 1 1 2 19 8 6 19 13 7 19 19 2 31 2 2 19 2 2 7 19 8 8 19 2 2 7 2 1 7 34 19 19 19 2 19 19 19 7 19 2 3 2 1 7 38 34 2 19 2 13 19 2 34 2 8 2 2 2 12 20 17 17 20 19 17 17 17 20 18 17 19 17 20 17 17 19 17 18 17 41 19 17 17 17 17 17 19 17 25 17 23 18 17 18 17 17 19 17 17 19 18 17 17 17 17 12 38 19 17 20 17 17 12 23 20 17 19 17 19 17 18 19 19 17 17 19 20 23 17 23 20 20 19 25 17 23 17 17 18 19 17 17 19 18 18 17 23 17 19 19 19 17 17 23 17 17 19 17 3 3 22 12 21 2 12 12 21 21 0 12 12 21 22 22 12 38 2 39 38 21 21 21 2 2 12 2 22 12 12 21 12 12 22 12 12 4 38 6 2 21 0 12 21 12 12 22 21 12 21 21 39 12 2 12 12 22 12 22 22 21 2 2 12 22 22 0 12 12 39 22 39 13 13 12 19 12 21 22 12 12 21 21 12 12 21 2 12 12 12 12 12 12 0 12 21 12 3 2 0 31 39 39 39 33 9 9 39 9 13 39 9 39 39 31 9 39 9 9 9 31 9 39 9 31 31 39 9 9 39 9 10 9 35 39 31 31 9 39 39 9 9 38 39 9 39 9 10 9 9 31 10 39 39 39 9 31 34 1 31 31 39 9 39 1 39 39 9 31 1 39 39 31 39 10 31 39 39 32 39 31 39 39 31 10 9 39 13 34 11 39 3 39 34 11 11 39 39 9 30 6 28 28 28 9 25 29 27 9 42 28 28 28 29 28 28 26 28 25 28 28 28 28 25 28 29 42 28 42 28 2 28 25 42 4 26 25 26 28 28 25 28 28 25 28 25 4 28 29 28 27 25 27 25 25 26 30 28 9 28 25 42 27 37 42 2 28 29 28 28 29 28 30 25 5 29 25 37 25 25 28 28 28 29 25 29 25 28 28 25 25 28 28 29 28 30 28 28 29"
8,4,-0.8536,1.0000,0.4881,-0.3218,0.1421,"12 12 21 3 21 7 2 2 22 22 2 22 22 11 12 21 12 12 2 3 21 0 7 12 12 12 6 0 21 12 22 22 12 12 12 12 22 21 2 3 2 12 21 8 12 12 12 3 2 0 12 0 21 11 3 12 22 12 22 0 12 12 3 12 21 21 2 7 12 0 22 12 0 12 22 21 12 22 12 12 7 21 21 12 12 2 21 13 17 8 21 0 12 2 8 2 12 21 12 3 42 19 19 19 19 19 42 19 19 42 12 19 26 19 12 27 42 23 20 19 19 19 42 12 19 42 23 19 19 20 19 20 42 19 12 12 12 26 19 19 19 19 19 12 24 20 19 42 13 19 12 12 19 25 42 19 19 19 12 12 12 12 19 16 23 12 19 19 25 26 19 19 19 19 38 12 19 12 12 19 12 20 19 19 19 26 19 19 12 16 20 42 25 12 12 19 12 20 19 19 19 16 12 17 12 19 17 12 12 12 18 14 17 18 14 12 14 18 17 18 17 12 12 42 17 12 18 18 12 17 16 12 18 17 18 17 18 17 3 12 12 17 42 18 18 14 12 14 12 12 12 12 12 18 12 17 12 12 12 19 12 12 12 15 14 12 15 40 12 12 12 17 12 12 42 12 14 17 17 12 12 12 12 12 12 12 15 14 12 12 17 12 12 15 12 17 17 12 16 12 39 2 39 39 2 13 9 9 39 33 39 11 39 2 9 39 2 32 39 39 9 11 39 9 39 39 9 4 10 9 2 9 0 9 9 2 39 9 39 39 9 39 39 9 39 39 9 2 2 9 9 9 39 9 9 39 4 39 9 39 39 39 9 9 11 12 9 4 9 4 2 9 11 4 39 39 39 9 39 39 39 39 9 39 2 9 39 10 9 0 1 39 39 2 39 39 39 12 39 39 12 0 42 12 16 12 41 12 42 12 12 42 42 41 12 0 12 12 42 41 42 16 41 12 12 42 42 42 42 41 41 42 32 42 0 42 42 12 42 41 41 16 16 42 42 15 3 42 1 12 1 16 12 31 12 16 42 16 12 41 42 41 42 12 41 12 42 16 42 16 42 16 12 12 41 16 42 42 12 12 42 42 12 3 38 42 12 13 42 42 42 16 38 42 12 16 12 16 42 12"
9,5,-0.8587,1.0000,0.4708,-0.3165,0.1599,"12 12 21 3 21 7 2 2 22 22 2 22 22 11 12 21 12 12 2 3 21 0 7 12 12 12 6 0 21 12 22 22 12 12 12 12 22 21 2 3 2 12 21 8 12 12 12 3 2 0 12 0 21 11 3 12 22 12 22 0 12 12 3 12 21 21 2 7 12 0 22 12 0 12 22 21 12 22 12 12 7 21 21 12 12 2 21 13 17 8 21 0 12 2 8 2 12 21 12 3 42 19 19 19 19 19 42 19 19 42 12 19 26 19 12 27 42 23 20 19 19 19 42 12 19 42 23 19 19 20 19 20 42 19 12 12 12 26 19 19 19 19 19 12 24 20 19 42 13 19 12 12 19 25 42 19 19 19 12 12 12 12 19 16 23 12 19 19 25 26 19 19 19 19 38 12 19 12 12 19 12 20 19 19 19 26 19 19 12 16 20 42 25 12 12 19 12 20 19 19 19 16 12 17 12 19 17 12 12 12 18 14 17 18 14 12 14 18 17 18 17 12 12 42 17 12 18 18 12 17 16 12 18 17 18 17 18 17 3 12 12 17 42 18 18 14 12 14 12 12 12 12 12 18 12 17 12 12 12 19 12 12 12 15 14 12 15 40 12 12 12 17 12 12 42 12 14 17 17 12 12 12 12 12 12 12 15 14 12 12 17 12 12 15 12 17 17 12 16 12 39 2 39 39 2 13 9 9 39 33 39 11 39 2 9 39 2 32 39 39 9 11 39 9 39 39 9 4 10 9 2 9 0 9 9 2 39 9 39 39 9 39 39 9 39 39 9 2 2 9 9 9 39 9 9 39 4 39 9 39 39 39 9 9 11 12 9 4 9 4 2 9 11 4 39 39 39 9 39 39 39 39 9 39 2 9 39 10 9 0 1 39 39 2 39 39 39 12 39 39 12 0 42 12 16 12 41 12 42 12 12 42 42 41 12 0 12 12 42 41 42 16 41 12 12 42 42 42 42 41 41 42 32 42 0 42 42 12 42 41 41 16 16 42 42 15 3 42 1 12 1 16 12 31 12 16 42 16 12 41 42 41 42 12 41 12 42 16 42 16 42 16 12 12 41 16 42 42 12 12 42 42 12 3 38 42 12 13 42 42 42 16 38 42 12 16 12 16 42 12"
