rank,fitness,winrate,genome
1,-0.8657,0.9643,"2 23 18 17 17 2 5 17 37 17 17 23 17 23 17 37 6 2 37 17 2 2 23 18 3 2 2 18 2 2 2 17 2 17 37 23 5 4 23 2 2 17 2 2 2 5 4 5 12 12 37 2 18 2 18 2 17 17 2 17 2 23 5 2 2 2 2 17 4 2 2 2 17 2 17 2 2 17 2 2 2 2 6 2 23 17 18 3 23 4 17 23 5 18 2 23 17 2 18 37 17 17 17 10 17 2 17 11 17 17 2 17 17 2 17 17 17 18 2 2 17 17 17 17 2 17 17 2 18 11 17 17 2 17 18 2 17 17 17 41 17 2 17 18 17 17 18 2 17 11 2 11 18 17 18 17 17 17 2 17 17 18 17 17 2 17 2 38 18 11 3 2 9 2 17 17 17 17 8 2 2 17 2 18 10 2 17 17 17 17 2 17 17 2 2 8 2 2 0 2 16 4 16 42 42 2 12 12 16 16 5 5 16 4 16 16 16 16 12 16 16 16 6 12 12 16 16 5 16 16 16 16 16 4 2 16 42 12 19 16 5 12 16 16 16 16 4 42 16 12 42 42 16 6 4 16 16 42 4 42 37 12 42 12 12 16 4 12 42 12 16 16 12 12 37 37 16 12 12 42 12 12 12 6 16 12 16 37 16 4 12 16 12 37 16 12 16 42 12 37 23 40 1 40 31 40 4 24 40 23 40 40 2 23 24 40 23 23 24 23 40 40 23 23 3 24 23 40 23 40 23 23 40 0 23 23 40 40 40 33 40 40 40 23 23 7 40 40 24 24 16 40 40 23 40 7 23 40 40 3 24 40 40 23 23 23 40 40 24 23 40 23 40 23 40 23 40 23 40 23 23 40 23 40 23 40 23 40 23 23 8 23 5 40 23 23 40 13 23 23 23 24 1 23 3 23 23 23 23 1 23 24 23 0 23 24 38 38 1 23 0 24 38 1 1 34 24 13 24 23 23 13 3 3 38 13 0 13 13 13 0 38 12 12 0 38 23 1 3 38 1 38 23 1 13 3 0 3 1 12 12 0 23 3 0 23 0 3 13 0 23 38 23 23 0 12 23 38 0 1 3 3 3 13 13 23 23 23 0 3 0 23 0 13 23 13 23 13 38 38"
2,-0.8523,1.0000,"31 31 33 31 31 31 32 31 31 34 34 34 32 31 31 33 33 31 31 33 31 34 31 31 31 31 34 35 34 31 31 34 33 34 33 37 34 31 34 32 34 31 31 31 31 32 6 31 35 31 25 31 31 34 32 34 31 31 31 31 31 31 31 31 31 31 34 34 31 33 34 34 34 31 31 34 31 31 31 34 31 36 31 31 36 31 31 32 31 33 32 31 33 31 31 34 31 31 31 31 31 33 33 31 31 32 31 31 31 31 32 32 31 31 31 31 31 31 31 32 28 31 31 31 32 33 31 31 31 32 31 42 31 31 33 31 31 31 33 31 42 31 42 32 31 31 31 32 30 31 33 31 42 32 31 31 31 32 42 28 32 33 42 42 32 31 32 33 33 31 32 32 31 28 31 31 31 31 31 6 31 31 33 32 31 31 32 31 31 32 31 31 33 32 31 31 32 31 31 31 16 4 16 42 42 2 12 12 16 16 5 5 16 4 16 16 16 16 12 16 16 16 6 12 12 16 16 5 16 16 16 16 16 4 2 16 42 12 19 16 5 12 16 16 16 16 4 42 16 12 42 42 16 6 4 16 16 42 4 42 37 12 42 12 12 16 4 12 42 12 16 16 12 12 37 37 16 12 12 42 12 12 12 6 16 12 16 37 16 4 12 16 12 37 16 12 16 42 12 37 20 19 31 7 19 20 33 7 19 31 8 8 19 19 19 19 19 6 31 19 33 20 7 19 19 7 5 20 19 19 31 19 7 41 19 19 19 33 19 7 20 20 20 6 37 19 19 4 20 2 19 31 19 19 19 19 19 33 1 19 33 20 20 19 31 19 7 19 31 20 33 19 31 17 19 19 19 31 31 31 19 19 19 20 31 5 19 31 19 19 19 19 31 31 7 20 19 7 32 7 23 2 37 23 6 5 23 23 23 1 2 24 4 4 2 24 2 37 1 37 2 2 38 6 2 5 2 13 24 23 2 5 2 2 38 37 0 2 13 12 2 38 12 6 23 2 23 24 2 37 2 23 23 6 2 2 2 1 2 5 12 2 4 2 0 23 4 13 2 2 5 23 23 2 23 2 4 38 2 24 3 24 2 13 4 23 6 37 37 3 2 2 0 12 2 13 23 37 2 2"
3,-0.8421,0.9545,"25 22 10 21 9 9 25 9 21 21 21 22 3 26 11 21 9 21 9 21 21 21 9 11 21 10 21 25 25 9 21 21 21 21 21 21 9 21 27 21 25 21 21 21 21 22 21 25 21 21 9 25 21 25 21 21 9 25 21 21 10 22 21 3 10 9 25 21 9 21 25 25 21 9 21 21 0 25 9 21 22 21 21 9 21 21 9 9 25 21 9 21 22 21 22 21 21 21 21 9 12 12 30 12 28 28 22 12 28 12 12 27 28 12 30 12 22 12 12 21 21 22 29 28 22 12 12 25 12 12 27 22 12 21 12 34 25 12 12 22 31 28 28 21 21 12 28 30 12 12 25 29 12 22 12 30 25 22 12 30 12 25 12 28 33 28 25 30 21 25 22 12 28 28 28 12 29 22 21 12 12 12 21 26 28 21 22 28 12 28 22 28 12 12 21 30 30 25 12 12 16 18 12 16 16 16 17 17 16 12 16 16 12 2 12 9 17 16 12 9 12 16 12 16 9 9 12 9 12 16 16 16 9 9 12 12 9 16 9 9 16 31 12 12 16 16 12 16 16 9 9 16 12 17 17 16 23 12 12 9 12 12 16 12 10 16 16 9 16 16 12 12 16 12 31 18 9 16 12 12 16 31 17 12 10 9 16 9 16 16 16 19 16 12 16 12 12 12 16 16 12 36 12 34 12 29 28 34 29 28 12 35 12 12 16 28 29 28 34 34 12 35 28 12 12 28 34 28 35 12 42 34 35 30 36 12 12 29 36 12 36 12 28 12 12 34 12 12 34 32 29 28 12 6 14 29 28 28 35 30 34 12 12 12 12 12 12 12 12 12 12 28 34 12 28 12 28 12 42 12 28 12 12 12 12 28 28 28 12 29 12 36 28 28 12 28 42 12 12 36 12 12 9 9 12 40 22 22 12 12 12 22 21 21 12 40 22 12 12 40 12 12 12 40 12 12 12 40 12 22 9 12 12 12 12 11 12 9 12 12 9 12 40 12 22 12 12 12 12 12 12 40 40 9 10 40 18 14 12 40 22 40 15 40 12 40 12 9 9 9 40 10 9 22 12 12 21 12 9 40 12 9 21 12 9 12 12 40 40 9 13 12 12 12 12 12 21 12 21 12"
4,-0.8137,0.9130,"23 23 23 17 17 23 5 17 23 17 23 24 17 23 17 37 6 23 37 17 2 2 23 18 23 23 24 23 24 2 23 23 2 23 37 23 5 23 24 2 23 23 2 23 23 23 4 5 23 24 23 2 23 23 23 23 17 23 23 17 2 23 24 2 2 23 23 17 23 23 2 23 23 2 23 23 2 23 23 2 2 2 23 23 23 23 23 23 23 4 17 23 5 23 2 23 23 24 18 37 17 17 17 10 17 2 17 11 17 17 2 17 17 2 17 17 17 18 2 2 17 17 17 17 2 17 17 2 18 11 17 17 2 17 18 2 17 17 17 41 17 2 17 18 17 17 18 2 17 11 2 11 18 17 18 17 17 17 2 17 17 18 17 17 2 17 2 38 18 11 3 2 9 2 17 17 17 17 8 2 2 17 2 18 10 2 17 17 17 17 2 17 17 2 2 8 2 2 0 2 16 4 16 42 42 2 12 12 16 16 5 5 16 4 16 16 16 16 12 16 16 16 6 12 12 16 16 5 16 16 16 16 16 4 2 16 42 12 19 16 5 12 16 16 16 16 4 42 16 12 42 42 16 6 4 16 16 42 4 42 37 12 42 12 12 16 4 12 42 12 16 16 12 12 37 37 16 12 12 42 12 12 12 6 16 12 16 37 16 4 12 16 12 37 16 12 16 42 12 37 23 23 1 24 31 1 4 24 1 23 0 23 2 23 24 31 23 23 24 23 33 31 23 23 3 24 23 2 23 23 23 23 5 0 23 23 33 13 6 33 24 24 3 23 23 7 23 0 24 24 16 2 23 23 2 7 23 23 23 3 24 23 31 23 23 23 23 1 24 23 6 23 1 23 24 23 23 23 3 23 23 23 23 23 23 13 23 23 23 23 8 23 5 13 23 23 23 13 23 23 23 24 24 23 3 23 23 23 23 1 23 24 23 1 23 24 38 3 1 23 0 24 38 24 13 34 24 13 24 23 23 23 3 23 38 13 0 24 13 12 23 38 12 12 23 23 23 24 0 23 23 23 23 13 23 23 23 1 1 12 12 23 23 23 0 23 1 13 23 23 23 23 23 23 23 12 23 38 0 24 3 24 3 13 0 23 23 23 13 3 23 23 0 12 23 13 23 23 38 38"
5,-0.8036,0.9167,"2 23 18 17 17 2 5 17 37 17 17 23 17 23 17 37 6 2 37 17 2 2 23 18 3 2 2 18 2 2 2 17 2 17 37 23 5 4 23 2 2 17 2 2 2 5 4 5 12 12 37 2 18 2 18 2 17 17 2 17 2 23 5 2 2 2 2 17 4 2 2 2 17 2 17 2 2 17 2 2 2 2 6 2 23 17 18 3 23 4 17 23 5 18 2 23 17 2 18 37 17 0 13 10 17 2 17 38 3 17 2 17 1 2 38 17 1 1 2 2 17 1 0 17 2 17 17 2 0 11 17 17 2 0 18 2 17 1 17 41 3 2 3 18 13 13 18 2 38 11 13 3 18 1 18 17 17 17 2 17 3 18 3 17 2 17 1 38 38 11 1 2 38 0 38 0 0 13 3 2 2 17 2 18 10 2 17 0 17 17 0 0 17 2 1 8 2 2 3 1 16 4 16 42 42 2 12 12 16 16 5 5 16 4 16 16 16 16 12 16 16 16 6 12 12 16 16 5 16 16 16 16 16 4 2 16 42 12 19 16 5 12 16 16 16 16 4 42 16 12 42 42 16 6 4 16 16 42 4 42 37 12 42 12 12 16 4 12 42 12 16 16 12 12 37 37 16 12 12 42 12 12 12 6 16 12 16 37 16 4 12 16 12 37 16 12 16 42 12 37 23 23 1 24 5 2 4 4 1 23 0 4 2 37 24 31 37 6 24 37 2 4 23 23 2 24 23 2 4 5 23 23 4 0 4 37 33 13 6 4 24 37 3 23 5 4 23 0 24 37 16 2 23 23 5 4 4 5 4 3 2 23 31 5 37 23 6 1 2 23 6 2 4 23 24 23 23 23 37 37 37 2 6 23 4 13 37 23 6 4 8 5 5 13 37 23 23 13 23 23 23 24 24 23 3 23 23 23 23 1 23 24 23 1 23 24 38 3 1 23 0 24 38 24 13 34 24 13 24 23 23 23 3 23 38 13 0 24 13 12 23 38 12 12 23 23 23 24 0 23 23 23 23 13 23 23 23 1 1 12 12 23 23 23 0 23 1 13 23 23 23 23 23 23 23 12 23 38 0 24 3 24 3 13 0 23 23 23 13 3 23 23 0 12 23 13 23 23 38 38"
6,-0.8028,0.9583,"26 25 33 25 27 25 25 13 31 25 34 13 25 26 26 25 26 25 26 27 25 25 25 25 25 25 3 35 25 25 25 25 13 26 25 25 25 26 34 25 0 1 3 25 25 25 6 31 25 25 1 25 27 26 26 34 25 26 26 31 25 25 25 31 31 27 34 25 31 25 25 27 26 27 27 27 0 25 31 26 31 26 25 31 36 31 25 25 26 25 27 26 25 25 31 34 26 38 25 25 9 9 9 9 10 32 31 31 31 31 9 32 31 31 9 9 9 9 31 32 11 31 9 31 11 33 31 31 9 9 9 42 31 31 33 9 9 9 33 9 9 31 10 32 31 11 31 32 9 31 11 31 9 10 11 31 9 9 42 9 32 33 10 11 32 9 9 11 9 31 32 9 11 9 9 10 31 31 9 9 31 31 9 32 31 31 32 9 9 9 9 31 9 10 9 9 11 31 10 9 16 18 12 16 16 16 17 17 16 12 16 16 12 2 12 9 17 16 12 9 12 16 12 16 9 9 12 9 12 16 16 16 9 9 12 12 9 16 9 9 16 31 12 12 16 16 12 16 16 9 9 16 12 17 17 16 23 12 12 9 12 12 16 12 10 16 16 9 16 16 12 12 16 12 31 18 9 16 12 12 16 31 17 12 10 9 16 9 16 16 16 19 16 12 16 12 12 12 16 16 20 19 31 7 19 20 25 25 25 25 27 25 26 26 25 25 19 6 31 25 33 25 25 25 25 25 25 25 25 25 25 19 25 25 27 19 19 25 25 25 26 20 20 25 37 19 19 27 20 2 26 25 19 19 19 27 25 33 25 19 33 20 20 19 25 25 7 19 31 20 26 19 31 17 19 25 26 31 31 31 19 25 19 25 31 25 25 31 19 25 27 19 31 27 25 25 19 27 32 25 18 31 17 28 32 32 31 31 16 31 28 31 17 17 29 17 28 31 28 31 17 17 29 32 31 33 31 31 31 31 31 31 31 18 28 17 17 17 31 33 17 31 31 28 17 31 31 31 17 31 31 18 32 31 31 31 31 31 31 31 33 18 31 31 32 17 33 32 28 31 33 28 18 31 31 33 31 31 28 17 18 31 31 17 17 31 17 30 31 31 29 32 30 31 18 31 17 31 33 17"
7,-0.7952,0.9583,"26 25 33 25 27 25 25 13 31 25 34 13 25 26 26 25 26 25 26 27 25 25 25 25 25 25 3 35 25 25 25 25 13 26 25 25 25 26 34 25 0 1 3 25 25 25 6 31 25 25 1 25 27 26 26 34 25 26 26 31 25 25 25 31 31 27 34 25 31 25 25 27 26 27 27 27 0 25 31 26 31 26 25 31 36 31 25 25 26 25 27 26 25 25 31 34 26 38 25 25 9 9 9 9 10 32 31 31 31 31 9 32 31 31 9 9 9 9 31 32 11 31 9 31 11 33 31 31 9 9 9 42 31 31 33 9 9 9 33 9 9 31 10 32 31 11 31 32 9 31 11 31 9 10 11 31 9 9 42 9 32 33 10 11 32 9 9 11 9 31 32 9 11 9 9 10 31 31 9 9 31 31 9 32 31 31 32 9 9 9 9 31 9 10 9 9 11 31 10 9 16 18 12 16 16 16 17 17 16 12 16 16 12 2 12 9 17 16 12 9 12 16 12 16 9 9 12 9 12 16 16 16 9 9 12 12 9 16 9 9 16 31 12 12 16 16 12 16 16 9 9 16 12 17 17 16 23 12 12 9 12 12 16 12 10 16 16 9 16 16 12 12 16 12 31 18 9 16 12 12 16 31 17 12 10 9 16 9 16 16 16 19 16 12 16 12 12 12 16 16 20 19 31 7 19 20 25 25 25 25 27 25 26 26 25 25 19 6 31 25 33 25 25 25 25 25 25 25 25 25 25 19 25 25 27 19 19 25 25 25 26 20 20 25 37 19 19 27 20 2 26 25 19 19 19 27 25 33 25 19 33 20 20 19 25 25 7 19 31 20 26 19 31 17 19 25 26 31 31 31 19 25 19 25 31 25 25 31 19 25 27 19 31 27 25 25 19 27 32 25 18 31 17 28 32 32 31 31 16 31 28 31 17 17 29 17 28 31 28 31 17 17 29 32 31 33 31 31 31 31 31 31 31 18 28 17 17 17 31 33 17 31 31 28 17 31 31 31 17 31 31 18 32 31 31 31 31 31 31 31 33 18 31 31 32 17 33 32 28 31 33 28 18 31 31 33 31 31 28 17 18 31 31 17 17 31 17 30 31 31 29 32 30 31 18 31 17 31 33 17"
8,-0.7939,0.9231,"26 25 33 25 27 25 25 13 31 25 34 13 25 26 26 25 26 25 26 27 25 25 25 25 25 25 3 35 25 25 25 25 13 26 25 25 25 26 34 25 0 1 3 25 25 25 6 31 25 25 1 25 27 26 26 34 25 26 26 31 25 25 25 31 31 27 34 25 31 25 25 27 26 27 27 27 0 25 31 26 31 26 25 31 36 31 25 25 26 25 27 26 25 25 31 34 26 38 25 25 9 9 9 9 10 32 31 31 31 31 9 32 31 31 9 9 9 9 31 32 11 31 9 31 11 33 31 31 9 9 9 42 31 31 33 9 9 9 33 9 9 31 10 32 31 11 31 32 9 31 11 31 9 10 11 31 9 9 42 9 32 33 10 11 32 9 9 11 9 31 32 9 11 9 9 10 31 31 9 9 31 31 9 32 31 31 32 9 9 9 9 31 9 10 9 9 11 31 10 9 16 18 12 16 16 16 17 17 16 12 16 16 12 2 12 9 17 16 12 9 12 16 12 16 9 9 12 9 12 16 16 16 9 9 12 12 9 16 9 9 16 31 12 12 16 16 12 16 16 9 9 16 12 17 17 16 23 12 12 9 12 12 16 12 10 16 16 9 16 16 12 12 16 12 31 18 9 16 12 12 16 31 17 12 10 9 16 9 16 16 16 19 16 12 16 12 12 12 16 16 20 17 31 7 19 17 25 25 25 17 17 25 26 18 25 25 19 17 31 25 17 25 25 25 25 25 25 17 25 17 25 17 17 17 27 17 19 25 25 17 17 20 17 25 37 19 17 18 17 17 17 17 19 18 17 27 25 33 17 17 17 20 17 19 17 17 17 17 31 18 26 19 18 17 17 17 26 17 31 17 19 25 18 25 31 25 17 31 17 17 27 17 31 17 25 25 19 27 17 18 19 31 19 20 32 20 31 19 16 19 19 31 19 19 20 20 19 31 20 19 17 19 19 20 31 20 31 19 31 19 19 19 19 18 19 19 17 20 19 33 19 19 19 28 17 19 19 31 17 19 20 18 32 20 31 31 31 31 31 31 33 20 19 20 19 20 20 19 19 20 19 28 19 19 19 33 20 31 19 20 19 31 31 20 19 31 19 19 20 19 19 19 30 31 19 31 20 19 19 19"
9,-0.7933,0.9200,"3 3 41 3 0 42 38 38 38 38 41 13 38 38 41 0 42 41 1 41 3 41 41 26 38 41 3 0 13 41 1 41 41 13 0 41 41 13 41 41 41 0 41 1 42 41 41 41 41 41 41 42 13 42 41 1 0 41 41 41 12 41 3 13 41 41 41 38 16 41 1 41 41 41 41 3 1 41 41 0 13 0 41 41 16 13 38 41 1 13 41 3 41 41 3 3 41 41 41 38 9 41 41 9 41 0 41 3 41 41 3 0 9 38 9 9 4 38 41 3 9 41 41 41 41 11 41 0 11 0 13 9 41 41 9 2 41 41 41 41 38 9 41 1 13 38 41 11 41 9 41 9 41 41 0 3 10 41 9 3 11 13 13 41 41 0 9 2 41 41 13 1 41 31 5 9 11 0 37 41 38 13 41 0 41 6 34 41 9 13 41 38 13 38 41 9 10 41 10 3 16 4 16 42 42 2 12 12 16 16 5 5 16 4 16 16 16 16 12 16 16 16 6 12 12 16 16 5 16 16 16 16 16 4 2 16 42 12 19 16 5 12 16 16 16 16 4 42 16 12 42 42 16 6 4 16 16 42 4 42 37 12 42 12 12 16 4 12 42 12 16 16 12 12 37 37 16 12 12 42 12 12 12 6 16 12 16 37 16 4 12 16 12 37 16 12 16 42 12 37 17 23 17 17 17 17 17 18 17 29 18 23 28 17 24 18 17 29 30 23 28 17 18 17 17 17 17 28 18 23 17 17 29 28 17 18 17 28 17 33 28 17 28 18 17 18 17 17 17 17 17 17 28 17 17 17 17 23 17 17 18 17 17 17 17 30 17 1 18 17 17 17 28 17 17 18 28 23 17 28 17 18 17 23 17 17 17 18 17 28 17 17 17 18 28 23 28 28 18 18 2 4 3 4 2 1 41 3 2 5 6 5 37 37 7 7 6 41 6 36 2 2 34 36 6 34 5 34 8 2 41 34 34 34 13 2 4 34 4 7 34 34 6 5 7 4 37 0 3 7 3 34 34 0 34 37 41 5 37 5 3 5 34 41 36 2 7 6 0 4 37 37 4 34 35 34 18 41 41 38 35 0 2 6 34 35 35 34 7 5 37 2 34 41 0 6 34 37 37 3"
10,-0.7921,0.9259,"3 0 18 17 0 2 5 17 37 17 17 23 17 23 3 37 6 2 0 3 0 2 23 18 3 2 2 18 0 0 2 17 2 17 37 0 0 4 23 0 2 17 2 3 3 5 3 3 3 12 37 3 18 2 18 2 17 0 2 0 2 3 5 2 2 2 2 17 4 3 0 0 17 3 41 2 0 17 0 2 2 2 6 0 23 17 18 3 23 3 3 3 3 18 2 23 17 2 0 37 12 12 30 12 28 28 22 12 28 12 12 27 28 12 30 12 22 12 12 21 21 22 29 28 22 12 12 25 12 12 27 22 12 21 12 34 25 12 12 22 31 28 28 21 21 12 28 30 12 12 25 29 12 22 12 30 25 22 12 30 12 25 12 28 33 28 25 30 21 25 22 12 28 28 28 12 29 22 21 12 12 12 21 26 28 21 22 28 12 28 22 28 12 12 21 30 30 25 12 12 16 4 16 42 42 2 12 12 16 16 5 5 16 4 16 16 16 16 12 16 16 16 6 12 12 16 16 5 16 16 16 16 16 4 2 16 42 12 19 16 5 12 16 16 16 16 4 42 16 12 42 42 16 6 4 16 16 42 4 42 37 12 42 12 12 16 4 12 42 12 16 16 12 12 37 37 16 12 12 42 12 12 12 6 16 12 16 37 16 4 12 16 12 37 16 12 16 42 12 37 12 36 12 34 12 29 28 34 29 28 12 35 12 12 16 28 29 28 34 34 12 35 28 12 12 28 34 28 35 12 42 34 35 30 36 12 12 29 36 12 36 12 28 12 12 34 12 12 34 32 29 28 12 6 14 29 28 28 35 30 34 12 12 12 12 12 12 12 12 12 12 28 34 12 28 12 28 12 42 12 28 12 12 12 12 28 28 28 12 29 12 36 28 28 12 28 42 12 12 36 12 12 9 9 12 40 22 22 12 12 12 22 21 21 12 40 22 12 12 40 12 12 12 40 12 12 12 40 12 22 9 12 12 12 12 11 12 9 12 12 9 12 40 12 22 12 12 12 12 12 12 40 40 9 10 40 18 14 12 40 22 40 15 40 12 40 12 9 9 9 40 10 9 22 12 12 21 12 9 40 12 9 21 12 9 12 12 40 40 9 13 12 12 12 12 12 21 12 21 12"
