rank,fitness,winrate,genome
1,-0.7951,0.9600,"25 41 0 25 0 3 41 0 38 41 38 41 25 41 13 0 3 27 18 26 25 38 41 41 26 13 14 25 0 38 0 41 41 41 25 26 41 3 25 9 13 25 0 27 26 25 41 41 41 25 3 41 41 25 25 41 41 0 41 25 41 12 3 25 0 38 41 26 41 41 41 41 41 25 41 3 41 41 9 41 3 25 25 41 3 41 26 13 41 17 1 3 15 3 13 41 0 0 41 26 2 28 3 2 28 0 3 16 4 0 0 9 2 0 0 37 3 11 0 2 9 3 2 3 3 0 0 0 0 2 42 11 0 3 6 2 0 2 2 3 4 42 2 6 0 0 37 22 3 0 9 0 0 3 4 0 28 0 5 3 3 2 3 3 11 42 2 0 0 2 0 0 0 0 0 2 2 3 3 2 0 3 37 0 12 0 41 3 2 9 2 9 3 2 2 37 2 3 2 4 34 34 0 3 3 13 38 41 0 41 0 34 0 41 0 0 3 34 0 36 0 0 34 3 41 3 41 41 22 41 35 41 3 34 34 0 0 41 0 41 0 3 21 41 21 3 13 0 36 36 3 35 3 21 13 0 0 0 41 41 3 34 3 36 0 3 41 41 3 34 38 34 3 0 7 1 34 41 38 41 34 3 3 0 36 41 38 41 3 0 34 41 38 3 21 34 0 3 3 0 5 42 2 2 4 2 2 42 6 6 6 6 2 2 6 2 5 42 37 2 42 2 2 2 17 6 6 42 2 6 2 37 2 2 16 2 4 2 2 17 6 2 2 2 2 5 2 2 2 2 2 37 2 6 17 6 42 2 17 2 37 42 12 5 12 5 6 6 37 2 6 42 2 6 5 2 37 42 12 5 42 42 2 5 37 2 5 5 6 5 16 4 6 2 2 4 2 2 2 4 31 25 27 31 27 25 31 25 32 25 33 31 25 25 25 26 25 31 31 31 25 32 32 25 31 25 31 25 25 25 25 25 31 25 31 26 32 25 25 31 32 25 27 26 31 31 7 26 27 25 25 25 7 25 25 25 26 25 27 7 32 31 31 25 26 25 25 31 33 32 25 25 25 25 27 25 25 25 27 25 25 27 25 25 25 25 25 31 25 25 31 25 25 31 27 25 31 32 25 25"
2,-0.7701,0.9600,"25 41 0 25 0 3 41 0 38 41 38 41 25 41 13 0 3 27 18 26 25 38 41 41 26 13 14 25 0 38 0 41 41 41 25 26 41 3 25 9 13 25 0 27 26 25 41 41 41 25 3 41 41 25 25 41 41 0 41 25 41 12 3 25 0 38 41 26 41 41 41 41 41 25 41 3 41 41 9 41 3 25 25 41 3 41 26 13 41 17 1 3 15 3 13 41 0 0 41 26 2 28 3 2 28 0 3 16 4 0 0 9 2 0 0 37 3 11 0 2 9 3 2 3 3 0 0 0 0 2 42 11 0 3 6 2 0 2 2 3 4 42 2 6 0 0 37 22 3 0 9 0 0 3 4 0 28 0 5 3 3 2 3 3 11 42 2 0 0 2 0 0 0 0 0 2 2 3 3 2 0 3 37 0 12 0 41 3 2 9 2 9 3 2 2 37 2 3 2 4 34 34 0 3 3 13 38 41 0 41 0 34 0 41 0 0 3 34 0 36 0 0 34 3 41 3 41 41 22 41 35 41 3 34 34 0 0 41 0 41 0 3 21 41 21 3 13 0 36 36 3 35 3 21 13 0 0 0 41 41 3 34 3 36 0 3 41 41 3 34 38 34 3 0 7 1 34 41 38 41 34 3 3 0 36 41 38 41 3 0 34 41 38 3 21 34 0 3 3 0 5 42 2 2 4 2 2 42 6 6 6 6 2 2 6 2 5 42 37 2 42 2 2 2 17 6 6 42 2 6 2 37 2 2 16 2 4 2 2 17 6 2 2 2 2 5 2 2 2 2 2 37 2 6 17 6 42 2 17 2 37 42 12 5 12 5 6 6 37 2 6 42 2 6 5 2 37 42 12 5 42 42 2 5 37 2 5 5 6 5 16 4 6 2 2 4 2 2 2 4 25 25 27 25 27 26 25 25 32 25 33 31 25 25 25 26 25 25 25 31 25 32 32 25 31 25 31 27 25 27 25 25 31 25 27 27 26 25 25 31 25 25 25 25 25 31 7 25 25 25 25 25 7 25 27 25 26 25 25 26 32 26 31 25 25 25 26 31 33 32 25 26 25 25 25 25 26 25 25 25 25 27 25 25 25 25 25 26 25 25 31 26 25 27 27 25 31 32 25 25"
3,-0.7652,0.9310,"25 41 0 25 0 3 41 0 38 41 38 41 25 41 13 0 3 27 18 26 25 38 41 41 26 13 14 25 0 38 0 41 41 41 25 26 41 3 25 9 13 25 0 27 26 25 41 41 41 25 3 41 41 25 25 41 41 0 41 25 41 12 3 25 0 38 41 26 41 41 41 41 41 25 41 3 41 41 9 41 3 25 25 41 3 41 26 13 41 17 1 3 15 3 13 41 0 0 41 26 2 28 3 2 28 0 3 16 4 0 0 9 2 0 0 37 3 11 0 2 9 3 2 3 3 0 0 0 0 2 42 11 0 3 6 2 0 2 2 3 4 42 2 6 0 0 37 22 3 0 9 0 0 3 4 0 28 0 5 3 3 2 3 3 11 42 2 0 0 2 0 0 0 0 0 2 2 3 3 2 0 3 37 0 12 0 41 3 2 9 2 9 3 2 2 37 2 3 2 4 34 34 0 3 3 13 38 41 0 41 0 34 0 41 0 0 3 34 0 36 0 0 34 3 41 3 41 41 22 41 35 41 3 34 34 0 0 41 0 41 0 3 21 41 21 3 13 0 36 36 3 35 3 21 13 0 0 0 41 41 3 34 3 36 0 3 41 41 3 34 38 34 3 0 7 1 34 41 38 41 34 3 3 0 36 41 38 41 3 0 34 41 38 3 21 34 0 3 3 0 5 42 2 2 4 2 2 42 6 6 6 6 2 2 6 2 5 42 37 2 42 2 2 2 17 6 6 42 2 6 2 37 2 2 16 2 4 2 2 17 6 2 2 2 2 5 2 2 2 2 2 37 2 6 17 6 42 2 17 2 37 42 12 5 12 5 6 6 37 2 6 42 2 6 5 2 37 42 12 5 42 42 2 5 37 2 5 5 6 5 16 4 6 2 2 4 2 2 2 4 31 32 31 31 27 32 31 31 32 31 33 31 25 31 31 31 31 31 31 31 31 32 32 33 31 31 31 33 31 17 25 31 31 25 31 31 32 17 31 31 32 31 31 31 31 31 7 18 26 32 31 25 7 31 31 17 31 31 33 7 32 31 31 25 31 31 7 31 33 32 31 31 31 32 25 33 33 31 31 31 31 31 25 31 31 33 31 31 32 32 31 31 25 31 31 31 31 32 31 31"
4,-0.7641,0.9524,"32 4 6 4 39 6 4 2 5 4 39 34 37 37 37 2 6 4 39 37 39 31 2 32 2 2 4 31 2 5 39 37 2 4 37 31 5 5 2 37 2 2 5 2 2 39 2 6 2 2 39 2 2 2 2 4 2 2 6 4 4 2 4 4 39 4 5 37 37 2 2 2 42 37 2 5 6 37 35 5 4 39 4 37 31 2 2 42 35 5 2 5 4 2 39 2 5 2 37 36 2 0 2 4 2 16 2 2 2 4 2 4 28 2 2 2 2 16 6 42 2 6 12 28 5 31 5 2 2 4 16 2 42 2 6 28 6 2 2 2 3 2 32 28 2 5 6 2 2 0 2 42 2 3 2 3 2 2 2 2 2 37 0 37 6 2 37 6 4 28 2 2 2 2 2 42 4 2 5 0 6 4 2 37 2 2 25 31 12 2 2 4 2 2 2 2 2 2 12 2 23 12 24 23 41 24 12 12 12 27 12 12 12 12 23 12 12 12 12 24 19 12 23 24 24 28 24 12 24 24 12 23 23 12 23 24 12 12 12 12 12 23 12 12 23 12 12 23 12 12 41 27 12 23 12 24 23 12 41 23 23 12 12 12 23 1 23 23 23 12 24 23 12 12 12 23 24 27 12 12 23 23 23 12 12 24 23 23 23 29 26 23 23 12 12 41 12 23 24 23 5 42 2 2 4 2 2 42 6 6 6 6 2 2 6 2 5 42 37 2 42 2 2 2 17 6 6 42 2 6 2 37 2 2 16 2 4 2 2 17 6 2 2 2 2 5 2 2 2 2 2 37 2 6 17 6 42 2 17 2 37 42 12 5 12 5 6 6 37 2 6 42 2 6 5 2 37 42 12 5 42 42 2 5 37 2 5 5 6 5 16 4 6 2 2 4 2 2 2 4 23 36 12 2 23 23 12 23 24 23 23 24 12 34 24 24 12 23 3 35 23 23 24 12 24 23 34 12 24 12 12 23 24 12 23 27 2 12 23 12 23 23 26 23 12 12 35 36 12 24 24 23 12 23 12 24 12 26 24 12 35 12 23 12 23 12 23 12 23 12 12 24 12 12 24 34 23 38 24 23 23 24 28 12 35 24 23 23 1 24 38 23 24 23 26 23 12 23 34 12"
5,-0.7397,0.9130,"25 27 0 25 9 3 27 3 26 27 10 27 25 27 3 0 0 27 18 26 25 10 25 25 26 25 14 25 0 25 0 27 25 25 25 26 25 25 25 9 9 25 25 27 26 25 27 25 27 25 25 25 10 25 25 3 25 0 27 25 9 12 25 25 12 25 25 26 41 18 25 27 25 25 25 25 25 25 9 11 3 25 25 26 9 9 26 25 25 17 25 25 15 3 25 25 0 25 25 26 3 0 2 0 36 2 0 41 0 13 13 2 0 0 2 0 0 3 0 0 3 2 2 34 0 42 0 3 2 8 3 20 2 7 2 13 3 7 0 2 3 8 0 0 3 3 3 38 7 0 3 2 0 2 41 2 0 7 2 34 0 41 7 3 2 7 7 7 2 0 3 41 0 0 41 3 2 31 2 7 3 2 2 7 0 3 13 2 41 0 0 3 7 0 0 3 13 0 2 3 17 39 39 39 39 17 37 42 39 17 39 39 17 39 39 39 17 39 39 39 39 39 39 39 39 39 42 39 39 17 39 39 39 39 39 39 39 17 39 17 17 39 18 39 39 5 17 39 39 39 39 39 39 39 39 39 39 17 28 42 5 39 39 39 18 39 28 18 39 39 39 39 17 18 39 39 39 39 28 28 39 39 17 34 39 39 39 39 17 39 39 39 39 39 29 39 39 42 39 17 5 42 2 2 4 2 2 42 6 6 6 6 2 2 6 2 5 42 37 2 42 2 2 2 17 6 6 42 2 6 2 37 2 2 16 2 4 2 2 17 6 2 2 2 2 5 2 2 2 2 2 37 2 6 17 6 42 2 17 2 37 42 12 5 12 5 6 6 37 2 6 42 2 6 5 2 37 42 12 5 42 42 2 5 37 2 5 5 6 5 16 4 6 2 2 4 2 2 2 4 31 34 31 34 34 34 34 31 17 34 34 34 36 31 32 34 36 34 36 34 34 34 34 34 17 17 36 36 34 34 7 17 17 36 34 18 17 34 7 34 35 34 18 34 34 32 35 18 34 34 17 36 17 36 31 17 17 34 35 35 33 32 34 34 36 17 31 7 34 34 34 34 34 17 35 36 17 17 17 34 34 18 17 34 34 36 34 34 34 34 8 34 34 35 34 31 35 36 21 34"
6,-0.7259,0.9048,"41 13 41 41 5 5 37 2 3 5 13 0 3 42 1 37 38 3 31 41 4 42 41 41 3 2 41 38 3 38 5 38 41 13 41 2 5 41 2 1 41 37 41 5 6 37 41 4 41 41 38 4 37 13 4 13 34 31 0 41 0 5 2 38 35 0 37 41 6 2 0 3 41 5 41 1 1 5 2 5 6 13 41 4 6 37 41 0 4 41 41 2 13 0 41 5 2 4 38 3 2 28 6 2 28 2 6 16 4 2 0 9 2 0 2 37 4 11 28 2 9 3 2 3 0 11 0 0 9 2 42 11 2 3 6 2 0 2 2 2 4 42 2 6 22 2 37 22 2 9 9 2 28 2 4 2 28 4 5 9 2 2 0 3 11 42 2 2 0 2 2 9 9 0 0 2 2 3 3 2 3 28 37 5 12 4 9 28 2 9 2 9 3 2 2 37 2 6 2 4 7 42 2 42 7 24 42 38 2 7 5 2 2 2 7 42 2 37 2 2 42 4 42 12 5 7 6 2 2 37 2 2 37 7 42 2 2 2 7 5 4 8 2 2 37 37 6 42 42 3 2 42 12 42 42 2 42 2 42 2 6 42 37 2 2 42 42 2 37 42 2 42 2 42 7 2 13 2 42 42 2 42 2 37 42 42 4 42 42 42 12 42 42 8 2 42 37 2 42 42 5 42 6 4 2 2 2 42 2 2 6 6 2 37 4 2 2 2 37 2 42 2 2 2 17 2 2 42 2 2 5 4 6 2 2 4 2 2 2 4 6 2 37 2 2 5 2 6 2 2 2 2 2 2 6 2 37 2 17 2 2 2 2 2 2 2 6 6 2 2 2 2 2 6 5 2 6 5 6 37 2 5 2 5 37 2 5 5 2 4 16 4 6 2 2 37 4 2 2 4 8 8 7 9 41 41 7 41 41 41 41 6 16 41 41 1 9 7 16 38 41 7 7 41 41 12 9 41 41 3 41 41 7 7 1 1 41 41 1 41 12 7 41 41 0 41 41 38 41 41 0 1 0 41 0 5 9 7 9 41 16 13 41 7 0 41 41 5 9 41 41 1 8 9 41 41 13 1 41 41 7 7 41 41 8 41 13 8 41 41 41 41 41 16 1 41 41 41 3 41"
7,-0.6936,0.8333,"17 17 17 18 17 17 40 17 17 40 17 17 38 33 17 31 17 17 1 17 17 18 17 33 31 18 18 3 17 31 18 17 17 40 17 18 31 17 13 3 17 3 17 17 17 17 17 17 33 31 31 31 17 17 17 32 31 17 18 17 0 31 40 17 18 1 17 18 31 17 17 31 17 33 17 17 3 17 17 17 17 3 17 17 17 31 17 17 18 33 17 17 18 17 13 13 17 1 40 17 9 9 9 38 9 3 11 9 10 13 9 9 9 3 9 0 10 9 9 0 0 9 13 34 9 9 0 10 9 9 9 9 2 7 11 10 9 3 0 9 9 9 11 13 11 10 3 9 11 11 1 9 9 11 9 11 11 9 2 9 9 10 9 11 13 7 7 9 9 11 10 41 11 9 9 3 2 9 2 9 3 9 10 7 9 11 9 9 3 13 9 3 13 0 0 9 11 0 9 9 34 34 0 34 0 13 38 41 34 41 4 34 0 41 3 41 3 34 41 36 13 41 34 41 41 3 41 41 22 41 35 41 41 34 34 34 2 41 41 41 34 41 21 41 21 41 13 1 36 36 41 35 41 21 13 34 2 41 41 41 35 34 41 36 0 3 41 41 5 34 38 34 3 22 7 1 34 41 38 41 34 34 41 34 36 41 38 41 41 3 34 41 38 8 21 34 34 1 3 21 5 42 2 2 4 2 2 42 6 6 6 6 2 2 6 2 5 42 37 2 42 2 2 2 17 6 6 42 2 6 2 37 2 2 16 2 4 2 2 17 6 2 2 2 2 5 2 2 2 2 2 37 2 6 17 6 42 2 17 2 37 42 12 5 12 5 6 6 37 2 6 42 2 6 5 2 37 42 12 5 42 42 2 5 37 2 5 5 6 5 16 4 6 2 2 4 2 2 2 4 31 17 31 7 17 17 12 31 17 17 31 18 18 31 32 17 32 21 17 17 17 17 12 18 17 17 17 17 17 17 7 17 17 18 33 18 17 17 7 31 17 17 18 7 17 32 17 18 31 17 17 17 17 7 31 17 17 31 17 17 33 32 8 31 17 17 31 7 17 31 22 7 17 17 31 17 17 17 17 17 17 18 17 18 7 31 12 7 17 42 8 31 17 17 17 31 18 18 21 31"
8,-0.6837,0.8095,"32 4 6 4 39 6 4 2 5 4 39 34 37 37 37 2 6 4 39 37 39 31 2 32 2 2 4 31 2 5 39 37 2 4 37 31 5 5 2 37 2 2 5 2 2 39 2 6 2 2 39 2 2 2 2 4 2 2 6 4 4 2 4 4 39 4 5 37 37 2 2 2 42 37 2 5 6 37 35 5 4 39 4 37 31 2 2 42 35 5 2 5 4 2 39 2 5 2 37 36 3 0 2 0 36 2 0 41 0 13 13 2 0 0 2 0 0 3 0 0 3 2 2 34 0 3 0 3 2 8 3 20 2 7 2 13 3 7 0 2 3 8 0 0 3 3 3 38 7 0 3 2 0 2 41 2 0 7 2 34 0 41 7 3 2 7 7 7 2 0 3 41 0 0 41 3 2 31 2 7 3 2 2 7 0 3 13 2 41 0 0 3 7 0 0 3 13 0 2 3 23 24 23 23 23 17 24 23 24 17 23 23 24 24 24 23 17 39 39 39 39 24 39 39 39 23 42 23 23 17 39 24 39 23 39 23 23 24 39 23 23 23 18 23 23 23 23 39 23 23 39 23 23 39 23 39 39 17 28 23 24 39 39 23 23 39 23 23 24 39 23 23 23 23 23 23 39 23 24 23 23 23 23 23 23 24 39 23 23 39 23 23 23 39 23 39 23 42 23 24 40 23 40 23 23 40 23 42 16 23 40 24 40 40 23 40 40 16 1 23 16 40 23 12 23 23 23 38 24 16 40 40 41 16 23 23 16 12 16 40 40 23 40 40 12 23 40 40 23 23 40 12 24 23 16 16 23 40 40 40 12 40 16 23 40 40 40 23 16 12 16 23 38 40 40 24 40 40 40 42 23 23 16 1 24 23 16 40 42 40 23 3 16 1 38 40 23 24 24 12 24 23 24 24 0 23 24 42 23 24 13 23 2 28 23 23 23 23 24 13 2 23 24 23 23 23 23 24 24 23 23 37 23 23 42 3 3 23 13 23 37 24 42 23 23 23 23 23 23 23 38 23 24 24 24 23 23 23 23 24 23 23 23 23 23 23 23 23 23 23 28 28 23 23 2 23 23 23 24 23 1 23 42 23 23 23 23 1 23 23 23 38 23 23 24 23 23 13 24 23"
9,-0.6586,0.8333,"32 4 6 4 39 6 4 2 5 4 39 34 37 37 37 2 6 4 39 37 39 31 2 32 2 2 4 31 2 5 39 37 2 4 37 31 5 5 2 37 2 2 5 2 2 39 2 6 2 2 39 2 2 2 2 4 2 2 6 4 4 2 4 4 39 4 5 37 37 2 2 2 42 37 2 5 6 37 35 5 4 39 4 37 31 2 2 42 35 5 2 5 4 2 39 2 5 2 37 36 2 0 2 4 2 16 2 2 2 4 2 4 28 2 2 2 2 16 6 42 2 6 12 28 5 31 5 2 2 4 16 2 42 2 6 28 6 2 2 2 3 2 32 28 2 5 6 2 2 0 2 42 2 3 2 3 2 2 2 2 2 37 0 37 6 2 37 6 4 28 2 2 2 2 2 42 4 2 5 0 6 4 2 37 2 2 25 31 12 2 2 4 2 2 2 2 2 2 12 2 23 12 24 23 41 24 12 12 12 27 12 12 12 12 23 12 12 12 12 24 19 12 23 24 24 28 24 12 24 24 12 23 23 12 23 24 12 12 12 12 12 23 12 12 23 12 12 23 12 12 41 27 12 23 12 24 23 12 41 23 23 12 12 12 23 1 23 23 23 12 24 23 12 12 12 23 24 27 12 12 23 23 23 12 12 24 23 23 23 29 26 23 23 12 12 41 12 23 24 23 5 42 2 2 4 2 2 42 6 6 6 6 2 2 6 2 5 42 37 2 42 2 2 2 17 6 6 42 2 6 2 37 2 2 16 2 4 2 2 17 6 2 2 2 2 5 2 2 2 2 2 37 2 6 17 6 42 2 17 2 37 42 12 5 12 5 6 6 37 2 6 42 2 6 5 2 37 42 12 5 42 42 2 5 37 2 5 5 6 5 16 4 6 2 2 4 2 2 2 4 40 40 40 40 40 23 12 23 24 40 23 40 12 34 24 40 12 40 3 35 23 40 40 12 24 23 34 12 24 40 40 40 24 40 23 27 2 40 40 12 23 23 26 23 12 40 35 36 12 24 24 40 12 23 12 24 12 26 24 12 40 12 23 12 23 40 23 12 23 40 12 40 40 40 24 34 23 38 40 23 40 24 40 40 35 40 23 23 40 24 38 23 40 23 40 40 40 40 34 12"
10,-0.6546,0.7778,"30 6 37 28 29 28 28 2 28 28 11 2 28 2 2 30 6 28 28 6 28 2 28 30 28 28 4 28 28 36 28 29 28 30 6 5 28 2 30 2 37 28 11 31 28 6 28 2 28 2 28 2 34 2 28 2 28 30 29 29 28 28 28 2 2 2 28 12 28 37 10 37 2 28 9 29 28 28 4 6 28 28 28 28 31 2 29 28 28 2 28 29 28 28 28 2 28 28 30 28 34 34 34 35 34 34 42 34 34 34 34 34 36 34 34 34 36 34 34 34 12 34 42 36 34 34 34 36 35 34 34 34 36 36 0 42 34 34 12 34 34 34 34 34 34 34 34 34 35 34 36 35 34 12 34 34 34 40 34 34 34 35 36 34 34 34 35 36 34 34 34 34 35 34 36 23 34 34 16 19 34 12 36 34 34 2 19 34 12 34 34 34 12 34 34 34 34 34 34 36 34 34 0 34 0 13 38 41 34 41 4 34 0 41 3 41 3 34 41 36 13 41 34 41 41 3 41 41 22 41 35 41 41 34 34 34 2 41 41 41 34 41 21 41 21 41 13 1 36 36 41 35 41 21 13 34 2 41 41 41 35 34 41 36 0 3 41 41 5 34 38 34 3 22 7 1 34 41 38 41 34 34 41 34 36 41 38 41 41 3 34 41 38 8 21 34 34 1 3 21 5 42 2 2 4 2 2 42 6 6 6 6 2 2 6 2 5 42 37 2 42 2 2 2 17 6 6 42 2 6 2 37 2 2 16 2 4 2 2 17 6 2 2 2 2 5 2 2 2 2 2 37 2 6 17 6 42 2 17 2 37 42 12 5 12 5 6 6 37 2 6 42 2 6 5 2 37 42 12 5 42 42 2 5 37 2 5 5 6 5 16 4 6 2 2 4 2 2 2 4 31 34 31 34 34 34 34 31 17 34 34 34 36 31 32 34 36 34 36 34 34 34 34 34 17 17 36 36 34 34 7 17 17 36 34 18 17 34 7 34 35 34 18 34 34 32 35 18 34 34 17 36 17 36 31 17 17 34 35 35 33 32 34 34 36 17 31 7 34 34 34 34 34 17 35 36 17 17 17 34 34 18 17 34 34 36 34 34 34 34 8 34 34 35 34 31 35 36 21 34"
