# seed=53
# instance=FULL_DAMAGE_PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5729,0.8462,0.9108,-0.1590,0.2823,"30 30 27 34 40 35 5 24 20 15 22 36 14 38 0 39 33 9 19 7 40 23 27 5 33 6 29 21 32 20 20 10 13 24 7 11 24 17 30 40 40 5 19 8 27 5 17 30 36 36 21 24 16 7 23 1 20 37 9 23 3 22 19 5 38 38 10 21 35 6 5 18 42 9 3 16 14 0 33 35 42 22 1 16 21 24 13 39 19 5 20 1 40 8 7 28 2 7 14 11 30 20 17 24 29 32 3 20 24 4 0 19 20 33 33 8 22 23 23 2 40 1 5 0 35 17 42 1 39 40 21 26 0 31 17 14 23 0 31 34 21 7 0 30 31 0 15 13 38 17 37 4 33 3 33 1 11 0 11 13 34 31 14 23 38 3 35 41 34 18 15 11 29 14 12 24 40 14 40 24 12 26 35 4 12 7 22 0 5 21 27 10 11 16 32 15 26 33 29 34 26 23 41 35 32 13 17 38 23 3 1 29 40 2 16 3 33 2 18 0 22 26 5 39 23 39 18 5 36 4 14 2 40 12 13 33 6 42 2 21 11 1 38 14 10 14 7 19 24 36 2 14 7 21 37 9 16 26 38 17 13 15 18 25 12 22 30 15 8 1 15 19 19 1 33 39 20 17 10 25 32 7 31 23 6 0 24 37 32 28 4 42 32 38 2 15 9 12 41 25 41 2 31 32 5 35 32 2 27 22 14 7 27 35 40 3 29 34 6 1 14 36 10 2 17 32 36 34 19 19 1 20 13 39 2 0 18 31 15 16 18 36 6 0 31 27 19 23 39 34 0 19 33 22 1 15 10 20 9 23 12 0 28 0 28 1 19 24 4 26 7 28 7 35 4 17 28 7 34 42 22 10 30 30 29 2 30 33 24 24 19 2 33 42 36 6 6 27 11 13 1 21 38 17 15 28 2 34 30 26 7 19 12 1 41 0 0 19 4 11 29 28 39 9 26 11 10 1 5 32 21 35 7 22 25 42 22 0 9 31 32 11 20 19 32 0 15 36 23 37 18 26 30 32 36 24 7 5 22 33 39 6 23 4 27 28 1 9 26 32 32 10 9 18 13 38 31 10 5 26 13 24 16 1 33 11 37 29 0 36 0 16 39 24 33 8 27 42 40 32"
1,2,-0.7065,0.9286,0.7401,-0.2092,0.2820,"37 17 17 2 42 4 17 17 18 42 2 42 2 17 17 42 4 42 17 17 42 21 17 17 17 17 2 17 17 2 17 17 17 42 4 17 2 17 17 17 17 17 4 42 17 17 18 17 17 42 17 42 17 17 17 5 42 17 2 6 17 2 17 18 2 42 17 17 17 17 2 42 17 18 4 2 4 4 18 17 2 17 42 6 17 21 21 17 21 42 2 18 4 6 17 17 17 17 28 17 12 41 23 12 12 12 24 41 24 41 24 24 0 0 31 12 24 24 24 20 23 12 12 12 12 41 41 41 12 0 31 23 0 12 23 0 12 12 24 41 31 12 24 12 41 20 41 1 12 3 23 41 12 12 23 12 24 41 24 12 12 12 12 24 41 0 41 24 12 24 24 12 12 12 12 41 24 38 12 12 0 12 41 23 41 3 24 24 18 24 12 0 12 23 12 41 12 12 12 12 18 2 34 34 17 5 21 2 17 37 2 18 17 2 2 21 5 2 34 17 36 34 35 24 27 34 2 17 17 2 17 18 2 17 17 2 21 2 2 2 17 2 2 22 17 2 2 34 18 34 17 17 37 2 17 2 2 17 17 18 17 2 2 4 17 17 18 2 37 34 17 17 5 17 17 17 2 2 36 2 2 17 2 2 2 35 6 7 18 2 18 17 37 2 17 21 2 2 2 2 2 28 2 2 16 2 2 29 2 5 29 2 16 2 2 2 42 2 6 6 29 2 28 28 37 28 28 4 2 2 28 16 28 2 4 4 2 29 2 37 22 30 28 28 4 2 28 42 37 2 2 2 2 37 2 2 6 30 37 2 37 5 2 28 4 4 28 5 42 2 23 28 2 5 2 1 2 2 28 2 2 2 4 28 29 2 16 2 2 2 28 2 28 42 2 2 28 2 2 29 32 0 28 0 2 29 39 28 29 35 38 29 12 18 12 29 39 12 24 12 2 29 29 12 12 7 29 24 26 13 7 12 3 2 19 3 28 29 12 12 2 2 7 30 13 28 12 12 28 12 12 12 10 12 14 12 28 12 28 30 28 13 29 12 12 12 12 38 12 28 12 30 3 29 2 12 12 31 12 12 3 36 12 12 13 12 28 18 12 0 12 3 29 11 38 2 2 16 12 12"
2,3,-0.7454,0.9091,0.5456,-0.2439,0.2695,"41 42 1 0 35 6 5 1 41 34 42 42 42 13 6 7 42 5 41 42 5 41 4 2 42 4 5 7 7 1 5 42 37 42 42 13 42 6 2 42 41 42 37 41 37 4 6 7 4 41 1 37 42 8 42 41 42 42 13 0 7 13 37 42 42 41 41 42 7 42 37 7 41 42 6 42 6 42 2 41 2 42 1 42 41 4 5 4 41 0 6 42 37 41 41 42 42 13 42 19 2 2 34 7 35 34 8 7 2 19 27 8 34 2 2 34 7 7 9 7 25 2 34 2 2 25 25 11 8 2 34 8 8 25 2 2 34 34 36 7 34 35 2 8 2 35 25 8 2 2 7 2 2 34 34 35 8 7 8 36 2 8 2 2 7 9 7 34 8 36 7 2 2 2 2 2 7 34 34 34 34 7 8 8 34 36 2 34 2 2 2 2 2 36 34 2 34 2 2 34 33 34 31 31 32 31 12 31 33 31 33 34 31 31 12 12 14 31 31 34 34 31 31 31 31 34 31 31 15 31 31 0 31 36 15 34 15 32 12 15 31 34 31 35 31 32 34 37 31 32 31 33 14 31 33 2 34 31 35 31 34 34 32 31 32 31 31 20 5 34 33 12 12 32 31 31 31 31 32 32 34 31 31 32 15 31 31 31 14 33 36 31 31 31 31 34 34 31 6 35 41 17 7 31 7 41 7 32 17 41 3 41 31 13 7 17 31 13 7 41 41 7 41 41 13 41 41 13 7 41 0 38 41 24 41 41 31 41 41 3 7 31 31 41 1 41 18 7 31 7 41 7 41 0 1 13 8 41 17 17 41 31 0 41 7 38 31 8 41 41 8 31 41 41 0 1 41 2 3 41 41 38 33 7 7 1 31 7 41 41 7 7 3 41 41 1 13 0 7 31 2 5 2 35 2 32 2 2 2 33 2 37 2 2 6 12 2 6 4 2 28 33 5 4 4 30 28 5 4 2 2 2 2 29 6 2 2 6 5 2 12 12 5 28 12 6 31 12 37 4 2 2 6 32 31 2 2 28 12 37 2 2 2 31 30 2 33 28 12 2 12 31 2 31 12 4 2 6 2 6 30 6 37 30 12 17 2 37 28 6 2 6 14 6 11 37 2 32 2 2"
3,4,-0.7536,0.9231,0.5650,-0.2593,0.2499,"41 42 1 0 35 6 5 1 41 34 42 42 42 13 6 7 42 5 41 42 5 41 4 2 42 4 5 7 7 1 5 42 37 42 42 13 42 6 2 42 41 42 37 41 37 4 6 7 4 41 1 37 42 8 42 41 42 42 13 0 7 13 37 42 42 41 41 42 7 42 37 7 41 42 6 42 6 42 2 41 2 42 1 42 41 4 5 4 41 0 6 42 37 41 41 42 42 13 42 19 2 2 34 7 35 34 8 7 2 19 27 8 34 2 2 34 7 7 9 7 25 2 34 2 2 25 25 11 8 2 34 8 8 25 2 2 34 34 36 7 34 35 2 8 2 35 25 8 2 2 7 2 2 34 34 35 8 7 8 36 2 8 2 2 7 9 7 34 8 36 7 2 2 2 2 2 7 34 34 34 34 7 8 8 34 36 2 34 2 2 2 2 2 36 34 2 34 2 2 34 33 34 31 31 32 31 12 31 33 31 33 34 31 31 12 12 14 31 31 34 34 31 31 31 31 34 31 31 15 31 31 0 31 36 15 34 15 32 12 15 31 34 31 35 31 32 34 37 31 32 31 33 14 31 33 2 34 31 35 31 34 34 32 31 32 31 31 20 5 34 33 12 12 32 31 31 31 31 32 32 34 31 31 32 15 31 31 31 14 33 36 31 31 31 31 34 34 31 6 35 41 17 7 31 7 41 7 32 17 41 3 41 31 13 7 17 31 13 7 41 41 7 41 41 13 41 41 13 7 41 0 38 41 24 41 41 31 41 41 3 7 31 31 41 1 41 18 7 31 7 41 7 41 0 1 13 8 41 17 17 41 31 0 41 7 38 31 8 41 41 8 31 41 41 0 1 41 2 3 41 41 38 33 7 7 1 31 7 41 41 7 7 3 41 41 1 13 0 7 31 2 5 2 35 2 32 2 2 2 33 2 37 2 2 6 12 2 6 4 2 28 33 5 4 4 30 28 5 4 2 2 2 2 29 6 2 2 6 5 2 12 12 5 28 12 6 31 12 37 4 2 2 6 32 31 2 2 28 12 37 2 2 2 31 30 2 33 28 12 2 12 31 2 31 12 4 2 6 2 6 30 6 37 30 12 17 2 37 28 6 2 6 14 6 11 37 2 32 2 2"
4,5,-0.7882,0.9565,0.5612,-0.2817,0.2125,"37 5 5 31 2 5 5 31 31 31 6 6 6 42 2 2 10 4 37 6 33 5 32 37 37 2 5 31 6 31 2 31 37 37 31 2 6 2 5 31 6 5 31 31 13 37 33 5 5 33 31 6 31 2 5 2 9 2 31 31 5 2 4 2 31 9 2 5 6 4 6 2 9 31 32 6 31 31 31 2 2 9 37 2 37 37 5 37 2 6 9 32 37 31 6 17 6 6 10 4 9 16 31 29 6 4 6 4 6 2 14 1 1 2 2 2 21 7 18 38 32 37 2 37 13 5 2 2 2 2 5 23 2 2 2 2 13 2 2 5 2 2 2 5 29 6 28 2 2 2 2 2 2 2 2 5 6 2 2 2 4 6 6 2 6 2 37 2 4 3 2 2 1 2 37 5 37 2 37 2 5 2 3 2 37 2 37 8 36 37 37 2 2 2 2 2 38 2 2 2 2 2 10 2 2 2 9 0 27 23 2 2 25 29 13 38 2 11 42 41 31 33 10 2 2 11 9 10 2 21 2 10 3 2 8 6 25 2 10 41 11 2 2 1 9 11 9 2 2 7 2 39 2 19 10 9 11 39 2 10 0 2 9 2 15 2 2 2 2 10 2 10 23 2 15 2 2 2 9 11 2 33 2 20 9 11 14 2 2 2 2 11 25 2 4 2 2 11 10 2 13 1 0 6 9 3 5 1 10 38 9 5 2 2 0 3 3 10 9 37 0 4 4 0 0 37 3 2 3 3 3 9 1 4 0 37 0 0 13 9 4 0 4 9 22 6 9 0 13 6 3 37 0 2 38 1 1 3 3 9 2 6 4 4 13 5 13 38 6 2 9 27 16 4 37 5 3 38 37 14 2 9 37 0 6 11 3 37 9 9 4 3 13 13 4 37 13 37 6 1 31 4 10 38 41 33 31 0 41 10 41 41 1 0 31 31 41 33 38 31 1 11 31 41 41 1 41 41 6 41 31 41 41 31 41 32 9 9 41 41 41 0 41 41 41 41 1 41 13 1 41 1 31 1 41 31 1 0 18 31 31 41 41 9 0 31 31 41 9 31 9 41 33 31 3 3 11 41 41 41 41 41 0 13 41 33 41 41 31 41 26 10 31 41 31 31 41 31 10 31"
5,5,-0.7456,0.9286,0.6099,-0.2730,0.2156,"37 5 5 31 2 5 5 31 31 31 6 6 6 42 2 2 10 4 37 6 33 5 32 37 37 2 5 31 6 31 2 31 37 37 31 2 6 2 5 31 6 5 31 31 13 37 33 5 5 33 31 6 31 2 5 2 9 2 31 31 5 2 4 2 31 9 2 5 6 4 6 2 9 31 32 6 31 31 31 2 2 9 37 2 37 37 5 37 2 6 9 32 37 31 6 17 6 6 10 4 9 16 31 29 6 4 6 4 6 2 14 1 1 2 2 2 21 7 18 38 32 37 2 37 13 5 2 2 2 2 5 23 2 2 2 2 13 2 2 5 2 2 2 5 29 6 28 2 2 2 2 2 2 2 2 5 6 2 2 2 4 6 6 2 6 2 37 2 4 3 2 2 1 2 37 5 37 2 37 2 5 2 3 2 37 2 37 8 36 37 37 2 2 2 2 2 38 2 2 2 2 2 10 2 2 2 9 0 27 23 2 2 25 29 13 38 2 11 42 41 31 33 10 2 2 11 9 10 2 21 2 10 3 2 8 6 25 2 10 41 11 2 2 1 9 11 9 2 2 7 2 39 2 19 10 9 11 39 2 10 0 2 9 2 15 2 2 2 2 10 2 10 23 2 15 2 2 2 9 11 2 33 2 20 9 11 14 2 2 2 2 11 25 2 4 2 2 11 10 2 13 1 0 6 9 3 5 1 10 38 9 5 2 2 0 3 3 10 9 37 0 4 4 0 0 37 3 2 3 3 3 9 1 4 0 37 0 0 13 9 4 0 4 9 22 6 9 0 13 6 3 37 0 2 38 1 1 3 3 9 2 6 4 4 13 5 13 38 6 2 9 27 16 4 37 5 3 38 37 14 2 9 37 0 6 11 3 37 9 9 4 3 13 13 4 37 13 37 6 1 31 4 10 38 41 33 31 0 41 10 41 41 1 0 31 31 41 33 38 31 1 11 31 41 41 1 41 41 6 41 31 41 41 31 41 32 9 9 41 41 41 0 41 41 41 41 1 41 13 1 41 1 31 1 41 31 1 0 18 31 31 41 41 9 0 31 31 41 9 31 9 41 33 31 3 3 11 41 41 41 41 41 0 13 41 33 41 41 31 41 26 10 31 41 31 31 41 31 10 31"
6,5,-0.7601,0.9565,0.6547,-0.2854,0.1925,"37 5 5 31 2 5 5 31 31 31 6 6 6 42 2 2 10 4 37 6 33 5 32 37 37 2 5 31 6 31 2 31 37 37 31 2 6 2 5 31 6 5 31 31 13 37 33 5 5 33 31 6 31 2 5 2 9 2 31 31 5 2 4 2 31 9 2 5 6 4 6 2 9 31 32 6 31 31 31 2 2 9 37 2 37 37 5 37 2 6 9 32 37 31 6 17 6 6 10 4 9 16 31 29 6 4 6 4 6 2 14 1 1 2 2 2 21 7 18 38 32 37 2 37 13 5 2 2 2 2 5 23 2 2 2 2 13 2 2 5 2 2 2 5 29 6 28 2 2 2 2 2 2 2 2 5 6 2 2 2 4 6 6 2 6 2 37 2 4 3 2 2 1 2 37 5 37 2 37 2 5 2 3 2 37 2 37 8 36 37 37 2 2 2 2 2 38 2 2 2 2 2 10 2 2 2 9 0 27 23 2 2 25 29 13 38 2 11 42 41 31 33 10 2 2 11 9 10 2 21 2 10 3 2 8 6 25 2 10 41 11 2 2 1 9 11 9 2 2 7 2 39 2 19 10 9 11 39 2 10 0 2 9 2 15 2 2 2 2 10 2 10 23 2 15 2 2 2 9 11 2 33 2 20 9 11 14 2 2 2 2 11 25 2 4 2 2 11 10 2 13 1 0 6 9 3 5 1 10 38 9 5 2 2 0 3 3 10 9 37 0 4 4 0 0 37 3 2 3 3 3 9 1 4 0 37 0 0 13 9 4 0 4 9 22 6 9 0 13 6 3 37 0 2 38 1 1 3 3 9 2 6 4 4 13 5 13 38 6 2 9 27 16 4 37 5 3 38 37 14 2 9 37 0 6 11 3 37 9 9 4 3 13 13 4 37 13 37 6 1 31 4 10 38 41 33 31 0 41 10 41 41 1 0 31 31 41 33 38 31 1 11 31 41 41 1 41 41 6 41 31 41 41 31 41 32 9 9 41 41 41 0 41 41 41 41 1 41 13 1 41 1 31 1 41 31 1 0 18 31 31 41 41 9 0 31 31 41 9 31 9 41 33 31 3 3 11 41 41 41 41 41 0 13 41 33 41 41 31 41 26 10 31 41 31 31 41 31 10 31"
7,5,-0.7602,0.9600,0.6661,-0.2897,0.1642,"37 5 5 31 2 5 5 31 31 31 6 6 6 42 2 2 10 4 37 6 33 5 32 37 37 2 5 31 6 31 2 31 37 37 31 2 6 2 5 31 6 5 31 31 13 37 33 5 5 33 31 6 31 2 5 2 9 2 31 31 5 2 4 2 31 9 2 5 6 4 6 2 9 31 32 6 31 31 31 2 2 9 37 2 37 37 5 37 2 6 9 32 37 31 6 17 6 6 10 4 9 16 31 29 6 4 6 4 6 2 14 1 1 2 2 2 21 7 18 38 32 37 2 37 13 5 2 2 2 2 5 23 2 2 2 2 13 2 2 5 2 2 2 5 29 6 28 2 2 2 2 2 2 2 2 5 6 2 2 2 4 6 6 2 6 2 37 2 4 3 2 2 1 2 37 5 37 2 37 2 5 2 3 2 37 2 37 8 36 37 37 2 2 2 2 2 38 2 2 2 2 2 10 2 2 2 9 0 27 23 2 2 25 29 13 38 2 11 42 41 31 33 10 2 2 11 9 10 2 21 2 10 3 2 8 6 25 2 10 41 11 2 2 1 9 11 9 2 2 7 2 39 2 19 10 9 11 39 2 10 0 2 9 2 15 2 2 2 2 10 2 10 23 2 15 2 2 2 9 11 2 33 2 20 9 11 14 2 2 2 2 11 25 2 4 2 2 11 10 2 13 1 0 6 9 3 5 1 10 38 9 5 2 2 0 3 3 10 9 37 0 4 4 0 0 37 3 2 3 3 3 9 1 4 0 37 0 0 13 9 4 0 4 9 22 6 9 0 13 6 3 37 0 2 38 1 1 3 3 9 2 6 4 4 13 5 13 38 6 2 9 27 16 4 37 5 3 38 37 14 2 9 37 0 6 11 3 37 9 9 4 3 13 13 4 37 13 37 6 1 31 4 10 38 41 33 31 0 41 10 41 41 1 0 31 31 41 33 38 31 1 11 31 41 41 1 41 41 6 41 31 41 41 31 41 32 9 9 41 41 41 0 41 41 41 41 1 41 13 1 41 1 31 1 41 31 1 0 18 31 31 41 41 9 0 31 31 41 9 31 9 41 33 31 3 3 11 41 41 41 41 41 0 13 41 33 41 41 31 41 26 10 31 41 31 31 41 31 10 31"
8,5,-0.7570,0.9615,0.6819,-0.2952,0.1908,"37 5 5 31 2 5 5 31 31 31 6 6 6 42 2 2 10 4 37 6 33 5 32 37 37 2 5 31 6 31 2 31 37 37 31 2 6 2 5 31 6 5 31 31 13 37 33 5 5 33 31 6 31 2 5 2 9 2 31 31 5 2 4 2 31 9 2 5 6 4 6 2 9 31 32 6 31 31 31 2 2 9 37 2 37 37 5 37 2 6 9 32 37 31 6 17 6 6 10 4 9 16 31 29 6 4 6 4 6 2 14 1 1 2 2 2 21 7 18 38 32 37 2 37 13 5 2 2 2 2 5 23 2 2 2 2 13 2 2 5 2 2 2 5 29 6 28 2 2 2 2 2 2 2 2 5 6 2 2 2 4 6 6 2 6 2 37 2 4 3 2 2 1 2 37 5 37 2 37 2 5 2 3 2 37 2 37 8 36 37 37 2 2 2 2 2 38 2 2 2 2 2 10 2 2 2 9 0 27 23 2 2 25 29 13 38 2 11 42 41 31 33 10 2 2 11 9 10 2 21 2 10 3 2 8 6 25 2 10 41 11 2 2 1 9 11 9 2 2 7 2 39 2 19 10 9 11 39 2 10 0 2 9 2 15 2 2 2 2 10 2 10 23 2 15 2 2 2 9 11 2 33 2 20 9 11 14 2 2 2 2 11 25 2 4 2 2 11 10 2 13 1 0 6 9 3 5 1 10 38 9 5 2 2 0 3 3 10 9 37 0 4 4 0 0 37 3 2 3 3 3 9 1 4 0 37 0 0 13 9 4 0 4 9 22 6 9 0 13 6 3 37 0 2 38 1 1 3 3 9 2 6 4 4 13 5 13 38 6 2 9 27 16 4 37 5 3 38 37 14 2 9 37 0 6 11 3 37 9 9 4 3 13 13 4 37 13 37 6 1 31 4 10 38 41 33 31 0 41 10 41 41 1 0 31 31 41 33 38 31 1 11 31 41 41 1 41 41 6 41 31 41 41 31 41 32 9 9 41 41 41 0 41 41 41 41 1 41 13 1 41 1 31 1 41 31 1 0 18 31 31 41 41 9 0 31 31 41 9 31 9 41 33 31 3 3 11 41 41 41 41 41 0 13 41 33 41 41 31 41 26 10 31 41 31 31 41 31 10 31"
9,5,-0.7622,0.9231,0.5362,-0.3028,0.1777,"37 5 5 31 2 5 5 31 31 31 6 6 6 42 2 2 10 4 37 6 33 5 32 37 37 2 5 31 6 31 2 31 37 37 31 2 6 2 5 31 6 5 31 31 13 37 33 5 5 33 31 6 31 2 5 2 9 2 31 31 5 2 4 2 31 9 2 5 6 4 6 2 9 31 32 6 31 31 31 2 2 9 37 2 37 37 5 37 2 6 9 32 37 31 6 17 6 6 10 4 9 16 31 29 6 4 6 4 6 2 14 1 1 2 2 2 21 7 18 38 32 37 2 37 13 5 2 2 2 2 5 23 2 2 2 2 13 2 2 5 2 2 2 5 29 6 28 2 2 2 2 2 2 2 2 5 6 2 2 2 4 6 6 2 6 2 37 2 4 3 2 2 1 2 37 5 37 2 37 2 5 2 3 2 37 2 37 8 36 37 37 2 2 2 2 2 38 2 2 2 2 2 10 2 2 2 9 0 27 23 2 2 25 29 13 38 2 11 42 41 31 33 10 2 2 11 9 10 2 21 2 10 3 2 8 6 25 2 10 41 11 2 2 1 9 11 9 2 2 7 2 39 2 19 10 9 11 39 2 10 0 2 9 2 15 2 2 2 2 10 2 10 23 2 15 2 2 2 9 11 2 33 2 20 9 11 14 2 2 2 2 11 25 2 4 2 2 11 10 2 13 1 0 6 9 3 5 1 10 38 9 5 2 2 0 3 3 10 9 37 0 4 4 0 0 37 3 2 3 3 3 9 1 4 0 37 0 0 13 9 4 0 4 9 22 6 9 0 13 6 3 37 0 2 38 1 1 3 3 9 2 6 4 4 13 5 13 38 6 2 9 27 16 4 37 5 3 38 37 14 2 9 37 0 6 11 3 37 9 9 4 3 13 13 4 37 13 37 6 1 31 4 10 38 41 33 31 0 41 10 41 41 1 0 31 31 41 33 38 31 1 11 31 41 41 1 41 41 6 41 31 41 41 31 41 32 9 9 41 41 41 0 41 41 41 41 1 41 13 1 41 1 31 1 41 31 1 0 18 31 31 41 41 9 0 31 31 41 9 31 9 41 33 31 3 3 11 41 41 41 41 41 0 13 41 33 41 41 31 41 26 10 31 41 31 31 41 31 10 31"
