# seed=54
# instance=LINEAR
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.7236,1.0000,0.9213,-0.3241,0.0903,"39 26 6 2 11 9 36 20 35 21 20 21 25 25 36 23 8 22 31 6 4 33 19 16 18 38 30 16 24 23 39 5 7 9 31 30 16 38 20 29 9 20 13 30 7 41 29 6 17 26 35 9 0 16 4 40 34 30 0 33 34 36 13 9 31 13 6 11 28 36 31 24 39 39 7 34 20 3 42 4 20 39 12 15 2 41 37 12 41 14 37 6 4 32 31 21 10 4 11 20 24 28 42 1 34 15 2 27 29 28 4 3 13 10 16 10 10 9 24 4 21 0 17 40 17 7 22 2 22 40 9 35 23 10 8 26 36 28 2 3 29 5 13 12 24 26 29 29 42 38 37 12 0 18 12 13 9 17 5 4 2 37 14 41 16 35 7 9 16 14 40 42 41 28 18 20 37 29 2 10 4 33 16 20 21 28 4 28 31 24 12 18 35 7 37 1 27 38 6 25 27 10 4 26 21 0 27 36 15 4 9 18 16 29 27 22 26 0 22 14 24 39 1 36 7 11 26 35 17 9 7 39 3 25 0 10 13 34 38 32 30 19 14 30 18 23 3 24 10 22 26 5 15 3 35 28 16 5 23 13 37 0 20 3 29 4 15 19 34 19 42 13 31 20 36 32 15 27 1 8 35 30 8 41 5 13 24 14 23 13 7 6 4 7 0 10 19 14 34 28 22 6 21 36 30 35 27 1 20 11 14 6 31 33 40 18 38 8 20 2 41 26 28 9 17 9 36 29 21 9 38 9 32 31 39 7 1 18 30 10 36 28 29 21 31 39 14 42 31 34 35 33 21 34 15 11 34 27 9 20 23 24 27 39 38 33 24 8 38 19 7 10 17 24 11 33 21 25 5 36 11 8 28 20 2 25 35 6 38 6 0 36 0 16 0 40 38 12 12 30 8 9 42 26 10 8 40 29 37 2 0 4 22 31 4 15 29 19 19 41 29 24 1 26 26 9 19 11 4 31 17 36 31 1 18 39 17 33 26 19 29 13 2 13 35 3 18 6 19 25 19 29 30 27 13 8 6 0 41 21 10 6 9 30 3 30 1 21 25 28 13 32 31 30 37 15 37 23 11 10 8 36 33 14 37 28 3 31 33 36 5 12 42 28 38 31 34 21 1 29"
1,2,-0.8734,1.0000,0.4219,-0.3735,0.0760,"7 1 41 1 41 7 7 8 8 7 0 39 3 8 3 8 7 39 7 39 7 41 7 7 1 1 8 41 27 3 41 39 41 7 7 41 8 41 41 0 7 41 8 8 39 3 39 7 7 7 8 7 41 7 39 39 36 41 7 7 13 7 7 39 8 21 7 7 21 38 7 19 7 41 7 37 7 38 8 7 7 0 7 41 38 42 7 7 7 41 41 8 8 7 41 7 39 41 8 8 25 25 25 26 25 16 25 25 2 25 25 26 26 25 5 25 26 25 27 25 25 37 26 25 25 25 25 26 5 26 26 25 25 25 25 26 25 26 25 25 25 25 25 26 26 25 25 25 25 25 25 6 27 25 25 25 26 27 25 25 10 25 27 25 26 27 4 25 25 25 25 26 25 25 25 25 27 25 27 27 27 26 25 27 9 25 25 25 25 25 27 25 17 27 42 25 25 25 25 25 19 34 19 19 20 20 19 34 13 19 3 19 19 36 13 13 19 34 12 19 19 36 20 19 12 19 19 19 19 19 19 19 34 19 19 20 19 19 19 20 1 20 36 19 19 19 19 34 20 1 19 19 19 19 34 1 34 12 19 21 19 36 17 19 19 19 19 3 0 19 19 20 12 20 36 1 19 34 34 34 34 19 34 19 20 19 34 19 19 12 42 19 17 20 19 36 34 19 34 19 16 34 6 34 7 34 8 34 35 35 35 34 16 12 36 34 34 16 34 41 9 36 34 34 7 12 36 16 35 34 34 34 34 34 35 34 36 34 35 8 36 35 7 34 16 34 36 34 34 34 12 34 7 8 36 8 34 12 18 34 36 34 34 8 34 12 35 34 7 12 36 34 26 34 16 34 34 12 16 34 35 25 16 16 7 34 35 35 34 16 32 12 16 35 34 3 35 12 16 35 9 9 9 17 9 9 19 38 1 11 10 10 9 11 9 35 9 19 13 1 11 1 9 9 9 9 12 9 10 19 1 9 9 9 9 15 36 9 11 3 17 17 14 9 1 38 3 35 9 9 11 9 17 15 9 13 9 9 3 9 17 9 17 3 9 9 3 3 0 9 1 19 9 9 9 10 9 9 9 9 3 11 10 9 14 10 19 1 15 17 10 9 11 11 9 17 19 9 9 9"
2,2,-0.8656,1.0000,0.4480,-0.4077,0.1175,"7 1 41 1 41 7 7 8 8 7 0 39 3 8 3 8 7 39 7 39 7 41 7 7 1 1 8 41 27 3 41 39 41 7 7 41 8 41 41 0 7 41 8 8 39 3 39 7 7 7 8 7 41 7 39 39 36 41 7 7 13 7 7 39 8 21 7 7 21 38 7 19 7 41 7 37 7 38 8 7 7 0 7 41 38 42 7 7 7 41 41 8 8 7 41 7 39 41 8 8 25 25 25 26 25 16 25 25 2 25 25 26 26 25 5 25 26 25 27 25 25 37 26 25 25 25 25 26 5 26 26 25 25 25 25 26 25 26 25 25 25 25 25 26 26 25 25 25 25 25 25 6 27 25 25 25 26 27 25 25 10 25 27 25 26 27 4 25 25 25 25 26 25 25 25 25 27 25 27 27 27 26 25 27 9 25 25 25 25 25 27 25 17 27 42 25 25 25 25 25 19 34 19 19 20 20 19 34 13 19 3 19 19 36 13 13 19 34 12 19 19 36 20 19 12 19 19 19 19 19 19 19 34 19 19 20 19 19 19 20 1 20 36 19 19 19 19 34 20 1 19 19 19 19 34 1 34 12 19 21 19 36 17 19 19 19 19 3 0 19 19 20 12 20 36 1 19 34 34 34 34 19 34 19 20 19 34 19 19 12 42 19 17 20 19 36 34 19 34 19 16 34 6 34 7 34 8 34 35 35 35 34 16 12 36 34 34 16 34 41 9 36 34 34 7 12 36 16 35 34 34 34 34 34 35 34 36 34 35 8 36 35 7 34 16 34 36 34 34 34 12 34 7 8 36 8 34 12 18 34 36 34 34 8 34 12 35 34 7 12 36 34 26 34 16 34 34 12 16 34 35 25 16 16 7 34 35 35 34 16 32 12 16 35 34 3 35 12 16 35 9 9 9 17 9 9 19 38 1 11 10 10 9 11 9 35 9 19 13 1 11 1 9 9 9 9 12 9 10 19 1 9 9 9 9 15 36 9 11 3 17 17 14 9 1 38 3 35 9 9 11 9 17 15 9 13 9 9 3 9 17 9 17 3 9 9 3 3 0 9 1 19 9 9 9 10 9 9 9 9 3 11 10 9 14 10 19 1 15 17 10 9 11 11 9 17 19 9 9 9"
3,3,-0.8897,1.0000,0.3676,-0.4365,-0.0041,"13 1 12 9 9 9 9 1 10 12 9 13 1 9 42 42 3 10 9 38 11 13 10 10 0 12 11 12 38 10 30 9 1 42 13 9 3 38 13 9 12 0 38 9 39 9 9 9 9 9 5 1 9 30 38 1 1 3 9 9 9 38 9 12 13 38 13 38 0 9 9 12 9 38 13 9 10 38 38 11 9 9 9 28 9 12 11 28 9 9 28 0 13 13 10 13 13 1 12 1 11 38 0 6 16 3 5 8 41 10 9 5 9 11 10 3 9 9 11 37 11 11 4 9 14 9 3 2 3 3 9 9 9 9 11 9 9 9 9 9 9 11 4 9 9 6 14 9 9 6 9 9 10 2 9 9 34 41 3 6 10 9 4 9 27 5 9 11 9 9 9 10 12 9 10 9 11 31 9 9 10 40 9 9 6 9 9 37 9 11 4 10 14 9 9 37 9 37 10 9 42 15 42 19 12 2 42 42 42 42 42 16 5 42 42 42 42 12 42 42 42 12 12 42 42 15 2 12 14 42 42 16 42 16 16 37 15 4 16 16 12 16 42 42 42 42 42 16 2 42 42 42 15 12 17 42 16 12 12 42 42 42 42 2 12 42 37 16 12 37 12 12 42 42 15 42 42 16 37 42 12 42 42 42 42 12 15 12 19 2 42 42 42 42 42 42 14 42 16 42 38 9 9 41 41 41 1 41 41 3 41 9 33 41 9 38 41 11 41 1 9 17 41 41 41 0 3 41 10 1 0 10 3 3 11 38 13 41 41 9 7 41 42 9 7 3 41 9 0 17 34 41 11 10 9 41 36 41 1 9 18 41 38 11 11 13 41 41 18 11 3 17 9 17 7 36 41 9 3 41 13 41 9 41 9 41 9 38 9 9 32 3 38 9 41 41 41 17 41 41 11 10 9 10 9 3 4 12 9 9 9 1 9 9 9 9 38 11 9 11 11 9 10 11 12 11 10 11 10 9 11 9 10 9 11 9 38 12 19 9 9 10 9 9 9 11 42 3 12 9 13 9 9 9 9 9 11 9 9 9 9 11 9 9 9 9 11 9 11 11 9 13 9 9 10 0 25 9 13 13 9 3 12 11 9 9 11 0 9 9 11 12 11 9 1 9 9 11 9 10"
4,4,-0.8902,1.0000,0.3659,-0.4442,0.0264,"13 1 12 9 9 9 9 1 10 12 9 13 1 9 42 42 3 10 9 38 11 13 10 10 0 12 11 12 38 10 30 9 1 42 13 9 3 38 13 9 12 0 38 9 39 9 9 9 9 9 5 1 9 30 38 1 1 3 9 9 9 38 9 12 13 38 13 38 0 9 9 12 9 38 13 9 10 38 38 11 9 9 9 28 9 12 11 28 9 9 28 0 13 13 10 13 13 1 12 1 11 38 0 6 16 3 5 8 41 10 9 5 9 11 10 3 9 9 11 37 11 11 4 9 14 9 3 2 3 3 9 9 9 9 11 9 9 9 9 9 9 11 4 9 9 6 14 9 9 6 9 9 10 2 9 9 34 41 3 6 10 9 4 9 27 5 9 11 9 9 9 10 12 9 10 9 11 31 9 9 10 40 9 9 6 9 9 37 9 11 4 10 14 9 9 37 9 37 10 9 42 15 42 19 12 2 42 42 42 42 42 16 5 42 42 42 42 12 42 42 42 12 12 42 42 15 2 12 14 42 42 16 42 16 16 37 15 4 16 16 12 16 42 42 42 42 42 16 2 42 42 42 15 12 17 42 16 12 12 42 42 42 42 2 12 42 37 16 12 37 12 12 42 42 15 42 42 16 37 42 12 42 42 42 42 12 15 12 19 2 42 42 42 42 42 42 14 42 16 42 38 9 9 41 41 41 1 41 41 3 41 9 33 41 9 38 41 11 41 1 9 17 41 41 41 0 3 41 10 1 0 10 3 3 11 38 13 41 41 9 7 41 42 9 7 3 41 9 0 17 34 41 11 10 9 41 36 41 1 9 18 41 38 11 11 13 41 41 18 11 3 17 9 17 7 36 41 9 3 41 13 41 9 41 9 41 9 38 9 9 32 3 38 9 41 41 41 17 41 41 11 10 9 10 9 3 4 12 9 9 9 1 9 9 9 9 38 11 9 11 11 9 10 11 12 11 10 11 10 9 11 9 10 9 11 9 38 12 19 9 9 10 9 9 9 11 42 3 12 9 13 9 9 9 9 9 11 9 9 9 9 11 9 9 9 9 11 9 11 11 9 13 9 9 10 0 25 9 13 13 9 3 12 11 9 9 11 0 9 9 11 12 11 9 1 9 9 11 9 10"
5,4,-0.8881,1.0000,0.3730,-0.4418,0.1342,"13 1 12 9 9 9 9 1 10 12 9 13 1 9 42 42 3 10 9 38 11 13 10 10 0 12 11 12 38 10 30 9 1 42 13 9 3 38 13 9 12 0 38 9 39 9 9 9 9 9 5 1 9 30 38 1 1 3 9 9 9 38 9 12 13 38 13 38 0 9 9 12 9 38 13 9 10 38 38 11 9 9 9 28 9 12 11 28 9 9 28 0 13 13 10 13 13 1 12 1 11 38 0 6 16 3 5 8 41 10 9 5 9 11 10 3 9 9 11 37 11 11 4 9 14 9 3 2 3 3 9 9 9 9 11 9 9 9 9 9 9 11 4 9 9 6 14 9 9 6 9 9 10 2 9 9 34 41 3 6 10 9 4 9 27 5 9 11 9 9 9 10 12 9 10 9 11 31 9 9 10 40 9 9 6 9 9 37 9 11 4 10 14 9 9 37 9 37 10 9 42 15 42 19 12 2 42 42 42 42 42 16 5 42 42 42 42 12 42 42 42 12 12 42 42 15 2 12 14 42 42 16 42 16 16 37 15 4 16 16 12 16 42 42 42 42 42 16 2 42 42 42 15 12 17 42 16 12 12 42 42 42 42 2 12 42 37 16 12 37 12 12 42 42 15 42 42 16 37 42 12 42 42 42 42 12 15 12 19 2 42 42 42 42 42 42 14 42 16 42 38 9 9 41 41 41 1 41 41 3 41 9 33 41 9 38 41 11 41 1 9 17 41 41 41 0 3 41 10 1 0 10 3 3 11 38 13 41 41 9 7 41 42 9 7 3 41 9 0 17 34 41 11 10 9 41 36 41 1 9 18 41 38 11 11 13 41 41 18 11 3 17 9 17 7 36 41 9 3 41 13 41 9 41 9 41 9 38 9 9 32 3 38 9 41 41 41 17 41 41 11 10 9 10 9 3 4 12 9 9 9 1 9 9 9 9 38 11 9 11 11 9 10 11 12 11 10 11 10 9 11 9 10 9 11 9 38 12 19 9 9 10 9 9 9 11 42 3 12 9 13 9 9 9 9 9 11 9 9 9 9 11 9 9 9 9 11 9 11 11 9 13 9 9 10 0 25 9 13 13 9 3 12 11 9 9 11 0 9 9 11 12 11 9 1 9 9 11 9 10"
6,5,-0.8928,1.0000,0.3575,-0.4453,0.0701,"13 1 12 9 9 9 9 1 10 12 9 13 1 9 42 42 3 10 9 38 11 13 10 10 0 12 11 12 38 10 30 9 1 42 13 9 3 38 13 9 12 0 38 9 39 9 9 9 9 9 5 1 9 30 38 1 1 3 9 9 9 38 9 12 13 38 13 38 0 9 9 12 9 38 13 9 10 38 38 11 9 9 9 28 9 12 11 28 9 9 28 0 13 13 10 13 13 1 12 1 11 38 0 6 16 3 5 8 41 10 9 5 9 11 10 3 9 9 11 37 11 11 4 9 14 9 3 2 3 3 9 9 9 9 11 9 9 9 9 9 9 11 4 9 9 6 14 9 9 6 9 9 10 2 9 9 34 41 3 6 10 9 4 9 27 5 9 11 9 9 9 10 12 9 10 9 11 31 9 9 10 40 9 9 6 9 9 37 9 11 4 10 14 9 9 37 9 37 10 9 42 15 42 19 12 2 42 42 42 42 42 16 5 42 42 42 42 12 42 42 42 12 12 42 42 15 2 12 14 42 42 16 42 16 16 37 15 4 16 16 12 16 42 42 42 42 42 16 2 42 42 42 15 12 17 42 16 12 12 42 42 42 42 2 12 42 37 16 12 37 12 12 42 42 15 42 42 16 37 42 12 42 42 42 42 12 15 12 19 2 42 42 42 42 42 42 14 42 16 42 38 9 9 41 41 41 1 41 41 3 41 9 33 41 9 38 41 11 41 1 9 17 41 41 41 0 3 41 10 1 0 10 3 3 11 38 13 41 41 9 7 41 42 9 7 3 41 9 0 17 34 41 11 10 9 41 36 41 1 9 18 41 38 11 11 13 41 41 18 11 3 17 9 17 7 36 41 9 3 41 13 41 9 41 9 41 9 38 9 9 32 3 38 9 41 41 41 17 41 41 11 10 9 10 9 3 4 12 9 9 9 1 9 9 9 9 38 11 9 11 11 9 10 11 12 11 10 11 10 9 11 9 10 9 11 9 38 12 19 9 9 10 9 9 9 11 42 3 12 9 13 9 9 9 9 9 11 9 9 9 9 11 9 9 9 9 11 9 11 11 9 13 9 9 10 0 25 9 13 13 9 3 12 11 9 9 11 0 9 9 11 12 11 9 1 9 9 11 9 10"
7,5,-0.8623,1.0000,0.4590,-0.4536,0.1127,"13 1 12 9 9 9 9 1 10 12 9 13 1 9 42 42 3 10 9 38 11 13 10 10 0 12 11 12 38 10 30 9 1 42 13 9 3 38 13 9 12 0 38 9 39 9 9 9 9 9 5 1 9 30 38 1 1 3 9 9 9 38 9 12 13 38 13 38 0 9 9 12 9 38 13 9 10 38 38 11 9 9 9 28 9 12 11 28 9 9 28 0 13 13 10 13 13 1 12 1 11 38 0 6 16 3 5 8 41 10 9 5 9 11 10 3 9 9 11 37 11 11 4 9 14 9 3 2 3 3 9 9 9 9 11 9 9 9 9 9 9 11 4 9 9 6 14 9 9 6 9 9 10 2 9 9 34 41 3 6 10 9 4 9 27 5 9 11 9 9 9 10 12 9 10 9 11 31 9 9 10 40 9 9 6 9 9 37 9 11 4 10 14 9 9 37 9 37 10 9 42 15 42 19 12 2 42 42 42 42 42 16 5 42 42 42 42 12 42 42 42 12 12 42 42 15 2 12 14 42 42 16 42 16 16 37 15 4 16 16 12 16 42 42 42 42 42 16 2 42 42 42 15 12 17 42 16 12 12 42 42 42 42 2 12 42 37 16 12 37 12 12 42 42 15 42 42 16 37 42 12 42 42 42 42 12 15 12 19 2 42 42 42 42 42 42 14 42 16 42 38 9 9 41 41 41 1 41 41 3 41 9 33 41 9 38 41 11 41 1 9 17 41 41 41 0 3 41 10 1 0 10 3 3 11 38 13 41 41 9 7 41 42 9 7 3 41 9 0 17 34 41 11 10 9 41 36 41 1 9 18 41 38 11 11 13 41 41 18 11 3 17 9 17 7 36 41 9 3 41 13 41 9 41 9 41 9 38 9 9 32 3 38 9 41 41 41 17 41 41 11 10 9 10 9 3 4 12 9 9 9 1 9 9 9 9 38 11 9 11 11 9 10 11 12 11 10 11 10 9 11 9 10 9 11 9 38 12 19 9 9 10 9 9 9 11 42 3 12 9 13 9 9 9 9 9 11 9 9 9 9 11 9 9 9 9 11 9 11 11 9 13 9 9 10 0 25 9 13 13 9 3 12 11 9 9 11 0 9 9 11 12 11 9 1 9 9 11 9 10"
8,5,-0.8846,1.0000,0.3846,-0.4552,0.0444,"13 1 12 9 9 9 9 1 10 12 9 13 1 9 42 42 3 10 9 38 11 13 10 10 0 12 11 12 38 10 30 9 1 42 13 9 3 38 13 9 12 0 38 9 39 9 9 9 9 9 5 1 9 30 38 1 1 3 9 9 9 38 9 12 13 38 13 38 0 9 9 12 9 38 13 9 10 38 38 11 9 9 9 28 9 12 11 28 9 9 28 0 13 13 10 13 13 1 12 1 11 38 0 6 16 3 5 8 41 10 9 5 9 11 10 3 9 9 11 37 11 11 4 9 14 9 3 2 3 3 9 9 9 9 11 9 9 9 9 9 9 11 4 9 9 6 14 9 9 6 9 9 10 2 9 9 34 41 3 6 10 9 4 9 27 5 9 11 9 9 9 10 12 9 10 9 11 31 9 9 10 40 9 9 6 9 9 37 9 11 4 10 14 9 9 37 9 37 10 9 42 15 42 19 12 2 42 42 42 42 42 16 5 42 42 42 42 12 42 42 42 12 12 42 42 15 2 12 14 42 42 16 42 16 16 37 15 4 16 16 12 16 42 42 42 42 42 16 2 42 42 42 15 12 17 42 16 12 12 42 42 42 42 2 12 42 37 16 12 37 12 12 42 42 15 42 42 16 37 42 12 42 42 42 42 12 15 12 19 2 42 42 42 42 42 42 14 42 16 42 38 9 9 41 41 41 1 41 41 3 41 9 33 41 9 38 41 11 41 1 9 17 41 41 41 0 3 41 10 1 0 10 3 3 11 38 13 41 41 9 7 41 42 9 7 3 41 9 0 17 34 41 11 10 9 41 36 41 1 9 18 41 38 11 11 13 41 41 18 11 3 17 9 17 7 36 41 9 3 41 13 41 9 41 9 41 9 38 9 9 32 3 38 9 41 41 41 17 41 41 11 10 9 10 9 3 4 12 9 9 9 1 9 9 9 9 38 11 9 11 11 9 10 11 12 11 10 11 10 9 11 9 10 9 11 9 38 12 19 9 9 10 9 9 9 11 42 3 12 9 13 9 9 9 9 9 11 9 9 9 9 11 9 9 9 9 11 9 11 11 9 13 9 9 10 0 25 9 13 13 9 3 12 11 9 9 11 0 9 9 11 12 11 9 1 9 9 11 9 10"
9,5,-0.8626,1.0000,0.4580,-0.4608,0.0504,"13 1 12 9 9 9 9 1 10 12 9 13 1 9 42 42 3 10 9 38 11 13 10 10 0 12 11 12 38 10 30 9 1 42 13 9 3 38 13 9 12 0 38 9 39 9 9 9 9 9 5 1 9 30 38 1 1 3 9 9 9 38 9 12 13 38 13 38 0 9 9 12 9 38 13 9 10 38 38 11 9 9 9 28 9 12 11 28 9 9 28 0 13 13 10 13 13 1 12 1 11 38 0 6 16 3 5 8 41 10 9 5 9 11 10 3 9 9 11 37 11 11 4 9 14 9 3 2 3 3 9 9 9 9 11 9 9 9 9 9 9 11 4 9 9 6 14 9 9 6 9 9 10 2 9 9 34 41 3 6 10 9 4 9 27 5 9 11 9 9 9 10 12 9 10 9 11 31 9 9 10 40 9 9 6 9 9 37 9 11 4 10 14 9 9 37 9 37 10 9 42 15 42 19 12 2 42 42 42 42 42 16 5 42 42 42 42 12 42 42 42 12 12 42 42 15 2 12 14 42 42 16 42 16 16 37 15 4 16 16 12 16 42 42 42 42 42 16 2 42 42 42 15 12 17 42 16 12 12 42 42 42 42 2 12 42 37 16 12 37 12 12 42 42 15 42 42 16 37 42 12 42 42 42 42 12 15 12 19 2 42 42 42 42 42 42 14 42 16 42 38 9 9 41 41 41 1 41 41 3 41 9 33 41 9 38 41 11 41 1 9 17 41 41 41 0 3 41 10 1 0 10 3 3 11 38 13 41 41 9 7 41 42 9 7 3 41 9 0 17 34 41 11 10 9 41 36 41 1 9 18 41 38 11 11 13 41 41 18 11 3 17 9 17 7 36 41 9 3 41 13 41 9 41 9 41 9 38 9 9 32 3 38 9 41 41 41 17 41 41 11 10 9 10 9 3 4 12 9 9 9 1 9 9 9 9 38 11 9 11 11 9 10 11 12 11 10 11 10 9 11 9 10 9 11 9 38 12 19 9 9 10 9 9 9 11 42 3 12 9 13 9 9 9 9 9 11 9 9 9 9 11 9 9 9 9 11 9 11 11 9 13 9 9 10 0 25 9 13 13 9 3 12 11 9 9 11 0 9 9 11 12 11 9 1 9 9 11 9 10"
