rank,fitness,winrate,genome
1,-0.7771,1.0000,"12 37 26 12 25 25 4 25 25 2 25 4 5 5 25 25 27 26 2 4 4 26 25 5 2 5 25 25 37 25 25 27 2 25 2 12 37 25 37 27 25 4 12 25 37 25 4 2 12 25 25 2 6 25 2 25 25 12 25 25 4 25 25 25 6 25 25 25 37 25 4 37 12 2 26 25 4 25 37 12 25 25 12 25 25 25 24 4 5 12 4 12 5 12 26 12 5 25 25 2 9 9 28 9 9 9 9 28 9 9 9 9 9 28 28 9 9 9 9 28 9 9 28 9 0 28 28 9 9 9 9 9 9 9 28 11 9 9 9 10 9 28 28 9 28 9 9 9 9 9 9 9 9 9 9 11 9 9 9 9 28 28 9 10 28 9 9 9 28 9 9 11 28 9 9 9 30 9 9 9 9 9 9 9 9 28 9 9 9 9 9 9 9 9 9 9 9 9 9 9 2 39 12 41 41 39 39 2 2 39 16 2 39 2 39 2 37 41 39 39 41 2 16 41 39 16 12 13 21 39 2 39 12 2 12 39 12 16 2 2 2 12 12 2 39 0 39 2 41 12 39 39 2 39 39 2 16 2 12 41 12 12 37 39 2 12 12 39 16 39 39 41 16 0 2 12 2 39 39 21 39 2 39 2 39 16 16 41 2 39 16 2 2 39 4 16 2 16 4 39 9 9 9 9 9 9 9 9 17 17 11 9 9 9 9 17 17 10 9 17 9 9 9 9 17 9 9 11 9 11 9 9 9 9 9 17 9 17 9 10 9 9 9 9 9 9 9 17 9 11 12 9 9 9 25 12 9 9 17 9 12 17 11 10 9 25 9 17 11 17 9 17 9 17 9 12 9 9 9 11 9 9 11 9 9 9 9 9 9 9 9 9 9 9 9 10 9 9 9 9 17 13 0 9 9 0 19 25 19 25 9 17 17 19 9 9 19 9 17 1 38 0 13 1 3 19 15 17 19 1 19 19 17 25 14 25 1 3 15 0 19 9 17 15 25 38 17 17 9 1 17 19 38 19 19 19 38 19 9 1 19 17 3 38 11 19 17 3 9 19 19 0 15 38 0 17 1 9 9 9 19 13 1 17 9 25 0 14 38 17 0 9 0 1 9 0 13 19 17 17"
2,-0.7462,1.0000,"25 25 16 16 40 16 16 25 12 40 16 25 25 2 12 16 25 6 16 25 2 40 5 40 12 16 40 25 16 25 2 12 12 25 25 12 12 25 26 25 12 16 16 25 2 16 40 25 12 2 25 25 16 16 16 25 25 25 16 2 12 25 25 12 16 40 2 12 16 2 40 12 40 16 12 25 25 42 25 16 25 12 40 25 40 2 25 16 2 16 12 40 25 12 40 16 2 16 25 12 40 12 3 23 40 0 21 39 40 40 21 40 40 39 21 40 39 40 40 40 3 0 40 0 22 40 40 40 39 40 40 40 0 40 3 12 0 40 17 39 39 39 40 40 39 0 3 21 22 40 21 40 40 0 39 40 39 21 40 40 0 40 3 40 39 0 40 39 40 39 39 39 39 39 21 21 3 40 39 3 21 39 3 39 40 3 39 3 40 39 40 21 39 40 39 40 40 39 21 39 31 9 31 6 31 12 6 5 37 31 2 4 31 31 31 31 31 6 31 31 2 6 6 6 9 31 31 5 31 31 9 31 31 31 2 9 9 37 2 31 31 9 31 12 31 31 31 31 4 31 31 11 31 31 9 31 5 6 9 2 9 4 6 12 31 9 31 2 6 31 31 10 31 4 32 12 31 6 31 31 5 10 6 41 9 4 31 31 31 9 37 33 12 31 11 37 33 31 9 31 12 0 12 12 12 12 12 12 12 12 34 34 12 12 12 34 13 3 12 12 12 12 12 12 12 21 2 34 36 12 34 12 34 12 34 12 12 12 12 34 21 34 34 12 34 12 12 12 36 12 12 12 12 12 34 12 12 12 12 12 12 12 34 12 2 12 12 12 12 12 34 12 34 12 34 21 12 12 12 12 12 34 34 34 21 22 34 22 34 12 12 12 12 12 12 12 12 12 21 12 31 33 31 31 31 33 31 31 31 32 31 31 32 31 31 31 3 31 31 17 31 31 1 17 33 31 31 31 17 31 17 31 17 31 31 31 31 33 31 31 0 32 17 7 31 31 17 33 31 0 31 31 31 31 0 0 17 31 31 31 17 31 32 3 7 32 33 31 17 31 18 31 31 31 17 17 17 31 31 31 31 31 31 17 31 31 31 31 33 0 3 0 17 31 31 0 17 31 17 7"
3,-0.7462,1.0000,"25 25 16 16 16 16 16 25 12 4 16 25 25 2 12 16 25 6 16 25 2 25 5 16 12 16 25 25 16 25 2 12 12 25 25 12 12 25 26 25 12 16 16 25 2 16 25 25 12 2 25 25 16 16 16 25 25 25 16 2 12 25 25 12 16 25 2 12 16 2 12 12 25 16 12 25 25 42 25 16 25 12 16 25 26 2 25 16 2 16 12 2 25 12 25 16 2 16 25 12 22 29 12 28 22 12 12 21 28 28 12 12 28 12 29 12 12 21 12 28 12 12 28 28 12 21 12 21 29 28 12 12 28 17 12 1 12 28 28 12 28 29 28 42 12 12 12 12 28 12 12 22 12 12 12 12 28 12 28 12 12 21 12 12 12 12 12 22 28 12 12 12 12 28 12 28 12 12 28 12 12 12 12 22 29 12 30 12 12 28 12 28 12 12 12 12 12 28 12 28 28 12 12 12 12 12 23 35 12 12 12 12 12 12 23 34 34 12 24 28 12 12 12 34 12 30 12 24 12 12 23 34 23 12 12 12 12 12 12 12 12 12 12 12 12 12 12 23 41 12 12 12 34 12 34 34 24 12 12 12 12 12 12 12 12 12 12 12 12 12 23 34 12 12 34 35 12 12 24 12 30 12 12 12 12 23 12 12 12 23 12 23 12 34 12 24 23 12 12 12 34 0 2 34 13 34 38 5 2 2 34 34 2 34 34 34 13 3 34 34 34 38 34 34 34 2 2 34 36 37 34 34 34 34 34 2 2 34 34 34 0 34 34 34 34 34 35 37 36 2 3 34 34 2 34 34 34 34 34 34 34 34 34 34 2 13 34 36 34 34 34 3 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 36 2 36 36 34 1 2 2 3 0 3 3 3 42 0 3 0 42 3 0 3 3 42 3 0 0 12 42 0 12 0 12 12 12 3 0 12 12 12 0 42 12 0 12 23 3 12 42 3 3 0 0 12 0 3 0 12 0 0 42 0 3 12 12 0 12 21 12 3 0 3 0 3 3 0 12 3 12 0 12 3 12 0 3 0 0 12 42 0 12 3 3 0 3 0 3 0 0 3 23 42 23 0 0 12 0 3 0"
4,-0.6725,1.0000,"25 25 16 16 16 16 16 25 12 4 16 25 25 2 12 16 25 6 16 25 2 25 5 16 12 16 25 25 16 25 2 12 12 25 25 12 12 25 26 25 12 16 16 25 2 16 25 25 12 2 25 25 16 16 16 25 25 25 16 2 12 25 25 12 16 25 2 12 16 2 12 12 25 16 12 25 25 42 25 16 25 12 16 25 26 2 25 16 2 16 12 2 25 12 25 16 2 16 25 12 22 29 12 28 22 12 12 21 28 28 12 12 28 12 29 12 12 21 12 28 12 12 28 28 12 21 12 21 29 28 12 12 28 17 12 1 12 28 28 12 28 29 28 42 12 12 12 12 28 12 12 22 12 12 12 12 28 12 28 12 12 21 12 12 12 12 12 22 28 12 12 12 12 28 12 28 12 12 28 12 12 12 12 22 29 12 30 12 12 28 12 28 12 12 12 12 12 28 12 28 28 28 28 12 28 28 28 28 28 30 28 28 28 28 28 28 28 28 28 28 28 30 12 28 28 28 28 28 12 28 28 34 28 12 28 28 28 28 12 12 28 28 12 12 28 28 28 29 28 12 28 12 34 28 29 28 24 28 28 28 12 12 28 28 28 29 12 28 28 12 28 28 28 28 28 28 28 12 28 12 28 30 28 28 28 28 28 12 12 28 28 28 28 29 28 28 28 12 12 28 34 0 2 34 13 34 38 5 2 2 34 34 2 34 34 34 13 3 34 34 34 38 34 34 34 2 2 34 36 37 34 34 34 34 34 2 2 34 34 34 0 34 34 34 34 34 35 37 36 2 3 34 34 2 34 34 34 34 34 34 34 34 34 34 2 13 34 36 34 34 34 3 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 36 2 36 36 34 1 2 2 3 0 3 3 3 42 0 3 0 42 3 0 3 3 42 3 0 0 12 42 0 12 0 12 12 12 3 0 12 12 12 0 42 12 0 12 23 3 12 42 3 3 0 0 12 0 3 0 12 0 0 42 0 3 12 12 0 12 21 12 3 0 3 0 3 3 0 12 3 12 0 12 3 12 0 3 0 0 12 42 0 12 3 3 0 3 0 3 0 0 3 23 42 23 0 0 12 0 3 0"
5,-0.5491,0.9048,"12 37 26 12 25 25 4 25 25 2 25 4 5 5 25 25 27 26 2 4 4 26 25 5 2 5 25 25 37 25 25 27 2 25 2 12 37 25 37 27 25 4 12 25 37 25 4 2 12 25 25 2 6 25 2 25 25 12 25 25 4 25 25 25 6 25 25 25 37 25 4 37 12 2 26 25 4 25 37 12 25 25 12 25 25 25 24 4 5 12 4 12 5 12 26 12 5 25 25 2 6 38 1 7 5 14 38 1 2 2 2 38 2 2 2 1 12 2 7 12 2 2 37 12 12 6 13 37 5 38 2 2 37 2 3 1 1 0 7 0 2 2 1 2 5 2 0 2 0 2 2 0 2 14 13 2 2 2 5 7 2 38 2 1 2 6 2 2 2 4 2 2 2 2 38 38 1 4 12 3 0 38 2 2 9 2 2 15 38 2 2 2 2 2 13 2 2 6 2 2 23 23 12 23 41 24 23 23 2 23 23 23 23 2 23 23 37 23 39 23 23 23 3 23 23 23 12 24 23 39 23 24 23 23 23 23 23 23 2 23 2 12 23 23 23 0 38 23 23 23 23 39 24 23 39 23 23 23 23 23 23 12 23 39 23 12 12 39 23 23 23 23 23 3 23 23 23 23 23 23 13 23 23 23 23 16 23 23 23 23 23 2 23 39 23 23 2 23 23 39 9 9 9 9 9 9 9 9 17 17 11 9 9 9 9 17 17 10 9 17 9 9 9 9 17 9 9 11 9 11 9 9 9 9 9 17 9 17 9 10 9 9 9 9 9 9 9 17 9 11 12 9 9 9 25 12 9 9 17 9 12 17 11 10 9 25 9 17 11 17 9 17 9 17 9 12 9 9 9 11 9 9 11 9 9 9 9 9 9 9 9 9 9 9 9 10 9 9 9 9 7 7 7 7 7 7 7 7 7 32 7 7 7 31 0 7 13 13 8 13 7 7 0 7 7 2 7 1 7 7 3 7 7 33 7 38 7 7 31 0 7 7 7 38 7 7 7 7 31 7 7 7 7 13 7 7 7 31 7 7 8 31 13 7 7 7 31 7 7 7 31 7 7 31 3 17 1 7 7 7 33 7 31 0 7 7 31 0 13 7 7 38 32 13 7 31 7 13 7 3"
6,-0.5465,0.9333,"12 37 26 12 25 25 4 25 25 2 25 4 5 5 25 25 27 26 2 4 4 26 25 5 2 5 25 25 37 25 25 27 2 25 2 12 37 25 37 27 25 4 12 25 37 25 4 2 12 25 25 2 6 25 2 25 25 12 25 25 4 25 25 25 6 25 25 25 37 25 4 37 12 2 26 25 4 25 37 12 25 25 12 25 25 25 24 4 5 12 4 12 5 12 26 12 5 25 25 2 2 3 31 0 1 37 3 0 31 31 3 3 3 33 2 3 2 2 3 3 3 3 0 0 13 0 31 0 3 3 31 3 38 3 0 2 3 2 2 0 0 0 3 3 2 2 3 3 0 0 0 0 0 2 1 13 0 3 38 0 2 0 3 41 0 4 0 2 0 2 0 0 3 0 38 3 0 9 0 0 2 38 3 2 3 0 3 9 3 1 0 3 0 0 3 3 9 3 2 2 2 39 12 41 41 39 39 2 2 39 16 2 39 2 39 2 37 41 39 39 41 2 16 41 39 16 12 13 21 39 2 39 12 2 12 39 12 16 2 2 2 12 12 2 39 0 39 2 41 12 39 39 2 39 39 2 16 2 12 41 12 12 37 39 2 12 12 39 16 39 39 41 16 0 2 12 2 39 39 21 39 2 39 2 39 16 16 41 2 39 16 2 2 39 4 16 2 16 4 39 9 7 7 9 3 9 7 9 7 17 7 7 9 7 9 7 7 10 9 7 9 7 9 7 17 7 7 7 7 11 7 7 9 7 7 7 9 17 7 8 7 9 3 9 7 7 9 7 7 7 0 9 13 7 25 7 7 7 8 7 7 7 7 7 7 7 7 17 7 7 7 8 7 7 7 7 9 7 9 7 7 7 3 13 7 7 7 7 7 7 9 9 7 7 7 7 9 7 9 0 9 12 10 12 12 9 9 12 12 9 9 17 9 9 9 2 9 9 17 1 9 9 13 9 17 9 18 9 9 9 12 9 17 9 9 9 9 9 5 9 9 9 9 9 17 12 10 11 12 9 9 9 12 9 9 9 38 9 12 9 19 9 12 37 12 12 9 9 9 9 9 12 9 9 12 17 9 9 9 37 18 11 9 11 9 25 9 9 9 12 4 9 9 1 9 9 9 9 9 12"
7,-0.5187,0.9000,"12 37 26 12 25 25 4 25 25 2 25 4 5 5 25 25 27 26 2 4 4 26 25 5 2 5 25 25 37 25 25 27 2 25 2 12 37 25 37 27 25 4 12 25 37 25 4 2 12 25 25 2 6 25 2 25 25 12 25 25 4 25 25 25 6 25 25 25 37 25 4 37 12 2 26 25 4 25 37 12 25 25 12 25 25 25 24 4 5 12 4 12 5 12 26 12 5 25 25 2 2 9 2 2 2 9 9 2 2 2 2 2 9 2 5 4 2 6 6 28 9 9 4 2 2 28 2 2 2 9 2 2 2 2 2 11 2 2 6 2 2 28 28 9 2 9 2 37 5 2 9 2 9 2 2 11 2 2 9 2 28 5 2 2 2 2 2 2 2 9 2 11 28 4 2 2 2 9 2 5 2 2 9 9 2 2 2 2 2 9 9 2 2 9 9 9 9 9 2 2 2 39 12 41 41 39 39 0 2 39 16 13 39 2 39 38 0 41 38 39 13 0 16 41 39 16 12 38 21 0 0 39 12 2 12 39 12 16 3 3 2 13 12 2 0 0 39 2 1 12 39 39 2 39 39 2 16 2 12 41 12 12 37 38 2 1 12 39 16 39 39 41 38 0 2 12 2 39 39 3 39 2 39 2 39 3 16 41 0 39 16 2 2 39 4 16 2 16 1 39 9 9 9 39 9 9 39 39 17 17 11 42 9 9 9 17 17 39 9 39 9 9 9 9 39 9 9 11 9 39 9 9 39 9 39 17 9 17 9 10 9 9 9 39 9 9 9 17 39 11 39 39 39 9 25 12 9 9 17 9 12 17 11 10 9 25 9 17 11 17 9 17 9 39 9 12 9 39 9 11 9 9 11 9 9 9 39 39 39 9 9 39 9 9 9 10 9 39 9 39 25 25 25 26 25 17 25 25 25 25 25 19 25 25 25 25 27 25 27 41 25 25 41 2 25 25 25 25 25 25 25 17 25 25 25 25 25 41 25 25 25 25 26 25 25 25 13 25 25 25 19 37 25 25 25 19 41 41 26 19 25 25 25 25 11 25 25 26 41 1 17 38 25 25 41 25 25 15 25 25 25 25 27 5 41 41 25 25 13 25 17 25 25 17 25 25 25 25 25 17"
8,-0.4739,0.9500,"12 37 26 12 25 25 4 25 25 2 25 4 5 5 25 25 27 26 2 4 4 26 25 5 2 5 25 25 37 25 25 27 2 25 2 12 37 25 37 27 25 4 12 25 37 25 4 2 12 25 25 2 6 25 2 25 25 12 25 25 4 25 25 25 6 25 25 25 37 25 4 37 12 2 26 25 4 25 37 12 25 25 12 25 25 25 24 4 5 12 4 12 5 12 26 12 5 25 25 2 2 3 31 0 1 37 3 0 31 31 3 3 3 33 2 3 2 2 3 3 3 3 0 0 13 0 31 0 3 3 31 3 38 3 0 2 3 2 2 0 0 0 3 3 2 2 3 3 0 0 0 0 0 2 1 13 0 3 38 0 2 0 3 41 0 4 0 2 0 2 0 0 3 0 38 3 0 9 0 0 2 38 3 2 3 0 3 9 3 1 0 3 0 0 3 3 9 3 2 2 2 22 12 41 22 39 12 12 22 12 12 22 12 22 12 2 12 12 39 12 12 12 12 41 22 16 12 12 12 21 12 12 21 12 12 21 12 16 2 12 12 12 12 12 12 12 22 12 12 12 12 12 12 12 22 21 16 2 12 12 12 12 37 12 12 12 12 12 16 12 39 12 12 12 12 12 12 39 12 12 39 2 39 12 39 12 12 22 12 39 12 2 2 12 12 12 12 16 12 12 2 2 9 2 5 2 9 2 2 2 2 5 9 2 9 2 17 10 9 2 2 9 4 2 2 9 2 6 2 11 2 4 9 9 2 2 9 2 2 2 2 9 4 37 2 2 6 17 2 11 2 9 2 2 2 2 9 9 2 4 12 17 11 2 4 25 9 17 4 4 2 2 2 2 9 12 9 37 2 5 2 9 11 2 4 37 2 2 2 2 2 9 2 9 9 5 2 9 5 9 2 28 2 2 2 2 2 2 19 2 2 2 28 19 4 28 2 5 30 2 2 0 28 28 28 28 28 17 28 2 28 28 2 28 28 29 4 2 2 2 2 2 6 2 2 38 2 2 2 2 2 19 2 2 30 2 2 2 2 28 2 2 2 2 2 2 2 2 28 19 19 2 4 2 30 2 1 9 2 2 2 28 2 2 2 2 2 2 2 2 6 28 28 2 2 2 2 2 28 2"
9,-0.4149,0.8333,"12 37 26 12 25 25 4 25 25 2 25 4 5 5 25 25 27 26 2 4 4 26 25 5 2 5 25 25 37 25 25 27 2 25 2 12 37 25 37 27 25 4 12 25 37 25 4 2 12 25 25 2 6 25 2 25 25 12 25 25 4 25 25 25 6 25 25 25 37 25 4 37 12 2 26 25 4 25 37 12 25 25 12 25 25 25 24 4 5 12 4 12 5 12 26 12 5 25 25 2 2 3 31 0 1 37 3 0 31 31 3 3 3 33 2 3 2 2 3 3 3 3 0 0 13 0 31 0 3 3 31 3 38 3 0 2 3 2 2 0 0 0 3 3 2 2 3 3 0 0 0 0 0 2 1 13 0 3 38 0 2 0 3 41 0 4 0 2 0 2 0 0 3 0 38 3 0 9 0 0 2 38 3 2 3 0 3 9 3 1 0 3 0 0 3 3 9 3 2 2 2 39 11 2 2 2 2 2 2 2 2 2 39 2 2 2 11 2 39 2 2 9 2 2 39 2 2 2 2 2 2 39 12 2 12 39 2 16 2 2 2 2 9 2 2 2 2 9 2 11 39 2 2 2 2 2 2 2 2 41 2 2 2 2 2 2 2 39 2 2 39 9 16 2 2 2 2 39 39 2 2 2 39 2 2 16 10 2 2 39 16 9 2 39 2 16 2 2 4 2 24 12 28 12 28 12 12 12 12 12 12 28 9 28 12 12 24 12 12 12 12 28 29 12 24 24 9 11 23 12 12 12 9 12 12 12 12 12 12 12 12 12 12 12 12 24 12 12 28 24 12 12 12 12 28 24 12 12 12 28 28 17 12 12 12 23 12 17 12 12 12 12 12 17 12 28 12 9 12 11 12 12 12 12 12 12 12 12 12 12 12 23 12 12 28 12 12 28 28 12 12 12 28 12 12 12 18 12 12 12 12 12 12 29 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 28 12 12 29 18 12 28 12 12 12 12 12 29 12 12 12 29 12 12 12 12 12 19 12 12 12 29 12 12 12 12 12 12 12 29 12 3 9 30 12 12 12 12 29 12 12 12 12 12 12 30 12 12 30 12 12 12 12 12 12 12 17 12 12 12 12 12 29 12"
10,-0.4021,0.8621,"2 2 42 2 2 2 2 2 5 2 2 2 2 2 2 2 2 4 2 2 2 5 25 2 2 2 2 25 2 2 6 2 2 2 6 2 2 6 2 2 42 2 42 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 6 25 2 6 2 2 2 2 42 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 12 34 34 34 12 34 29 34 34 34 28 12 12 34 12 34 12 34 12 12 12 12 12 12 12 30 12 12 12 12 12 34 12 12 12 34 34 34 12 30 9 12 34 36 34 12 12 12 28 12 12 12 12 23 12 12 30 12 34 29 12 12 12 12 9 12 12 12 34 29 12 28 12 34 12 12 12 9 30 28 12 28 12 12 30 12 12 12 12 12 34 28 12 12 12 34 28 12 12 34 28 28 28 28 28 37 2 4 5 6 37 28 37 28 5 28 28 28 12 2 2 6 4 28 28 6 37 28 28 21 6 28 28 28 2 15 28 5 21 28 37 29 28 15 12 37 12 21 30 28 4 2 37 28 28 12 28 28 37 28 6 28 28 2 5 4 2 37 5 28 28 2 5 6 28 12 6 2 28 28 14 4 28 5 28 1 28 5 28 28 2 6 5 4 28 28 28 37 37 2 12 9 9 9 12 9 10 9 9 9 9 41 9 9 12 9 10 12 9 41 9 9 9 9 9 9 9 12 12 9 9 9 12 9 9 9 9 9 9 9 9 9 9 12 12 10 9 9 29 9 41 12 9 12 41 9 41 9 9 9 9 41 9 12 12 9 9 12 12 9 9 41 9 9 39 9 9 9 9 10 12 9 9 11 25 28 12 9 9 12 9 12 41 9 31 9 38 9 12 9 2 2 2 2 2 2 2 12 2 37 2 2 2 2 12 12 12 2 2 2 2 2 2 2 2 2 2 2 4 2 2 8 2 2 2 8 2 7 2 7 2 2 12 2 2 37 2 4 2 2 2 2 4 2 2 2 12 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 37 2 2 12 2 2 2 2 2 2 2 2 12 2 2 2 12 5 2 2 2 2 13 2 2 2"
