# seed=12
# instance=EXPONENTIAL
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.5)
# mutation=p0=0.002,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=3
# lambda_similarity=0.61
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.2621,0.8261,0.9245,0.1464,0.5663,"40 13 28 16 26 8 6 5 39 34 12 18 29 24 22 3 27 35 14 25 20 5 1 40 3 1 19 19 10 35 22 10 7 19 6 25 18 1 19 2 1 36 24 18 13 38 0 7 12 9 20 22 28 39 27 38 37 6 17 26 8 35 15 40 5 39 29 36 1 6 3 36 31 42 26 42 41 26 6 22 30 20 25 26 40 33 26 42 2 21 28 23 28 2 6 20 20 42 16 28 8 14 19 1 21 35 39 10 29 33 41 7 22 0 11 34 27 23 3 24 6 39 34 21 6 26 26 3 40 33 42 8 15 13 20 33 42 41 23 27 2 42 12 13 31 42 7 20 7 28 1 37 42 41 15 4 13 20 5 19 32 37 30 9 20 4 4 27 41 23 41 39 39 15 3 8 0 6 28 32 34 18 23 12 30 13 7 19 0 26 36 38 6 5 7 22 27 42 23 3 31 29 11 37 39 14 32 6 0 12 40 10 19 7 23 41 28 38 4 29 42 21 29 14 15 4 24 24 4 17 40 21 28 28 38 9 26 32 10 38 32 9 39 1 42 32 34 20 0 35 19 26 34 2 24 23 30 16 8 3 12 29 25 38 2 3 28 26 35 10 16 23 15 9 16 10 15 19 13 31 6 30 10 23 20 31 18 41 23 39 24 42 35 1 31 15 25 42 12 16 1 37 41 42 28 13 15 0 28 37 19 13 1 17 41 22 24 20 36 17 42 30 18 21 22 26 24 20 25 0 14 20 21 25 24 19 20 33 14 23 18 23 41 35 19 0 41 2 33 15 37 10 21 41 4 18 9 31 11 8 33 32 15 10 31 32 28 15 28 35 27 19 6 0 30 25 40 31 16 13 34 7 25 31 30 15 36 25 23 28 36 39 3 9 16 31 26 28 31 14 2 13 37 27 38 35 30 19 25 14 5 27 2 42 26 23 40 39 38 13 35 41 3 0 10 33 26 5 42 33 27 6 6 4 17 37 28 2 42 30 31 3 38 41 17 38 17 35 37 10 24 7 40 12 20 25 26 26 22 16 37 10 2 10 39 15 6 2 2 29 4 33 24 15 21 38 31 4 39 12 3 29 7 36 14 1 34 6 10 41 22 37 11 17 5 9 21 23 30 12"
1,2,-0.3859,0.7586,0.6110,-0.0568,0.3657,"40 13 28 16 26 8 6 5 39 34 12 18 29 24 22 3 27 35 14 25 20 5 1 40 3 1 19 19 10 35 22 10 7 19 6 25 18 1 19 2 1 36 24 18 13 38 0 7 12 9 20 22 28 39 27 38 37 6 17 26 8 35 15 40 5 39 29 36 1 6 3 36 31 42 26 42 41 26 6 22 30 20 25 26 40 33 26 42 2 21 28 23 28 2 6 20 20 42 16 28 30 11 31 4 27 3 14 42 23 24 9 3 31 15 6 24 14 38 40 33 19 26 24 7 14 13 40 38 0 29 26 9 35 9 39 15 6 26 15 24 42 6 1 21 7 9 39 20 23 42 36 32 3 20 39 26 17 41 8 1 38 35 26 39 22 39 17 25 39 4 23 41 34 18 42 16 1 20 6 8 38 31 37 18 25 42 4 16 3 25 38 13 41 37 16 25 29 23 42 35 0 38 33 2 35 41 8 13 5 18 39 24 37 21 29 7 4 38 6 5 33 23 41 0 7 29 0 5 31 37 32 37 37 6 10 25 6 30 42 38 32 6 2 29 4 12 34 5 17 33 39 2 5 4 21 4 24 32 41 38 31 19 21 8 18 29 4 2 33 37 42 6 35 33 6 37 19 8 6 31 20 37 29 9 6 34 25 31 15 39 15 5 10 25 4 2 5 7 6 2 41 19 25 0 5 7 27 10 40 31 41 9 29 18 35 27 9 9 9 14 31 0 12 26 16 41 33 18 28 2 6 24 6 10 36 28 3 32 7 10 20 18 21 18 5 5 7 0 34 30 7 7 2 27 8 37 15 41 5 1 35 27 13 1 24 6 29 38 14 26 23 22 2 34 8 11 4 16 30 25 25 33 9 14 35 4 19 15 16 5 0 10 9 8 8 28 38 18 33 2 23 23 23 27 23 23 30 23 25 14 23 23 23 42 23 23 23 23 23 13 35 23 23 24 23 23 23 23 23 23 27 23 6 23 23 23 28 23 23 23 31 23 23 23 17 23 23 23 37 23 24 23 23 23 23 23 23 23 23 16 37 23 23 10 23 23 23 23 2 23 23 23 24 23 23 23 23 4 23 12 23 23 23 24 14 1 23 6 10 23 23 23 23 23 5 9 24 23 30 12"
2,3,-0.4329,0.9231,0.8035,-0.1020,0.2662,"40 2 2 11 26 8 2 2 2 2 12 2 2 2 10 9 2 9 14 2 2 2 2 2 3 2 2 2 2 2 11 2 10 19 6 2 18 2 2 9 1 2 2 2 2 38 2 2 2 9 20 2 2 39 2 2 2 2 2 26 8 2 2 9 2 2 2 2 2 6 3 36 2 2 2 2 2 2 2 22 2 2 2 2 9 2 26 2 2 10 2 2 9 9 2 20 2 42 2 28 2 2 2 2 2 2 37 2 2 2 2 2 2 2 2 2 37 2 2 2 2 9 2 2 2 6 2 2 2 2 37 37 37 2 2 2 26 2 5 2 2 26 4 2 2 2 2 2 11 24 2 4 6 2 2 2 2 37 2 37 2 37 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 6 6 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 37 2 2 31 29 11 37 39 14 32 6 0 12 40 10 19 7 23 41 28 38 4 29 42 21 29 14 15 4 24 24 4 17 40 21 28 28 38 9 26 32 10 38 32 9 39 1 42 32 34 20 0 35 19 26 34 2 24 23 30 16 8 3 12 29 25 38 2 3 28 26 35 10 16 23 15 9 16 10 15 19 13 31 6 30 10 23 20 31 18 41 23 39 24 42 35 1 31 15 25 42 12 16 18 38 1 11 21 40 9 6 0 42 18 2 39 37 41 39 1 42 12 17 24 11 38 28 17 7 8 40 22 3 15 5 17 17 39 17 13 5 21 24 25 3 16 38 38 11 3 12 13 9 7 26 25 31 26 9 10 19 21 18 12 25 39 22 40 4 20 24 26 6 42 15 40 6 40 39 5 35 32 18 37 35 24 42 31 34 29 13 8 15 28 28 16 7 17 9 42 35 11 37 2 13 37 27 38 35 30 19 25 14 5 27 2 42 26 23 40 39 38 13 35 41 3 0 10 33 26 5 42 33 27 6 6 4 17 37 28 2 42 30 31 3 38 41 17 38 17 35 37 10 24 7 40 12 20 25 26 26 22 16 37 10 2 10 39 15 6 2 2 29 4 33 24 15 21 38 31 4 39 12 3 29 7 36 14 1 34 6 10 41 22 37 11 17 5 9 21 23 30 12"
3,3,-0.4329,0.9231,0.8035,-0.1032,0.2352,"40 2 2 11 26 8 2 2 2 2 12 2 2 2 10 9 2 9 14 2 2 2 2 2 3 2 2 2 2 2 11 2 10 19 6 2 18 2 2 9 1 2 2 2 2 38 2 2 2 9 20 2 2 39 2 2 2 2 2 26 8 2 2 9 2 2 2 2 2 6 3 36 2 2 2 2 2 2 2 22 2 2 2 2 9 2 26 2 2 10 2 2 9 9 2 20 2 42 2 28 2 2 2 2 2 2 37 2 2 2 2 2 2 2 2 2 37 2 2 2 2 9 2 2 2 6 2 2 2 2 37 37 37 2 2 2 26 2 5 2 2 26 4 2 2 2 2 2 11 24 2 4 6 2 2 2 2 37 2 37 2 37 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 6 6 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 37 2 2 31 29 11 37 39 14 32 6 0 12 40 10 19 7 23 41 28 38 4 29 42 21 29 14 15 4 24 24 4 17 40 21 28 28 38 9 26 32 10 38 32 9 39 1 42 32 34 20 0 35 19 26 34 2 24 23 30 16 8 3 12 29 25 38 2 3 28 26 35 10 16 23 15 9 16 10 15 19 13 31 6 30 10 23 20 31 18 41 23 39 24 42 35 1 31 15 25 42 12 16 18 38 1 11 21 40 9 6 0 42 18 2 39 37 41 39 1 42 12 17 24 11 38 28 17 7 8 40 22 3 15 5 17 17 39 17 13 5 21 24 25 3 16 38 38 11 3 12 13 9 7 26 25 31 26 9 10 19 21 18 12 25 39 22 40 4 20 24 26 6 42 15 40 6 40 39 5 35 32 18 37 35 24 42 31 34 29 13 8 15 28 28 16 7 17 9 42 35 11 37 2 13 37 27 38 35 30 19 25 14 5 27 2 42 26 23 40 39 38 13 35 41 3 0 10 33 26 5 42 33 27 6 6 4 17 37 28 2 42 30 31 3 38 41 17 38 17 35 37 10 24 7 40 12 20 25 26 26 22 16 37 10 2 10 39 15 6 2 2 29 4 33 24 15 21 38 31 4 39 12 3 29 7 36 14 1 34 6 10 41 22 37 11 17 5 9 21 23 30 12"
4,3,-0.4329,0.9231,0.8035,-0.0702,0.2857,"40 2 2 11 26 8 2 2 2 2 12 2 2 2 10 9 2 9 14 2 2 2 2 2 3 2 2 2 2 2 11 2 10 19 6 2 18 2 2 9 1 2 2 2 2 38 2 2 2 9 20 2 2 39 2 2 2 2 2 26 8 2 2 9 2 2 2 2 2 6 3 36 2 2 2 2 2 2 2 22 2 2 2 2 9 2 26 2 2 10 2 2 9 9 2 20 2 42 2 28 2 2 2 2 2 2 37 2 2 2 2 2 2 2 2 2 37 2 2 2 2 9 2 2 2 6 2 2 2 2 37 37 37 2 2 2 26 2 5 2 2 26 4 2 2 2 2 2 11 24 2 4 6 2 2 2 2 37 2 37 2 37 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 6 6 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 37 2 2 31 29 11 37 39 14 32 6 0 12 40 10 19 7 23 41 28 38 4 29 42 21 29 14 15 4 24 24 4 17 40 21 28 28 38 9 26 32 10 38 32 9 39 1 42 32 34 20 0 35 19 26 34 2 24 23 30 16 8 3 12 29 25 38 2 3 28 26 35 10 16 23 15 9 16 10 15 19 13 31 6 30 10 23 20 31 18 41 23 39 24 42 35 1 31 15 25 42 12 16 18 38 1 11 21 40 9 6 0 42 18 2 39 37 41 39 1 42 12 17 24 11 38 28 17 7 8 40 22 3 15 5 17 17 39 17 13 5 21 24 25 3 16 38 38 11 3 12 13 9 7 26 25 31 26 9 10 19 21 18 12 25 39 22 40 4 20 24 26 6 42 15 40 6 40 39 5 35 32 18 37 35 24 42 31 34 29 13 8 15 28 28 16 7 17 9 42 35 11 37 2 13 37 27 38 35 30 19 25 14 5 27 2 42 26 23 40 39 38 13 35 41 3 0 10 33 26 5 42 33 27 6 6 4 17 37 28 2 42 30 31 3 38 41 17 38 17 35 37 10 24 7 40 12 20 25 26 26 22 16 37 10 2 10 39 15 6 2 2 29 4 33 24 15 21 38 31 4 39 12 3 29 7 36 14 1 34 6 10 41 22 37 11 17 5 9 21 23 30 12"
5,4,-0.4862,0.9615,0.7793,-0.0773,0.2811,"40 2 2 11 26 8 2 2 2 2 12 2 2 2 10 9 2 9 14 2 2 2 2 2 3 2 2 2 2 2 11 2 10 19 6 2 18 2 2 9 1 2 2 2 2 38 2 2 2 9 20 2 2 39 2 2 2 2 2 26 8 2 2 9 2 2 2 2 2 6 3 36 2 2 2 2 2 2 2 22 2 2 2 2 9 2 26 2 2 10 2 2 9 9 2 20 2 42 2 28 2 2 2 2 2 2 37 2 2 2 2 2 2 2 2 2 37 2 2 2 2 9 2 2 2 6 2 2 2 2 37 37 37 2 2 2 26 2 5 2 2 26 4 2 2 2 2 2 11 24 2 4 6 2 2 2 2 37 2 37 2 37 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 6 6 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 37 2 2 0 7 7 7 7 7 7 7 7 7 39 7 7 21 7 7 7 38 7 7 7 7 41 7 7 7 7 7 7 7 7 7 41 7 10 8 7 8 7 38 32 7 7 7 4 7 34 7 7 7 7 7 16 7 21 7 7 7 7 7 31 7 7 7 7 7 7 7 33 31 7 8 7 7 7 7 7 7 7 7 7 7 29 7 42 7 7 31 7 7 7 28 7 8 36 7 5 7 7 37 41 1 25 0 5 7 27 10 40 31 41 9 29 18 35 3 3 9 9 14 0 0 12 26 16 41 33 18 28 2 6 24 1 10 36 28 3 3 3 10 13 18 21 38 5 5 7 0 34 30 7 7 1 3 8 37 15 41 5 1 35 3 13 1 24 6 38 3 38 0 23 22 1 34 8 11 4 16 30 25 3 33 9 14 35 4 19 15 16 1 0 10 13 8 13 28 0 18 33 2 4 30 14 0 3 0 3 3 3 28 0 35 0 3 0 41 16 0 3 3 34 3 0 0 0 0 3 25 3 3 0 0 3 32 3 0 0 3 15 3 3 0 3 3 11 0 3 35 3 38 0 0 0 3 0 0 31 42 3 0 33 0 9 3 29 24 0 34 0 20 3 0 3 0 24 3 3 30 0 19 3 25 42 3 0 3 3 0 9 3 0 16 0 31 25 0 0 3 0 13"
6,4,-0.4862,0.9615,0.7793,-0.1028,0.2964,"40 2 2 11 26 8 2 2 2 2 12 2 2 2 10 9 2 9 14 2 2 2 2 2 3 2 2 2 2 2 11 2 10 19 6 2 18 2 2 9 1 2 2 2 2 38 2 2 2 9 20 2 2 39 2 2 2 2 2 26 8 2 2 9 2 2 2 2 2 6 3 36 2 2 2 2 2 2 2 22 2 2 2 2 9 2 26 2 2 10 2 2 9 9 2 20 2 42 2 28 2 2 2 2 2 2 37 2 2 2 2 2 2 2 2 2 37 2 2 2 2 9 2 2 2 6 2 2 2 2 37 37 37 2 2 2 26 2 5 2 2 26 4 2 2 2 2 2 11 24 2 4 6 2 2 2 2 37 2 37 2 37 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 6 6 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 37 2 2 0 7 7 7 7 7 7 7 7 7 39 7 7 21 7 7 7 38 7 7 7 7 41 7 7 7 7 7 7 7 7 7 41 7 10 8 7 8 7 38 32 7 7 7 4 7 34 7 7 7 7 7 16 7 21 7 7 7 7 7 31 7 7 7 7 7 7 7 33 31 7 8 7 7 7 7 7 7 7 7 7 7 29 7 42 7 7 31 7 7 7 28 7 8 36 7 5 7 7 37 41 1 25 0 5 7 27 10 40 31 41 9 29 18 35 3 3 9 9 14 0 0 12 26 16 41 33 18 28 2 6 24 1 10 36 28 3 3 3 10 13 18 21 38 5 5 7 0 34 30 7 7 1 3 8 37 15 41 5 1 35 3 13 1 24 6 38 3 38 0 23 22 1 34 8 11 4 16 30 25 3 33 9 14 35 4 19 15 16 1 0 10 13 8 13 28 0 18 33 2 4 30 14 0 3 0 3 3 3 28 0 35 0 3 0 41 16 0 3 3 34 3 0 0 0 0 3 25 3 3 0 0 3 32 3 0 0 3 15 3 3 0 3 3 11 0 3 35 3 38 0 0 0 3 0 0 31 42 3 0 33 0 9 3 29 24 0 34 0 20 3 0 3 0 24 3 3 30 0 19 3 25 42 3 0 3 3 0 9 3 0 16 0 31 25 0 0 3 0 13"
7,4,-0.4862,0.9615,0.7793,-0.1358,0.2060,"40 2 2 11 26 8 2 2 2 2 12 2 2 2 10 9 2 9 14 2 2 2 2 2 3 2 2 2 2 2 11 2 10 19 6 2 18 2 2 9 1 2 2 2 2 38 2 2 2 9 20 2 2 39 2 2 2 2 2 26 8 2 2 9 2 2 2 2 2 6 3 36 2 2 2 2 2 2 2 22 2 2 2 2 9 2 26 2 2 10 2 2 9 9 2 20 2 42 2 28 2 2 2 2 2 2 37 2 2 2 2 2 2 2 2 2 37 2 2 2 2 9 2 2 2 6 2 2 2 2 37 37 37 2 2 2 26 2 5 2 2 26 4 2 2 2 2 2 11 24 2 4 6 2 2 2 2 37 2 37 2 37 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 6 6 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 37 2 2 0 7 7 7 7 7 7 7 7 7 39 7 7 21 7 7 7 38 7 7 7 7 41 7 7 7 7 7 7 7 7 7 41 7 10 8 7 8 7 38 32 7 7 7 4 7 34 7 7 7 7 7 16 7 21 7 7 7 7 7 31 7 7 7 7 7 7 7 33 31 7 8 7 7 7 7 7 7 7 7 7 7 29 7 42 7 7 31 7 7 7 28 7 8 36 7 5 7 7 37 41 1 25 0 5 7 27 10 40 31 41 9 29 18 35 3 3 9 9 14 0 0 12 26 16 41 33 18 28 2 6 24 1 10 36 28 3 3 3 10 13 18 21 38 5 5 7 0 34 30 7 7 1 3 8 37 15 41 5 1 35 3 13 1 24 6 38 3 38 0 23 22 1 34 8 11 4 16 30 25 3 33 9 14 35 4 19 15 16 1 0 10 13 8 13 28 0 18 33 2 4 30 14 0 3 0 3 3 3 28 0 35 0 3 0 41 16 0 3 3 34 3 0 0 0 0 3 25 3 3 0 0 3 32 3 0 0 3 15 3 3 0 3 3 11 0 3 35 3 38 0 0 0 3 0 0 31 42 3 0 33 0 9 3 29 24 0 34 0 20 3 0 3 0 24 3 3 30 0 19 3 25 42 3 0 3 3 0 9 3 0 16 0 31 25 0 0 3 0 13"
8,4,-0.4862,0.9615,0.7793,-0.1281,0.2226,"40 2 2 11 26 8 2 2 2 2 12 2 2 2 10 9 2 9 14 2 2 2 2 2 3 2 2 2 2 2 11 2 10 19 6 2 18 2 2 9 1 2 2 2 2 38 2 2 2 9 20 2 2 39 2 2 2 2 2 26 8 2 2 9 2 2 2 2 2 6 3 36 2 2 2 2 2 2 2 22 2 2 2 2 9 2 26 2 2 10 2 2 9 9 2 20 2 42 2 28 2 2 2 2 2 2 37 2 2 2 2 2 2 2 2 2 37 2 2 2 2 9 2 2 2 6 2 2 2 2 37 37 37 2 2 2 26 2 5 2 2 26 4 2 2 2 2 2 11 24 2 4 6 2 2 2 2 37 2 37 2 37 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 6 6 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 37 2 2 0 7 7 7 7 7 7 7 7 7 39 7 7 21 7 7 7 38 7 7 7 7 41 7 7 7 7 7 7 7 7 7 41 7 10 8 7 8 7 38 32 7 7 7 4 7 34 7 7 7 7 7 16 7 21 7 7 7 7 7 31 7 7 7 7 7 7 7 33 31 7 8 7 7 7 7 7 7 7 7 7 7 29 7 42 7 7 31 7 7 7 28 7 8 36 7 5 7 7 37 41 1 25 0 5 7 27 10 40 31 41 9 29 18 35 3 3 9 9 14 0 0 12 26 16 41 33 18 28 2 6 24 1 10 36 28 3 3 3 10 13 18 21 38 5 5 7 0 34 30 7 7 1 3 8 37 15 41 5 1 35 3 13 1 24 6 38 3 38 0 23 22 1 34 8 11 4 16 30 25 3 33 9 14 35 4 19 15 16 1 0 10 13 8 13 28 0 18 33 2 4 30 14 0 3 0 3 3 3 28 0 35 0 3 0 41 16 0 3 3 34 3 0 0 0 0 3 25 3 3 0 0 3 32 3 0 0 3 15 3 3 0 3 3 11 0 3 35 3 38 0 0 0 3 0 0 31 42 3 0 33 0 9 3 29 24 0 34 0 20 3 0 3 0 24 3 3 30 0 19 3 25 42 3 0 3 3 0 9 3 0 16 0 31 25 0 0 3 0 13"
9,4,-0.4862,0.9615,0.7793,-0.0935,0.2656,"40 2 2 11 26 8 2 2 2 2 12 2 2 2 10 9 2 9 14 2 2 2 2 2 3 2 2 2 2 2 11 2 10 19 6 2 18 2 2 9 1 2 2 2 2 38 2 2 2 9 20 2 2 39 2 2 2 2 2 26 8 2 2 9 2 2 2 2 2 6 3 36 2 2 2 2 2 2 2 22 2 2 2 2 9 2 26 2 2 10 2 2 9 9 2 20 2 42 2 28 2 2 2 2 2 2 37 2 2 2 2 2 2 2 2 2 37 2 2 2 2 9 2 2 2 6 2 2 2 2 37 37 37 2 2 2 26 2 5 2 2 26 4 2 2 2 2 2 11 24 2 4 6 2 2 2 2 37 2 37 2 37 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 6 6 2 2 2 2 2 2 2 2 2 2 2 2 6 2 2 37 2 2 0 7 7 7 7 7 7 7 7 7 39 7 7 21 7 7 7 38 7 7 7 7 41 7 7 7 7 7 7 7 7 7 41 7 10 8 7 8 7 38 32 7 7 7 4 7 34 7 7 7 7 7 16 7 21 7 7 7 7 7 31 7 7 7 7 7 7 7 33 31 7 8 7 7 7 7 7 7 7 7 7 7 29 7 42 7 7 31 7 7 7 28 7 8 36 7 5 7 7 37 41 1 25 0 5 7 27 10 40 31 41 9 29 18 35 3 3 9 9 14 0 0 12 26 16 41 33 18 28 2 6 24 1 10 36 28 3 3 3 10 13 18 21 38 5 5 7 0 34 30 7 7 1 3 8 37 15 41 5 1 35 3 13 1 24 6 38 3 38 0 23 22 1 34 8 11 4 16 30 25 3 33 9 14 35 4 19 15 16 1 0 10 13 8 13 28 0 18 33 2 4 30 14 0 3 0 3 3 3 28 0 35 0 3 0 41 16 0 3 3 34 3 0 0 0 0 3 25 3 3 0 0 3 32 3 0 0 3 15 3 3 0 3 3 11 0 3 35 3 38 0 0 0 3 0 0 31 42 3 0 33 0 9 3 29 24 0 34 0 20 3 0 3 0 24 3 3 30 0 19 3 25 42 3 0 3 3 0 9 3 0 16 0 31 25 0 0 3 0 13"
