# seed=20
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.002,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=3
# lambda_similarity=0.61
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.3156,0.8750,0.9170,0.1108,0.5616,"28 3 22 28 33 20 31 35 24 23 14 33 22 27 24 1 41 9 25 38 27 24 0 14 37 31 22 27 16 1 24 1 0 18 17 22 29 29 32 13 21 8 20 27 9 24 7 23 30 23 16 39 29 25 6 23 4 9 3 10 6 21 15 7 36 10 9 40 7 3 35 18 29 40 18 8 33 24 16 35 41 26 32 33 10 31 33 1 20 17 10 42 6 11 16 8 42 17 26 36 15 24 25 9 26 36 3 20 31 3 4 36 38 7 10 15 41 30 34 35 28 7 0 31 8 3 16 0 5 5 17 6 6 35 41 17 5 18 8 37 21 34 41 36 42 28 8 35 37 2 4 41 37 7 35 32 11 31 4 41 10 33 24 15 11 5 12 28 11 0 10 36 10 34 15 18 36 30 0 10 19 4 33 29 14 12 20 14 16 24 16 24 19 38 8 21 39 5 0 4 39 21 20 22 21 13 14 1 17 41 29 0 10 33 11 11 12 8 1 38 3 23 20 11 21 42 42 30 23 12 24 18 24 1 23 41 26 32 40 0 6 27 14 4 8 23 4 0 9 4 31 1 33 28 39 4 10 36 33 25 39 27 20 29 13 29 32 23 30 26 20 0 32 39 10 33 23 40 29 42 2 4 13 15 9 15 5 25 24 31 30 18 3 26 30 2 5 12 37 6 11 34 9 11 9 16 20 10 31 20 6 6 7 37 1 1 41 26 12 10 24 8 29 1 10 26 18 2 0 20 42 6 0 27 3 32 35 23 34 27 11 9 11 31 21 29 7 10 2 33 2 15 42 1 24 26 16 8 36 6 16 9 10 35 2 24 32 41 19 25 27 7 24 26 36 9 9 7 20 41 20 28 26 11 16 41 26 6 37 12 17 14 0 5 33 5 22 1 32 26 3 41 19 23 14 16 7 20 26 24 7 37 5 15 5 36 18 39 37 24 14 40 9 33 22 20 34 28 3 38 1 0 25 35 18 19 15 40 33 23 26 11 39 20 35 33 33 41 42 26 12 33 20 29 20 23 34 1 18 39 7 25 29 25 26 22 29 37 13 5 19 11 31 31 21 13 28 19 34 10 10 24 11 31 8 34 30 14 28 8 0 31 26 6 36 7 29 24 17 41"
1,2,-0.4553,0.8696,0.6791,-0.0317,0.2883,"28 3 22 28 33 20 31 35 24 23 14 33 22 27 24 1 41 9 25 38 27 24 0 14 37 31 22 27 16 1 24 1 0 18 17 22 29 29 32 13 21 8 20 27 9 24 7 23 30 23 16 39 29 25 6 23 4 9 3 10 6 21 15 7 36 10 9 40 7 3 35 18 29 40 18 8 33 24 16 35 41 26 32 33 10 31 33 1 20 17 10 42 6 11 16 8 42 17 26 36 15 24 42 42 42 12 42 20 42 3 42 42 42 7 42 15 41 12 34 42 42 12 42 16 42 42 42 42 5 42 12 42 42 42 42 42 42 12 42 42 21 42 41 42 42 42 42 42 42 16 42 41 42 42 35 42 11 42 42 42 10 33 42 42 11 42 42 42 11 42 16 16 42 42 15 42 36 30 0 10 12 42 42 29 42 42 20 42 16 42 42 42 42 42 42 42 39 42 42 42 39 21 20 22 21 13 14 1 17 41 29 0 10 33 11 11 12 8 1 38 3 23 20 11 21 42 42 30 23 12 24 18 24 1 23 41 26 32 40 0 6 27 14 4 8 23 4 0 9 4 31 1 33 28 39 4 10 36 33 25 39 27 20 29 13 29 32 23 30 26 20 0 32 39 10 33 23 40 29 42 2 4 13 15 9 15 5 25 24 31 30 18 3 26 30 2 5 12 37 6 3 4 3 37 0 2 2 4 3 6 4 0 0 37 0 1 3 3 12 37 6 0 0 1 0 0 18 37 0 0 5 6 0 5 6 0 35 3 34 0 37 0 3 0 6 29 4 10 2 3 2 5 3 1 37 26 4 0 5 2 3 3 3 35 2 24 0 41 3 3 3 3 3 26 36 4 4 3 5 41 37 3 6 5 5 6 26 6 4 12 3 0 0 0 33 0 22 0 2 3 3 41 19 23 14 16 7 20 26 24 7 37 5 15 5 36 18 39 37 24 14 40 9 33 22 20 34 28 3 38 1 0 25 35 18 19 15 40 33 23 26 11 39 20 35 33 33 41 42 26 12 33 20 29 20 23 34 1 18 39 7 25 29 25 26 22 29 37 13 5 19 11 31 31 21 13 28 19 34 10 10 24 11 31 8 34 30 14 28 8 0 31 26 6 36 7 29 24 17 41"
2,2,-0.4553,0.8696,0.6791,-0.0659,0.2514,"28 3 22 28 33 20 31 35 24 23 14 33 22 27 24 1 41 9 25 38 27 24 0 14 37 31 22 27 16 1 24 1 0 18 17 22 29 29 32 13 21 8 20 27 9 24 7 23 30 23 16 39 29 25 6 23 4 9 3 10 6 21 15 7 36 10 9 40 7 3 35 18 29 40 18 8 33 24 16 35 41 26 32 33 10 31 33 1 20 17 10 42 6 11 16 8 42 17 26 36 15 24 42 42 42 12 42 20 42 3 42 42 42 7 42 15 41 12 34 42 42 12 42 16 42 42 42 42 5 42 12 42 42 42 42 42 42 12 42 42 21 42 41 42 42 42 42 42 42 16 42 41 42 42 35 42 11 42 42 42 10 33 42 42 11 42 42 42 11 42 16 16 42 42 15 42 36 30 0 10 12 42 42 29 42 42 20 42 16 42 42 42 42 42 42 42 39 42 42 42 39 21 20 22 21 13 14 1 17 41 29 0 10 33 11 11 12 8 1 38 3 23 20 11 21 42 42 30 23 12 24 18 24 1 23 41 26 32 40 0 6 27 14 4 8 23 4 0 9 4 31 1 33 28 39 4 10 36 33 25 39 27 20 29 13 29 32 23 30 26 20 0 32 39 10 33 23 40 29 42 2 4 13 15 9 15 5 25 24 31 30 18 3 26 30 2 5 12 37 6 3 4 3 37 0 2 2 4 3 6 4 0 0 37 0 1 3 3 12 37 6 0 0 1 0 0 18 37 0 0 5 6 0 5 6 0 35 3 34 0 37 0 3 0 6 29 4 10 2 3 2 5 3 1 37 26 4 0 5 2 3 3 3 35 2 24 0 41 3 3 3 3 3 26 36 4 4 3 5 41 37 3 6 5 5 6 26 6 4 12 3 0 0 0 33 0 22 0 2 3 3 41 19 23 14 16 7 20 26 24 7 37 5 15 5 36 18 39 37 24 14 40 9 33 22 20 34 28 3 38 1 0 25 35 18 19 15 40 33 23 26 11 39 20 35 33 33 41 42 26 12 33 20 29 20 23 34 1 18 39 7 25 29 25 26 22 29 37 13 5 19 11 31 31 21 13 28 19 34 10 10 24 11 31 8 34 30 14 28 8 0 31 26 6 36 7 29 24 17 41"
3,3,-0.5296,0.8462,0.5189,-0.1316,0.2840,"23 12 12 12 10 14 23 22 12 12 18 12 23 12 16 22 12 12 12 21 12 12 12 12 12 21 12 12 12 12 12 12 12 18 25 22 12 12 40 12 22 21 34 12 12 12 16 12 5 21 12 26 22 12 15 30 31 35 23 0 12 21 12 12 12 12 12 12 11 1 6 32 12 12 35 12 12 32 12 12 21 12 40 1 12 12 12 12 20 12 2 18 12 12 25 21 21 19 12 12 2 2 39 23 7 2 2 8 2 2 8 2 0 2 29 2 2 2 2 2 7 2 2 2 2 2 2 2 2 2 7 16 2 2 2 2 2 2 20 2 2 8 2 6 2 7 2 25 2 2 2 2 2 1 32 40 25 19 6 2 2 6 2 2 8 37 7 12 2 2 2 38 2 2 37 7 2 2 2 2 2 10 24 2 4 2 2 2 2 2 2 2 19 2 2 2 2 2 2 2 39 21 20 22 21 13 14 1 17 41 29 0 10 33 11 11 12 8 1 38 3 23 20 11 21 42 42 30 23 12 24 18 24 1 23 41 26 32 40 0 6 27 14 4 8 23 4 0 9 4 31 1 33 28 39 4 10 36 33 25 39 27 20 29 13 29 32 23 30 26 20 0 32 39 10 33 23 40 29 42 2 4 13 15 9 15 5 25 24 31 30 18 3 26 30 2 5 12 37 6 11 9 39 9 31 39 39 40 9 39 39 9 39 20 9 10 39 39 9 22 9 9 9 9 0 39 7 9 9 9 9 39 9 9 9 28 17 9 39 39 18 9 9 29 10 24 42 9 9 9 39 9 14 5 9 31 10 39 39 9 39 9 9 39 9 9 37 38 9 32 6 15 9 39 39 5 39 9 9 39 28 1 9 9 9 9 17 9 39 39 7 1 9 37 9 39 1 8 9 9 7 12 12 12 18 12 40 19 12 12 12 12 12 23 12 12 17 12 12 12 12 21 12 18 12 12 12 12 6 12 12 12 17 12 12 12 18 17 12 12 18 12 17 17 12 40 12 12 17 12 12 12 12 12 12 41 12 12 4 18 20 12 12 20 26 12 6 12 25 12 17 12 12 12 12 12 36 12 3 16 12 12 12 12 12 12 12 12 12 7 12 12 12 17 17 12 17 12 18 12"
4,4,-0.5371,0.9259,0.6375,-0.1652,0.1863,"2 2 4 11 5 3 2 11 2 23 9 5 2 2 1 18 39 2 40 3 2 1 13 12 2 5 2 4 38 2 1 38 1 2 3 2 2 5 3 13 5 0 38 5 2 2 23 2 1 2 4 2 0 38 5 1 13 2 3 2 15 2 2 38 2 0 2 2 2 13 2 2 2 2 17 2 6 2 5 13 2 2 31 7 2 42 0 2 2 38 27 2 2 2 2 2 32 2 2 33 22 41 42 20 29 21 35 39 6 25 30 32 6 0 10 34 32 42 2 25 40 16 30 39 41 8 33 42 8 9 41 0 3 19 23 26 32 41 17 40 8 2 40 30 1 42 22 40 11 41 4 19 42 38 29 19 10 14 2 8 5 16 40 41 14 28 25 29 14 37 17 4 11 17 35 27 8 30 30 31 41 14 30 8 37 29 27 37 6 5 23 35 2 7 42 10 27 3 34 39 29 28 28 28 28 28 0 13 28 28 28 28 28 28 28 28 8 28 28 28 28 30 28 7 28 28 28 28 28 27 28 28 8 28 26 29 28 28 28 12 28 7 14 28 28 30 28 37 28 28 28 28 28 30 28 28 30 28 28 10 29 29 9 28 27 24 28 28 41 28 28 28 25 14 28 28 28 28 6 2 36 30 34 18 28 8 28 28 37 28 24 3 28 0 28 29 32 28 28 28 30 29 12 12 29 10 1 12 19 11 12 37 12 12 38 31 13 12 25 26 22 12 13 3 12 15 31 32 12 12 13 0 12 12 16 12 12 28 33 13 12 12 12 0 13 12 12 38 3 12 12 12 22 12 12 32 12 0 12 12 12 12 12 12 12 32 3 12 12 13 12 12 12 12 12 32 41 0 1 12 1 35 2 27 32 12 42 12 42 12 12 1 12 12 12 12 30 38 9 12 5 35 36 23 15 24 33 5 34 4 11 18 21 28 35 25 41 13 29 36 31 31 15 29 16 31 4 10 19 39 1 35 21 37 27 17 9 31 3 41 39 3 30 4 18 42 31 41 11 22 8 31 36 11 35 2 42 22 12 0 25 42 37 31 23 40 36 16 1 28 29 32 37 2 35 41 42 28 22 2 6 2 28 5 4 25 33 37 12 28 15 38 25 20 0 32 33 38 28 4"
5,4,-0.5371,0.9259,0.6375,-0.1944,0.1149,"2 2 4 11 5 3 2 11 2 23 9 5 2 2 1 18 39 2 40 3 2 1 13 12 2 5 2 4 38 2 1 38 1 2 3 2 2 5 3 13 5 0 38 5 2 2 23 2 1 2 4 2 0 38 5 1 13 2 3 2 15 2 2 38 2 0 2 2 2 13 2 2 2 2 17 2 6 2 5 13 2 2 31 7 2 42 0 2 2 38 27 2 2 2 2 2 32 2 2 33 22 41 42 20 29 21 35 39 6 25 30 32 6 0 10 34 32 42 2 25 40 16 30 39 41 8 33 42 8 9 41 0 3 19 23 26 32 41 17 40 8 2 40 30 1 42 22 40 11 41 4 19 42 38 29 19 10 14 2 8 5 16 40 41 14 28 25 29 14 37 17 4 11 17 35 27 8 30 30 31 41 14 30 8 37 29 27 37 6 5 23 35 2 7 42 10 27 3 34 39 29 28 28 28 28 28 0 13 28 28 28 28 28 28 28 28 8 28 28 28 28 30 28 7 28 28 28 28 28 27 28 28 8 28 26 29 28 28 28 12 28 7 14 28 28 30 28 37 28 28 28 28 28 30 28 28 30 28 28 10 29 29 9 28 27 24 28 28 41 28 28 28 25 14 28 28 28 28 6 2 36 30 34 18 28 8 28 28 37 28 24 3 28 0 28 29 32 28 28 28 30 29 12 12 29 10 1 12 19 11 12 37 12 12 38 31 13 12 25 26 22 12 13 3 12 15 31 32 12 12 13 0 12 12 16 12 12 28 33 13 12 12 12 0 13 12 12 38 3 12 12 12 22 12 12 32 12 0 12 12 12 12 12 12 12 32 3 12 12 13 12 12 12 12 12 32 41 0 1 12 1 35 2 27 32 12 42 12 42 12 12 1 12 12 12 12 30 38 9 12 5 35 36 23 15 24 33 5 34 4 11 18 21 28 35 25 41 13 29 36 31 31 15 29 16 31 4 10 19 39 1 35 21 37 27 17 9 31 3 41 39 3 30 4 18 42 31 41 11 22 8 31 36 11 35 2 42 22 12 0 25 42 37 31 23 40 36 16 1 28 29 32 37 2 35 41 42 28 22 2 6 2 28 5 4 25 33 37 12 28 15 38 25 20 0 32 33 38 28 4"
6,4,-0.5371,0.9259,0.6375,-0.1855,0.2005,"2 2 4 11 5 3 2 11 2 23 9 5 2 2 1 18 39 2 40 3 2 1 13 12 2 5 2 4 38 2 1 38 1 2 3 2 2 5 3 13 5 0 38 5 2 2 23 2 1 2 4 2 0 38 5 1 13 2 3 2 15 2 2 38 2 0 2 2 2 13 2 2 2 2 17 2 6 2 5 13 2 2 31 7 2 42 0 2 2 38 27 2 2 2 2 2 32 2 2 33 22 41 42 20 29 21 35 39 6 25 30 32 6 0 10 34 32 42 2 25 40 16 30 39 41 8 33 42 8 9 41 0 3 19 23 26 32 41 17 40 8 2 40 30 1 42 22 40 11 41 4 19 42 38 29 19 10 14 2 8 5 16 40 41 14 28 25 29 14 37 17 4 11 17 35 27 8 30 30 31 41 14 30 8 37 29 27 37 6 5 23 35 2 7 42 10 27 3 34 39 29 28 28 28 28 28 0 13 28 28 28 28 28 28 28 28 8 28 28 28 28 30 28 7 28 28 28 28 28 27 28 28 8 28 26 29 28 28 28 12 28 7 14 28 28 30 28 37 28 28 28 28 28 30 28 28 30 28 28 10 29 29 9 28 27 24 28 28 41 28 28 28 25 14 28 28 28 28 6 2 36 30 34 18 28 8 28 28 37 28 24 3 28 0 28 29 32 28 28 28 30 29 12 12 29 10 1 12 19 11 12 37 12 12 38 31 13 12 25 26 22 12 13 3 12 15 31 32 12 12 13 0 12 12 16 12 12 28 33 13 12 12 12 0 13 12 12 38 3 12 12 12 22 12 12 32 12 0 12 12 12 12 12 12 12 32 3 12 12 13 12 12 12 12 12 32 41 0 1 12 1 35 2 27 32 12 42 12 42 12 12 1 12 12 12 12 30 38 9 12 5 35 36 23 15 24 33 5 34 4 11 18 21 28 35 25 41 13 29 36 31 31 15 29 16 31 4 10 19 39 1 35 21 37 27 17 9 31 3 41 39 3 30 4 18 42 31 41 11 22 8 31 36 11 35 2 42 22 12 0 25 42 37 31 23 40 36 16 1 28 29 32 37 2 35 41 42 28 22 2 6 2 28 5 4 25 33 37 12 28 15 38 25 20 0 32 33 38 28 4"
7,4,-0.5371,0.9259,0.6375,-0.1796,0.1764,"2 2 4 11 5 3 2 11 2 23 9 5 2 2 1 18 39 2 40 3 2 1 13 12 2 5 2 4 38 2 1 38 1 2 3 2 2 5 3 13 5 0 38 5 2 2 23 2 1 2 4 2 0 38 5 1 13 2 3 2 15 2 2 38 2 0 2 2 2 13 2 2 2 2 17 2 6 2 5 13 2 2 31 7 2 42 0 2 2 38 27 2 2 2 2 2 32 2 2 33 22 41 42 20 29 21 35 39 6 25 30 32 6 0 10 34 32 42 2 25 40 16 30 39 41 8 33 42 8 9 41 0 3 19 23 26 32 41 17 40 8 2 40 30 1 42 22 40 11 41 4 19 42 38 29 19 10 14 2 8 5 16 40 41 14 28 25 29 14 37 17 4 11 17 35 27 8 30 30 31 41 14 30 8 37 29 27 37 6 5 23 35 2 7 42 10 27 3 34 39 29 28 28 28 28 28 0 13 28 28 28 28 28 28 28 28 8 28 28 28 28 30 28 7 28 28 28 28 28 27 28 28 8 28 26 29 28 28 28 12 28 7 14 28 28 30 28 37 28 28 28 28 28 30 28 28 30 28 28 10 29 29 9 28 27 24 28 28 41 28 28 28 25 14 28 28 28 28 6 2 36 30 34 18 28 8 28 28 37 28 24 3 28 0 28 29 32 28 28 28 30 29 12 12 29 10 1 12 19 11 12 37 12 12 38 31 13 12 25 26 22 12 13 3 12 15 31 32 12 12 13 0 12 12 16 12 12 28 33 13 12 12 12 0 13 12 12 38 3 12 12 12 22 12 12 32 12 0 12 12 12 12 12 12 12 32 3 12 12 13 12 12 12 12 12 32 41 0 1 12 1 35 2 27 32 12 42 12 42 12 12 1 12 12 12 12 30 38 9 12 5 35 36 23 15 24 33 5 34 4 11 18 21 28 35 25 41 13 29 36 31 31 15 29 16 31 4 10 19 39 1 35 21 37 27 17 9 31 3 41 39 3 30 4 18 42 31 41 11 22 8 31 36 11 35 2 42 22 12 0 25 42 37 31 23 40 36 16 1 28 29 32 37 2 35 41 42 28 22 2 6 2 28 5 4 25 33 37 12 28 15 38 25 20 0 32 33 38 28 4"
8,5,-0.6018,0.9545,0.5782,-0.2021,0.1685,"2 2 2 2 2 37 2 2 24 2 2 2 2 2 4 1 41 2 6 2 2 24 2 14 2 2 2 27 16 2 2 2 2 2 17 22 2 2 2 13 2 8 2 27 9 2 2 2 2 23 16 2 2 2 6 23 2 2 3 2 6 2 2 7 2 2 2 2 2 3 2 18 2 40 2 2 2 2 2 35 2 2 2 2 2 2 2 1 20 17 2 42 6 2 2 2 2 2 2 2 41 41 41 41 41 41 42 20 42 41 42 41 41 7 41 41 41 41 41 41 42 41 41 41 41 41 41 41 5 41 41 41 41 41 41 41 42 41 41 41 0 41 41 42 41 13 41 41 38 16 41 3 41 41 41 1 11 0 41 41 10 33 41 41 41 41 41 42 41 41 41 0 42 42 41 42 13 41 41 10 12 41 42 3 42 41 41 41 0 41 41 41 41 41 42 1 13 42 41 42 25 25 25 25 25 26 25 25 25 25 27 25 25 25 11 25 12 25 25 25 27 25 25 11 25 42 25 27 25 25 25 25 24 25 23 41 25 25 25 0 25 25 25 25 26 25 4 27 25 25 27 25 33 25 39 4 25 25 25 25 25 25 25 25 25 25 32 25 30 26 25 25 25 25 25 26 25 25 25 25 25 25 13 25 25 15 5 25 24 25 27 27 27 25 25 25 25 12 25 25 3 4 3 37 0 2 2 4 3 6 4 0 0 37 0 1 3 3 12 37 6 0 0 1 0 0 18 37 0 0 5 6 0 5 6 0 35 3 34 0 37 0 3 0 6 29 4 10 2 3 2 5 3 1 37 26 4 0 5 2 3 3 3 35 2 24 0 41 3 3 3 3 3 26 36 4 4 3 5 41 37 3 6 5 5 6 26 6 4 12 3 0 0 0 33 0 22 0 2 3 0 41 25 0 0 13 0 3 0 0 0 3 3 0 3 25 3 0 25 0 0 25 0 3 25 0 0 0 3 0 3 0 25 0 3 38 25 3 25 3 25 3 25 25 25 0 33 25 3 25 25 0 25 29 0 3 3 0 0 39 25 3 38 3 41 38 3 0 13 0 0 11 13 25 3 0 28 3 3 3 0 27 0 31 0 3 25 3 3 0 0 3 3 6 0 25 3 3 3 3"
9,5,-0.6018,0.9545,0.5782,-0.1907,0.2078,"2 2 2 2 2 37 2 2 24 2 2 2 2 2 4 1 41 2 6 2 2 24 2 14 2 2 2 27 16 2 2 2 2 2 17 22 2 2 2 13 2 8 2 27 9 2 2 2 2 23 16 2 2 2 6 23 2 2 3 2 6 2 2 7 2 2 2 2 2 3 2 18 2 40 2 2 2 2 2 35 2 2 2 2 2 2 2 1 20 17 2 42 6 2 2 2 2 2 2 2 41 41 41 41 41 41 42 20 42 41 42 41 41 7 41 41 41 41 41 41 42 41 41 41 41 41 41 41 5 41 41 41 41 41 41 41 42 41 41 41 0 41 41 42 41 13 41 41 38 16 41 3 41 41 41 1 11 0 41 41 10 33 41 41 41 41 41 42 41 41 41 0 42 42 41 42 13 41 41 10 12 41 42 3 42 41 41 41 0 41 41 41 41 41 42 1 13 42 41 42 25 25 25 25 25 26 25 25 25 25 27 25 25 25 11 25 12 25 25 25 27 25 25 11 25 42 25 27 25 25 25 25 24 25 23 41 25 25 25 0 25 25 25 25 26 25 4 27 25 25 27 25 33 25 39 4 25 25 25 25 25 25 25 25 25 25 32 25 30 26 25 25 25 25 25 26 25 25 25 25 25 25 13 25 25 15 5 25 24 25 27 27 27 25 25 25 25 12 25 25 3 4 3 37 0 2 2 4 3 6 4 0 0 37 0 1 3 3 12 37 6 0 0 1 0 0 18 37 0 0 5 6 0 5 6 0 35 3 34 0 37 0 3 0 6 29 4 10 2 3 2 5 3 1 37 26 4 0 5 2 3 3 3 35 2 24 0 41 3 3 3 3 3 26 36 4 4 3 5 41 37 3 6 5 5 6 26 6 4 12 3 0 0 0 33 0 22 0 2 3 0 41 25 0 0 13 0 3 0 0 0 3 3 0 3 25 3 0 25 0 0 25 0 3 25 0 0 0 3 0 3 0 25 0 3 38 25 3 25 3 25 3 25 25 25 0 33 25 3 25 25 0 25 29 0 3 3 0 0 39 25 3 38 3 41 38 3 0 13 0 0 11 13 25 3 0 28 3 3 3 0 27 0 31 0 3 25 3 3 0 0 3 3 6 0 25 3 3 3 3"
