rank,fitness,winrate,genome
1,-0.7617,1.0000,"7 17 8 7 19 7 7 7 19 7 7 13 7 19 7 17 7 7 8 19 15 17 17 7 7 7 15 40 7 7 7 7 7 7 7 7 7 7 17 7 7 7 25 7 7 17 7 7 17 15 8 7 7 19 17 7 7 7 8 7 7 7 19 19 7 25 7 7 7 7 7 19 7 7 7 17 40 7 9 40 7 7 7 17 7 8 7 7 19 7 7 7 19 7 7 17 17 7 7 17 25 3 25 25 3 0 38 12 25 39 25 1 25 25 25 26 38 2 0 39 39 13 25 25 25 2 2 25 25 25 25 13 13 25 2 39 39 25 3 27 25 2 25 2 2 1 25 39 39 39 25 38 0 39 39 25 25 39 2 2 7 0 25 7 27 25 25 13 39 39 39 25 13 27 0 25 25 39 7 0 25 25 2 25 3 39 20 39 39 25 26 2 2 25 25 39 25 25 3 39 31 31 31 31 12 2 31 31 31 41 31 31 31 41 32 38 31 31 41 12 31 31 31 12 31 31 31 12 12 31 31 31 31 31 33 31 12 31 41 31 31 31 37 31 31 12 31 33 41 31 31 33 31 31 31 31 31 31 12 31 31 31 41 31 31 31 31 31 31 31 31 32 31 31 41 31 31 31 31 41 41 31 31 41 5 41 31 31 31 31 31 31 31 31 31 31 31 31 6 31 38 31 31 31 31 31 31 31 31 13 31 31 31 17 31 31 31 1 31 31 31 31 31 32 31 31 33 38 31 32 13 31 32 31 31 8 0 31 31 38 31 31 31 31 31 32 17 33 31 31 17 31 31 7 31 0 3 31 31 17 31 31 31 31 17 17 31 31 0 31 0 7 33 18 7 17 31 31 17 8 33 31 31 17 31 17 17 0 31 0 33 31 3 31 31 31 31 31 31 31 41 41 41 41 41 0 3 41 0 6 41 41 41 0 41 2 41 3 41 41 0 41 41 13 41 41 41 41 41 0 3 41 41 41 41 2 41 41 2 2 41 41 0 41 41 41 2 41 41 41 41 4 41 41 41 41 41 41 41 41 41 41 0 38 3 4 0 41 2 2 41 3 41 41 3 3 41 2 2 41 41 3 41 41 2 41 3 41 2 38 41 41 2 2 41 1 41 3 41 0"
2,-0.7532,0.9643,"12 7 7 7 19 7 39 39 12 39 7 39 7 7 39 7 39 7 7 7 7 8 7 39 39 7 7 7 7 7 7 39 7 7 7 7 7 7 8 7 8 7 7 39 7 39 7 7 7 7 7 12 39 25 7 12 25 7 12 39 27 39 7 12 7 39 7 39 8 7 39 39 7 7 39 39 7 7 39 7 7 39 7 39 7 7 39 7 7 7 7 7 7 7 7 39 7 7 39 7 25 3 25 25 3 0 38 12 25 39 25 1 25 25 25 26 38 2 0 39 39 13 25 25 25 2 2 25 25 25 25 13 13 25 2 39 39 25 3 27 25 2 25 2 2 1 25 39 39 39 25 38 0 39 39 25 25 39 2 2 7 0 25 7 27 25 25 13 39 39 39 25 13 27 0 25 25 39 7 0 25 25 2 25 3 39 20 39 39 25 26 2 2 25 25 39 25 25 3 39 31 31 31 31 12 2 31 31 31 41 31 31 31 41 32 38 31 31 41 12 31 31 31 12 31 31 31 12 12 31 31 31 31 31 33 31 12 31 41 31 31 31 37 31 31 12 31 33 41 31 31 33 31 31 31 31 31 31 12 31 31 31 41 31 31 31 31 31 31 31 31 32 31 31 41 31 31 31 31 41 41 31 31 41 5 41 31 31 31 31 31 31 31 31 31 31 31 31 6 31 38 31 31 39 39 31 39 31 39 13 31 39 31 17 39 31 31 1 39 31 31 31 31 32 39 31 39 38 31 32 13 31 32 39 31 8 39 31 39 38 31 31 31 31 31 32 17 33 39 31 39 31 31 7 31 0 3 31 31 39 39 31 31 31 17 39 31 31 0 31 0 7 39 39 39 17 31 31 17 8 33 31 39 17 31 17 39 0 31 0 39 39 39 39 31 31 39 39 39 31 31 0 3 31 31 0 31 41 0 6 3 0 3 3 31 31 0 3 3 41 3 12 12 0 0 3 0 31 31 31 0 31 31 31 0 31 31 41 31 31 41 31 3 31 3 0 3 0 31 41 3 3 41 0 31 31 41 0 31 31 0 16 3 0 31 0 0 3 0 0 31 0 31 41 3 3 0 31 2 3 3 0 3 0 2 0 3 41 3 31 31 31 0 0 3 0 0 3 3 0"
3,-0.7301,0.9697,"42 42 42 16 42 42 42 2 42 2 9 42 42 42 42 16 42 42 2 2 42 42 42 42 42 42 42 3 2 42 16 16 16 38 42 42 42 42 42 42 42 42 12 42 2 12 2 42 42 16 42 42 2 42 42 42 9 42 11 42 13 42 42 42 42 42 42 42 42 42 16 42 42 42 6 0 42 42 38 42 38 12 42 12 42 42 42 42 42 42 16 42 42 42 42 42 42 42 9 10 25 3 12 25 3 16 12 12 25 39 16 1 25 25 25 26 38 12 0 39 39 12 25 25 25 2 2 25 12 25 25 13 13 25 2 39 39 25 3 27 25 2 25 2 2 1 25 39 39 39 25 38 0 39 39 25 25 39 2 2 7 0 25 7 27 25 25 13 39 39 39 25 13 16 16 25 25 39 16 16 25 25 2 25 16 39 16 39 39 16 26 2 2 25 25 16 16 12 16 39 42 10 42 9 42 42 10 42 42 42 2 42 42 42 9 4 12 42 42 2 9 42 42 12 42 42 9 42 42 9 9 42 42 42 9 42 5 42 37 42 37 9 9 42 4 5 42 42 42 42 6 42 9 9 37 9 9 42 6 42 42 9 42 9 42 42 5 37 12 5 42 42 42 9 42 42 42 42 9 42 9 42 42 42 42 42 6 37 9 41 42 42 9 42 42 42 42 9 2 42 2 1 8 38 17 2 2 17 2 7 2 7 31 31 2 2 17 2 17 2 2 2 31 2 3 17 7 2 2 31 31 2 2 31 2 2 2 2 31 31 7 2 2 2 7 2 8 31 2 2 17 2 17 31 2 31 31 2 2 2 31 2 13 31 2 2 2 2 2 2 2 2 7 2 2 31 2 8 2 31 2 2 31 2 8 8 17 2 2 2 7 2 2 31 7 2 2 31 33 31 41 41 41 41 41 0 3 41 0 6 41 41 41 0 41 2 41 3 41 41 0 41 41 13 41 41 41 41 41 0 3 41 41 41 41 2 41 41 2 2 41 41 0 41 41 41 2 41 41 41 41 4 41 41 41 41 41 41 41 41 41 41 0 38 3 4 0 41 2 2 41 3 41 41 3 3 41 2 2 41 41 3 41 41 2 41 3 41 2 38 41 41 2 2 41 1 41 3 41 0"
4,-0.6209,1.0000,"42 42 42 16 42 42 42 2 42 2 9 42 42 42 42 16 42 42 2 2 42 42 42 42 42 42 42 3 2 42 16 16 16 38 42 42 42 42 42 42 42 42 12 42 2 12 2 42 42 16 42 42 2 42 42 42 9 42 11 42 13 42 42 42 42 42 42 42 42 42 16 42 42 42 6 0 42 42 38 42 38 12 42 12 42 42 42 42 42 42 16 42 42 42 42 42 42 42 9 10 25 3 12 25 3 16 12 12 25 39 16 1 25 25 25 26 38 12 0 39 39 12 25 25 25 2 2 25 12 25 25 13 13 25 2 39 39 25 3 27 25 2 25 2 2 1 25 39 39 39 25 38 0 39 39 25 25 39 2 2 7 0 25 7 27 25 25 13 39 39 39 25 13 16 16 25 25 39 16 16 25 25 2 25 16 39 16 39 39 16 26 2 2 25 25 16 16 12 16 39 37 10 2 9 2 2 2 42 2 42 2 2 42 42 2 2 12 2 2 2 9 2 2 12 2 2 2 2 2 2 5 42 2 2 2 6 2 37 37 42 2 2 2 42 4 2 42 42 2 42 6 2 9 2 4 2 2 2 2 2 42 9 42 2 2 2 2 37 2 2 2 42 42 2 2 5 2 2 2 42 9 2 2 2 42 2 2 2 2 41 2 42 2 2 42 42 2 9 2 2 25 27 16 25 25 25 27 17 25 25 2 25 31 25 25 25 25 25 25 25 2 2 31 2 25 25 7 25 25 31 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 16 12 25 16 26 2 25 25 25 25 25 25 25 2 25 26 25 25 12 2 25 2 25 12 2 2 25 27 25 25 2 25 2 25 2 16 25 25 25 25 25 25 25 25 7 2 2 31 16 2 12 25 25 25 23 23 23 41 23 6 23 23 0 23 23 24 23 24 23 28 23 23 23 23 23 23 4 23 23 5 23 23 41 23 23 23 23 37 6 23 41 23 28 23 28 5 23 5 23 23 23 4 28 23 6 23 23 28 4 23 23 23 28 37 24 6 23 28 23 6 23 23 23 2 23 5 41 23 28 28 23 23 37 6 41 23 23 23 23 41 23 41 23 23 23 23 2 28 23 23 4 37 41 28"
5,-0.6002,0.9600,"2 28 8 2 2 12 12 12 2 12 2 2 2 2 2 2 2 2 8 2 2 2 2 2 2 2 7 2 28 2 7 2 12 12 2 7 2 2 2 12 12 2 28 2 2 2 2 2 2 12 7 2 2 2 7 2 12 2 2 2 12 7 2 2 2 2 2 2 2 2 12 2 12 12 2 2 2 2 2 29 2 2 2 2 2 2 2 2 7 2 12 8 2 2 2 7 7 12 2 2 25 3 25 25 3 0 38 12 25 39 25 1 25 25 25 26 38 2 0 39 39 13 25 25 25 2 2 25 25 25 25 13 13 25 2 39 39 25 3 27 25 2 25 2 2 1 25 39 39 39 25 38 0 39 39 25 25 39 2 2 7 0 25 7 27 25 25 13 39 39 39 25 13 27 0 25 25 39 7 0 25 25 2 25 3 39 20 39 39 25 26 2 2 25 25 39 25 25 3 39 17 41 17 17 17 17 17 17 42 17 17 41 18 17 17 41 12 17 12 12 12 18 17 17 17 17 41 17 41 17 17 41 13 17 17 17 41 41 36 12 18 17 17 25 34 25 17 41 41 41 17 17 17 17 17 17 17 41 17 17 41 17 17 41 17 17 17 12 17 35 17 17 17 17 41 17 17 17 25 17 17 17 17 18 17 41 17 17 17 17 17 17 17 41 17 18 41 18 12 17 25 27 16 25 25 25 3 38 25 25 2 25 31 25 25 25 1 25 25 25 2 2 0 38 25 25 3 25 25 38 25 25 25 25 25 25 25 25 25 3 1 25 1 25 25 25 16 12 38 13 26 2 0 25 25 25 1 38 25 38 25 26 1 25 38 1 38 2 25 12 2 2 25 27 25 25 2 3 13 25 3 16 25 25 25 25 3 25 25 3 7 38 2 31 16 2 12 25 25 25 2 13 2 9 9 9 1 9 13 13 9 2 2 9 9 9 2 3 2 2 13 2 2 38 2 13 9 38 2 38 9 2 9 9 9 2 38 3 3 2 9 2 38 2 3 2 2 1 9 2 0 0 2 3 9 9 2 2 9 5 1 2 2 2 9 2 9 2 37 2 13 2 2 9 9 13 2 0 1 9 2 4 13 2 2 2 2 4 2 2 2 1 2 2 37 2 2 9 9 2"
6,-0.5794,1.0000,"12 12 12 12 12 12 12 12 24 2 28 29 12 42 28 12 12 12 28 28 28 12 12 28 28 12 12 28 12 12 12 12 12 12 12 42 12 42 12 12 12 28 12 28 2 28 28 12 12 12 12 28 24 42 12 12 12 28 12 28 12 28 42 12 28 24 12 28 42 12 12 23 12 28 28 12 12 12 23 12 23 12 12 24 28 12 12 28 12 12 12 24 42 28 12 12 23 12 9 24 25 3 12 25 3 16 12 12 25 39 16 1 25 25 25 26 38 12 0 39 39 12 25 25 25 2 2 25 12 25 25 13 13 25 2 39 39 25 3 27 25 2 25 2 2 1 25 39 39 39 25 38 0 39 39 25 25 39 2 2 7 0 25 7 27 25 25 13 39 39 39 25 13 16 16 25 25 39 16 16 25 25 2 25 16 39 16 39 39 16 26 2 2 25 25 16 16 12 16 39 2 2 42 2 2 2 2 2 2 2 2 2 2 2 2 2 12 2 2 2 9 2 10 2 2 2 2 2 4 2 2 2 2 11 2 2 37 2 2 37 2 2 2 2 2 2 2 2 2 2 2 37 2 2 2 2 2 42 4 2 2 2 42 2 2 2 2 2 2 10 6 2 6 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 6 2 2 2 9 42 2 2 42 2 6 42 25 27 16 25 25 25 27 17 25 25 2 25 31 25 25 25 25 25 25 25 2 2 31 2 25 25 7 25 25 31 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 16 12 25 16 26 2 25 25 25 25 25 25 25 2 25 26 25 25 12 2 25 2 25 12 2 2 25 27 25 25 2 25 2 25 2 16 25 25 25 25 25 25 25 25 7 2 2 31 16 2 12 25 25 25 41 41 41 41 41 0 3 41 0 6 41 41 41 0 41 2 41 3 41 41 0 41 41 13 41 41 41 41 41 0 3 41 41 41 41 2 41 41 2 2 41 41 0 41 41 41 2 41 41 41 41 4 41 41 41 41 41 41 41 41 41 41 0 38 3 4 0 41 2 2 41 3 41 41 3 3 41 2 2 41 41 3 41 41 2 41 3 41 2 38 41 41 2 2 41 1 41 3 41 0"
7,-0.5625,0.9583,"12 12 12 12 12 12 12 12 24 2 28 29 12 42 28 12 12 12 28 28 28 12 12 28 28 12 12 28 12 12 12 12 12 12 12 42 12 42 12 12 12 28 12 28 2 28 28 12 12 12 12 28 24 42 12 12 12 28 12 28 12 28 42 12 28 24 12 28 42 12 12 23 12 28 28 12 12 12 23 12 23 12 12 24 28 12 12 28 12 12 12 24 42 28 12 12 23 12 9 24 25 3 12 25 3 16 12 12 25 39 16 1 25 25 25 26 38 12 0 39 39 12 25 25 25 2 2 25 12 25 25 13 13 25 2 39 39 25 3 27 25 2 25 2 2 1 25 39 39 39 25 38 0 39 39 25 25 39 2 2 7 0 25 7 27 25 25 13 39 39 39 25 13 16 16 25 25 39 16 16 25 25 2 25 16 39 16 39 39 16 26 2 2 25 25 16 16 12 16 39 2 2 42 2 2 2 2 2 2 2 2 2 2 2 2 2 12 2 2 2 9 2 10 2 2 2 2 2 4 2 2 2 2 11 2 2 37 2 2 37 2 2 2 2 2 2 2 2 2 2 2 37 2 2 2 2 2 42 4 2 2 2 42 2 2 2 2 2 2 10 6 2 6 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 6 2 2 2 9 42 2 2 42 2 6 42 25 27 16 25 25 25 27 17 25 25 2 25 31 25 25 25 25 25 25 25 2 2 31 2 25 25 7 25 25 31 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 16 12 25 16 26 2 25 25 25 25 25 25 25 2 25 26 25 25 12 2 25 2 25 12 2 2 25 27 25 25 2 25 2 25 2 16 25 25 25 25 25 25 25 25 7 2 2 31 16 2 12 25 25 25 41 41 41 41 41 0 3 41 0 6 41 41 41 0 41 2 41 3 41 41 0 41 41 13 41 41 41 41 41 0 3 41 41 41 41 2 41 41 2 2 41 41 0 41 41 41 2 41 41 41 41 4 41 41 41 41 41 41 41 41 41 41 0 38 3 4 0 41 2 2 41 3 41 41 3 3 41 2 2 41 41 3 41 41 2 41 3 41 2 38 41 41 2 2 41 1 41 3 41 0"
8,-0.5364,0.9130,"12 29 12 28 12 12 15 28 2 12 12 12 12 2 12 6 12 12 12 12 17 2 2 2 2 30 42 29 2 12 12 12 12 12 12 12 12 2 12 12 12 12 2 15 12 2 12 12 12 12 12 30 12 12 42 12 9 12 29 12 2 17 2 12 12 12 5 12 15 2 2 12 12 2 2 12 30 12 12 28 12 2 12 12 2 12 12 2 2 17 2 12 28 12 12 29 12 12 12 12 25 3 12 25 3 16 12 12 25 39 16 1 25 25 25 26 38 12 0 39 39 12 25 25 25 2 2 25 12 25 25 13 13 25 2 39 39 25 3 27 25 2 25 2 2 1 25 39 39 39 25 38 0 39 39 25 25 39 2 2 7 0 25 7 27 25 25 13 39 39 39 25 13 16 16 25 25 39 16 16 25 25 2 25 16 39 16 39 39 16 26 2 2 25 25 16 16 12 16 39 42 10 42 9 42 42 10 42 42 42 2 42 42 42 9 4 12 42 42 2 9 42 42 12 42 42 9 42 42 9 9 42 42 42 9 42 5 42 37 42 37 9 9 42 4 5 42 42 42 42 6 42 9 9 37 9 9 42 6 42 42 9 42 9 42 42 5 37 12 5 42 42 42 9 42 42 42 42 9 42 9 42 42 42 42 42 6 37 9 41 42 42 9 42 42 42 42 9 2 42 25 27 16 25 25 25 27 17 25 25 2 25 31 25 25 25 25 25 25 25 2 2 31 2 25 25 7 25 25 31 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 16 12 25 16 26 2 25 25 25 25 25 25 25 2 25 26 25 25 12 2 25 2 25 12 2 2 25 27 25 25 2 25 2 25 2 16 25 25 25 25 25 25 25 25 7 2 2 31 16 2 12 25 25 25 23 23 23 41 23 6 23 23 0 23 23 24 23 24 23 28 23 23 23 23 23 23 4 23 23 5 23 23 41 23 23 23 23 37 6 23 41 23 28 23 28 5 23 5 23 23 23 4 28 23 6 23 23 28 4 23 23 23 28 37 24 6 23 28 23 6 23 23 23 2 23 5 41 23 28 28 23 23 37 6 41 23 23 23 23 41 23 41 23 23 23 23 2 28 23 23 4 37 41 28"
9,-0.5296,0.8500,"12 7 7 7 19 7 39 39 12 39 7 39 7 7 39 7 39 7 7 7 7 8 7 39 39 7 7 7 7 7 7 39 7 7 7 7 7 7 8 7 8 7 7 39 7 39 7 7 7 7 7 12 39 25 7 12 25 7 12 39 27 39 7 12 7 39 7 39 8 7 39 39 7 7 39 39 7 7 39 7 7 39 7 39 7 7 39 7 7 7 7 7 7 7 7 39 7 7 39 7 25 3 25 25 3 0 38 12 25 39 25 1 25 25 25 26 38 2 0 39 39 13 25 25 25 2 2 25 25 25 25 13 13 25 2 39 39 25 3 27 25 2 25 2 2 1 25 39 39 39 25 38 0 39 39 25 25 39 2 2 7 0 25 7 27 25 25 13 39 39 39 25 13 27 0 25 25 39 7 0 25 25 2 25 3 39 20 39 39 25 26 2 2 25 25 39 25 25 3 39 19 31 19 19 12 19 31 31 19 41 19 19 19 41 19 19 19 31 41 19 19 31 19 19 19 19 19 19 19 19 19 19 19 19 19 31 19 19 19 19 19 31 19 31 31 12 19 19 19 20 31 20 19 20 19 19 19 31 19 19 19 19 19 19 19 19 19 19 19 19 19 19 31 19 41 31 19 19 19 19 41 19 19 19 20 41 31 19 19 19 19 19 31 19 19 19 31 19 19 19 12 29 12 39 12 12 12 31 12 12 31 12 31 17 39 12 31 12 39 12 12 12 12 29 12 31 12 12 28 32 13 12 30 39 29 8 12 12 12 28 31 31 29 31 31 12 17 12 12 12 12 12 12 12 31 0 12 12 31 39 12 12 31 12 17 39 31 31 12 28 12 12 12 28 39 12 31 12 12 8 33 12 12 12 12 17 39 12 12 12 12 12 39 12 12 31 12 12 12 12 31 0 3 31 31 0 31 41 0 6 3 0 3 3 31 31 0 3 3 41 3 12 12 0 0 3 0 31 31 31 0 31 31 31 0 31 31 41 31 31 41 31 3 31 3 0 3 0 31 41 3 3 41 0 31 31 41 0 31 31 0 16 3 0 31 0 0 3 0 0 31 0 31 41 3 3 0 31 2 3 3 0 3 0 2 0 3 41 3 31 31 31 0 0 3 0 0 3 3 0"
10,-0.5139,0.8077,"15 7 19 19 19 17 17 17 19 19 17 39 19 19 19 19 17 7 15 7 15 8 7 19 17 19 15 17 19 17 19 14 19 17 7 7 17 15 17 19 19 19 7 19 19 17 15 19 19 17 7 19 17 15 19 19 14 19 17 17 19 17 19 19 19 19 7 17 17 7 39 39 17 17 39 17 17 14 19 17 19 39 17 14 17 19 17 19 19 19 17 19 7 7 15 19 17 7 17 7 25 3 25 25 3 0 38 12 25 39 25 1 25 25 25 26 38 2 0 39 39 13 25 25 25 2 2 25 25 25 25 13 13 25 2 39 39 25 3 27 25 2 25 2 2 1 25 39 39 39 25 38 0 39 39 25 25 39 2 2 7 0 25 7 27 25 25 13 39 39 39 25 13 27 0 25 25 39 7 0 25 25 2 25 3 39 20 39 39 25 26 2 2 25 25 39 25 25 3 39 31 31 31 31 12 2 31 31 31 41 31 31 31 41 32 38 31 31 41 12 31 31 31 12 31 31 31 12 12 31 31 31 31 31 33 31 12 31 41 31 31 31 37 31 31 12 31 33 41 31 31 33 31 31 31 31 31 31 12 31 31 31 41 31 31 31 31 31 31 31 31 32 31 31 41 31 31 31 31 41 41 31 31 41 5 41 31 31 31 31 31 31 31 31 31 31 31 31 6 31 38 31 31 39 39 31 39 31 39 13 31 39 31 17 39 31 31 1 39 31 31 31 31 32 39 31 39 38 31 32 13 31 32 39 31 8 39 31 39 38 31 31 31 31 31 32 17 33 39 31 39 31 31 7 31 0 3 31 31 39 39 31 31 31 17 39 31 31 0 31 0 7 39 39 39 17 31 31 17 8 33 31 39 17 31 17 39 0 31 0 39 39 39 39 31 31 39 39 39 31 31 0 3 31 31 0 31 41 0 6 3 0 3 3 31 31 0 3 3 41 3 12 12 0 0 3 0 31 31 31 0 31 31 31 0 31 31 41 31 31 41 31 3 31 3 0 3 0 31 41 3 3 41 0 31 31 41 0 31 31 0 16 3 0 31 0 0 3 0 0 31 0 31 41 3 3 0 31 2 3 3 0 3 0 2 0 3 41 3 31 31 31 0 0 3 0 0 3 3 0"
