rank,fitness,winrate,genome
1,-0.6696,0.9130,"10 9 9 9 9 9 21 34 9 34 9 34 34 9 13 11 9 9 34 9 9 9 9 9 9 9 9 34 10 34 9 34 9 34 9 9 9 9 9 34 9 9 9 34 34 9 9 9 25 36 9 0 34 9 9 9 9 34 25 9 9 9 9 9 9 9 9 34 34 34 12 9 34 9 9 35 9 34 34 34 9 34 9 9 9 9 9 9 10 11 9 9 9 9 9 34 9 9 9 9 3 2 10 0 3 42 0 2 3 42 0 0 42 3 3 2 3 3 2 0 2 0 2 3 42 0 0 2 16 3 2 0 3 3 0 3 3 2 2 0 3 3 3 3 2 16 0 9 2 2 2 42 3 0 0 0 0 3 11 3 9 42 16 0 2 0 42 2 0 2 3 2 3 42 0 25 2 2 3 3 9 11 9 0 42 42 0 0 41 2 0 3 3 3 11 3 2 2 25 3 3 0 0 3 3 3 3 3 0 42 3 42 42 42 3 42 42 3 0 3 12 0 3 0 0 0 0 0 3 42 3 3 3 42 0 42 42 3 42 0 0 0 3 3 0 42 0 3 3 42 42 0 42 0 3 0 3 42 12 3 4 42 42 0 0 2 0 42 0 0 42 3 0 42 0 42 3 42 0 0 0 42 2 3 0 42 0 42 0 42 37 3 3 0 42 42 0 42 3 0 25 25 25 25 2 25 21 25 25 25 25 31 2 25 25 25 25 25 25 27 25 25 25 31 25 25 2 2 25 25 31 25 25 25 2 25 26 25 25 25 25 25 2 25 25 25 27 25 31 2 25 25 25 25 25 25 2 25 25 25 25 2 25 25 25 25 2 25 25 25 27 25 2 2 25 25 31 25 27 25 2 25 25 2 2 25 25 25 26 25 25 25 26 2 25 2 25 25 2 31 34 34 34 34 34 2 34 34 9 9 34 9 9 9 36 34 34 9 34 34 11 9 34 34 34 9 2 12 9 34 34 34 27 34 9 34 11 35 9 34 34 9 34 34 34 34 34 34 34 34 10 9 34 2 9 2 34 34 34 2 34 9 34 34 34 35 34 12 34 9 34 34 12 35 34 34 34 34 34 34 9 34 9 35 4 36 34 36 9 34 34 34 9 2 9 34 9 34 34 34"
2,-0.6595,0.8846,"2 5 12 35 6 42 42 42 13 42 42 42 12 4 42 42 42 5 42 42 42 12 42 1 42 42 38 42 42 42 0 42 1 42 42 42 2 42 12 12 12 12 4 12 34 2 12 42 42 42 0 38 2 4 42 42 42 42 42 12 42 42 38 42 2 2 42 2 42 42 42 12 2 3 13 42 42 1 42 42 42 12 42 42 42 42 4 6 42 13 42 42 5 42 1 42 42 2 4 2 12 34 34 34 34 34 34 34 34 34 36 34 3 42 0 12 34 34 34 34 36 34 34 34 34 3 34 1 34 34 34 34 34 34 35 12 34 35 34 12 34 12 3 34 12 34 1 12 35 34 34 34 34 34 12 34 34 34 34 34 34 12 1 34 34 34 34 34 34 34 42 34 12 0 34 34 34 13 36 34 34 12 34 34 13 34 34 34 34 34 34 34 34 34 34 34 12 34 42 12 13 36 1 13 3 7 39 12 0 34 7 0 7 39 39 41 7 7 34 39 0 34 16 39 3 34 13 39 39 13 38 34 41 34 0 0 34 39 34 39 34 34 34 39 34 0 3 34 7 0 34 34 13 39 38 34 39 1 39 39 38 39 0 35 34 7 34 0 12 0 1 39 39 1 39 8 39 34 34 34 34 8 39 34 34 34 39 34 34 3 39 34 34 35 13 35 39 39 0 1 34 41 34 34 34 41 2 34 34 41 34 34 34 34 34 34 0 34 25 34 34 41 34 34 34 34 34 34 41 34 2 34 35 13 41 34 41 38 34 41 34 1 40 34 41 34 34 34 13 34 34 34 34 34 41 34 41 34 34 34 34 41 2 34 34 34 34 34 34 34 34 41 34 41 41 34 34 34 41 40 34 41 34 41 34 41 0 34 25 34 41 41 34 34 41 34 34 34 36 40 0 3 13 38 38 13 13 3 12 1 42 13 12 3 0 12 12 12 38 3 3 3 13 12 12 38 12 0 1 42 13 13 0 21 0 0 0 21 38 0 3 42 12 1 12 13 0 0 12 38 1 38 0 42 12 13 0 34 13 12 13 12 0 13 12 1 42 38 12 3 3 12 16 12 12 12 0 38 1 38 1 42 12 0 0 38 13 3 0 3 38 1 38 1 0 12 38 13 1 21"
3,-0.6406,0.8571,"12 13 2 2 40 2 2 2 2 5 0 40 2 3 2 1 1 2 0 2 1 2 5 2 2 3 1 38 3 2 3 0 13 13 2 2 13 2 0 38 3 13 3 2 3 5 2 0 2 39 13 37 2 1 2 38 0 3 38 2 6 1 1 2 2 0 38 0 2 0 0 13 1 40 2 38 13 3 6 2 2 38 1 2 13 3 40 38 13 2 6 2 2 2 2 40 2 1 13 38 7 7 3 7 7 17 7 7 7 7 8 7 0 37 7 7 7 17 7 38 3 3 7 38 8 7 8 7 7 7 17 1 38 17 38 7 17 13 8 7 8 13 1 7 38 17 4 0 7 7 38 17 7 7 38 17 7 7 0 7 7 7 1 13 17 7 7 2 7 13 7 1 13 38 8 8 7 0 17 17 5 7 4 7 7 3 38 8 13 38 7 7 17 13 7 7 7 17 7 7 9 9 10 9 12 9 12 12 6 42 12 9 9 12 11 12 6 9 9 9 6 9 9 10 9 9 9 9 9 9 9 9 9 9 9 9 34 9 5 9 42 9 9 9 9 11 9 12 9 11 9 12 9 42 42 9 12 10 12 9 9 37 9 5 37 9 12 9 9 9 10 20 9 42 9 12 9 12 9 9 2 9 10 42 9 9 12 9 4 9 42 9 9 9 12 9 9 12 19 19 9 14 9 17 9 9 9 9 19 9 9 19 9 9 9 31 9 19 9 10 9 19 9 9 9 9 11 9 17 9 14 9 9 9 9 9 10 17 15 9 9 11 9 19 9 42 9 9 9 9 9 9 9 19 10 19 9 9 42 9 31 9 9 9 19 9 9 9 9 9 9 42 9 17 9 17 9 9 9 31 42 17 9 9 9 9 31 9 9 2 9 9 9 17 9 31 9 17 9 9 2 7 37 3 2 5 1 12 0 23 12 3 23 7 1 0 4 7 7 24 2 12 7 3 37 7 7 7 13 7 7 23 7 38 7 7 0 12 1 12 38 7 2 7 7 23 7 3 8 7 38 38 7 8 37 3 5 0 13 8 0 24 7 7 7 7 7 7 7 3 7 2 8 7 7 3 7 12 0 6 7 7 7 1 7 12 7 8 2 7 7 7 7 12 3 7 13 7 7 7"
4,-0.5423,0.8519,"34 34 39 34 39 39 34 34 34 39 36 34 34 34 23 36 39 35 34 39 34 34 34 34 34 36 34 39 34 39 34 34 36 34 34 34 0 34 39 34 39 34 39 34 39 34 34 34 34 34 39 34 39 34 34 3 34 34 35 39 34 34 34 34 34 36 34 39 3 34 39 34 34 34 34 34 0 39 0 0 34 34 34 34 34 34 34 39 39 3 34 34 39 39 39 39 39 34 34 39 3 2 10 0 3 42 0 2 3 42 0 0 42 3 3 2 3 3 2 0 2 0 2 3 42 0 0 2 16 3 2 0 3 3 0 3 3 2 2 0 3 3 3 3 2 16 0 9 2 2 2 42 3 0 0 0 0 3 11 3 9 42 16 0 2 0 42 2 0 2 3 2 3 42 0 25 2 2 3 3 9 11 9 0 42 42 0 0 41 2 0 3 3 3 11 3 2 2 25 3 12 12 6 2 7 4 12 12 12 12 5 37 8 12 4 12 12 12 6 2 12 2 7 37 7 12 12 12 2 2 12 12 12 7 37 12 12 7 7 12 5 25 7 4 7 4 27 27 7 12 7 25 5 12 7 26 12 7 6 26 12 7 2 12 12 2 12 4 25 7 12 5 4 4 37 5 4 12 37 12 7 7 12 7 37 7 12 12 12 12 12 12 7 12 4 12 4 12 2 12 21 21 21 21 41 21 21 21 21 12 21 21 21 21 21 21 22 21 21 21 21 21 21 22 21 42 21 21 12 37 21 42 0 42 21 21 21 21 21 16 21 21 21 37 16 21 42 21 12 21 12 21 21 21 21 16 42 41 42 21 0 21 21 21 42 21 21 42 21 42 21 21 21 21 21 21 21 2 16 21 21 21 16 3 21 21 16 16 21 21 21 42 21 42 21 21 42 16 21 21 34 34 34 34 34 2 34 34 9 9 34 9 9 9 36 34 34 9 34 34 11 9 34 34 34 9 2 12 9 34 34 34 27 34 9 34 11 35 9 34 34 9 34 34 34 34 34 34 34 34 10 9 34 2 9 2 34 34 34 2 34 9 34 34 34 35 34 12 34 9 34 34 12 35 34 34 34 34 34 34 9 34 9 35 4 36 34 36 9 34 34 34 9 2 9 34 9 34 34 34"
5,-0.5368,0.8846,"2 2 2 38 5 2 9 4 5 12 2 11 2 2 2 2 9 2 38 9 2 2 2 2 4 9 2 12 9 10 2 6 2 2 2 2 2 2 2 2 2 0 2 4 2 22 22 2 9 2 2 1 2 2 2 2 2 2 4 2 2 2 9 1 2 37 2 2 4 4 12 3 2 2 2 2 2 37 2 11 2 2 11 2 2 12 12 6 2 12 2 9 4 2 2 2 11 2 2 2 3 25 1 1 3 38 25 25 3 25 25 25 25 25 25 25 25 25 25 25 38 0 25 3 1 1 25 25 13 0 25 25 25 25 25 25 25 25 27 25 0 25 3 3 25 16 13 9 2 0 26 3 25 25 25 25 0 13 25 25 25 25 16 25 25 25 25 25 25 25 0 38 3 25 0 25 2 25 3 25 9 0 9 3 25 42 25 25 0 2 25 25 3 3 1 3 25 38 25 13 0 2 12 3 2 0 2 2 2 2 3 2 2 2 2 3 2 2 2 2 0 0 12 2 3 2 10 0 9 2 0 2 2 2 2 2 0 2 2 2 10 3 3 2 2 0 3 10 12 2 0 12 3 0 2 0 2 2 10 2 2 2 2 2 2 3 11 0 0 2 2 2 2 2 2 2 2 3 2 2 9 2 3 12 12 0 2 42 3 2 2 2 2 2 2 3 2 2 2 2 41 12 41 41 20 41 38 12 41 41 41 20 41 41 25 38 12 41 12 12 41 41 41 41 41 20 38 41 12 41 12 41 41 12 3 41 12 41 12 12 41 41 3 3 41 41 41 41 41 3 12 41 12 38 12 12 41 25 41 12 41 12 41 12 41 41 41 12 41 41 41 19 41 41 41 20 1 41 41 38 3 41 20 41 12 12 41 38 12 25 41 41 41 41 41 41 41 25 12 41 19 2 19 7 2 8 7 7 42 19 7 7 7 7 8 7 2 19 7 20 7 7 7 7 7 7 7 7 7 8 7 7 8 7 19 19 19 7 20 7 7 7 7 19 7 7 7 7 19 7 19 7 7 42 19 7 19 7 7 7 7 7 19 9 7 7 7 7 19 7 19 7 8 7 7 42 7 2 7 7 8 19 7 7 2 8 7 7 7 7 7 7 7 7 7 7 8 7 7 7"
6,-0.5041,0.7917,"25 25 25 1 25 38 25 1 17 38 38 13 1 3 13 0 1 3 1 25 17 1 25 1 6 1 13 38 38 25 0 2 38 25 3 17 25 0 1 13 17 0 2 17 25 13 38 25 0 1 13 3 25 5 13 25 25 25 13 25 13 17 38 1 25 3 0 25 25 13 0 1 17 1 25 0 3 0 13 1 3 25 1 25 25 1 42 13 1 17 25 17 1 3 42 25 38 13 13 1 3 40 25 25 3 40 25 40 40 25 25 25 25 25 25 25 25 40 25 25 25 0 25 3 25 25 25 25 25 40 25 25 40 25 25 40 25 25 27 25 25 25 40 3 25 16 25 40 40 2 26 25 40 25 25 25 0 40 25 40 25 25 40 25 25 25 25 25 25 25 3 25 3 25 0 25 2 40 3 25 9 25 40 26 25 42 40 25 25 2 25 25 40 3 25 3 40 25 25 25 38 0 1 0 3 3 3 3 0 42 3 42 3 42 3 42 42 3 0 3 12 0 1 0 0 0 3 0 3 1 3 3 3 42 3 42 42 3 42 38 1 1 0 3 0 42 0 3 3 42 42 0 42 0 13 0 13 42 3 3 4 42 42 0 0 2 0 42 0 38 42 3 0 42 0 42 13 3 0 0 0 0 2 3 0 42 0 42 0 42 37 38 3 3 42 42 0 42 3 0 11 2 10 2 2 2 34 2 2 2 2 2 2 2 21 2 34 7 2 34 2 2 2 34 2 2 2 2 2 2 2 2 34 34 2 34 2 2 10 2 2 34 11 2 34 2 2 2 34 2 9 2 2 2 35 2 21 2 7 21 9 10 2 11 34 34 34 21 2 2 2 2 2 7 2 34 2 34 2 2 2 2 9 11 9 34 9 35 2 2 7 10 2 34 2 2 2 21 2 11 25 25 19 25 25 25 25 2 42 25 25 26 2 25 25 25 25 19 25 2 25 25 2 25 25 25 25 25 2 25 25 5 4 27 25 25 2 2 25 25 2 25 25 25 25 25 25 7 25 25 25 2 2 25 2 7 25 2 25 25 25 25 25 25 26 25 25 25 25 25 25 25 25 25 7 2 25 2 2 2 25 2 2 2 25 25 2 25 25 25 25 2 25 2 25 2 25 2 25 26"
7,-0.4904,0.8571,"12 12 12 12 14 9 12 15 12 12 12 12 12 15 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 15 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 36 12 15 12 14 12 12 2 2 10 2 2 9 0 2 2 38 2 0 2 6 2 2 3 2 6 2 2 0 2 2 2 4 2 38 2 13 2 2 2 2 0 3 2 10 1 2 10 3 6 3 2 2 2 2 2 2 3 13 2 2 10 38 10 2 2 2 9 37 2 2 2 2 2 2 0 2 2 2 2 2 9 25 2 2 0 2 11 2 2 0 2 42 0 2 2 6 2 9 3 11 2 2 2 2 2 2 12 12 12 12 12 0 12 12 12 12 12 12 12 41 12 12 12 20 12 12 12 12 12 12 12 3 12 12 20 12 19 12 19 12 12 22 12 12 12 12 12 3 12 12 12 12 12 12 12 19 0 12 0 12 22 12 12 12 21 12 12 12 12 19 12 12 12 12 12 12 12 42 12 12 12 12 12 12 12 12 12 19 12 12 12 12 12 12 12 12 20 12 12 12 12 12 0 12 12 12 7 7 8 7 7 7 7 7 2 7 7 2 7 7 7 7 7 7 7 34 7 7 7 7 2 7 7 7 7 7 8 7 34 7 7 7 7 7 7 2 7 34 8 8 7 2 7 7 7 2 7 2 8 7 8 7 7 7 7 7 9 10 7 7 7 7 8 7 7 7 7 2 8 7 7 7 7 8 2 2 7 7 9 11 7 7 7 7 7 7 7 10 2 34 7 7 7 7 7 7 42 2 42 42 42 2 2 16 2 42 42 2 2 42 42 42 42 42 2 2 42 42 2 2 42 42 42 42 42 12 42 42 42 42 42 42 2 42 2 42 42 2 2 42 42 42 2 2 42 42 6 42 42 42 2 42 16 2 12 2 2 2 2 4 42 2 2 42 42 42 16 42 2 2 42 42 2 2 42 42 42 42 42 42 16 42 42 2 42 2 42 42 42 42 42 42 42 42 42 12"
8,-0.4646,0.7692,"21 9 21 21 21 21 22 21 9 21 9 21 21 21 21 21 21 9 34 9 9 9 21 21 21 21 22 34 21 21 21 21 21 21 22 21 21 9 9 34 21 21 9 34 34 21 9 21 22 21 9 21 21 9 21 21 21 34 25 21 21 21 21 21 21 9 21 21 34 34 21 21 21 9 21 35 21 21 21 21 22 21 22 21 21 21 9 9 21 21 9 21 21 21 21 21 21 9 9 21 3 2 10 0 3 42 0 2 3 42 0 0 42 3 3 2 3 3 2 0 2 0 2 3 42 0 0 2 16 3 2 0 3 3 0 3 3 2 2 0 3 3 3 3 2 16 0 9 2 2 2 42 3 0 0 0 0 3 11 3 9 42 16 0 2 0 42 2 0 2 3 2 3 42 0 25 2 2 3 3 9 11 9 0 42 42 0 0 41 2 0 3 3 3 11 3 2 2 25 3 7 7 7 7 3 28 8 7 7 7 7 28 29 7 7 30 7 28 7 7 28 7 7 7 28 7 7 0 7 7 7 7 7 7 7 8 7 7 7 8 7 28 7 7 28 7 7 9 3 7 28 9 7 7 7 7 28 28 7 7 7 7 8 7 7 7 0 7 7 7 9 7 7 28 7 7 7 7 0 7 8 7 7 7 8 7 7 7 7 42 7 7 29 28 7 7 7 28 7 7 25 25 25 25 2 25 21 25 25 25 25 31 2 25 25 25 25 25 25 27 25 25 25 31 25 25 2 2 25 25 31 25 25 25 2 25 26 25 25 25 25 25 2 25 25 25 27 25 31 2 25 25 25 25 25 25 2 25 25 25 25 2 25 25 25 25 2 25 25 25 27 25 2 2 25 25 31 25 27 25 2 25 25 2 2 25 25 25 26 25 25 25 26 2 25 2 25 25 2 31 34 34 34 34 34 2 34 34 9 9 34 9 9 9 36 34 34 9 34 34 11 9 34 34 34 9 2 12 9 34 34 34 27 34 9 34 11 35 9 34 34 9 34 34 34 34 34 34 34 34 10 9 34 2 9 2 34 34 34 2 34 9 34 34 34 35 34 12 34 9 34 34 12 35 34 34 34 34 34 34 9 34 9 35 4 36 34 36 9 34 34 34 9 2 9 34 9 34 34 34"
9,-0.4475,0.8000,"12 13 2 2 40 2 2 2 2 5 0 40 2 3 2 1 1 2 0 2 1 2 5 2 2 3 1 38 3 2 3 0 13 13 2 2 13 2 0 38 3 13 3 2 3 5 2 0 2 39 13 37 2 1 2 38 0 3 38 2 6 1 1 2 2 0 38 0 2 0 0 13 1 40 2 38 13 3 6 2 2 38 1 2 13 3 40 38 13 2 6 2 2 2 2 40 2 1 13 38 3 25 25 25 3 25 25 25 3 25 25 25 25 25 25 25 25 25 25 25 25 0 25 3 25 25 25 25 25 25 25 25 25 25 25 25 25 25 27 25 25 25 3 3 25 16 25 9 2 2 26 25 25 25 25 25 0 25 25 25 25 25 16 25 25 25 25 25 25 25 3 25 3 25 0 25 2 25 3 25 9 25 9 26 25 42 25 25 25 2 25 25 3 3 25 3 25 25 25 25 9 12 42 12 3 42 4 12 16 16 42 4 42 0 12 12 1 12 9 2 13 16 0 12 16 42 42 12 12 42 6 9 12 42 12 13 37 12 12 12 38 16 2 5 9 42 42 42 2 16 9 12 42 12 38 3 42 42 12 16 4 4 13 12 38 12 12 12 1 9 1 16 9 4 1 12 38 12 42 9 12 12 42 16 12 16 42 9 42 9 42 16 42 42 42 42 42 12 37 1 19 19 12 12 19 25 19 20 12 19 19 19 19 12 25 32 33 33 12 19 12 32 19 19 19 12 12 19 19 19 19 12 20 19 19 19 12 19 19 20 19 19 31 19 19 19 33 19 19 19 31 19 12 19 19 19 12 19 19 19 12 19 20 19 19 19 12 25 20 12 12 19 19 19 12 19 19 12 19 32 19 19 12 2 19 12 20 25 12 19 12 12 12 20 19 19 19 19 12 20 31 31 37 31 31 31 1 12 0 31 12 31 31 7 31 31 33 31 31 31 32 31 7 3 31 31 7 31 31 31 31 33 7 38 31 31 31 31 31 31 31 31 2 7 7 23 31 3 31 7 31 31 31 31 31 31 5 31 13 31 33 31 7 7 31 32 31 31 31 31 7 2 8 31 31 31 7 31 31 6 7 31 7 1 7 12 31 8 31 31 31 7 31 12 3 31 31 31 31 7"
10,-0.4232,0.8148,"12 12 9 12 12 28 29 12 12 34 29 12 12 12 30 12 9 9 30 12 12 12 29 12 9 29 12 34 12 34 9 12 30 12 12 9 12 9 12 12 12 12 30 12 12 12 12 12 25 12 12 12 12 12 9 12 12 34 12 9 12 12 12 12 28 28 12 12 12 12 12 12 12 12 12 35 9 12 34 12 12 12 12 12 12 30 9 9 10 11 29 28 12 12 12 12 9 12 9 12 3 2 10 0 3 42 0 2 3 42 0 0 42 3 3 2 3 3 2 0 2 0 2 3 42 0 0 2 16 3 2 0 3 3 0 3 3 2 2 0 3 3 3 3 2 16 0 9 2 2 2 42 3 0 0 0 0 3 11 3 9 42 16 0 2 0 42 2 0 2 3 2 3 42 0 25 2 2 3 3 9 11 9 0 42 42 0 0 41 2 0 3 3 3 11 3 2 2 25 3 3 0 0 3 3 3 3 3 0 42 3 42 42 42 3 42 42 3 0 3 12 0 3 0 0 0 0 0 3 42 3 3 3 42 0 42 42 3 42 0 0 0 3 3 0 42 0 3 3 42 42 0 42 0 3 0 3 42 12 3 4 42 42 0 0 2 0 42 0 0 42 3 0 42 0 42 3 42 0 0 0 42 2 3 0 42 0 42 0 42 37 3 3 0 42 42 0 42 3 0 19 15 17 25 17 15 19 19 14 19 25 15 14 25 19 19 19 19 17 27 25 25 25 19 19 19 2 2 17 17 31 17 19 17 2 25 17 19 25 19 19 17 15 17 17 25 19 17 31 14 17 25 17 19 15 17 19 17 15 25 25 17 25 19 17 25 2 15 17 25 17 25 14 17 25 25 17 17 27 25 17 25 17 2 19 14 17 17 17 25 17 17 17 2 19 17 19 17 17 17 37 34 4 34 34 2 34 34 9 9 34 9 9 9 36 34 6 5 34 34 11 5 34 34 34 9 2 2 9 34 34 34 27 34 9 6 37 35 37 34 34 9 34 34 34 6 34 34 34 34 37 9 34 2 9 2 34 34 34 5 4 9 34 34 34 35 34 12 34 2 5 34 12 35 4 34 34 34 34 34 6 34 9 35 4 36 34 36 9 34 34 34 9 2 9 34 4 2 34 34"
