# seed=6
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.002,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=3
# lambda_similarity=0.61
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.2826,0.8485,0.9276,0.1318,0.5286,"29 8 30 6 3 23 18 32 7 9 17 23 14 37 3 2 32 40 30 27 18 8 15 30 37 15 35 10 33 29 8 42 39 30 17 40 2 13 14 33 10 1 14 10 6 5 24 40 34 32 41 17 25 37 20 33 38 17 9 27 26 2 22 10 1 10 38 8 30 19 0 8 39 34 31 0 11 0 13 41 33 38 17 24 10 42 40 9 35 24 26 40 10 27 4 26 25 2 13 21 29 28 13 41 35 20 32 22 36 9 21 7 13 0 24 20 20 41 15 7 39 38 40 25 23 16 34 34 9 10 17 21 39 35 19 4 8 30 2 32 0 18 29 10 29 41 32 41 20 0 25 13 12 5 16 14 0 15 36 20 42 3 9 40 29 36 6 37 5 19 39 12 17 19 18 32 29 42 5 34 15 15 14 36 8 19 25 15 26 9 26 17 36 39 9 2 40 39 5 30 7 28 1 33 33 11 29 17 37 33 4 28 42 15 6 39 16 30 0 39 5 14 27 11 21 4 36 27 30 14 3 4 3 3 5 42 39 29 22 1 34 7 0 0 17 16 26 2 24 35 21 15 6 2 29 31 40 28 2 37 26 13 24 20 41 30 11 35 41 24 28 27 11 21 34 2 29 19 40 37 25 19 31 19 21 17 40 36 5 15 8 41 33 5 15 20 5 25 13 2 31 8 2 10 0 7 25 22 10 14 14 20 3 8 28 18 7 7 35 25 13 11 20 30 41 4 23 29 9 5 40 30 40 6 18 40 6 5 2 38 20 14 1 2 1 10 7 4 16 15 32 0 21 2 39 27 12 21 3 7 6 32 4 22 3 3 28 35 34 29 19 23 5 15 12 5 40 22 3 42 30 21 34 36 3 6 39 6 23 7 12 8 2 36 6 39 18 35 24 27 13 16 24 40 18 6 10 19 41 37 20 8 37 32 2 36 20 27 32 7 25 39 26 21 1 7 17 19 6 18 8 18 2 19 31 4 37 18 14 24 5 25 15 38 26 35 2 32 25 12 22 0 30 36 18 22 32 23 13 16 15 32 28 23 6 40 30 14 14 28 41 39 13 6 42 20 41 14 18 11 25 34 16 31 34 14 10 22 11 5 31 6 6 0 6 29 33 35 36 1"
1,2,-0.4276,0.8696,0.7246,-0.0595,0.2880,"11 42 41 40 41 40 3 27 5 7 21 11 30 22 24 22 17 6 10 3 11 20 20 1 16 7 29 39 29 16 30 22 18 18 34 2 38 4 19 19 22 1 26 3 22 17 18 37 36 28 10 3 11 20 8 27 31 12 11 38 30 28 8 25 28 41 19 36 40 40 22 36 13 15 10 22 4 38 5 20 32 16 12 36 33 26 34 40 2 21 10 16 18 26 12 3 4 42 5 10 12 2 36 34 15 27 9 37 20 28 14 33 16 16 37 22 22 36 35 23 27 0 42 8 15 5 31 26 0 30 24 19 23 20 37 15 10 11 19 36 20 5 6 29 19 31 9 4 22 7 1 32 6 41 35 5 40 2 29 10 1 26 1 40 22 10 8 2 42 4 0 35 23 42 16 31 25 8 11 29 41 6 5 18 32 20 28 34 42 21 12 14 12 15 6 22 11 1 29 16 4 22 38 17 29 16 15 16 37 3 35 24 20 41 27 14 10 21 34 34 22 30 23 18 10 39 36 7 39 9 29 1 38 7 12 20 36 42 20 35 27 12 11 10 2 32 28 39 23 10 33 35 22 25 35 15 17 17 11 9 22 22 1 11 36 32 30 41 33 18 33 22 22 15 7 42 21 7 25 3 38 11 34 1 34 4 28 30 1 29 39 30 38 12 0 26 28 28 22 9 2 2 2 2 2 42 2 2 2 2 0 2 2 2 2 7 2 2 2 2 2 2 2 7 2 2 2 2 4 2 38 4 2 2 2 2 38 2 2 2 29 7 2 2 2 2 2 2 2 2 2 2 2 40 2 2 2 2 2 2 2 2 38 2 2 7 36 7 2 24 2 27 27 2 4 2 24 2 2 9 5 7 21 1 32 38 2 2 2 2 17 2 2 37 2 2 7 2 14 15 26 29 1 24 13 27 4 2 6 17 11 1 15 18 30 33 0 18 9 23 7 17 20 35 27 12 38 16 15 18 4 15 10 3 9 28 30 27 10 33 23 37 28 41 40 11 11 35 17 19 40 42 35 18 5 20 22 35 29 32 31 0 19 4 17 0 23 28 4 41 5 0 23 4 37 3 6 33 17 30 18 27 29 12 1 2 6 21 9 20 28 34 35 41 18 24 15 30 38 9"
2,3,-0.5009,0.8750,0.6133,-0.0997,0.2573,"37 16 12 19 11 7 14 11 16 30 16 26 39 31 7 13 41 28 16 22 12 18 6 8 0 1 28 5 38 33 4 11 36 5 11 6 19 14 42 26 0 28 36 42 15 40 37 31 2 1 19 33 15 40 3 7 39 16 20 12 30 6 13 15 7 37 40 15 41 17 5 42 7 7 37 18 24 0 30 8 40 13 1 29 42 21 20 16 34 15 16 23 18 7 30 5 38 9 11 29 37 37 5 7 31 37 12 26 1 42 32 16 10 10 17 32 12 37 0 21 22 29 20 33 41 23 21 6 9 11 39 7 36 22 29 36 39 0 7 2 18 35 2 0 42 0 41 33 5 28 37 1 26 27 9 15 37 1 29 19 20 8 19 13 41 40 38 37 21 29 25 4 36 12 19 37 8 29 17 1 19 36 21 1 10 10 8 39 35 41 5 23 34 34 17 34 4 37 12 36 22 1 5 5 6 29 10 19 16 30 4 20 37 30 40 28 5 36 8 12 30 11 1 0 2 30 18 3 41 22 40 8 7 36 19 25 34 6 18 25 33 11 35 15 20 9 15 9 36 7 12 3 25 10 37 6 0 20 24 35 14 42 41 22 5 2 24 41 42 31 16 16 1 20 16 1 5 40 3 20 25 7 13 23 25 28 25 13 12 28 1 29 16 1 9 27 14 41 26 42 25 25 9 25 33 25 25 25 25 1 38 25 7 25 25 25 25 5 25 25 11 25 2 25 26 25 25 25 25 25 25 38 25 33 39 38 13 25 35 25 27 25 9 25 25 25 25 25 25 25 25 25 25 25 25 4 25 2 0 25 25 25 25 25 10 25 25 39 25 25 25 25 25 27 25 25 26 25 25 25 0 26 25 26 25 25 30 25 33 25 25 0 25 25 25 25 26 26 4 25 5 0 38 5 10 27 32 6 35 34 2 18 22 7 26 2 38 37 37 29 38 5 38 7 15 8 3 23 42 6 6 27 15 7 4 21 20 2 37 31 27 39 11 14 42 31 22 37 39 19 6 7 9 2 0 1 36 6 6 7 22 5 16 34 2 21 2 13 42 8 25 24 2 32 25 39 2 19 37 5 1 29 19 22 4 33 5 41 6 30 32 2 9 2 21 28 19 24 31 5"
3,3,-0.5009,0.8750,0.6133,-0.1118,0.2636,"37 16 12 19 11 7 14 11 16 30 16 26 39 31 7 13 41 28 16 22 12 18 6 8 0 1 28 5 38 33 4 11 36 5 11 6 19 14 42 26 0 28 36 42 15 40 37 31 2 1 19 33 15 40 3 7 39 16 20 12 30 6 13 15 7 37 40 15 41 17 5 42 7 7 37 18 24 0 30 8 40 13 1 29 42 21 20 16 34 15 16 23 18 7 30 5 38 9 11 29 37 37 5 7 31 37 12 26 1 42 32 16 10 10 17 32 12 37 0 21 22 29 20 33 41 23 21 6 9 11 39 7 36 22 29 36 39 0 7 2 18 35 2 0 42 0 41 33 5 28 37 1 26 27 9 15 37 1 29 19 20 8 19 13 41 40 38 37 21 29 25 4 36 12 19 37 8 29 17 1 19 36 21 1 10 10 8 39 35 41 5 23 34 34 17 34 4 37 12 36 22 1 5 5 6 29 10 19 16 30 4 20 37 30 40 28 5 36 8 12 30 11 1 0 2 30 18 3 41 22 40 8 7 36 19 25 34 6 18 25 33 11 35 15 20 9 15 9 36 7 12 3 25 10 37 6 0 20 24 35 14 42 41 22 5 2 24 41 42 31 16 16 1 20 16 1 5 40 3 20 25 7 13 23 25 28 25 13 12 28 1 29 16 1 9 27 14 41 26 42 25 25 9 25 33 25 25 25 25 1 38 25 7 25 25 25 25 5 25 25 11 25 2 25 26 25 25 25 25 25 25 38 25 33 39 38 13 25 35 25 27 25 9 25 25 25 25 25 25 25 25 25 25 25 25 4 25 2 0 25 25 25 25 25 10 25 25 39 25 25 25 25 25 27 25 25 26 25 25 25 0 26 25 26 25 25 30 25 33 25 25 0 25 25 25 25 26 26 4 25 5 0 38 5 10 27 32 6 35 34 2 18 22 7 26 2 38 37 37 29 38 5 38 7 15 8 3 23 42 6 6 27 15 7 4 21 20 2 37 31 27 39 11 14 42 31 22 37 39 19 6 7 9 2 0 1 36 6 6 7 22 5 16 34 2 21 2 13 42 8 25 24 2 32 25 39 2 19 37 5 1 29 19 22 4 33 5 41 6 30 32 2 9 2 21 28 19 24 31 5"
4,3,-0.5009,0.8750,0.6133,-0.1064,0.1840,"37 16 12 19 11 7 14 11 16 30 16 26 39 31 7 13 41 28 16 22 12 18 6 8 0 1 28 5 38 33 4 11 36 5 11 6 19 14 42 26 0 28 36 42 15 40 37 31 2 1 19 33 15 40 3 7 39 16 20 12 30 6 13 15 7 37 40 15 41 17 5 42 7 7 37 18 24 0 30 8 40 13 1 29 42 21 20 16 34 15 16 23 18 7 30 5 38 9 11 29 37 37 5 7 31 37 12 26 1 42 32 16 10 10 17 32 12 37 0 21 22 29 20 33 41 23 21 6 9 11 39 7 36 22 29 36 39 0 7 2 18 35 2 0 42 0 41 33 5 28 37 1 26 27 9 15 37 1 29 19 20 8 19 13 41 40 38 37 21 29 25 4 36 12 19 37 8 29 17 1 19 36 21 1 10 10 8 39 35 41 5 23 34 34 17 34 4 37 12 36 22 1 5 5 6 29 10 19 16 30 4 20 37 30 40 28 5 36 8 12 30 11 1 0 2 30 18 3 41 22 40 8 7 36 19 25 34 6 18 25 33 11 35 15 20 9 15 9 36 7 12 3 25 10 37 6 0 20 24 35 14 42 41 22 5 2 24 41 42 31 16 16 1 20 16 1 5 40 3 20 25 7 13 23 25 28 25 13 12 28 1 29 16 1 9 27 14 41 26 42 25 25 9 25 33 25 25 25 25 1 38 25 7 25 25 25 25 5 25 25 11 25 2 25 26 25 25 25 25 25 25 38 25 33 39 38 13 25 35 25 27 25 9 25 25 25 25 25 25 25 25 25 25 25 25 4 25 2 0 25 25 25 25 25 10 25 25 39 25 25 25 25 25 27 25 25 26 25 25 25 0 26 25 26 25 25 30 25 33 25 25 0 25 25 25 25 26 26 4 25 5 0 38 5 10 27 32 6 35 34 2 18 22 7 26 2 38 37 37 29 38 5 38 7 15 8 3 23 42 6 6 27 15 7 4 21 20 2 37 31 27 39 11 14 42 31 22 37 39 19 6 7 9 2 0 1 36 6 6 7 22 5 16 34 2 21 2 13 42 8 25 24 2 32 25 39 2 19 37 5 1 29 19 22 4 33 5 41 6 30 32 2 9 2 21 28 19 24 31 5"
5,4,-0.5132,0.9630,0.7373,-0.1080,0.2823,"3 2 30 1 0 2 2 2 3 9 2 0 2 2 3 2 32 9 38 3 18 9 2 2 0 2 35 10 13 2 10 2 11 2 2 11 2 38 11 2 2 2 2 2 2 0 24 13 9 0 2 2 2 2 20 33 0 1 2 2 2 9 2 2 1 11 38 38 30 2 9 8 2 34 2 0 11 0 2 2 2 38 17 2 2 42 2 1 35 38 26 38 11 0 2 26 2 2 13 2 13 1 2 2 2 37 12 28 2 27 2 4 2 40 2 2 2 2 32 6 5 32 5 2 26 41 2 2 2 2 6 2 2 2 25 37 2 40 2 6 2 2 2 24 16 2 31 6 2 40 2 6 6 2 2 2 2 2 2 17 2 2 6 2 2 2 31 2 2 2 2 6 5 2 10 37 6 2 2 2 2 21 10 2 2 2 2 2 2 2 2 2 2 5 7 4 2 4 6 2 4 2 2 6 2 2 2 2 2 2 37 6 25 2 2 2 2 25 37 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 6 2 2 25 2 25 25 25 2 2 2 25 2 2 2 2 2 25 2 40 25 2 37 25 2 2 2 2 25 25 2 2 24 2 2 2 2 2 2 2 2 2 2 25 2 2 2 6 2 4 2 2 27 37 2 33 2 2 2 2 25 2 2 31 8 2 10 0 38 25 38 10 14 14 20 3 8 0 3 7 7 35 25 13 11 13 0 41 4 0 13 9 3 40 30 40 6 18 40 6 3 1 0 20 14 38 0 1 10 7 4 13 13 32 0 21 0 39 27 12 21 3 0 6 32 3 3 3 3 0 35 34 29 1 23 5 15 12 5 0 22 3 42 0 21 1 36 3 6 39 6 23 7 12 0 2 36 3 39 18 35 3 27 9 2 2 2 2 12 2 2 41 2 2 2 2 2 2 2 2 2 2 12 2 2 20 2 12 12 12 2 12 2 12 2 2 10 12 2 12 19 11 2 2 2 2 2 12 2 2 2 2 12 2 2 2 12 2 12 12 2 12 10 2 2 12 2 2 2 2 2 2 2 9 2 2 2 2 2 2 2 2 11 11 2 2 11 2 2 2 2 2 2 12 9 2 9 2 2 33 2 9 2"
6,4,-0.5132,0.9630,0.7373,-0.1100,0.3046,"3 2 30 1 0 2 2 2 3 9 2 0 2 2 3 2 32 9 38 3 18 9 2 2 0 2 35 10 13 2 10 2 11 2 2 11 2 38 11 2 2 2 2 2 2 0 24 13 9 0 2 2 2 2 20 33 0 1 2 2 2 9 2 2 1 11 38 38 30 2 9 8 2 34 2 0 11 0 2 2 2 38 17 2 2 42 2 1 35 38 26 38 11 0 2 26 2 2 13 2 13 1 2 2 2 37 12 28 2 27 2 4 2 40 2 2 2 2 32 6 5 32 5 2 26 41 2 2 2 2 6 2 2 2 25 37 2 40 2 6 2 2 2 24 16 2 31 6 2 40 2 6 6 2 2 2 2 2 2 17 2 2 6 2 2 2 31 2 2 2 2 6 5 2 10 37 6 2 2 2 2 21 10 2 2 2 2 2 2 2 2 2 2 5 7 4 2 4 6 2 4 2 2 6 2 2 2 2 2 2 37 6 25 2 2 2 2 25 37 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 6 2 2 25 2 25 25 25 2 2 2 25 2 2 2 2 2 25 2 40 25 2 37 25 2 2 2 2 25 25 2 2 24 2 2 2 2 2 2 2 2 2 2 25 2 2 2 6 2 4 2 2 27 37 2 33 2 2 2 2 25 2 2 31 8 2 10 0 38 25 38 10 14 14 20 3 8 0 3 7 7 35 25 13 11 13 0 41 4 0 13 9 3 40 30 40 6 18 40 6 3 1 0 20 14 38 0 1 10 7 4 13 13 32 0 21 0 39 27 12 21 3 0 6 32 3 3 3 3 0 35 34 29 1 23 5 15 12 5 0 22 3 42 0 21 1 36 3 6 39 6 23 7 12 0 2 36 3 39 18 35 3 27 9 2 2 2 2 12 2 2 41 2 2 2 2 2 2 2 2 2 2 12 2 2 20 2 12 12 12 2 12 2 12 2 2 10 12 2 12 19 11 2 2 2 2 2 12 2 2 2 2 12 2 2 2 12 2 12 12 2 12 10 2 2 12 2 2 2 2 2 2 2 9 2 2 2 2 2 2 2 2 11 11 2 2 11 2 2 2 2 2 2 12 9 2 9 2 2 33 2 9 2"
7,5,-0.6237,0.9333,0.5075,-0.1515,0.2351,"25 25 41 40 25 25 25 25 25 25 21 25 25 27 25 25 17 25 25 27 25 20 20 25 16 25 29 25 25 16 30 25 25 25 25 2 25 25 25 19 25 27 25 3 22 25 25 25 25 25 25 3 25 25 8 27 25 12 11 25 30 25 25 25 25 27 25 36 40 25 25 25 25 15 25 22 25 38 25 25 32 25 25 25 33 25 34 25 25 25 10 25 25 26 12 25 4 25 25 25 12 2 36 34 15 27 9 37 20 28 14 33 16 16 37 22 22 36 35 23 27 0 42 8 15 5 31 26 0 30 24 19 23 20 37 15 10 11 19 36 20 5 6 29 19 31 9 4 22 7 1 32 6 41 35 5 40 2 29 10 1 26 1 40 22 10 8 2 42 4 0 35 23 42 16 31 25 8 11 29 41 6 5 18 32 20 28 34 42 21 12 14 12 15 6 22 11 1 29 16 41 41 19 41 0 7 1 41 10 41 41 23 41 41 0 41 41 41 1 8 19 41 2 26 41 41 1 41 18 41 41 41 41 41 27 0 41 41 0 41 18 41 41 41 41 38 41 41 41 12 29 41 41 41 40 41 0 38 31 41 27 38 11 41 41 18 41 41 19 1 41 41 41 41 5 6 41 41 41 1 38 41 41 10 0 41 41 41 41 41 41 1 41 29 41 41 41 41 41 41 25 12 2 25 26 26 12 25 2 25 0 25 25 26 12 25 25 25 2 12 25 12 12 25 25 12 25 12 25 25 25 26 25 12 25 12 25 25 2 25 25 25 25 27 2 12 25 25 25 25 25 27 25 25 25 25 25 25 25 12 25 25 12 25 25 25 12 25 26 25 12 25 25 27 25 12 26 25 25 9 12 25 12 25 25 12 12 25 25 25 26 25 25 25 25 25 12 26 25 25 34 34 36 36 34 34 34 2 34 34 34 34 15 34 36 2 34 34 34 23 34 35 2 34 2 2 34 16 34 2 2 2 34 34 36 28 2 34 34 33 34 34 2 34 2 34 34 34 34 19 40 34 34 34 34 2 2 34 34 32 36 0 34 34 36 34 34 34 34 34 34 34 34 34 2 34 34 34 34 7 34 34 34 34 2 2 34 2 2 2 34 34 34 2 34 24 34 34 34 34"
8,5,-0.6237,0.9333,0.5075,-0.1553,0.2024,"25 25 41 40 25 25 25 25 25 25 21 25 25 27 25 25 17 25 25 27 25 20 20 25 16 25 29 25 25 16 30 25 25 25 25 2 25 25 25 19 25 27 25 3 22 25 25 25 25 25 25 3 25 25 8 27 25 12 11 25 30 25 25 25 25 27 25 36 40 25 25 25 25 15 25 22 25 38 25 25 32 25 25 25 33 25 34 25 25 25 10 25 25 26 12 25 4 25 25 25 12 2 36 34 15 27 9 37 20 28 14 33 16 16 37 22 22 36 35 23 27 0 42 8 15 5 31 26 0 30 24 19 23 20 37 15 10 11 19 36 20 5 6 29 19 31 9 4 22 7 1 32 6 41 35 5 40 2 29 10 1 26 1 40 22 10 8 2 42 4 0 35 23 42 16 31 25 8 11 29 41 6 5 18 32 20 28 34 42 21 12 14 12 15 6 22 11 1 29 16 41 41 19 41 0 7 1 41 10 41 41 23 41 41 0 41 41 41 1 8 19 41 2 26 41 41 1 41 18 41 41 41 41 41 27 0 41 41 0 41 18 41 41 41 41 38 41 41 41 12 29 41 41 41 40 41 0 38 31 41 27 38 11 41 41 18 41 41 19 1 41 41 41 41 5 6 41 41 41 1 38 41 41 10 0 41 41 41 41 41 41 1 41 29 41 41 41 41 41 41 25 12 2 25 26 26 12 25 2 25 0 25 25 26 12 25 25 25 2 12 25 12 12 25 25 12 25 12 25 25 25 26 25 12 25 12 25 25 2 25 25 25 25 27 2 12 25 25 25 25 25 27 25 25 25 25 25 25 25 12 25 25 12 25 25 25 12 25 26 25 12 25 25 27 25 12 26 25 25 9 12 25 12 25 25 12 12 25 25 25 26 25 25 25 25 25 12 26 25 25 34 34 36 36 34 34 34 2 34 34 34 34 15 34 36 2 34 34 34 23 34 35 2 34 2 2 34 16 34 2 2 2 34 34 36 28 2 34 34 33 34 34 2 34 2 34 34 34 34 19 40 34 34 34 34 2 2 34 34 32 36 0 34 34 36 34 34 34 34 34 34 34 34 34 2 34 34 34 34 7 34 34 34 34 2 2 34 2 2 2 34 34 34 2 34 24 34 34 34 34"
9,5,-0.6237,0.9333,0.5075,-0.1914,0.2058,"25 25 41 40 25 25 25 25 25 25 21 25 25 27 25 25 17 25 25 27 25 20 20 25 16 25 29 25 25 16 30 25 25 25 25 2 25 25 25 19 25 27 25 3 22 25 25 25 25 25 25 3 25 25 8 27 25 12 11 25 30 25 25 25 25 27 25 36 40 25 25 25 25 15 25 22 25 38 25 25 32 25 25 25 33 25 34 25 25 25 10 25 25 26 12 25 4 25 25 25 12 2 36 34 15 27 9 37 20 28 14 33 16 16 37 22 22 36 35 23 27 0 42 8 15 5 31 26 0 30 24 19 23 20 37 15 10 11 19 36 20 5 6 29 19 31 9 4 22 7 1 32 6 41 35 5 40 2 29 10 1 26 1 40 22 10 8 2 42 4 0 35 23 42 16 31 25 8 11 29 41 6 5 18 32 20 28 34 42 21 12 14 12 15 6 22 11 1 29 16 41 41 19 41 0 7 1 41 10 41 41 23 41 41 0 41 41 41 1 8 19 41 2 26 41 41 1 41 18 41 41 41 41 41 27 0 41 41 0 41 18 41 41 41 41 38 41 41 41 12 29 41 41 41 40 41 0 38 31 41 27 38 11 41 41 18 41 41 19 1 41 41 41 41 5 6 41 41 41 1 38 41 41 10 0 41 41 41 41 41 41 1 41 29 41 41 41 41 41 41 25 12 2 25 26 26 12 25 2 25 0 25 25 26 12 25 25 25 2 12 25 12 12 25 25 12 25 12 25 25 25 26 25 12 25 12 25 25 2 25 25 25 25 27 2 12 25 25 25 25 25 27 25 25 25 25 25 25 25 12 25 25 12 25 25 25 12 25 26 25 12 25 25 27 25 12 26 25 25 9 12 25 12 25 25 12 12 25 25 25 26 25 25 25 25 25 12 26 25 25 34 34 36 36 34 34 34 2 34 34 34 34 15 34 36 2 34 34 34 23 34 35 2 34 2 2 34 16 34 2 2 2 34 34 36 28 2 34 34 33 34 34 2 34 2 34 34 34 34 19 40 34 34 34 34 2 2 34 34 32 36 0 34 34 36 34 34 34 34 34 34 34 34 34 2 34 34 34 34 7 34 34 34 34 2 2 34 2 2 2 34 34 34 2 34 24 34 34 34 34"
