gen,changes,best_fitness,best_winrate,avg_fitness,worst_fitness,best_genome
0,1,-0.582,0.765,-0.215,0.134,"[P0] 6 13 22 14 34 13 35 37 10 8 4 3 8 0 12 34 18 37 13 40 9 15 25 13 40 30 22 33 30 34 18 16 18 33 14 23 10 40 19 27 30 25 25 32 20 37 28 20 2 18 16 33 40 27 13 33 30 1 21 14 28 39 10 16 26 20 30 21 20 22 26 38 15 9 10 26 42 42 1 15 39 1 5 35 18 11 41 6 8 1 4 11 12 0 9 3 37 27 0 37; [P1] 21 0 8 17 35 7 42 26 39 4 0 23 39 20 31 9 26 15 21 26 12 31 32 42 30 0 1 27 32 14 37 41 3 20 36 13 39 38 2 36 25 12 40 32 3 39 9 30 1 25 4 15 32 2 14 39 32 37 29 13 17 21 30 38 19 37 11 36 27 18 39 9 2 24 39 10 5 14 38 35 30 7 6 23 24 10 39 22 34 39 42 19 31 10 32 31 15 0 30 32; [P2] 17 35 36 1 31 40 19 1 27 29 13 2 20 8 9 2 25 30 40 6 35 8 15 22 0 16 18 21 9 13 17 5 17 20 13 33 3 23 18 30 23 34 41 7 26 33 20 17 25 35 21 36 9 24 1 20 19 19 32 30 38 34 21 17 13 5 4 36 5 42 24 39 28 29 25 8 20 32 15 14 22 38 15 10 0 11 26 6 1 39 42 12 5 42 1 18 33 8 32 7; [P3] 28 33 42 41 33 28 30 27 18 28 15 9 33 7 21 23 31 24 6 22 15 31 23 16 41 11 25 15 16 37 11 12 15 23 25 1 38 2 13 5 5 36 10 3 23 24 40 31 9 36 30 33 34 15 40 39 26 26 40 33 42 14 13 0 9 17 40 28 8 13 23 0 18 30 24 38 42 37 30 23 29 34 2 20 12 18 17 11 3 11 18 20 16 17 16 9 34 26 40 12; [P4] 23 27 27 15 37 17 25 17 40 19 34 13 33 6 30 16 11 1 26 41 1 15 6 19 41 11 33 25 34 32 40 35 23 11 37 28 5 21 31 23 7 29 10 36 23 16 21 40 21 2 37 13 13 41 23 42 34 5 22 42 36 15 33 14 26 17 34 12 27 28 1 30 0 31 1 39 33 40 26 31 9 18 4 37 34 10 30 42 0 2 18 38 30 6 22 18 28 24 15 9"
1,1,-0.582,0.765,-0.228,0.122,"[P0] 6 13 22 14 34 13 35 37 10 8 4 3 8 0 12 34 18 37 13 40 9 15 25 13 40 30 22 33 30 34 18 16 18 33 14 23 10 40 19 27 30 25 25 32 20 37 28 20 2 18 16 33 40 27 13 33 30 1 21 14 28 39 10 16 26 20 30 21 20 22 26 38 15 9 10 26 42 42 1 15 39 1 5 35 18 11 41 6 8 1 4 11 12 0 9 3 37 27 0 37; [P1] 21 0 8 17 35 7 42 26 39 4 0 23 39 20 31 9 26 15 21 26 12 31 32 42 30 0 1 27 32 14 37 41 3 20 36 13 39 38 2 36 25 12 40 32 3 39 9 30 1 25 4 15 32 2 14 39 32 37 29 13 17 21 30 38 19 37 11 36 27 18 39 9 2 24 39 10 5 14 38 35 30 7 6 23 24 10 39 22 34 39 42 19 31 10 32 31 15 0 30 32; [P2] 17 35 36 1 31 40 19 1 27 29 13 2 20 8 9 2 25 30 40 6 35 8 15 22 0 16 18 21 9 13 17 5 17 20 13 33 3 23 18 30 23 34 41 7 26 33 20 17 25 35 21 36 9 24 1 20 19 19 32 30 38 34 21 17 13 5 4 36 5 42 24 39 28 29 25 8 20 32 15 14 22 38 15 10 0 11 26 6 1 39 42 12 5 42 1 18 33 8 32 7; [P3] 28 33 42 41 33 28 30 27 18 28 15 9 33 7 21 23 31 24 6 22 15 31 23 16 41 11 25 15 16 37 11 12 15 23 25 1 38 2 13 5 5 36 10 3 23 24 40 31 9 36 30 33 34 15 40 39 26 26 40 33 42 14 13 0 9 17 40 28 8 13 23 0 18 30 24 38 42 37 30 23 29 34 2 20 12 18 17 11 3 11 18 20 16 17 16 9 34 26 40 12; [P4] 23 27 27 15 37 17 25 17 40 19 34 13 33 6 30 16 11 1 26 41 1 15 6 19 41 11 33 25 34 32 40 35 23 11 37 28 5 21 31 23 7 29 10 36 23 16 21 40 21 2 37 13 13 41 23 42 34 5 22 42 36 15 33 14 26 17 34 12 27 28 1 30 0 31 1 39 33 40 26 31 9 18 4 37 34 10 30 42 0 2 18 38 30 6 22 18 28 24 15 9"
2,1,-0.582,0.765,-0.227,0.119,"[P0] 6 13 22 14 34 13 35 37 10 8 4 3 8 0 12 34 18 37 13 40 9 15 25 13 40 30 22 33 30 34 18 16 18 33 14 23 10 40 19 27 30 25 25 32 20 37 28 20 2 18 16 33 40 27 13 33 30 1 21 14 28 39 10 16 26 20 30 21 20 22 26 38 15 9 10 26 42 42 1 15 39 1 5 35 18 11 41 6 8 1 4 11 12 0 9 3 37 27 0 37; [P1] 21 0 8 17 35 7 42 26 39 4 0 23 39 20 31 9 26 15 21 26 12 31 32 42 30 0 1 27 32 14 37 41 3 20 36 13 39 38 2 36 25 12 40 32 3 39 9 30 1 25 4 15 32 2 14 39 32 37 29 13 17 21 30 38 19 37 11 36 27 18 39 9 2 24 39 10 5 14 38 35 30 7 6 23 24 10 39 22 34 39 42 19 31 10 32 31 15 0 30 32; [P2] 17 35 36 1 31 40 19 1 27 29 13 2 20 8 9 2 25 30 40 6 35 8 15 22 0 16 18 21 9 13 17 5 17 20 13 33 3 23 18 30 23 34 41 7 26 33 20 17 25 35 21 36 9 24 1 20 19 19 32 30 38 34 21 17 13 5 4 36 5 42 24 39 28 29 25 8 20 32 15 14 22 38 15 10 0 11 26 6 1 39 42 12 5 42 1 18 33 8 32 7; [P3] 28 33 42 41 33 28 30 27 18 28 15 9 33 7 21 23 31 24 6 22 15 31 23 16 41 11 25 15 16 37 11 12 15 23 25 1 38 2 13 5 5 36 10 3 23 24 40 31 9 36 30 33 34 15 40 39 26 26 40 33 42 14 13 0 9 17 40 28 8 13 23 0 18 30 24 38 42 37 30 23 29 34 2 20 12 18 17 11 3 11 18 20 16 17 16 9 34 26 40 12; [P4] 23 27 27 15 37 17 25 17 40 19 34 13 33 6 30 16 11 1 26 41 1 15 6 19 41 11 33 25 34 32 40 35 23 11 37 28 5 21 31 23 7 29 10 36 23 16 21 40 21 2 37 13 13 41 23 42 34 5 22 42 36 15 33 14 26 17 34 12 27 28 1 30 0 31 1 39 33 40 26 31 9 18 4 37 34 10 30 42 0 2 18 38 30 6 22 18 28 24 15 9"
3,2,-0.630,0.813,-0.227,0.127,"[P0] 21 14 34 34 10 16 24 27 24 30 9 1 8 24 24 32 9 34 36 37 20 11 4 15 3 6 22 34 4 7 38 22 5 8 37 1 13 36 34 6 27 15 20 28 37 18 0 10 8 38 28 18 1 21 25 18 28 12 40 6 0 10 39 41 20 21 30 20 9 41 7 15 35 14 19 36 16 26 36 9 15 33 42 39 39 31 23 7 22 19 42 40 30 5 27 25 20 34 25 41; [P1] 6 30 27 30 16 15 28 22 36 27 28 16 31 26 38 39 4 41 38 33 14 20 8 39 36 29 27 19 30 7 25 37 25 8 42 13 5 40 22 36 10 5 7 18 17 10 0 29 25 2 21 23 5 35 15 32 9 5 32 32 11 40 36 8 13 12 27 23 33 23 11 22 12 23 34 2 11 17 15 32 3 13 1 12 22 5 1 15 42 20 37 12 6 41 30 19 16 30 38 24; [P2] 33 25 9 37 32 2 27 27 37 31 2 32 10 14 30 41 27 38 24 39 18 23 12 40 12 4 31 7 3 11 1 23 21 28 0 0 11 32 31 18 34 15 5 3 0 18 27 15 20 15 22 6 15 21 13 23 7 36 0 13 1 13 13 32 31 25 19 7 25 15 15 29 18 11 9 40 16 11 34 0 18 14 9 42 6 41 28 31 34 35 17 12 2 30 30 35 24 0 5 10; [P3] 6 40 32 5 36 17 20 39 8 10 8 2 9 18 2 5 2 39 22 1 28 19 19 41 23 8 42 37 24 35 2 32 39 30 6 37 1 8 15 4 30 12 29 1 15 1 8 17 37 27 27 19 41 21 10 0 30 9 2 9 4 41 7 3 2 26 16 34 10 30 17 16 27 40 37 12 21 27 31 19 1 42 40 34 28 14 39 38 7 25 33 21 24 24 1 9 17 35 30 27; [P4] 8 34 42 9 39 34 8 41 19 23 10 9 11 0 24 7 23 42 41 38 27 5 13 19 34 30 37 29 39 30 26 41 37 37 26 1 30 13 32 21 15 13 19 0 33 30 6 36 17 40 39 24 26 30 1 18 24 33 29 17 8 1 29 33 20 38 22 18 31 2 35 5 29 33 25 8 24 1 40 23 7 30 32 37 12 1 30 34 5 24 8 19 18 4 38 13 34 23 37 12"
4,2,-0.630,0.813,-0.225,0.120,"[P0] 21 14 34 34 10 16 24 27 24 30 9 1 8 24 24 32 9 34 36 37 20 11 4 15 3 6 22 34 4 7 38 22 5 8 37 1 13 36 34 6 27 15 20 28 37 18 0 10 8 38 28 18 1 21 25 18 28 12 40 6 0 10 39 41 20 21 30 20 9 41 7 15 35 14 19 36 16 26 36 9 15 33 42 39 39 31 23 7 22 19 42 40 30 5 27 25 20 34 25 41; [P1] 6 30 27 30 16 15 28 22 36 27 28 16 31 26 38 39 4 41 38 33 14 20 8 39 36 29 27 19 30 7 25 37 25 8 42 13 5 40 22 36 10 5 7 18 17 10 0 29 25 2 21 23 5 35 15 32 9 5 32 32 11 40 36 8 13 12 27 23 33 23 11 22 12 23 34 2 11 17 15 32 3 13 1 12 22 5 1 15 42 20 37 12 6 41 30 19 16 30 38 24; [P2] 33 25 9 37 32 2 27 27 37 31 2 32 10 14 30 41 27 38 24 39 18 23 12 40 12 4 31 7 3 11 1 23 21 28 0 0 11 32 31 18 34 15 5 3 0 18 27 15 20 15 22 6 15 21 13 23 7 36 0 13 1 13 13 32 31 25 19 7 25 15 15 29 18 11 9 40 16 11 34 0 18 14 9 42 6 41 28 31 34 35 17 12 2 30 30 35 24 0 5 10; [P3] 6 40 32 5 36 17 20 39 8 10 8 2 9 18 2 5 2 39 22 1 28 19 19 41 23 8 42 37 24 35 2 32 39 30 6 37 1 8 15 4 30 12 29 1 15 1 8 17 37 27 27 19 41 21 10 0 30 9 2 9 4 41 7 3 2 26 16 34 10 30 17 16 27 40 37 12 21 27 31 19 1 42 40 34 28 14 39 38 7 25 33 21 24 24 1 9 17 35 30 27; [P4] 8 34 42 9 39 34 8 41 19 23 10 9 11 0 24 7 23 42 41 38 27 5 13 19 34 30 37 29 39 30 26 41 37 37 26 1 30 13 32 21 15 13 19 0 33 30 6 36 17 40 39 24 26 30 1 18 24 33 29 17 8 1 29 33 20 38 22 18 31 2 35 5 29 33 25 8 24 1 40 23 7 30 32 37 12 1 30 34 5 24 8 19 18 4 38 13 34 23 37 12"
5,2,-0.630,0.813,-0.222,0.125,"[P0] 21 14 34 34 10 16 24 27 24 30 9 1 8 24 24 32 9 34 36 37 20 11 4 15 3 6 22 34 4 7 38 22 5 8 37 1 13 36 34 6 27 15 20 28 37 18 0 10 8 38 28 18 1 21 25 18 28 12 40 6 0 10 39 41 20 21 30 20 9 41 7 15 35 14 19 36 16 26 36 9 15 33 42 39 39 31 23 7 22 19 42 40 30 5 27 25 20 34 25 41; [P1] 6 30 27 30 16 15 28 22 36 27 28 16 31 26 38 39 4 41 38 33 14 20 8 39 36 29 27 19 30 7 25 37 25 8 42 13 5 40 22 36 10 5 7 18 17 10 0 29 25 2 21 23 5 35 15 32 9 5 32 32 11 40 36 8 13 12 27 23 33 23 11 22 12 23 34 2 11 17 15 32 3 13 1 12 22 5 1 15 42 20 37 12 6 41 30 19 16 30 38 24; [P2] 33 25 9 37 32 2 27 27 37 31 2 32 10 14 30 41 27 38 24 39 18 23 12 40 12 4 31 7 3 11 1 23 21 28 0 0 11 32 31 18 34 15 5 3 0 18 27 15 20 15 22 6 15 21 13 23 7 36 0 13 1 13 13 32 31 25 19 7 25 15 15 29 18 11 9 40 16 11 34 0 18 14 9 42 6 41 28 31 34 35 17 12 2 30 30 35 24 0 5 10; [P3] 6 40 32 5 36 17 20 39 8 10 8 2 9 18 2 5 2 39 22 1 28 19 19 41 23 8 42 37 24 35 2 32 39 30 6 37 1 8 15 4 30 12 29 1 15 1 8 17 37 27 27 19 41 21 10 0 30 9 2 9 4 41 7 3 2 26 16 34 10 30 17 16 27 40 37 12 21 27 31 19 1 42 40 34 28 14 39 38 7 25 33 21 24 24 1 9 17 35 30 27; [P4] 8 34 42 9 39 34 8 41 19 23 10 9 11 0 24 7 23 42 41 38 27 5 13 19 34 30 37 29 39 30 26 41 37 37 26 1 30 13 32 21 15 13 19 0 33 30 6 36 17 40 39 24 26 30 1 18 24 33 29 17 8 1 29 33 20 38 22 18 31 2 35 5 29 33 25 8 24 1 40 23 7 30 32 37 12 1 30 34 5 24 8 19 18 4 38 13 34 23 37 12"
6,3,-0.651,0.833,-0.229,0.131,"[P0] 1 14 7 34 10 16 24 27 30 30 9 1 8 24 24 32 0 38 36 37 20 15 4 15 3 6 22 34 5 7 38 36 5 8 24 1 13 36 34 11 27 15 20 28 37 18 0 10 8 38 28 18 1 21 25 18 28 12 40 6 0 10 39 41 20 21 30 12 9 41 7 15 35 14 19 36 16 26 36 9 15 33 42 39 39 31 23 7 22 19 42 40 30 5 27 25 20 23 25 41; [P1] 28 0 19 15 35 33 42 26 39 4 0 23 39 20 31 9 26 15 15 26 12 31 32 42 30 0 1 27 32 19 37 17 35 6 36 13 39 38 2 36 11 12 40 32 3 39 9 30 33 25 12 8 21 2 14 6 32 9 29 13 17 21 24 38 12 36 11 36 27 18 39 9 2 24 1 10 10 14 38 35 30 7 6 25 24 10 39 22 34 39 42 19 8 10 32 31 15 0 30 32; [P2] 6 27 20 8 4 35 6 28 30 10 40 1 10 37 12 1 25 33 37 31 13 1 19 6 11 4 14 3 18 31 40 8 25 23 6 17 33 7 32 40 35 10 39 7 29 6 6 14 26 39 42 39 14 11 15 13 27 40 2 34 17 28 25 2 2 18 33 41 40 18 38 32 0 28 26 27 8 36 35 34 21 15 19 4 14 12 13 10 4 31 32 6 26 24 34 41 32 35 1 33; [P3] 30 22 35 2 30 1 28 20 33 37 34 16 17 20 41 4 38 27 24 17 2 15 24 12 27 4 20 7 20 0 0 24 2 1 32 1 11 2 35 12 12 30 32 20 13 17 17 24 23 1 39 32 40 26 25 38 31 15 3 34 30 30 19 41 1 31 13 16 37 6 33 10 12 18 35 34 27 32 39 0 10 33 37 39 16 18 11 38 11 17 10 5 38 0 2 26 31 1 42 6; [P4] 7 36 37 31 11 39 24 36 7 25 11 41 22 7 42 5 21 21 21 14 39 26 42 3 37 20 20 17 0 27 38 32 42 38 11 20 26 14 18 17 38 37 13 31 4 9 31 6 37 0 34 37 19 6 24 28 35 1 15 35 25 31 38 39 33 41 27 24 9 28 27 0 11 27 29 41 42 17 36 1 11 29 17 1 1 32 29 14 19 37 20 27 8 40 32 37 39 42 8 26"
7,4,-0.651,0.833,-0.226,0.121,"[P0] 30 16 3 32 31 39 16 15 26 31 8 25 14 33 28 15 20 11 21 5 22 37 1 13 38 39 18 14 41 6 7 5 7 17 21 25 36 0 9 12 34 24 39 22 38 29 34 26 11 18 35 17 5 20 8 40 24 34 27 28 8 30 25 6 6 37 2 1 25 12 3 26 27 30 7 27 6 23 38 2 29 40 41 2 22 17 2 22 34 7 29 36 6 41 22 1 26 18 7 14; [P1] 15 13 21 37 11 25 32 23 40 8 2 29 11 41 15 20 5 10 13 21 7 7 25 38 6 34 34 19 41 4 25 6 14 9 26 33 13 10 39 20 18 5 23 10 29 21 7 7 20 6 24 0 34 0 33 31 6 11 32 8 30 26 33 3 36 31 1 26 21 18 1 18 2 34 17 2 36 41 36 40 11 23 20 35 33 9 20 28 27 19 28 26 1 24 19 8 39 12 4 20; [P2] 22 10 33 1 27 39 8 11 22 2 21 13 1 14 22 20 41 22 11 2 18 41 31 26 23 7 27 25 17 37 22 13 0 22 1 15 38 22 21 11 42 39 16 24 6 21 6 35 7 40 37 8 27 9 5 35 16 29 23 40 19 35 5 0 41 37 27 4 5 34 2 16 28 13 2 15 11 41 8 28 30 2 13 18 1 6 37 3 32 24 20 9 28 15 41 25 20 27 7 6; [P3] 20 0 33 8 29 35 5 22 16 27 35 40 22 24 27 36 16 41 8 18 32 34 19 9 1 16 30 0 17 41 39 40 8 11 33 22 5 31 1 17 40 34 38 39 20 41 28 18 0 0 31 27 29 19 26 41 11 26 42 23 6 25 4 29 41 31 32 33 30 27 1 22 4 6 21 24 3 3 5 42 1 1 29 26 4 16 40 14 25 42 20 10 23 4 26 28 36 18 28 7; [P4] 42 20 16 17 1 26 2 33 35 18 21 33 16 6 33 0 27 12 1 42 12 22 6 11 28 33 6 34 41 26 38 25 28 28 14 31 34 31 28 9 27 27 37 4 32 31 12 13 6 12 25 17 24 41 13 33 8 37 36 17 17 14 14 0 2 20 10 31 39 34 40 26 28 29 26 32 1 27 20 9 28 15 29 24 22 9 8 32 0 20 3 25 42 17 32 36 4 1 29 33"
8,4,-0.651,0.833,-0.226,0.109,"[P0] 30 16 3 32 31 39 16 15 26 31 8 25 14 33 28 15 20 11 21 5 22 37 1 13 38 39 18 14 41 6 7 5 7 17 21 25 36 0 9 12 34 24 39 22 38 29 34 26 11 18 35 17 5 20 8 40 24 34 27 28 8 30 25 6 6 37 2 1 25 12 3 26 27 30 7 27 6 23 38 2 29 40 41 2 22 17 2 22 34 7 29 36 6 41 22 1 26 18 7 14; [P1] 15 13 21 37 11 25 32 23 40 8 2 29 11 41 15 20 5 10 13 21 7 7 25 38 6 34 34 19 41 4 25 6 14 9 26 33 13 10 39 20 18 5 23 10 29 21 7 7 20 6 24 0 34 0 33 31 6 11 32 8 30 26 33 3 36 31 1 26 21 18 1 18 2 34 17 2 36 41 36 40 11 23 20 35 33 9 20 28 27 19 28 26 1 24 19 8 39 12 4 20; [P2] 22 10 33 1 27 39 8 11 22 2 21 13 1 14 22 20 41 22 11 2 18 41 31 26 23 7 27 25 17 37 22 13 0 22 1 15 38 22 21 11 42 39 16 24 6 21 6 35 7 40 37 8 27 9 5 35 16 29 23 40 19 35 5 0 41 37 27 4 5 34 2 16 28 13 2 15 11 41 8 28 30 2 13 18 1 6 37 3 32 24 20 9 28 15 41 25 20 27 7 6; [P3] 20 0 33 8 29 35 5 22 16 27 35 40 22 24 27 36 16 41 8 18 32 34 19 9 1 16 30 0 17 41 39 40 8 11 33 22 5 31 1 17 40 34 38 39 20 41 28 18 0 0 31 27 29 19 26 41 11 26 42 23 6 25 4 29 41 31 32 33 30 27 1 22 4 6 21 24 3 3 5 42 1 1 29 26 4 16 40 14 25 42 20 10 23 4 26 28 36 18 28 7; [P4] 42 20 16 17 1 26 2 33 35 18 21 33 16 6 33 0 27 12 1 42 12 22 6 11 28 33 6 34 41 26 38 25 28 28 14 31 34 31 28 9 27 27 37 4 32 31 12 13 6 12 25 17 24 41 13 33 8 37 36 17 17 14 14 0 2 20 10 31 39 34 40 26 28 29 26 32 1 27 20 9 28 15 29 24 22 9 8 32 0 20 3 25 42 17 32 36 4 1 29 33"
9,4,-0.651,0.833,-0.228,0.119,"[P0] 30 16 3 32 31 39 16 15 26 31 8 25 14 33 28 15 20 11 21 5 22 37 1 13 38 39 18 14 41 6 7 5 7 17 21 25 36 0 9 12 34 24 39 22 38 29 34 26 11 18 35 17 5 20 8 40 24 34 27 28 8 30 25 6 6 37 2 1 25 12 3 26 27 30 7 27 6 23 38 2 29 40 41 2 22 17 2 22 34 7 29 36 6 41 22 1 26 18 7 14; [P1] 15 13 21 37 11 25 32 23 40 8 2 29 11 41 15 20 5 10 13 21 7 7 25 38 6 34 34 19 41 4 25 6 14 9 26 33 13 10 39 20 18 5 23 10 29 21 7 7 20 6 24 0 34 0 33 31 6 11 32 8 30 26 33 3 36 31 1 26 21 18 1 18 2 34 17 2 36 41 36 40 11 23 20 35 33 9 20 28 27 19 28 26 1 24 19 8 39 12 4 20; [P2] 22 10 33 1 27 39 8 11 22 2 21 13 1 14 22 20 41 22 11 2 18 41 31 26 23 7 27 25 17 37 22 13 0 22 1 15 38 22 21 11 42 39 16 24 6 21 6 35 7 40 37 8 27 9 5 35 16 29 23 40 19 35 5 0 41 37 27 4 5 34 2 16 28 13 2 15 11 41 8 28 30 2 13 18 1 6 37 3 32 24 20 9 28 15 41 25 20 27 7 6; [P3] 20 0 33 8 29 35 5 22 16 27 35 40 22 24 27 36 16 41 8 18 32 34 19 9 1 16 30 0 17 41 39 40 8 11 33 22 5 31 1 17 40 34 38 39 20 41 28 18 0 0 31 27 29 19 26 41 11 26 42 23 6 25 4 29 41 31 32 33 30 27 1 22 4 6 21 24 3 3 5 42 1 1 29 26 4 16 40 14 25 42 20 10 23 4 26 28 36 18 28 7; [P4] 42 20 16 17 1 26 2 33 35 18 21 33 16 6 33 0 27 12 1 42 12 22 6 11 28 33 6 34 41 26 38 25 28 28 14 31 34 31 28 9 27 27 37 4 32 31 12 13 6 12 25 17 24 41 13 33 8 37 36 17 17 14 14 0 2 20 10 31 39 34 40 26 28 29 26 32 1 27 20 9 28 15 29 24 22 9 8 32 0 20 3 25 42 17 32 36 4 1 29 33"
