# seed=123456
# instance=PIECEWISE
# popSize=100
# generations=50
# crossover=BlockUniformCrossover(p=0.75)
# mutation=FlipMutation(p0=0.1,pMin=0.002,alpha=0.9)
# selection=NaryTournament(k=3)
# elitism=2
# lambda_similarity=0.2
# fights_per_team=5
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5432,0.7222,0.8949,-0.1436,0.1880,"16 0 6 11 32 31 31 14 33 41 40 15 0 9 1 20 40 30 31 22 40 4 1 34 31 15 23 13 42 31 28 19 21 41 25 20 11 15 28 18 4 6 31 0 1 23 11 25 29 2 21 18 42 4 26 37 16 31 29 13 4 30 15 0 11 0 27 38 40 32 9 32 33 4 42 39 6 5 35 38 0 30 21 1 11 7 15 35 32 27 7 19 3 38 3 20 31 39 5 40 27 4 37 19 42 12 41 5 1 34 9 42 24 23 42 7 9 40 11 0 5 10 9 18 9 5 26 31 34 2 16 32 18 23 11 34 6 32 27 4 33 28 33 30 3 38 4 14 23 17 4 35 17 42 31 40 40 1 0 19 2 25 4 27 14 5 33 10 42 7 24 5 36 36 9 37 16 2 25 26 16 17 25 12 5 40 26 32 32 36 11 18 13 4 41 40 1 19 19 26 36 11 20 1 18 22 29 35 31 5 7 22 40 25 26 12 25 19 4 21 42 17 34 11 36 38 16 34 5 32 19 18 38 0 41 33 26 16 4 12 4 28 4 27 1 18 7 23 35 0 23 10 22 23 16 30 3 4 35 19 7 9 31 10 5 0 18 7 35 39 8 42 27 9 0 21 2 41 14 39 17 8 38 42 11 18 15 7 36 0 24 3 5 39 33 29 22 8 13 25 9 11 20 9 10 13 38 11 16 11 11 16 1 20 12 38 26 18 2 24 35 35 31 18 2 31 38 36 12 21 41 39 5 19 37 41 42 30 28 0 13 14 3 2 41 6 14 9 33 41 31 22 30 18 37 42 16 28 33 34 21 3 20 34 32 19 38 36 25 12 35 2 28 12 5 28 19 17 19 21 30 16 26 17 33 28 0 16 12 42 30 25 37 42 38 32 16 36 10 33 5 29 15 36 17 15 13 39 12 15 20 5 32 15 39 5 7 15 27 4 33 31 4 3 5 1 5 13 33 31 18 16 17 31 40 40 42 28 30 26 18 38 1 41 25 4 7 25 28 19 36 10 18 38 8 22 37 3 42 34 36 11 31 32 29 10 11 31 40 33 42 13 30 18 21 7 39 37 10 27 23 13 10 34 34 8 5 34 20 17 19 10 17 19 4 14 23 21 5 35"
1,2,-0.5998,0.7895,0.9482,-0.1597,0.1865,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
2,2,-0.5998,0.7895,0.9482,-0.1601,0.1873,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
3,2,-0.5998,0.7895,0.9482,-0.1666,0.1865,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
4,2,-0.5998,0.7895,0.9482,-0.1780,0.1877,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
5,3,-0.6047,0.7895,0.9238,-0.1855,0.1863,"11 27 20 23 8 13 40 12 9 40 26 21 4 8 40 31 21 34 15 22 23 28 26 38 10 18 27 25 20 9 32 32 7 37 10 7 7 16 18 29 11 31 16 2 1 18 21 0 34 31 31 5 37 37 2 7 2 13 22 14 33 13 34 17 5 9 28 21 11 37 31 7 39 37 42 21 26 33 22 28 38 8 35 0 22 12 36 20 37 21 22 3 10 5 11 31 29 28 18 16 41 5 18 2 15 22 35 34 36 30 3 28 25 25 35 23 23 0 12 12 18 29 3 36 17 15 3 28 27 9 18 39 9 1 18 10 22 24 8 20 39 14 41 7 40 18 34 29 3 39 8 4 36 33 3 38 5 22 42 41 1 32 7 17 0 16 13 38 15 41 17 35 26 17 30 22 31 26 4 18 33 16 26 1 24 34 15 11 14 35 0 25 26 18 8 7 26 35 34 21 19 0 20 27 18 22 29 35 9 30 7 22 40 25 26 5 25 19 4 7 42 17 34 11 36 38 16 34 1 32 37 18 38 0 41 9 26 25 4 12 8 28 4 27 1 18 7 23 35 0 23 10 17 23 16 16 3 4 10 19 2 15 5 22 5 0 18 7 35 39 8 42 17 42 0 10 2 8 35 39 17 8 38 42 11 18 15 7 29 0 24 3 5 39 33 29 22 8 13 25 15 37 27 40 38 34 18 16 30 21 34 9 0 5 31 28 10 5 16 13 27 26 1 17 35 13 31 4 17 29 38 12 8 14 42 7 12 24 1 31 2 40 14 41 3 31 10 31 16 37 41 7 36 9 18 38 33 36 26 40 35 10 28 20 3 17 1 4 39 34 42 40 12 12 17 23 17 22 20 40 0 16 27 40 17 40 8 5 8 9 10 7 4 5 13 15 24 21 1 17 37 26 19 10 18 42 9 1 2 18 39 36 17 14 10 32 17 31 10 24 33 16 7 16 13 5 1 12 23 20 4 18 31 0 10 31 40 15 31 30 15 11 42 41 4 30 0 11 0 36 29 4 20 28 42 10 15 36 26 31 29 30 41 13 4 20 33 32 2 15 34 34 0 38 0 29 33 27 21 19 29 20 29 42 36 39 16 41 11 31 32 39 11 42 20 26 19 19 11 14"
6,3,-0.6047,0.7895,0.9238,-0.1994,0.1881,"11 27 20 23 8 13 40 12 9 40 26 21 4 8 40 31 21 34 15 22 23 28 26 38 10 18 27 25 20 9 32 32 7 37 10 7 7 16 18 29 11 31 16 2 1 18 21 0 34 31 31 5 37 37 2 7 2 13 22 14 33 13 34 17 5 9 28 21 11 37 31 7 39 37 42 21 26 33 22 28 38 8 35 0 22 12 36 20 37 21 22 3 10 5 11 31 29 28 18 16 41 5 18 2 15 22 35 34 36 30 3 28 25 25 35 23 23 0 12 12 18 29 3 36 17 15 3 28 27 9 18 39 9 1 18 10 22 24 8 20 39 14 41 7 40 18 34 29 3 39 8 4 36 33 3 38 5 22 42 41 1 32 7 17 0 16 13 38 15 41 17 35 26 17 30 22 31 26 4 18 33 16 26 1 24 34 15 11 14 35 0 25 26 18 8 7 26 35 34 21 19 0 20 27 18 22 29 35 9 30 7 22 40 25 26 5 25 19 4 7 42 17 34 11 36 38 16 34 1 32 37 18 38 0 41 9 26 25 4 12 8 28 4 27 1 18 7 23 35 0 23 10 17 23 16 16 3 4 10 19 2 15 5 22 5 0 18 7 35 39 8 42 17 42 0 10 2 8 35 39 17 8 38 42 11 18 15 7 29 0 24 3 5 39 33 29 22 8 13 25 15 37 27 40 38 34 18 16 30 21 34 9 0 5 31 28 10 5 16 13 27 26 1 17 35 13 31 4 17 29 38 12 8 14 42 7 12 24 1 31 2 40 14 41 3 31 10 31 16 37 41 7 36 9 18 38 33 36 26 40 35 10 28 20 3 17 1 4 39 34 42 40 12 12 17 23 17 22 20 40 0 16 27 40 17 40 8 5 8 9 10 7 4 5 13 15 24 21 1 17 37 26 19 10 18 42 9 1 2 18 39 36 17 14 10 32 17 31 10 24 33 16 7 16 13 5 1 12 23 20 4 18 31 0 10 31 40 15 31 30 15 11 42 41 4 30 0 11 0 36 29 4 20 28 42 10 15 36 26 31 29 30 41 13 4 20 33 32 2 15 34 34 0 38 0 29 33 27 21 19 29 20 29 42 36 39 16 41 11 31 32 39 11 42 20 26 19 19 11 14"
7,4,-0.6174,0.8095,0.9606,-0.2135,0.1889,"15 13 22 19 37 15 16 31 22 26 11 15 31 13 15 22 16 23 29 35 13 29 17 23 12 22 29 11 39 8 11 19 38 26 22 35 0 9 7 2 16 7 36 4 41 33 21 17 12 18 8 33 21 14 33 37 30 18 37 41 40 18 30 14 9 19 34 25 10 28 13 29 17 4 16 12 13 37 25 35 33 23 14 39 35 18 36 41 4 3 28 8 7 42 1 18 29 27 42 21 41 5 4 2 1 22 35 34 29 28 3 28 10 25 35 23 14 0 12 12 18 29 3 21 0 15 3 28 27 9 25 39 9 0 14 10 22 14 8 20 4 14 41 36 40 23 9 29 3 39 14 3 36 33 3 38 5 10 38 31 1 32 8 18 0 40 13 38 15 16 17 13 42 17 30 0 31 26 4 18 33 18 26 1 2 34 15 36 14 21 0 15 13 18 34 7 23 35 34 21 34 16 35 42 9 36 27 25 4 21 25 35 32 3 22 28 27 9 37 20 24 32 40 34 4 26 16 32 20 29 0 29 27 27 10 34 7 30 39 18 15 24 2 23 1 4 28 13 23 10 33 0 34 41 23 3 36 23 1 20 39 38 7 13 37 4 31 36 31 12 41 13 26 20 27 35 34 2 7 40 32 12 11 23 8 29 41 31 28 32 23 5 10 29 35 37 22 38 8 26 31 42 7 41 19 34 25 29 21 4 9 27 37 21 19 37 16 8 7 36 31 11 13 40 18 27 30 8 18 15 15 27 42 9 41 6 5 8 25 11 0 17 8 42 12 18 10 39 19 10 23 10 9 42 17 27 28 36 0 21 3 11 14 10 16 3 17 8 2 21 18 5 7 40 32 39 16 15 35 40 28 33 38 26 34 36 36 2 11 27 1 32 13 14 3 41 18 5 28 34 19 20 5 41 11 41 22 4 24 21 11 41 23 25 21 13 32 12 26 19 25 10 0 26 32 34 38 19 37 28 12 34 26 23 38 23 7 20 17 40 31 39 5 16 41 27 21 38 35 25 11 15 17 4 25 17 12 36 30 25 14 27 10 2 27 26 9 22 17 2 17 23 0 17 9 26 2 15 5 35 36 29 0 42 8 12 39 4 24 32 35 18 42 36 42 42 27 12 9 42"
8,4,-0.6174,0.8095,0.9606,-0.2197,0.1904,"15 13 22 19 37 15 16 31 22 26 11 15 31 13 15 22 16 23 29 35 13 29 17 23 12 22 29 11 39 8 11 19 38 26 22 35 0 9 7 2 16 7 36 4 41 33 21 17 12 18 8 33 21 14 33 37 30 18 37 41 40 18 30 14 9 19 34 25 10 28 13 29 17 4 16 12 13 37 25 35 33 23 14 39 35 18 36 41 4 3 28 8 7 42 1 18 29 27 42 21 41 5 4 2 1 22 35 34 29 28 3 28 10 25 35 23 14 0 12 12 18 29 3 21 0 15 3 28 27 9 25 39 9 0 14 10 22 14 8 20 4 14 41 36 40 23 9 29 3 39 14 3 36 33 3 38 5 10 38 31 1 32 8 18 0 40 13 38 15 16 17 13 42 17 30 0 31 26 4 18 33 18 26 1 2 34 15 36 14 21 0 15 13 18 34 7 23 35 34 21 34 16 35 42 9 36 27 25 4 21 25 35 32 3 22 28 27 9 37 20 24 32 40 34 4 26 16 32 20 29 0 29 27 27 10 34 7 30 39 18 15 24 2 23 1 4 28 13 23 10 33 0 34 41 23 3 36 23 1 20 39 38 7 13 37 4 31 36 31 12 41 13 26 20 27 35 34 2 7 40 32 12 11 23 8 29 41 31 28 32 23 5 10 29 35 37 22 38 8 26 31 42 7 41 19 34 25 29 21 4 9 27 37 21 19 37 16 8 7 36 31 11 13 40 18 27 30 8 18 15 15 27 42 9 41 6 5 8 25 11 0 17 8 42 12 18 10 39 19 10 23 10 9 42 17 27 28 36 0 21 3 11 14 10 16 3 17 8 2 21 18 5 7 40 32 39 16 15 35 40 28 33 38 26 34 36 36 2 11 27 1 32 13 14 3 41 18 5 28 34 19 20 5 41 11 41 22 4 24 21 11 41 23 25 21 13 32 12 26 19 25 10 0 26 32 34 38 19 37 28 12 34 26 23 38 23 7 20 17 40 31 39 5 16 41 27 21 38 35 25 11 15 17 4 25 17 12 36 30 25 14 27 10 2 27 26 9 22 17 2 17 23 0 17 9 26 2 15 5 35 36 29 0 42 8 12 39 4 24 32 35 18 42 36 42 42 27 12 9 42"
9,4,-0.6174,0.8095,0.9606,-0.2220,0.1852,"15 13 22 19 37 15 16 31 22 26 11 15 31 13 15 22 16 23 29 35 13 29 17 23 12 22 29 11 39 8 11 19 38 26 22 35 0 9 7 2 16 7 36 4 41 33 21 17 12 18 8 33 21 14 33 37 30 18 37 41 40 18 30 14 9 19 34 25 10 28 13 29 17 4 16 12 13 37 25 35 33 23 14 39 35 18 36 41 4 3 28 8 7 42 1 18 29 27 42 21 41 5 4 2 1 22 35 34 29 28 3 28 10 25 35 23 14 0 12 12 18 29 3 21 0 15 3 28 27 9 25 39 9 0 14 10 22 14 8 20 4 14 41 36 40 23 9 29 3 39 14 3 36 33 3 38 5 10 38 31 1 32 8 18 0 40 13 38 15 16 17 13 42 17 30 0 31 26 4 18 33 18 26 1 2 34 15 36 14 21 0 15 13 18 34 7 23 35 34 21 34 16 35 42 9 36 27 25 4 21 25 35 32 3 22 28 27 9 37 20 24 32 40 34 4 26 16 32 20 29 0 29 27 27 10 34 7 30 39 18 15 24 2 23 1 4 28 13 23 10 33 0 34 41 23 3 36 23 1 20 39 38 7 13 37 4 31 36 31 12 41 13 26 20 27 35 34 2 7 40 32 12 11 23 8 29 41 31 28 32 23 5 10 29 35 37 22 38 8 26 31 42 7 41 19 34 25 29 21 4 9 27 37 21 19 37 16 8 7 36 31 11 13 40 18 27 30 8 18 15 15 27 42 9 41 6 5 8 25 11 0 17 8 42 12 18 10 39 19 10 23 10 9 42 17 27 28 36 0 21 3 11 14 10 16 3 17 8 2 21 18 5 7 40 32 39 16 15 35 40 28 33 38 26 34 36 36 2 11 27 1 32 13 14 3 41 18 5 28 34 19 20 5 41 11 41 22 4 24 21 11 41 23 25 21 13 32 12 26 19 25 10 0 26 32 34 38 19 37 28 12 34 26 23 38 23 7 20 17 40 31 39 5 16 41 27 21 38 35 25 11 15 17 4 25 17 12 36 30 25 14 27 10 2 27 26 9 22 17 2 17 23 0 17 9 26 2 15 5 35 36 29 0 42 8 12 39 4 24 32 35 18 42 36 42 42 27 12 9 42"
