# seed=123456
# instance=EXPONENTIAL
# popSize=100
# generations=50
# crossover=BlockUniformCrossover(p=0.75)
# mutation=FlipMutation(p0=0.1,pMin=0.002,alpha=0.9)
# selection=NaryTournament(k=3)
# elitism=2
# lambda_similarity=0.5
# fights_per_team=5
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.3496,0.8235,0.9479,0.1216,0.4699,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 22 37 20 12 6 24 7 0 14 39 2 27 14 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 41 32 22 0 2 8 28 37 1 11 11 35 41 41 42 41 13 25 32 40 12 23 37 37 37 0 20 34 22 10 0 9 4 34 2 10 3 2 13 11 21 40 32 27 37 20 41 5 30 2 5 22 35 34 29 28 3 28 25 25 11 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 20 8 20 39 14 28 18 40 18 34 29 3 39 8 3 33 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 6 31 26 4 18 33 6 26 1 24 34 17 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 19 13 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 31 14 37 30 0 20 13 13 38 2 3 19 22 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 7 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 27 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 9 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 41 20 17 26 9 8 28 41 31 13 16 33 7 30 37 15 17 3 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 12 9 22 18 11 39 13 19 37 24 26 21 21 23 37 42 23 16 8 9 40 23 34 36 39 2 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 37 34 27 12 29 12 12 21 27 6 37 40 21 1 38 18 2 31 16 26 11 26 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 19 2 32 36 2 22 41 26 30 34 35 4 9 15 10 4 4 3 31 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 12 29 27 1 2 24 7 28 0 17 39 38 30 39 42"
1,2,-0.3852,0.8421,0.9138,0.0901,0.4661,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
2,2,-0.3852,0.8421,0.9138,0.0639,0.4729,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
3,2,-0.3852,0.8421,0.9138,0.0460,0.4698,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
4,2,-0.3852,0.8421,0.9138,0.0033,0.4619,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
5,3,-0.3914,0.8667,0.9505,-0.0061,0.4029,"34 14 20 16 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 35 17 1 30 37 20 11 34 24 7 0 14 39 2 27 31 38 42 16 39 2 19 37 15 30 32 40 37 36 10 10 2 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 3 42 41 13 9 32 40 12 23 10 37 16 28 20 34 22 10 0 9 4 34 1 2 3 2 13 11 33 40 32 27 37 20 23 23 22 41 38 27 19 38 2 42 20 19 18 35 11 20 39 9 41 24 2 38 38 29 28 18 25 39 37 32 15 27 5 17 33 32 10 20 14 39 18 0 22 12 14 40 12 2 33 39 18 22 32 25 11 8 2 3 20 15 14 36 32 23 25 11 14 0 7 2 29 42 36 3 5 35 1 16 17 42 5 38 26 17 8 33 16 8 31 39 12 39 2 1 24 30 12 23 40 30 16 13 20 23 34 35 29 7 3 39 34 37 25 27 11 22 22 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 9 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 36 10 27 28 42 14 32 25 1 18 13 32 41 33 20 39 37 24 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 41 11 39 29 36 10 33 19 2 36 36 10 32 42 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 9 31 13 16 41 7 14 37 1 17 40 14 32 4 14 15 19 11 2 6 4 9 34 18 11 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 11 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 7 27 6 37 40 21 20 21 18 2 31 16 26 11 38 37 13 5 42 7 15 13 39 27 17 23 3 1 28 35 25 32 2 40 20 23 6 22 15 16 18 40 27 2 32 1 2 22 1 9 30 38 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 7 34 4 7 29 4 4 26 29 11 1 2 24 7 28 0 22 33 14 30 2 42"
6,4,-0.4027,0.8750,0.9445,-0.0109,0.3621,"0 12 24 39 2 39 11 33 7 13 17 29 35 37 17 32 16 39 8 21 39 28 29 35 10 7 38 18 15 26 22 7 21 17 28 18 26 39 24 25 36 13 25 2 40 1 39 15 39 28 10 31 27 42 0 1 9 27 3 11 19 13 12 10 38 39 21 20 7 38 2 32 16 5 37 36 24 28 27 12 0 9 15 12 23 7 25 28 23 28 41 18 24 27 11 7 36 16 15 38 23 23 22 41 38 27 19 38 2 42 20 19 18 35 11 20 39 24 20 24 2 38 38 29 28 18 25 39 37 32 15 27 5 17 33 32 10 20 14 39 18 0 22 12 14 40 12 2 33 39 39 22 32 25 11 8 2 10 20 15 14 36 32 23 25 11 14 0 7 2 29 42 36 3 5 35 1 16 17 42 5 38 26 17 8 33 16 8 31 27 12 39 2 1 24 30 12 23 40 27 12 35 7 15 37 2 28 21 7 34 36 42 7 3 8 9 20 38 28 32 26 2 3 29 28 28 22 37 42 21 16 25 19 5 23 23 7 36 21 2 36 20 33 28 31 9 2 27 18 25 15 26 21 18 24 1 28 21 31 34 5 24 13 11 13 34 0 30 36 3 26 5 26 33 29 32 8 3 1 4 18 7 16 9 24 11 29 17 22 7 23 0 22 1 42 17 17 42 36 20 42 21 17 2 38 7 3 26 2 19 35 29 37 24 29 26 35 24 20 17 26 9 8 28 9 31 13 16 41 7 14 37 1 17 40 14 32 4 14 15 19 11 2 6 4 9 34 18 11 28 5 21 11 9 22 18 11 9 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 11 23 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 4 18 8 2 9 9 31 16 31 16 17 36 1 18 19 33 10 29 13 20 38 19 36 12 39 20 7 0 40 5 26 0 22 8 16 20 33 5 4 2 2 30 11 3 23 36 35 31 25 36 26 31 38 16 9 8 17 2 42 31 39 14 37 11 29 30 40 12 33 22 13 29 18 34 32 6 15 23 20 16 11 27 42 28 41 37 20 23 17 8 13 31 14 18 11 25 10 31 24 10 31 25 34 2 32 37 17"
7,5,-0.4366,0.9048,0.9364,-0.0121,0.3504,"0 12 24 39 2 39 11 33 7 13 17 29 35 37 17 32 16 39 8 21 39 28 29 35 10 7 38 18 15 26 22 7 21 17 28 18 26 39 24 25 36 13 25 2 40 33 39 15 39 28 10 31 27 42 0 1 9 27 3 11 19 13 12 10 38 39 34 20 7 38 2 32 16 5 37 36 13 28 27 12 0 9 15 12 23 7 25 28 23 28 41 18 24 27 11 7 36 16 15 38 23 23 22 41 38 27 19 38 2 42 20 19 10 35 11 20 39 24 20 24 2 38 38 21 28 18 25 39 37 32 15 27 5 17 33 32 10 20 14 39 18 0 22 12 14 40 9 2 33 39 39 22 32 25 11 8 2 10 20 15 14 36 32 23 25 11 14 0 7 2 29 42 36 3 5 35 1 16 17 42 5 38 26 17 8 33 16 8 31 27 0 39 13 1 24 30 23 23 40 27 12 35 35 15 37 2 28 21 7 34 36 42 7 3 8 9 20 38 28 32 26 2 3 29 28 28 22 37 42 21 16 25 19 5 23 23 7 36 39 2 36 24 33 28 31 9 2 27 18 25 15 26 21 18 24 1 28 21 31 34 5 24 13 13 13 34 0 30 36 3 26 5 26 33 29 35 8 3 1 4 18 7 16 9 24 11 41 17 22 7 23 5 22 1 42 17 17 42 8 20 22 25 7 17 8 32 7 0 3 21 28 6 23 28 17 38 2 5 21 3 42 9 21 0 18 42 7 17 0 40 2 7 1 2 41 41 10 36 19 41 14 31 8 9 15 1 38 4 18 34 37 36 12 42 17 14 10 19 2 19 24 24 9 8 12 35 35 1 2 37 0 15 29 12 0 39 27 10 10 39 41 32 37 23 42 37 17 12 16 24 31 29 0 42 15 9 1 27 10 4 16 31 16 17 36 1 18 19 33 10 29 13 20 38 19 36 12 39 20 7 0 40 5 26 0 22 8 16 20 33 5 4 2 2 30 11 3 20 36 35 31 25 36 26 31 38 16 9 8 17 2 42 31 4 14 37 11 29 30 40 12 33 22 13 29 18 34 32 6 15 23 20 0 11 27 42 28 41 37 20 23 17 8 13 31 14 18 11 25 10 31 24 10 31 25 34 2 12 37 17"
8,5,-0.4366,0.9048,0.9364,-0.0213,0.3506,"0 12 24 39 2 39 11 33 7 13 17 29 35 37 17 32 16 39 8 21 39 28 29 35 10 7 38 18 15 26 22 7 21 17 28 18 26 39 24 25 36 13 25 2 40 33 39 15 39 28 10 31 27 42 0 1 9 27 3 11 19 13 12 10 38 39 34 20 7 38 2 32 16 5 37 36 13 28 27 12 0 9 15 12 23 7 25 28 23 28 41 18 24 27 11 7 36 16 15 38 23 23 22 41 38 27 19 38 2 42 20 19 10 35 11 20 39 24 20 24 2 38 38 21 28 18 25 39 37 32 15 27 5 17 33 32 10 20 14 39 18 0 22 12 14 40 9 2 33 39 39 22 32 25 11 8 2 10 20 15 14 36 32 23 25 11 14 0 7 2 29 42 36 3 5 35 1 16 17 42 5 38 26 17 8 33 16 8 31 27 0 39 13 1 24 30 23 23 40 27 12 35 35 15 37 2 28 21 7 34 36 42 7 3 8 9 20 38 28 32 26 2 3 29 28 28 22 37 42 21 16 25 19 5 23 23 7 36 39 2 36 24 33 28 31 9 2 27 18 25 15 26 21 18 24 1 28 21 31 34 5 24 13 13 13 34 0 30 36 3 26 5 26 33 29 35 8 3 1 4 18 7 16 9 24 11 41 17 22 7 23 5 22 1 42 17 17 42 8 20 22 25 7 17 8 32 7 0 3 21 28 6 23 28 17 38 2 5 21 3 42 9 21 0 18 42 7 17 0 40 2 7 1 2 41 41 10 36 19 41 14 31 8 9 15 1 38 4 18 34 37 36 12 42 17 14 10 19 2 19 24 24 9 8 12 35 35 1 2 37 0 15 29 12 0 39 27 10 10 39 41 32 37 23 42 37 17 12 16 24 31 29 0 42 15 9 1 27 10 4 16 31 16 17 36 1 18 19 33 10 29 13 20 38 19 36 12 39 20 7 0 40 5 26 0 22 8 16 20 33 5 4 2 2 30 11 3 20 36 35 31 25 36 26 31 38 16 9 8 17 2 42 31 4 14 37 11 29 30 40 12 33 22 13 29 18 34 32 6 15 23 20 0 11 27 42 28 41 37 20 23 17 8 13 31 14 18 11 25 10 31 24 10 31 25 34 2 12 37 17"
9,5,-0.4366,0.9048,0.9364,-0.0185,0.3337,"0 12 24 39 2 39 11 33 7 13 17 29 35 37 17 32 16 39 8 21 39 28 29 35 10 7 38 18 15 26 22 7 21 17 28 18 26 39 24 25 36 13 25 2 40 33 39 15 39 28 10 31 27 42 0 1 9 27 3 11 19 13 12 10 38 39 34 20 7 38 2 32 16 5 37 36 13 28 27 12 0 9 15 12 23 7 25 28 23 28 41 18 24 27 11 7 36 16 15 38 23 23 22 41 38 27 19 38 2 42 20 19 10 35 11 20 39 24 20 24 2 38 38 21 28 18 25 39 37 32 15 27 5 17 33 32 10 20 14 39 18 0 22 12 14 40 9 2 33 39 39 22 32 25 11 8 2 10 20 15 14 36 32 23 25 11 14 0 7 2 29 42 36 3 5 35 1 16 17 42 5 38 26 17 8 33 16 8 31 27 0 39 13 1 24 30 23 23 40 27 12 35 35 15 37 2 28 21 7 34 36 42 7 3 8 9 20 38 28 32 26 2 3 29 28 28 22 37 42 21 16 25 19 5 23 23 7 36 39 2 36 24 33 28 31 9 2 27 18 25 15 26 21 18 24 1 28 21 31 34 5 24 13 13 13 34 0 30 36 3 26 5 26 33 29 35 8 3 1 4 18 7 16 9 24 11 41 17 22 7 23 5 22 1 42 17 17 42 8 20 22 25 7 17 8 32 7 0 3 21 28 6 23 28 17 38 2 5 21 3 42 9 21 0 18 42 7 17 0 40 2 7 1 2 41 41 10 36 19 41 14 31 8 9 15 1 38 4 18 34 37 36 12 42 17 14 10 19 2 19 24 24 9 8 12 35 35 1 2 37 0 15 29 12 0 39 27 10 10 39 41 32 37 23 42 37 17 12 16 24 31 29 0 42 15 9 1 27 10 4 16 31 16 17 36 1 18 19 33 10 29 13 20 38 19 36 12 39 20 7 0 40 5 26 0 22 8 16 20 33 5 4 2 2 30 11 3 20 36 35 31 25 36 26 31 38 16 9 8 17 2 42 31 4 14 37 11 29 30 40 12 33 22 13 29 18 34 32 6 15 23 20 0 11 27 42 28 41 37 20 23 17 8 13 31 14 18 11 25 10 31 24 10 31 25 34 2 12 37 17"
