# seed=123456
# instance=EXPONENTIAL
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.75)
# mutation=p0=0.05,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.3
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6584,0.9362,0.9259,-0.1749,0.2766,"4 21 36 39 18 21 10 24 13 31 12 21 8 5 31 14 28 3 3 5 37 1 23 34 19 39 7 42 4 36 30 39 1 13 1 25 10 25 33 29 21 15 23 0 4 13 19 34 2 2 26 27 35 25 1 16 30 33 41 11 17 35 34 32 0 0 23 24 21 16 41 7 32 27 0 3 23 32 40 39 29 9 33 31 4 25 7 17 2 5 12 29 11 7 34 15 13 1 26 7 19 32 1 41 27 3 38 20 2 27 10 5 29 26 11 14 20 22 41 4 38 32 34 38 6 1 33 22 22 2 7 40 13 32 0 36 14 38 40 16 27 25 34 20 20 7 18 12 28 17 19 7 15 26 14 12 42 20 24 19 22 30 33 16 42 22 18 2 34 18 11 29 16 28 40 40 35 9 2 13 21 16 15 28 22 24 11 35 11 22 33 22 31 29 15 12 13 9 32 41 29 32 42 37 31 14 28 30 28 34 39 34 26 2 0 3 25 23 36 21 25 20 26 21 19 6 5 31 28 15 13 41 3 9 42 9 30 2 20 17 28 9 35 0 39 23 36 39 16 0 13 18 17 35 21 28 18 30 39 28 34 23 9 37 36 12 16 15 41 41 12 1 21 32 24 32 19 37 25 9 16 3 1 0 10 17 27 36 36 29 32 6 23 28 13 13 4 19 14 29 16 13 36 24 18 31 2 0 27 3 2 19 15 17 14 23 3 19 17 34 7 17 29 3 33 31 5 26 0 38 3 12 19 18 18 34 11 11 16 39 13 19 23 13 21 36 6 33 26 32 22 39 28 17 2 25 8 17 2 26 17 34 27 41 6 26 4 6 4 4 8 36 38 29 41 23 26 32 31 38 39 27 19 0 20 11 19 18 12 17 27 27 20 19 40 36 3 16 36 21 30 38 0 39 11 26 40 2 3 3 7 33 10 12 33 25 3 21 38 41 39 25 13 7 10 9 38 30 9 16 25 12 35 18 0 29 19 37 39 30 34 39 30 11 32 4 10 18 33 16 26 20 19 15 14 7 42 26 42 20 34 10 20 19 2 40 31 19 39 20 38 40 31 8 36 13 11 8 19 36 8 9 27 12 29 12 26 32 0 7 27 26 30 41 32 26 8 10 20 10"
1,2,-0.6842,0.9388,0.8486,-0.2604,0.2350,"22 39 15 34 35 20 29 36 9 37 20 17 41 5 39 35 12 12 7 39 21 19 41 18 12 12 19 42 19 19 20 19 11 4 23 5 34 19 12 33 12 19 41 28 26 26 35 15 29 24 19 2 27 26 20 24 18 35 19 4 24 19 19 35 41 29 37 31 36 42 12 1 25 22 18 5 15 26 13 36 26 22 27 2 13 29 9 39 10 39 0 37 39 33 37 14 15 37 36 2 20 36 36 39 27 12 18 6 26 26 4 14 22 19 32 30 31 19 30 27 10 39 14 23 33 20 37 12 33 42 14 19 4 0 13 20 42 7 9 27 7 11 9 12 30 20 12 2 39 27 3 19 7 12 24 17 13 21 4 27 27 25 19 12 20 19 1 26 12 26 2 12 20 20 19 27 19 39 15 27 5 27 34 21 27 8 18 7 27 42 17 39 4 18 26 10 0 2 7 33 22 27 40 18 8 15 30 2 39 21 0 14 2 42 5 27 19 11 7 41 1 10 2 38 7 40 39 8 15 3 34 19 8 4 24 8 22 8 9 2 1 2 1 10 7 36 13 2 36 7 41 39 42 9 5 12 16 2 10 39 40 39 21 7 11 22 32 9 11 11 21 2 8 9 7 8 8 7 9 2 21 0 18 9 7 23 7 22 2 7 7 2 8 17 8 17 35 39 7 41 20 16 31 12 32 1 20 31 34 2 41 41 39 32 32 33 19 4 17 39 29 34 37 20 39 12 6 7 21 31 37 15 10 19 12 2 10 28 33 35 18 32 32 41 33 31 35 13 19 19 31 32 26 33 21 31 4 32 35 26 39 35 36 1 34 36 19 34 33 18 41 31 41 30 36 12 2 6 17 20 12 15 39 32 36 2 32 39 40 0 9 7 34 0 23 29 37 42 41 34 1 10 4 17 12 9 22 17 15 34 35 25 0 38 40 25 11 10 35 8 39 36 7 9 25 26 12 13 27 25 11 10 1 10 32 10 35 39 27 9 42 9 8 35 4 31 27 27 38 25 18 39 11 11 26 27 19 31 39 0 35 36 11 24 36 34 12 21 11 39 27 36 17 9 11 18 25 36 27 17 27 12 6 35 34 10 37 13 36 10 38 9 9 21 34 42 5 40 28 11"
2,3,-0.6960,0.9615,0.8851,-0.2744,0.1399,"4 21 2 39 18 12 10 24 13 39 12 11 31 5 39 14 28 9 3 5 37 1 23 34 11 9 7 11 4 2 10 39 2 2 1 25 10 25 33 29 21 9 11 0 39 13 19 32 32 39 26 27 9 11 2 16 39 33 11 11 11 11 9 32 0 2 39 39 10 10 41 7 9 11 2 10 10 9 40 10 2 10 33 10 2 25 7 11 2 3 39 11 9 10 10 15 13 10 0 31 19 32 12 41 12 9 38 20 2 39 22 5 20 26 11 14 20 22 21 12 38 10 34 12 19 0 10 2 12 39 7 2 20 39 12 36 19 22 40 9 22 39 9 21 20 12 21 39 20 9 12 12 15 26 10 21 9 20 40 3 22 39 33 16 42 20 22 12 34 18 19 29 16 28 12 9 35 9 12 12 21 39 15 9 22 12 21 12 20 22 33 22 19 12 15 12 13 12 32 12 29 24 23 37 2 14 28 23 28 22 12 14 39 2 16 3 2 23 12 21 22 25 26 21 19 0 39 12 22 24 13 41 21 9 42 22 30 12 20 17 12 12 35 22 39 23 24 27 16 0 22 18 17 27 23 22 18 24 39 28 34 21 2 3 36 23 22 15 12 41 12 1 21 32 2 32 19 21 26 9 21 22 39 42 10 17 16 39 2 12 27 6 23 22 12 0 12 19 14 27 23 26 36 5 13 25 25 20 18 23 18 26 39 27 4 12 25 17 29 0 33 19 0 1 30 28 40 29 17 17 23 38 18 14 41 20 2 25 8 23 27 25 17 41 12 2 28 0 9 12 17 18 2 20 19 18 25 22 24 29 23 17 39 15 29 26 10 42 22 5 12 27 5 25 39 7 14 2 27 12 1 31 14 21 39 26 29 25 4 39 18 39 27 18 26 16 25 2 39 38 27 31 35 17 34 36 31 2 25 3 35 32 12 39 33 25 35 2 32 31 33 39 13 17 12 9 36 18 9 16 25 12 27 26 0 17 33 35 17 30 12 39 27 36 31 12 17 25 39 16 12 20 19 15 34 7 18 26 27 26 27 17 17 17 12 40 31 36 26 20 38 40 31 12 36 42 17 33 19 35 17 9 18 32 33 12 39 2 39 7 39 17 25 36 12 39 36 31 20 10"
3,4,-0.7049,0.9767,0.9063,-0.2812,0.1410,"4 21 5 39 39 12 10 24 13 39 12 27 25 5 39 14 28 9 3 5 2 1 23 34 11 9 7 2 4 2 10 39 2 2 26 25 2 25 33 29 21 27 11 25 39 13 19 32 32 39 26 12 9 11 2 16 39 33 11 11 26 11 9 27 0 2 40 39 25 10 41 7 9 11 25 10 10 9 27 10 2 10 33 10 2 25 7 11 2 3 39 2 9 10 26 15 13 26 2 12 19 32 2 3 12 3 11 33 2 3 22 12 12 26 11 14 20 12 0 6 38 10 34 12 11 0 39 39 9 39 11 2 10 39 3 36 33 33 40 9 3 39 12 21 20 12 21 39 39 39 31 39 15 26 10 21 9 20 32 2 12 41 33 16 42 20 0 2 12 18 33 2 11 28 42 11 12 9 12 12 9 9 10 9 22 39 12 12 20 32 9 22 19 12 33 12 39 2 32 12 12 24 23 12 2 14 28 23 28 22 12 3 39 24 16 3 2 23 22 21 24 21 26 23 19 21 39 39 22 23 13 41 24 39 22 23 30 12 12 17 12 12 35 23 23 23 24 27 21 22 22 18 17 39 23 39 18 12 21 28 34 21 23 3 36 23 22 15 24 41 23 23 21 32 39 21 19 21 21 9 15 12 39 42 22 17 16 21 2 12 27 6 23 22 23 21 23 19 14 27 18 26 28 17 13 25 25 20 18 28 18 26 39 27 4 28 25 17 29 0 33 19 0 12 30 28 40 28 17 17 17 38 18 14 41 20 12 18 8 23 17 39 17 41 12 2 28 28 9 18 17 18 2 18 19 12 25 22 17 18 23 12 17 15 29 12 10 42 17 5 12 27 28 25 29 7 14 17 27 12 1 31 14 21 39 26 12 25 4 39 18 28 27 18 26 16 25 2 39 38 39 3 35 17 34 31 29 39 25 3 36 32 16 39 33 31 11 34 32 29 33 39 36 31 39 9 11 29 9 16 30 12 39 26 39 17 33 35 39 39 33 13 27 39 31 39 30 30 39 39 30 34 34 0 9 7 35 4 27 39 9 0 17 17 33 3 12 29 9 35 0 34 9 30 36 42 29 39 32 29 35 33 39 39 2 11 30 3 39 7 11 3 12 39 12 35 41 31 31 35"
4,4,-0.7049,0.9767,0.9063,-0.2807,0.1311,"4 21 5 39 39 12 10 24 13 39 12 27 25 5 39 14 28 9 3 5 2 1 23 34 11 9 7 2 4 2 10 39 2 2 26 25 2 25 33 29 21 27 11 25 39 13 19 32 32 39 26 12 9 11 2 16 39 33 11 11 26 11 9 27 0 2 40 39 25 10 41 7 9 11 25 10 10 9 27 10 2 10 33 10 2 25 7 11 2 3 39 2 9 10 26 15 13 26 2 12 19 32 2 3 12 3 11 33 2 3 22 12 12 26 11 14 20 12 0 6 38 10 34 12 11 0 39 39 9 39 11 2 10 39 3 36 33 33 40 9 3 39 12 21 20 12 21 39 39 39 31 39 15 26 10 21 9 20 32 2 12 41 33 16 42 20 0 2 12 18 33 2 11 28 42 11 12 9 12 12 9 9 10 9 22 39 12 12 20 32 9 22 19 12 33 12 39 2 32 12 12 24 23 12 2 14 28 23 28 22 12 3 39 24 16 3 2 23 22 21 24 21 26 23 19 21 39 39 22 23 13 41 24 39 22 23 30 12 12 17 12 12 35 23 23 23 24 27 21 22 22 18 17 39 23 39 18 12 21 28 34 21 23 3 36 23 22 15 24 41 23 23 21 32 39 21 19 21 21 9 15 12 39 42 22 17 16 21 2 12 27 6 23 22 23 21 23 19 14 27 18 26 28 17 13 25 25 20 18 28 18 26 39 27 4 28 25 17 29 0 33 19 0 12 30 28 40 28 17 17 17 38 18 14 41 20 12 18 8 23 17 39 17 41 12 2 28 28 9 18 17 18 2 18 19 12 25 22 17 18 23 12 17 15 29 12 10 42 17 5 12 27 28 25 29 7 14 17 27 12 1 31 14 21 39 26 12 25 4 39 18 28 27 18 26 16 25 2 39 38 39 3 35 17 34 31 29 39 25 3 36 32 16 39 33 31 11 34 32 29 33 39 36 31 39 9 11 29 9 16 30 12 39 26 39 17 33 35 39 39 33 13 27 39 31 39 30 30 39 39 30 34 34 0 9 7 35 4 27 39 9 0 17 17 33 3 12 29 9 35 0 34 9 30 36 42 29 39 32 29 35 33 39 39 2 11 30 3 39 7 11 3 12 39 12 35 41 31 31 35"
5,4,-0.7049,0.9767,0.9063,-0.2787,0.1987,"4 21 5 39 39 12 10 24 13 39 12 27 25 5 39 14 28 9 3 5 2 1 23 34 11 9 7 2 4 2 10 39 2 2 26 25 2 25 33 29 21 27 11 25 39 13 19 32 32 39 26 12 9 11 2 16 39 33 11 11 26 11 9 27 0 2 40 39 25 10 41 7 9 11 25 10 10 9 27 10 2 10 33 10 2 25 7 11 2 3 39 2 9 10 26 15 13 26 2 12 19 32 2 3 12 3 11 33 2 3 22 12 12 26 11 14 20 12 0 6 38 10 34 12 11 0 39 39 9 39 11 2 10 39 3 36 33 33 40 9 3 39 12 21 20 12 21 39 39 39 31 39 15 26 10 21 9 20 32 2 12 41 33 16 42 20 0 2 12 18 33 2 11 28 42 11 12 9 12 12 9 9 10 9 22 39 12 12 20 32 9 22 19 12 33 12 39 2 32 12 12 24 23 12 2 14 28 23 28 22 12 3 39 24 16 3 2 23 22 21 24 21 26 23 19 21 39 39 22 23 13 41 24 39 22 23 30 12 12 17 12 12 35 23 23 23 24 27 21 22 22 18 17 39 23 39 18 12 21 28 34 21 23 3 36 23 22 15 24 41 23 23 21 32 39 21 19 21 21 9 15 12 39 42 22 17 16 21 2 12 27 6 23 22 23 21 23 19 14 27 18 26 28 17 13 25 25 20 18 28 18 26 39 27 4 28 25 17 29 0 33 19 0 12 30 28 40 28 17 17 17 38 18 14 41 20 12 18 8 23 17 39 17 41 12 2 28 28 9 18 17 18 2 18 19 12 25 22 17 18 23 12 17 15 29 12 10 42 17 5 12 27 28 25 29 7 14 17 27 12 1 31 14 21 39 26 12 25 4 39 18 28 27 18 26 16 25 2 39 38 39 3 35 17 34 31 29 39 25 3 36 32 16 39 33 31 11 34 32 29 33 39 36 31 39 9 11 29 9 16 30 12 39 26 39 17 33 35 39 39 33 13 27 39 31 39 30 30 39 39 30 34 34 0 9 7 35 4 27 39 9 0 17 17 33 3 12 29 9 35 0 34 9 30 36 42 29 39 32 29 35 33 39 39 2 11 30 3 39 7 11 3 12 39 12 35 41 31 31 35"
6,4,-0.7049,0.9767,0.9063,-0.2876,0.1674,"4 21 5 39 39 12 10 24 13 39 12 27 25 5 39 14 28 9 3 5 2 1 23 34 11 9 7 2 4 2 10 39 2 2 26 25 2 25 33 29 21 27 11 25 39 13 19 32 32 39 26 12 9 11 2 16 39 33 11 11 26 11 9 27 0 2 40 39 25 10 41 7 9 11 25 10 10 9 27 10 2 10 33 10 2 25 7 11 2 3 39 2 9 10 26 15 13 26 2 12 19 32 2 3 12 3 11 33 2 3 22 12 12 26 11 14 20 12 0 6 38 10 34 12 11 0 39 39 9 39 11 2 10 39 3 36 33 33 40 9 3 39 12 21 20 12 21 39 39 39 31 39 15 26 10 21 9 20 32 2 12 41 33 16 42 20 0 2 12 18 33 2 11 28 42 11 12 9 12 12 9 9 10 9 22 39 12 12 20 32 9 22 19 12 33 12 39 2 32 12 12 24 23 12 2 14 28 23 28 22 12 3 39 24 16 3 2 23 22 21 24 21 26 23 19 21 39 39 22 23 13 41 24 39 22 23 30 12 12 17 12 12 35 23 23 23 24 27 21 22 22 18 17 39 23 39 18 12 21 28 34 21 23 3 36 23 22 15 24 41 23 23 21 32 39 21 19 21 21 9 15 12 39 42 22 17 16 21 2 12 27 6 23 22 23 21 23 19 14 27 18 26 28 17 13 25 25 20 18 28 18 26 39 27 4 28 25 17 29 0 33 19 0 12 30 28 40 28 17 17 17 38 18 14 41 20 12 18 8 23 17 39 17 41 12 2 28 28 9 18 17 18 2 18 19 12 25 22 17 18 23 12 17 15 29 12 10 42 17 5 12 27 28 25 29 7 14 17 27 12 1 31 14 21 39 26 12 25 4 39 18 28 27 18 26 16 25 2 39 38 39 3 35 17 34 31 29 39 25 3 36 32 16 39 33 31 11 34 32 29 33 39 36 31 39 9 11 29 9 16 30 12 39 26 39 17 33 35 39 39 33 13 27 39 31 39 30 30 39 39 30 34 34 0 9 7 35 4 27 39 9 0 17 17 33 3 12 29 9 35 0 34 9 30 36 42 29 39 32 29 35 33 39 39 2 11 30 3 39 7 11 3 12 39 12 35 41 31 31 35"
7,4,-0.7049,0.9767,0.9063,-0.2897,0.1644,"4 21 5 39 39 12 10 24 13 39 12 27 25 5 39 14 28 9 3 5 2 1 23 34 11 9 7 2 4 2 10 39 2 2 26 25 2 25 33 29 21 27 11 25 39 13 19 32 32 39 26 12 9 11 2 16 39 33 11 11 26 11 9 27 0 2 40 39 25 10 41 7 9 11 25 10 10 9 27 10 2 10 33 10 2 25 7 11 2 3 39 2 9 10 26 15 13 26 2 12 19 32 2 3 12 3 11 33 2 3 22 12 12 26 11 14 20 12 0 6 38 10 34 12 11 0 39 39 9 39 11 2 10 39 3 36 33 33 40 9 3 39 12 21 20 12 21 39 39 39 31 39 15 26 10 21 9 20 32 2 12 41 33 16 42 20 0 2 12 18 33 2 11 28 42 11 12 9 12 12 9 9 10 9 22 39 12 12 20 32 9 22 19 12 33 12 39 2 32 12 12 24 23 12 2 14 28 23 28 22 12 3 39 24 16 3 2 23 22 21 24 21 26 23 19 21 39 39 22 23 13 41 24 39 22 23 30 12 12 17 12 12 35 23 23 23 24 27 21 22 22 18 17 39 23 39 18 12 21 28 34 21 23 3 36 23 22 15 24 41 23 23 21 32 39 21 19 21 21 9 15 12 39 42 22 17 16 21 2 12 27 6 23 22 23 21 23 19 14 27 18 26 28 17 13 25 25 20 18 28 18 26 39 27 4 28 25 17 29 0 33 19 0 12 30 28 40 28 17 17 17 38 18 14 41 20 12 18 8 23 17 39 17 41 12 2 28 28 9 18 17 18 2 18 19 12 25 22 17 18 23 12 17 15 29 12 10 42 17 5 12 27 28 25 29 7 14 17 27 12 1 31 14 21 39 26 12 25 4 39 18 28 27 18 26 16 25 2 39 38 39 3 35 17 34 31 29 39 25 3 36 32 16 39 33 31 11 34 32 29 33 39 36 31 39 9 11 29 9 16 30 12 39 26 39 17 33 35 39 39 33 13 27 39 31 39 30 30 39 39 30 34 34 0 9 7 35 4 27 39 9 0 17 17 33 3 12 29 9 35 0 34 9 30 36 42 29 39 32 29 35 33 39 39 2 11 30 3 39 7 11 3 12 39 12 35 41 31 31 35"
8,5,-0.7120,0.9800,0.8934,-0.2912,0.1569,"26 39 27 25 12 25 39 27 30 7 25 12 18 33 18 17 8 39 39 25 12 7 19 31 21 39 33 32 39 7 39 2 39 27 32 33 8 2 27 39 39 17 25 32 17 7 33 20 12 17 31 39 18 30 20 11 12 39 39 39 27 21 26 27 12 39 33 39 25 27 12 26 30 19 26 27 25 39 29 30 32 32 17 39 2 32 39 35 29 17 39 7 31 7 26 7 12 17 26 12 39 39 9 2 27 18 31 39 27 12 25 26 10 2 39 39 23 26 2 25 26 7 12 26 2 39 2 2 18 10 3 9 39 21 2 39 33 2 2 39 22 25 2 23 24 25 32 22 7 12 39 39 39 26 31 33 31 39 4 32 27 26 9 10 32 2 11 17 39 25 9 12 17 26 12 39 24 2 18 9 10 6 12 25 33 39 30 39 10 7 27 17 24 9 11 2 2 12 5 32 28 30 29 38 39 17 29 7 12 17 22 11 17 18 2 39 21 19 21 39 12 17 39 23 17 2 22 22 23 8 15 29 39 7 24 28 21 12 21 2 17 39 39 18 18 21 10 39 39 39 17 21 28 12 22 30 8 30 21 23 39 19 32 12 12 39 7 18 23 39 12 17 17 28 42 23 17 21 29 39 19 39 28 17 24 28 24 22 39 12 2 20 7 39 41 31 7 17 2 2 31 23 39 39 25 1 12 39 23 30 32 2 0 12 23 23 10 16 17 12 25 34 39 12 35 23 39 18 18 41 0 39 39 11 35 18 0 23 36 3 39 25 23 35 10 12 9 25 0 35 27 18 23 36 36 27 39 39 11 36 24 11 36 2 32 24 36 39 11 24 41 39 3 10 12 2 0 12 26 34 0 23 17 2 17 39 24 26 10 23 25 17 9 39 9 3 18 26 33 23 21 36 22 25 35 22 12 12 35 34 27 21 28 26 34 22 12 39 22 21 26 4 24 26 22 12 22 34 21 25 35 2 26 27 1 39 27 22 39 2 25 30 21 4 12 12 12 22 26 26 21 25 36 36 36 21 35 35 22 12 38 34 12 36 21 35 42 12 26 25 22 21 34 39 36 26 29 21 25 34 21 22 21 35 28 22 39 39 25 27 21 35 12 29 22 27 42 22 36 27"
9,5,-0.7120,0.9800,0.8934,-0.2911,0.1179,"26 39 27 25 12 25 39 27 30 7 25 12 18 33 18 17 8 39 39 25 12 7 19 31 21 39 33 32 39 7 39 2 39 27 32 33 8 2 27 39 39 17 25 32 17 7 33 20 12 17 31 39 18 30 20 11 12 39 39 39 27 21 26 27 12 39 33 39 25 27 12 26 30 19 26 27 25 39 29 30 32 32 17 39 2 32 39 35 29 17 39 7 31 7 26 7 12 17 26 12 39 39 9 2 27 18 31 39 27 12 25 26 10 2 39 39 23 26 2 25 26 7 12 26 2 39 2 2 18 10 3 9 39 21 2 39 33 2 2 39 22 25 2 23 24 25 32 22 7 12 39 39 39 26 31 33 31 39 4 32 27 26 9 10 32 2 11 17 39 25 9 12 17 26 12 39 24 2 18 9 10 6 12 25 33 39 30 39 10 7 27 17 24 9 11 2 2 12 5 32 28 30 29 38 39 17 29 7 12 17 22 11 17 18 2 39 21 19 21 39 12 17 39 23 17 2 22 22 23 8 15 29 39 7 24 28 21 12 21 2 17 39 39 18 18 21 10 39 39 39 17 21 28 12 22 30 8 30 21 23 39 19 32 12 12 39 7 18 23 39 12 17 17 28 42 23 17 21 29 39 19 39 28 17 24 28 24 22 39 12 2 20 7 39 41 31 7 17 2 2 31 23 39 39 25 1 12 39 23 30 32 2 0 12 23 23 10 16 17 12 25 34 39 12 35 23 39 18 18 41 0 39 39 11 35 18 0 23 36 3 39 25 23 35 10 12 9 25 0 35 27 18 23 36 36 27 39 39 11 36 24 11 36 2 32 24 36 39 11 24 41 39 3 10 12 2 0 12 26 34 0 23 17 2 17 39 24 26 10 23 25 17 9 39 9 3 18 26 33 23 21 36 22 25 35 22 12 12 35 34 27 21 28 26 34 22 12 39 22 21 26 4 24 26 22 12 22 34 21 25 35 2 26 27 1 39 27 22 39 2 25 30 21 4 12 12 12 22 26 26 21 25 36 36 36 21 35 35 22 12 38 34 12 36 21 35 42 12 26 25 22 21 34 39 36 26 29 21 25 34 21 22 21 35 28 22 39 39 25 27 21 35 12 29 22 27 42 22 36 27"
