rank,fitness,winrate,genome
1,-1.0000,1.0000,"5 6 6 7 11 10 25 24 36 25 4 13 9 40 10 26 11 17 4 26 38 28 42 18 24 32 3 4 35 25 36 34 29 13 37 23 38 12 18 21 32 7 18 15 41 33 16 25 20 11 24 33 40 10 35 28 27 3 40 18 7 30 31 21 5 7 29 33 26 14 3 42 18 29 0 35 0 4 26 11 14 12 13 41 26 16 21 12 29 24 22 15 25 6 15 40 16 35 6 36 35 42 26 42 5 28 10 34 3 39 1 14 29 25 27 34 14 19 16 11 29 12 6 0 39 3 32 33 35 13 41 5 15 9 23 19 30 9 20 19 10 17 26 5 23 1 40 8 32 10 21 2 10 18 28 23 12 11 3 3 16 6 18 10 18 15 17 26 34 18 37 34 41 26 35 7 32 36 29 28 23 13 24 38 16 29 4 30 33 21 26 19 27 19 17 2 26 27 7 3 22 25 0 30 22 31 2 5 0 4 36 20 17 0 33 26 34 27 31 15 10 36 17 10 10 5 21 10 8 11 15 40 13 40 40 28 30 3 15 9 17 14 15 25 12 14 12 18 22 18 37 13 20 41 0 3 32 37 12 35 0 6 6 28 33 16 2 30 7 16 31 25 26 30 42 24 28 10 23 32 36 22 8 1 11 32 41 1 0 28 25 16 26 30 27 30 18 7 28 36 29 23 15 1 28 11 33 8 12 12 14 25 4 3 7 40 30 2 37 30 29 26 1 34 10 31 19 34 35 0 21 22 0 25 37 14 20 4 37 35 32 37 39 4 38 3 6 0 13 32 16 28 4 30 26 38 32 11 28 33 30 31 13 24 11 10 0 20 41 7 3 37 35 30 4 32 11 33 27 13 13 29 31 28 16 40 9 20 18 21 41 21 22 16 26 34 8 1 3 17 35 36 31 16 5 25 42 13 29 40 31 14 13 22 42 16 3 12 38 32 4 26 15 20 0 1 14 26 39 24 40 23 22 13 39 1 38 39 34 27 38 18 20 20 27 24 10 31 32 42 26 19 25 19 38 2 28 4 2 8 7 33 14 30 14 35 39 5 5 26 4 41 5 28 36 1 42 42 38 14 26 22 38 23 41 11 3 41 31 24 22 2 12 27 4 10 17 40 40 10"
2,-1.0000,1.0000,"12 30 7 21 8 19 39 8 39 22 39 12 30 12 39 7 39 30 39 21 7 8 21 22 34 36 39 7 12 39 8 12 36 12 12 12 39 12 36 39 39 12 12 39 12 22 39 8 39 7 12 12 39 30 35 39 22 21 7 7 21 39 8 12 12 12 28 39 29 39 35 12 30 39 29 12 29 8 21 12 12 33 12 22 8 35 39 39 8 7 29 7 21 8 39 7 22 12 8 7 12 12 39 28 12 29 19 2 39 12 2 12 12 39 30 29 39 27 39 39 12 39 39 2 12 12 30 39 19 39 12 12 12 29 29 39 20 28 30 28 39 28 39 18 12 12 12 12 12 29 19 2 25 12 39 12 29 11 39 20 19 29 12 39 25 12 12 30 29 12 12 25 39 12 12 30 39 30 39 39 12 12 9 28 2 29 39 29 39 26 19 28 12 14 25 30 10 30 28 39 36 22 11 2 2 34 39 39 12 39 10 9 2 27 2 12 39 9 2 39 39 12 39 2 11 11 22 12 22 2 2 9 25 38 9 30 39 10 32 39 12 39 28 39 12 39 39 39 39 12 39 2 39 12 22 2 28 29 2 39 12 12 31 11 27 2 12 9 25 12 12 10 12 21 22 39 34 39 2 35 30 9 2 12 28 12 39 12 10 2 34 28 36 10 36 36 22 12 39 12 2 39 30 2 39 12 12 12 39 12 39 12 12 12 39 18 39 12 12 35 12 12 2 39 12 39 10 11 12 12 39 18 18 12 12 39 39 18 19 39 12 39 39 39 36 12 10 29 39 12 12 28 11 9 12 12 12 18 12 12 36 39 39 36 17 36 17 2 36 28 39 35 18 11 11 18 11 39 2 39 39 39 12 12 39 12 9 39 29 2 24 35 18 39 39 12 39 39 1 10 2 32 2 12 17 12 7 20 32 8 17 7 18 12 32 2 17 7 39 8 39 8 12 39 8 39 2 17 12 18 8 39 2 20 39 26 7 12 8 39 7 39 39 8 12 7 28 39 2 39 8 7 12 32 39 12 39 8 12 39 2 39 26 2 39 12 20 39 39 7 12 39 5 39 26 31 17 31 33 32 2 17 7 39 29 18 39 7 39 39 7 39 31 7 33 12 2 12 7 23"
3,-1.0000,1.0000,"32 21 35 12 20 20 36 19 19 39 39 20 20 35 12 12 2 12 22 21 22 21 39 21 12 12 39 2 39 35 20 30 12 12 22 12 21 30 12 39 39 12 22 12 12 39 19 12 26 10 20 39 21 39 39 39 12 19 22 12 12 19 39 28 39 39 39 39 34 12 35 12 29 39 36 39 39 19 19 12 39 12 21 21 22 22 12 34 22 12 39 12 2 40 2 12 12 12 20 21 39 34 39 12 35 22 39 2 35 12 12 12 39 21 31 39 12 2 39 39 12 17 3 39 32 10 12 12 39 39 12 39 12 22 36 12 18 35 12 12 35 12 39 35 12 12 12 36 12 39 39 12 39 8 31 39 12 7 12 35 35 39 39 22 22 39 8 21 21 34 17 12 12 12 18 36 12 39 39 12 13 21 18 22 39 39 35 36 7 8 39 39 22 12 21 12 39 12 23 39 10 39 12 39 17 39 20 17 2 9 12 39 39 17 36 2 12 28 17 2 12 39 11 12 12 39 17 19 12 39 19 35 8 2 39 19 39 17 12 12 12 39 12 18 2 17 11 2 39 18 39 2 17 39 12 39 2 12 12 39 2 18 18 11 39 39 12 9 39 19 2 12 9 34 26 35 4 39 39 12 36 20 39 39 17 39 19 39 10 10 19 18 20 38 2 12 12 39 2 39 31 2 21 12 7 12 12 33 35 8 12 39 31 39 12 7 12 18 12 12 22 18 18 39 17 12 22 39 2 12 21 12 2 7 16 39 39 39 12 12 33 21 8 32 22 22 12 12 12 8 12 22 12 12 12 2 7 12 12 8 2 7 12 2 12 7 2 12 22 2 39 39 12 12 2 39 33 33 33 21 21 12 2 12 12 39 12 0 15 21 2 16 33 12 12 2 39 39 33 32 39 11 10 12 12 11 2 2 12 9 8 11 25 39 30 39 11 9 11 25 8 39 12 27 39 9 25 12 11 39 39 12 25 39 39 27 39 39 39 27 11 27 12 39 12 39 12 2 28 2 39 12 25 39 10 2 39 2 27 10 39 39 27 9 9 27 30 39 12 9 11 11 12 27 29 27 12 12 25 11 39 10 38 9 10 10 9 26 39 3 0 9 39 11 26 30 27 12 12 10"
4,-1.0000,1.0000,"34 39 20 2 26 12 36 20 26 19 39 12 9 2 39 12 39 39 9 26 11 39 39 39 19 12 11 19 12 39 12 12 39 36 20 39 36 19 39 36 39 12 12 19 9 39 26 39 23 11 19 39 19 11 39 12 9 39 12 39 2 20 35 39 19 2 10 39 35 12 39 2 39 11 20 19 39 25 35 39 2 9 27 2 39 27 19 2 36 9 34 39 12 20 19 12 39 39 3 12 39 30 29 2 12 30 39 8 39 12 28 28 10 29 39 2 29 12 28 28 12 2 29 30 12 12 28 12 29 29 12 28 12 12 29 39 12 29 12 12 12 39 12 30 12 12 12 39 12 39 39 29 29 39 2 29 39 12 12 12 29 30 12 39 30 12 29 28 12 30 12 12 2 29 2 30 8 39 12 29 28 2 30 15 12 39 12 12 28 39 28 2 12 38 30 12 30 15 12 39 2 39 7 2 2 12 12 39 2 12 22 31 2 2 2 32 35 12 2 2 2 2 12 8 2 7 7 2 39 8 22 2 7 2 2 12 22 39 21 22 12 32 2 7 32 2 2 39 31 2 21 2 2 8 8 32 19 2 22 21 39 2 2 8 39 12 8 39 39 2 12 39 2 12 21 12 2 2 2 2 2 2 36 5 2 7 5 2 2 12 8 12 7 12 2 32 35 38 2 34 12 25 39 12 21 39 22 39 12 39 17 12 12 34 18 12 39 39 12 12 22 17 17 18 39 12 20 39 21 26 39 39 25 39 39 12 12 26 12 39 17 12 8 21 7 39 39 24 12 39 25 12 12 12 39 12 12 17 39 39 12 12 2 39 12 12 12 12 12 12 17 39 39 8 12 17 20 39 12 39 12 39 12 12 12 12 39 12 12 12 8 12 39 12 12 12 39 39 18 12 20 12 12 39 39 12 12 12 12 39 12 22 12 19 12 39 39 32 12 39 12 12 33 12 39 39 9 19 12 12 12 19 39 22 39 12 39 12 12 39 12 20 2 39 39 12 39 2 12 39 12 22 20 12 12 21 28 12 21 12 39 31 19 12 23 18 12 12 39 33 21 22 12 12 19 12 20 18 17 21 39 39 39 12 12 39 12 12 15 20 39 12 9 12 2 12 31 21 20 12"
5,-0.7248,1.0000,"12 17 28 21 39 12 9 16 18 12 39 39 9 2 39 12 12 12 39 12 21 12 9 12 39 10 17 12 39 39 9 12 29 12 39 39 30 9 18 17 12 21 12 39 39 39 30 12 29 12 18 12 24 22 12 12 9 39 18 17 12 39 2 12 39 12 12 18 12 2 12 12 12 12 12 39 18 15 39 29 12 18 12 22 12 12 39 12 17 39 17 39 39 39 2 22 12 2 12 39 9 20 39 17 8 39 18 8 19 39 39 39 39 12 12 11 39 18 39 39 12 39 12 19 39 8 12 18 11 7 18 9 18 39 39 29 12 12 39 18 12 12 12 18 39 39 12 12 12 39 36 28 39 17 18 7 18 29 39 39 18 12 3 39 12 2 17 18 27 9 12 8 19 36 17 37 12 12 19 39 29 39 12 23 17 18 30 18 39 39 32 17 30 20 39 39 12 2 12 39 39 7 12 12 8 31 12 7 7 12 33 7 33 33 12 26 7 12 12 39 33 39 7 39 32 12 8 12 8 12 12 7 12 7 12 2 39 39 26 12 12 12 7 8 12 7 32 12 39 39 39 8 33 8 8 12 12 39 12 42 33 39 12 12 12 12 12 39 12 12 33 31 12 12 12 39 27 12 39 12 8 32 37 8 12 32 39 15 7 8 7 8 12 12 26 25 39 7 12 15 22 39 39 26 39 12 39 12 12 12 12 2 39 39 12 12 12 21 12 35 8 18 2 39 12 35 39 12 39 12 12 12 12 22 12 12 12 12 39 35 21 12 39 36 2 7 22 28 18 39 22 17 35 17 12 39 12 25 28 39 8 2 12 17 39 17 12 39 12 39 36 25 12 12 12 39 39 29 39 39 12 2 35 21 42 39 24 40 23 12 39 39 2 28 12 39 39 21 39 12 39 25 12 35 39 12 28 36 12 12 12 20 39 39 19 33 12 39 12 12 32 12 39 39 31 29 39 29 33 39 30 12 27 36 33 32 39 30 39 34 3 12 36 28 39 39 33 35 12 28 12 12 39 2 30 12 28 30 11 0 18 8 30 12 39 30 39 12 13 33 29 12 17 39 28 40 39 12 30 39 25 32 39 31 28 39 28 28 12 28 39 32 18 17 28 39 32 39 9 12"
6,-0.7207,1.0000,"2 25 12 26 12 12 31 24 31 39 12 12 12 39 12 12 12 12 39 31 12 12 2 12 39 39 2 3 31 32 32 39 12 33 31 2 2 12 21 39 32 12 33 12 12 39 36 31 39 39 12 39 12 12 39 12 33 12 39 12 39 33 27 12 26 39 2 3 3 12 0 25 12 12 12 36 39 12 12 32 2 33 12 31 12 39 32 32 39 39 12 39 39 1 22 22 12 33 39 12 12 39 19 2 17 2 12 39 2 20 17 0 18 12 39 18 39 2 2 2 30 2 12 39 18 12 2 18 17 12 2 2 18 39 2 12 12 39 2 2 2 12 39 2 17 2 2 2 2 2 2 2 27 39 39 2 3 12 2 17 2 18 30 12 2 2 12 12 2 2 3 2 2 2 39 17 2 26 41 2 12 2 39 37 18 2 2 39 12 39 2 2 4 4 40 17 2 0 39 12 12 12 26 35 21 12 39 12 39 12 2 39 35 12 39 12 12 12 2 39 12 8 39 20 20 34 3 22 21 34 12 12 20 12 39 1 7 39 19 39 12 34 2 39 12 39 22 12 39 12 20 19 39 39 12 20 34 21 20 8 35 25 26 39 34 35 34 21 19 12 12 12 2 12 12 0 39 39 19 36 39 35 36 22 12 12 12 39 35 21 19 39 39 0 25 12 34 36 26 12 22 39 18 39 2 39 2 12 39 2 39 35 39 12 2 39 39 39 11 12 29 12 12 39 39 28 12 12 2 21 12 21 12 39 2 39 17 39 39 39 12 12 12 11 12 22 29 12 2 12 18 39 39 17 28 39 12 12 12 30 39 39 12 12 39 36 39 29 2 12 11 39 28 2 39 30 28 2 12 2 12 12 39 28 30 9 11 10 12 42 22 2 39 0 17 23 28 29 12 29 39 39 11 28 10 39 20 30 9 39 28 10 2 2 39 12 11 27 25 10 12 10 28 39 9 27 12 2 39 30 39 29 39 10 25 12 39 28 12 39 9 28 12 10 2 2 39 2 29 28 2 12 27 2 12 2 12 30 2 2 25 39 28 39 2 11 39 9 2 20 39 39 20 5 11 11 39 12 12 2 9 12 39 39 39 10 39 11 12 10 39 12 20 19 11 25 2 28 2 16"
7,-0.7148,1.0000,"12 22 39 28 39 2 12 12 12 22 39 33 33 11 12 39 39 36 39 9 11 12 12 12 39 2 22 12 12 2 21 39 12 12 39 32 39 12 39 39 12 12 22 10 12 39 39 12 22 39 33 39 10 39 36 39 39 12 12 12 33 32 12 32 22 11 12 12 39 12 12 34 21 32 36 22 39 39 39 36 22 2 39 12 32 16 12 12 2 39 39 12 12 12 21 12 22 21 39 12 21 12 25 39 12 12 25 39 39 26 12 39 12 39 21 8 12 17 12 39 7 7 12 12 39 39 12 26 39 12 25 12 39 7 39 27 26 39 39 39 27 12 21 21 16 12 39 26 18 12 17 12 25 12 12 22 26 12 12 12 39 39 12 12 7 27 12 12 39 12 39 39 39 12 25 8 39 22 12 18 12 23 12 25 27 26 39 12 18 8 12 39 25 39 6 12 17 22 27 12 12 39 35 35 12 39 2 28 39 28 12 39 12 12 2 39 39 28 39 12 35 35 12 34 39 28 39 35 29 39 12 2 12 12 28 12 2 39 39 18 35 17 39 39 39 12 39 12 35 39 30 12 24 12 35 36 12 18 39 0 39 9 2 39 36 30 2 39 20 12 12 39 29 36 12 12 12 2 39 12 2 2 12 39 39 34 29 12 2 35 30 17 1 2 12 39 2 12 20 39 12 39 39 14 12 39 36 29 12 12 12 12 36 31 39 12 28 35 8 39 12 36 39 39 12 7 12 12 12 35 36 39 33 7 12 36 39 36 8 39 39 12 36 8 39 12 7 12 35 39 39 12 12 39 12 36 32 7 12 12 12 12 39 12 30 39 35 12 9 31 2 31 39 36 35 39 12 12 31 38 12 2 7 12 12 36 39 12 39 35 12 36 39 12 24 34 38 12 7 39 39 3 12 39 25 2 12 39 26 25 25 12 22 12 22 25 12 0 0 12 30 39 25 12 25 22 21 12 3 21 19 25 26 39 0 39 25 39 25 8 2 26 39 12 19 12 25 3 12 12 30 25 12 12 3 39 27 12 12 3 39 12 39 39 27 39 3 26 21 22 22 2 39 12 26 27 39 25 21 26 0 12 21 12 39 12 27 19 27 39 39 34 39 3 12 26 26 12 39 38"
8,-0.7086,1.0000,"39 12 12 34 12 34 33 10 12 36 12 39 36 12 12 34 32 2 39 36 39 14 12 39 11 18 31 11 39 39 2 12 39 35 39 10 3 18 18 39 12 39 34 39 10 12 33 39 39 11 12 12 12 39 2 2 39 12 18 39 10 39 12 2 11 12 12 39 39 12 12 36 12 34 39 39 40 34 39 12 12 12 39 39 34 12 2 33 36 12 10 36 12 39 12 12 9 2 12 24 25 39 39 2 12 28 39 12 12 39 39 12 39 39 12 39 12 2 39 25 19 20 39 12 26 12 32 12 2 39 12 12 12 2 9 12 12 25 33 39 26 2 11 12 12 11 39 2 20 19 9 12 12 12 39 9 12 12 12 39 39 12 12 39 39 2 5 2 12 18 39 2 32 12 12 12 39 15 26 12 2 12 19 39 39 26 12 12 2 32 16 39 39 11 12 31 39 25 39 23 39 25 3 17 3 31 36 39 0 2 12 39 12 0 18 0 17 39 39 17 0 12 0 3 39 12 2 0 0 3 17 18 8 39 12 3 39 8 0 7 30 12 39 12 27 0 39 12 39 3 17 12 39 3 3 0 12 7 12 0 3 0 17 39 12 41 39 29 39 39 26 23 24 0 11 39 39 18 3 28 39 2 2 12 39 40 39 39 12 12 7 29 12 7 18 39 9 7 12 41 26 39 12 39 27 2 12 12 18 32 17 12 18 12 33 26 12 8 29 39 12 17 28 33 30 2 39 25 39 8 12 27 18 12 32 39 2 12 2 12 12 29 8 25 27 3 28 12 39 30 12 30 39 12 30 12 2 12 30 12 25 17 39 11 33 39 39 17 27 39 12 12 2 12 12 12 12 39 2 26 18 12 39 12 12 7 7 18 12 18 28 39 39 17 12 18 39 30 29 28 21 33 7 12 32 39 12 2 2 26 7 39 12 2 12 31 32 12 2 39 2 39 26 7 39 31 31 39 12 39 7 2 12 12 39 25 32 26 12 39 26 25 21 39 8 26 32 8 25 39 39 12 39 2 12 12 12 12 4 39 8 12 39 3 21 12 2 39 39 39 12 39 12 2 25 31 8 39 2 12 12 20 38 32 25 39 0 39 39 27 19 27 33 12 26 39 39 8 8 7"
9,-0.7058,1.0000,"12 39 2 3 2 17 39 9 31 2 39 31 18 39 2 2 10 18 39 17 12 39 32 39 2 31 39 0 2 2 11 2 2 3 11 12 12 2 17 0 39 12 12 2 18 39 12 0 39 39 12 39 11 12 33 39 39 10 33 39 12 39 39 39 12 27 39 2 2 39 17 2 3 39 31 33 32 39 12 10 2 32 39 39 9 18 39 39 2 4 32 39 39 26 10 33 39 11 38 33 12 35 39 39 39 39 12 12 12 12 39 34 39 39 39 12 12 12 12 12 34 35 12 12 12 35 39 36 2 39 39 2 34 33 32 12 12 32 39 33 29 31 12 12 34 12 12 12 2 39 15 12 29 39 31 12 12 32 12 33 12 39 39 12 39 12 39 12 12 39 12 39 12 10 12 12 12 34 12 12 12 39 12 32 12 36 39 39 34 12 12 33 12 12 24 12 12 39 39 12 12 39 17 17 12 2 39 39 12 39 39 12 6 39 12 29 39 12 12 17 2 2 17 12 18 18 2 39 12 39 28 12 12 2 22 39 28 39 12 30 16 12 12 2 39 30 12 28 2 2 2 12 12 29 39 39 39 39 12 30 12 12 11 5 2 39 11 2 12 2 18 28 2 39 39 17 12 39 18 39 28 28 39 39 30 2 17 2 39 29 12 39 12 12 12 12 2 2 2 24 39 2 39 22 8 18 18 2 27 2 39 17 39 12 29 12 12 18 12 28 12 39 28 12 12 17 12 2 39 20 12 12 12 20 12 12 24 18 27 12 39 12 2 2 17 2 39 39 12 12 2 17 2 12 9 39 39 12 19 2 12 12 39 12 39 18 20 17 18 2 39 19 2 39 2 4 29 2 39 19 12 2 12 2 39 39 20 12 2 39 22 12 19 39 12 39 12 21 39 20 7 39 19 10 8 12 12 20 39 7 30 39 2 39 11 9 39 12 7 2 2 12 19 39 12 28 18 27 8 12 39 19 39 39 7 39 19 25 2 11 39 17 19 12 7 12 2 39 12 12 39 17 39 12 39 8 39 7 9 20 20 39 2 19 39 19 20 12 20 8 12 11 20 7 2 33 39 27 12 19 39 10 39 3 20 39 12 39 7 19 39 12 12 30 12 39 20 1 19 20"
10,-0.6560,0.9412,"19 2 20 11 20 2 20 39 2 39 2 28 39 2 39 2 39 10 2 9 11 2 36 2 12 17 2 19 9 19 2 2 39 19 39 39 19 2 12 20 12 2 39 12 39 39 2 12 12 2 12 39 12 39 2 10 2 2 2 2 2 2 12 2 12 29 12 19 10 2 2 2 12 2 2 12 20 19 12 10 12 2 12 12 2 39 12 20 39 4 4 2 19 12 2 2 19 2 12 2 12 7 12 25 12 12 12 8 12 27 25 21 12 8 39 12 12 8 7 12 7 39 8 7 27 8 25 28 12 27 7 12 36 8 39 7 21 8 25 30 12 39 8 27 7 12 39 12 12 7 7 39 27 39 8 8 39 27 39 28 35 7 39 12 8 25 35 12 8 26 12 13 27 1 12 39 39 12 12 8 7 39 7 7 25 12 12 39 8 12 8 39 12 28 35 7 7 8 8 18 26 32 12 39 12 12 30 36 32 35 12 29 31 30 39 12 31 31 39 12 12 12 8 32 12 39 33 32 33 32 39 25 39 12 39 39 12 12 7 12 8 21 25 12 33 39 12 7 12 33 12 12 34 18 26 5 31 12 8 39 32 33 39 30 33 12 31 39 39 29 12 23 7 39 22 33 27 12 12 39 32 32 39 39 39 8 39 32 7 12 12 12 12 12 39 33 32 33 2 30 39 39 39 12 7 12 7 39 9 39 12 20 12 12 12 39 39 12 2 39 7 22 39 21 2 39 2 39 12 12 12 9 39 20 7 39 39 7 2 9 12 12 12 12 12 12 39 7 10 39 12 12 39 39 12 12 39 19 39 12 39 12 2 12 11 39 39 9 20 10 39 12 10 19 11 11 16 39 10 12 39 7 19 39 10 32 39 12 2 12 39 7 7 12 39 12 0 12 24 12 12 11 21 12 7 39 8 12 11 12 22 39 12 39 39 12 39 8 21 12 8 12 8 36 39 2 8 12 39 39 12 35 7 39 7 12 9 39 9 39 12 11 39 39 7 7 8 8 12 12 39 39 12 39 8 2 12 12 2 21 39 7 39 7 32 12 9 2 22 12 21 39 39 36 39 39 39 39 21 12 21 7 21 12 7 7 2 8 10 36 39 12 7 12 7 21 2 21 39 21"
