rank,fitness,winrate,genome
1,-0.7438,1.0000,"25 17 25 28 39 39 25 29 39 25 28 27 7 27 18 26 12 28 1 25 29 17 25 24 12 27 27 25 17 6 25 30 25 39 39 25 26 9 12 11 12 39 27 9 39 12 25 39 39 26 25 25 39 38 26 25 27 25 30 18 25 15 25 12 26 30 39 17 26 30 39 25 18 25 18 27 39 39 12 39 27 25 12 25 26 12 12 29 1 12 25 28 26 26 27 12 18 26 26 11 12 27 2 35 2 21 25 7 27 19 12 0 23 19 12 25 2 2 4 35 39 19 0 26 25 35 24 25 12 0 26 12 12 39 20 2 35 9 17 12 2 0 0 14 3 2 26 24 2 25 20 2 2 24 26 38 24 24 39 3 26 7 24 12 2 12 12 23 39 39 12 36 2 39 3 30 6 39 31 0 2 24 20 39 12 12 2 24 19 39 41 6 0 24 2 5 19 2 13 23 39 39 25 27 26 39 24 2 12 3 39 9 39 30 30 27 26 2 27 34 30 27 3 0 41 0 2 11 30 12 39 26 12 30 12 12 27 35 9 39 23 27 10 4 39 28 30 36 30 30 39 35 25 34 35 28 25 22 35 19 25 30 7 10 25 38 22 39 22 35 2 39 0 0 0 36 3 2 6 21 36 16 25 2 39 39 0 0 5 2 24 21 28 27 10 39 39 39 9 35 20 12 39 36 28 19 39 25 30 12 39 25 39 12 31 33 39 27 25 32 30 26 25 29 39 32 26 32 2 29 33 25 39 32 4 39 27 39 39 31 28 28 39 30 39 12 25 26 10 39 28 2 10 0 26 39 29 32 2 39 40 29 25 2 27 32 39 39 2 0 2 29 18 26 25 26 10 28 5 31 26 39 32 31 12 33 12 27 26 9 25 39 26 26 32 17 28 31 29 30 12 2 0 25 39 25 25 25 27 2 41 39 23 39 25 39 39 39 25 0 39 26 25 27 25 12 27 39 25 26 39 27 25 25 5 25 19 19 19 34 27 25 21 25 22 12 19 27 12 12 7 27 27 26 27 27 27 35 25 27 12 39 33 27 34 26 26 27 36 12 26 18 0 26 27 22 12 25 33 39 16 26 20 8 22 26 25 26 12 26 25 33 19 27 26 21 27 12 25 17"
2,-0.7321,1.0000,"25 27 27 39 12 25 27 32 12 32 28 27 7 26 2 27 39 27 33 27 29 2 27 26 26 32 32 25 25 7 25 31 26 12 8 25 32 25 39 12 31 41 26 25 25 7 25 0 25 26 27 39 25 0 12 25 12 26 39 25 25 15 25 12 26 39 25 33 26 39 31 25 27 12 31 12 32 3 25 39 27 25 39 27 8 12 26 27 1 25 27 28 37 26 32 27 30 6 25 26 28 39 11 10 22 2 12 19 11 0 9 29 9 3 20 39 3 9 17 10 9 12 30 12 23 39 11 29 9 28 2 10 9 17 29 17 28 39 39 28 2 18 17 39 0 10 11 18 22 10 17 39 39 18 29 18 32 17 11 39 22 21 18 10 39 18 11 41 39 21 30 10 9 21 17 31 33 17 12 40 30 18 2 32 3 17 10 18 17 28 18 9 30 12 11 2 30 4 28 39 39 39 19 7 20 24 9 39 23 39 40 27 0 19 7 9 1 19 12 24 25 12 23 26 23 39 23 12 19 17 12 14 23 22 39 10 2 23 20 23 20 39 39 39 25 12 1 12 33 17 39 23 9 20 39 20 11 20 19 39 12 39 23 39 37 23 24 10 12 1 25 19 0 29 39 2 12 37 12 30 27 20 27 5 41 20 27 2 24 42 10 9 11 24 23 27 23 9 40 20 2 34 11 24 18 2 24 17 36 39 2 20 20 23 12 24 27 2 11 7 39 0 19 17 27 39 20 2 41 2 30 9 39 16 27 0 20 3 8 29 23 7 0 24 10 8 19 10 23 20 3 27 0 37 20 23 7 28 12 2 34 11 39 10 7 29 24 23 11 36 9 39 2 0 17 3 39 18 37 39 5 20 12 2 20 17 19 12 7 24 17 24 12 18 23 26 26 20 12 18 39 34 35 12 11 36 14 36 39 39 35 12 29 20 34 30 36 20 36 39 34 12 12 34 20 39 42 35 35 31 10 35 36 12 35 39 34 29 35 32 34 36 35 20 32 12 34 12 39 24 35 4 36 13 35 36 35 10 36 0 12 12 34 35 32 9 12 39 36 35 39 34 12 34 39 35 12 36 35 29 6 20 36 39 12 36 35 16 12 19 34 26 37 34 35 2 14 39 39 39"
3,-0.7265,1.0000,"25 17 25 28 39 39 25 29 39 25 28 27 7 27 18 26 12 28 1 25 29 17 25 24 12 27 27 25 17 6 25 30 25 39 39 25 26 9 12 11 12 39 27 9 39 12 25 39 39 26 25 25 39 38 26 25 27 25 30 18 25 15 25 12 26 30 39 17 26 30 39 25 18 25 18 27 39 39 12 39 27 25 12 25 26 12 12 29 1 12 25 28 26 26 27 12 18 26 26 11 12 27 2 35 2 21 25 7 27 19 12 0 23 19 12 25 2 2 4 35 39 19 0 26 25 35 24 25 12 0 26 12 12 39 20 2 35 9 17 12 2 0 0 14 3 2 26 24 2 25 20 2 2 24 26 38 24 24 39 3 26 7 24 12 2 12 12 23 39 39 12 36 2 39 3 30 6 39 31 0 2 24 20 39 12 12 2 24 19 39 41 6 0 24 2 5 19 2 13 23 39 39 25 27 17 39 24 2 12 3 17 9 12 30 30 17 26 2 12 34 30 27 3 0 41 0 2 11 30 12 2 26 17 30 12 42 27 35 9 18 17 27 17 4 18 28 12 36 30 30 39 12 25 17 35 28 25 22 12 19 25 2 7 10 25 38 22 18 22 12 2 18 0 0 0 36 3 2 18 17 36 16 25 17 39 39 17 0 5 2 18 21 28 27 10 39 12 39 9 35 20 12 39 36 28 19 39 25 30 12 39 25 39 12 31 33 39 27 25 32 30 26 25 29 39 32 26 32 2 29 33 25 39 32 4 39 27 39 39 31 28 28 39 30 39 12 25 26 10 39 28 2 10 0 26 39 29 32 2 39 40 29 25 2 27 32 39 39 2 0 2 29 18 26 25 26 10 28 5 31 26 39 32 31 12 33 12 27 26 9 25 39 26 26 32 17 28 31 29 30 12 2 0 25 39 25 25 25 27 2 41 39 23 39 25 39 39 39 25 0 39 26 25 27 25 12 27 39 25 26 39 27 25 25 5 25 19 19 19 34 27 25 21 25 22 12 19 27 12 12 7 27 27 26 27 27 27 35 25 27 12 39 33 27 34 26 26 27 36 12 26 18 0 26 27 22 12 25 33 39 16 26 20 8 22 26 25 26 12 26 25 33 19 27 26 21 27 12 25 17"
4,-0.6884,0.9783,"25 27 27 39 12 25 27 29 12 3 28 27 7 26 2 27 39 27 26 27 29 2 27 26 26 26 27 25 25 7 25 12 26 25 8 25 0 25 0 12 27 12 26 25 1 7 25 0 25 26 27 39 25 0 12 25 25 26 27 25 25 15 25 15 26 30 25 25 26 39 39 25 27 12 27 25 26 3 25 39 27 25 39 27 8 12 26 27 1 25 27 28 37 26 14 27 30 6 25 26 12 27 2 12 2 21 25 7 27 19 12 0 23 19 12 25 2 2 18 35 39 19 0 26 18 17 24 39 12 0 26 12 12 39 20 2 35 9 17 17 2 39 17 17 3 2 18 24 2 25 20 2 2 24 26 38 24 24 39 18 17 18 24 12 18 12 17 39 39 39 12 18 2 39 0 18 6 39 31 0 2 24 20 39 12 39 2 24 18 39 41 6 0 24 2 5 19 2 13 23 39 39 25 2 17 39 24 2 12 2 17 9 12 30 30 17 26 2 12 5 30 27 3 12 41 0 2 11 30 2 12 2 17 30 2 42 27 12 9 18 17 27 17 4 18 28 12 36 30 30 39 12 25 17 35 2 25 22 12 2 25 2 7 10 25 38 22 18 22 12 2 18 0 0 0 36 3 2 18 17 36 16 25 17 39 39 17 0 5 2 18 21 28 27 10 39 12 42 9 35 20 2 39 36 28 19 39 25 30 2 39 2 39 12 31 33 2 27 25 32 2 2 25 2 39 32 26 32 2 29 33 12 39 32 4 39 27 39 39 31 2 28 39 30 39 12 25 26 10 39 28 2 2 0 26 39 29 32 2 39 40 29 25 2 27 32 39 39 2 0 2 29 18 26 25 26 10 28 5 31 2 39 32 31 12 33 12 27 12 9 25 39 2 26 32 17 28 2 29 30 39 34 35 12 11 36 14 39 39 39 35 12 29 20 34 30 36 20 36 35 34 12 12 34 20 39 34 35 35 31 12 12 36 36 35 39 34 29 35 32 34 36 36 20 32 12 34 12 39 34 35 4 36 34 35 36 35 12 36 0 12 12 34 12 32 39 12 12 36 35 39 34 12 34 36 35 12 36 35 29 0 20 36 39 12 36 35 16 12 19 34 26 37 34 35 36 14 39 39 34"
5,-0.6836,0.9737,"25 27 12 25 12 25 27 29 12 25 28 27 7 26 2 27 39 27 26 27 29 2 27 25 26 26 27 25 25 7 26 12 26 25 8 25 0 25 0 12 27 12 27 25 1 7 25 0 25 25 27 39 25 0 27 25 25 26 27 39 25 15 25 15 39 26 25 25 26 25 39 27 27 12 25 26 26 25 25 39 27 25 39 27 8 12 26 27 1 25 27 28 37 26 14 25 30 12 12 26 12 27 2 2 2 21 12 7 27 19 12 0 23 19 12 25 2 2 4 35 39 19 0 26 25 35 24 25 12 0 26 12 12 39 20 13 35 2 17 12 2 0 0 14 3 2 26 24 2 25 20 2 2 12 26 38 24 24 39 3 26 7 24 12 2 12 38 23 39 39 12 36 2 39 3 30 6 39 31 0 2 24 20 39 12 12 2 24 19 39 41 12 0 24 2 5 19 2 13 23 39 39 25 27 17 39 24 2 12 3 17 9 6 30 30 17 26 2 12 34 30 27 3 0 41 0 2 11 30 12 2 26 17 30 12 42 27 35 9 18 17 27 17 4 18 28 12 36 30 30 39 12 25 17 35 28 25 22 12 19 25 2 7 10 25 38 22 18 22 12 2 18 0 0 0 36 3 2 18 17 36 16 25 17 39 39 17 0 5 2 18 21 28 27 10 39 12 39 9 35 20 2 39 36 28 19 39 25 30 2 39 2 39 12 31 33 2 27 25 32 2 2 25 2 39 32 26 32 2 29 33 12 39 32 4 39 27 39 39 31 2 28 39 30 39 12 25 26 10 39 28 2 2 0 26 39 29 32 2 39 40 29 25 2 27 32 39 39 2 0 2 3 18 26 25 26 10 28 5 31 2 39 32 31 12 33 12 27 12 9 25 39 2 26 32 17 28 2 29 30 35 34 35 35 11 36 14 36 12 39 38 12 29 20 34 13 35 20 36 39 35 12 12 34 20 36 42 35 35 31 10 35 36 12 35 39 34 29 36 32 34 35 35 34 32 12 34 12 35 24 39 4 36 13 35 36 35 10 36 0 12 12 34 34 32 9 12 39 36 35 39 36 34 34 39 35 35 36 36 29 0 36 36 35 12 36 35 16 12 36 34 26 34 34 34 2 14 39 39 39"
6,-0.6653,0.9545,"25 27 12 25 12 25 27 29 12 25 28 27 7 26 2 27 39 27 26 27 29 2 27 25 26 26 27 25 25 7 26 12 26 25 8 25 0 25 0 12 27 12 27 25 1 7 25 0 25 25 27 39 25 0 27 25 25 26 27 39 25 15 25 15 39 26 25 25 26 25 39 27 27 12 25 26 26 25 25 39 27 25 39 27 8 12 26 27 1 25 27 28 37 26 14 25 30 12 12 26 12 2 39 39 2 21 2 7 2 19 12 0 23 19 2 25 2 2 18 35 39 12 0 2 18 17 17 39 12 0 26 12 18 39 20 39 35 17 17 14 2 39 17 12 3 2 18 24 2 17 20 2 12 24 26 38 12 24 39 18 39 18 24 18 18 12 2 39 39 39 12 5 2 39 0 12 6 39 31 12 2 18 17 2 12 39 17 24 18 39 41 6 39 24 17 17 19 2 12 23 39 39 25 27 17 20 24 2 12 3 17 9 12 30 30 17 39 2 20 19 30 27 3 0 41 39 2 39 30 39 2 26 17 30 12 42 27 35 9 18 17 27 17 4 39 28 12 19 39 30 39 12 19 17 35 28 25 22 12 19 20 2 7 10 12 38 22 18 22 39 19 18 0 0 0 36 3 2 18 17 36 16 25 17 39 39 17 0 5 2 18 21 28 27 20 39 12 39 9 20 20 2 39 36 28 19 39 25 30 2 39 2 39 12 31 2 2 2 25 32 2 2 25 2 39 32 26 32 2 29 33 12 39 32 4 39 27 39 39 31 2 28 39 30 39 12 25 26 10 39 2 2 2 0 26 39 29 32 2 39 40 29 25 2 27 32 39 2 2 0 2 29 18 26 25 26 10 28 5 31 2 39 32 31 12 33 4 27 12 9 25 2 2 26 32 17 28 2 2 30 39 34 35 12 11 36 14 36 39 39 38 12 29 20 34 30 36 20 36 39 34 12 12 34 20 39 42 35 35 31 10 35 36 12 35 39 34 29 35 32 34 36 35 20 32 12 34 12 39 24 35 4 36 13 35 36 35 10 36 0 12 12 34 35 32 9 12 39 36 35 39 34 12 34 39 35 12 36 35 29 0 20 36 39 12 36 35 16 12 19 34 26 37 34 35 2 14 39 39 39"
7,-0.6456,0.9348,"25 27 12 25 12 25 27 29 12 25 28 27 7 26 2 27 39 27 26 27 29 2 27 25 26 26 27 25 25 7 26 12 26 25 8 25 0 25 0 12 27 12 27 25 1 7 25 0 25 25 27 39 25 0 27 25 25 26 27 39 25 15 25 15 39 26 25 25 26 25 39 27 27 12 25 26 26 25 25 39 27 25 39 27 8 12 26 27 1 25 27 28 37 26 14 25 30 12 12 26 12 27 2 2 2 21 12 7 27 19 12 0 23 19 12 25 2 2 4 35 39 19 0 26 25 35 24 25 12 0 26 12 12 39 20 13 35 2 17 12 2 0 0 14 3 2 26 24 2 25 20 2 2 12 26 38 24 24 39 3 26 7 24 12 2 12 38 23 39 39 12 36 2 39 3 30 6 39 31 0 2 24 20 39 12 12 2 24 19 39 41 12 0 24 2 5 19 2 13 23 39 39 25 26 12 39 24 2 12 31 39 9 39 30 30 33 27 25 31 34 30 27 3 0 41 25 26 11 12 12 33 26 39 30 12 12 27 35 9 39 25 33 31 4 12 26 26 36 30 26 26 35 25 34 35 32 25 22 1 19 25 32 7 10 25 38 27 39 27 35 27 39 0 0 0 36 27 2 6 33 12 27 27 26 39 25 39 0 5 2 25 39 26 27 12 26 39 39 9 35 20 2 39 36 28 19 39 25 30 2 39 2 39 12 31 33 2 27 25 32 2 2 25 2 39 32 26 32 2 29 33 12 39 32 4 39 27 39 39 31 2 28 39 30 39 12 25 26 10 39 28 2 2 0 26 39 29 32 2 39 40 29 25 2 27 32 39 39 2 0 2 29 18 26 25 26 10 28 5 31 2 39 32 31 12 33 12 27 12 9 25 39 2 26 32 17 28 2 29 30 39 34 35 12 11 36 14 36 39 39 38 12 29 20 34 30 36 20 36 39 34 12 12 34 20 39 42 35 35 31 10 35 36 12 35 39 34 29 35 32 34 36 35 20 32 12 34 12 39 24 35 4 36 13 35 36 35 10 36 0 12 12 34 35 32 9 12 39 36 35 39 34 12 34 39 35 12 36 35 29 0 20 36 39 12 36 35 16 12 19 34 26 37 34 35 2 14 39 39 39"
8,-0.6378,0.9259,"25 27 12 25 12 25 27 29 12 25 28 27 7 26 2 27 39 27 26 27 29 2 27 25 26 26 27 25 25 7 26 12 26 25 8 25 0 25 0 12 27 12 27 25 1 7 25 0 25 25 27 39 25 0 27 25 25 26 27 39 25 15 25 15 39 26 25 25 26 25 39 27 27 12 25 26 26 25 25 39 27 25 39 27 8 12 26 27 1 25 27 28 37 26 14 25 30 12 12 26 12 27 39 39 2 21 25 7 27 19 12 0 23 19 12 25 2 2 18 35 39 12 0 26 18 17 17 39 12 0 26 12 18 39 20 39 35 17 17 18 2 39 17 17 3 2 18 24 2 17 20 2 18 24 26 38 12 24 39 18 39 18 24 18 18 12 17 39 39 39 12 18 2 39 0 12 6 39 31 0 2 18 17 39 12 39 17 24 18 39 41 6 39 24 17 17 19 2 12 23 39 39 25 27 17 20 24 2 12 3 17 9 12 30 30 17 39 2 20 19 30 27 3 0 41 39 2 39 30 39 2 26 17 30 12 42 27 35 9 18 17 27 17 4 39 28 12 19 39 30 39 12 19 17 35 28 25 22 12 19 20 2 7 10 12 38 22 18 22 39 19 18 0 0 0 36 3 2 18 17 36 16 25 17 39 39 17 0 5 2 18 21 28 27 20 39 12 39 9 20 23 12 39 36 2 19 7 8 7 12 39 25 39 12 31 33 24 7 4 32 8 26 24 29 8 32 2 2 2 29 33 25 39 32 2 24 27 39 39 39 28 28 7 23 2 8 25 26 10 39 8 2 2 0 24 39 8 32 2 39 40 7 25 2 39 32 39 7 7 24 23 29 18 26 23 26 10 28 5 31 26 39 32 23 12 33 12 27 26 1 25 39 39 23 24 8 28 39 23 30 39 34 36 12 11 36 35 36 34 35 35 12 29 20 34 30 36 12 36 35 34 35 12 34 20 39 42 35 35 35 34 36 34 12 36 34 35 39 35 32 36 36 34 20 35 12 34 12 39 36 34 4 35 13 36 36 36 10 36 0 12 12 36 35 39 9 36 39 36 35 39 34 12 34 39 35 35 36 35 35 35 20 35 39 34 35 35 34 12 36 34 35 35 34 12 39 34 36 39 39"
9,-0.5901,0.8667,"25 27 27 39 12 25 27 32 12 32 28 27 7 26 2 27 39 27 33 27 29 2 27 26 26 32 32 25 25 7 25 31 26 12 8 25 32 25 39 12 31 41 26 25 25 7 25 0 25 26 27 39 25 0 12 25 12 26 39 25 25 15 25 12 26 39 25 33 26 39 31 25 27 12 31 12 32 3 25 39 27 25 39 27 8 12 26 27 1 25 27 28 37 26 32 27 30 6 25 26 28 39 11 10 22 2 12 19 11 0 9 29 9 3 20 39 3 9 17 10 9 12 30 12 23 39 11 29 9 28 2 10 9 17 29 17 28 39 39 28 2 18 17 39 0 10 11 18 22 10 17 39 39 18 29 18 32 17 11 39 22 21 18 10 39 18 11 41 39 21 30 10 9 21 17 31 33 17 12 40 30 18 2 32 3 17 10 18 17 28 18 9 30 12 11 2 30 4 28 39 39 39 19 7 20 24 9 39 23 39 40 27 0 19 7 9 1 19 12 24 25 12 23 26 23 39 23 12 19 17 12 14 23 22 39 10 2 23 20 23 20 39 39 39 25 12 1 12 33 17 39 23 9 20 39 20 11 20 19 39 12 39 23 39 37 23 24 10 12 1 25 19 0 29 39 2 12 37 12 30 27 20 27 5 41 20 27 2 24 42 10 9 11 24 23 27 23 9 40 20 2 34 11 24 18 2 24 17 36 39 2 20 20 23 12 24 27 2 11 7 39 0 19 17 27 39 20 2 41 2 30 9 39 16 27 0 20 3 8 29 23 7 0 24 10 8 19 10 23 20 3 27 0 37 20 23 7 28 12 2 34 11 39 10 7 29 24 23 11 36 9 39 2 0 17 3 39 18 37 39 5 20 12 2 20 17 19 12 7 24 17 24 12 18 23 26 26 20 12 18 39 34 35 12 11 36 14 36 34 35 35 12 29 20 34 30 36 12 36 35 34 35 12 34 20 39 42 35 35 35 10 35 34 12 39 39 35 29 35 32 34 36 34 20 35 12 34 12 39 36 35 4 12 13 36 36 36 10 36 0 12 12 36 35 39 9 36 39 36 35 39 34 12 34 39 35 35 36 35 29 0 20 35 39 36 39 35 16 12 19 34 26 35 34 35 39 34 39 39 39"
10,-0.5744,0.8600,"2 27 27 39 12 25 27 32 12 32 28 27 7 26 2 27 39 27 33 27 29 2 27 26 26 32 32 25 25 7 25 31 26 12 8 25 32 25 39 12 31 41 26 25 25 7 25 0 25 26 27 39 25 0 12 25 12 26 39 25 25 15 25 12 26 39 25 33 26 4 31 25 27 12 31 12 2 3 25 39 27 25 39 27 8 12 26 27 1 25 27 28 37 26 2 27 30 6 25 26 24 24 2 35 2 21 12 7 24 24 17 0 23 19 18 25 2 2 23 24 39 19 0 26 39 23 24 39 12 24 26 12 12 39 20 2 35 9 17 12 39 0 24 14 23 2 26 39 23 25 39 12 12 39 26 38 24 24 39 3 26 7 24 12 2 17 12 23 39 39 17 36 12 24 3 30 24 39 31 0 23 24 20 24 39 12 12 24 19 39 41 23 12 23 2 24 12 2 18 23 39 39 29 27 26 39 24 2 12 12 39 9 39 28 30 27 26 2 27 34 30 29 3 0 41 0 2 11 30 12 39 28 29 30 12 12 30 35 9 39 23 29 10 29 39 28 30 36 30 30 39 35 25 34 35 28 25 22 35 19 25 30 7 10 25 38 22 2 22 37 12 28 39 0 0 30 3 2 6 21 36 30 25 2 39 39 0 0 5 2 24 21 28 27 10 39 39 39 9 39 23 12 39 36 2 19 39 25 30 12 39 25 39 12 31 33 24 27 4 32 30 26 24 29 23 32 2 2 2 29 33 25 39 32 2 24 27 39 39 39 28 28 39 23 2 12 25 26 10 39 28 2 39 0 24 39 29 32 2 39 40 29 25 2 39 32 39 39 2 24 23 29 18 26 23 26 10 28 5 31 26 39 32 23 12 33 2 27 26 1 25 39 39 23 24 17 28 39 23 30 39 34 35 12 11 36 14 36 34 35 35 12 29 20 34 30 36 12 36 35 34 35 12 34 20 39 42 35 35 35 10 35 34 12 39 39 35 29 35 32 34 36 34 20 35 12 34 12 39 36 35 4 12 13 36 36 36 10 36 0 12 12 36 35 39 9 36 39 36 35 39 34 12 34 39 35 35 36 35 29 0 20 35 39 36 39 35 16 12 19 34 26 35 34 35 39 34 39 39 39"
