# seed=123456
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.75)
# mutation=p0=0.05,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.61
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.3424,0.8958,0.9073,0.1169,0.5504,"25 10 20 24 30 36 30 2 28 37 25 11 0 8 4 20 36 42 25 15 4 40 22 27 28 20 15 41 6 7 9 1 40 26 15 29 16 12 1 10 17 13 41 41 42 12 12 32 33 22 22 10 16 11 27 12 9 35 15 22 34 21 24 2 20 36 20 42 36 42 31 21 5 26 19 38 41 36 14 28 34 33 7 42 18 28 33 1 4 35 15 37 40 16 23 25 3 42 2 14 37 3 20 40 10 28 10 40 11 18 1 0 2 20 14 25 25 26 3 24 21 9 17 35 23 17 3 20 30 31 21 0 17 38 7 9 13 26 28 2 4 7 29 34 4 8 16 23 21 31 24 37 25 1 12 12 26 14 19 0 20 5 2 3 13 30 1 5 40 30 19 15 23 16 42 38 9 13 33 13 23 40 41 9 6 13 4 36 18 30 25 21 27 25 14 14 41 4 42 31 32 35 7 15 14 2 19 3 7 34 7 42 7 7 8 9 20 18 22 32 26 26 3 31 28 28 22 37 42 21 16 26 40 5 23 38 7 36 21 2 36 20 33 28 42 18 2 27 26 11 15 26 38 24 24 1 28 25 31 34 5 24 13 11 13 34 32 30 36 3 26 5 26 33 29 32 34 1 1 4 2 7 16 24 24 34 29 17 22 7 23 30 22 1 42 17 12 42 15 20 24 8 34 34 25 19 7 10 34 31 37 9 19 18 12 6 33 39 7 30 15 7 1 26 26 26 9 19 15 37 35 15 5 4 32 36 2 17 30 2 27 7 10 35 40 37 3 24 28 41 30 15 13 12 0 26 8 6 17 7 24 40 42 38 28 1 37 24 7 33 12 38 32 29 24 41 12 4 0 27 29 36 6 41 3 34 20 35 38 26 25 42 20 6 30 7 28 32 30 0 14 19 29 10 35 1 40 13 5 9 13 1 15 27 35 42 21 19 34 11 36 32 30 28 18 16 20 1 22 16 12 20 8 27 41 29 31 3 39 11 24 14 7 22 25 37 20 18 13 15 9 36 0 7 8 18 7 37 25 15 41 24 33 34 22 39 3 31 7 36 33 24 20 27 40 7 39 5 4 34 23 11 9 25 28 39 14 32 25 35 8 2 15 29 25 42 27 13 30 25"
1,2,-0.5323,0.8958,0.5960,-0.1370,0.2910,"8 15 14 18 15 18 18 15 14 15 17 18 40 14 15 17 25 18 7 17 27 17 14 7 8 37 22 32 15 14 18 21 15 7 22 15 15 15 14 19 25 18 15 14 21 7 14 15 15 8 8 14 18 14 17 21 21 3 32 14 14 8 15 14 7 7 21 14 14 15 14 25 15 17 7 8 18 15 4 8 26 21 26 18 15 15 15 15 14 25 17 15 14 26 7 17 8 18 26 18 21 20 21 10 5 31 42 11 32 41 32 4 12 29 28 22 5 24 4 4 4 24 5 32 5 26 17 37 13 16 4 22 4 19 11 8 34 5 14 29 31 39 4 40 34 4 5 4 31 19 20 40 4 3 4 5 33 30 5 4 4 0 36 31 6 37 5 28 40 4 37 5 34 4 4 4 19 4 0 32 15 37 4 5 3 5 11 5 38 35 15 35 34 18 19 23 8 18 35 3 28 28 28 33 4 4 20 5 29 36 4 25 19 1 15 20 28 35 31 34 5 29 30 20 5 29 4 34 36 29 30 34 34 36 35 22 38 19 4 5 20 36 5 29 30 19 29 19 4 30 30 29 19 38 30 29 14 4 33 30 20 3 20 34 19 20 28 5 5 5 42 19 20 19 5 5 5 2 20 35 30 29 5 4 5 35 5 29 20 34 29 5 4 30 4 28 40 10 4 28 21 21 21 21 21 22 22 36 22 11 35 21 21 34 22 21 35 8 10 11 31 21 20 11 21 27 30 21 22 36 9 16 42 28 12 9 22 22 22 31 21 17 21 35 16 18 34 9 36 34 23 35 9 10 39 27 22 36 0 21 21 22 36 21 22 36 11 11 19 21 36 29 35 9 32 21 11 36 35 21 11 33 21 11 34 36 22 34 27 35 34 21 35 14 35 23 18 21 21 22 40 10 40 35 24 40 1 5 10 40 36 40 6 29 16 40 9 22 9 7 35 39 40 32 40 9 11 40 28 35 5 40 40 40 40 40 40 40 13 5 22 40 5 9 37 40 40 28 40 21 40 26 40 18 17 39 40 14 22 19 19 39 25 8 40 5 4 42 39 40 40 41 36 31 19 18 8 22 40 40 0 8 40 32 9 40 25 40 12 3 30 36 40 40 34 13 13 40 3 31"
2,3,-0.5337,0.9211,0.6350,-0.1629,0.3036,"36 30 15 33 15 15 14 32 31 29 36 15 10 33 28 34 29 9 35 36 14 9 36 33 36 34 36 10 28 15 11 14 35 32 33 35 28 15 34 28 41 32 14 31 28 9 36 34 15 18 36 36 14 29 36 36 15 30 35 36 31 15 35 25 33 14 11 28 10 36 32 34 11 11 18 34 14 35 36 14 14 36 33 29 33 9 35 31 32 33 34 30 30 15 36 33 10 36 35 36 33 16 31 15 14 28 5 14 13 4 14 15 24 28 5 16 14 15 4 31 5 4 30 5 14 40 40 30 40 14 28 5 14 15 14 14 14 15 16 36 14 16 35 30 5 30 16 12 14 15 40 14 14 30 12 32 16 15 4 12 14 29 15 28 40 40 12 12 40 28 30 5 16 15 30 14 29 14 40 4 29 33 15 14 4 15 4 15 39 15 15 5 15 40 12 12 4 15 16 15 22 23 40 34 22 24 18 22 21 19 34 22 9 21 38 21 22 21 22 21 22 21 21 21 22 23 23 10 22 40 40 23 21 22 24 23 23 40 40 22 24 3 40 21 40 23 23 19 34 18 35 18 23 40 13 23 21 34 22 24 24 22 10 9 11 24 21 21 24 36 21 11 13 22 24 21 22 18 40 0 21 21 40 21 23 22 40 40 21 40 21 40 24 24 24 40 40 40 24 40 1 28 11 28 32 29 23 13 11 28 28 36 30 28 23 28 28 30 28 28 28 30 23 11 32 28 30 33 35 35 29 42 9 28 29 23 28 30 30 11 42 11 30 30 30 36 30 23 29 10 28 28 32 28 9 23 28 29 33 29 9 24 28 24 10 23 30 28 34 30 23 29 32 23 31 11 33 23 28 28 29 30 30 9 30 30 30 29 28 23 16 29 29 33 28 9 28 28 28 28 5 4 26 31 1 27 4 29 5 26 33 27 25 26 1 29 38 13 25 3 0 27 27 26 1 6 26 0 27 25 33 27 27 26 1 3 32 5 31 26 5 27 19 27 5 33 38 25 31 25 0 27 4 20 27 4 38 27 38 29 26 26 32 27 13 38 32 14 29 25 13 5 29 4 0 5 1 27 25 4 4 31 5 4 4 25 4 0 26 5 26 32 5 4 38 30 3 25 29 5"
3,4,-0.5507,0.8980,0.5692,-0.1454,0.3335,"38 22 22 21 21 18 22 38 29 15 21 30 7 30 22 38 22 18 13 22 22 1 22 13 22 21 13 13 22 38 18 28 28 30 22 29 28 22 8 30 22 13 22 14 21 0 21 21 38 8 3 21 1 21 22 21 21 22 21 22 1 22 22 22 22 7 21 22 29 13 29 22 22 22 21 30 28 15 3 38 22 21 22 3 15 22 22 15 21 22 21 29 21 13 22 7 22 3 21 8 26 25 27 38 31 33 40 1 38 36 40 26 31 0 0 7 40 40 40 38 33 27 25 40 25 40 40 25 0 38 40 26 38 0 40 40 26 31 1 32 40 31 40 1 26 33 33 27 40 40 31 31 1 33 27 9 26 12 40 26 33 37 26 27 27 22 40 27 27 40 33 9 1 25 40 40 27 32 27 26 26 26 25 40 32 31 33 25 40 25 40 26 0 3 40 27 0 32 40 40 13 28 28 13 29 30 20 5 23 38 30 24 19 29 13 23 3 29 28 34 29 29 30 23 5 24 29 30 36 0 30 34 23 29 13 22 28 19 4 0 23 30 23 23 30 19 24 24 1 30 30 29 29 29 30 28 23 29 33 30 20 3 20 34 29 1 28 13 5 24 42 19 20 28 5 24 23 2 30 35 30 0 28 4 29 35 5 29 20 28 29 30 30 28 28 28 24 29 4 23 9 21 10 9 21 25 22 36 11 11 9 1 13 1 1 21 1 8 1 11 31 27 20 25 9 10 0 10 38 1 13 13 26 25 12 9 11 9 26 11 21 11 13 35 16 18 0 9 10 10 27 25 9 10 27 3 11 3 0 21 11 13 9 0 38 38 13 1 11 21 36 11 11 38 38 21 13 25 10 38 0 11 25 9 1 1 22 27 3 35 9 21 35 25 3 25 9 38 3 22 11 20 26 35 35 35 10 34 20 10 36 11 35 35 36 40 34 35 27 26 34 25 34 25 27 9 26 34 36 9 20 34 36 22 35 40 20 25 19 36 26 11 35 34 35 34 34 25 40 36 35 35 36 19 34 20 40 22 26 34 19 26 20 26 20 26 35 34 35 27 19 35 27 34 35 21 26 35 22 21 27 20 26 36 34 40 36 35 26 34 30 34 10 36 22 35 25 27 3 35"
4,5,-0.5820,0.9535,0.6090,-0.1580,0.3158,"39 0 33 1 28 0 13 7 13 13 28 31 4 38 32 35 0 13 13 19 8 32 20 33 33 5 13 29 4 8 38 34 35 1 38 31 38 35 34 31 36 1 8 29 38 32 13 4 39 34 1 35 13 8 35 7 28 0 29 29 28 28 34 35 29 13 35 36 28 13 1 36 29 28 30 31 32 13 31 30 30 33 31 34 30 33 31 0 32 28 8 33 5 0 31 31 35 33 36 33 32 31 26 12 25 20 26 26 12 36 19 19 25 32 20 33 33 3 27 31 31 26 32 23 32 26 32 25 32 27 20 16 16 32 19 12 20 19 33 19 31 16 31 19 26 20 26 16 23 33 33 21 20 19 20 19 20 19 20 25 24 16 26 19 27 26 23 12 27 33 25 12 24 27 12 25 27 31 12 20 27 31 33 33 32 19 32 0 32 31 12 31 33 33 24 26 25 16 32 33 23 22 21 22 21 39 21 22 33 23 23 39 24 23 24 24 39 39 22 23 39 21 22 23 23 23 32 22 24 24 21 33 39 22 22 21 22 34 24 24 21 23 39 21 39 21 24 21 39 22 39 22 22 22 23 21 21 23 33 22 22 39 22 39 21 39 39 22 22 39 24 23 24 21 24 39 21 39 23 34 23 36 22 24 32 21 39 22 23 21 39 9 21 22 39 21 21 39 21 23 0 41 3 0 41 3 23 13 33 0 5 3 13 41 38 13 41 0 4 23 1 41 13 38 3 0 0 13 38 38 5 13 4 0 1 41 41 1 5 1 3 1 5 13 4 1 0 0 24 3 23 1 1 41 0 23 41 41 38 1 0 0 38 25 3 41 23 23 24 3 22 13 24 38 0 4 4 41 31 38 38 41 23 0 23 0 38 41 23 3 3 4 41 21 5 1 13 24 41 41 12 16 35 5 12 12 12 34 12 35 11 11 12 16 19 12 12 12 34 35 12 36 5 10 19 1 16 36 33 4 10 20 12 16 10 34 35 20 16 19 11 16 11 16 20 35 16 35 19 20 20 16 12 12 12 19 4 35 4 35 38 4 12 34 16 12 12 19 9 12 16 20 16 35 16 35 12 12 5 9 11 9 20 19 12 37 5 4 34 20 12 12 16 20 36 16 36 34 20 36"
5,5,-0.5820,0.9535,0.6090,-0.1666,0.2913,"39 0 33 1 28 0 13 7 13 13 28 31 4 38 32 35 0 13 13 19 8 32 20 33 33 5 13 29 4 8 38 34 35 1 38 31 38 35 34 31 36 1 8 29 38 32 13 4 39 34 1 35 13 8 35 7 28 0 29 29 28 28 34 35 29 13 35 36 28 13 1 36 29 28 30 31 32 13 31 30 30 33 31 34 30 33 31 0 32 28 8 33 5 0 31 31 35 33 36 33 32 31 26 12 25 20 26 26 12 36 19 19 25 32 20 33 33 3 27 31 31 26 32 23 32 26 32 25 32 27 20 16 16 32 19 12 20 19 33 19 31 16 31 19 26 20 26 16 23 33 33 21 20 19 20 19 20 19 20 25 24 16 26 19 27 26 23 12 27 33 25 12 24 27 12 25 27 31 12 20 27 31 33 33 32 19 32 0 32 31 12 31 33 33 24 26 25 16 32 33 23 22 21 22 21 39 21 22 33 23 23 39 24 23 24 24 39 39 22 23 39 21 22 23 23 23 32 22 24 24 21 33 39 22 22 21 22 34 24 24 21 23 39 21 39 21 24 21 39 22 39 22 22 22 23 21 21 23 33 22 22 39 22 39 21 39 39 22 22 39 24 23 24 21 24 39 21 39 23 34 23 36 22 24 32 21 39 22 23 21 39 9 21 22 39 21 21 39 21 23 0 41 3 0 41 3 23 13 33 0 5 3 13 41 38 13 41 0 4 23 1 41 13 38 3 0 0 13 38 38 5 13 4 0 1 41 41 1 5 1 3 1 5 13 4 1 0 0 24 3 23 1 1 41 0 23 41 41 38 1 0 0 38 25 3 41 23 23 24 3 22 13 24 38 0 4 4 41 31 38 38 41 23 0 23 0 38 41 23 3 3 4 41 21 5 1 13 24 41 41 12 16 35 5 12 12 12 34 12 35 11 11 12 16 19 12 12 12 34 35 12 36 5 10 19 1 16 36 33 4 10 20 12 16 10 34 35 20 16 19 11 16 11 16 20 35 16 35 19 20 20 16 12 12 12 19 4 35 4 35 38 4 12 34 16 12 12 19 9 12 16 20 16 35 16 35 12 12 5 9 11 9 20 19 12 37 5 4 34 20 12 12 16 20 36 16 36 34 20 36"
6,5,-0.5820,0.9535,0.6090,-0.1710,0.3070,"39 0 33 1 28 0 13 7 13 13 28 31 4 38 32 35 0 13 13 19 8 32 20 33 33 5 13 29 4 8 38 34 35 1 38 31 38 35 34 31 36 1 8 29 38 32 13 4 39 34 1 35 13 8 35 7 28 0 29 29 28 28 34 35 29 13 35 36 28 13 1 36 29 28 30 31 32 13 31 30 30 33 31 34 30 33 31 0 32 28 8 33 5 0 31 31 35 33 36 33 32 31 26 12 25 20 26 26 12 36 19 19 25 32 20 33 33 3 27 31 31 26 32 23 32 26 32 25 32 27 20 16 16 32 19 12 20 19 33 19 31 16 31 19 26 20 26 16 23 33 33 21 20 19 20 19 20 19 20 25 24 16 26 19 27 26 23 12 27 33 25 12 24 27 12 25 27 31 12 20 27 31 33 33 32 19 32 0 32 31 12 31 33 33 24 26 25 16 32 33 23 22 21 22 21 39 21 22 33 23 23 39 24 23 24 24 39 39 22 23 39 21 22 23 23 23 32 22 24 24 21 33 39 22 22 21 22 34 24 24 21 23 39 21 39 21 24 21 39 22 39 22 22 22 23 21 21 23 33 22 22 39 22 39 21 39 39 22 22 39 24 23 24 21 24 39 21 39 23 34 23 36 22 24 32 21 39 22 23 21 39 9 21 22 39 21 21 39 21 23 0 41 3 0 41 3 23 13 33 0 5 3 13 41 38 13 41 0 4 23 1 41 13 38 3 0 0 13 38 38 5 13 4 0 1 41 41 1 5 1 3 1 5 13 4 1 0 0 24 3 23 1 1 41 0 23 41 41 38 1 0 0 38 25 3 41 23 23 24 3 22 13 24 38 0 4 4 41 31 38 38 41 23 0 23 0 38 41 23 3 3 4 41 21 5 1 13 24 41 41 12 16 35 5 12 12 12 34 12 35 11 11 12 16 19 12 12 12 34 35 12 36 5 10 19 1 16 36 33 4 10 20 12 16 10 34 35 20 16 19 11 16 11 16 20 35 16 35 19 20 20 16 12 12 12 19 4 35 4 35 38 4 12 34 16 12 12 19 9 12 16 20 16 35 16 35 12 12 5 9 11 9 20 19 12 37 5 4 34 20 12 12 16 20 36 16 36 34 20 36"
7,6,-0.6091,0.9773,0.6036,-0.1851,0.2767,"29 39 30 39 28 34 12 39 39 39 23 39 12 28 39 16 23 16 28 39 16 39 23 30 39 28 16 12 36 12 29 4 24 24 39 39 30 39 28 24 30 29 23 24 12 30 16 29 29 30 39 30 39 24 39 24 23 39 39 16 12 16 29 39 39 12 30 39 16 39 39 29 29 30 39 39 39 39 12 30 25 16 23 39 27 28 16 39 39 39 39 30 39 30 28 30 23 39 30 39 28 23 5 35 34 34 34 35 34 29 23 24 4 36 29 4 34 29 34 24 28 35 35 35 28 30 36 23 35 34 35 24 35 30 35 5 35 36 35 13 35 34 34 30 36 28 34 22 30 29 36 34 35 11 28 34 23 34 28 36 30 29 28 36 35 35 36 5 30 5 35 35 34 35 23 36 30 30 5 30 4 28 29 35 28 29 30 36 10 28 29 30 34 28 35 34 4 28 29 35 27 33 14 15 15 14 15 19 35 27 0 15 27 11 15 33 31 14 11 9 14 15 34 14 15 38 0 31 14 11 32 10 14 34 3 32 33 10 10 31 9 14 32 14 36 15 26 20 32 33 25 26 9 31 10 33 10 15 31 11 38 33 15 14 9 34 11 14 19 15 32 19 13 14 32 11 11 15 10 14 15 25 20 15 32 20 14 14 15 10 14 20 33 32 9 15 11 9 11 14 34 35 28 30 33 34 30 37 36 30 29 32 36 28 29 36 2 32 35 28 6 28 32 37 36 35 34 36 30 36 35 34 35 32 34 34 8 35 34 30 35 32 36 31 29 29 2 2 35 35 36 34 35 32 34 31 37 33 30 36 33 2 28 6 31 28 34 36 36 34 34 31 32 36 36 6 36 29 35 2 28 30 35 2 34 32 35 6 36 36 30 35 35 28 28 9 37 35 29 2 9 17 18 18 16 15 12 16 10 12 12 12 14 17 18 8 11 16 23 11 18 0 18 16 11 16 24 17 17 17 16 16 23 10 17 18 18 24 17 17 23 9 12 12 11 17 16 23 18 16 17 24 12 16 18 23 12 12 9 10 18 11 14 17 17 16 16 9 23 42 16 16 9 12 17 14 18 23 16 24 12 12 10 27 18 18 18 18 18 11 24 10 17 17 17 18 16 25 12 18"
8,7,-0.6514,1.0000,0.5715,-0.1781,0.3273,"39 39 29 39 7 28 29 33 31 10 0 33 39 32 31 22 7 7 16 7 39 9 28 39 30 30 12 39 39 30 39 21 39 33 32 4 31 13 39 39 39 30 22 4 39 33 39 33 10 7 33 33 31 39 3 39 39 33 22 28 39 11 7 32 30 39 33 39 0 39 39 39 39 33 8 28 39 29 28 7 31 39 7 39 39 39 33 7 39 39 33 28 21 39 33 32 33 30 33 7 10 26 20 7 8 20 25 20 20 19 19 11 19 19 27 27 10 8 20 19 7 9 20 9 19 8 20 8 38 27 10 19 26 10 3 9 11 10 8 11 20 19 38 19 0 20 8 7 19 7 8 8 9 19 20 19 19 9 30 11 19 10 25 9 8 8 19 19 20 7 27 19 7 19 9 10 9 19 0 10 8 10 8 8 8 13 8 1 19 19 11 20 26 19 1 7 9 10 8 11 7 0 7 21 3 33 26 31 7 25 34 15 39 8 32 3 27 31 26 31 8 39 31 25 35 39 39 33 39 31 39 36 33 32 26 31 33 39 7 19 32 7 31 32 8 31 7 33 39 27 8 8 8 31 39 7 27 33 36 7 8 39 39 33 25 39 32 7 34 31 32 39 32 33 8 21 31 7 39 27 8 22 32 8 31 7 32 32 39 7 7 39 8 39 39 3 33 39 8 32 33 40 3 32 40 32 14 28 40 14 33 29 14 31 10 13 13 33 14 31 30 32 40 14 29 32 40 40 29 32 30 32 30 14 32 9 40 32 40 33 33 31 31 40 31 33 14 28 13 31 40 31 14 29 30 33 33 30 40 40 29 29 33 30 32 40 31 15 31 40 30 33 32 14 29 14 11 1 40 40 40 14 32 32 40 32 29 33 15 32 32 33 32 11 1 31 33 30 32 40 10 11 36 10 10 36 11 20 12 36 11 9 35 20 11 20 19 17 34 35 17 9 35 10 11 9 17 9 11 12 34 36 10 20 20 20 36 18 9 18 11 35 36 10 10 35 16 34 34 19 11 35 19 12 10 36 9 9 10 34 11 35 10 11 17 10 12 18 17 17 16 19 19 36 9 10 34 35 34 10 12 34 34 9 34 35 36 34 36 9 9 10 18 16 36 36 34 9 34 19"
9,7,-0.6514,1.0000,0.5715,-0.1743,0.2563,"39 39 29 39 7 28 29 33 31 10 0 33 39 32 31 22 7 7 16 7 39 9 28 39 30 30 12 39 39 30 39 21 39 33 32 4 31 13 39 39 39 30 22 4 39 33 39 33 10 7 33 33 31 39 3 39 39 33 22 28 39 11 7 32 30 39 33 39 0 39 39 39 39 33 8 28 39 29 28 7 31 39 7 39 39 39 33 7 39 39 33 28 21 39 33 32 33 30 33 7 10 26 20 7 8 20 25 20 20 19 19 11 19 19 27 27 10 8 20 19 7 9 20 9 19 8 20 8 38 27 10 19 26 10 3 9 11 10 8 11 20 19 38 19 0 20 8 7 19 7 8 8 9 19 20 19 19 9 30 11 19 10 25 9 8 8 19 19 20 7 27 19 7 19 9 10 9 19 0 10 8 10 8 8 8 13 8 1 19 19 11 20 26 19 1 7 9 10 8 11 7 0 7 21 3 33 26 31 7 25 34 15 39 8 32 3 27 31 26 31 8 39 31 25 35 39 39 33 39 31 39 36 33 32 26 31 33 39 7 19 32 7 31 32 8 31 7 33 39 27 8 8 8 31 39 7 27 33 36 7 8 39 39 33 25 39 32 7 34 31 32 39 32 33 8 21 31 7 39 27 8 22 32 8 31 7 32 32 39 7 7 39 8 39 39 3 33 39 8 32 33 40 3 32 40 32 14 28 40 14 33 29 14 31 10 13 13 33 14 31 30 32 40 14 29 32 40 40 29 32 30 32 30 14 32 9 40 32 40 33 33 31 31 40 31 33 14 28 13 31 40 31 14 29 30 33 33 30 40 40 29 29 33 30 32 40 31 15 31 40 30 33 32 14 29 14 11 1 40 40 40 14 32 32 40 32 29 33 15 32 32 33 32 11 1 31 33 30 32 40 10 11 36 10 10 36 11 20 12 36 11 9 35 20 11 20 19 17 34 35 17 9 35 10 11 9 17 9 11 12 34 36 10 20 20 20 36 18 9 18 11 35 36 10 10 35 16 34 34 19 11 35 19 12 10 36 9 9 10 34 11 35 10 11 17 10 12 18 17 17 16 19 19 36 9 10 34 35 34 10 12 34 34 9 34 35 36 34 36 9 9 10 18 16 36 36 34 9 34 19"
