rank,fitness,winrate,genome
1,-0.8880,0.9778,"7 7 7 8 7 7 7 7 8 8 8 8 8 7 8 8 8 8 8 8 8 8 8 7 7 7 8 8 8 7 7 7 8 8 8 8 7 7 7 7 7 8 8 7 8 8 7 8 7 7 8 7 7 8 8 8 7 8 7 8 8 7 8 8 8 8 8 7 8 8 8 7 7 7 7 8 8 8 7 7 8 8 8 8 8 8 8 8 8 7 7 8 8 8 7 7 8 7 8 8 31 32 31 33 32 12 31 31 31 31 32 31 33 39 31 32 31 12 32 32 33 32 33 31 32 32 33 31 32 32 33 32 33 33 33 33 31 32 12 32 32 32 32 12 33 31 31 32 31 33 12 33 33 33 33 39 31 31 12 32 33 33 33 33 33 32 33 32 32 33 32 33 31 33 31 39 39 32 33 32 31 31 39 33 31 31 31 33 31 33 31 33 32 32 31 32 32 32 33 12 12 20 20 19 20 20 19 19 20 20 19 19 19 20 20 20 19 20 20 20 39 12 20 20 12 19 19 19 39 12 19 19 20 19 19 20 19 20 19 19 20 19 12 20 19 39 19 20 12 20 20 19 19 12 20 19 19 19 20 39 19 12 19 20 19 19 19 12 19 19 19 12 19 20 20 19 39 20 20 39 12 20 19 19 19 20 20 20 20 20 20 19 19 20 19 19 20 19 20 19 32 32 31 31 31 32 33 39 31 32 31 39 32 40 32 33 33 32 39 33 32 32 32 33 32 31 32 31 32 32 31 33 33 32 32 12 12 31 33 31 39 31 32 31 32 39 31 31 31 32 32 32 32 31 33 39 33 31 33 32 32 32 39 32 33 31 12 33 31 33 31 33 33 33 32 32 32 32 31 33 33 31 32 39 32 33 33 31 31 33 33 31 31 39 31 32 33 33 32 33 31 32 32 31 32 32 33 32 32 31 32 31 32 31 31 32 32 39 33 33 33 32 32 32 33 32 31 32 39 32 31 32 33 31 33 31 12 33 32 31 32 31 32 32 32 31 33 32 32 32 31 31 33 39 31 33 31 31 33 32 31 31 31 33 32 12 31 31 32 32 33 32 32 32 32 39 33 32 33 31 32 31 33 32 32 39 32 33 39 31 32 33 33 39 33 33 12 33 12 33"
2,-0.8702,1.0000,"7 7 7 7 8 7 8 8 7 8 8 7 7 7 8 7 8 8 8 8 7 7 8 7 7 8 8 7 7 8 7 8 8 8 7 7 7 8 7 7 8 7 8 8 7 8 8 8 8 8 8 8 7 7 7 7 7 8 7 7 7 8 8 8 7 7 7 8 8 8 7 8 7 8 8 7 7 7 7 8 7 8 7 8 7 8 8 8 8 7 7 8 7 7 7 7 7 7 7 8 8 7 7 8 8 7 8 8 8 8 7 7 8 7 7 7 8 7 7 7 7 8 7 8 7 7 7 8 7 8 7 8 8 7 7 8 8 8 8 8 8 8 8 8 8 8 7 8 7 8 8 8 8 7 7 7 7 7 7 8 7 7 7 7 7 7 7 7 8 8 8 8 7 8 8 8 7 7 7 7 7 8 8 7 7 7 7 8 7 8 7 7 7 8 8 8 8 7 7 8 35 35 34 35 35 35 35 34 35 34 34 34 34 35 35 36 36 34 35 35 36 39 36 34 36 35 34 35 36 35 34 35 36 36 34 36 12 36 35 35 36 36 12 34 35 39 36 34 34 39 36 34 35 39 34 34 34 34 35 34 36 34 35 12 36 36 36 35 35 35 36 34 34 12 34 36 36 36 35 12 35 35 39 36 36 35 35 35 36 35 34 36 35 35 36 34 36 12 35 36 18 18 17 39 18 18 18 18 17 18 18 18 39 17 18 17 18 18 18 17 12 17 18 18 18 18 18 18 18 18 39 17 17 18 18 39 18 17 18 12 17 17 12 17 17 17 12 18 18 18 18 39 18 17 17 17 17 12 17 18 39 17 18 18 12 18 18 18 18 17 17 17 17 17 18 12 18 17 18 18 17 18 17 17 18 17 18 18 18 39 18 17 18 12 18 17 18 18 18 18 17 17 12 0 18 17 17 17 17 17 3 12 18 17 17 18 18 17 18 0 17 17 0 12 18 3 17 17 39 0 12 0 39 18 17 17 0 39 0 18 18 39 18 18 0 12 18 17 18 17 18 39 3 18 18 0 17 18 18 3 18 3 17 0 18 18 18 17 18 39 18 17 18 18 3 17 18 39 18 18 0 18 17 41 3 0 18 12 0 18 17 18 17 17 39 18 39 17 17 18"
3,-0.8508,0.9375,"7 7 7 8 7 7 7 7 8 7 8 8 8 8 8 8 7 8 7 7 7 7 8 8 8 8 8 7 7 7 8 7 8 7 8 8 7 7 8 8 7 7 7 8 7 8 8 7 8 7 7 7 8 8 7 7 8 8 7 8 7 8 8 7 7 7 7 8 8 7 8 8 8 8 7 8 7 8 8 7 7 7 8 8 8 8 8 7 7 8 7 7 7 8 8 7 8 7 7 8 24 23 23 24 12 24 12 24 24 24 24 12 39 23 23 23 24 23 23 23 24 12 23 23 23 23 24 23 24 23 23 24 12 23 39 24 23 23 23 23 23 24 24 23 23 24 23 23 24 24 23 39 23 24 23 12 24 23 23 23 24 23 24 24 12 24 24 12 24 23 24 39 23 23 23 23 24 24 24 23 12 12 23 12 23 23 23 24 23 12 24 23 24 23 24 24 24 39 23 24 39 11 9 11 9 9 10 39 10 39 11 2 9 10 2 11 11 10 39 10 10 11 10 11 9 10 10 2 11 10 10 11 10 9 2 9 2 9 11 39 10 9 9 10 10 10 11 11 10 11 9 10 10 10 11 9 11 11 9 9 10 9 11 11 9 10 9 10 9 11 11 39 10 11 11 10 10 10 10 10 9 11 9 2 11 10 2 9 11 9 39 11 9 9 9 10 10 11 10 9 12 24 24 24 23 24 24 23 23 24 24 24 23 23 23 23 24 24 24 12 23 24 23 23 39 24 39 23 23 12 24 23 24 12 24 12 23 12 24 23 23 23 24 24 24 39 23 23 24 24 23 23 23 24 23 12 24 23 24 23 24 24 24 23 23 24 23 23 39 23 23 24 39 24 24 23 24 23 23 39 23 23 24 23 24 23 39 39 24 23 23 24 24 39 24 12 23 24 24 23 23 23 39 24 24 23 24 24 23 24 24 12 23 24 23 23 23 24 24 23 23 24 23 24 39 23 24 23 24 39 23 23 12 24 23 24 23 23 24 24 12 23 24 24 23 23 24 23 24 24 23 39 12 23 23 24 23 24 23 24 23 24 23 24 24 24 24 12 24 24 24 23 23 24 39 23 24 23 39 39 23 23 12 24 24 23 24 24 24 23 23 23 23 23 39 24 24 12 23 24"
4,-0.7551,1.0000,"7 7 7 8 7 7 7 7 8 7 8 2 8 8 8 8 7 8 7 7 7 2 8 8 8 8 8 7 7 7 8 7 8 7 8 8 7 7 8 8 7 7 7 8 7 8 8 2 8 7 2 7 8 8 7 7 8 8 7 8 7 8 8 7 7 5 7 8 8 7 8 8 8 8 7 8 2 8 8 7 7 2 8 8 8 8 8 7 7 8 7 7 7 8 2 7 8 7 7 2 8 8 8 7 7 8 8 7 7 8 7 8 7 8 8 7 7 8 8 7 8 7 7 7 8 7 7 7 7 7 7 7 8 8 7 7 8 8 8 7 8 7 7 7 8 7 8 8 7 8 7 8 8 8 7 8 7 7 8 8 8 8 7 8 8 7 7 7 8 7 8 7 8 8 7 7 7 8 8 7 8 7 7 8 7 8 8 7 7 8 8 7 7 8 7 7 8 7 7 8 7 7 7 8 7 7 8 8 7 7 8 8 7 7 7 7 7 8 8 8 7 7 7 8 8 8 7 7 8 8 8 7 7 8 8 7 8 7 8 8 8 8 8 8 7 8 7 8 7 7 8 8 7 8 7 7 7 8 8 8 7 8 8 7 8 8 7 7 7 7 8 8 7 7 7 7 8 8 7 7 8 8 8 7 7 7 8 8 8 7 8 8 8 7 8 7 8 7 8 7 12 24 24 24 23 12 24 23 23 24 24 24 23 23 23 23 24 24 24 12 12 24 23 23 39 24 39 23 12 12 24 23 24 12 24 12 23 12 24 23 23 23 24 24 24 39 23 23 24 24 23 12 23 24 23 12 24 23 24 23 24 24 24 23 12 24 23 23 39 23 23 24 12 24 24 23 24 23 23 39 23 23 1 23 24 23 15 39 24 23 23 24 24 39 24 12 12 24 24 23 33 32 33 32 32 33 32 31 32 32 12 31 33 33 32 31 31 32 31 33 31 32 32 31 33 12 31 31 32 31 32 33 32 31 12 32 31 33 32 32 32 32 39 31 31 32 33 31 33 33 12 33 33 31 33 33 31 33 12 33 32 31 32 31 33 32 33 31 31 32 32 39 31 32 39 32 32 32 33 31 12 31 31 31 33 31 31 31 33 33 31 31 31 32 33 33 31 32 33 31"
5,-0.6193,0.8537,"12 7 7 8 12 7 12 15 8 7 8 8 12 8 8 8 7 8 7 7 7 7 8 8 8 8 8 7 7 7 8 7 12 12 12 8 7 12 8 8 7 7 12 8 7 12 12 7 8 7 7 12 8 8 7 7 8 8 12 8 7 8 8 7 7 7 39 8 8 7 8 8 8 8 7 8 7 8 8 7 12 7 8 8 8 8 12 12 7 12 12 12 12 8 8 7 8 7 7 8 8 7 7 8 8 7 8 8 8 8 7 7 8 7 7 7 8 7 7 7 7 8 7 8 7 7 7 8 7 8 7 8 8 7 7 8 8 8 8 8 8 8 8 8 8 8 7 8 7 8 8 8 8 7 7 7 7 7 7 8 7 7 7 7 7 7 7 7 8 8 8 8 7 8 8 8 7 7 7 7 7 8 8 7 7 7 7 8 7 8 7 7 7 8 8 8 8 7 7 8 39 11 9 11 9 9 10 39 10 39 11 2 9 10 2 11 11 10 39 10 10 11 10 11 9 10 10 2 11 10 10 11 10 9 2 9 2 9 11 39 10 9 9 10 10 10 11 11 10 11 9 10 10 10 11 9 11 11 9 9 10 9 11 11 9 10 9 10 9 11 11 39 10 11 11 10 10 10 10 10 9 11 9 2 11 10 2 9 11 9 39 11 9 9 9 10 10 11 10 9 18 18 17 39 16 18 18 18 17 18 18 18 39 17 18 17 18 18 18 17 12 17 18 18 18 18 18 18 18 18 39 17 17 18 18 39 18 17 18 12 17 17 12 1 17 17 12 18 18 18 18 39 18 17 17 17 17 12 17 18 39 17 18 18 12 18 18 18 18 17 17 17 17 17 18 12 18 17 18 18 17 18 17 17 18 17 18 18 18 39 18 17 18 12 18 17 18 18 18 18 31 31 31 32 32 31 32 31 32 31 32 32 32 32 31 31 33 33 39 32 33 39 32 33 33 33 33 32 33 33 32 32 33 32 31 33 33 31 31 32 12 32 33 32 12 32 33 32 31 31 31 31 31 12 32 33 32 33 33 31 31 32 31 32 39 32 31 33 31 31 32 12 31 31 31 31 12 31 12 31 33 33 32 33 33 32 39 32 31 33 32 33 31 31 39 32 31 31 33 31"
6,-0.6056,0.8293,"0 7 7 8 7 7 7 3 8 7 8 8 8 3 8 8 7 8 7 7 0 7 8 3 8 8 8 0 0 3 41 7 8 7 8 8 7 0 8 8 7 3 0 8 3 8 8 7 8 7 7 7 2 0 7 7 8 8 7 8 7 8 16 7 7 7 7 8 8 7 3 8 0 8 7 8 7 8 8 7 0 7 8 8 8 8 8 7 7 8 7 7 7 8 8 7 8 7 7 8 8 7 7 8 8 7 8 8 8 8 7 7 8 7 7 7 8 7 7 7 7 8 7 8 7 7 7 8 7 8 7 8 8 7 7 8 8 8 8 8 8 8 8 8 8 8 7 8 7 8 8 8 8 7 7 7 7 7 7 8 7 7 7 7 7 7 7 7 8 8 8 8 7 8 8 8 7 7 7 7 7 8 8 7 7 7 7 8 7 8 7 7 7 8 8 8 8 7 7 8 35 35 34 35 35 35 35 34 35 34 34 34 34 35 35 36 36 34 35 35 36 39 36 34 36 35 34 35 36 35 34 35 36 36 34 36 12 36 35 35 36 36 12 34 35 39 36 34 34 39 36 34 35 39 34 34 34 34 35 34 36 34 35 12 36 36 36 35 35 35 36 34 34 12 34 36 36 36 35 12 35 35 39 36 36 35 35 35 36 35 34 36 35 35 36 34 36 12 35 36 35 39 34 34 34 34 34 34 34 34 35 36 36 34 39 36 36 36 35 35 34 35 34 36 35 35 39 34 35 36 35 36 12 36 36 12 34 39 34 35 36 35 36 34 12 36 34 34 34 36 39 35 34 34 34 34 35 35 36 36 34 12 39 36 12 34 39 34 39 36 34 34 35 12 39 36 12 35 35 34 36 34 35 36 36 35 36 34 12 36 34 39 36 35 34 35 34 36 34 39 12 33 33 31 12 33 12 12 32 31 31 33 31 33 31 33 32 12 33 39 31 31 32 33 31 33 32 33 32 33 33 31 31 39 31 31 31 33 33 32 31 39 33 31 31 31 32 31 32 31 31 32 31 33 31 12 32 31 31 31 33 33 33 31 33 33 32 32 31 31 31 39 33 31 32 33 39 32 12 33 31 32 31 32 32 32 33 31 31 31 33 33 31 33 12 33 32 31 33 12"
7,-0.6044,0.8250,"7 7 7 7 8 7 8 8 7 8 8 2 7 7 2 7 8 8 8 8 7 7 8 7 7 8 8 7 7 8 7 2 2 8 7 7 7 8 7 7 8 7 8 8 7 8 4 8 8 8 8 8 2 7 2 2 2 8 7 7 7 8 8 8 2 7 7 8 8 8 7 2 7 8 2 2 7 7 7 8 7 8 7 2 7 8 2 8 8 7 7 8 7 7 7 2 7 7 7 8 8 7 7 8 8 7 8 8 8 8 7 7 8 7 7 7 8 7 7 7 7 8 7 8 7 7 7 8 7 8 7 8 8 7 7 8 8 8 8 8 8 8 8 8 8 8 7 8 7 8 8 8 8 7 7 7 7 7 7 8 7 7 7 7 7 7 7 7 8 8 8 8 7 8 8 8 7 7 7 7 7 8 8 7 7 7 7 8 7 8 7 7 7 8 8 8 8 7 7 8 35 35 34 35 35 35 35 34 35 34 34 34 34 35 35 36 36 34 35 35 36 39 36 34 36 35 34 35 36 35 34 35 36 36 34 36 12 36 35 35 36 36 12 34 35 39 36 34 34 39 36 34 35 39 34 34 34 34 35 34 36 34 35 12 36 36 36 35 35 35 36 34 34 12 34 36 36 36 35 12 35 35 39 36 36 35 35 35 36 35 34 36 35 35 36 34 36 12 35 36 31 32 39 31 32 12 33 31 12 32 31 33 33 33 39 32 31 12 12 32 32 31 32 39 33 32 32 33 33 31 31 32 31 33 33 32 31 31 32 32 31 32 32 33 33 33 32 31 39 33 12 12 31 32 31 31 32 31 33 39 31 32 33 31 31 39 32 33 39 31 31 31 31 32 32 32 32 32 32 31 32 33 33 33 32 12 31 31 32 31 33 39 32 33 32 31 32 33 32 31 35 36 36 34 34 35 36 36 12 36 35 34 36 39 36 34 36 34 34 39 36 35 36 34 34 36 35 34 34 12 34 35 39 34 35 35 35 36 36 34 12 35 34 34 35 36 35 34 36 36 36 34 35 36 34 35 36 35 35 34 34 34 36 35 35 34 36 36 35 39 36 34 12 35 34 34 34 34 36 34 12 34 35 39 34 35 35 34 34 36 39 34 12 36 36 36 35 34 36 39"
8,-0.5932,0.8261,"0 7 7 8 7 7 7 3 8 7 8 8 8 3 8 8 7 8 7 7 0 7 8 3 8 8 8 0 0 3 41 7 8 7 8 8 7 0 8 8 7 3 0 8 3 8 8 7 8 7 7 7 2 0 7 7 8 8 7 8 7 8 8 7 7 7 7 8 8 7 3 8 0 8 7 8 7 8 8 7 0 7 8 8 8 8 8 7 7 8 7 7 7 8 8 7 8 7 7 8 8 7 8 7 8 7 7 7 7 7 7 8 7 8 7 8 8 7 7 8 7 8 8 8 7 8 7 7 7 8 8 7 7 7 8 7 7 8 8 8 7 8 8 8 8 8 7 8 8 7 8 8 7 8 8 8 7 8 8 7 7 7 8 8 7 8 7 8 8 8 7 8 7 8 8 7 7 8 7 7 7 7 8 8 8 8 7 8 8 8 7 8 8 8 8 7 8 7 7 7 23 23 12 24 24 24 23 24 24 24 23 24 23 24 24 23 24 39 24 23 24 24 12 23 23 23 23 24 24 23 23 24 23 24 39 24 23 23 12 24 23 24 39 24 23 23 23 23 24 23 24 24 23 24 23 39 24 23 12 23 23 24 24 24 39 24 24 24 39 24 23 23 24 12 12 23 12 23 23 23 24 24 12 39 23 23 39 39 23 24 23 39 24 24 23 23 24 23 12 24 18 18 17 2 16 2 18 18 17 18 18 18 2 17 18 17 18 18 18 17 12 17 18 18 18 18 18 2 18 18 39 17 17 18 18 39 18 2 18 12 17 2 2 1 17 17 2 18 18 18 18 39 2 17 17 17 17 2 17 18 39 17 18 18 12 18 18 2 18 17 17 17 17 17 18 12 18 2 2 18 17 18 17 17 18 17 18 18 2 39 18 17 4 12 18 17 18 18 2 18 21 21 21 22 21 21 21 21 22 21 22 22 22 21 12 22 22 22 21 22 12 21 21 22 21 22 21 22 39 21 22 39 22 39 21 22 21 22 21 21 21 21 22 22 21 22 21 21 21 22 21 21 39 21 22 21 21 21 22 22 22 22 21 22 21 22 22 12 21 21 21 22 39 22 21 22 22 22 21 22 21 21 21 22 22 21 22 22 12 39 21 21 12 21 21 21 21 22 21 21"
9,-0.5879,0.7959,"0 7 7 8 7 7 7 3 8 7 8 8 8 3 8 8 7 8 7 7 0 7 8 3 8 8 8 0 0 3 41 7 8 7 8 8 7 0 8 8 7 3 0 8 3 8 8 7 8 7 7 7 2 0 7 7 8 8 7 8 7 8 8 7 7 7 7 8 8 7 3 8 0 8 7 8 7 8 8 7 0 7 8 8 8 8 8 7 7 8 7 7 7 8 8 7 8 7 7 8 8 7 7 8 8 7 8 8 8 8 7 7 8 7 7 7 8 7 7 7 7 8 7 8 7 7 7 8 7 8 7 8 8 7 7 8 8 8 8 8 8 8 8 8 8 8 7 8 7 8 8 8 8 7 7 7 7 7 7 8 7 7 7 7 7 7 7 7 8 8 8 8 7 8 8 8 7 7 7 7 7 8 8 7 7 7 7 8 7 8 7 7 7 8 8 8 8 7 7 8 17 17 17 17 17 18 18 18 39 18 18 18 17 18 12 18 17 18 18 18 18 17 17 17 12 12 17 17 18 17 17 12 17 17 17 1 12 18 17 18 17 18 39 39 18 18 18 17 17 17 17 18 17 18 17 18 17 17 17 18 17 17 17 18 17 18 17 17 39 18 18 17 18 17 18 17 18 18 18 39 18 17 18 17 18 17 18 17 18 17 17 12 17 17 12 17 17 18 17 12 12 24 24 24 23 24 24 23 23 24 24 24 23 23 23 23 24 24 24 12 23 24 23 23 39 24 39 23 23 12 24 23 24 12 24 12 23 12 24 23 23 23 24 24 24 39 23 23 24 24 23 23 23 24 23 12 24 23 24 23 24 24 24 23 23 24 23 23 39 23 23 24 39 24 24 23 24 23 23 39 23 23 24 23 24 23 39 39 24 23 23 24 24 39 24 12 23 24 24 23 23 23 39 24 24 23 24 24 23 24 24 12 23 24 23 23 23 24 24 23 23 24 23 24 39 23 24 23 24 39 23 23 12 24 23 24 23 23 24 24 12 23 24 24 23 23 24 23 24 24 23 39 12 23 12 24 23 24 23 24 23 24 23 24 24 24 24 12 24 24 24 23 23 24 39 23 24 23 39 39 23 23 12 24 24 23 24 24 24 23 23 23 23 23 39 24 24 12 23 24"
10,-0.5854,0.8140,"7 7 7 8 7 7 7 7 8 7 8 8 8 8 8 8 7 8 7 7 7 7 8 8 8 8 8 7 7 7 8 7 8 7 8 8 7 7 8 8 7 7 7 8 7 8 8 7 8 7 7 7 8 8 7 7 8 8 7 8 7 8 8 7 7 7 7 8 8 7 8 8 8 8 7 8 7 8 8 7 7 7 8 8 8 8 8 7 7 8 7 7 7 8 8 7 8 7 7 8 8 7 7 8 8 7 8 8 8 8 7 7 8 7 7 7 8 7 7 7 7 8 7 8 7 7 7 8 7 8 7 8 8 7 7 8 8 8 8 8 8 8 8 8 8 8 7 8 7 8 8 8 8 7 7 7 7 7 7 8 7 7 7 7 7 7 7 7 8 8 8 8 7 8 8 8 7 7 7 7 7 8 8 7 7 7 7 8 7 8 7 7 7 8 8 8 8 7 7 8 31 32 32 32 31 32 33 32 33 32 31 31 33 39 39 32 31 39 32 32 33 33 32 39 32 32 32 33 32 31 32 32 32 33 33 32 39 33 32 39 31 31 32 39 33 31 31 31 31 31 32 32 33 33 31 32 33 32 33 32 32 32 31 31 31 33 32 31 33 33 32 31 31 33 33 12 33 33 31 33 31 31 31 31 31 32 39 33 32 31 31 33 33 33 31 31 31 32 31 32 12 24 24 24 23 24 24 23 23 24 24 24 23 23 23 23 24 24 24 12 23 24 23 23 39 24 39 23 23 12 24 23 24 12 24 12 23 12 24 23 23 23 24 24 24 39 23 23 24 24 23 23 23 24 23 12 24 23 24 23 24 24 24 23 23 38 23 23 39 23 23 24 39 24 24 23 24 23 23 39 23 23 24 23 24 23 39 39 24 23 23 24 24 39 24 12 23 24 24 23 39 39 30 28 29 28 29 30 30 39 12 28 30 28 28 12 30 30 28 29 28 29 30 29 28 12 30 29 30 29 30 39 30 28 28 29 29 28 30 29 39 28 29 28 29 28 28 28 28 39 30 29 29 30 28 28 28 30 12 29 30 39 29 29 29 12 28 12 29 28 28 29 30 28 30 28 37 30 28 30 29 29 28 12 29 30 29 12 29 30 12 29 39 29 39 28 29 28 30 29"
