# seed=2
# instance=EXPONENTIAL
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.02,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.3
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6610,0.9362,0.9173,-0.1787,0.2801,"28 34 38 17 29 7 15 29 39 1 33 42 26 12 23 11 27 0 35 33 38 5 8 22 30 22 40 32 38 31 4 2 13 3 1 12 0 10 1 7 42 21 16 29 27 17 24 20 19 7 13 25 0 27 23 1 26 12 16 36 38 23 28 10 32 28 28 27 39 9 37 18 9 41 15 17 7 24 34 15 3 39 25 15 34 26 4 29 23 14 17 35 25 13 29 14 38 39 2 5 1 4 11 26 34 21 7 36 9 36 13 32 36 32 41 14 6 36 34 6 42 37 20 5 36 34 0 2 22 29 9 33 39 2 26 39 36 37 18 6 40 18 9 14 5 36 26 22 21 17 5 11 31 40 34 39 9 3 23 30 32 25 42 1 3 13 38 7 36 22 23 40 14 13 18 15 30 10 23 6 12 31 5 42 14 24 41 14 13 1 35 15 2 25 30 19 32 40 28 40 35 33 22 12 40 22 10 1 9 24 25 28 28 32 10 12 1 16 38 4 19 18 3 32 33 25 14 36 2 1 34 8 22 3 12 32 42 36 1 5 20 13 25 10 14 7 18 39 34 0 24 20 3 30 25 10 36 31 19 3 2 5 12 17 0 36 37 26 7 15 0 11 12 4 12 26 42 16 19 31 1 28 34 8 3 14 14 24 9 5 25 38 3 38 21 19 36 27 27 34 3 21 30 7 25 36 21 28 27 14 25 2 40 17 34 41 26 6 1 13 10 15 18 39 2 7 6 33 29 40 22 14 21 34 26 16 12 0 18 26 1 33 27 7 24 17 9 25 18 7 5 0 16 27 6 27 37 11 9 13 23 1 29 34 39 2 0 31 8 38 29 37 20 40 0 9 40 34 13 18 10 2 42 34 9 10 40 4 11 15 13 11 23 40 11 32 0 6 7 35 12 40 34 23 13 14 37 30 14 33 34 36 22 19 30 4 20 18 40 26 26 41 19 10 7 24 38 20 4 10 25 40 33 40 37 13 40 23 7 18 32 21 37 0 19 38 27 28 31 24 27 29 17 37 7 23 9 2 32 13 12 37 13 32 0 24 3 26 20 34 3 21 19 7 19 16 39 39 39 20 40 17 15 5 38 39 18 34 5 1 27 25 14 21 8 23 11 13 42 32"
1,2,-0.6950,0.9535,0.8616,-0.2448,0.2437,"24 23 23 5 16 23 15 36 38 24 7 42 26 5 41 24 12 4 22 32 33 34 24 12 3 12 40 39 26 23 23 8 37 35 19 5 3 42 34 23 27 3 30 24 29 10 2 20 39 14 24 13 24 10 24 33 2 39 24 39 27 40 23 20 5 32 9 11 13 34 24 4 18 37 24 8 41 23 33 33 38 42 35 23 16 2 0 27 24 39 39 41 2 2 40 2 24 12 17 25 23 30 38 35 8 29 12 36 23 23 18 15 32 26 16 12 24 3 24 7 14 5 7 33 13 21 12 23 39 34 24 30 0 17 9 41 12 5 5 27 22 0 40 6 0 36 10 31 19 23 11 12 7 24 8 0 34 24 7 36 36 7 22 1 24 28 11 42 39 16 23 38 26 30 32 8 34 22 2 25 34 31 38 19 29 23 31 36 2 33 0 23 12 7 24 26 16 13 36 10 4 26 4 27 39 12 25 35 28 4 36 12 4 18 26 26 3 40 36 19 24 4 0 0 42 0 12 36 25 23 39 23 12 21 29 2 19 15 39 12 12 17 31 4 1 9 32 26 37 27 37 12 17 10 0 6 25 25 22 41 17 37 31 22 4 29 13 27 29 26 26 23 1 22 26 12 3 21 34 39 12 27 42 19 14 24 8 41 25 25 26 25 2 21 27 25 13 12 29 33 15 29 36 13 24 24 4 17 1 28 14 20 36 40 25 7 15 8 3 3 15 20 38 34 16 2 21 19 21 22 7 26 17 8 1 7 38 13 3 21 21 28 2 5 32 2 30 8 32 20 36 41 33 35 39 8 18 8 18 8 4 23 37 7 31 4 27 25 8 41 4 7 20 17 40 3 36 39 0 36 8 25 7 20 13 26 40 20 18 7 2 7 28 16 8 31 34 22 8 20 11 9 8 7 0 23 29 30 41 0 12 21 34 7 21 21 16 20 24 36 5 18 18 30 39 1 31 29 20 8 39 26 28 23 24 27 24 12 8 24 30 39 23 40 22 8 39 27 15 33 12 12 23 29 4 7 5 39 7 30 39 32 17 27 39 4 23 25 16 30 12 26 30 29 27 1 15 8 14 42 3 29 41 27 28 31 23 15 20 25 39 8 37 30 24 12 23 38 0 24"
2,3,-0.7130,0.9600,0.8234,-0.2695,0.1737,"24 23 23 5 16 23 15 36 38 24 7 42 26 5 41 24 12 4 22 32 33 34 24 12 3 12 40 39 26 23 23 8 37 35 19 5 3 42 34 23 27 3 30 24 29 10 2 20 39 14 24 13 24 10 24 33 2 39 24 39 27 40 23 20 5 32 9 11 13 34 24 4 18 37 24 8 41 23 33 33 38 42 35 23 16 2 0 27 24 39 39 41 2 2 40 2 24 12 17 25 28 30 38 35 8 12 12 36 23 26 18 27 32 26 39 29 28 3 24 7 14 5 28 33 13 28 12 28 39 39 24 30 0 17 2 29 28 28 39 27 22 0 12 6 0 25 28 30 28 23 11 27 39 25 8 0 25 29 29 36 12 7 22 1 24 28 11 42 39 16 23 38 26 30 32 12 28 22 2 25 2 31 12 27 29 23 31 36 2 26 0 23 12 2 24 26 16 13 36 10 39 29 18 18 39 12 25 35 28 28 36 12 4 18 29 26 3 17 18 39 12 4 39 0 28 39 2 36 25 30 39 23 12 21 29 2 30 12 39 12 12 17 30 4 1 9 17 30 37 27 37 28 17 10 0 6 39 25 22 18 17 37 18 22 4 29 39 27 29 26 26 23 2 22 26 12 3 39 34 12 12 30 42 12 14 24 8 18 25 25 12 25 17 21 27 25 13 28 29 33 15 29 36 13 24 24 4 17 1 28 2 20 36 40 25 7 15 8 3 3 15 20 38 34 16 2 21 19 2 22 7 26 17 8 1 7 38 13 3 21 21 28 2 5 32 2 30 8 32 20 36 41 2 35 2 8 18 8 18 8 4 23 37 7 2 4 27 25 8 41 4 7 2 17 40 3 36 39 5 36 8 25 7 20 13 2 40 20 18 7 2 7 28 16 8 31 34 22 8 20 39 9 23 12 0 12 23 24 22 0 12 21 34 23 21 23 24 21 24 24 5 12 18 30 21 12 23 39 20 8 39 26 28 23 21 27 24 39 8 23 30 39 24 3 24 24 39 27 15 12 22 12 23 29 22 22 23 24 7 3 39 32 22 27 39 4 23 25 12 12 12 22 30 23 27 1 15 24 14 23 21 23 24 27 28 31 23 41 20 23 22 8 37 30 24 12 23 38 0 24"
3,3,-0.7130,0.9600,0.8234,-0.2832,0.1493,"24 23 23 5 16 23 15 36 38 24 7 42 26 5 41 24 12 4 22 32 33 34 24 12 3 12 40 39 26 23 23 8 37 35 19 5 3 42 34 23 27 3 30 24 29 10 2 20 39 14 24 13 24 10 24 33 2 39 24 39 27 40 23 20 5 32 9 11 13 34 24 4 18 37 24 8 41 23 33 33 38 42 35 23 16 2 0 27 24 39 39 41 2 2 40 2 24 12 17 25 28 30 38 35 8 12 12 36 23 26 18 27 32 26 39 29 28 3 24 7 14 5 28 33 13 28 12 28 39 39 24 30 0 17 2 29 28 28 39 27 22 0 12 6 0 25 28 30 28 23 11 27 39 25 8 0 25 29 29 36 12 7 22 1 24 28 11 42 39 16 23 38 26 30 32 12 28 22 2 25 2 31 12 27 29 23 31 36 2 26 0 23 12 2 24 26 16 13 36 10 39 29 18 18 39 12 25 35 28 28 36 12 4 18 29 26 3 17 18 39 12 4 39 0 28 39 2 36 25 30 39 23 12 21 29 2 30 12 39 12 12 17 30 4 1 9 17 30 37 27 37 28 17 10 0 6 39 25 22 18 17 37 18 22 4 29 39 27 29 26 26 23 2 22 26 12 3 39 34 12 12 30 42 12 14 24 8 18 25 25 12 25 17 21 27 25 13 28 29 33 15 29 36 13 24 24 4 17 1 28 2 20 36 40 25 7 15 8 3 3 15 20 38 34 16 2 21 19 2 22 7 26 17 8 1 7 38 13 3 21 21 28 2 5 32 2 30 8 32 20 36 41 2 35 2 8 18 8 18 8 4 23 37 7 2 4 27 25 8 41 4 7 2 17 40 3 36 39 5 36 8 25 7 20 13 2 40 20 18 7 2 7 28 16 8 31 34 22 8 20 39 9 23 12 0 12 23 24 22 0 12 21 34 23 21 23 24 21 24 24 5 12 18 30 21 12 23 39 20 8 39 26 28 23 21 27 24 39 8 23 30 39 24 3 24 24 39 27 15 12 22 12 23 29 22 22 23 24 7 3 39 32 22 27 39 4 23 25 12 12 12 22 30 23 27 1 15 24 14 23 21 23 24 27 28 31 23 41 20 23 22 8 37 30 24 12 23 38 0 24"
4,3,-0.7130,0.9600,0.8234,-0.2781,0.1501,"24 23 23 5 16 23 15 36 38 24 7 42 26 5 41 24 12 4 22 32 33 34 24 12 3 12 40 39 26 23 23 8 37 35 19 5 3 42 34 23 27 3 30 24 29 10 2 20 39 14 24 13 24 10 24 33 2 39 24 39 27 40 23 20 5 32 9 11 13 34 24 4 18 37 24 8 41 23 33 33 38 42 35 23 16 2 0 27 24 39 39 41 2 2 40 2 24 12 17 25 28 30 38 35 8 12 12 36 23 26 18 27 32 26 39 29 28 3 24 7 14 5 28 33 13 28 12 28 39 39 24 30 0 17 2 29 28 28 39 27 22 0 12 6 0 25 28 30 28 23 11 27 39 25 8 0 25 29 29 36 12 7 22 1 24 28 11 42 39 16 23 38 26 30 32 12 28 22 2 25 2 31 12 27 29 23 31 36 2 26 0 23 12 2 24 26 16 13 36 10 39 29 18 18 39 12 25 35 28 28 36 12 4 18 29 26 3 17 18 39 12 4 39 0 28 39 2 36 25 30 39 23 12 21 29 2 30 12 39 12 12 17 30 4 1 9 17 30 37 27 37 28 17 10 0 6 39 25 22 18 17 37 18 22 4 29 39 27 29 26 26 23 2 22 26 12 3 39 34 12 12 30 42 12 14 24 8 18 25 25 12 25 17 21 27 25 13 28 29 33 15 29 36 13 24 24 4 17 1 28 2 20 36 40 25 7 15 8 3 3 15 20 38 34 16 2 21 19 2 22 7 26 17 8 1 7 38 13 3 21 21 28 2 5 32 2 30 8 32 20 36 41 2 35 2 8 18 8 18 8 4 23 37 7 2 4 27 25 8 41 4 7 2 17 40 3 36 39 5 36 8 25 7 20 13 2 40 20 18 7 2 7 28 16 8 31 34 22 8 20 39 9 23 12 0 12 23 24 22 0 12 21 34 23 21 23 24 21 24 24 5 12 18 30 21 12 23 39 20 8 39 26 28 23 21 27 24 39 8 23 30 39 24 3 24 24 39 27 15 12 22 12 23 29 22 22 23 24 7 3 39 32 22 27 39 4 23 25 12 12 12 22 30 23 27 1 15 24 14 23 21 23 24 27 28 31 23 41 20 23 22 8 37 30 24 12 23 38 0 24"
5,4,-0.7144,0.9737,0.8642,-0.2895,0.1392,"29 38 29 12 24 30 29 36 38 24 30 29 30 30 41 30 26 25 26 39 39 24 29 29 25 25 24 39 30 30 11 8 37 35 29 5 3 12 26 12 39 3 27 28 29 2 12 12 39 12 25 12 27 28 24 23 2 0 12 25 12 40 28 20 12 25 9 11 12 34 12 4 12 30 2 8 41 36 25 33 39 28 12 28 28 39 0 28 30 27 25 26 26 30 29 2 12 25 26 25 9 30 2 11 3 18 39 31 11 18 18 12 12 10 3 17 32 39 29 31 14 33 39 11 2 39 23 18 39 9 18 30 17 18 31 41 40 10 39 24 22 0 2 2 0 18 10 17 5 18 23 0 9 12 33 0 34 10 7 12 36 7 22 1 39 11 24 12 4 16 42 38 26 17 39 12 12 22 12 2 34 39 2 24 29 36 31 3 2 33 39 33 39 7 14 2 16 13 2 10 4 24 4 10 39 2 18 35 28 2 36 28 2 18 0 2 3 40 8 2 24 7 0 2 7 0 31 8 9 23 2 23 4 21 29 7 19 15 33 42 12 17 31 12 1 9 32 38 37 16 37 12 17 10 0 6 39 28 2 41 17 37 31 8 4 12 11 28 29 12 35 23 8 7 24 37 3 8 34 39 8 31 42 19 14 7 8 41 7 30 4 7 8 21 2 32 2 8 29 33 12 39 12 18 24 24 39 17 17 24 36 20 19 12 23 7 20 39 19 12 17 17 23 34 1 19 21 2 20 12 7 2 17 39 12 24 8 13 8 35 18 17 17 12 17 2 8 15 39 18 39 41 33 8 18 23 17 2 24 7 17 2 39 36 2 7 2 25 18 39 18 7 12 17 8 3 36 5 39 20 26 17 23 39 35 26 17 20 39 34 2 4 2 18 18 2 19 19 8 20 11 20 19 20 0 19 13 38 0 0 20 12 20 3 3 20 16 20 5 36 12 18 20 30 20 1 39 29 20 5 20 20 28 19 19 27 19 21 41 20 19 16 23 40 19 0 37 27 20 33 16 12 36 37 19 12 19 3 12 20 39 32 20 27 12 4 19 25 16 38 12 19 1 37 3 3 15 19 14 39 3 10 41 27 19 20 9 39 20 25 19 11 19 22 42 12 34 38 0 38"
6,5,-0.7147,0.9762,0.8715,-0.2848,0.1325,"24 23 23 26 23 23 15 11 2 25 7 39 26 5 24 27 12 4 10 32 26 27 39 27 3 24 24 39 26 39 24 11 10 35 25 5 2 42 34 23 27 24 23 0 39 10 2 10 39 10 24 13 24 10 26 33 2 39 27 12 39 40 23 20 5 11 2 11 13 34 24 26 18 37 26 8 38 23 33 23 23 12 10 23 12 24 11 27 24 39 39 2 2 25 40 2 24 12 26 27 23 39 36 7 35 29 12 34 23 22 18 15 21 24 23 35 24 8 39 7 23 5 34 36 13 24 35 22 8 34 24 30 0 17 9 41 39 35 12 36 22 0 40 24 39 39 10 39 22 39 11 12 7 24 8 0 35 35 7 23 36 21 22 7 7 34 36 42 39 22 23 38 23 23 21 12 34 22 2 35 39 39 38 23 24 23 34 36 8 33 36 23 12 7 23 35 23 22 36 23 24 12 4 18 39 12 25 12 24 12 18 12 4 39 18 26 3 24 39 24 33 4 29 23 42 0 12 18 25 23 17 29 33 12 24 39 12 29 33 26 33 2 17 28 26 39 23 17 28 26 18 12 31 10 29 18 25 39 22 25 12 39 39 22 12 17 12 17 26 26 26 39 25 32 12 39 3 24 24 23 17 27 27 26 23 12 12 39 12 17 23 32 12 39 39 26 13 18 24 17 12 39 12 18 24 24 15 17 17 24 36 2 19 12 23 7 20 39 19 12 17 17 23 12 12 19 21 2 20 12 7 2 17 39 12 24 12 13 8 35 18 17 17 12 17 5 8 15 39 18 39 41 33 8 18 23 17 12 2 7 17 2 39 36 2 7 2 25 18 39 18 7 12 17 2 3 36 5 39 20 2 17 23 39 35 26 17 20 39 34 2 4 2 18 2 2 19 19 8 20 8 9 12 7 8 23 29 39 17 0 17 23 34 39 21 21 16 12 30 36 24 18 18 30 39 39 2 30 20 17 12 26 39 17 24 40 24 39 23 7 30 8 39 12 17 18 7 12 15 23 28 2 30 17 18 18 5 39 7 8 2 32 23 27 18 4 8 12 16 12 12 18 30 29 23 1 18 8 0 28 29 29 2 30 28 28 23 29 28 25 39 8 17 30 30 12 17 28 0 7"
7,5,-0.7147,0.9762,0.8715,-0.2913,0.1501,"24 23 23 26 23 23 15 11 2 25 7 39 26 5 24 27 12 4 10 32 26 27 39 27 3 24 24 39 26 39 24 11 10 35 25 5 2 42 34 23 27 24 23 0 39 10 2 10 39 10 24 13 24 10 26 33 2 39 27 12 39 40 23 20 5 11 2 11 13 34 24 26 18 37 26 8 38 23 33 23 23 12 10 23 12 24 11 27 24 39 39 2 2 25 40 2 24 12 26 27 23 39 36 7 35 29 12 34 23 22 18 15 21 24 23 35 24 8 39 7 23 5 34 36 13 24 35 22 8 34 24 30 0 17 9 41 39 35 12 36 22 0 40 24 39 39 10 39 22 39 11 12 7 24 8 0 35 35 7 23 36 21 22 7 7 34 36 42 39 22 23 38 23 23 21 12 34 22 2 35 39 39 38 23 24 23 34 36 8 33 36 23 12 7 23 35 23 22 36 23 24 12 4 18 39 12 25 12 24 12 18 12 4 39 18 26 3 24 39 24 33 4 29 23 42 0 12 18 25 23 17 29 33 12 24 39 12 29 33 26 33 2 17 28 26 39 23 17 28 26 18 12 31 10 29 18 25 39 22 25 12 39 39 22 12 17 12 17 26 26 26 39 25 32 12 39 3 24 24 23 17 27 27 26 23 12 12 39 12 17 23 32 12 39 39 26 13 18 24 17 12 39 12 18 24 24 15 17 17 24 36 2 19 12 23 7 20 39 19 12 17 17 23 12 12 19 21 2 20 12 7 2 17 39 12 24 12 13 8 35 18 17 17 12 17 5 8 15 39 18 39 41 33 8 18 23 17 12 2 7 17 2 39 36 2 7 2 25 18 39 18 7 12 17 2 3 36 5 39 20 2 17 23 39 35 26 17 20 39 34 2 4 2 18 2 2 19 19 8 20 8 9 12 7 8 23 29 39 17 0 17 23 34 39 21 21 16 12 30 36 24 18 18 30 39 39 2 30 20 17 12 26 39 17 24 40 24 39 23 7 30 8 39 12 17 18 7 12 15 23 28 2 30 17 18 18 5 39 7 8 2 32 23 27 18 4 8 12 16 12 12 18 30 29 23 1 18 8 0 28 29 29 2 30 28 28 23 29 28 25 39 8 17 30 30 12 17 28 0 7"
8,5,-0.7147,0.9762,0.8715,-0.2902,0.1566,"24 23 23 26 23 23 15 11 2 25 7 39 26 5 24 27 12 4 10 32 26 27 39 27 3 24 24 39 26 39 24 11 10 35 25 5 2 42 34 23 27 24 23 0 39 10 2 10 39 10 24 13 24 10 26 33 2 39 27 12 39 40 23 20 5 11 2 11 13 34 24 26 18 37 26 8 38 23 33 23 23 12 10 23 12 24 11 27 24 39 39 2 2 25 40 2 24 12 26 27 23 39 36 7 35 29 12 34 23 22 18 15 21 24 23 35 24 8 39 7 23 5 34 36 13 24 35 22 8 34 24 30 0 17 9 41 39 35 12 36 22 0 40 24 39 39 10 39 22 39 11 12 7 24 8 0 35 35 7 23 36 21 22 7 7 34 36 42 39 22 23 38 23 23 21 12 34 22 2 35 39 39 38 23 24 23 34 36 8 33 36 23 12 7 23 35 23 22 36 23 24 12 4 18 39 12 25 12 24 12 18 12 4 39 18 26 3 24 39 24 33 4 29 23 42 0 12 18 25 23 17 29 33 12 24 39 12 29 33 26 33 2 17 28 26 39 23 17 28 26 18 12 31 10 29 18 25 39 22 25 12 39 39 22 12 17 12 17 26 26 26 39 25 32 12 39 3 24 24 23 17 27 27 26 23 12 12 39 12 17 23 32 12 39 39 26 13 18 24 17 12 39 12 18 24 24 15 17 17 24 36 2 19 12 23 7 20 39 19 12 17 17 23 12 12 19 21 2 20 12 7 2 17 39 12 24 12 13 8 35 18 17 17 12 17 5 8 15 39 18 39 41 33 8 18 23 17 12 2 7 17 2 39 36 2 7 2 25 18 39 18 7 12 17 2 3 36 5 39 20 2 17 23 39 35 26 17 20 39 34 2 4 2 18 2 2 19 19 8 20 8 9 12 7 8 23 29 39 17 0 17 23 34 39 21 21 16 12 30 36 24 18 18 30 39 39 2 30 20 17 12 26 39 17 24 40 24 39 23 7 30 8 39 12 17 18 7 12 15 23 28 2 30 17 18 18 5 39 7 8 2 32 23 27 18 4 8 12 16 12 12 18 30 29 23 1 18 8 0 28 29 29 2 30 28 28 23 29 28 25 39 8 17 30 30 12 17 28 0 7"
9,5,-0.7147,0.9762,0.8715,-0.2927,0.1129,"24 23 23 26 23 23 15 11 2 25 7 39 26 5 24 27 12 4 10 32 26 27 39 27 3 24 24 39 26 39 24 11 10 35 25 5 2 42 34 23 27 24 23 0 39 10 2 10 39 10 24 13 24 10 26 33 2 39 27 12 39 40 23 20 5 11 2 11 13 34 24 26 18 37 26 8 38 23 33 23 23 12 10 23 12 24 11 27 24 39 39 2 2 25 40 2 24 12 26 27 23 39 36 7 35 29 12 34 23 22 18 15 21 24 23 35 24 8 39 7 23 5 34 36 13 24 35 22 8 34 24 30 0 17 9 41 39 35 12 36 22 0 40 24 39 39 10 39 22 39 11 12 7 24 8 0 35 35 7 23 36 21 22 7 7 34 36 42 39 22 23 38 23 23 21 12 34 22 2 35 39 39 38 23 24 23 34 36 8 33 36 23 12 7 23 35 23 22 36 23 24 12 4 18 39 12 25 12 24 12 18 12 4 39 18 26 3 24 39 24 33 4 29 23 42 0 12 18 25 23 17 29 33 12 24 39 12 29 33 26 33 2 17 28 26 39 23 17 28 26 18 12 31 10 29 18 25 39 22 25 12 39 39 22 12 17 12 17 26 26 26 39 25 32 12 39 3 24 24 23 17 27 27 26 23 12 12 39 12 17 23 32 12 39 39 26 13 18 24 17 12 39 12 18 24 24 15 17 17 24 36 2 19 12 23 7 20 39 19 12 17 17 23 12 12 19 21 2 20 12 7 2 17 39 12 24 12 13 8 35 18 17 17 12 17 5 8 15 39 18 39 41 33 8 18 23 17 12 2 7 17 2 39 36 2 7 2 25 18 39 18 7 12 17 2 3 36 5 39 20 2 17 23 39 35 26 17 20 39 34 2 4 2 18 2 2 19 19 8 20 8 9 12 7 8 23 29 39 17 0 17 23 34 39 21 21 16 12 30 36 24 18 18 30 39 39 2 30 20 17 12 26 39 17 24 40 24 39 23 7 30 8 39 12 17 18 7 12 15 23 28 2 30 17 18 18 5 39 7 8 2 32 23 27 18 4 8 12 16 12 12 18 30 29 23 1 18 8 0 28 29 29 2 30 28 28 23 29 28 25 39 8 17 30 30 12 17 28 0 7"
