rank,fitness,winrate,genome
1,-0.7055,1.0000,"19 12 34 2 0 28 26 25 19 25 19 19 23 12 23 11 26 0 39 34 2 5 39 20 36 26 19 32 39 36 4 2 39 25 12 25 0 39 1 7 42 39 39 29 26 26 35 39 39 2 19 12 12 34 12 27 28 12 16 26 38 23 39 10 23 23 28 28 39 12 25 34 2 41 12 2 27 24 34 15 3 39 25 15 34 19 36 23 23 19 23 20 39 28 12 2 12 39 2 4 16 28 12 12 23 18 29 29 19 29 29 0 23 20 39 1 12 39 30 26 19 11 12 12 28 39 12 30 20 28 12 37 2 28 23 12 14 19 18 38 29 22 33 12 19 29 12 40 20 39 20 30 28 23 12 19 12 12 17 12 19 19 28 10 26 29 39 28 2 39 21 2 39 29 29 12 12 30 12 23 12 12 22 25 29 39 26 12 2 39 3 27 39 39 39 25 25 12 21 28 2 2 26 29 24 30 26 39 28 27 2 18 12 26 40 39 17 26 28 30 23 1 30 39 26 23 10 30 12 18 9 28 12 39 12 12 18 12 0 39 24 18 23 39 39 39 24 28 23 24 24 23 25 12 24 12 26 28 12 17 30 24 16 39 29 27 16 18 39 17 29 23 33 25 28 28 25 24 37 30 29 12 28 39 39 2 39 39 39 39 8 30 2 28 12 29 2 10 33 18 8 12 39 2 12 24 19 0 27 2 19 22 24 11 34 7 11 12 39 2 11 9 10 10 5 39 39 39 2 24 2 2 10 39 19 9 8 24 39 7 1 10 39 12 39 9 12 39 9 7 10 0 39 10 11 10 12 23 11 39 40 39 21 2 10 39 39 2 23 39 2 12 20 8 14 9 10 24 9 18 9 2 42 2 11 10 24 4 24 23 22 11 10 2 24 10 22 2 10 39 31 40 32 23 20 0 37 25 23 20 34 23 22 12 0 32 26 12 23 26 25 41 24 10 23 23 12 23 33 12 33 40 23 0 8 23 39 7 7 39 32 33 37 24 12 25 39 12 32 24 27 39 33 19 27 23 9 29 19 27 13 39 19 32 0 24 38 26 30 8 12 32 19 7 39 25 31 3 39 33 19 12 26 23 0 39 18 25 5 12 20 12 31 0 33 31 12 12 12 39"
2,-0.6983,0.9778,"28 39 26 39 29 29 15 29 28 1 33 42 27 12 23 11 27 27 35 25 38 5 8 25 30 12 40 26 39 12 4 39 13 12 30 12 0 10 30 7 42 25 16 29 30 28 24 20 19 7 13 25 26 25 25 1 26 12 16 36 25 23 39 10 27 28 28 28 39 9 37 18 12 25 15 26 7 29 39 15 27 39 29 28 25 26 4 29 23 14 12 35 25 25 26 39 38 30 2 5 16 28 25 41 23 18 11 29 42 29 30 18 23 12 39 39 30 39 39 39 39 11 12 30 28 39 13 30 42 29 28 0 12 28 27 38 14 26 18 38 39 27 33 39 26 29 30 40 22 39 20 39 28 23 33 39 29 25 17 17 16 11 25 10 26 27 11 28 39 27 27 4 12 29 29 2 18 26 12 26 30 29 29 35 27 21 30 11 2 30 25 26 5 39 39 5 28 18 16 27 2 40 20 20 2 10 21 11 42 2 2 18 12 9 40 22 2 15 14 39 4 30 30 2 0 23 10 15 28 39 9 28 40 39 10 10 12 30 10 18 39 32 39 39 4 9 5 28 30 9 9 14 2 9 28 25 9 28 28 2 30 9 16 35 29 1 16 28 9 13 10 0 33 10 38 13 16 25 11 39 11 9 17 20 32 11 15 41 2 10 8 9 2 29 5 34 11 10 33 36 8 21 8 20 25 23 19 28 27 14 19 7 2 17 34 41 26 12 1 2 21 21 19 4 24 2 39 39 8 7 19 12 23 39 19 16 12 39 7 7 1 33 20 12 7 22 9 23 19 7 5 0 39 23 21 20 7 11 12 13 23 22 21 20 12 39 0 31 8 38 19 39 20 2 7 9 40 34 22 18 10 39 42 22 2 10 40 4 20 23 39 11 20 21 21 32 7 39 21 19 12 40 34 23 30 0 37 29 14 33 34 39 22 19 30 4 20 18 40 26 26 41 19 10 7 24 38 12 4 30 25 40 33 40 37 13 28 23 7 28 32 21 37 0 19 38 27 28 31 24 27 29 17 37 7 23 9 29 32 13 12 37 29 32 0 24 3 29 30 30 29 21 19 7 19 16 39 28 28 20 40 28 15 5 38 39 18 34 5 29 27 12 14 21 29 23 11 13 42 32"
3,-0.6964,0.9767,"19 12 34 2 34 28 12 19 19 2 19 19 23 12 23 11 27 0 2 34 2 5 39 20 36 34 19 32 39 36 4 2 13 30 12 3 0 39 1 7 42 39 16 29 12 17 35 39 39 2 19 12 12 34 12 39 28 12 16 28 38 23 39 10 23 23 28 28 39 9 24 34 2 41 12 2 7 24 34 15 3 39 25 15 34 19 36 23 23 19 23 20 2 28 12 2 36 39 2 4 16 12 39 41 23 12 21 39 39 29 17 17 39 27 40 9 12 18 2 39 39 11 30 30 9 10 21 12 30 11 28 10 39 28 29 12 12 22 18 39 11 21 33 12 18 39 39 27 21 39 22 12 22 22 33 26 9 17 10 18 16 11 39 21 39 29 39 21 30 17 18 9 12 11 2 11 11 30 11 9 39 39 22 28 22 12 22 39 39 11 39 17 17 9 39 5 39 18 21 28 2 2 26 20 24 28 26 39 23 27 2 18 12 26 40 39 17 26 14 18 23 1 30 39 26 23 10 15 12 18 9 28 24 39 12 12 18 12 0 18 24 18 23 39 39 39 24 28 23 24 24 23 25 12 24 12 26 28 28 17 30 24 16 35 29 27 16 18 39 17 10 23 33 25 38 13 25 24 37 30 11 11 24 24 39 2 39 39 39 39 8 9 2 12 12 12 2 10 33 18 8 11 8 20 8 23 19 21 27 14 6 22 22 2 34 7 11 12 1 2 21 21 10 10 11 39 39 39 2 7 22 8 21 39 19 16 8 39 39 7 1 22 39 12 39 11 12 39 21 7 5 0 39 10 11 22 22 9 12 12 21 22 21 20 12 39 0 31 39 38 19 39 20 8 7 21 22 34 11 18 9 39 42 22 2 10 12 4 20 23 22 11 9 21 21 32 22 2 2 19 20 40 34 23 20 0 37 23 23 20 34 42 2 19 0 23 20 18 23 39 26 41 24 10 23 23 12 23 20 12 20 40 23 0 8 23 39 7 7 39 32 2 37 24 8 7 14 12 20 24 27 29 17 19 0 23 9 29 19 13 7 39 19 32 0 24 3 39 30 2 12 2 19 7 19 16 24 28 39 20 19 12 3 23 0 2 18 34 5 12 20 12 12 0 29 12 12 12 12 39"
4,-0.6434,0.9348,"19 12 34 2 0 28 2 25 19 25 19 19 23 12 23 11 26 0 39 34 4 5 39 20 36 26 19 32 39 36 4 2 39 25 12 25 0 39 1 7 42 39 39 29 26 26 35 39 39 2 2 12 12 34 12 27 28 12 16 13 38 23 39 10 23 23 28 28 39 12 25 34 2 41 12 2 27 24 34 15 3 2 25 15 34 19 36 23 23 19 23 20 39 28 12 2 12 39 2 4 16 39 12 12 34 18 35 29 19 29 34 20 23 20 39 1 12 39 30 26 19 34 12 12 0 34 12 20 20 20 12 39 2 19 23 12 14 12 18 12 29 34 33 12 19 34 20 12 20 39 20 30 12 12 2 39 12 12 17 12 34 19 35 39 26 12 39 34 35 39 34 2 39 29 29 12 12 30 12 23 19 19 22 25 29 39 39 12 12 12 3 0 36 39 39 12 35 12 21 36 2 31 39 12 29 12 32 39 28 29 27 39 33 32 28 29 33 21 28 30 23 1 31 29 11 23 9 22 30 30 12 28 24 25 30 25 31 30 27 2 24 28 39 12 30 39 4 27 22 39 12 23 30 26 29 22 26 25 12 39 25 2 33 23 12 25 9 18 22 21 29 24 25 29 28 25 39 28 32 10 29 26 27 12 30 26 12 12 22 11 9 39 12 24 32 29 10 33 10 10 8 21 8 20 25 23 19 28 27 2 19 7 2 17 2 41 26 2 1 2 21 21 19 4 24 2 39 39 8 7 19 12 23 39 2 16 5 39 7 7 1 33 20 12 7 22 9 23 0 7 5 0 39 23 21 20 7 11 12 13 23 22 21 20 12 39 2 31 8 38 19 39 20 2 2 9 40 34 22 18 10 39 42 22 2 10 40 4 20 23 39 11 20 21 21 32 7 39 21 19 31 40 32 23 12 39 37 12 23 20 23 23 22 12 0 32 42 24 23 26 25 41 39 12 23 23 12 23 33 12 33 40 23 0 8 14 39 7 7 23 23 33 37 23 12 25 39 23 32 24 27 39 23 12 27 12 9 29 19 23 13 12 24 24 0 24 38 26 23 8 12 32 23 2 12 25 12 3 23 33 19 12 26 23 0 39 18 25 5 23 20 12 31 0 33 31 12 12 12 39"
5,-0.6167,0.9091,"19 12 34 2 0 28 2 25 19 25 19 19 23 12 23 11 26 0 39 34 4 5 39 20 36 26 19 32 39 36 4 2 39 25 12 25 0 39 1 7 42 39 39 29 26 26 35 39 39 2 2 12 12 34 12 27 28 12 16 13 38 23 39 10 23 23 28 28 39 12 25 34 2 41 12 2 27 24 34 15 3 2 25 15 34 19 36 23 23 19 23 20 39 28 12 2 12 39 2 4 16 39 12 0 23 18 35 29 19 29 34 0 23 20 39 1 12 39 30 26 19 11 12 12 0 34 12 30 39 28 12 39 2 28 23 12 14 12 18 38 29 22 33 12 19 34 12 40 20 39 20 30 34 12 12 19 12 12 17 12 34 19 28 10 26 29 39 34 2 39 34 2 39 29 29 12 12 30 12 23 34 12 22 25 29 39 39 12 2 39 3 27 36 39 39 12 35 12 21 36 32 2 26 29 39 30 26 39 32 27 32 18 33 31 40 39 17 12 28 30 23 1 30 39 26 23 10 30 12 32 9 28 32 39 12 12 32 12 30 12 24 18 23 39 39 39 24 29 23 24 29 28 31 12 24 32 26 28 12 17 30 24 28 32 29 27 32 12 29 17 31 32 29 25 28 28 25 24 39 32 33 12 28 39 33 2 28 39 39 39 8 30 32 28 33 28 2 39 33 18 8 12 39 2 12 2 19 0 27 2 19 22 24 11 34 7 5 12 39 2 2 9 10 10 5 39 39 39 2 24 2 2 10 39 19 9 8 24 39 7 1 10 39 12 39 9 12 39 9 7 10 0 39 2 11 10 12 23 11 39 40 39 21 2 10 16 39 2 23 39 2 12 20 8 14 9 10 24 9 18 9 2 42 2 11 10 24 4 24 23 22 11 10 2 24 10 22 2 10 39 3 40 32 23 20 0 37 41 23 20 34 23 22 12 0 32 26 12 23 26 0 0 24 10 23 23 12 23 33 12 33 40 23 0 8 23 39 3 7 39 32 33 37 24 12 25 39 12 32 24 27 39 33 19 27 23 9 29 19 27 13 39 19 32 0 24 38 26 30 8 12 0 19 7 0 25 0 3 39 33 19 12 26 23 0 39 18 25 5 12 20 12 31 0 33 41 12 12 12 39"
6,-0.5457,0.8333,"19 12 34 2 0 28 26 25 19 25 19 19 23 12 23 11 26 0 39 34 2 5 39 20 36 26 19 32 39 36 4 2 39 25 12 25 0 0 1 7 42 39 39 29 26 26 35 39 39 2 19 12 12 34 12 27 28 12 16 26 38 23 39 10 23 23 28 28 39 12 25 34 2 41 12 2 27 24 34 15 3 39 25 15 34 19 36 23 23 19 23 20 39 28 12 2 12 39 2 4 16 39 12 12 23 18 36 36 19 29 34 0 36 20 34 39 2 39 36 26 36 11 12 12 34 34 12 30 36 28 35 39 2 28 23 12 35 12 18 39 29 22 33 35 19 34 12 40 20 39 20 35 34 35 12 35 12 12 39 12 34 19 28 10 35 29 36 34 2 39 34 34 39 29 29 12 12 30 12 23 34 34 22 35 35 39 39 12 2 39 34 27 36 39 39 12 35 12 21 36 2 12 23 29 39 23 10 39 28 25 23 33 32 12 39 2 23 27 39 12 33 1 30 2 11 11 24 33 12 33 2 2 24 25 12 25 9 12 2 10 33 23 39 39 9 39 27 27 23 39 31 23 25 10 2 11 26 28 12 23 2 24 39 23 10 42 39 33 25 39 29 39 25 39 12 25 11 26 9 33 29 39 2 12 39 24 10 25 2 11 9 23 2 24 2 12 39 11 11 23 8 12 39 2 12 24 19 0 27 2 19 22 24 11 34 7 11 12 39 2 11 9 10 10 5 39 39 39 2 24 2 2 10 39 19 9 8 24 39 7 1 10 39 12 39 9 12 39 9 7 10 0 39 10 11 10 12 23 11 39 40 39 21 2 10 39 39 2 23 39 2 12 20 8 14 9 10 24 9 18 9 2 42 2 11 10 24 4 24 23 22 11 10 2 24 10 22 2 10 39 3 40 32 23 20 0 37 25 23 20 34 23 22 12 0 32 26 12 23 26 25 41 24 10 23 23 12 23 33 12 33 40 23 0 8 23 39 3 7 39 32 33 37 24 12 25 39 12 32 24 27 39 33 19 27 23 9 29 19 27 13 39 19 32 0 24 38 26 30 8 12 32 19 7 39 25 31 3 39 33 19 12 26 23 0 39 18 25 5 12 20 12 31 0 33 41 12 12 12 39"
7,-0.5279,0.8182,"19 12 34 2 0 28 26 25 19 25 19 19 23 12 23 11 26 0 39 34 2 5 39 20 36 26 19 32 39 36 4 2 39 25 12 25 0 39 1 7 42 39 39 29 26 26 35 39 39 2 19 12 12 34 12 27 28 12 16 26 38 23 39 10 23 23 28 28 39 12 25 34 2 41 12 2 27 24 34 15 3 39 25 15 34 19 36 23 23 19 23 20 39 28 12 2 12 39 2 4 16 39 12 12 34 18 35 29 19 29 34 20 23 20 39 1 12 39 30 26 19 34 12 12 0 34 12 20 20 20 12 39 2 19 23 12 14 12 18 12 29 34 33 12 19 34 20 12 20 39 20 30 12 12 2 39 12 12 17 12 34 19 35 39 26 12 39 34 35 39 34 2 39 29 29 12 12 30 12 23 19 19 22 25 29 39 39 12 12 12 3 12 36 39 39 12 35 12 21 36 32 2 26 29 39 30 26 39 32 27 32 18 33 31 40 39 17 12 28 30 23 1 30 39 26 23 10 30 12 32 9 28 32 39 12 12 32 12 30 12 24 18 23 39 39 39 24 29 23 24 29 28 31 12 24 32 26 28 12 17 30 24 28 32 29 27 32 12 29 17 31 32 29 25 28 28 25 24 39 32 33 12 28 39 33 2 28 39 39 38 8 30 32 28 33 28 2 39 33 18 8 19 8 40 25 23 3 28 27 19 19 19 19 17 19 41 26 12 1 2 21 20 19 1 24 2 39 3 8 7 19 12 20 39 19 16 0 39 19 7 1 33 20 12 7 39 9 19 19 41 5 3 39 12 19 19 7 11 12 13 23 20 21 20 12 39 0 31 8 20 19 39 20 2 7 9 40 34 22 19 10 39 19 22 2 20 39 4 20 23 39 11 20 3 21 32 7 39 21 12 31 40 32 23 12 39 37 12 23 20 23 23 22 12 0 32 42 24 23 26 25 41 39 12 23 23 12 23 33 12 33 40 23 0 8 14 39 7 7 23 23 33 37 23 12 25 39 23 32 24 27 39 23 12 27 12 9 29 19 23 13 12 24 24 0 24 38 26 23 8 12 32 23 2 12 25 12 3 23 33 19 12 26 23 0 39 18 25 5 23 20 12 31 0 33 31 12 12 12 39"
8,-0.4927,0.7872,"19 12 34 2 0 28 26 25 19 25 19 19 23 12 23 11 26 0 39 34 2 5 39 20 36 26 19 32 39 36 4 2 39 25 12 25 0 39 1 7 42 39 39 29 26 26 35 39 39 2 19 12 12 34 12 27 28 12 16 26 38 23 39 10 23 23 28 28 39 12 25 34 2 41 12 2 27 24 34 15 3 39 25 15 34 19 36 23 23 19 23 20 39 28 12 2 12 39 2 4 16 39 12 12 34 18 35 29 19 29 34 20 23 20 39 1 12 39 30 26 19 34 12 12 0 34 12 20 20 20 12 39 2 19 23 12 14 12 18 12 29 34 33 12 19 34 20 12 20 39 20 30 12 12 2 39 12 12 17 12 34 19 35 39 26 12 39 34 35 39 34 2 39 29 29 12 12 30 12 23 19 19 22 25 29 39 39 12 12 12 3 0 36 39 39 12 35 12 21 36 2 2 26 29 24 30 26 39 28 27 2 16 12 26 40 39 17 26 28 30 23 1 30 39 26 23 10 30 12 18 9 28 12 39 12 12 18 2 0 39 24 18 23 39 39 39 24 28 23 24 24 23 25 12 24 12 26 28 12 17 30 24 16 39 29 27 16 18 39 17 29 23 33 2 28 28 25 24 37 30 29 12 28 39 39 2 39 39 39 39 8 30 2 28 12 29 2 2 4 18 8 21 8 20 25 23 19 28 27 2 19 7 2 17 2 41 26 2 1 2 21 21 19 4 24 2 39 39 8 7 19 12 23 39 2 16 5 39 7 7 1 33 20 12 7 22 9 23 0 7 5 0 39 23 21 20 7 11 12 13 23 22 21 20 12 39 2 31 8 38 19 39 20 2 2 9 40 34 22 18 10 39 42 22 2 10 40 4 20 23 39 11 20 21 21 32 7 39 21 19 31 40 32 23 20 0 37 25 23 20 34 23 22 12 0 32 26 12 23 26 25 41 24 10 23 23 12 23 33 12 33 40 23 0 8 23 39 7 7 39 32 33 37 24 12 25 39 12 32 24 27 39 33 19 27 23 9 29 19 27 13 39 19 32 0 24 38 26 30 8 12 32 19 7 39 25 31 3 39 33 19 12 26 23 0 39 18 25 5 12 20 12 31 0 33 31 12 12 12 39"
9,-0.4885,0.7778,"19 12 34 2 0 28 26 25 19 25 19 19 23 12 23 11 26 0 39 34 2 5 39 20 36 26 19 32 39 36 4 2 39 25 12 25 0 0 1 7 42 39 39 29 26 26 35 39 39 2 19 12 12 34 12 27 28 12 16 26 38 23 39 10 23 23 28 28 39 12 25 34 2 41 12 2 27 24 34 15 3 39 25 15 34 19 36 23 23 19 23 20 39 28 12 2 12 39 2 4 32 25 12 32 32 18 35 27 25 39 27 0 12 20 12 1 33 32 30 26 19 33 12 12 26 33 12 25 20 28 12 31 27 27 23 12 14 12 18 31 12 25 33 12 19 34 12 40 20 39 20 30 34 12 12 39 12 12 17 12 34 33 28 10 26 29 33 25 2 39 31 2 39 31 29 12 12 25 12 23 34 12 22 25 29 39 39 27 2 31 31 27 31 27 39 12 35 27 21 26 2 2 26 29 24 30 26 33 28 27 31 18 12 26 40 31 17 26 31 30 23 1 30 39 26 33 10 33 12 18 9 31 12 31 31 12 32 12 0 39 24 18 23 39 39 31 24 28 33 32 24 32 25 12 31 12 26 28 12 17 30 24 16 39 29 27 16 18 12 17 29 23 32 25 28 12 25 24 37 30 29 12 28 39 39 2 39 39 39 39 33 30 2 28 12 29 2 10 33 18 8 12 39 2 12 24 19 0 27 2 19 22 24 11 34 7 11 12 39 2 11 9 10 10 5 39 39 39 2 24 2 2 10 39 19 9 8 24 39 7 1 10 39 12 39 9 12 39 9 7 10 0 39 10 11 10 12 23 11 39 40 39 21 2 10 39 39 2 23 39 2 12 20 8 14 9 10 24 9 18 9 2 42 2 11 10 24 4 24 23 22 11 10 2 24 10 22 2 10 39 3 40 32 23 20 0 37 25 23 20 34 23 22 12 0 32 26 12 23 26 25 41 24 10 23 23 12 23 33 12 33 40 23 0 8 23 39 3 7 39 32 33 37 24 12 25 39 12 32 24 27 39 33 19 27 23 9 29 19 27 13 39 19 32 0 24 38 26 30 8 12 32 19 7 39 25 31 3 39 33 19 12 26 23 0 39 18 25 5 12 20 12 31 0 33 41 12 12 12 39"
10,-0.4770,0.7674,"19 12 34 2 0 28 26 25 19 25 19 19 23 12 23 11 26 0 39 34 2 5 39 20 36 26 19 32 39 36 4 2 39 25 12 25 0 39 1 7 42 39 39 29 26 26 35 39 39 2 19 12 12 34 12 27 28 12 16 26 38 23 39 10 23 23 28 28 39 12 25 34 2 41 12 2 27 24 34 15 3 39 25 15 34 19 0 23 23 19 23 20 39 28 12 2 12 39 2 4 16 39 12 0 23 18 35 29 19 29 34 0 23 20 39 1 12 39 30 26 19 11 12 12 0 34 12 30 20 28 12 39 2 28 23 12 14 12 18 38 29 22 33 12 19 34 12 40 20 39 20 30 34 12 12 19 12 12 17 12 34 19 28 10 26 29 39 34 2 39 34 39 39 29 29 12 12 30 12 23 34 12 22 25 29 39 39 12 2 39 3 27 36 39 39 12 35 12 21 36 2 2 12 12 11 32 9 39 28 25 11 18 33 32 39 29 33 33 28 30 23 9 29 26 11 23 9 26 12 2 12 9 24 24 12 39 31 23 27 12 9 24 39 12 12 10 30 27 29 39 29 10 25 26 39 39 26 29 12 30 24 23 28 23 12 23 12 18 39 11 24 11 25 37 12 25 39 32 32 39 10 2 3 24 12 26 2 24 12 11 9 30 2 24 32 23 10 39 39 10 0 12 39 2 12 24 19 0 27 2 19 22 24 11 24 7 0 12 39 39 23 9 10 10 5 23 39 39 23 24 2 2 10 23 19 9 39 24 39 7 24 10 39 3 39 9 12 39 9 24 10 0 39 41 12 10 12 23 23 39 40 39 39 2 10 39 39 2 24 39 2 12 20 23 14 39 10 24 23 18 9 24 23 2 39 3 24 4 24 23 22 11 10 2 24 10 22 23 10 39 3 40 32 23 20 0 37 25 23 20 34 23 22 12 0 32 26 12 23 26 25 41 24 10 23 23 12 23 33 12 33 40 23 0 8 23 39 3 7 39 32 33 37 24 12 25 39 12 32 24 27 39 33 19 27 23 9 29 19 27 13 39 19 32 0 24 38 26 30 8 12 32 19 7 39 25 31 3 39 33 19 12 26 23 0 39 18 25 5 12 20 12 31 0 33 41 12 12 12 39"
