rank,fitness,winrate,genome
1,-0.6962,0.9773,"2 20 25 2 39 5 22 11 28 22 10 39 28 40 29 41 24 39 11 1 39 10 41 1 2 10 39 41 29 39 23 29 30 0 29 39 37 9 42 38 2 12 41 16 2 1 30 19 22 31 19 20 12 20 28 23 11 9 11 31 6 28 6 12 39 35 9 20 19 30 30 30 3 37 8 9 19 0 9 4 17 39 20 2 11 29 19 2 35 2 9 12 3 29 41 20 39 30 12 20 34 39 33 29 2 2 35 36 32 39 34 39 31 31 41 32 2 20 20 31 12 25 9 33 0 33 12 11 32 39 12 39 34 12 33 31 35 12 9 32 38 34 35 36 39 34 12 35 41 39 27 36 34 12 3 35 20 34 32 39 34 2 29 9 32 12 11 34 28 42 34 9 10 12 35 32 34 39 31 32 34 26 0 2 39 12 39 2 39 35 12 25 36 31 31 12 35 12 27 36 7 32 30 33 39 39 31 39 31 32 39 8 9 29 2 39 27 29 39 7 10 29 2 8 7 10 39 2 29 39 7 29 39 28 39 39 29 33 33 28 7 7 7 7 39 29 28 10 29 33 7 30 32 2 31 0 6 7 8 8 2 6 29 39 29 31 33 33 26 31 32 28 12 33 28 12 28 8 8 31 29 31 30 6 12 39 28 13 32 28 29 8 12 11 39 39 11 12 0 28 12 21 31 32 25 12 2 39 39 22 39 21 30 41 39 0 33 39 0 21 23 33 38 39 31 22 24 10 33 10 39 12 12 12 23 31 11 22 23 3 21 21 21 21 32 21 22 33 31 22 22 39 33 21 2 21 10 10 21 24 33 21 33 33 22 29 22 12 22 21 28 39 1 39 22 31 11 31 12 30 39 23 32 21 24 23 10 37 23 33 27 12 12 9 27 7 24 0 21 23 8 35 12 40 1 35 34 35 3 17 0 39 0 8 34 34 12 34 8 3 1 19 17 18 3 34 39 36 30 29 33 36 0 34 8 34 2 34 39 12 36 37 12 34 39 34 33 7 34 41 35 36 7 36 6 7 20 3 18 35 39 5 0 39 33 1 0 34 6 34 35 7 36 8 39 35 39 34 35 12 19 34 35 36 33 7 34 16 17 35 34 41 16 34 2 36 36 38 36 30"
2,-0.6905,0.9783,"2 20 25 2 39 5 22 11 28 22 10 39 28 40 29 41 24 39 11 1 39 10 41 1 2 10 39 41 29 39 23 29 30 0 29 39 37 9 42 38 2 12 41 16 2 1 30 19 22 31 19 20 12 20 28 23 11 9 11 31 6 28 6 12 39 35 9 20 19 30 30 30 3 37 8 9 19 0 9 4 17 39 20 2 11 29 19 2 35 2 9 12 3 29 41 20 39 30 12 20 34 39 33 29 2 2 35 36 32 39 34 39 31 12 41 32 2 20 20 31 12 25 9 33 0 33 12 11 12 39 12 39 34 12 33 31 35 12 9 32 38 34 35 36 39 34 12 35 41 39 27 36 34 12 3 35 20 34 32 39 34 2 29 9 32 12 11 34 28 15 34 9 10 12 35 32 34 39 31 32 34 26 0 2 39 12 39 2 39 35 12 25 36 12 31 12 35 12 27 36 7 2 30 33 39 39 31 39 31 32 39 8 9 29 2 39 27 29 2 7 10 29 2 2 7 10 39 2 29 39 7 29 39 28 39 39 29 33 33 28 7 7 7 5 39 29 28 2 29 33 7 30 32 2 31 0 6 2 8 8 2 6 29 39 29 31 33 33 26 31 32 28 12 33 28 12 28 8 8 31 5 31 30 6 12 39 28 13 32 28 29 8 12 11 39 39 11 12 0 28 12 21 31 32 25 12 2 39 39 22 39 21 30 41 39 0 33 39 0 21 23 33 38 39 31 22 24 10 33 10 39 12 12 12 23 31 11 22 23 3 21 21 21 21 32 21 22 33 31 22 22 39 33 21 2 21 10 10 21 24 33 21 33 33 22 29 22 12 22 21 28 39 1 39 22 31 11 31 12 30 39 23 32 21 24 23 10 37 23 33 27 12 12 9 27 7 24 0 21 23 8 36 12 12 1 35 34 35 3 17 0 39 0 36 34 13 12 34 8 36 35 19 17 18 12 39 39 36 36 29 33 14 0 34 8 34 36 34 39 12 36 34 12 34 36 34 33 7 34 41 35 36 7 36 6 7 20 3 18 35 39 5 34 39 33 1 0 34 6 34 36 39 36 8 12 35 39 34 35 12 19 34 35 36 12 7 37 35 17 35 34 41 16 34 2 36 36 38 36 12"
3,-0.6860,0.9400,"2 20 25 2 39 5 22 11 28 22 10 39 28 40 29 11 24 39 11 1 39 10 41 13 2 10 39 41 29 39 23 29 30 0 29 39 37 9 42 38 2 12 41 16 2 1 30 19 22 31 19 20 12 20 28 23 11 9 11 31 6 28 6 12 39 35 9 20 19 30 30 30 9 37 8 9 19 0 9 4 17 39 20 2 11 29 19 2 35 2 9 12 3 29 41 20 39 30 12 20 26 36 9 29 2 2 34 36 20 36 10 35 20 12 41 39 2 20 20 35 12 25 9 10 0 35 12 11 10 39 12 34 34 34 34 11 35 37 9 2 38 34 35 36 39 34 20 35 41 39 27 36 19 35 3 35 20 34 41 39 2 2 29 9 39 12 11 12 28 42 20 9 10 2 35 34 34 39 11 9 34 26 0 2 39 35 12 2 11 35 12 25 37 10 39 10 35 12 27 34 35 7 7 2 7 2 3 8 7 7 10 35 8 36 8 2 2 9 10 2 12 8 16 8 39 10 7 11 36 7 8 7 2 39 25 36 39 23 7 36 36 36 11 7 11 6 25 10 39 2 34 7 8 4 12 2 2 7 7 2 11 7 8 36 8 35 27 7 8 8 8 2 8 34 12 37 3 12 36 8 12 8 39 37 8 25 42 2 34 8 35 8 9 5 7 9 7 34 39 8 27 29 14 37 25 39 16 7 9 27 39 39 30 32 12 2 2 39 9 23 23 33 14 32 31 10 32 10 33 10 26 20 21 17 23 39 11 11 25 3 1 12 23 39 11 21 1 12 31 38 27 24 33 26 8 9 10 10 23 8 30 13 33 26 25 30 26 33 28 12 28 12 1 39 27 31 11 8 12 24 8 12 39 19 26 27 10 29 23 33 27 41 39 9 27 7 9 0 40 41 19 39 39 2 26 25 11 25 25 2 12 12 9 9 39 27 12 22 7 12 9 11 39 12 12 12 20 27 30 10 25 28 27 26 11 12 25 25 20 12 33 18 18 29 9 9 28 11 30 39 12 21 39 20 2 26 10 19 39 27 10 0 5 26 19 10 10 2 2 26 19 20 39 25 11 10 2 30 12 0 2 26 20 39 12 28 2 39 27 11 35 10 17 12 27 2 39 39 10 19"
4,-0.5801,0.8696,"2 20 25 2 39 5 22 11 28 22 10 39 28 40 29 41 24 39 11 1 39 10 41 1 2 10 39 41 29 39 23 29 30 0 29 39 37 9 42 38 2 12 41 16 2 1 30 19 22 31 19 20 12 20 28 23 11 9 11 31 6 3 6 12 39 35 9 20 19 30 30 30 3 37 8 9 19 0 9 4 17 39 20 2 11 29 19 2 35 2 9 12 3 29 41 20 39 30 12 20 26 36 9 29 2 2 34 36 20 36 10 35 20 12 41 39 2 20 20 35 12 25 9 10 0 35 12 11 10 39 12 34 34 34 34 11 35 37 9 2 38 34 35 36 39 34 20 35 41 39 27 36 19 35 3 35 20 34 41 39 2 2 29 9 39 12 11 12 28 42 20 9 10 2 35 34 34 39 11 9 34 26 0 2 39 35 12 2 11 35 12 25 37 10 39 10 35 12 27 34 7 2 30 33 39 39 31 39 31 32 39 8 9 29 2 39 27 29 2 7 10 29 2 2 7 10 39 2 29 39 7 29 39 28 39 39 29 33 33 28 7 7 7 5 39 29 28 2 29 33 7 30 32 2 31 0 6 2 8 8 2 6 29 39 29 31 33 33 26 31 32 28 12 33 28 12 28 8 8 31 5 31 30 6 12 39 28 13 32 28 29 8 12 11 39 39 11 12 0 28 39 29 39 32 25 12 28 39 39 28 39 21 30 41 39 0 33 29 0 28 12 25 38 39 27 22 24 25 26 26 29 12 12 29 23 31 11 22 25 3 21 21 21 28 32 21 22 33 31 29 27 39 30 21 30 12 27 29 21 24 33 39 29 33 22 26 22 12 22 25 28 39 25 39 26 26 25 31 12 30 39 23 12 28 24 27 10 37 29 33 27 26 12 9 30 7 24 0 21 23 8 36 36 12 1 35 34 35 3 17 0 34 0 36 36 13 12 36 8 36 35 19 17 18 12 12 39 12 36 29 34 14 34 35 8 34 35 34 39 12 36 34 12 34 36 34 33 36 34 34 35 36 7 36 12 35 20 3 18 35 39 5 36 39 33 1 34 34 6 34 36 12 36 8 12 35 39 34 35 36 19 34 35 36 12 7 34 35 17 35 34 41 16 34 2 36 36 36 36 36"
5,-0.5620,0.8511,"2 20 25 2 39 5 22 8 7 22 10 7 28 40 29 41 24 8 11 8 7 10 41 1 2 10 39 41 29 39 23 29 30 0 29 39 37 9 42 8 2 12 41 16 2 1 30 19 22 31 19 8 12 20 28 23 11 9 11 31 7 8 7 7 39 8 9 20 19 30 30 30 8 37 7 7 8 0 9 8 8 7 20 2 11 29 19 2 35 2 9 12 3 29 41 7 39 30 8 20 34 39 33 29 2 2 35 36 32 39 34 39 31 12 41 32 2 20 20 31 12 25 9 33 0 33 12 11 12 39 12 39 34 12 33 31 35 12 9 32 38 34 35 36 39 34 12 35 41 39 27 36 34 12 3 35 20 34 32 39 34 2 29 9 32 12 11 34 28 15 34 9 10 12 35 32 34 39 31 32 34 26 0 2 39 12 39 2 39 35 12 25 36 12 31 12 35 12 27 36 7 2 30 33 39 39 31 39 31 32 39 8 9 29 2 39 27 29 2 7 10 29 2 2 7 10 39 2 29 39 7 29 39 28 39 39 29 33 33 28 7 7 7 5 39 29 28 2 29 33 7 30 32 2 31 0 6 2 8 8 2 6 29 39 29 31 33 33 26 31 32 28 12 33 28 12 28 8 8 31 5 31 30 6 12 39 28 13 32 28 29 8 12 11 39 39 11 12 0 28 12 21 31 8 7 12 2 8 2 22 39 8 30 41 39 12 33 8 0 21 23 33 38 39 31 22 24 10 33 10 39 12 12 2 23 2 11 7 7 3 21 21 21 12 32 21 15 33 31 22 22 39 38 21 2 8 10 10 21 24 33 21 8 33 22 29 22 8 22 21 28 39 1 7 22 31 11 31 12 30 39 12 8 21 24 7 10 2 2 2 27 12 12 9 27 7 12 0 12 23 8 35 12 12 1 35 34 35 3 12 0 39 0 8 34 13 12 34 8 3 1 19 17 18 12 34 39 36 30 29 33 14 0 34 8 34 2 34 39 12 36 37 12 34 39 34 33 7 34 41 35 36 7 36 6 7 20 3 18 35 39 5 0 39 33 40 0 34 6 34 35 7 36 8 12 35 39 34 35 12 19 0 35 36 12 7 34 16 17 35 34 41 16 34 2 36 36 38 36 12"
6,-0.5314,0.8200,"25 20 27 27 39 25 22 11 25 12 27 39 27 40 29 39 24 39 11 1 39 39 41 27 2 10 39 41 25 39 23 29 30 27 26 26 37 9 26 38 2 12 25 16 2 1 26 19 25 31 19 20 26 39 25 23 11 9 11 25 6 28 27 12 39 25 9 20 26 30 39 30 3 25 8 9 25 27 9 4 27 25 26 2 12 25 25 2 35 2 9 12 3 29 27 20 27 25 26 12 26 36 9 29 2 2 34 36 20 36 10 35 20 12 41 39 2 20 20 35 12 25 9 10 0 35 12 11 10 39 12 34 34 34 34 11 35 37 9 2 38 34 35 36 39 34 20 35 41 39 27 36 19 35 3 35 20 34 41 39 2 2 29 9 39 12 11 12 28 42 20 9 10 2 35 34 34 39 11 9 34 26 0 2 39 35 12 2 11 35 12 25 37 10 39 10 35 12 27 34 7 2 30 33 39 39 31 39 31 32 39 8 9 29 2 39 27 29 2 7 10 29 2 2 7 10 39 2 29 39 7 29 39 28 39 39 29 33 33 28 7 7 12 42 39 29 28 2 29 12 7 30 32 2 31 0 6 2 8 8 2 6 29 39 29 31 33 33 26 31 32 28 12 33 2 12 28 8 8 31 2 31 30 6 12 39 28 13 32 28 29 8 12 11 39 39 11 12 0 28 12 21 31 32 25 8 2 39 39 7 8 21 7 41 39 0 33 39 0 21 23 33 38 8 8 22 24 10 33 10 39 12 12 12 23 31 11 22 23 3 21 7 21 0 32 21 22 8 31 22 22 39 7 21 2 21 10 10 21 24 33 8 33 33 22 29 22 12 22 21 28 39 1 39 22 31 8 31 12 30 39 23 32 8 24 7 10 37 7 33 27 8 12 9 27 7 24 8 21 23 8 35 12 12 1 35 34 35 3 12 0 39 0 8 34 13 12 34 8 3 1 19 17 18 12 34 39 36 30 29 33 14 0 34 8 34 2 34 39 12 36 37 12 34 39 34 33 7 34 41 35 36 7 36 6 7 20 3 18 35 39 5 0 39 33 40 0 34 6 34 35 7 36 8 12 35 39 34 35 12 19 0 35 36 12 7 34 16 17 35 34 41 16 34 2 36 36 38 36 12"
7,-0.5222,0.8140,"2 20 25 2 39 5 22 11 28 22 10 39 28 40 29 41 24 39 11 1 39 10 41 1 2 10 39 41 29 39 23 29 30 0 29 39 37 9 42 38 2 12 41 16 2 1 30 19 22 31 19 20 12 20 28 23 11 9 11 31 6 28 6 12 39 35 9 20 19 30 30 30 3 37 8 9 19 0 9 4 17 39 20 2 11 29 19 2 35 2 13 12 3 29 41 20 39 30 12 20 26 36 9 29 2 2 34 36 20 36 10 35 20 12 41 39 2 20 20 35 12 25 9 10 0 35 12 11 10 39 12 34 34 34 34 11 35 37 9 2 38 34 35 36 39 34 20 35 41 39 27 36 19 35 3 35 20 34 41 39 2 2 29 9 39 12 11 12 28 42 20 9 10 2 35 34 34 39 11 9 34 26 0 2 39 35 12 2 11 35 12 25 37 10 39 10 35 12 27 34 7 2 30 33 39 39 31 39 31 32 39 8 9 29 2 39 27 29 2 7 10 29 2 2 7 10 39 2 29 39 7 29 40 28 39 39 29 33 33 28 7 7 12 42 39 29 28 2 29 12 7 30 32 2 31 0 6 2 8 8 2 6 29 39 29 31 33 33 26 31 32 28 12 33 2 12 28 8 8 31 2 31 30 6 12 39 28 13 32 28 29 8 12 11 39 39 11 12 0 28 12 21 31 8 7 12 2 8 8 22 39 8 30 41 39 7 33 8 0 21 23 33 38 39 31 22 24 10 33 10 39 12 12 12 23 31 11 7 7 3 21 21 21 8 32 21 22 33 31 22 22 39 38 21 2 8 10 10 21 24 33 21 8 33 22 29 22 8 22 21 28 39 1 7 22 31 11 31 12 30 39 8 8 21 24 7 10 37 23 33 27 12 12 9 27 7 24 0 21 23 8 36 36 12 1 35 34 35 3 17 0 34 0 36 36 13 12 36 8 36 35 19 17 18 12 12 39 12 36 29 34 14 34 35 8 34 35 34 39 12 36 34 12 34 36 34 33 36 34 34 35 36 7 36 12 35 20 3 18 35 39 5 36 39 33 1 34 34 6 34 36 12 36 8 12 35 39 34 35 36 19 34 35 36 12 7 34 35 17 35 34 41 16 34 2 36 36 36 36 36"
8,-0.4972,0.7872,"2 20 25 2 39 5 22 11 28 22 10 39 28 40 29 41 24 39 11 1 39 10 41 1 2 10 39 41 29 39 23 29 30 0 29 39 37 9 42 38 2 12 41 16 2 1 30 19 22 31 19 20 12 20 28 23 11 9 11 31 6 28 6 12 39 35 9 20 19 30 30 30 3 37 8 9 19 0 9 4 17 39 20 2 11 29 19 2 35 2 9 12 3 29 41 20 39 30 12 20 26 36 9 29 2 2 34 36 20 36 10 35 20 12 41 39 2 20 20 35 12 25 9 10 0 35 12 11 10 39 12 34 34 34 34 11 35 37 9 2 38 34 35 36 39 34 20 35 41 39 27 36 19 35 3 35 20 34 41 39 2 2 29 9 39 12 11 12 28 42 20 9 10 2 35 34 34 39 11 9 34 26 0 2 39 35 12 2 11 35 12 25 37 10 39 10 35 12 27 34 7 2 30 33 12 39 31 39 31 32 39 8 9 29 2 39 27 29 2 7 12 29 2 2 7 15 39 2 29 39 7 29 39 28 39 39 29 33 33 28 7 7 12 42 39 29 28 2 29 12 7 30 32 2 31 0 6 12 8 8 2 6 29 39 29 31 33 33 26 31 32 28 12 33 2 12 28 8 8 31 2 31 30 6 12 39 28 13 32 28 29 8 12 11 39 12 11 12 0 28 12 21 31 28 25 12 2 39 39 22 39 21 30 41 39 0 33 39 0 21 23 28 38 39 31 22 24 10 33 10 39 12 29 12 23 31 11 22 23 3 29 21 21 0 32 21 22 33 31 22 22 39 29 21 2 21 10 10 21 24 12 21 33 33 22 29 22 12 22 21 28 39 1 39 22 39 11 31 12 30 39 23 32 21 24 23 29 37 23 33 27 12 12 39 27 7 24 0 30 23 8 36 36 12 1 35 34 35 3 17 0 34 0 36 36 13 12 36 8 36 35 19 17 18 12 12 39 12 36 29 34 14 34 35 8 34 35 34 39 12 36 34 12 34 36 34 13 36 34 34 35 36 7 36 12 35 20 3 18 35 39 5 36 39 33 1 34 34 6 34 36 12 36 8 12 35 39 34 35 36 19 34 35 36 12 7 34 35 17 35 34 41 16 34 2 36 36 36 36 36"
9,-0.4863,0.7736,"2 20 25 2 39 5 22 11 28 22 10 39 28 40 29 41 24 39 11 1 39 10 41 1 2 10 39 41 29 39 23 29 30 0 29 39 37 9 42 38 2 12 41 16 2 1 30 19 22 31 19 20 12 20 28 23 11 9 11 31 6 3 6 12 39 35 9 20 19 30 30 30 3 37 8 9 19 0 9 4 17 39 20 2 11 29 19 2 35 2 9 12 3 29 41 20 39 30 12 20 26 36 9 29 2 2 34 36 20 36 10 35 20 12 41 39 2 20 20 35 12 25 9 10 0 35 12 11 10 39 12 34 34 34 34 11 35 37 9 2 38 34 35 36 39 34 20 35 41 39 27 36 19 35 3 35 20 34 41 39 2 2 29 9 39 12 11 12 28 42 20 9 10 2 35 34 34 39 11 0 34 26 0 2 39 35 12 2 11 35 12 25 37 10 39 10 35 12 27 34 7 2 30 23 39 24 24 39 31 32 39 12 9 24 23 39 27 29 2 7 10 23 2 2 23 10 39 24 29 39 7 29 39 28 39 39 29 33 33 28 7 7 7 24 39 24 23 24 29 33 7 30 32 2 31 0 6 2 8 8 2 6 29 39 29 31 23 33 26 31 32 28 12 33 28 12 28 8 8 24 5 31 30 6 24 39 28 13 32 28 29 8 12 11 39 23 11 23 0 28 12 21 31 32 25 12 2 39 39 22 39 21 30 41 39 0 33 39 0 21 23 33 38 39 31 22 24 10 33 10 39 12 12 12 23 31 11 22 23 3 21 21 21 21 32 21 22 33 31 22 22 39 33 21 2 21 10 10 21 24 33 21 33 33 22 29 22 12 22 21 28 39 1 39 22 31 11 31 12 30 39 23 32 21 24 23 10 37 23 33 27 12 12 9 27 7 24 0 21 23 8 35 12 40 1 35 34 35 3 17 0 39 0 8 34 34 12 34 8 3 1 19 17 18 3 34 39 36 30 29 33 36 0 34 8 34 2 34 39 12 36 37 12 34 39 34 33 7 34 41 35 36 7 36 6 7 20 3 18 35 39 5 0 39 33 1 0 34 6 34 35 7 36 8 39 35 39 34 35 12 19 34 35 36 33 7 34 16 17 35 34 41 16 34 2 36 36 38 36 30"
10,-0.4820,0.7727,"2 20 25 2 39 5 22 11 28 22 10 39 28 40 29 41 24 39 11 1 39 10 41 1 2 10 39 41 29 39 23 29 30 0 29 39 37 9 42 38 2 12 41 16 2 1 30 19 22 31 19 20 12 20 28 23 11 9 11 31 6 3 6 12 39 35 9 20 19 30 30 30 3 37 8 9 19 0 9 4 17 39 20 2 11 29 19 2 35 2 9 12 3 29 41 20 39 30 12 20 34 39 33 29 2 2 35 36 32 39 34 39 31 31 41 32 2 20 20 31 12 25 9 33 0 33 12 11 32 39 12 39 34 12 33 31 35 12 9 32 38 34 35 36 39 34 12 35 41 39 27 36 34 12 3 35 20 34 32 39 34 2 29 9 32 12 11 34 28 42 34 9 10 12 35 32 34 39 31 32 34 26 0 2 39 12 39 2 39 35 12 25 36 31 31 12 35 12 27 36 7 2 30 33 39 39 31 39 31 32 39 8 9 29 2 39 27 29 2 7 10 29 2 2 7 10 39 2 29 39 7 29 39 28 39 39 29 33 33 28 7 7 7 5 39 29 28 2 29 33 7 30 32 2 31 0 6 2 8 8 2 6 29 39 29 31 33 33 26 31 32 28 12 33 28 12 28 8 8 31 5 31 30 6 12 39 28 13 32 28 29 8 12 11 39 39 11 12 0 28 12 21 31 32 25 12 2 39 39 22 39 21 30 41 39 0 33 39 0 21 23 33 3 39 31 22 24 10 33 10 39 12 12 12 0 31 11 22 23 3 21 21 21 0 32 21 3 33 0 22 22 39 33 21 0 21 10 10 21 24 33 21 33 33 22 29 22 12 22 21 28 39 1 39 22 31 41 31 12 30 39 23 32 21 24 23 10 37 23 33 27 12 12 9 3 7 24 0 21 23 8 35 12 12 1 35 34 35 3 17 0 39 0 8 34 13 12 34 8 3 1 19 17 18 12 34 39 36 30 29 33 14 0 34 8 34 2 34 39 12 36 37 12 34 39 34 33 7 34 41 35 36 7 36 6 7 20 3 18 35 39 5 0 39 33 1 0 34 6 34 35 7 36 8 12 35 39 34 35 12 19 0 35 36 12 7 34 16 17 35 34 41 16 34 2 36 36 38 36 12"
