rank,fitness,winrate,genome
1,-0.7495,0.9615,"2 17 17 2 17 17 17 42 17 2 18 39 17 17 2 17 4 39 17 17 17 17 17 17 21 18 17 17 17 17 17 17 17 17 17 17 17 39 17 17 2 2 17 17 17 17 17 2 17 17 17 17 17 17 17 17 17 18 17 17 17 2 17 17 39 17 21 17 26 17 17 2 2 18 11 17 2 2 17 5 17 17 2 17 17 17 17 17 2 18 17 17 17 17 17 39 17 17 18 39 13 27 6 25 3 2 25 16 25 5 0 3 25 13 13 25 12 3 5 27 12 5 12 25 3 25 16 27 13 12 38 25 16 25 1 25 12 25 4 2 1 1 3 27 13 25 25 25 12 5 13 25 6 25 2 27 12 16 5 12 12 16 25 12 12 25 16 13 12 13 38 37 25 0 6 6 12 27 4 38 4 12 37 25 12 12 5 0 5 13 2 12 16 3 25 25 27 25 1 16 28 28 21 28 28 30 28 28 28 28 21 28 21 28 21 21 30 22 28 28 28 28 17 28 29 28 21 28 28 21 28 28 2 30 28 28 28 28 21 30 28 28 28 28 28 28 28 28 30 2 28 28 28 28 28 28 21 21 2 29 28 28 21 2 21 2 28 28 28 28 28 28 28 21 28 2 28 28 28 28 28 28 28 28 28 28 21 28 28 28 28 2 28 28 21 28 28 28 28 28 17 41 17 17 30 17 28 17 17 17 28 17 17 28 17 28 17 17 18 17 17 28 28 28 28 28 17 28 28 18 28 17 17 17 17 41 17 17 17 28 17 17 17 17 17 17 17 17 17 17 28 17 17 17 28 28 17 17 17 18 18 28 28 17 17 17 17 17 28 17 18 17 17 17 17 17 17 17 17 17 18 28 17 28 28 17 17 17 17 17 30 17 30 28 17 28 28 3 17 41 23 23 9 23 23 10 9 21 24 39 9 23 24 23 9 39 23 23 23 10 23 23 24 23 11 9 23 23 9 23 9 23 9 23 23 23 9 9 9 23 23 23 9 23 23 23 23 10 9 23 23 23 23 9 9 23 11 23 23 23 11 23 9 23 23 9 23 24 9 23 9 23 9 9 23 9 23 23 23 23 23 23 23 9 9 23 9 23 23 9 23 23 23 23 9 9 23 9 23 23"
2,-0.7380,0.9600,"6 7 7 7 2 7 8 7 2 2 2 7 4 7 7 7 2 7 7 7 7 8 7 7 5 2 7 7 7 7 7 7 7 37 7 7 7 7 8 7 8 7 7 7 7 2 7 7 7 7 7 2 2 37 7 2 5 7 2 7 2 7 7 2 7 7 7 7 8 7 7 7 7 7 12 7 7 7 2 7 7 7 2 4 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 25 27 6 25 25 39 25 25 25 5 25 25 39 25 39 27 25 12 25 25 12 25 25 26 25 27 25 39 39 39 39 26 25 26 25 25 39 25 25 39 16 25 25 27 27 25 25 39 25 25 39 39 39 25 2 25 25 25 5 25 25 16 26 25 39 39 39 26 25 25 25 25 39 12 25 25 39 39 4 25 25 12 39 39 25 25 5 12 25 37 2 39 25 39 25 39 25 25 39 39 19 19 11 2 2 2 2 2 2 2 2 19 2 2 2 2 11 2 19 2 2 9 2 2 19 2 2 2 2 2 19 19 19 2 19 19 2 19 2 2 2 2 9 19 2 2 2 9 2 11 19 2 2 2 2 2 2 2 2 19 2 2 2 2 2 2 2 19 2 2 19 9 19 2 2 2 2 19 19 2 2 2 19 2 2 19 10 2 2 19 19 9 19 2 2 19 2 2 19 2 3 3 3 40 0 0 3 17 3 17 3 17 17 0 0 0 3 0 3 0 40 3 3 28 0 3 0 0 40 0 3 17 17 3 0 3 0 0 3 3 0 17 0 40 40 40 0 0 0 0 28 3 3 17 3 3 3 3 17 18 18 0 28 0 40 40 3 3 3 3 0 40 3 17 17 3 17 0 0 0 3 28 3 3 3 3 0 17 3 0 3 3 41 3 0 3 28 0 0 41 28 28 31 30 28 29 31 31 28 0 31 28 28 28 31 28 32 28 28 28 31 28 31 28 30 28 28 31 28 31 28 29 31 28 28 28 28 28 28 28 28 0 28 28 28 31 3 28 29 30 28 28 28 28 31 28 28 28 28 28 28 28 28 28 28 28 28 28 28 31 28 28 31 28 28 28 30 28 28 28 31 28 3 31 28 28 28 28 28 30 28 31 28 28 28 31 3 28 28 31"
3,-0.7323,0.9310,"2 17 17 2 17 17 17 42 17 2 18 39 17 17 2 0 4 1 17 13 17 17 38 3 21 18 17 17 17 17 17 17 17 3 13 0 17 38 17 0 13 38 17 17 17 38 17 2 17 13 17 13 17 17 38 13 17 18 17 17 17 2 17 3 39 17 3 17 26 3 0 2 2 18 11 17 2 13 17 5 1 17 2 17 17 17 17 17 2 0 17 1 1 17 17 39 1 17 18 39 13 27 6 25 3 2 25 16 25 5 0 3 25 13 13 25 12 3 5 27 12 5 12 25 3 25 16 27 13 12 38 25 16 25 1 25 12 25 4 2 1 1 3 27 13 25 25 25 12 5 13 25 6 25 2 27 12 16 5 12 12 16 25 12 12 25 16 13 12 13 38 37 25 0 6 6 12 27 4 38 4 12 37 25 12 12 5 0 5 13 2 12 16 3 25 25 27 25 1 16 28 28 21 28 28 30 28 28 28 28 21 28 21 28 21 21 30 22 28 28 28 28 17 28 29 28 21 28 28 21 28 28 2 30 28 28 28 28 21 30 28 28 28 28 28 28 28 28 30 2 28 28 28 28 28 28 21 21 2 29 28 28 21 2 21 2 28 28 28 28 28 28 28 21 28 2 28 28 28 28 28 28 28 28 28 28 21 28 28 28 28 2 28 28 21 28 28 28 28 28 17 41 17 17 30 17 28 17 17 17 28 17 17 28 17 28 17 17 18 17 17 28 28 28 28 28 17 28 28 18 28 17 17 17 17 41 17 17 17 28 17 17 17 17 17 17 17 17 17 17 28 17 17 17 28 28 17 17 17 18 18 28 28 17 17 17 17 17 28 17 18 17 17 17 17 17 17 17 17 17 18 28 17 28 28 17 17 17 17 17 30 17 30 28 17 28 28 3 17 41 13 21 21 21 21 10 21 21 5 21 21 3 21 23 21 21 21 21 4 21 23 21 6 22 21 6 37 23 21 21 1 23 21 21 21 21 9 13 21 21 23 21 22 21 21 0 21 13 21 21 21 0 21 3 21 21 21 21 22 21 1 23 22 21 38 9 21 13 21 21 22 21 21 21 21 21 1 21 21 21 21 21 21 21 21 0 21 13 21 21 21 21 21 23 2 37 22 21 21 21"
4,-0.5629,0.9200,"12 25 12 25 25 25 16 2 2 25 25 2 25 26 25 25 25 12 25 2 12 25 25 2 26 25 16 2 25 25 16 26 25 25 12 16 25 25 25 2 27 2 16 25 16 27 12 2 25 25 25 25 25 25 12 25 25 2 25 2 26 12 27 25 12 2 16 25 2 25 26 25 25 25 12 2 25 2 25 12 16 16 16 16 16 25 12 25 10 16 25 12 27 25 25 25 16 25 27 25 13 27 6 25 3 2 25 16 25 5 0 3 25 13 13 25 12 3 5 27 12 5 12 25 3 25 16 27 13 12 38 25 16 25 1 25 12 25 4 2 1 1 3 27 13 25 25 25 12 5 13 25 6 25 2 27 12 16 5 12 12 16 25 12 12 25 16 13 12 13 38 37 25 0 6 6 12 27 4 38 4 12 37 25 12 12 5 0 5 13 2 12 16 3 25 25 27 25 1 16 2 25 42 40 40 2 42 7 42 40 40 2 42 40 2 2 42 37 40 2 42 2 2 2 42 40 2 2 2 2 2 2 8 42 42 2 40 2 40 42 40 2 40 12 40 2 42 40 2 36 40 40 2 42 2 40 40 2 42 12 40 40 2 40 2 8 2 40 40 2 42 2 12 2 42 2 42 2 2 2 2 7 42 12 42 42 4 42 2 40 2 2 40 2 2 42 2 25 4 7 9 9 12 9 9 9 9 9 9 10 12 9 9 12 12 9 9 9 9 9 21 9 18 11 21 21 9 12 12 12 21 12 9 9 9 9 10 9 21 12 18 17 12 9 9 9 34 21 9 10 9 9 9 12 9 9 9 10 9 21 17 10 12 17 12 9 9 9 9 12 9 9 12 9 9 9 9 9 9 9 9 9 9 9 9 18 9 9 9 21 10 9 9 9 9 9 9 9 9 11 13 21 21 21 21 21 21 22 21 21 21 22 21 23 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 21 21 23 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 23 21 21 21 21 21 13 21 21 22 21 21 21 21 21 21 21 21 22 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 37 21 21 21 21"
5,-0.5533,0.9600,"12 12 12 2 2 30 2 12 12 12 12 12 17 12 2 12 12 29 17 17 29 12 17 12 21 12 30 12 12 2 12 12 2 37 2 12 12 12 28 12 29 12 12 12 2 12 12 12 2 12 17 2 17 2 12 30 12 2 12 12 12 37 2 17 12 12 12 12 2 30 12 29 12 12 11 12 12 2 12 2 2 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 2 29 16 27 6 25 39 2 25 39 25 5 37 25 25 25 12 25 12 39 39 27 39 5 12 25 25 25 16 27 12 12 39 25 16 25 39 25 12 25 4 2 39 39 12 39 39 25 39 25 12 5 5 25 39 25 39 27 12 16 5 12 12 16 25 12 12 25 39 12 12 16 25 39 25 12 6 39 12 27 4 25 4 39 37 25 12 12 5 39 5 37 39 12 16 16 25 25 27 25 39 39 17 2 25 12 25 16 16 16 12 25 5 17 18 16 25 25 4 25 12 16 25 12 16 12 16 17 17 25 25 4 5 12 25 21 37 25 16 12 5 26 2 37 17 4 27 25 4 25 2 2 27 16 4 25 25 5 5 25 12 16 12 25 25 2 12 17 25 4 25 16 16 25 16 25 25 16 4 5 25 25 16 25 37 25 25 2 25 5 27 2 16 6 12 6 25 25 4 25 16 27 25 25 25 25 0 0 27 25 25 25 3 17 17 25 25 26 25 25 27 25 26 25 25 25 0 25 25 25 40 25 25 17 25 3 25 3 25 26 25 3 25 17 25 40 25 25 25 25 0 25 28 25 25 25 25 3 25 25 17 25 25 0 25 0 40 25 25 27 26 25 0 25 25 25 25 25 25 0 25 25 25 25 25 25 25 25 25 25 25 25 3 3 41 25 25 25 25 0 0 41 28 28 31 30 28 29 31 31 28 0 31 28 28 28 31 28 32 28 28 28 31 28 31 28 30 28 28 31 28 31 28 29 31 28 28 28 28 28 28 28 28 0 28 28 28 31 3 28 29 30 28 28 28 28 31 28 28 28 28 28 28 28 28 28 28 28 28 28 28 31 28 28 31 28 28 28 30 28 28 28 31 28 3 31 28 28 28 28 28 30 28 31 28 28 28 31 3 28 28 31"
6,-0.5442,0.9200,"41 17 41 41 17 17 17 41 41 41 41 41 41 41 2 0 41 41 41 13 41 41 41 41 21 18 41 17 17 17 41 17 41 41 41 41 0 41 41 0 13 41 17 41 17 41 41 41 41 41 41 41 38 41 41 41 17 13 41 41 0 2 41 41 41 17 41 41 41 41 41 41 2 41 41 17 2 13 17 5 41 17 41 41 41 41 41 1 41 41 17 41 0 41 41 41 41 41 41 41 13 27 6 25 3 2 25 16 25 5 0 3 25 13 13 25 12 3 5 27 12 5 12 25 3 25 16 27 13 12 38 25 16 25 1 25 12 25 4 2 1 1 3 27 13 25 25 25 12 5 13 25 6 25 2 27 12 16 5 12 12 16 25 12 12 25 16 13 12 13 38 37 25 0 6 6 12 27 4 38 4 12 37 25 12 12 5 0 5 13 2 12 16 3 25 25 27 25 1 16 19 19 11 2 2 2 2 2 2 2 2 19 2 2 2 2 11 2 19 2 2 9 2 2 19 2 2 2 2 2 19 19 19 2 19 19 2 19 2 2 2 2 9 19 2 2 2 9 2 11 19 2 2 2 2 2 2 2 2 19 2 2 2 2 2 2 2 19 2 2 19 9 19 2 2 2 2 19 19 2 2 2 19 2 2 19 10 2 2 19 19 9 19 2 2 19 2 2 19 2 17 41 17 17 30 17 28 17 17 17 28 17 17 28 17 28 17 17 18 17 17 28 28 28 28 28 17 28 28 18 28 17 17 17 17 41 17 17 17 28 17 17 17 17 17 17 17 17 17 17 28 17 17 17 28 28 17 17 17 18 18 28 28 17 17 17 17 17 28 17 18 17 17 17 17 17 17 17 17 17 18 28 17 28 28 17 17 17 17 17 30 17 30 28 17 28 28 3 17 41 12 12 12 30 28 28 15 12 31 12 12 0 1 12 12 12 12 12 12 12 29 12 12 12 12 12 12 12 12 31 1 12 12 28 12 12 12 12 28 3 12 3 12 28 38 1 12 38 12 3 12 12 12 38 12 13 28 12 12 12 30 12 12 12 13 14 30 12 0 12 12 12 28 12 12 12 1 12 12 12 12 12 38 12 12 12 13 1 13 0 12 12 12 13 12 12 12 12 30 12"
7,-0.5429,0.8750,"6 7 7 7 2 7 8 7 2 2 2 7 4 7 7 7 2 7 7 7 7 8 7 7 5 2 7 7 7 7 7 7 7 37 7 7 7 7 8 7 8 7 7 7 7 2 7 7 7 7 7 2 2 37 7 2 5 7 2 7 2 7 7 2 7 7 7 7 8 7 7 7 7 7 12 7 7 7 2 7 7 7 2 4 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 16 27 6 25 39 2 25 39 25 5 37 25 25 25 12 25 12 39 39 27 39 5 12 25 25 25 16 27 12 12 39 25 16 25 39 25 12 25 4 2 39 39 12 39 39 25 39 25 12 5 5 25 39 25 39 27 12 16 5 12 12 16 25 12 12 25 39 12 12 16 25 39 25 12 6 39 12 27 4 25 4 39 37 25 12 12 5 39 5 37 39 12 16 16 25 25 27 25 39 39 2 2 11 2 2 2 2 2 2 2 2 4 2 2 2 2 11 2 19 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 5 6 9 5 2 2 2 9 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 19 2 2 2 2 2 2 2 2 2 2 2 2 9 19 2 2 19 2 5 2 2 28 28 42 28 28 28 2 28 28 28 28 42 42 28 28 28 28 28 28 30 28 2 2 30 28 28 42 28 28 28 2 42 28 28 2 28 28 2 28 28 28 29 28 12 28 2 28 28 2 28 28 28 28 28 2 28 28 2 2 28 28 28 28 28 2 28 28 28 28 28 2 5 2 28 28 2 28 28 28 28 28 28 2 28 37 28 28 28 42 37 28 2 28 2 28 28 2 2 28 2 28 28 31 30 28 29 31 31 28 0 31 28 28 28 31 28 32 28 28 28 31 28 31 28 30 28 28 31 28 31 28 29 31 28 28 28 28 28 28 28 28 0 28 28 28 31 3 28 29 30 28 28 28 28 31 28 28 28 28 28 28 28 28 28 28 28 28 28 28 31 28 28 31 28 28 28 30 28 28 28 31 28 3 31 28 28 28 28 28 30 28 31 28 28 28 31 3 28 28 31"
8,-0.5232,0.9130,"12 25 12 25 25 25 16 2 2 25 25 2 25 26 25 25 25 12 25 2 12 25 25 2 26 25 16 2 25 25 16 26 25 25 12 16 25 25 25 2 27 2 16 25 16 27 12 2 25 25 25 25 25 25 12 25 25 2 25 2 26 12 27 25 12 2 16 25 2 25 26 25 25 25 12 2 25 2 25 12 16 16 16 16 16 25 12 25 10 16 25 12 27 25 25 25 16 25 27 25 13 27 6 25 3 2 25 16 25 5 0 3 25 13 13 25 12 3 5 27 12 5 12 25 3 25 16 27 13 12 38 25 16 25 1 25 12 25 4 2 1 1 3 27 13 25 25 25 12 5 13 25 6 25 2 27 12 16 5 12 12 16 25 12 12 25 16 13 12 13 38 37 25 0 6 6 12 27 4 38 4 12 37 25 12 12 5 0 5 13 2 12 16 3 25 25 27 25 1 16 0 2 2 2 7 2 8 8 2 7 2 2 2 0 2 2 2 2 7 3 8 2 0 8 0 2 2 2 2 2 2 7 7 2 3 2 2 19 2 2 2 2 2 2 2 2 2 2 2 11 8 8 2 0 0 7 0 3 2 2 3 2 0 2 7 2 2 2 2 2 2 2 8 2 2 2 8 0 2 2 2 2 3 7 3 2 0 2 0 2 2 2 2 2 2 2 2 2 2 2 17 41 17 17 30 17 28 17 17 17 28 17 17 28 17 28 17 17 18 17 17 28 28 28 28 28 17 28 28 18 28 17 17 17 17 41 17 17 17 28 17 17 17 17 17 17 17 17 17 17 28 17 17 17 28 28 17 17 17 18 18 28 28 17 17 17 17 17 28 17 18 17 17 17 17 17 17 17 17 17 18 28 17 28 28 17 17 17 17 17 30 17 30 28 17 28 28 3 17 41 25 25 25 25 25 21 25 25 25 25 9 25 9 25 25 25 25 26 25 25 25 21 25 9 25 25 25 25 9 25 21 25 9 25 25 25 25 25 25 9 25 21 27 25 23 25 25 25 25 23 9 25 25 25 25 25 25 25 25 25 25 25 25 23 25 25 27 25 25 9 21 25 25 25 25 27 9 21 21 25 9 21 25 25 9 25 25 25 25 9 25 9 25 9 25 9 9 25 25 25"
9,-0.5048,0.9565,"12 25 12 25 25 25 16 2 2 25 25 2 25 26 25 25 25 12 25 2 12 25 25 2 26 25 16 2 25 25 16 26 25 25 12 16 25 25 25 2 27 2 16 25 16 27 12 2 25 25 25 25 25 25 12 25 25 2 25 2 26 12 27 25 12 2 16 25 2 25 26 25 25 25 12 2 25 2 25 12 16 16 16 16 16 25 12 25 10 16 25 12 27 25 25 25 16 25 27 25 16 27 6 25 39 2 25 39 25 5 37 25 25 25 12 25 12 39 39 27 39 5 12 25 25 25 16 27 12 12 39 25 16 25 39 25 12 25 4 2 39 39 12 39 39 25 39 25 12 5 5 25 39 25 39 27 12 16 5 12 12 16 25 12 12 25 39 12 12 16 25 39 25 12 6 39 12 27 4 25 4 39 37 25 12 12 5 39 5 37 39 12 16 16 25 25 27 25 39 39 12 40 12 40 12 12 36 12 12 35 36 12 12 12 12 2 12 12 12 40 36 2 2 40 12 12 12 2 36 12 12 2 8 12 12 12 12 2 12 42 40 12 34 12 12 12 12 12 40 12 12 12 12 12 2 40 12 12 12 12 40 12 12 12 12 12 2 12 35 12 35 12 12 12 40 2 42 36 2 12 12 12 42 12 12 42 12 12 12 12 12 12 40 12 35 12 2 12 12 40 9 39 12 42 39 42 42 42 42 42 39 9 42 42 12 42 42 42 42 42 42 42 42 42 42 42 39 42 12 39 21 42 12 42 9 12 42 39 12 12 18 42 39 42 42 42 34 21 42 16 42 42 42 12 42 42 42 42 42 42 17 10 42 42 39 9 39 39 42 42 42 9 42 42 9 42 42 42 42 9 42 9 42 42 42 18 39 42 42 42 42 39 12 42 9 9 42 42 42 42 2 2 8 17 2 2 17 2 17 2 8 28 2 2 2 17 2 17 8 2 2 28 2 2 2 2 7 17 2 2 2 2 2 17 2 2 2 2 28 2 2 2 2 28 17 31 17 2 29 18 17 2 2 7 18 2 28 2 2 2 2 2 2 2 2 7 2 2 2 8 2 2 2 2 2 2 2 2 2 28 31 28 2 17 2 2 2 28 17 2 2 2 28 18 2 17 2 2 2 17"
10,-0.4961,0.8333,"2 7 7 7 7 37 37 7 7 7 7 7 7 7 25 2 7 7 2 7 7 2 2 7 8 7 7 2 7 2 2 7 2 7 7 2 2 7 7 7 7 7 2 7 8 2 7 7 2 7 7 7 2 7 2 7 2 7 2 2 2 7 7 7 8 2 7 8 7 2 2 2 7 7 2 7 7 7 7 7 2 2 2 7 2 7 2 7 7 7 2 2 7 6 7 2 7 7 7 2 2 2 42 12 42 2 25 42 42 42 42 42 42 42 42 16 42 42 42 42 42 42 42 42 42 42 42 16 2 42 42 42 42 42 42 42 42 2 42 16 12 42 16 42 16 42 12 42 42 42 2 16 6 42 42 42 12 12 16 16 2 16 42 42 42 2 2 42 7 42 42 42 16 2 12 42 12 42 42 25 42 2 2 42 42 12 12 42 42 2 42 42 7 42 42 25 42 16 42 16 2 2 2 2 2 37 2 6 2 2 2 34 2 2 34 2 2 37 2 2 2 2 34 2 2 2 2 34 6 2 2 34 2 2 2 2 34 34 2 2 2 34 2 2 2 2 37 34 2 2 36 6 34 37 2 2 2 34 2 5 2 2 6 2 34 2 34 2 2 2 2 8 34 35 2 2 2 2 2 37 2 2 2 2 2 2 34 2 2 2 8 2 6 34 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 34 2 2 2 6 2 2 6 2 2 2 2 2 6 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 6 2 2 2 2 2 2 2 2 2 2 2 2 7 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 34 2 2 25 28 25 25 28 25 27 25 25 25 28 25 25 27 25 25 2 25 25 25 28 28 27 25 25 25 28 28 25 27 2 25 27 25 2 25 25 25 25 25 25 30 28 25 28 25 30 28 25 31 25 25 25 31 25 28 25 25 28 29 25 2 25 28 28 25 25 31 31 25 25 27 26 25 2 27 25 25 25 25 25 28 28 25 28 25 2 28 25 25 25 31 28 28 25 25 25 25 25 27"
