rank,fitness,winrate,genome
1,-0.6653,1.0000,"22 18 12 1 36 20 38 32 38 3 12 12 12 12 41 12 12 19 20 38 12 12 22 12 35 0 12 3 3 38 34 12 17 12 1 12 12 13 12 12 19 12 1 3 12 12 1 12 23 3 0 12 1 13 12 12 12 12 12 19 12 12 19 12 20 13 13 12 13 11 1 0 12 26 12 40 19 1 1 20 13 12 26 1 12 35 12 12 9 20 12 22 12 12 12 38 16 12 13 12 19 19 13 19 2 0 38 38 19 13 19 19 19 2 19 19 2 2 19 19 19 8 19 1 2 19 19 19 13 12 19 19 13 19 19 19 19 19 0 19 38 13 13 19 19 19 1 19 19 19 7 9 13 2 19 19 38 19 19 13 19 7 19 19 19 19 13 32 0 8 20 19 2 2 19 1 20 19 2 19 19 1 19 13 2 3 19 13 19 0 2 0 1 1 19 1 7 19 2 2 12 25 12 42 42 25 42 42 27 25 42 42 25 42 25 16 42 12 42 42 42 14 25 12 16 42 42 25 42 42 42 42 12 42 32 42 26 16 42 2 36 42 25 25 42 25 42 7 42 42 42 42 12 42 42 42 25 25 25 25 42 42 42 25 26 12 42 35 42 16 9 16 42 33 42 25 42 25 42 6 42 42 12 41 16 42 27 16 42 42 42 25 42 16 42 42 25 42 42 26 19 19 19 19 19 40 19 19 29 19 19 40 40 40 19 19 25 19 19 19 19 28 19 40 40 40 19 19 40 28 19 20 40 40 28 25 19 40 40 19 40 28 19 20 4 40 40 19 19 40 19 28 19 20 19 26 30 28 19 19 19 26 19 40 19 40 19 19 19 20 40 40 19 28 19 28 19 28 19 19 40 19 40 30 28 40 19 40 19 40 40 40 19 40 19 19 19 40 28 40 8 12 12 16 25 25 37 16 25 12 25 25 12 16 12 25 16 12 25 12 25 26 25 25 16 12 12 36 12 0 25 25 25 25 12 12 16 16 16 25 25 12 16 25 3 25 12 2 12 28 12 25 5 25 16 27 12 25 3 25 21 25 25 16 25 15 25 12 25 16 16 4 29 16 14 25 16 16 25 25 25 12 25 12 16 25 25 25 12 16 25 12 12 12 25 12 0 25 12 16"
2,-0.6532,0.9583,"22 18 12 1 36 20 38 32 38 3 12 12 12 12 41 12 12 19 20 38 12 12 22 12 35 0 12 3 3 38 34 12 17 12 1 12 12 13 12 12 19 12 1 3 12 12 1 12 23 3 0 12 1 13 12 12 12 12 12 19 12 12 19 12 20 13 13 12 13 11 1 0 12 26 12 40 19 1 1 20 13 12 26 1 12 35 12 12 9 20 12 22 12 12 12 38 16 12 13 12 19 19 2 19 2 20 19 19 19 19 19 19 19 2 19 19 2 2 19 19 19 8 19 19 2 19 19 19 2 12 19 19 42 19 19 19 19 19 19 19 19 19 3 19 19 19 40 19 19 19 7 9 20 2 19 19 19 19 19 19 19 7 19 19 19 19 38 32 19 8 20 19 2 2 19 19 20 19 2 19 19 1 19 20 2 4 19 19 19 20 2 0 19 19 19 19 7 19 2 2 12 25 12 42 42 25 42 42 27 25 42 42 25 42 25 16 42 12 42 42 42 14 25 12 16 42 42 25 42 42 42 42 12 42 32 42 26 16 42 2 36 42 25 25 42 25 42 7 42 42 42 42 12 42 42 42 25 25 25 25 42 42 42 25 26 12 42 35 42 16 9 16 42 33 42 25 42 25 42 6 42 42 12 41 16 42 27 16 42 42 42 25 42 16 42 42 25 42 42 26 19 19 19 19 19 40 19 19 29 19 19 40 40 40 19 19 25 19 19 19 19 28 19 40 40 40 19 19 40 28 19 20 40 40 28 25 19 40 40 19 40 28 19 20 4 40 40 19 19 40 19 28 19 20 19 26 30 28 19 19 19 26 19 40 19 40 19 19 19 20 40 40 19 28 19 28 19 28 19 19 40 19 40 30 28 40 19 40 19 40 40 40 19 40 19 19 19 40 28 40 8 12 26 25 25 25 37 16 25 26 25 25 12 12 25 25 25 31 25 0 25 26 25 25 0 25 12 36 12 0 25 25 25 25 25 25 39 12 16 25 25 25 16 25 3 25 12 2 22 28 25 25 5 25 16 27 12 25 3 25 21 25 25 16 25 15 25 0 25 25 25 4 29 16 14 25 25 16 25 25 25 12 25 12 16 25 25 25 12 13 25 25 12 12 25 25 0 25 12 25"
3,-0.6430,1.0000,"13 16 25 39 25 0 25 27 25 2 39 39 25 25 2 39 39 1 16 38 0 25 39 25 3 25 2 25 13 1 39 39 39 39 16 38 2 0 25 25 25 1 13 39 39 25 17 25 3 25 16 38 16 38 39 39 6 25 3 25 6 26 38 13 25 16 25 25 39 39 25 0 26 25 25 39 25 39 2 25 39 6 39 0 25 25 39 39 39 39 25 1 2 25 25 39 39 39 25 2 17 17 18 17 17 0 17 38 17 13 19 18 19 17 18 17 2 2 17 18 17 17 17 17 17 19 17 17 13 17 17 19 17 18 17 17 19 17 17 17 17 17 17 17 19 17 17 17 17 17 7 17 17 17 17 17 17 19 17 13 19 17 17 19 17 17 17 17 17 17 17 19 2 17 17 17 20 17 17 17 19 17 19 17 17 3 17 17 17 17 17 0 17 17 17 1 17 19 17 2 17 17 18 17 17 17 17 12 2 17 17 17 17 17 17 17 17 28 17 17 12 17 12 12 17 17 18 17 17 17 12 12 12 12 17 17 17 17 17 17 17 12 12 17 12 17 17 17 12 12 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 12 17 18 17 12 17 17 12 17 18 17 17 17 17 17 17 17 12 17 17 17 17 12 17 30 17 29 2 12 17 17 17 17 0 0 25 1 25 2 0 2 2 2 2 2 5 27 2 25 0 37 2 2 6 2 2 28 13 2 2 0 3 2 2 2 5 2 3 3 25 3 2 2 2 25 2 3 4 4 2 5 37 2 25 2 2 25 41 16 1 0 2 0 10 2 5 2 3 12 2 3 2 2 23 2 25 2 2 2 2 2 1 2 2 28 2 2 2 2 2 3 2 4 2 13 0 2 3 2 2 6 2 2 8 12 12 16 25 25 37 16 25 12 25 25 12 16 12 25 16 12 25 12 25 26 25 25 16 12 12 36 12 0 25 25 25 25 12 12 16 16 16 25 25 12 16 25 3 25 12 2 12 28 12 25 5 25 16 27 12 25 3 25 21 25 25 16 25 15 25 12 25 16 16 4 29 16 14 25 16 16 25 25 25 12 25 12 16 25 25 25 12 16 25 12 12 12 25 12 0 25 12 16"
4,-0.5339,1.0000,"25 16 25 37 25 25 25 27 25 2 25 2 25 25 2 25 25 25 16 25 2 25 25 25 2 25 2 25 25 25 25 25 25 2 16 25 2 25 25 25 25 25 16 25 26 25 17 25 25 25 16 25 16 12 25 25 6 25 25 25 6 26 25 25 25 16 25 25 25 12 25 16 26 25 25 16 25 26 2 25 2 6 25 25 25 25 25 2 26 2 25 25 2 25 25 25 25 39 25 2 7 2 2 2 7 2 2 2 3 2 7 2 19 2 2 2 7 2 2 2 7 2 2 2 0 2 7 7 2 2 2 0 2 3 2 8 7 2 2 2 2 8 2 0 2 2 0 3 0 2 3 2 3 2 2 2 2 2 2 2 2 2 3 2 7 7 2 2 3 2 2 7 3 3 2 2 2 7 8 8 2 0 2 8 2 3 7 7 0 2 8 3 7 0 2 3 7 7 2 2 2 2 2 2 16 2 2 2 2 2 2 2 2 2 34 2 4 16 2 2 34 9 6 2 6 2 34 2 2 2 2 6 34 2 12 34 34 37 12 2 2 2 2 2 2 2 34 2 37 4 2 9 2 2 34 6 2 2 2 4 34 2 2 34 2 34 2 34 2 2 34 34 2 2 2 2 2 34 2 34 36 2 2 2 34 2 4 2 2 2 2 2 2 2 2 34 9 12 2 37 1 0 25 1 25 2 13 2 0 2 2 0 5 27 2 25 0 37 2 0 0 38 2 28 13 2 2 0 3 2 2 0 3 0 3 38 25 3 2 2 1 25 2 3 4 3 2 5 37 2 25 3 0 38 41 16 1 0 2 3 10 0 5 1 3 38 1 0 1 2 23 2 25 2 2 0 2 13 1 2 2 28 2 13 2 2 2 0 3 38 2 13 0 2 3 2 2 6 3 2 8 12 12 16 25 25 37 16 25 12 25 25 12 16 12 25 16 12 25 12 25 26 25 25 16 12 12 36 12 0 25 25 25 25 12 12 16 16 16 25 25 12 16 25 3 25 12 2 12 28 12 25 5 25 16 27 12 25 3 25 21 25 25 16 25 15 25 12 25 16 16 4 29 16 14 25 16 16 25 25 25 12 25 12 16 25 25 25 12 16 25 12 12 12 25 12 0 25 12 16"
5,-0.4782,0.8800,"13 16 25 39 25 0 25 27 25 2 39 39 25 25 2 39 39 1 16 38 0 25 39 25 3 25 2 25 13 1 39 39 39 39 16 38 2 0 25 25 25 1 13 39 39 25 17 25 3 25 16 38 16 38 39 39 6 25 3 25 6 26 38 13 25 16 25 25 39 39 25 0 26 25 25 39 25 39 2 25 39 6 39 0 25 25 39 39 39 39 25 1 2 25 25 39 39 39 25 2 17 31 15 19 17 19 19 33 14 17 19 33 15 17 31 15 31 17 19 19 17 17 17 17 31 14 15 12 19 17 2 19 2 17 17 17 19 17 17 19 17 19 31 17 19 31 19 14 31 17 19 31 19 17 17 19 17 31 19 19 31 19 19 33 19 14 15 17 17 31 19 19 19 31 17 19 17 31 31 19 17 19 17 19 17 15 31 31 17 17 19 19 17 31 17 12 19 19 17 17 12 17 25 12 12 12 17 12 26 12 12 25 17 12 12 17 12 12 12 12 12 12 12 12 12 12 18 12 12 26 12 12 12 12 12 12 12 12 17 12 12 12 26 12 12 12 26 12 12 25 17 12 17 12 12 26 12 12 12 12 12 12 17 12 17 17 12 12 12 12 17 12 12 26 12 12 25 12 12 17 17 12 17 12 12 12 17 12 26 12 12 30 12 12 12 12 12 12 17 12 42 2 42 34 42 34 34 42 42 42 42 42 42 34 42 42 42 34 42 42 42 34 42 42 42 42 34 34 42 37 5 42 42 42 34 34 34 41 42 42 42 42 5 34 42 34 42 42 34 42 42 37 42 42 42 42 42 42 42 34 34 42 42 42 37 42 42 42 42 34 34 42 34 42 42 42 42 34 6 4 4 42 42 42 4 42 42 42 42 42 42 42 6 42 34 42 2 34 42 42 8 12 26 25 25 25 37 16 25 26 25 25 12 12 25 25 25 31 25 0 25 26 25 25 0 25 12 36 12 0 25 25 25 25 25 25 39 12 16 25 25 25 16 25 3 25 12 2 22 28 25 25 5 25 16 27 12 25 3 25 21 25 25 16 25 15 25 0 25 25 25 4 29 16 14 25 25 16 25 25 25 12 25 12 16 25 25 25 12 13 25 25 12 12 25 25 0 25 12 25"
6,-0.4304,0.9655,"25 16 25 37 25 25 25 27 25 2 25 2 25 25 2 25 25 25 16 25 2 25 25 25 2 25 2 25 25 25 25 25 25 2 16 25 2 25 25 25 25 25 16 25 26 25 17 25 25 25 16 25 16 12 25 25 6 25 25 25 6 26 25 25 25 16 25 25 25 12 25 16 26 25 25 16 25 26 2 25 2 6 25 25 25 25 25 2 26 2 25 25 2 25 25 25 25 39 25 2 19 19 13 19 2 0 38 38 19 13 19 19 19 2 19 19 2 2 19 19 19 8 19 1 2 19 19 19 13 12 19 19 13 19 19 19 19 19 0 19 38 13 13 19 19 19 1 19 19 19 7 9 13 2 19 19 38 19 19 13 19 7 19 19 19 19 13 32 0 8 20 19 2 2 19 1 20 19 2 19 19 1 19 13 2 3 19 13 19 0 2 0 1 1 19 1 7 19 2 2 1 2 38 2 16 2 38 2 3 2 2 2 2 1 38 0 4 16 2 2 34 13 38 2 1 2 34 2 2 2 2 6 13 38 12 34 34 3 3 2 2 2 2 0 13 2 34 2 37 1 1 3 38 2 34 6 38 2 2 4 34 2 2 34 2 3 2 34 1 2 38 0 2 2 2 2 2 34 2 34 13 2 2 2 34 2 3 2 2 38 2 2 13 2 2 34 3 12 2 37 12 12 18 12 18 12 12 12 2 12 12 12 12 17 12 18 0 12 2 12 12 12 2 12 17 12 12 12 3 12 17 12 12 12 18 3 12 3 12 18 2 12 2 18 17 12 2 12 37 12 12 2 12 12 12 12 12 18 12 17 12 12 12 12 12 12 12 3 12 2 23 12 25 18 12 12 12 2 17 12 2 28 12 12 2 12 17 12 12 4 2 13 0 12 3 12 2 12 17 18 8 12 12 16 25 25 37 16 25 12 25 25 12 16 12 25 16 12 25 12 25 26 25 25 16 12 12 36 12 0 25 25 25 25 12 12 16 16 16 25 25 12 16 25 3 25 12 2 12 28 12 25 5 25 16 27 12 25 3 25 21 25 25 16 25 15 25 12 25 16 16 4 29 16 14 25 16 16 25 25 25 12 25 12 16 25 25 25 12 16 25 12 12 12 25 12 0 25 12 16"
7,-0.4125,0.9231,"25 16 25 37 25 25 25 27 25 2 25 2 25 25 2 25 25 25 16 25 2 25 25 25 2 25 2 25 25 25 25 25 25 2 16 25 2 25 25 25 25 25 16 25 26 25 17 25 25 25 16 25 16 12 25 25 6 25 25 25 6 26 25 25 25 16 25 25 25 12 25 16 26 25 25 16 25 26 2 25 2 6 25 25 25 25 25 2 26 2 25 25 2 25 25 25 25 39 25 2 17 31 15 19 17 19 19 33 14 17 19 33 15 17 31 15 31 17 19 19 17 17 17 17 31 14 15 12 19 17 2 19 2 17 17 17 19 17 17 19 17 19 31 17 19 31 19 14 31 17 19 31 19 17 17 19 17 31 19 19 31 19 19 33 19 14 15 17 17 31 19 19 19 31 17 19 17 31 31 19 17 19 17 19 17 15 31 31 17 17 19 19 17 31 17 12 19 19 17 17 1 2 38 2 16 2 38 2 3 2 2 2 2 1 38 0 4 16 2 2 34 13 38 2 1 2 34 2 2 2 2 6 13 38 12 34 34 3 3 2 2 2 2 0 13 2 34 2 37 1 1 3 38 2 34 6 38 2 2 4 34 2 2 34 2 3 2 34 1 2 38 0 2 2 2 2 2 34 2 34 13 2 2 2 34 2 3 2 2 38 2 2 13 2 2 34 3 12 2 37 19 19 19 19 19 40 19 19 29 19 19 40 40 40 19 19 25 19 19 19 19 28 19 40 40 40 19 19 40 28 19 20 40 40 28 25 19 40 40 19 40 28 19 20 4 40 40 19 19 40 19 28 19 20 19 26 30 28 19 19 19 26 19 40 19 40 19 19 19 20 40 40 19 28 19 28 19 28 19 19 40 19 40 30 28 40 19 40 19 40 40 40 19 40 19 19 19 40 28 40 8 12 26 25 25 25 37 16 25 26 25 25 12 12 25 25 25 31 25 0 25 26 25 25 0 25 12 36 12 0 25 25 25 25 25 25 39 12 16 25 25 25 16 25 3 25 12 2 22 28 25 25 5 25 16 27 12 25 3 25 21 25 25 16 25 15 25 0 25 25 25 4 29 16 14 25 25 16 25 25 25 12 25 12 16 25 25 25 12 13 25 25 12 12 25 25 0 25 12 25"
8,-0.3983,0.9200,"25 16 25 37 25 25 25 27 25 2 25 2 25 25 2 25 25 25 16 25 2 25 25 25 2 25 2 25 25 25 25 25 25 2 16 25 2 25 25 25 25 25 16 25 26 25 17 25 25 25 16 25 16 12 25 25 6 25 25 25 6 26 25 25 25 16 25 25 25 12 25 16 26 25 25 16 25 26 2 25 2 6 25 25 25 25 25 2 26 2 25 25 2 25 25 25 25 39 25 2 14 12 13 19 2 12 12 38 19 12 12 19 12 2 15 15 12 2 19 12 12 12 19 12 12 12 19 14 12 12 19 12 12 12 12 14 12 19 12 12 38 14 12 12 12 12 12 19 19 12 12 12 13 2 12 19 12 19 12 12 12 12 14 12 12 19 13 12 0 12 12 12 14 12 19 12 15 12 2 12 12 1 19 12 2 12 19 13 12 12 12 12 12 14 19 1 7 19 15 2 39 2 39 39 28 39 38 39 3 28 28 2 28 28 39 28 4 39 28 2 34 28 28 39 1 39 28 30 39 28 2 39 28 38 28 34 29 28 39 2 28 2 28 30 29 28 39 28 39 39 28 28 28 39 28 28 28 28 30 28 28 39 28 28 28 28 28 34 30 39 28 28 39 2 28 39 28 39 2 34 28 28 39 2 28 28 28 39 39 38 2 28 39 2 28 34 39 28 39 28 19 2 19 38 19 2 2 2 1 38 19 2 13 40 3 19 13 2 0 19 2 28 8 3 2 40 8 2 2 2 2 20 3 13 2 25 19 2 13 19 2 2 2 13 2 2 40 19 19 7 2 0 2 2 2 2 7 2 2 19 2 2 1 40 19 3 19 2 38 38 40 2 2 2 19 2 19 2 19 19 40 2 13 30 7 2 8 1 2 2 2 40 19 40 2 2 19 2 28 2 8 12 12 16 25 25 37 16 25 12 25 25 12 16 12 25 16 12 25 12 25 26 25 25 16 12 12 36 12 0 25 25 25 25 12 12 16 16 16 25 25 12 16 25 3 25 12 2 12 28 12 25 5 25 16 27 12 25 3 25 21 25 25 16 25 15 25 12 25 16 16 4 29 16 14 25 16 16 25 25 25 12 25 12 16 25 25 25 12 16 25 12 12 12 25 12 0 25 12 16"
9,-0.3973,0.7391,"25 16 25 37 25 25 25 27 25 2 25 2 25 25 2 25 25 25 16 25 2 25 25 25 2 25 2 25 25 25 25 25 25 2 16 25 2 25 25 25 25 25 16 25 26 25 17 25 25 25 16 25 16 12 25 25 6 25 25 25 6 26 25 25 25 16 25 25 25 12 25 16 26 25 25 16 25 26 2 25 2 6 25 25 25 25 25 2 26 2 25 25 2 25 25 25 25 39 25 2 31 31 31 32 32 31 31 33 19 13 31 31 31 31 19 31 2 31 19 33 31 31 19 32 31 31 19 19 31 31 31 31 13 31 31 31 31 31 0 31 31 31 31 31 19 31 33 31 19 31 31 9 31 31 31 31 31 19 31 31 31 31 31 31 31 31 31 31 31 31 31 19 31 2 31 31 32 19 2 31 31 31 31 31 31 3 31 31 31 31 31 31 31 31 19 31 7 31 31 31 2 2 2 2 16 2 2 2 2 2 2 2 2 2 34 2 4 16 2 2 34 9 6 2 6 2 34 2 2 2 2 6 34 2 12 34 34 37 12 2 2 2 2 2 2 2 34 2 37 4 2 9 2 2 34 6 2 2 2 4 34 2 2 34 2 34 2 34 2 2 34 34 2 2 2 2 2 34 2 34 36 2 2 2 34 2 4 2 2 2 2 2 2 2 2 34 9 12 2 37 1 0 25 1 25 2 13 2 0 2 2 0 5 27 2 25 0 37 2 0 0 38 2 28 13 2 2 0 3 2 2 0 3 0 3 38 25 3 2 2 1 25 2 3 4 3 2 5 37 2 25 3 0 38 41 16 1 0 2 3 10 0 5 1 3 38 1 0 1 2 23 2 25 2 2 0 2 13 1 2 2 28 2 13 2 2 2 0 3 38 2 13 0 2 3 2 2 6 3 2 35 12 34 34 34 34 34 34 34 34 34 34 35 34 34 34 34 34 34 34 34 34 34 25 16 34 12 36 34 0 25 34 34 34 34 34 16 34 34 34 34 12 34 34 34 25 34 2 34 34 34 34 34 25 16 34 12 25 34 34 34 34 25 34 25 34 34 34 34 34 34 34 34 34 34 34 16 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 12 34 34 34 0 25 12 35"
10,-0.3898,0.8182,"13 16 25 39 25 0 25 27 25 2 39 39 25 25 2 39 39 1 16 38 0 25 39 25 3 25 2 25 13 1 39 39 39 39 16 38 2 0 25 25 25 1 13 39 39 25 17 25 3 25 16 38 16 38 39 39 6 25 3 25 6 26 38 13 25 16 25 25 39 39 25 0 26 25 25 39 25 39 2 25 39 6 39 0 25 25 39 39 39 39 25 1 2 25 25 39 39 39 25 2 17 17 18 17 17 0 17 38 17 13 19 18 19 17 18 17 2 2 17 18 17 17 17 17 17 19 17 17 13 17 17 19 17 18 17 17 19 17 17 17 17 17 17 17 19 17 17 17 17 17 7 17 17 17 17 17 17 19 17 13 19 17 17 19 17 17 17 17 17 17 17 19 2 17 17 17 20 17 17 17 19 17 19 17 17 3 17 17 17 17 17 0 17 17 17 1 17 19 17 2 2 9 9 9 9 9 9 9 2 9 9 9 9 2 9 9 4 9 2 9 34 9 6 2 9 9 34 9 2 2 9 9 9 9 9 9 9 9 12 9 9 2 9 9 9 2 9 2 37 4 9 9 9 9 34 6 2 11 9 9 34 9 2 9 9 9 2 9 9 2 34 34 2 9 9 2 10 9 9 9 36 9 11 9 34 2 9 9 2 9 2 11 9 9 9 34 9 12 2 37 0 0 25 1 25 2 0 2 2 2 2 2 5 27 2 25 0 37 2 2 6 2 2 28 13 2 2 0 3 2 2 2 5 2 3 3 25 3 2 2 2 25 2 3 4 4 2 5 37 2 25 2 2 25 41 16 1 0 2 0 10 2 5 2 3 12 2 3 2 2 23 2 25 2 2 2 2 2 1 2 2 28 2 2 2 2 2 3 2 4 2 13 0 2 3 2 2 6 2 2 8 12 12 16 25 25 37 16 25 12 25 25 12 16 12 25 16 12 25 12 25 26 25 25 16 12 12 36 12 0 25 25 25 25 12 12 16 16 16 25 25 12 16 25 3 25 12 2 12 28 12 25 5 25 16 27 12 25 3 25 21 25 25 16 25 15 25 12 25 16 16 4 29 16 14 25 16 16 25 25 25 12 25 12 16 25 25 25 12 16 25 12 12 12 25 12 0 25 12 16"
