# seed=17
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.5)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=3
# lambda_similarity=0.61
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.2990,0.8571,0.9150,0.1285,0.5219,"38 5 15 38 11 23 39 30 28 35 37 7 21 27 39 20 42 23 38 10 0 39 11 10 18 18 19 3 17 42 19 27 9 40 8 22 13 28 2 4 1 0 30 23 30 21 10 37 5 7 3 26 19 15 32 4 33 6 31 22 26 31 12 39 19 1 34 1 32 25 31 0 7 8 20 24 6 34 8 3 10 35 10 38 8 7 26 9 7 17 12 0 13 6 41 15 39 5 28 24 14 8 18 36 12 17 39 15 13 40 8 8 24 12 9 33 2 14 34 9 16 24 8 39 36 3 26 34 13 9 20 18 16 11 18 37 39 6 18 1 37 40 41 13 24 11 7 10 4 37 26 0 29 10 14 15 33 24 7 18 33 9 24 21 2 5 23 31 22 28 35 38 2 16 18 30 5 12 41 10 23 6 12 23 17 27 1 6 13 15 41 12 19 15 14 26 16 42 1 2 27 4 39 21 9 11 24 41 21 34 2 20 38 1 1 0 34 14 13 4 36 10 7 36 15 32 39 35 42 8 41 15 7 41 7 31 37 1 7 16 7 7 38 34 3 38 39 13 8 20 3 16 16 21 13 32 21 10 13 27 20 22 23 4 14 21 0 14 16 13 19 4 31 23 6 18 36 16 7 38 15 38 15 12 10 36 25 18 0 19 7 1 5 0 38 11 16 30 10 42 33 40 40 20 16 0 24 30 34 24 24 30 36 31 30 34 40 26 39 18 33 1 36 41 39 26 33 19 18 1 4 33 12 30 8 17 32 1 19 35 17 3 37 7 22 18 5 9 30 21 32 7 0 39 16 11 12 32 7 2 6 27 25 12 38 27 33 40 29 0 5 16 42 40 4 3 27 33 30 6 10 38 1 19 42 7 7 25 38 35 12 19 1 19 31 20 21 39 15 22 23 41 24 26 1 38 16 0 18 29 41 27 6 19 28 0 12 6 23 16 4 4 36 1 17 17 35 20 12 29 8 41 42 0 35 38 30 1 27 0 28 12 1 3 26 25 18 8 16 4 41 33 10 19 3 38 24 3 33 17 34 3 40 12 13 34 0 18 3 42 17 30 40 42 11 13 4 14 7 5 29 28 18 37 29 21 16 28 35 8 37 10 36 20 7 42 30 24 1 36"
1,2,-0.6789,0.9615,0.4633,-0.1376,0.2878,"23 25 25 34 34 23 25 25 25 23 25 25 23 25 23 23 23 25 27 25 25 25 23 23 23 25 25 25 23 25 23 23 25 25 25 25 27 25 25 34 25 24 23 27 25 25 23 25 25 25 34 25 25 25 23 25 27 25 25 25 25 25 38 23 25 26 23 25 23 23 25 23 25 23 25 27 25 25 25 25 23 23 25 25 25 25 25 25 25 26 25 23 25 25 25 25 25 27 25 25 30 25 25 25 3 25 12 25 25 26 25 3 25 25 25 25 25 25 25 0 25 0 0 12 25 25 25 25 25 25 25 25 25 25 25 21 12 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 12 25 0 25 0 12 25 25 25 27 3 25 27 25 12 25 25 25 25 25 25 25 25 25 25 27 27 3 3 25 25 25 25 25 25 26 0 25 25 26 3 12 40 2 2 6 1 2 40 2 2 38 16 2 12 2 12 2 2 5 6 2 2 40 13 2 3 2 2 2 12 12 2 2 2 23 2 40 2 2 1 4 2 6 2 2 2 2 2 29 24 2 2 1 0 2 2 24 12 23 4 2 2 2 23 2 2 2 2 2 12 40 23 38 2 12 2 2 2 4 2 2 40 38 1 37 40 2 2 2 2 40 2 2 2 2 2 2 2 2 2 28 21 5 21 22 12 21 21 21 21 21 21 21 28 21 21 21 8 37 21 29 21 6 21 21 28 21 21 21 28 21 21 21 28 21 34 21 21 21 21 31 21 21 21 28 21 28 21 21 21 21 28 21 21 21 21 21 21 21 22 21 22 28 21 21 21 21 21 21 21 28 21 21 21 21 21 21 21 4 21 21 21 21 21 21 21 21 28 21 2 21 2 21 6 28 21 21 21 28 21 19 16 19 19 16 12 19 19 16 16 19 14 19 19 16 1 19 19 16 19 19 12 14 25 19 17 25 17 17 17 12 19 15 14 19 14 9 25 17 17 1 25 3 12 1 19 25 17 9 12 19 17 17 19 17 12 19 15 12 12 19 17 16 27 19 9 12 19 17 17 25 19 12 17 0 17 16 19 17 17 12 12 16 16 19 19 16 17 19 17 12 19 33 12 25 25 15 12 17 17"
2,2,-0.6789,0.9615,0.4633,-0.1483,0.3246,"23 25 25 34 34 23 25 25 25 23 25 25 23 25 23 23 23 25 27 25 25 25 23 23 23 25 25 25 23 25 23 23 25 25 25 25 27 25 25 34 25 24 23 27 25 25 23 25 25 25 34 25 25 25 23 25 27 25 25 25 25 25 38 23 25 26 23 25 23 23 25 23 25 23 25 27 25 25 25 25 23 23 25 25 25 25 25 25 25 26 25 23 25 25 25 25 25 27 25 25 30 25 25 25 3 25 12 25 25 26 25 3 25 25 25 25 25 25 25 0 25 0 0 12 25 25 25 25 25 25 25 25 25 25 25 21 12 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 12 25 0 25 0 12 25 25 25 27 3 25 27 25 12 25 25 25 25 25 25 25 25 25 25 27 27 3 3 25 25 25 25 25 25 26 0 25 25 26 3 12 40 2 2 6 1 2 40 2 2 38 16 2 12 2 12 2 2 5 6 2 2 40 13 2 3 2 2 2 12 12 2 2 2 23 2 40 2 2 1 4 2 6 2 2 2 2 2 29 24 2 2 1 0 2 2 24 12 23 4 2 2 2 23 2 2 2 2 2 12 40 23 38 2 12 2 2 2 4 2 2 40 38 1 37 40 2 2 2 2 40 2 2 2 2 2 2 2 2 2 28 21 5 21 22 12 21 21 21 21 21 21 21 28 21 21 21 8 37 21 29 21 6 21 21 28 21 21 21 28 21 21 21 28 21 34 21 21 21 21 31 21 21 21 28 21 28 21 21 21 21 28 21 21 21 21 21 21 21 22 21 22 28 21 21 21 21 21 21 21 28 21 21 21 21 21 21 21 4 21 21 21 21 21 21 21 21 28 21 2 21 2 21 6 28 21 21 21 28 21 19 16 19 19 16 12 19 19 16 16 19 14 19 19 16 1 19 19 16 19 19 12 14 25 19 17 25 17 17 17 12 19 15 14 19 14 9 25 17 17 1 25 3 12 1 19 25 17 9 12 19 17 17 19 17 12 19 15 12 12 19 17 16 27 19 9 12 19 17 17 25 19 12 17 0 17 16 19 17 17 12 12 16 16 19 19 16 17 19 17 12 19 33 12 25 25 15 12 17 17"
3,2,-0.6789,0.9615,0.4633,-0.1336,0.3356,"23 25 25 34 34 23 25 25 25 23 25 25 23 25 23 23 23 25 27 25 25 25 23 23 23 25 25 25 23 25 23 23 25 25 25 25 27 25 25 34 25 24 23 27 25 25 23 25 25 25 34 25 25 25 23 25 27 25 25 25 25 25 38 23 25 26 23 25 23 23 25 23 25 23 25 27 25 25 25 25 23 23 25 25 25 25 25 25 25 26 25 23 25 25 25 25 25 27 25 25 30 25 25 25 3 25 12 25 25 26 25 3 25 25 25 25 25 25 25 0 25 0 0 12 25 25 25 25 25 25 25 25 25 25 25 21 12 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 12 25 0 25 0 12 25 25 25 27 3 25 27 25 12 25 25 25 25 25 25 25 25 25 25 27 27 3 3 25 25 25 25 25 25 26 0 25 25 26 3 12 40 2 2 6 1 2 40 2 2 38 16 2 12 2 12 2 2 5 6 2 2 40 13 2 3 2 2 2 12 12 2 2 2 23 2 40 2 2 1 4 2 6 2 2 2 2 2 29 24 2 2 1 0 2 2 24 12 23 4 2 2 2 23 2 2 2 2 2 12 40 23 38 2 12 2 2 2 4 2 2 40 38 1 37 40 2 2 2 2 40 2 2 2 2 2 2 2 2 2 28 21 5 21 22 12 21 21 21 21 21 21 21 28 21 21 21 8 37 21 29 21 6 21 21 28 21 21 21 28 21 21 21 28 21 34 21 21 21 21 31 21 21 21 28 21 28 21 21 21 21 28 21 21 21 21 21 21 21 22 21 22 28 21 21 21 21 21 21 21 28 21 21 21 21 21 21 21 4 21 21 21 21 21 21 21 21 28 21 2 21 2 21 6 28 21 21 21 28 21 19 16 19 19 16 12 19 19 16 16 19 14 19 19 16 1 19 19 16 19 19 12 14 25 19 17 25 17 17 17 12 19 15 14 19 14 9 25 17 17 1 25 3 12 1 19 25 17 9 12 19 17 17 19 17 12 19 15 12 12 19 17 16 27 19 9 12 19 17 17 25 19 12 17 0 17 16 19 17 17 12 12 16 16 19 19 16 17 19 17 12 19 33 12 25 25 15 12 17 17"
4,2,-0.6789,0.9615,0.4633,-0.1640,0.2807,"23 25 25 34 34 23 25 25 25 23 25 25 23 25 23 23 23 25 27 25 25 25 23 23 23 25 25 25 23 25 23 23 25 25 25 25 27 25 25 34 25 24 23 27 25 25 23 25 25 25 34 25 25 25 23 25 27 25 25 25 25 25 38 23 25 26 23 25 23 23 25 23 25 23 25 27 25 25 25 25 23 23 25 25 25 25 25 25 25 26 25 23 25 25 25 25 25 27 25 25 30 25 25 25 3 25 12 25 25 26 25 3 25 25 25 25 25 25 25 0 25 0 0 12 25 25 25 25 25 25 25 25 25 25 25 21 12 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 12 25 0 25 0 12 25 25 25 27 3 25 27 25 12 25 25 25 25 25 25 25 25 25 25 27 27 3 3 25 25 25 25 25 25 26 0 25 25 26 3 12 40 2 2 6 1 2 40 2 2 38 16 2 12 2 12 2 2 5 6 2 2 40 13 2 3 2 2 2 12 12 2 2 2 23 2 40 2 2 1 4 2 6 2 2 2 2 2 29 24 2 2 1 0 2 2 24 12 23 4 2 2 2 23 2 2 2 2 2 12 40 23 38 2 12 2 2 2 4 2 2 40 38 1 37 40 2 2 2 2 40 2 2 2 2 2 2 2 2 2 28 21 5 21 22 12 21 21 21 21 21 21 21 28 21 21 21 8 37 21 29 21 6 21 21 28 21 21 21 28 21 21 21 28 21 34 21 21 21 21 31 21 21 21 28 21 28 21 21 21 21 28 21 21 21 21 21 21 21 22 21 22 28 21 21 21 21 21 21 21 28 21 21 21 21 21 21 21 4 21 21 21 21 21 21 21 21 28 21 2 21 2 21 6 28 21 21 21 28 21 19 16 19 19 16 12 19 19 16 16 19 14 19 19 16 1 19 19 16 19 19 12 14 25 19 17 25 17 17 17 12 19 15 14 19 14 9 25 17 17 1 25 3 12 1 19 25 17 9 12 19 17 17 19 17 12 19 15 12 12 19 17 16 27 19 9 12 19 17 17 25 19 12 17 0 17 16 19 17 17 12 12 16 16 19 19 16 17 19 17 12 19 33 12 25 25 15 12 17 17"
5,2,-0.6789,0.9615,0.4633,-0.1663,0.3325,"23 25 25 34 34 23 25 25 25 23 25 25 23 25 23 23 23 25 27 25 25 25 23 23 23 25 25 25 23 25 23 23 25 25 25 25 27 25 25 34 25 24 23 27 25 25 23 25 25 25 34 25 25 25 23 25 27 25 25 25 25 25 38 23 25 26 23 25 23 23 25 23 25 23 25 27 25 25 25 25 23 23 25 25 25 25 25 25 25 26 25 23 25 25 25 25 25 27 25 25 30 25 25 25 3 25 12 25 25 26 25 3 25 25 25 25 25 25 25 0 25 0 0 12 25 25 25 25 25 25 25 25 25 25 25 21 12 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 12 25 0 25 0 12 25 25 25 27 3 25 27 25 12 25 25 25 25 25 25 25 25 25 25 27 27 3 3 25 25 25 25 25 25 26 0 25 25 26 3 12 40 2 2 6 1 2 40 2 2 38 16 2 12 2 12 2 2 5 6 2 2 40 13 2 3 2 2 2 12 12 2 2 2 23 2 40 2 2 1 4 2 6 2 2 2 2 2 29 24 2 2 1 0 2 2 24 12 23 4 2 2 2 23 2 2 2 2 2 12 40 23 38 2 12 2 2 2 4 2 2 40 38 1 37 40 2 2 2 2 40 2 2 2 2 2 2 2 2 2 28 21 5 21 22 12 21 21 21 21 21 21 21 28 21 21 21 8 37 21 29 21 6 21 21 28 21 21 21 28 21 21 21 28 21 34 21 21 21 21 31 21 21 21 28 21 28 21 21 21 21 28 21 21 21 21 21 21 21 22 21 22 28 21 21 21 21 21 21 21 28 21 21 21 21 21 21 21 4 21 21 21 21 21 21 21 21 28 21 2 21 2 21 6 28 21 21 21 28 21 19 16 19 19 16 12 19 19 16 16 19 14 19 19 16 1 19 19 16 19 19 12 14 25 19 17 25 17 17 17 12 19 15 14 19 14 9 25 17 17 1 25 3 12 1 19 25 17 9 12 19 17 17 19 17 12 19 15 12 12 19 17 16 27 19 9 12 19 17 17 25 19 12 17 0 17 16 19 17 17 12 12 16 16 19 19 16 17 19 17 12 19 33 12 25 25 15 12 17 17"
6,2,-0.6789,0.9615,0.4633,-0.1735,0.3147,"23 25 25 34 34 23 25 25 25 23 25 25 23 25 23 23 23 25 27 25 25 25 23 23 23 25 25 25 23 25 23 23 25 25 25 25 27 25 25 34 25 24 23 27 25 25 23 25 25 25 34 25 25 25 23 25 27 25 25 25 25 25 38 23 25 26 23 25 23 23 25 23 25 23 25 27 25 25 25 25 23 23 25 25 25 25 25 25 25 26 25 23 25 25 25 25 25 27 25 25 30 25 25 25 3 25 12 25 25 26 25 3 25 25 25 25 25 25 25 0 25 0 0 12 25 25 25 25 25 25 25 25 25 25 25 21 12 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 12 25 0 25 0 12 25 25 25 27 3 25 27 25 12 25 25 25 25 25 25 25 25 25 25 27 27 3 3 25 25 25 25 25 25 26 0 25 25 26 3 12 40 2 2 6 1 2 40 2 2 38 16 2 12 2 12 2 2 5 6 2 2 40 13 2 3 2 2 2 12 12 2 2 2 23 2 40 2 2 1 4 2 6 2 2 2 2 2 29 24 2 2 1 0 2 2 24 12 23 4 2 2 2 23 2 2 2 2 2 12 40 23 38 2 12 2 2 2 4 2 2 40 38 1 37 40 2 2 2 2 40 2 2 2 2 2 2 2 2 2 28 21 5 21 22 12 21 21 21 21 21 21 21 28 21 21 21 8 37 21 29 21 6 21 21 28 21 21 21 28 21 21 21 28 21 34 21 21 21 21 31 21 21 21 28 21 28 21 21 21 21 28 21 21 21 21 21 21 21 22 21 22 28 21 21 21 21 21 21 21 28 21 21 21 21 21 21 21 4 21 21 21 21 21 21 21 21 28 21 2 21 2 21 6 28 21 21 21 28 21 19 16 19 19 16 12 19 19 16 16 19 14 19 19 16 1 19 19 16 19 19 12 14 25 19 17 25 17 17 17 12 19 15 14 19 14 9 25 17 17 1 25 3 12 1 19 25 17 9 12 19 17 17 19 17 12 19 15 12 12 19 17 16 27 19 9 12 19 17 17 25 19 12 17 0 17 16 19 17 17 12 12 16 16 19 19 16 17 19 17 12 19 33 12 25 25 15 12 17 17"
7,2,-0.6789,0.9615,0.4633,-0.2045,0.2383,"23 25 25 34 34 23 25 25 25 23 25 25 23 25 23 23 23 25 27 25 25 25 23 23 23 25 25 25 23 25 23 23 25 25 25 25 27 25 25 34 25 24 23 27 25 25 23 25 25 25 34 25 25 25 23 25 27 25 25 25 25 25 38 23 25 26 23 25 23 23 25 23 25 23 25 27 25 25 25 25 23 23 25 25 25 25 25 25 25 26 25 23 25 25 25 25 25 27 25 25 30 25 25 25 3 25 12 25 25 26 25 3 25 25 25 25 25 25 25 0 25 0 0 12 25 25 25 25 25 25 25 25 25 25 25 21 12 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 12 25 0 25 0 12 25 25 25 27 3 25 27 25 12 25 25 25 25 25 25 25 25 25 25 27 27 3 3 25 25 25 25 25 25 26 0 25 25 26 3 12 40 2 2 6 1 2 40 2 2 38 16 2 12 2 12 2 2 5 6 2 2 40 13 2 3 2 2 2 12 12 2 2 2 23 2 40 2 2 1 4 2 6 2 2 2 2 2 29 24 2 2 1 0 2 2 24 12 23 4 2 2 2 23 2 2 2 2 2 12 40 23 38 2 12 2 2 2 4 2 2 40 38 1 37 40 2 2 2 2 40 2 2 2 2 2 2 2 2 2 28 21 5 21 22 12 21 21 21 21 21 21 21 28 21 21 21 8 37 21 29 21 6 21 21 28 21 21 21 28 21 21 21 28 21 34 21 21 21 21 31 21 21 21 28 21 28 21 21 21 21 28 21 21 21 21 21 21 21 22 21 22 28 21 21 21 21 21 21 21 28 21 21 21 21 21 21 21 4 21 21 21 21 21 21 21 21 28 21 2 21 2 21 6 28 21 21 21 28 21 19 16 19 19 16 12 19 19 16 16 19 14 19 19 16 1 19 19 16 19 19 12 14 25 19 17 25 17 17 17 12 19 15 14 19 14 9 25 17 17 1 25 3 12 1 19 25 17 9 12 19 17 17 19 17 12 19 15 12 12 19 17 16 27 19 9 12 19 17 17 25 19 12 17 0 17 16 19 17 17 12 12 16 16 19 19 16 17 19 17 12 19 33 12 25 25 15 12 17 17"
8,2,-0.6789,0.9615,0.4633,-0.1742,0.2552,"23 25 25 34 34 23 25 25 25 23 25 25 23 25 23 23 23 25 27 25 25 25 23 23 23 25 25 25 23 25 23 23 25 25 25 25 27 25 25 34 25 24 23 27 25 25 23 25 25 25 34 25 25 25 23 25 27 25 25 25 25 25 38 23 25 26 23 25 23 23 25 23 25 23 25 27 25 25 25 25 23 23 25 25 25 25 25 25 25 26 25 23 25 25 25 25 25 27 25 25 30 25 25 25 3 25 12 25 25 26 25 3 25 25 25 25 25 25 25 0 25 0 0 12 25 25 25 25 25 25 25 25 25 25 25 21 12 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 12 25 0 25 0 12 25 25 25 27 3 25 27 25 12 25 25 25 25 25 25 25 25 25 25 27 27 3 3 25 25 25 25 25 25 26 0 25 25 26 3 12 40 2 2 6 1 2 40 2 2 38 16 2 12 2 12 2 2 5 6 2 2 40 13 2 3 2 2 2 12 12 2 2 2 23 2 40 2 2 1 4 2 6 2 2 2 2 2 29 24 2 2 1 0 2 2 24 12 23 4 2 2 2 23 2 2 2 2 2 12 40 23 38 2 12 2 2 2 4 2 2 40 38 1 37 40 2 2 2 2 40 2 2 2 2 2 2 2 2 2 28 21 5 21 22 12 21 21 21 21 21 21 21 28 21 21 21 8 37 21 29 21 6 21 21 28 21 21 21 28 21 21 21 28 21 34 21 21 21 21 31 21 21 21 28 21 28 21 21 21 21 28 21 21 21 21 21 21 21 22 21 22 28 21 21 21 21 21 21 21 28 21 21 21 21 21 21 21 4 21 21 21 21 21 21 21 21 28 21 2 21 2 21 6 28 21 21 21 28 21 19 16 19 19 16 12 19 19 16 16 19 14 19 19 16 1 19 19 16 19 19 12 14 25 19 17 25 17 17 17 12 19 15 14 19 14 9 25 17 17 1 25 3 12 1 19 25 17 9 12 19 17 17 19 17 12 19 15 12 12 19 17 16 27 19 9 12 19 17 17 25 19 12 17 0 17 16 19 17 17 12 12 16 16 19 19 16 17 19 17 12 19 33 12 25 25 15 12 17 17"
9,2,-0.6789,0.9615,0.4633,-0.1636,0.2834,"23 25 25 34 34 23 25 25 25 23 25 25 23 25 23 23 23 25 27 25 25 25 23 23 23 25 25 25 23 25 23 23 25 25 25 25 27 25 25 34 25 24 23 27 25 25 23 25 25 25 34 25 25 25 23 25 27 25 25 25 25 25 38 23 25 26 23 25 23 23 25 23 25 23 25 27 25 25 25 25 23 23 25 25 25 25 25 25 25 26 25 23 25 25 25 25 25 27 25 25 30 25 25 25 3 25 12 25 25 26 25 3 25 25 25 25 25 25 25 0 25 0 0 12 25 25 25 25 25 25 25 25 25 25 25 21 12 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 12 25 0 25 0 12 25 25 25 27 3 25 27 25 12 25 25 25 25 25 25 25 25 25 25 27 27 3 3 25 25 25 25 25 25 26 0 25 25 26 3 12 40 2 2 6 1 2 40 2 2 38 16 2 12 2 12 2 2 5 6 2 2 40 13 2 3 2 2 2 12 12 2 2 2 23 2 40 2 2 1 4 2 6 2 2 2 2 2 29 24 2 2 1 0 2 2 24 12 23 4 2 2 2 23 2 2 2 2 2 12 40 23 38 2 12 2 2 2 4 2 2 40 38 1 37 40 2 2 2 2 40 2 2 2 2 2 2 2 2 2 28 21 5 21 22 12 21 21 21 21 21 21 21 28 21 21 21 8 37 21 29 21 6 21 21 28 21 21 21 28 21 21 21 28 21 34 21 21 21 21 31 21 21 21 28 21 28 21 21 21 21 28 21 21 21 21 21 21 21 22 21 22 28 21 21 21 21 21 21 21 28 21 21 21 21 21 21 21 4 21 21 21 21 21 21 21 21 28 21 2 21 2 21 6 28 21 21 21 28 21 19 16 19 19 16 12 19 19 16 16 19 14 19 19 16 1 19 19 16 19 19 12 14 25 19 17 25 17 17 17 12 19 15 14 19 14 9 25 17 17 1 25 3 12 1 19 25 17 9 12 19 17 17 19 17 12 19 15 12 12 19 17 16 27 19 9 12 19 17 17 25 19 12 17 0 17 16 19 17 17 12 12 16 16 19 19 16 17 19 17 12 19 33 12 25 25 15 12 17 17"
