# seed=25
# instance=EXPONENTIAL
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=3
# lambda_similarity=0.61
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.3100,0.8750,0.9262,0.1537,0.5696,"39 12 12 32 19 11 26 9 15 4 6 2 16 38 41 1 11 30 29 15 32 17 14 13 35 41 42 38 26 39 16 33 21 6 26 24 38 17 30 36 24 32 24 29 17 38 32 24 37 30 6 41 28 16 28 42 20 12 29 2 12 25 34 22 40 23 20 37 18 9 6 1 39 3 6 30 39 9 40 3 28 4 16 28 35 5 25 13 3 6 15 8 2 15 2 16 35 19 17 16 21 15 16 29 40 9 41 18 21 27 37 22 24 0 9 0 22 15 23 41 5 39 35 29 15 15 27 11 26 27 2 22 21 17 24 33 27 0 12 2 26 27 22 42 42 27 18 13 8 23 7 8 19 30 26 19 38 3 16 29 24 36 8 5 3 41 35 27 28 34 11 13 21 24 25 24 33 40 32 42 32 0 42 39 22 42 20 6 33 0 15 5 42 18 9 20 2 31 34 11 15 29 24 27 41 35 31 15 17 39 11 35 28 17 6 37 6 26 9 37 16 9 11 10 10 5 5 7 41 12 39 22 8 9 30 23 40 12 23 34 4 19 13 1 25 37 2 4 29 30 16 0 20 5 29 29 30 28 20 42 26 2 41 26 33 33 16 36 33 25 6 30 5 24 41 21 35 30 30 38 36 20 11 21 11 14 28 39 30 2 23 1 23 26 32 25 18 31 33 25 2 7 41 1 35 5 42 19 8 35 10 1 27 20 24 13 38 30 2 20 2 11 34 35 26 14 6 21 27 4 26 9 28 23 26 10 32 21 36 41 39 24 24 4 14 14 17 39 27 31 22 12 30 34 4 33 40 40 35 31 38 4 16 39 4 15 31 23 18 23 16 35 20 18 11 6 38 34 21 0 10 14 5 2 19 28 27 24 5 20 11 40 39 23 34 5 20 39 22 38 8 30 38 29 13 17 40 8 33 41 25 27 24 35 9 0 15 24 12 32 27 40 8 26 23 31 10 9 16 5 4 27 21 3 9 13 5 24 1 33 23 31 4 20 19 21 31 8 33 24 27 11 28 6 31 39 40 7 22 4 32 13 26 3 18 7 31 34 10 34 42 11 6 13 22 8 20 12 6 14 29 27 19 42 0 14 6 18 22 15 36 23 15 26 11 31 20 4 3 9"
1,2,-0.5181,0.8148,0.4863,-0.1219,0.2910,"17 17 42 42 15 17 17 17 42 24 17 18 17 18 17 17 42 17 42 17 17 12 17 17 17 42 17 42 17 17 17 42 17 18 17 17 17 42 17 17 17 42 17 17 17 17 17 17 18 16 42 17 17 17 17 17 17 17 17 17 42 17 17 42 17 17 17 17 42 15 17 42 17 42 17 17 18 18 37 18 12 17 17 42 18 17 17 18 18 17 17 17 17 17 17 42 17 17 17 17 25 25 25 25 25 25 26 17 25 25 25 25 25 25 25 26 25 12 25 25 42 25 25 25 25 12 12 25 25 25 25 25 12 25 12 25 12 25 12 27 25 12 25 12 12 25 25 12 25 12 25 12 12 25 12 25 25 12 16 12 42 36 25 12 27 25 25 25 12 25 27 25 25 27 26 25 25 25 12 12 25 25 12 25 25 27 12 25 25 25 26 27 12 25 25 25 19 25 12 12 12 12 34 12 12 36 34 23 34 12 12 34 12 36 34 36 12 23 34 12 12 34 34 34 34 36 34 34 34 34 34 34 34 23 19 34 12 34 34 12 34 34 35 34 12 34 34 34 34 34 19 12 34 34 34 34 34 34 34 34 19 12 34 36 34 34 36 12 24 34 20 34 34 34 34 34 12 34 23 34 19 12 34 34 34 34 34 34 34 12 34 12 34 34 12 34 34 34 34 34 38 0 13 38 13 12 12 13 12 3 41 38 0 12 5 12 12 1 13 35 38 12 7 29 32 1 0 1 38 1 38 12 12 3 6 3 0 12 3 0 1 4 0 3 18 13 30 38 12 12 12 3 12 12 0 38 3 12 3 0 19 12 12 0 0 13 4 38 12 1 0 1 12 0 1 3 13 13 12 0 13 12 12 38 24 33 10 3 4 35 12 23 24 6 38 3 6 1 13 12 0 38 13 41 13 0 9 41 0 41 41 0 9 13 9 9 9 13 41 41 9 0 9 9 13 0 41 41 9 9 9 41 9 13 41 10 0 38 1 38 1 9 41 41 41 38 41 41 41 41 38 41 0 13 9 9 38 41 41 41 41 41 41 41 9 41 9 41 41 13 41 1 1 3 41 1 13 9 1 38 41 38 41 41 41 3 41 41 13 41 41 0 9 9 38 41 13 9 1 13"
2,3,-0.5524,0.8621,0.5077,-0.1596,0.2365,"31 17 17 17 17 28 31 17 17 17 17 17 17 17 17 28 17 17 28 28 18 29 17 28 17 17 17 17 18 17 17 17 28 17 28 17 28 17 17 28 31 17 17 17 17 17 31 17 17 28 17 17 28 31 17 17 17 17 17 28 28 17 17 17 17 17 28 28 29 17 17 17 28 28 17 17 31 17 17 28 17 28 28 17 28 17 7 31 18 17 17 28 17 28 30 17 17 17 17 28 41 41 33 41 41 41 41 41 10 41 41 9 9 41 9 31 38 41 41 41 41 41 41 41 11 41 9 41 31 41 41 9 41 9 9 41 41 41 9 41 31 9 31 41 0 41 41 9 41 41 9 41 9 41 41 41 41 41 41 41 41 41 12 41 41 41 41 41 41 41 41 41 0 41 41 41 41 1 41 41 41 41 41 9 41 41 41 0 3 9 41 41 9 0 41 41 41 41 41 41 34 5 37 34 37 2 37 34 35 34 21 34 6 34 34 34 34 5 34 37 35 34 34 12 4 21 34 34 4 34 6 34 34 35 34 34 34 6 34 34 35 2 21 21 36 34 12 34 6 2 34 5 21 34 37 34 34 2 37 35 27 34 36 34 34 34 5 34 34 34 5 5 34 6 37 36 21 34 34 34 4 22 34 34 34 34 2 6 34 12 34 12 34 35 35 34 2 34 34 34 6 2 2 2 2 2 2 2 37 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 37 2 2 2 2 25 37 2 3 2 2 2 2 2 2 2 13 21 2 2 2 0 2 4 2 21 3 2 2 2 2 3 4 2 2 2 2 2 4 1 4 2 0 2 5 2 2 2 2 3 2 21 2 2 2 2 4 2 38 2 38 2 2 2 2 31 3 3 25 0 31 33 3 3 31 3 0 31 31 31 0 31 31 3 31 0 0 31 3 0 12 3 3 12 0 3 31 32 12 0 3 0 32 31 0 31 31 12 3 31 0 0 0 31 31 0 3 12 3 3 0 3 0 3 3 0 0 31 3 0 31 31 3 31 3 0 3 0 31 3 0 0 0 0 25 0 3 31 3 0 21 3 3 0 3 3 0 31 0 3 0 0 31 3 21"
3,4,-0.6388,0.9200,0.4610,-0.1307,0.2650,"2 6 2 2 4 37 2 37 39 2 4 2 39 5 4 4 2 2 4 39 39 5 2 31 2 2 2 39 2 6 37 39 6 2 2 2 39 39 37 37 6 5 2 37 2 2 2 5 2 2 37 2 2 5 2 2 2 6 5 2 11 2 6 39 2 2 6 37 39 39 4 11 39 2 2 6 6 2 2 2 5 5 6 6 2 2 2 39 39 2 37 2 10 6 39 4 2 2 2 2 17 17 21 21 31 21 17 21 21 21 22 31 21 21 31 21 21 31 21 21 41 21 31 31 31 31 21 21 31 21 21 21 21 21 21 31 21 21 21 21 17 21 31 21 21 21 21 21 21 21 22 21 31 22 31 33 17 21 21 21 21 21 21 21 21 31 21 31 21 21 21 22 21 21 21 21 21 21 21 17 21 21 21 31 21 21 21 21 21 21 21 31 21 21 21 21 21 21 31 21 17 17 17 0 38 17 38 17 9 3 2 38 17 17 1 17 42 42 42 3 17 38 17 42 42 16 3 3 38 17 17 42 17 2 42 13 25 17 17 17 3 17 16 17 38 18 17 17 17 17 13 13 42 17 42 17 0 12 18 17 13 17 17 12 17 17 42 17 0 17 38 38 17 42 42 16 42 42 17 42 11 42 0 17 18 42 42 3 2 0 13 42 17 18 17 17 38 17 17 2 32 31 31 31 31 31 31 31 34 31 34 31 33 34 31 32 25 31 12 31 36 31 31 12 34 34 34 31 31 32 31 31 31 31 31 31 31 36 20 34 31 31 31 25 25 31 34 31 31 31 25 34 31 32 34 31 25 31 31 31 31 34 31 31 31 31 34 31 31 31 31 31 31 34 34 33 34 31 34 31 12 34 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 31 31 31 25 42 25 25 25 25 25 12 25 25 12 32 12 42 25 25 25 25 42 25 12 12 25 25 25 25 25 25 25 12 42 25 25 25 26 25 25 25 42 27 25 25 25 12 12 26 25 25 12 12 12 26 25 25 25 25 25 26 25 42 26 27 25 25 42 6 25 26 37 27 25 25 12 25 25 12 25 25 25 25 25 27 25 12 27 25 12 25 12 25 25 25 42 12 33 25 25 32 12 25"
4,4,-0.6388,0.9200,0.4610,-0.1532,0.3249,"2 6 2 2 4 37 2 37 39 2 4 2 39 5 4 4 2 2 4 39 39 5 2 31 2 2 2 39 2 6 37 39 6 2 2 2 39 39 37 37 6 5 2 37 2 2 2 5 2 2 37 2 2 5 2 2 2 6 5 2 11 2 6 39 2 2 6 37 39 39 4 11 39 2 2 6 6 2 2 2 5 5 6 6 2 2 2 39 39 2 37 2 10 6 39 4 2 2 2 2 17 17 21 21 31 21 17 21 21 21 22 31 21 21 31 21 21 31 21 21 41 21 31 31 31 31 21 21 31 21 21 21 21 21 21 31 21 21 21 21 17 21 31 21 21 21 21 21 21 21 22 21 31 22 31 33 17 21 21 21 21 21 21 21 21 31 21 31 21 21 21 22 21 21 21 21 21 21 21 17 21 21 21 31 21 21 21 21 21 21 21 31 21 21 21 21 21 21 31 21 17 17 17 0 38 17 38 17 9 3 2 38 17 17 1 17 42 42 42 3 17 38 17 42 42 16 3 3 38 17 17 42 17 2 42 13 25 17 17 17 3 17 16 17 38 18 17 17 17 17 13 13 42 17 42 17 0 12 18 17 13 17 17 12 17 17 42 17 0 17 38 38 17 42 42 16 42 42 17 42 11 42 0 17 18 42 42 3 2 0 13 42 17 18 17 17 38 17 17 2 32 31 31 31 31 31 31 31 34 31 34 31 33 34 31 32 25 31 12 31 36 31 31 12 34 34 34 31 31 32 31 31 31 31 31 31 31 36 20 34 31 31 31 25 25 31 34 31 31 31 25 34 31 32 34 31 25 31 31 31 31 34 31 31 31 31 34 31 31 31 31 31 31 34 34 33 34 31 34 31 12 34 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 31 31 31 25 42 25 25 25 25 25 12 25 25 12 32 12 42 25 25 25 25 42 25 12 12 25 25 25 25 25 25 25 12 42 25 25 25 26 25 25 25 42 27 25 25 25 12 12 26 25 25 12 12 12 26 25 25 25 25 25 26 25 42 26 27 25 25 42 6 25 26 37 27 25 25 12 25 25 12 25 25 25 25 25 27 25 12 27 25 12 25 12 25 25 25 42 12 33 25 25 32 12 25"
5,4,-0.6388,0.9200,0.4610,-0.1284,0.3225,"2 6 2 2 4 37 2 37 39 2 4 2 39 5 4 4 2 2 4 39 39 5 2 31 2 2 2 39 2 6 37 39 6 2 2 2 39 39 37 37 6 5 2 37 2 2 2 5 2 2 37 2 2 5 2 2 2 6 5 2 11 2 6 39 2 2 6 37 39 39 4 11 39 2 2 6 6 2 2 2 5 5 6 6 2 2 2 39 39 2 37 2 10 6 39 4 2 2 2 2 17 17 21 21 31 21 17 21 21 21 22 31 21 21 31 21 21 31 21 21 41 21 31 31 31 31 21 21 31 21 21 21 21 21 21 31 21 21 21 21 17 21 31 21 21 21 21 21 21 21 22 21 31 22 31 33 17 21 21 21 21 21 21 21 21 31 21 31 21 21 21 22 21 21 21 21 21 21 21 17 21 21 21 31 21 21 21 21 21 21 21 31 21 21 21 21 21 21 31 21 17 17 17 0 38 17 38 17 9 3 2 38 17 17 1 17 42 42 42 3 17 38 17 42 42 16 3 3 38 17 17 42 17 2 42 13 25 17 17 17 3 17 16 17 38 18 17 17 17 17 13 13 42 17 42 17 0 12 18 17 13 17 17 12 17 17 42 17 0 17 38 38 17 42 42 16 42 42 17 42 11 42 0 17 18 42 42 3 2 0 13 42 17 18 17 17 38 17 17 2 32 31 31 31 31 31 31 31 34 31 34 31 33 34 31 32 25 31 12 31 36 31 31 12 34 34 34 31 31 32 31 31 31 31 31 31 31 36 20 34 31 31 31 25 25 31 34 31 31 31 25 34 31 32 34 31 25 31 31 31 31 34 31 31 31 31 34 31 31 31 31 31 31 34 34 33 34 31 34 31 12 34 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 31 31 31 25 42 25 25 25 25 25 12 25 25 12 32 12 42 25 25 25 25 42 25 12 12 25 25 25 25 25 25 25 12 42 25 25 25 26 25 25 25 42 27 25 25 25 12 12 26 25 25 12 12 12 26 25 25 25 25 25 26 25 42 26 27 25 25 42 6 25 26 37 27 25 25 12 25 25 12 25 25 25 25 25 27 25 12 27 25 12 25 12 25 25 25 42 12 33 25 25 32 12 25"
6,4,-0.6388,0.9200,0.4610,-0.1964,0.2143,"2 6 2 2 4 37 2 37 39 2 4 2 39 5 4 4 2 2 4 39 39 5 2 31 2 2 2 39 2 6 37 39 6 2 2 2 39 39 37 37 6 5 2 37 2 2 2 5 2 2 37 2 2 5 2 2 2 6 5 2 11 2 6 39 2 2 6 37 39 39 4 11 39 2 2 6 6 2 2 2 5 5 6 6 2 2 2 39 39 2 37 2 10 6 39 4 2 2 2 2 17 17 21 21 31 21 17 21 21 21 22 31 21 21 31 21 21 31 21 21 41 21 31 31 31 31 21 21 31 21 21 21 21 21 21 31 21 21 21 21 17 21 31 21 21 21 21 21 21 21 22 21 31 22 31 33 17 21 21 21 21 21 21 21 21 31 21 31 21 21 21 22 21 21 21 21 21 21 21 17 21 21 21 31 21 21 21 21 21 21 21 31 21 21 21 21 21 21 31 21 17 17 17 0 38 17 38 17 9 3 2 38 17 17 1 17 42 42 42 3 17 38 17 42 42 16 3 3 38 17 17 42 17 2 42 13 25 17 17 17 3 17 16 17 38 18 17 17 17 17 13 13 42 17 42 17 0 12 18 17 13 17 17 12 17 17 42 17 0 17 38 38 17 42 42 16 42 42 17 42 11 42 0 17 18 42 42 3 2 0 13 42 17 18 17 17 38 17 17 2 32 31 31 31 31 31 31 31 34 31 34 31 33 34 31 32 25 31 12 31 36 31 31 12 34 34 34 31 31 32 31 31 31 31 31 31 31 36 20 34 31 31 31 25 25 31 34 31 31 31 25 34 31 32 34 31 25 31 31 31 31 34 31 31 31 31 34 31 31 31 31 31 31 34 34 33 34 31 34 31 12 34 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 31 31 31 25 42 25 25 25 25 25 12 25 25 12 32 12 42 25 25 25 25 42 25 12 12 25 25 25 25 25 25 25 12 42 25 25 25 26 25 25 25 42 27 25 25 25 12 12 26 25 25 12 12 12 26 25 25 25 25 25 26 25 42 26 27 25 25 42 6 25 26 37 27 25 25 12 25 25 12 25 25 25 25 25 27 25 12 27 25 12 25 12 25 25 25 42 12 33 25 25 32 12 25"
7,4,-0.6388,0.9200,0.4610,-0.1726,0.3557,"2 6 2 2 4 37 2 37 39 2 4 2 39 5 4 4 2 2 4 39 39 5 2 31 2 2 2 39 2 6 37 39 6 2 2 2 39 39 37 37 6 5 2 37 2 2 2 5 2 2 37 2 2 5 2 2 2 6 5 2 11 2 6 39 2 2 6 37 39 39 4 11 39 2 2 6 6 2 2 2 5 5 6 6 2 2 2 39 39 2 37 2 10 6 39 4 2 2 2 2 17 17 21 21 31 21 17 21 21 21 22 31 21 21 31 21 21 31 21 21 41 21 31 31 31 31 21 21 31 21 21 21 21 21 21 31 21 21 21 21 17 21 31 21 21 21 21 21 21 21 22 21 31 22 31 33 17 21 21 21 21 21 21 21 21 31 21 31 21 21 21 22 21 21 21 21 21 21 21 17 21 21 21 31 21 21 21 21 21 21 21 31 21 21 21 21 21 21 31 21 17 17 17 0 38 17 38 17 9 3 2 38 17 17 1 17 42 42 42 3 17 38 17 42 42 16 3 3 38 17 17 42 17 2 42 13 25 17 17 17 3 17 16 17 38 18 17 17 17 17 13 13 42 17 42 17 0 12 18 17 13 17 17 12 17 17 42 17 0 17 38 38 17 42 42 16 42 42 17 42 11 42 0 17 18 42 42 3 2 0 13 42 17 18 17 17 38 17 17 2 32 31 31 31 31 31 31 31 34 31 34 31 33 34 31 32 25 31 12 31 36 31 31 12 34 34 34 31 31 32 31 31 31 31 31 31 31 36 20 34 31 31 31 25 25 31 34 31 31 31 25 34 31 32 34 31 25 31 31 31 31 34 31 31 31 31 34 31 31 31 31 31 31 34 34 33 34 31 34 31 12 34 31 31 31 31 31 31 31 31 31 31 31 31 31 31 32 31 31 31 25 42 25 25 25 25 25 12 25 25 12 32 12 42 25 25 25 25 42 25 12 12 25 25 25 25 25 25 25 12 42 25 25 25 26 25 25 25 42 27 25 25 25 12 12 26 25 25 12 12 12 26 25 25 25 25 25 26 25 42 26 27 25 25 42 6 25 26 37 27 25 25 12 25 25 12 25 25 25 25 25 27 25 12 27 25 12 25 12 25 25 25 42 12 33 25 25 32 12 25"
8,5,-0.6521,0.9259,0.4489,-0.1505,0.3228,"37 12 2 2 6 2 2 37 2 4 12 2 12 2 12 2 2 2 2 2 2 2 22 2 2 2 2 2 2 2 2 4 9 2 2 2 6 12 2 2 2 2 2 2 2 2 2 12 6 2 2 2 12 2 6 12 2 2 9 2 2 2 2 2 22 2 2 2 2 2 12 2 2 12 2 2 2 2 2 37 12 2 2 12 12 2 12 2 2 12 4 2 2 2 2 2 2 6 37 2 3 3 25 3 0 3 0 0 3 0 3 25 25 0 0 3 3 34 3 3 0 0 25 3 25 25 25 0 3 25 25 0 3 0 3 0 25 0 3 41 3 3 0 25 0 25 0 3 3 3 0 3 0 3 25 3 3 0 34 0 3 25 0 3 3 25 3 25 3 25 3 0 16 0 25 0 34 3 25 0 0 25 3 0 3 3 0 0 0 3 3 3 25 0 12 0 3 0 0 3 42 17 2 17 2 42 42 42 42 42 5 41 42 3 42 38 42 42 3 5 42 42 42 42 42 0 42 0 42 42 3 42 3 38 42 42 42 42 6 5 0 42 42 42 42 42 42 42 0 42 42 42 3 3 42 3 0 42 0 1 42 42 42 17 42 0 0 42 6 42 3 3 42 3 42 42 42 42 0 42 42 4 13 42 42 42 42 17 42 42 42 3 42 17 42 5 42 42 42 42 6 42 42 42 12 4 42 42 6 42 37 5 12 42 42 42 9 12 4 2 2 4 42 42 42 42 5 42 12 42 5 12 33 42 4 42 42 42 2 2 42 9 12 12 4 42 42 42 2 6 4 42 12 2 12 4 42 42 9 33 42 42 12 2 42 37 12 2 42 37 42 42 42 42 42 42 4 4 37 37 2 12 42 2 4 6 42 42 4 42 5 5 4 42 33 5 6 42 2 37 28 5 28 28 13 1 29 40 1 28 28 0 28 0 40 40 0 28 28 28 40 0 1 1 40 40 28 40 28 28 40 3 30 2 28 40 13 28 13 6 28 28 28 28 30 0 28 38 40 38 28 37 28 29 40 40 28 40 2 40 38 1 28 28 0 28 3 13 28 40 40 28 1 13 0 40 1 28 13 40 40 1 0 40 40 28 13 40 40 28 0 40 28 1 40 30 0 13 28 38"
9,5,-0.6521,0.9259,0.4489,-0.1462,0.3250,"37 12 2 2 6 2 2 37 2 4 12 2 12 2 12 2 2 2 2 2 2 2 22 2 2 2 2 2 2 2 2 4 9 2 2 2 6 12 2 2 2 2 2 2 2 2 2 12 6 2 2 2 12 2 6 12 2 2 9 2 2 2 2 2 22 2 2 2 2 2 12 2 2 12 2 2 2 2 2 37 12 2 2 12 12 2 12 2 2 12 4 2 2 2 2 2 2 6 37 2 3 3 25 3 0 3 0 0 3 0 3 25 25 0 0 3 3 34 3 3 0 0 25 3 25 25 25 0 3 25 25 0 3 0 3 0 25 0 3 41 3 3 0 25 0 25 0 3 3 3 0 3 0 3 25 3 3 0 34 0 3 25 0 3 3 25 3 25 3 25 3 0 16 0 25 0 34 3 25 0 0 25 3 0 3 3 0 0 0 3 3 3 25 0 12 0 3 0 0 3 42 17 2 17 2 42 42 42 42 42 5 41 42 3 42 38 42 42 3 5 42 42 42 42 42 0 42 0 42 42 3 42 3 38 42 42 42 42 6 5 0 42 42 42 42 42 42 42 0 42 42 42 3 3 42 3 0 42 0 1 42 42 42 17 42 0 0 42 6 42 3 3 42 3 42 42 42 42 0 42 42 4 13 42 42 42 42 17 42 42 42 3 42 17 42 5 42 42 42 42 6 42 42 42 12 4 42 42 6 42 37 5 12 42 42 42 9 12 4 2 2 4 42 42 42 42 5 42 12 42 5 12 33 42 4 42 42 42 2 2 42 9 12 12 4 42 42 42 2 6 4 42 12 2 12 4 42 42 9 33 42 42 12 2 42 37 12 2 42 37 42 42 42 42 42 42 4 4 37 37 2 12 42 2 4 6 42 42 4 42 5 5 4 42 33 5 6 42 2 37 28 5 28 28 13 1 29 40 1 28 28 0 28 0 40 40 0 28 28 28 40 0 1 1 40 40 28 40 28 28 40 3 30 2 28 40 13 28 13 6 28 28 28 28 30 0 28 38 40 38 28 37 28 29 40 40 28 40 2 40 38 1 28 28 0 28 3 13 28 40 40 28 1 13 0 40 1 28 13 40 40 1 0 40 40 28 13 40 40 28 0 40 28 1 40 30 0 13 28 38"
