rank,fitness,winrate,genome
1,-0.5142,0.9259,"31 31 31 31 31 33 0 31 31 31 31 31 34 31 31 31 31 31 36 31 16 31 25 33 31 31 31 31 31 31 31 31 31 31 31 1 17 31 33 37 31 33 31 31 32 7 31 31 31 31 31 31 31 31 31 31 10 31 31 31 37 32 31 33 31 0 31 31 31 32 31 31 15 31 32 31 31 40 31 31 31 31 31 42 32 31 41 31 24 31 31 31 23 2 31 31 31 6 31 33 0 29 3 3 0 3 0 3 9 38 3 1 0 26 3 3 0 10 2 42 7 3 0 35 15 2 3 3 3 0 0 26 0 0 3 0 13 6 3 0 0 14 0 3 3 20 3 3 0 0 3 3 31 22 9 14 37 25 3 0 0 34 0 3 38 0 21 37 0 0 14 3 3 35 3 3 14 1 0 26 0 41 42 0 3 4 5 3 24 3 12 3 31 0 38 3 0 42 0 7 4 2 2 0 2 2 1 2 0 2 37 6 38 2 2 2 2 25 37 0 2 2 0 2 2 2 2 38 2 0 2 2 6 2 2 2 38 6 2 2 24 2 2 2 12 2 2 37 42 2 2 3 2 2 13 13 4 4 2 13 42 2 2 2 2 5 13 2 2 17 2 2 2 2 0 13 2 2 2 2 5 2 2 13 38 0 4 0 2 10 37 2 3 2 2 1 2 16 2 2 29 28 29 28 28 28 29 2 32 31 29 28 28 28 2 28 28 28 15 2 28 30 28 28 28 28 30 28 28 28 30 28 28 28 28 2 2 37 28 28 28 13 2 2 7 28 28 28 28 2 30 2 28 28 28 28 30 28 28 28 29 28 13 2 7 30 28 29 28 30 2 28 28 2 28 28 4 2 28 27 20 29 28 28 28 28 28 28 2 28 28 28 28 2 28 28 4 2 28 2 0 9 0 22 3 0 0 9 0 41 9 0 0 3 9 0 3 0 0 3 0 3 9 0 3 9 3 0 3 3 3 9 0 9 9 3 9 3 9 3 3 9 0 3 9 10 9 0 3 9 9 9 0 3 10 9 0 3 9 9 34 3 9 9 22 9 1 3 10 0 3 0 8 0 3 0 0 24 3 3 9 0 3 3 9 9 8 0 3 0 9 9 9 41 0 9 9 0 37 9"
2,-0.4833,1.0000,"0 12 3 0 36 0 3 28 9 3 3 5 3 35 36 3 3 0 27 9 3 3 24 12 14 0 0 0 3 0 29 33 23 0 3 3 3 3 0 0 0 5 36 16 3 3 3 0 26 0 42 16 0 3 2 41 8 18 0 12 17 29 30 1 0 3 0 25 0 0 31 37 0 3 0 3 7 19 3 0 3 0 3 0 25 15 3 40 41 0 6 3 0 3 0 3 30 3 6 33 20 2 2 2 2 2 27 0 2 2 2 25 2 42 6 2 4 37 17 2 2 36 5 6 37 6 2 6 2 2 42 2 2 2 7 2 4 3 2 37 2 5 2 18 16 5 28 6 2 19 2 6 37 2 5 6 2 2 2 14 37 2 6 2 2 2 0 2 2 2 2 4 2 37 6 2 6 37 4 2 2 6 24 4 2 5 37 2 2 2 2 4 2 5 4 2 37 2 9 2 4 2 2 0 2 2 1 2 0 2 37 6 38 2 2 2 2 25 37 0 2 2 0 2 2 2 2 38 2 0 2 2 6 2 2 2 38 6 2 2 24 2 2 2 12 2 2 37 42 2 2 3 2 2 13 13 4 4 2 13 42 2 2 2 2 5 13 2 2 17 2 2 2 2 0 13 2 2 2 2 5 2 2 13 38 0 4 0 2 10 37 2 3 2 2 1 2 16 2 2 41 17 41 1 17 18 13 38 41 17 41 41 17 17 17 41 41 41 41 41 17 17 41 0 17 41 41 17 41 41 41 41 41 41 41 41 13 37 17 41 41 41 2 41 17 17 41 41 3 41 41 41 17 41 41 41 17 17 41 37 41 41 41 41 41 41 17 17 41 41 41 38 0 41 41 17 41 41 3 3 17 41 41 41 38 41 2 41 41 2 17 41 41 0 41 41 17 41 41 41 12 12 0 12 12 12 12 0 26 12 0 12 12 12 0 26 3 12 12 26 12 12 9 12 12 9 3 12 12 12 12 12 0 9 26 12 12 12 1 12 12 38 12 12 9 12 12 12 12 9 12 12 0 0 12 12 0 25 12 12 34 13 12 12 0 12 12 1 12 12 3 0 8 12 12 12 27 12 12 12 9 0 12 12 9 12 12 12 12 25 12 13 12 12 13 12 12 0 26 12"
3,-0.4820,0.9130,"0 12 3 0 36 0 3 28 9 3 3 5 3 35 36 3 3 0 27 9 3 3 24 12 14 0 0 0 3 0 29 33 23 0 3 3 3 3 0 0 0 5 36 16 3 3 3 0 26 0 42 16 0 3 2 41 8 18 0 12 17 29 30 1 0 3 0 25 0 0 31 37 0 3 0 3 7 19 3 0 3 0 3 0 25 15 3 40 41 0 6 3 0 3 0 3 30 3 6 33 2 2 3 3 0 3 2 3 9 38 4 1 0 5 3 3 0 10 2 42 7 6 0 35 15 2 3 3 4 6 0 26 0 0 3 0 13 4 4 0 0 14 0 3 3 20 2 3 0 0 3 37 31 22 9 14 37 25 3 0 0 34 0 3 38 0 21 37 37 0 14 3 3 35 4 3 14 1 0 26 0 41 42 0 37 4 5 3 4 3 6 3 31 0 38 3 0 42 0 4 1 2 2 0 2 0 1 2 0 3 37 6 38 2 0 2 38 0 3 0 2 2 0 0 3 2 2 38 2 0 2 2 0 2 2 2 38 6 2 2 24 2 1 2 12 2 2 37 42 2 13 3 2 13 38 13 0 4 2 1 42 2 2 2 2 5 13 2 2 17 2 1 2 38 0 13 2 2 2 2 5 0 2 13 38 38 4 0 38 10 3 2 3 2 2 1 2 16 2 2 28 28 28 28 28 28 28 28 28 28 28 28 28 28 2 28 28 28 30 28 28 28 28 28 30 28 28 28 28 28 30 28 28 28 28 28 28 28 28 28 29 13 28 2 28 28 28 28 28 28 30 28 28 28 28 28 28 28 28 28 29 28 13 2 7 28 28 28 28 28 28 42 29 28 28 28 4 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 30 28 2 30 28 0 9 0 22 3 0 0 9 0 41 9 0 0 3 9 0 3 0 0 3 0 3 9 0 3 9 3 0 3 3 3 9 0 9 9 3 9 3 9 3 3 9 0 3 9 10 9 0 3 9 9 9 0 3 10 9 0 3 9 9 34 3 9 9 22 9 1 3 10 0 3 0 8 0 3 0 0 24 3 3 9 0 3 3 9 9 8 0 3 0 9 9 9 41 0 9 9 0 37 9"
4,-0.4273,0.9259,"0 12 3 0 36 0 3 28 9 3 3 5 3 35 36 3 3 0 27 9 3 3 24 12 14 0 0 0 3 0 29 33 23 0 3 3 3 3 0 0 0 5 36 16 3 3 3 0 26 0 42 16 0 3 2 41 8 18 0 12 17 29 30 1 0 3 0 25 0 0 31 37 0 3 0 3 7 19 3 0 3 0 3 0 25 15 3 40 41 0 6 3 0 3 0 3 30 3 6 33 20 38 13 13 2 2 3 0 2 2 0 3 0 42 6 2 4 37 17 2 2 36 1 6 37 6 2 38 2 2 42 3 2 13 7 2 13 0 2 37 13 5 2 38 16 0 0 6 38 19 2 6 37 2 5 6 2 1 2 0 37 2 6 2 3 2 0 2 2 13 2 1 2 37 6 0 38 37 3 2 13 6 24 1 0 5 37 2 2 0 38 4 2 5 4 1 37 2 9 2 1 2 3 0 0 1 1 3 0 3 37 6 38 13 0 2 38 0 3 0 2 2 0 0 3 2 2 38 2 38 2 2 3 2 38 2 38 38 2 3 24 13 1 13 12 2 2 0 42 2 38 3 38 13 38 13 3 4 2 13 3 2 2 2 2 5 13 2 2 13 2 1 2 38 0 1 1 2 2 2 3 0 3 13 38 38 1 0 38 3 3 2 0 2 2 1 2 16 2 2 28 28 28 28 28 28 28 28 28 28 28 28 28 28 2 28 28 28 30 28 28 28 28 28 30 28 28 28 28 28 30 28 28 28 28 28 28 28 28 28 29 13 28 2 28 28 28 28 28 28 30 28 28 28 28 28 28 28 28 28 29 28 13 2 7 28 28 28 28 28 28 42 29 28 28 28 4 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 30 28 2 30 28 0 9 0 22 3 0 0 9 0 41 38 1 3 3 9 0 3 0 0 3 3 3 9 0 3 9 3 0 3 3 3 1 0 9 9 0 9 3 9 3 3 1 0 0 9 10 9 0 13 9 9 0 1 3 10 9 0 3 9 9 34 3 0 9 22 9 1 3 10 0 1 0 8 0 3 0 0 38 3 3 9 0 3 3 9 9 8 13 3 0 9 9 9 3 0 1 1 0 37 9"
5,-0.4257,0.9630,"0 12 3 0 36 0 3 28 9 3 3 5 3 35 36 3 3 0 27 9 3 3 24 12 14 0 0 0 3 0 29 33 23 0 3 3 3 3 0 0 0 5 36 16 3 3 3 0 26 0 42 16 0 3 2 41 8 18 0 12 17 29 30 1 0 3 0 25 0 0 31 37 0 3 0 3 7 19 3 0 3 0 3 0 25 15 3 40 41 0 6 3 0 3 0 3 30 3 6 33 20 38 13 13 2 2 3 0 2 2 0 3 0 42 6 2 4 37 17 2 2 36 1 6 37 6 2 38 2 2 42 3 2 13 7 2 13 0 2 37 13 5 2 38 16 0 0 6 38 19 2 6 37 2 5 6 2 1 2 0 37 2 6 2 3 2 0 2 2 13 2 1 2 37 6 0 38 37 3 42 13 6 24 1 0 5 37 2 2 0 38 4 2 5 4 1 37 2 9 2 1 2 2 0 2 0 1 2 0 3 37 6 38 2 0 2 38 0 3 0 2 2 0 0 3 2 2 38 2 0 2 2 0 2 2 2 38 6 2 2 24 2 1 2 12 2 2 37 42 2 13 3 2 13 38 13 0 4 2 1 42 2 2 2 2 5 13 2 2 17 2 42 2 38 0 13 2 2 2 2 5 0 2 13 38 38 4 0 38 10 3 2 3 2 2 1 2 16 2 2 19 2 2 17 28 14 2 2 2 2 19 15 2 17 2 2 28 4 17 2 2 2 2 2 17 2 2 19 6 19 5 2 2 2 19 2 28 19 37 2 15 17 2 2 17 2 2 17 2 2 2 2 2 28 17 19 2 2 2 2 2 2 2 2 2 2 2 2 19 2 2 2 2 17 2 2 2 2 28 2 2 2 2 2 6 2 2 2 2 37 2 2 2 4 2 2 2 2 17 28 0 9 0 22 3 0 0 9 0 41 9 0 0 3 9 0 3 0 0 3 0 3 9 0 3 9 3 0 3 3 3 9 0 9 9 3 9 3 9 3 3 9 0 3 9 10 9 0 3 9 9 9 0 3 10 9 0 3 9 9 34 3 9 9 22 9 1 3 10 0 3 0 8 0 3 0 0 24 3 3 9 0 3 3 9 9 8 0 3 0 9 9 9 41 0 9 9 0 37 9"
6,-0.4229,0.9600,"0 12 12 16 36 0 16 28 16 3 3 16 3 16 12 3 3 16 27 9 16 3 24 12 12 0 12 0 3 0 12 33 23 0 3 3 3 3 0 16 0 5 36 16 3 3 12 0 26 12 42 16 0 3 2 41 8 18 0 16 17 29 30 12 0 3 0 25 0 0 31 37 0 16 0 3 7 12 3 0 3 0 12 0 25 15 3 40 41 0 16 3 0 3 12 3 30 3 6 33 20 38 13 13 2 2 3 0 2 2 0 3 0 42 6 2 4 37 17 2 2 36 1 6 37 6 2 38 2 2 42 3 2 13 7 2 13 0 2 37 13 5 2 38 16 0 0 6 38 19 2 6 37 2 5 6 2 1 2 0 37 2 6 2 3 2 0 2 2 13 2 1 2 37 6 0 38 37 3 2 13 6 24 1 0 5 37 2 2 0 38 4 2 5 4 1 37 2 9 2 1 2 2 0 2 0 1 2 0 3 37 6 38 2 0 2 38 0 3 0 2 2 0 0 3 2 2 38 2 0 2 2 0 2 2 2 38 6 2 2 24 2 1 2 12 2 2 37 42 2 13 3 2 13 38 13 0 4 2 1 42 2 2 2 2 5 13 2 2 17 2 42 2 38 0 13 2 2 2 2 5 0 2 13 38 38 4 0 38 10 3 2 3 2 2 1 2 16 2 2 17 17 0 17 17 18 17 2 32 17 17 2 1 3 17 3 0 2 17 2 17 17 0 17 1 17 17 1 4 17 2 17 13 17 13 17 17 37 17 1 17 17 2 6 13 3 42 17 23 18 2 3 17 18 5 17 17 1 0 37 17 17 13 17 17 17 1 17 13 1 13 6 17 3 17 17 17 3 17 27 17 17 18 17 13 0 2 3 17 2 17 38 0 17 28 34 17 17 1 38 0 9 38 22 3 38 0 1 0 41 9 0 0 0 9 1 3 0 0 3 1 3 3 0 3 9 3 1 3 3 3 0 0 9 9 3 9 3 9 3 38 9 0 13 9 10 9 0 3 9 9 0 1 3 10 9 1 3 9 9 34 13 9 0 38 9 0 0 13 13 3 0 8 0 3 0 0 24 3 1 9 3 13 3 13 38 8 0 3 0 9 9 9 41 0 9 9 3 37 3"
7,-0.3844,0.8889,"0 12 3 0 36 0 3 28 9 3 3 5 3 35 36 3 3 0 27 9 3 3 24 12 14 0 0 0 3 0 29 33 23 0 3 3 3 3 0 0 0 5 36 16 3 3 3 0 26 0 42 16 0 3 2 41 8 18 0 12 17 29 30 1 0 3 0 25 0 0 31 37 0 3 0 3 7 19 3 0 3 0 3 0 25 15 3 40 41 0 6 3 0 3 0 3 30 3 6 33 20 38 13 13 2 2 3 0 2 2 0 3 0 42 6 2 4 37 17 2 2 36 1 6 37 6 2 38 2 2 42 3 2 13 7 2 13 0 2 37 13 5 2 38 16 0 0 6 38 19 2 6 37 2 5 6 2 1 2 0 37 2 6 2 3 2 0 2 2 13 2 1 2 37 6 0 38 37 3 2 13 6 24 1 0 5 37 2 2 0 38 4 2 5 4 1 37 2 9 2 1 2 2 0 2 0 1 2 0 3 37 6 38 2 0 2 38 0 3 0 2 2 0 0 3 2 2 38 2 0 2 2 0 2 2 2 38 6 2 2 24 2 1 2 12 2 2 37 42 2 13 3 2 13 38 13 0 4 2 1 42 2 2 2 2 5 13 2 2 17 2 42 2 38 0 13 2 2 2 2 5 0 2 13 38 38 4 0 38 10 3 2 3 2 2 1 2 16 2 2 17 17 0 17 17 18 17 2 32 17 17 2 1 3 17 3 0 2 17 2 17 17 0 17 1 17 17 1 4 17 2 17 13 17 13 17 17 37 17 1 17 17 2 6 13 3 42 17 23 18 2 3 17 18 5 17 17 1 0 37 17 17 13 17 17 17 1 17 13 1 13 6 17 3 17 17 17 3 17 27 17 17 18 17 13 0 2 3 17 2 17 38 0 17 28 34 17 17 1 38 41 9 38 41 41 38 41 1 0 41 41 0 41 41 9 13 41 0 0 3 41 3 3 0 41 41 3 0 41 41 41 0 41 9 41 41 41 41 9 3 38 9 0 41 41 41 41 41 0 9 3 0 41 41 41 38 1 3 41 41 34 41 41 0 38 9 3 41 41 13 41 0 41 0 41 13 0 41 41 1 9 41 13 41 41 1 41 38 41 41 41 9 41 41 41 41 41 41 41 41"
8,-0.3756,0.9231,"0 12 3 0 36 0 3 28 9 3 3 5 3 35 36 3 3 0 27 9 3 3 24 12 14 0 0 0 3 0 29 33 23 0 3 3 3 3 0 0 0 5 36 16 3 3 3 0 26 0 42 16 0 3 2 41 8 18 0 12 17 29 30 1 0 3 0 25 0 0 31 37 0 3 0 3 7 19 3 0 3 0 3 0 25 15 3 40 41 0 6 3 0 3 0 3 30 3 6 33 20 38 13 13 2 2 3 0 2 2 0 3 0 42 6 2 4 37 17 2 2 36 1 6 37 6 2 38 2 2 42 3 2 13 7 2 13 0 2 37 13 5 2 38 16 0 0 6 38 19 2 6 37 2 5 6 2 1 2 0 37 2 6 2 3 2 0 2 2 13 2 1 2 37 6 0 38 37 3 2 13 6 24 1 0 5 37 2 2 0 38 4 2 5 4 1 37 2 9 2 1 2 2 0 2 0 1 2 0 3 37 6 38 2 0 2 38 0 3 0 2 2 0 0 3 2 2 38 2 0 2 2 0 2 2 2 38 6 2 2 24 2 1 2 12 2 2 37 42 2 13 3 2 13 38 13 0 4 2 1 42 2 2 2 2 5 13 2 2 17 2 42 2 38 0 13 2 2 2 2 5 0 2 13 38 38 4 0 38 10 3 2 3 2 2 1 2 16 2 2 17 17 0 17 17 18 17 2 32 17 17 2 1 3 17 3 0 2 17 2 17 17 0 17 1 17 17 1 4 17 2 17 13 17 13 17 17 37 17 1 17 17 2 6 13 3 42 17 23 18 2 3 17 18 5 17 17 1 0 37 17 17 13 17 17 17 1 17 13 1 13 6 17 3 17 17 17 3 17 27 17 17 18 17 13 0 2 3 17 2 17 38 0 17 28 34 17 17 1 38 0 9 38 22 3 38 0 1 0 41 9 0 0 0 9 1 3 0 0 3 1 3 3 0 3 9 3 1 3 3 3 0 0 9 9 3 9 3 9 3 38 9 0 13 9 10 9 0 3 9 9 0 1 3 10 9 1 3 9 9 34 13 9 0 38 9 0 0 13 13 3 0 8 0 3 0 0 24 3 1 9 3 13 3 13 38 8 0 3 0 9 9 9 41 0 9 9 3 37 3"
9,-0.3664,0.8462,"37 6 3 5 5 0 3 37 9 3 3 5 5 37 5 3 3 37 27 9 3 3 24 12 14 5 0 0 6 0 29 2 23 0 3 3 2 3 37 0 0 5 2 16 3 3 37 0 2 0 42 5 37 3 2 41 8 2 0 6 17 29 30 37 0 5 2 25 0 0 37 37 2 2 0 3 6 19 4 5 3 0 3 2 25 15 6 40 41 0 6 3 0 5 0 5 4 6 6 33 20 38 13 13 2 2 3 0 2 2 0 3 0 42 6 2 4 37 17 2 2 36 1 6 37 6 2 38 2 2 42 3 2 13 7 2 13 0 2 37 13 5 2 38 16 0 0 6 38 19 2 6 37 2 5 6 2 1 2 0 37 2 6 2 3 2 0 2 2 13 2 1 2 37 6 0 38 37 3 2 13 6 24 1 0 5 37 2 2 0 38 4 2 5 4 1 37 2 9 2 1 2 2 0 2 0 1 2 0 3 37 6 38 2 0 2 38 0 3 0 2 2 0 0 3 2 2 38 2 0 2 2 0 2 2 2 38 6 2 2 24 2 1 2 12 2 2 37 42 2 13 3 2 13 38 13 0 4 2 1 42 2 2 2 2 5 13 2 2 17 2 42 2 38 0 13 2 2 2 2 5 0 2 13 38 38 4 0 38 10 3 2 3 2 2 1 2 16 2 2 17 17 0 17 17 18 17 2 32 17 17 2 1 3 17 3 0 2 17 2 17 17 0 17 1 17 17 1 4 17 2 17 13 17 13 17 17 37 17 1 17 17 2 6 13 3 42 17 23 18 2 3 17 18 5 17 17 1 0 37 17 17 13 17 17 17 1 17 13 1 13 6 17 3 17 17 17 3 17 27 17 17 18 17 13 0 2 3 17 2 17 38 0 17 28 34 17 17 1 38 0 31 31 31 31 33 33 31 31 41 31 31 31 31 31 1 31 31 31 3 31 31 31 31 31 31 31 31 31 31 31 0 31 31 9 33 9 31 31 31 38 31 32 31 31 10 31 31 3 31 31 0 31 31 33 31 1 3 31 31 31 31 31 0 38 31 31 31 31 31 3 0 31 0 31 31 31 24 3 31 9 31 31 31 31 31 31 0 32 31 31 9 9 31 0 31 9 3 37 31"
10,-0.3350,0.8750,"0 12 3 0 36 0 3 28 9 3 3 5 3 35 36 3 3 0 27 9 3 3 24 12 14 0 0 0 3 0 29 33 23 0 3 3 3 3 0 0 0 5 36 16 3 3 3 0 26 0 42 16 0 3 2 41 8 18 0 12 17 29 30 1 0 3 0 25 0 0 31 37 0 3 0 3 7 19 3 0 3 0 3 0 25 15 3 40 41 0 6 3 0 3 0 3 30 3 6 33 20 38 13 13 2 2 3 0 2 2 0 3 0 42 6 2 4 37 17 2 2 36 1 6 37 6 2 38 2 2 42 3 2 13 7 2 13 0 2 37 13 5 2 38 16 0 0 6 38 19 2 6 37 2 5 6 2 1 2 0 37 2 6 2 3 2 0 2 2 13 2 1 2 37 6 0 38 37 3 2 13 6 24 1 0 5 37 2 2 0 38 4 2 5 4 1 37 2 9 2 1 2 2 0 2 0 1 2 0 3 37 6 38 2 0 2 38 0 3 0 2 2 0 0 3 2 2 38 2 0 2 2 0 2 2 2 38 6 2 2 24 2 1 2 12 2 2 37 42 2 13 3 2 13 38 13 0 4 2 1 42 2 2 2 2 5 13 2 2 17 2 42 2 38 0 13 2 2 2 2 5 0 2 13 38 38 4 0 38 10 3 2 3 2 2 1 2 16 2 2 17 17 0 17 17 18 17 2 32 17 17 2 1 3 17 3 0 2 17 2 17 17 0 17 1 17 17 1 4 17 2 17 13 17 13 17 17 37 17 1 17 17 2 6 13 3 42 17 23 18 2 3 17 18 5 17 17 1 0 37 17 17 13 17 17 17 1 17 13 1 13 6 17 3 17 17 17 3 17 27 17 17 18 17 13 0 2 3 17 2 17 38 0 17 28 34 17 17 1 38 0 9 38 22 3 38 0 1 0 41 9 0 0 0 9 1 3 0 0 3 1 3 3 0 3 9 3 1 3 3 3 0 0 9 9 3 9 3 9 3 38 9 0 13 9 10 9 0 3 9 9 0 1 3 10 9 1 3 9 9 34 13 9 0 38 9 0 0 13 13 3 0 8 0 3 0 0 24 3 1 9 3 13 3 13 38 8 0 3 0 9 9 9 41 0 9 9 3 37 3"
