# seed=7
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=3
# lambda_similarity=0.61
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.3004,0.8696,0.9331,0.0946,0.5254,"8 23 1 30 14 31 17 5 1 23 28 28 2 0 18 12 39 20 12 14 36 6 26 39 8 39 0 25 1 41 38 28 12 36 41 27 39 28 20 37 25 10 25 6 7 22 20 9 40 37 22 18 39 11 1 10 41 9 23 6 2 8 2 2 39 22 0 23 30 29 1 24 2 39 6 16 3 25 33 20 26 7 13 33 38 32 11 1 33 22 37 40 34 41 28 32 22 6 19 7 37 33 3 12 40 6 21 2 15 13 24 29 31 35 23 25 22 25 1 8 16 0 10 17 11 26 34 33 23 23 17 2 26 4 1 5 31 39 21 35 18 15 15 8 13 27 30 4 5 1 37 5 30 0 10 29 2 8 34 37 31 23 6 37 5 22 15 27 31 25 4 33 24 35 30 11 24 26 40 29 32 13 26 3 34 15 36 4 18 37 40 5 1 8 10 35 12 14 5 22 7 39 38 41 2 2 7 23 3 19 23 1 0 7 34 36 9 10 39 4 38 0 27 3 21 39 41 7 12 3 8 21 18 4 6 42 33 24 5 10 6 13 33 33 0 24 36 21 34 2 35 24 21 11 16 36 12 23 40 41 33 30 13 39 30 40 2 1 31 4 33 25 32 3 1 30 37 4 38 0 16 31 28 34 2 31 30 0 27 14 22 31 15 32 6 42 34 19 17 27 42 11 36 7 21 15 37 42 0 19 32 42 36 10 25 2 33 18 8 32 18 33 42 39 6 41 37 35 16 2 17 29 1 26 3 34 38 11 29 40 29 11 2 7 11 6 6 24 0 38 34 5 39 1 3 3 30 27 15 18 4 10 10 31 27 4 0 26 7 2 41 29 37 40 36 14 32 23 29 12 20 18 13 27 30 33 30 19 16 31 36 30 4 35 29 22 42 26 9 25 37 10 13 16 2 38 25 23 5 21 38 27 38 11 16 2 11 27 9 27 2 19 38 22 11 8 11 32 27 11 21 39 12 12 7 3 42 37 36 0 36 13 12 4 23 14 26 40 7 10 27 4 12 28 18 24 13 10 9 38 2 10 5 22 32 10 21 3 29 26 35 22 1 42 27 20 3 27 2 42 22 14 6 28 9 11 39 20 28 30 25 35 19 42 40 1 40 14 9 24"
1,2,-0.6538,0.8519,0.3246,-0.1551,0.2499,"25 25 2 25 31 2 25 25 31 25 31 25 2 25 25 37 25 25 25 31 27 25 2 25 25 31 27 25 25 2 25 27 2 25 25 25 2 25 25 31 25 2 25 25 25 25 31 25 25 25 25 25 25 25 2 25 25 25 2 25 25 2 25 25 25 25 26 25 25 25 25 25 31 27 31 2 25 25 25 25 25 25 25 25 26 25 25 25 25 2 2 25 12 25 26 27 5 26 25 31 25 25 2 6 25 2 25 25 2 25 2 25 2 25 25 25 25 27 1 25 25 27 25 25 2 25 25 25 25 25 25 2 25 25 25 25 25 39 2 2 25 25 25 2 2 5 25 25 5 2 25 25 25 26 25 26 1 2 25 37 25 25 25 27 25 25 25 27 25 2 25 25 2 35 26 25 25 25 1 2 25 25 25 2 25 27 25 25 25 25 2 2 25 25 25 25 25 2 25 25 2 8 1 3 0 2 13 2 0 0 2 1 0 8 3 38 3 0 38 2 2 0 3 1 3 3 0 3 0 3 3 38 38 0 2 2 3 2 0 7 2 1 3 0 38 0 3 3 3 13 35 13 8 0 31 3 38 2 3 1 3 0 1 1 3 2 13 0 13 3 2 1 38 0 9 0 7 2 0 0 38 3 13 31 0 3 13 1 1 2 0 0 0 38 2 3 9 13 1 31 12 26 25 25 12 12 25 25 36 25 25 25 25 25 27 25 12 26 25 12 25 25 25 25 9 9 25 25 12 25 25 26 12 25 25 9 25 25 25 25 12 25 12 25 25 25 34 18 25 25 25 25 25 25 25 25 25 25 26 25 25 25 26 12 12 12 25 12 25 12 25 25 25 25 25 12 25 25 12 25 12 25 25 25 27 25 9 25 25 25 25 12 25 26 25 25 12 25 27 25 25 25 26 25 25 25 21 22 25 21 1 22 26 25 25 25 2 25 25 25 0 1 25 0 25 25 0 25 25 26 21 25 25 12 21 25 25 25 13 25 21 21 25 13 25 25 13 25 25 0 26 13 25 13 13 25 25 0 12 1 21 25 25 25 25 27 25 28 25 25 25 0 25 27 38 21 25 21 25 38 25 25 25 3 1 25 1 25 25 25 3 25 0 3 25 38 0 21 38 25"
2,3,-0.6668,0.9200,0.4150,-0.1588,0.2793,"23 2 2 23 39 39 2 39 39 2 2 39 23 3 39 23 39 23 12 17 38 39 23 39 2 0 23 0 12 3 39 39 39 23 12 3 23 1 23 2 39 39 39 23 3 23 0 23 23 2 23 1 19 2 39 23 23 23 39 24 13 2 2 38 23 23 0 9 39 38 2 9 1 39 23 23 2 0 39 38 23 2 39 23 23 39 1 38 39 39 38 39 23 2 1 2 24 2 23 1 12 0 12 13 12 12 3 12 12 12 3 12 12 24 12 12 1 13 12 12 23 12 23 13 24 38 12 38 12 12 38 12 12 3 12 38 1 12 12 23 12 12 12 38 12 12 12 13 12 12 12 12 12 13 12 12 12 1 3 3 13 12 12 12 12 12 1 24 1 0 12 31 1 12 12 12 3 23 1 1 13 3 12 12 12 3 12 12 23 12 12 12 12 38 3 3 13 12 12 31 38 42 1 42 42 42 0 42 42 42 42 3 37 42 42 42 42 42 19 42 2 12 42 42 42 42 42 42 42 5 42 42 42 4 42 2 42 42 42 42 42 6 42 42 42 42 42 42 42 42 5 42 42 2 42 42 42 42 42 42 19 42 42 42 42 42 42 5 12 42 42 37 42 42 42 42 12 19 6 42 42 42 38 42 1 42 42 42 42 42 42 42 42 42 42 12 37 42 42 3 0 2 0 2 3 2 0 19 3 2 0 19 0 3 0 2 3 2 38 1 3 3 40 3 0 2 38 38 3 13 3 3 0 3 3 0 19 0 38 0 33 0 2 0 0 40 3 13 3 4 0 3 3 2 2 3 2 3 1 5 0 2 1 2 0 3 3 38 3 38 3 4 3 3 13 13 3 38 2 1 42 1 3 19 1 3 2 0 3 3 0 0 3 2 3 1 2 2 1 3 37 2 2 42 2 42 42 42 21 42 42 42 42 2 2 21 2 42 5 42 2 36 42 2 21 2 21 42 42 42 2 42 37 42 37 2 42 42 42 42 2 2 2 42 42 42 42 42 22 21 2 42 42 42 42 5 42 42 42 42 4 42 42 2 42 22 42 2 42 22 42 42 21 2 42 42 5 6 2 6 42 2 42 42 42 5 42 6 2 2 42 42 42 5 42 42 42 42 42 42"
3,3,-0.6668,0.9200,0.4150,-0.1488,0.3536,"23 2 2 23 39 39 2 39 39 2 2 39 23 3 39 23 39 23 12 17 38 39 23 39 2 0 23 0 12 3 39 39 39 23 12 3 23 1 23 2 39 39 39 23 3 23 0 23 23 2 23 1 19 2 39 23 23 23 39 24 13 2 2 38 23 23 0 9 39 38 2 9 1 39 23 23 2 0 39 38 23 2 39 23 23 39 1 38 39 39 38 39 23 2 1 2 24 2 23 1 12 0 12 13 12 12 3 12 12 12 3 12 12 24 12 12 1 13 12 12 23 12 23 13 24 38 12 38 12 12 38 12 12 3 12 38 1 12 12 23 12 12 12 38 12 12 12 13 12 12 12 12 12 13 12 12 12 1 3 3 13 12 12 12 12 12 1 24 1 0 12 31 1 12 12 12 3 23 1 1 13 3 12 12 12 3 12 12 23 12 12 12 12 38 3 3 13 12 12 31 38 42 1 42 42 42 0 42 42 42 42 3 37 42 42 42 42 42 19 42 2 12 42 42 42 42 42 42 42 5 42 42 42 4 42 2 42 42 42 42 42 6 42 42 42 42 42 42 42 42 5 42 42 2 42 42 42 42 42 42 19 42 42 42 42 42 42 5 12 42 42 37 42 42 42 42 12 19 6 42 42 42 38 42 1 42 42 42 42 42 42 42 42 42 42 12 37 42 42 3 0 2 0 2 3 2 0 19 3 2 0 19 0 3 0 2 3 2 38 1 3 3 40 3 0 2 38 38 3 13 3 3 0 3 3 0 19 0 38 0 33 0 2 0 0 40 3 13 3 4 0 3 3 2 2 3 2 3 1 5 0 2 1 2 0 3 3 38 3 38 3 4 3 3 13 13 3 38 2 1 42 1 3 19 1 3 2 0 3 3 0 0 3 2 3 1 2 2 1 3 37 2 2 42 2 42 42 42 21 42 42 42 42 2 2 21 2 42 5 42 2 36 42 2 21 2 21 42 42 42 2 42 37 42 37 2 42 42 42 42 2 2 2 42 42 42 42 42 22 21 2 42 42 42 42 5 42 42 42 42 4 42 42 2 42 22 42 2 42 22 42 42 21 2 42 42 5 6 2 6 42 2 42 42 42 5 42 6 2 2 42 42 42 5 42 42 42 42 42 42"
4,3,-0.6668,0.9200,0.4150,-0.1448,0.2722,"23 2 2 23 39 39 2 39 39 2 2 39 23 3 39 23 39 23 12 17 38 39 23 39 2 0 23 0 12 3 39 39 39 23 12 3 23 1 23 2 39 39 39 23 3 23 0 23 23 2 23 1 19 2 39 23 23 23 39 24 13 2 2 38 23 23 0 9 39 38 2 9 1 39 23 23 2 0 39 38 23 2 39 23 23 39 1 38 39 39 38 39 23 2 1 2 24 2 23 1 12 0 12 13 12 12 3 12 12 12 3 12 12 24 12 12 1 13 12 12 23 12 23 13 24 38 12 38 12 12 38 12 12 3 12 38 1 12 12 23 12 12 12 38 12 12 12 13 12 12 12 12 12 13 12 12 12 1 3 3 13 12 12 12 12 12 1 24 1 0 12 31 1 12 12 12 3 23 1 1 13 3 12 12 12 3 12 12 23 12 12 12 12 38 3 3 13 12 12 31 38 42 1 42 42 42 0 42 42 42 42 3 37 42 42 42 42 42 19 42 2 12 42 42 42 42 42 42 42 5 42 42 42 4 42 2 42 42 42 42 42 6 42 42 42 42 42 42 42 42 5 42 42 2 42 42 42 42 42 42 19 42 42 42 42 42 42 5 12 42 42 37 42 42 42 42 12 19 6 42 42 42 38 42 1 42 42 42 42 42 42 42 42 42 42 12 37 42 42 3 0 2 0 2 3 2 0 19 3 2 0 19 0 3 0 2 3 2 38 1 3 3 40 3 0 2 38 38 3 13 3 3 0 3 3 0 19 0 38 0 33 0 2 0 0 40 3 13 3 4 0 3 3 2 2 3 2 3 1 5 0 2 1 2 0 3 3 38 3 38 3 4 3 3 13 13 3 38 2 1 42 1 3 19 1 3 2 0 3 3 0 0 3 2 3 1 2 2 1 3 37 2 2 42 2 42 42 42 21 42 42 42 42 2 2 21 2 42 5 42 2 36 42 2 21 2 21 42 42 42 2 42 37 42 37 2 42 42 42 42 2 2 2 42 42 42 42 42 22 21 2 42 42 42 42 5 42 42 42 42 4 42 42 2 42 22 42 2 42 22 42 42 21 2 42 42 5 6 2 6 42 2 42 42 42 5 42 6 2 2 42 42 42 5 42 42 42 42 42 42"
5,3,-0.6668,0.9200,0.4150,-0.1457,0.3493,"23 2 2 23 39 39 2 39 39 2 2 39 23 3 39 23 39 23 12 17 38 39 23 39 2 0 23 0 12 3 39 39 39 23 12 3 23 1 23 2 39 39 39 23 3 23 0 23 23 2 23 1 19 2 39 23 23 23 39 24 13 2 2 38 23 23 0 9 39 38 2 9 1 39 23 23 2 0 39 38 23 2 39 23 23 39 1 38 39 39 38 39 23 2 1 2 24 2 23 1 12 0 12 13 12 12 3 12 12 12 3 12 12 24 12 12 1 13 12 12 23 12 23 13 24 38 12 38 12 12 38 12 12 3 12 38 1 12 12 23 12 12 12 38 12 12 12 13 12 12 12 12 12 13 12 12 12 1 3 3 13 12 12 12 12 12 1 24 1 0 12 31 1 12 12 12 3 23 1 1 13 3 12 12 12 3 12 12 23 12 12 12 12 38 3 3 13 12 12 31 38 42 1 42 42 42 0 42 42 42 42 3 37 42 42 42 42 42 19 42 2 12 42 42 42 42 42 42 42 5 42 42 42 4 42 2 42 42 42 42 42 6 42 42 42 42 42 42 42 42 5 42 42 2 42 42 42 42 42 42 19 42 42 42 42 42 42 5 12 42 42 37 42 42 42 42 12 19 6 42 42 42 38 42 1 42 42 42 42 42 42 42 42 42 42 12 37 42 42 3 0 2 0 2 3 2 0 19 3 2 0 19 0 3 0 2 3 2 38 1 3 3 40 3 0 2 38 38 3 13 3 3 0 3 3 0 19 0 38 0 33 0 2 0 0 40 3 13 3 4 0 3 3 2 2 3 2 3 1 5 0 2 1 2 0 3 3 38 3 38 3 4 3 3 13 13 3 38 2 1 42 1 3 19 1 3 2 0 3 3 0 0 3 2 3 1 2 2 1 3 37 2 2 42 2 42 42 42 21 42 42 42 42 2 2 21 2 42 5 42 2 36 42 2 21 2 21 42 42 42 2 42 37 42 37 2 42 42 42 42 2 2 2 42 42 42 42 42 22 21 2 42 42 42 42 5 42 42 42 42 4 42 42 2 42 22 42 2 42 22 42 42 21 2 42 42 5 6 2 6 42 2 42 42 42 5 42 6 2 2 42 42 42 5 42 42 42 42 42 42"
6,4,-0.6718,0.9231,0.4120,-0.1808,0.3197,"28 28 2 23 30 39 2 39 39 28 28 28 23 28 39 29 28 28 28 28 30 28 23 29 28 28 23 28 12 29 28 28 28 28 12 29 28 28 28 28 28 28 28 23 28 23 28 23 28 28 28 28 19 28 39 29 23 23 30 28 28 28 2 38 28 23 28 9 28 28 28 28 28 30 23 28 28 0 39 28 23 2 28 23 28 39 28 28 28 28 28 39 28 29 1 2 28 2 28 28 25 25 42 25 25 25 42 25 25 25 26 25 25 25 9 25 25 13 25 25 5 25 25 25 25 25 25 42 25 25 25 25 9 25 25 25 25 26 25 25 25 25 26 25 25 5 25 25 25 25 25 25 42 25 25 25 12 25 42 25 26 25 25 26 25 25 25 25 42 25 42 25 42 42 25 25 9 4 42 25 25 25 25 42 25 25 42 9 25 25 25 5 25 25 2 25 25 27 25 25 17 17 17 42 17 17 17 17 42 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 17 17 18 17 17 9 17 17 17 17 17 17 17 17 17 42 17 17 17 17 17 17 5 17 18 17 42 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 42 17 17 17 17 17 42 17 17 17 17 17 17 17 42 42 9 9 17 17 17 17 17 18 17 17 17 3 31 31 0 3 3 31 3 31 31 31 31 33 3 3 31 0 0 12 3 3 31 12 0 0 14 33 0 31 9 31 31 31 31 3 3 0 3 0 33 0 31 27 3 12 3 3 31 31 3 12 3 3 31 3 31 31 31 33 0 3 12 0 3 15 0 0 41 32 31 3 31 12 3 31 0 31 3 0 31 31 0 0 3 0 31 31 3 31 0 0 3 33 3 15 3 0 0 12 3 37 1 2 42 2 42 42 42 21 42 3 0 42 2 2 21 2 42 13 42 2 3 42 3 38 3 21 42 42 42 2 42 37 3 37 2 42 42 42 42 0 2 2 38 42 42 3 42 22 21 3 42 42 42 42 5 42 42 42 42 4 42 38 13 1 22 42 2 42 1 1 13 21 2 42 42 0 3 2 6 42 2 42 42 0 5 42 13 2 2 42 42 42 5 13 42 42 1 42 42"
7,4,-0.6718,0.9231,0.4120,-0.1509,0.3057,"28 28 2 23 30 39 2 39 39 28 28 28 23 28 39 29 28 28 28 28 30 28 23 29 28 28 23 28 12 29 28 28 28 28 12 29 28 28 28 28 28 28 28 23 28 23 28 23 28 28 28 28 19 28 39 29 23 23 30 28 28 28 2 38 28 23 28 9 28 28 28 28 28 30 23 28 28 0 39 28 23 2 28 23 28 39 28 28 28 28 28 39 28 29 1 2 28 2 28 28 25 25 42 25 25 25 42 25 25 25 26 25 25 25 9 25 25 13 25 25 5 25 25 25 25 25 25 42 25 25 25 25 9 25 25 25 25 26 25 25 25 25 26 25 25 5 25 25 25 25 25 25 42 25 25 25 12 25 42 25 26 25 25 26 25 25 25 25 42 25 42 25 42 42 25 25 9 4 42 25 25 25 25 42 25 25 42 9 25 25 25 5 25 25 2 25 25 27 25 25 17 17 17 42 17 17 17 17 42 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 17 17 18 17 17 9 17 17 17 17 17 17 17 17 17 42 17 17 17 17 17 17 5 17 18 17 42 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 42 17 17 17 17 17 42 17 17 17 17 17 17 17 42 42 9 9 17 17 17 17 17 18 17 17 17 3 31 31 0 3 3 31 3 31 31 31 31 33 3 3 31 0 0 12 3 3 31 12 0 0 14 33 0 31 9 31 31 31 31 3 3 0 3 0 33 0 31 27 3 12 3 3 31 31 3 12 3 3 31 3 31 31 31 33 0 3 12 0 3 15 0 0 41 32 31 3 31 12 3 31 0 31 3 0 31 31 0 0 3 0 31 31 3 31 0 0 3 33 3 15 3 0 0 12 3 37 1 2 42 2 42 42 42 21 42 3 0 42 2 2 21 2 42 13 42 2 3 42 3 38 3 21 42 42 42 2 42 37 3 37 2 42 42 42 42 0 2 2 38 42 42 3 42 22 21 3 42 42 42 42 5 42 42 42 42 4 42 38 13 1 22 42 2 42 1 1 13 21 2 42 42 0 3 2 6 42 2 42 42 0 5 42 13 2 2 42 42 42 5 13 42 42 1 42 42"
8,4,-0.6718,0.9231,0.4120,-0.1584,0.3054,"28 28 2 23 30 39 2 39 39 28 28 28 23 28 39 29 28 28 28 28 30 28 23 29 28 28 23 28 12 29 28 28 28 28 12 29 28 28 28 28 28 28 28 23 28 23 28 23 28 28 28 28 19 28 39 29 23 23 30 28 28 28 2 38 28 23 28 9 28 28 28 28 28 30 23 28 28 0 39 28 23 2 28 23 28 39 28 28 28 28 28 39 28 29 1 2 28 2 28 28 25 25 42 25 25 25 42 25 25 25 26 25 25 25 9 25 25 13 25 25 5 25 25 25 25 25 25 42 25 25 25 25 9 25 25 25 25 26 25 25 25 25 26 25 25 5 25 25 25 25 25 25 42 25 25 25 12 25 42 25 26 25 25 26 25 25 25 25 42 25 42 25 42 42 25 25 9 4 42 25 25 25 25 42 25 25 42 9 25 25 25 5 25 25 2 25 25 27 25 25 17 17 17 42 17 17 17 17 42 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 17 17 18 17 17 9 17 17 17 17 17 17 17 17 17 42 17 17 17 17 17 17 5 17 18 17 42 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 42 17 17 17 17 17 42 17 17 17 17 17 17 17 42 42 9 9 17 17 17 17 17 18 17 17 17 3 31 31 0 3 3 31 3 31 31 31 31 33 3 3 31 0 0 12 3 3 31 12 0 0 14 33 0 31 9 31 31 31 31 3 3 0 3 0 33 0 31 27 3 12 3 3 31 31 3 12 3 3 31 3 31 31 31 33 0 3 12 0 3 15 0 0 41 32 31 3 31 12 3 31 0 31 3 0 31 31 0 0 3 0 31 31 3 31 0 0 3 33 3 15 3 0 0 12 3 37 1 2 42 2 42 42 42 21 42 3 0 42 2 2 21 2 42 13 42 2 3 42 3 38 3 21 42 42 42 2 42 37 3 37 2 42 42 42 42 0 2 2 38 42 42 3 42 22 21 3 42 42 42 42 5 42 42 42 42 4 42 38 13 1 22 42 2 42 1 1 13 21 2 42 42 0 3 2 6 42 2 42 42 0 5 42 13 2 2 42 42 42 5 13 42 42 1 42 42"
9,4,-0.6718,0.9231,0.4120,-0.1469,0.2920,"28 28 2 23 30 39 2 39 39 28 28 28 23 28 39 29 28 28 28 28 30 28 23 29 28 28 23 28 12 29 28 28 28 28 12 29 28 28 28 28 28 28 28 23 28 23 28 23 28 28 28 28 19 28 39 29 23 23 30 28 28 28 2 38 28 23 28 9 28 28 28 28 28 30 23 28 28 0 39 28 23 2 28 23 28 39 28 28 28 28 28 39 28 29 1 2 28 2 28 28 25 25 42 25 25 25 42 25 25 25 26 25 25 25 9 25 25 13 25 25 5 25 25 25 25 25 25 42 25 25 25 25 9 25 25 25 25 26 25 25 25 25 26 25 25 5 25 25 25 25 25 25 42 25 25 25 12 25 42 25 26 25 25 26 25 25 25 25 42 25 42 25 42 42 25 25 9 4 42 25 25 25 25 42 25 25 42 9 25 25 25 5 25 25 2 25 25 27 25 25 17 17 17 42 17 17 17 17 42 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 17 17 18 17 17 9 17 17 17 17 17 17 17 17 17 42 17 17 17 17 17 17 5 17 18 17 42 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 42 17 17 17 17 17 42 17 17 17 17 17 17 17 42 42 9 9 17 17 17 17 17 18 17 17 17 3 31 31 0 3 3 31 3 31 31 31 31 33 3 3 31 0 0 12 3 3 31 12 0 0 14 33 0 31 9 31 31 31 31 3 3 0 3 0 33 0 31 27 3 12 3 3 31 31 3 12 3 3 31 3 31 31 31 33 0 3 12 0 3 15 0 0 41 32 31 3 31 12 3 31 0 31 3 0 31 31 0 0 3 0 31 31 3 31 0 0 3 33 3 15 3 0 0 12 3 37 1 2 42 2 42 42 42 21 42 3 0 42 2 2 21 2 42 13 42 2 3 42 3 38 3 21 42 42 42 2 42 37 3 37 2 42 42 42 42 0 2 2 38 42 42 3 42 22 21 3 42 42 42 42 5 42 42 42 42 4 42 38 13 1 22 42 2 42 1 1 13 21 2 42 42 0 3 2 6 42 2 42 42 0 5 42 13 2 2 42 42 42 5 13 42 42 1 42 42"
