gen,changes,best,avg,worst,best_genome
0,1,-0.765,-0.394,-0.059,"[P0] 14 1 3 10 18 28 40 37 33 33 40 37 31 31 3 9 12 2 18 3 1 23 19 4 4 41 6 20 16 2 20 23 40 6 0 21 29 11 16 7 26 27 30 2 37 16 24 10 33 28 6 4 35 11 39 15 18 36 38 25 29 7 24 18 17 28 17 30 0 29 28 26 0 4 6 26 12 41 2 25 36 8 40 21 35 16 7 19 5 32 34 32 1 0 8 12 29 12 30 3; [P1] 42 34 25 34 38 15 19 9 9 29 22 0 25 26 10 33 29 15 29 2 1 23 34 22 15 21 38 31 30 34 7 7 32 22 35 35 13 12 2 31 32 16 38 0 35 23 38 14 37 21 5 3 34 26 5 17 19 11 35 33 24 27 33 10 33 18 18 40 29 40 32 24 17 36 9 2 16 37 27 1 8 34 11 27 34 33 18 26 24 19 17 29 23 23 5 1 31 25 33 28; [P2] 6 40 6 28 8 11 4 26 23 21 4 24 32 40 12 36 17 0 19 32 13 27 39 30 17 7 8 34 14 24 32 42 42 25 12 23 22 18 6 14 4 16 32 16 26 4 14 28 30 11 27 34 34 41 20 13 16 30 2 20 35 10 1 0 29 28 37 16 33 8 35 8 39 8 3 28 18 8 1 33 5 12 20 9 40 18 19 23 25 33 42 7 1 28 4 40 2 39 13 12; [P3] 22 38 22 10 24 35 22 35 36 1 38 26 9 35 3 39 41 11 41 16 13 24 8 8 16 42 4 4 41 16 23 13 28 28 37 34 2 14 40 6 34 14 23 6 11 17 32 36 34 18 18 24 34 29 36 28 36 24 11 32 37 14 4 38 9 10 17 41 1 10 28 22 3 15 12 3 41 2 3 29 1 30 36 1 18 29 36 3 16 37 36 27 20 41 33 7 28 33 33 16; [P4] 6 1 27 3 25 22 30 18 24 2 19 38 10 20 37 37 35 18 38 15 11 1 14 23 38 35 39 22 12 8 39 7 33 22 10 6 15 9 21 32 27 39 36 29 37 15 21 29 5 21 42 17 21 4 38 25 19 21 29 1 32 40 25 21 34 15 29 9 39 30 24 3 12 38 29 0 18 7 12 30 11 17 28 40 36 21 16 2 17 21 29 34 32 35 39 17 41 4 18 41"
1,2,-0.778,-0.413,-0.071,"[P0] 33 13 1 7 25 7 26 31 20 2 3 12 35 0 12 14 35 36 25 4 25 31 14 23 36 0 17 28 40 8 36 1 14 17 11 26 18 39 15 8 11 17 30 30 30 35 24 4 26 14 23 32 23 14 7 40 2 29 2 8 24 17 13 6 26 12 37 2 22 30 13 6 24 18 13 25 12 31 1 34 18 16 33 12 6 38 9 39 12 42 9 13 36 0 14 26 16 15 13 2; [P1] 34 31 22 16 15 33 13 17 2 19 29 32 1 20 1 32 29 8 42 8 1 15 41 3 29 2 41 1 3 34 26 22 42 35 10 4 24 38 9 6 34 38 37 36 2 22 25 0 6 38 33 19 20 24 37 4 5 29 1 37 4 2 1 16 34 12 41 22 11 1 34 6 7 3 42 0 13 9 38 4 8 6 26 5 38 26 3 2 14 34 24 18 28 13 17 22 29 4 13 30; [P2] 40 14 42 10 11 36 38 8 26 1 17 9 23 33 2 27 6 36 21 9 9 15 41 1 18 33 1 23 1 10 40 7 29 36 7 14 35 20 34 38 11 17 27 37 1 36 33 25 38 13 21 17 0 38 6 19 42 11 2 29 31 12 15 2 9 8 5 31 19 33 21 32 35 35 42 0 38 19 31 28 27 17 39 18 34 8 36 41 15 7 13 17 5 4 11 2 18 39 27 39; [P3] 5 31 33 39 1 23 39 38 33 26 27 10 12 24 5 37 16 38 1 31 2 10 30 17 26 16 18 38 12 29 31 4 5 16 24 42 40 21 5 40 17 9 25 12 11 16 21 0 28 28 38 29 18 20 8 8 15 28 4 27 14 42 39 42 10 2 30 30 38 41 23 22 27 32 42 13 0 9 41 32 4 22 41 31 33 35 38 22 22 20 31 23 12 33 23 28 29 10 42 10; [P4] 25 2 28 34 18 37 39 29 32 6 12 29 22 12 12 42 25 10 42 21 30 29 6 6 21 13 8 39 13 31 19 37 7 26 13 7 36 18 42 42 31 12 35 29 36 9 4 1 39 28 29 39 16 6 39 6 2 8 40 22 39 5 7 6 9 7 0 24 13 28 4 9 28 21 10 13 17 8 22 11 26 28 0 25 5 12 34 39 18 27 12 30 7 27 33 1 31 13 18 0"
2,3,-0.789,-0.418,-0.063,"[P0] 26 32 35 16 7 21 23 13 33 36 21 15 24 3 3 37 34 13 1 25 19 33 16 28 36 38 40 37 37 32 20 10 36 38 10 14 28 38 22 6 12 4 37 3 23 15 9 39 24 35 39 38 35 6 12 32 25 4 15 4 41 26 18 10 21 31 36 3 19 5 5 38 12 16 2 37 23 30 33 20 37 33 16 9 7 41 35 34 37 1 28 1 39 36 23 26 12 30 3 9; [P1] 29 40 36 41 34 36 11 41 3 0 6 1 10 24 39 14 26 12 7 3 11 4 33 17 10 5 16 25 29 17 26 36 11 1 32 16 37 32 17 28 6 22 40 36 35 22 29 35 30 29 23 27 37 13 18 18 4 41 37 14 27 27 28 19 33 32 13 39 37 2 37 11 10 28 21 6 13 33 27 39 2 37 20 3 36 29 20 26 2 11 25 2 0 1 17 30 31 6 18 11; [P2] 1 8 15 4 26 40 32 14 23 7 15 1 27 40 28 36 26 16 17 7 16 33 34 8 11 30 10 5 27 15 4 20 10 17 30 32 14 3 7 0 42 25 24 2 0 14 33 14 33 37 18 5 41 2 25 39 32 28 7 39 11 16 1 17 27 9 26 15 17 3 4 7 27 38 31 24 27 19 37 41 42 24 33 11 40 29 2 36 0 38 39 21 20 28 10 0 25 14 10 19; [P3] 32 10 41 16 4 18 24 41 29 26 13 2 14 21 24 5 7 2 18 4 17 32 7 13 21 6 11 32 19 2 33 17 17 0 24 8 37 40 33 26 35 9 29 16 4 35 11 16 1 11 5 32 6 29 7 12 36 25 42 27 28 38 18 0 37 19 27 15 38 20 8 39 39 40 30 18 42 28 4 33 18 19 35 3 5 38 8 33 2 20 7 1 41 22 38 26 34 25 23 0; [P4] 1 1 9 27 41 9 8 2 13 39 29 35 17 5 29 2 4 33 13 12 40 0 9 34 36 3 27 22 10 17 21 3 33 31 36 33 28 34 26 2 26 14 13 2 23 27 28 0 41 27 28 19 4 28 1 35 1 15 12 14 23 8 5 3 16 1 2 40 23 42 1 22 40 4 23 14 10 35 8 20 9 39 41 6 4 40 42 20 12 29 7 16 37 6 28 5 41 13 2 31"
3,4,-0.842,-0.409,-0.067,"[P0] 29 22 2 7 23 34 39 23 5 22 21 1 23 41 11 32 7 1 15 35 5 34 16 41 0 21 20 16 1 24 41 20 8 40 6 15 17 11 17 3 40 39 19 28 19 23 14 18 27 2 9 12 37 1 14 14 37 18 28 8 13 37 37 24 40 38 8 33 17 5 30 25 11 6 40 35 3 18 7 6 18 12 35 10 40 8 38 18 21 36 39 1 10 25 30 8 23 13 2 21; [P1] 34 31 22 16 15 33 13 17 2 19 29 32 23 20 1 32 29 8 42 8 1 15 41 3 28 2 41 1 3 34 15 22 42 35 10 4 24 40 9 6 34 38 39 36 2 22 25 0 6 38 33 19 20 24 37 4 5 29 1 30 4 2 1 16 34 12 41 22 11 1 34 6 7 3 42 0 13 9 38 4 8 6 26 5 38 26 3 2 14 34 14 18 28 13 17 22 29 4 13 30; [P2] 40 14 42 10 11 36 38 8 26 1 33 9 23 33 2 27 6 36 21 9 9 15 41 1 18 33 1 23 1 10 40 7 29 36 27 14 35 20 34 38 11 17 27 37 1 36 33 25 38 13 21 17 0 38 6 19 42 5 2 29 31 12 15 36 9 8 5 31 19 33 21 32 35 35 42 0 38 19 31 28 27 17 39 18 34 8 17 41 15 7 13 17 5 33 11 2 18 39 27 39; [P3] 32 10 41 16 4 18 24 41 29 26 13 40 40 23 24 16 7 2 18 4 40 33 7 33 34 6 11 32 20 2 33 17 1 0 1 8 37 11 33 26 35 9 29 16 19 35 11 16 1 11 13 32 6 29 7 12 27 25 42 27 28 38 18 0 42 25 27 15 38 20 8 39 39 40 30 18 42 28 29 33 18 19 35 3 0 38 12 33 2 33 7 1 41 15 38 26 34 25 23 17; [P4] 25 2 28 34 18 37 39 29 32 34 12 29 22 12 20 42 25 10 42 21 30 29 6 6 21 13 8 39 13 21 19 37 7 42 18 7 36 18 0 42 31 12 35 29 36 9 4 1 39 28 15 39 41 6 39 6 2 8 40 22 39 5 7 6 9 7 12 24 13 28 4 9 28 21 5 13 17 8 22 11 26 28 0 25 5 12 34 32 18 27 12 30 7 27 33 1 31 13 18 0"
4,4,-0.842,-0.417,-0.071,"[P0] 29 22 2 7 23 34 39 23 5 22 21 1 23 41 11 32 7 1 15 35 5 34 16 41 0 21 20 16 1 24 41 20 8 40 6 15 17 11 17 3 40 39 19 28 19 23 14 18 27 2 9 12 37 1 14 14 37 18 28 8 13 37 37 24 40 38 8 33 17 5 30 25 11 6 40 35 3 18 7 6 18 12 35 10 40 8 38 18 21 36 39 1 10 25 30 8 23 13 2 21; [P1] 34 31 22 16 15 33 13 17 2 19 29 32 23 20 1 32 29 8 42 8 1 15 41 3 28 2 41 1 3 34 15 22 42 35 10 4 24 40 9 6 34 38 39 36 2 22 25 0 6 38 33 19 20 24 37 4 5 29 1 30 4 2 1 16 34 12 41 22 11 1 34 6 7 3 42 0 13 9 38 4 8 6 26 5 38 26 3 2 14 34 14 18 28 13 17 22 29 4 13 30; [P2] 40 14 42 10 11 36 38 8 26 1 33 9 23 33 2 27 6 36 21 9 9 15 41 1 18 33 1 23 1 10 40 7 29 36 27 14 35 20 34 38 11 17 27 37 1 36 33 25 38 13 21 17 0 38 6 19 42 5 2 29 31 12 15 36 9 8 5 31 19 33 21 32 35 35 42 0 38 19 31 28 27 17 39 18 34 8 17 41 15 7 13 17 5 33 11 2 18 39 27 39; [P3] 32 10 41 16 4 18 24 41 29 26 13 40 40 23 24 16 7 2 18 4 40 33 7 33 34 6 11 32 20 2 33 17 1 0 1 8 37 11 33 26 35 9 29 16 19 35 11 16 1 11 13 32 6 29 7 12 27 25 42 27 28 38 18 0 42 25 27 15 38 20 8 39 39 40 30 18 42 28 29 33 18 19 35 3 0 38 12 33 2 33 7 1 41 15 38 26 34 25 23 17; [P4] 25 2 28 34 18 37 39 29 32 34 12 29 22 12 20 42 25 10 42 21 30 29 6 6 21 13 8 39 13 21 19 37 7 42 18 7 36 18 0 42 31 12 35 29 36 9 4 1 39 28 15 39 41 6 39 6 2 8 40 22 39 5 7 6 9 7 12 24 13 28 4 9 28 21 5 13 17 8 22 11 26 28 0 25 5 12 34 32 18 27 12 30 7 27 33 1 31 13 18 0"
5,4,-0.842,-0.415,-0.077,"[P0] 29 22 2 7 23 34 39 23 5 22 21 1 23 41 11 32 7 1 15 35 5 34 16 41 0 21 20 16 1 24 41 20 8 40 6 15 17 11 17 3 40 39 19 28 19 23 14 18 27 2 9 12 37 1 14 14 37 18 28 8 13 37 37 24 40 38 8 33 17 5 30 25 11 6 40 35 3 18 7 6 18 12 35 10 40 8 38 18 21 36 39 1 10 25 30 8 23 13 2 21; [P1] 34 31 22 16 15 33 13 17 2 19 29 32 23 20 1 32 29 8 42 8 1 15 41 3 28 2 41 1 3 34 15 22 42 35 10 4 24 40 9 6 34 38 39 36 2 22 25 0 6 38 33 19 20 24 37 4 5 29 1 30 4 2 1 16 34 12 41 22 11 1 34 6 7 3 42 0 13 9 38 4 8 6 26 5 38 26 3 2 14 34 14 18 28 13 17 22 29 4 13 30; [P2] 40 14 42 10 11 36 38 8 26 1 33 9 23 33 2 27 6 36 21 9 9 15 41 1 18 33 1 23 1 10 40 7 29 36 27 14 35 20 34 38 11 17 27 37 1 36 33 25 38 13 21 17 0 38 6 19 42 5 2 29 31 12 15 36 9 8 5 31 19 33 21 32 35 35 42 0 38 19 31 28 27 17 39 18 34 8 17 41 15 7 13 17 5 33 11 2 18 39 27 39; [P3] 32 10 41 16 4 18 24 41 29 26 13 40 40 23 24 16 7 2 18 4 40 33 7 33 34 6 11 32 20 2 33 17 1 0 1 8 37 11 33 26 35 9 29 16 19 35 11 16 1 11 13 32 6 29 7 12 27 25 42 27 28 38 18 0 42 25 27 15 38 20 8 39 39 40 30 18 42 28 29 33 18 19 35 3 0 38 12 33 2 33 7 1 41 15 38 26 34 25 23 17; [P4] 25 2 28 34 18 37 39 29 32 34 12 29 22 12 20 42 25 10 42 21 30 29 6 6 21 13 8 39 13 21 19 37 7 42 18 7 36 18 0 42 31 12 35 29 36 9 4 1 39 28 15 39 41 6 39 6 2 8 40 22 39 5 7 6 9 7 12 24 13 28 4 9 28 21 5 13 17 8 22 11 26 28 0 25 5 12 34 32 18 27 12 30 7 27 33 1 31 13 18 0"
6,4,-0.842,-0.414,-0.063,"[P0] 29 22 2 7 23 34 39 23 5 22 21 1 23 41 11 32 7 1 15 35 5 34 16 41 0 21 20 16 1 24 41 20 8 40 6 15 17 11 17 3 40 39 19 28 19 23 14 18 27 2 9 12 37 1 14 14 37 18 28 8 13 37 37 24 40 38 8 33 17 5 30 25 11 6 40 35 3 18 7 6 18 12 35 10 40 8 38 18 21 36 39 1 10 25 30 8 23 13 2 21; [P1] 34 31 22 16 15 33 13 17 2 19 29 32 23 20 1 32 29 8 42 8 1 15 41 3 28 2 41 1 3 34 15 22 42 35 10 4 24 40 9 6 34 38 39 36 2 22 25 0 6 38 33 19 20 24 37 4 5 29 1 30 4 2 1 16 34 12 41 22 11 1 34 6 7 3 42 0 13 9 38 4 8 6 26 5 38 26 3 2 14 34 14 18 28 13 17 22 29 4 13 30; [P2] 40 14 42 10 11 36 38 8 26 1 33 9 23 33 2 27 6 36 21 9 9 15 41 1 18 33 1 23 1 10 40 7 29 36 27 14 35 20 34 38 11 17 27 37 1 36 33 25 38 13 21 17 0 38 6 19 42 5 2 29 31 12 15 36 9 8 5 31 19 33 21 32 35 35 42 0 38 19 31 28 27 17 39 18 34 8 17 41 15 7 13 17 5 33 11 2 18 39 27 39; [P3] 32 10 41 16 4 18 24 41 29 26 13 40 40 23 24 16 7 2 18 4 40 33 7 33 34 6 11 32 20 2 33 17 1 0 1 8 37 11 33 26 35 9 29 16 19 35 11 16 1 11 13 32 6 29 7 12 27 25 42 27 28 38 18 0 42 25 27 15 38 20 8 39 39 40 30 18 42 28 29 33 18 19 35 3 0 38 12 33 2 33 7 1 41 15 38 26 34 25 23 17; [P4] 25 2 28 34 18 37 39 29 32 34 12 29 22 12 20 42 25 10 42 21 30 29 6 6 21 13 8 39 13 21 19 37 7 42 18 7 36 18 0 42 31 12 35 29 36 9 4 1 39 28 15 39 41 6 39 6 2 8 40 22 39 5 7 6 9 7 12 24 13 28 4 9 28 21 5 13 17 8 22 11 26 28 0 25 5 12 34 32 18 27 12 30 7 27 33 1 31 13 18 0"
7,4,-0.842,-0.419,-0.059,"[P0] 29 22 2 7 23 34 39 23 5 22 21 1 23 41 11 32 7 1 15 35 5 34 16 41 0 21 20 16 1 24 41 20 8 40 6 15 17 11 17 3 40 39 19 28 19 23 14 18 27 2 9 12 37 1 14 14 37 18 28 8 13 37 37 24 40 38 8 33 17 5 30 25 11 6 40 35 3 18 7 6 18 12 35 10 40 8 38 18 21 36 39 1 10 25 30 8 23 13 2 21; [P1] 34 31 22 16 15 33 13 17 2 19 29 32 23 20 1 32 29 8 42 8 1 15 41 3 28 2 41 1 3 34 15 22 42 35 10 4 24 40 9 6 34 38 39 36 2 22 25 0 6 38 33 19 20 24 37 4 5 29 1 30 4 2 1 16 34 12 41 22 11 1 34 6 7 3 42 0 13 9 38 4 8 6 26 5 38 26 3 2 14 34 14 18 28 13 17 22 29 4 13 30; [P2] 40 14 42 10 11 36 38 8 26 1 33 9 23 33 2 27 6 36 21 9 9 15 41 1 18 33 1 23 1 10 40 7 29 36 27 14 35 20 34 38 11 17 27 37 1 36 33 25 38 13 21 17 0 38 6 19 42 5 2 29 31 12 15 36 9 8 5 31 19 33 21 32 35 35 42 0 38 19 31 28 27 17 39 18 34 8 17 41 15 7 13 17 5 33 11 2 18 39 27 39; [P3] 32 10 41 16 4 18 24 41 29 26 13 40 40 23 24 16 7 2 18 4 40 33 7 33 34 6 11 32 20 2 33 17 1 0 1 8 37 11 33 26 35 9 29 16 19 35 11 16 1 11 13 32 6 29 7 12 27 25 42 27 28 38 18 0 42 25 27 15 38 20 8 39 39 40 30 18 42 28 29 33 18 19 35 3 0 38 12 33 2 33 7 1 41 15 38 26 34 25 23 17; [P4] 25 2 28 34 18 37 39 29 32 34 12 29 22 12 20 42 25 10 42 21 30 29 6 6 21 13 8 39 13 21 19 37 7 42 18 7 36 18 0 42 31 12 35 29 36 9 4 1 39 28 15 39 41 6 39 6 2 8 40 22 39 5 7 6 9 7 12 24 13 28 4 9 28 21 5 13 17 8 22 11 26 28 0 25 5 12 34 32 18 27 12 30 7 27 33 1 31 13 18 0"
8,4,-0.842,-0.420,-0.063,"[P0] 29 22 2 7 23 34 39 23 5 22 21 1 23 41 11 32 7 1 15 35 5 34 16 41 0 21 20 16 1 24 41 20 8 40 6 15 17 11 17 3 40 39 19 28 19 23 14 18 27 2 9 12 37 1 14 14 37 18 28 8 13 37 37 24 40 38 8 33 17 5 30 25 11 6 40 35 3 18 7 6 18 12 35 10 40 8 38 18 21 36 39 1 10 25 30 8 23 13 2 21; [P1] 34 31 22 16 15 33 13 17 2 19 29 32 23 20 1 32 29 8 42 8 1 15 41 3 28 2 41 1 3 34 15 22 42 35 10 4 24 40 9 6 34 38 39 36 2 22 25 0 6 38 33 19 20 24 37 4 5 29 1 30 4 2 1 16 34 12 41 22 11 1 34 6 7 3 42 0 13 9 38 4 8 6 26 5 38 26 3 2 14 34 14 18 28 13 17 22 29 4 13 30; [P2] 40 14 42 10 11 36 38 8 26 1 33 9 23 33 2 27 6 36 21 9 9 15 41 1 18 33 1 23 1 10 40 7 29 36 27 14 35 20 34 38 11 17 27 37 1 36 33 25 38 13 21 17 0 38 6 19 42 5 2 29 31 12 15 36 9 8 5 31 19 33 21 32 35 35 42 0 38 19 31 28 27 17 39 18 34 8 17 41 15 7 13 17 5 33 11 2 18 39 27 39; [P3] 32 10 41 16 4 18 24 41 29 26 13 40 40 23 24 16 7 2 18 4 40 33 7 33 34 6 11 32 20 2 33 17 1 0 1 8 37 11 33 26 35 9 29 16 19 35 11 16 1 11 13 32 6 29 7 12 27 25 42 27 28 38 18 0 42 25 27 15 38 20 8 39 39 40 30 18 42 28 29 33 18 19 35 3 0 38 12 33 2 33 7 1 41 15 38 26 34 25 23 17; [P4] 25 2 28 34 18 37 39 29 32 34 12 29 22 12 20 42 25 10 42 21 30 29 6 6 21 13 8 39 13 21 19 37 7 42 18 7 36 18 0 42 31 12 35 29 36 9 4 1 39 28 15 39 41 6 39 6 2 8 40 22 39 5 7 6 9 7 12 24 13 28 4 9 28 21 5 13 17 8 22 11 26 28 0 25 5 12 34 32 18 27 12 30 7 27 33 1 31 13 18 0"
9,4,-0.842,-0.429,-0.063,"[P0] 29 22 2 7 23 34 39 23 5 22 21 1 23 41 11 32 7 1 15 35 5 34 16 41 0 21 20 16 1 24 41 20 8 40 6 15 17 11 17 3 40 39 19 28 19 23 14 18 27 2 9 12 37 1 14 14 37 18 28 8 13 37 37 24 40 38 8 33 17 5 30 25 11 6 40 35 3 18 7 6 18 12 35 10 40 8 38 18 21 36 39 1 10 25 30 8 23 13 2 21; [P1] 34 31 22 16 15 33 13 17 2 19 29 32 23 20 1 32 29 8 42 8 1 15 41 3 28 2 41 1 3 34 15 22 42 35 10 4 24 40 9 6 34 38 39 36 2 22 25 0 6 38 33 19 20 24 37 4 5 29 1 30 4 2 1 16 34 12 41 22 11 1 34 6 7 3 42 0 13 9 38 4 8 6 26 5 38 26 3 2 14 34 14 18 28 13 17 22 29 4 13 30; [P2] 40 14 42 10 11 36 38 8 26 1 33 9 23 33 2 27 6 36 21 9 9 15 41 1 18 33 1 23 1 10 40 7 29 36 27 14 35 20 34 38 11 17 27 37 1 36 33 25 38 13 21 17 0 38 6 19 42 5 2 29 31 12 15 36 9 8 5 31 19 33 21 32 35 35 42 0 38 19 31 28 27 17 39 18 34 8 17 41 15 7 13 17 5 33 11 2 18 39 27 39; [P3] 32 10 41 16 4 18 24 41 29 26 13 40 40 23 24 16 7 2 18 4 40 33 7 33 34 6 11 32 20 2 33 17 1 0 1 8 37 11 33 26 35 9 29 16 19 35 11 16 1 11 13 32 6 29 7 12 27 25 42 27 28 38 18 0 42 25 27 15 38 20 8 39 39 40 30 18 42 28 29 33 18 19 35 3 0 38 12 33 2 33 7 1 41 15 38 26 34 25 23 17; [P4] 25 2 28 34 18 37 39 29 32 34 12 29 22 12 20 42 25 10 42 21 30 29 6 6 21 13 8 39 13 21 19 37 7 42 18 7 36 18 0 42 31 12 35 29 36 9 4 1 39 28 15 39 41 6 39 6 2 8 40 22 39 5 7 6 9 7 12 24 13 28 4 9 28 21 5 13 17 8 22 11 26 28 0 25 5 12 34 32 18 27 12 30 7 27 33 1 31 13 18 0"
