# seed=123456
# instance=BALANCED
# popSize=100
# generations=50
# crossover=BlockUniformCrossover(p=0.75)
# mutation=FlipMutation(p0=0.1,pMin=0.002,alpha=0.9)
# selection=NaryTournament(k=3)
# elitism=2
# lambda_similarity=0.2
# fights_per_team=5
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5789,0.7647,0.9291,-0.2149,0.1245,"20 37 24 24 21 33 28 14 27 25 35 26 42 17 30 27 9 28 21 25 24 27 11 33 19 11 18 37 5 32 12 19 26 7 14 19 36 31 39 14 19 2 26 12 31 28 30 33 35 2 4 16 12 35 14 30 17 26 38 20 27 14 20 4 10 35 1 19 14 11 11 2 21 0 1 13 7 11 36 10 9 33 17 7 22 26 29 40 10 27 35 18 7 6 8 23 39 13 13 24 30 21 0 39 30 25 34 23 3 11 1 29 19 23 25 19 31 27 15 5 18 9 6 20 15 8 21 39 22 4 41 37 0 18 35 42 40 7 17 11 2 36 32 9 10 14 7 36 29 31 28 17 18 30 0 40 1 29 13 35 23 22 31 19 4 41 42 6 19 42 28 31 16 0 28 3 4 15 9 33 31 2 28 15 22 3 19 11 41 34 33 34 39 23 23 19 12 16 17 8 4 8 17 2 39 37 30 36 6 38 16 20 15 18 30 17 16 18 27 25 5 30 41 30 41 38 15 38 29 2 19 6 40 16 3 5 38 0 30 35 1 19 39 1 10 1 41 27 35 17 39 37 21 11 4 1 23 40 35 0 7 23 25 27 21 1 17 40 28 14 25 8 6 20 24 35 25 42 15 20 1 35 23 30 27 37 34 33 41 18 20 21 34 27 10 37 3 41 5 38 7 38 39 21 19 2 17 35 40 34 29 4 19 1 5 1 11 11 7 29 0 24 17 39 7 9 25 6 18 7 18 5 30 22 24 28 33 42 17 6 33 35 22 34 32 24 27 18 23 30 24 22 28 22 38 6 9 37 27 41 5 32 2 19 30 11 12 23 33 17 21 4 21 13 8 7 25 13 26 25 21 6 24 3 35 2 25 6 34 13 12 8 9 28 14 34 41 9 29 33 27 14 14 24 33 1 39 39 28 41 18 29 34 5 35 17 0 4 23 39 2 22 8 35 27 16 1 14 24 7 28 37 36 23 16 36 10 40 34 41 0 9 26 8 9 34 24 11 14 17 16 3 18 23 41 41 26 9 4 19 2 35 6 23 22 13 12 32 18 15 18 4 29 28 12 7 31 5 37 34 26 35 14 30 42 19 0 37 42 15 37 11 7 37 28 25 14 18 36 31"
1,2,-0.5882,0.7647,0.8825,-0.2328,0.1180,"42 0 16 16 16 37 17 39 6 5 37 0 21 28 40 39 14 1 28 33 36 31 15 19 16 10 25 38 21 25 31 10 23 12 42 13 26 36 13 10 25 6 31 27 15 0 29 32 19 20 36 3 28 4 0 14 24 42 24 1 1 4 36 30 41 14 11 27 13 40 34 23 34 12 35 1 15 30 24 16 0 25 33 16 41 14 16 13 2 22 17 39 25 4 21 14 13 8 29 25 5 33 14 25 36 10 32 24 25 17 33 27 20 9 3 34 20 24 36 32 2 8 24 0 18 15 23 19 7 5 26 23 21 15 15 39 37 39 26 1 27 17 40 37 11 10 22 23 21 36 7 24 25 6 39 25 24 8 0 10 25 15 24 3 35 3 28 29 12 24 5 25 25 4 24 25 34 0 14 11 16 20 38 19 30 15 31 14 15 34 2 19 6 38 0 1 31 25 31 4 36 21 11 6 12 8 1 39 38 26 27 20 12 19 6 38 27 25 12 32 13 39 28 5 32 11 9 25 36 40 9 23 25 36 33 6 39 19 39 33 15 1 15 25 27 39 7 38 42 12 17 18 4 20 19 8 16 20 35 31 25 34 4 3 33 28 32 5 16 9 33 41 31 33 2 32 8 25 2 19 4 31 26 24 33 12 3 17 19 26 4 0 17 39 10 28 42 7 15 25 30 30 11 5 28 27 30 14 23 38 15 6 25 36 4 5 24 3 17 39 34 4 2 20 17 14 27 19 11 1 6 8 38 20 26 0 16 30 15 24 37 21 24 20 42 1 25 34 8 18 10 12 17 2 34 23 23 6 4 36 22 11 9 28 11 31 41 17 27 41 34 23 27 4 28 26 33 9 40 22 40 18 30 9 31 26 15 39 24 20 31 27 30 30 35 19 41 10 5 17 1 2 13 17 38 15 39 38 42 27 9 0 23 1 30 40 1 9 22 31 34 16 25 26 29 1 22 39 11 6 17 23 26 23 24 40 25 37 21 34 34 19 9 7 17 14 7 18 21 15 26 2 42 23 4 21 28 1 28 12 16 31 33 7 23 2 0 35 35 21 8 41 14 39 24 37 18 3 27 19 23 2 28 20 42 8 28 16 16 41 37 33 28 2 10 23 26 22 33 5"
2,3,-0.5920,0.7778,0.9289,-0.2244,0.1223,"34 14 20 32 37 33 34 8 32 40 39 36 7 2 25 36 25 38 2 14 18 29 1 5 37 3 12 31 24 7 8 14 39 2 27 14 38 36 16 39 2 41 37 15 30 32 40 37 36 10 26 38 17 12 41 32 22 37 2 8 28 37 1 11 11 35 41 33 42 41 14 25 32 40 12 22 37 37 37 0 20 34 22 10 29 9 4 19 2 10 3 2 13 11 23 40 32 31 35 20 17 3 32 35 12 23 38 5 9 20 16 16 17 37 2 28 14 0 22 35 39 1 5 21 40 8 11 2 38 33 17 34 24 34 35 4 0 40 1 34 9 5 1 1 13 21 35 6 38 24 28 39 14 14 30 0 12 32 14 41 36 6 1 40 7 19 32 7 31 38 6 25 9 39 3 7 7 25 10 10 16 39 30 37 3 9 21 13 16 3 25 1 16 28 23 19 17 41 39 40 4 24 39 7 3 29 31 19 27 41 7 3 33 16 38 34 23 37 40 15 27 30 6 28 5 7 15 22 20 9 14 0 5 20 5 20 0 2 32 40 17 39 7 12 10 35 14 34 19 33 14 39 7 13 23 25 19 3 5 3 31 30 4 2 41 8 2 4 26 12 8 39 29 38 41 20 25 18 5 31 35 12 0 28 29 6 39 25 1 3 1 34 1 30 32 40 18 24 4 10 25 4 18 32 33 7 17 9 26 17 36 0 18 35 25 11 28 6 10 37 26 13 23 20 31 42 17 32 38 1 12 17 11 15 19 4 16 4 18 1 42 28 24 14 0 40 23 0 25 17 14 38 36 17 30 29 37 39 2 42 22 16 2 42 0 14 12 19 14 25 7 40 24 20 8 4 39 41 6 18 30 8 9 40 40 3 6 16 42 23 5 21 37 13 26 5 33 24 6 28 30 39 37 34 27 12 29 12 12 21 27 6 37 40 21 1 38 18 2 1 16 26 11 2 37 13 21 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 16 15 22 15 16 18 40 19 2 32 36 2 22 41 14 2 34 35 4 9 15 10 4 4 3 31 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 12 29 27 1 2 24 7 28 0 17 39 38 30 39 42"
3,4,-0.5999,0.7857,0.9289,-0.2312,0.1250,"30 23 28 11 2 19 38 30 30 26 13 9 7 32 39 41 27 13 13 20 29 13 27 21 38 4 1 1 7 10 35 26 2 39 21 9 29 15 28 29 18 2 4 29 41 4 15 24 32 30 11 17 40 35 24 2 20 3 6 13 4 28 2 38 5 30 1 13 27 34 20 18 19 23 37 28 8 0 32 1 24 2 16 5 3 34 25 33 18 24 10 30 39 29 4 26 41 9 24 17 19 3 32 35 27 23 38 5 9 20 16 16 17 37 2 28 14 0 22 35 39 1 5 3 42 8 19 2 38 3 17 34 14 34 35 4 0 40 1 34 0 5 37 15 13 21 35 6 38 24 28 39 14 14 30 0 21 32 4 41 36 6 40 40 10 19 32 7 31 38 37 25 9 39 23 7 7 20 10 10 16 39 30 14 3 9 21 13 16 3 25 1 16 28 23 19 17 41 39 40 4 24 39 7 38 29 38 19 27 41 7 3 33 16 38 34 21 37 40 15 27 30 6 32 4 7 31 22 20 6 14 0 5 20 5 20 0 2 32 38 32 39 8 9 10 35 15 34 19 33 14 39 7 16 23 25 19 3 5 3 31 30 4 2 41 8 2 4 26 12 8 39 29 12 41 20 29 18 5 31 35 12 0 28 29 6 39 25 1 33 1 34 1 30 32 40 18 8 23 10 25 4 18 32 33 24 17 28 26 17 26 0 13 35 25 11 28 6 7 37 26 19 23 20 31 30 17 32 36 1 12 26 19 15 19 4 16 4 18 1 42 28 24 14 0 4 23 0 25 17 9 6 40 17 30 29 8 39 2 42 22 16 31 42 0 14 12 19 14 25 7 38 24 20 38 6 39 41 6 1 30 8 9 10 40 30 6 16 4 5 5 21 37 13 26 5 33 24 6 28 17 34 19 22 35 0 16 1 35 29 30 39 28 17 23 13 34 42 41 14 11 8 30 32 25 36 32 40 21 0 31 30 0 10 28 24 24 28 41 1 27 39 3 14 18 37 8 6 34 31 39 32 15 40 39 9 19 14 32 21 9 20 35 30 3 8 42 25 13 42 28 14 3 3 11 38 12 13 20 7 0 6 13 40 3 36 18 7 19 26 14 31 24 30 30 0 31 7 29 17"
4,5,-0.6306,0.8235,0.9646,-0.2329,0.1169,"2 0 36 31 38 33 8 11 26 1 9 32 23 10 10 32 36 41 16 0 34 41 15 7 36 27 40 25 1 33 13 27 34 13 40 39 32 27 27 12 4 1 39 26 35 6 27 15 19 13 34 2 23 40 42 42 6 21 29 36 41 31 13 11 14 13 25 14 24 8 28 14 36 39 26 12 0 24 2 3 29 14 39 31 41 41 5 38 23 24 11 35 29 30 8 5 19 1 17 1 18 15 0 5 27 23 13 27 6 25 41 39 16 31 12 9 2 41 22 38 1 32 27 22 41 13 41 11 5 12 35 5 36 34 5 36 39 0 19 39 31 37 34 19 13 7 23 27 1 6 21 11 16 29 28 11 35 0 20 23 11 24 24 11 37 7 7 23 40 3 21 17 40 33 11 27 41 10 34 35 20 18 20 28 24 3 16 36 14 42 42 40 34 22 30 21 1 24 40 27 25 8 17 37 39 1 30 36 6 38 16 20 15 18 30 11 16 18 27 25 20 30 7 30 41 38 15 38 10 18 19 33 40 37 3 5 38 4 30 35 1 19 39 1 10 33 41 15 38 17 39 37 21 9 4 1 27 40 35 0 7 23 25 27 29 1 17 40 28 26 25 17 16 20 24 35 25 21 2 10 1 35 23 30 27 37 38 33 41 18 20 21 34 27 36 37 3 41 5 20 29 35 5 20 33 21 26 14 6 22 21 18 14 22 25 17 27 28 6 31 27 11 21 36 7 17 23 26 16 41 7 6 6 8 8 1 18 38 22 40 39 22 12 27 26 19 15 24 11 13 28 4 24 4 8 8 38 39 14 22 6 0 6 36 17 36 25 37 34 12 34 9 2 7 0 33 21 18 14 5 12 37 24 42 22 39 34 12 4 36 2 20 2 17 33 29 39 30 3 39 35 23 16 25 10 1 41 19 16 18 3 17 6 10 36 15 34 36 9 24 0 21 16 39 26 20 35 10 20 3 38 6 33 22 27 2 0 40 32 39 32 31 13 19 7 35 12 2 41 15 19 24 32 9 29 1 7 5 27 35 24 9 25 38 15 30 38 11 37 35 20 21 20 11 2 35 3 12 2 7 31 1 29 17 27 35 25 17 6 35 24 25 0 31 25 42 21 38 23 14"
5,6,-0.6342,0.8235,0.9465,-0.2371,0.1250,"2 0 9 31 38 33 8 15 13 1 18 32 8 10 7 12 36 33 16 0 34 41 37 21 31 27 23 25 1 5 12 27 34 33 5 25 32 27 37 1 4 1 16 26 37 6 27 15 28 39 22 2 23 40 11 42 6 21 29 11 40 20 13 11 36 13 21 15 5 8 42 21 36 5 26 12 0 28 2 12 29 14 26 19 20 0 23 12 23 8 25 35 41 30 8 21 2 1 28 20 19 3 32 35 27 23 38 5 9 20 16 16 17 37 2 28 14 0 22 35 39 1 5 3 42 8 19 2 38 3 17 34 14 34 35 4 0 40 1 34 0 5 37 15 13 21 35 6 38 24 28 39 14 14 30 0 21 32 4 41 36 6 40 40 7 19 32 7 31 38 37 25 9 39 23 7 7 20 10 10 16 39 30 14 3 9 21 13 16 3 25 1 27 28 23 19 17 41 39 40 4 24 39 7 38 29 38 19 27 41 7 3 30 16 38 34 21 37 40 23 27 30 6 32 4 7 31 22 20 6 14 14 5 20 5 20 0 2 32 38 32 39 8 9 10 35 15 34 19 33 14 39 7 16 23 25 19 3 5 3 31 30 4 2 41 10 30 4 26 12 8 39 29 12 41 20 29 18 5 31 35 12 0 28 29 0 39 25 1 33 1 34 1 30 32 40 18 8 4 17 9 26 1 9 36 10 13 36 5 20 34 10 42 19 39 13 37 9 5 7 1 7 13 28 2 24 5 2 27 24 22 33 12 13 6 33 29 21 40 33 20 16 37 12 14 18 34 42 36 5 40 7 36 9 11 0 4 18 25 40 10 33 18 12 41 16 15 17 6 22 14 41 24 31 35 2 24 12 15 40 16 17 34 41 1 14 28 2 39 32 36 36 29 33 13 6 11 33 5 27 1 2 13 17 38 15 28 38 42 27 9 13 16 1 21 1 23 19 31 6 34 18 14 1 9 1 33 39 11 6 17 25 26 41 24 29 25 37 21 1 34 42 9 40 3 14 7 35 33 15 26 2 42 23 4 21 9 1 28 12 16 31 12 7 23 2 23 35 33 21 8 41 14 39 24 37 29 17 37 12 1 2 28 19 30 8 42 16 16 41 41 33 39 2 10 28 26 22 33 5"
6,6,-0.6342,0.8235,0.9465,-0.2371,0.1217,"2 0 9 31 38 33 8 15 13 1 18 32 8 10 7 12 36 33 16 0 34 41 37 21 31 27 23 25 1 5 12 27 34 33 5 25 32 27 37 1 4 1 16 26 37 6 27 15 28 39 22 2 23 40 11 42 6 21 29 11 40 20 13 11 36 13 21 15 5 8 42 21 36 5 26 12 0 28 2 12 29 14 26 19 20 0 23 12 23 8 25 35 41 30 8 21 2 1 28 20 19 3 32 35 27 23 38 5 9 20 16 16 17 37 2 28 14 0 22 35 39 1 5 3 42 8 19 2 38 3 17 34 14 34 35 4 0 40 1 34 0 5 37 15 13 21 35 6 38 24 28 39 14 14 30 0 21 32 4 41 36 6 40 40 7 19 32 7 31 38 37 25 9 39 23 7 7 20 10 10 16 39 30 14 3 9 21 13 16 3 25 1 27 28 23 19 17 41 39 40 4 24 39 7 38 29 38 19 27 41 7 3 30 16 38 34 21 37 40 23 27 30 6 32 4 7 31 22 20 6 14 14 5 20 5 20 0 2 32 38 32 39 8 9 10 35 15 34 19 33 14 39 7 16 23 25 19 3 5 3 31 30 4 2 41 10 30 4 26 12 8 39 29 12 41 20 29 18 5 31 35 12 0 28 29 0 39 25 1 33 1 34 1 30 32 40 18 8 4 17 9 26 1 9 36 10 13 36 5 20 34 10 42 19 39 13 37 9 5 7 1 7 13 28 2 24 5 2 27 24 22 33 12 13 6 33 29 21 40 33 20 16 37 12 14 18 34 42 36 5 40 7 36 9 11 0 4 18 25 40 10 33 18 12 41 16 15 17 6 22 14 41 24 31 35 2 24 12 15 40 16 17 34 41 1 14 28 2 39 32 36 36 29 33 13 6 11 33 5 27 1 2 13 17 38 15 28 38 42 27 9 13 16 1 21 1 23 19 31 6 34 18 14 1 9 1 33 39 11 6 17 25 26 41 24 29 25 37 21 1 34 42 9 40 3 14 7 35 33 15 26 2 42 23 4 21 9 1 28 12 16 31 12 7 23 2 23 35 33 21 8 41 14 39 24 37 29 17 37 12 1 2 28 19 30 8 42 16 16 41 41 33 39 2 10 28 26 22 33 5"
7,7,-0.6359,0.8235,0.9383,-0.2591,0.1238,"42 36 34 16 10 29 17 39 6 2 37 0 21 31 40 39 14 1 28 33 36 31 39 19 20 22 25 23 21 19 31 10 31 1 42 13 20 36 40 10 25 6 38 27 15 0 29 32 40 0 37 3 41 4 0 14 24 42 24 1 1 4 2 30 1 14 35 5 13 40 7 23 34 12 35 1 2 30 11 2 0 25 33 16 41 14 33 13 2 22 9 39 25 21 21 14 39 8 41 25 1 40 28 29 13 1 1 40 32 42 17 9 35 42 10 20 4 37 5 31 1 6 15 41 21 2 29 30 14 12 4 30 36 3 24 7 27 16 9 3 34 3 33 28 33 25 14 28 5 28 0 7 13 17 5 17 34 38 30 25 19 13 21 30 8 24 41 26 2 0 7 3 40 32 18 21 39 10 7 8 6 18 21 15 23 11 29 17 28 13 21 25 28 9 18 7 40 1 14 9 40 8 42 38 6 5 16 1 3 5 37 19 20 13 21 33 16 29 14 36 17 35 22 6 20 36 39 40 6 20 1 20 32 34 19 29 25 40 20 38 22 36 29 4 36 33 7 14 0 3 41 21 22 37 12 14 2 33 28 38 25 33 34 35 28 27 29 8 12 9 38 0 20 36 33 38 14 36 32 15 30 20 19 21 5 12 5 34 5 20 6 1 0 36 41 13 1 4 0 7 30 25 7 17 8 32 7 30 3 12 35 6 36 28 17 0 2 10 15 3 24 9 6 9 18 42 7 4 0 36 2 14 22 24 23 41 6 3 19 41 22 11 26 37 16 1 38 1 23 34 37 42 22 10 20 25 4 19 2 19 24 29 17 8 12 35 35 1 39 28 0 15 22 2 14 39 15 10 10 39 41 32 31 41 22 33 18 28 30 0 16 20 8 42 15 39 1 27 1 4 1 6 13 17 38 15 28 38 42 27 9 13 26 1 21 1 23 19 31 6 34 16 35 1 9 1 33 39 11 18 17 10 39 41 24 29 25 37 21 24 34 42 9 40 41 14 7 18 33 15 26 2 42 23 4 38 28 1 28 12 16 31 12 7 28 16 23 31 33 42 8 41 14 39 24 27 10 2 37 12 1 2 13 28 30 7 42 16 16 41 19 33 39 2 4 28 26 22 33 5"
8,7,-0.6359,0.8235,0.9383,-0.2543,0.1155,"42 36 34 16 10 29 17 39 6 2 37 0 21 31 40 39 14 1 28 33 36 31 39 19 20 22 25 23 21 19 31 10 31 1 42 13 20 36 40 10 25 6 38 27 15 0 29 32 40 0 37 3 41 4 0 14 24 42 24 1 1 4 2 30 1 14 35 5 13 40 7 23 34 12 35 1 2 30 11 2 0 25 33 16 41 14 33 13 2 22 9 39 25 21 21 14 39 8 41 25 1 40 28 29 13 1 1 40 32 42 17 9 35 42 10 20 4 37 5 31 1 6 15 41 21 2 29 30 14 12 4 30 36 3 24 7 27 16 9 3 34 3 33 28 33 25 14 28 5 28 0 7 13 17 5 17 34 38 30 25 19 13 21 30 8 24 41 26 2 0 7 3 40 32 18 21 39 10 7 8 6 18 21 15 23 11 29 17 28 13 21 25 28 9 18 7 40 1 14 9 40 8 42 38 6 5 16 1 3 5 37 19 20 13 21 33 16 29 14 36 17 35 22 6 20 36 39 40 6 20 1 20 32 34 19 29 25 40 20 38 22 36 29 4 36 33 7 14 0 3 41 21 22 37 12 14 2 33 28 38 25 33 34 35 28 27 29 8 12 9 38 0 20 36 33 38 14 36 32 15 30 20 19 21 5 12 5 34 5 20 6 1 0 36 41 13 1 4 0 7 30 25 7 17 8 32 7 30 3 12 35 6 36 28 17 0 2 10 15 3 24 9 6 9 18 42 7 4 0 36 2 14 22 24 23 41 6 3 19 41 22 11 26 37 16 1 38 1 23 34 37 42 22 10 20 25 4 19 2 19 24 29 17 8 12 35 35 1 39 28 0 15 22 2 14 39 15 10 10 39 41 32 31 41 22 33 18 28 30 0 16 20 8 42 15 39 1 27 1 4 1 6 13 17 38 15 28 38 42 27 9 13 26 1 21 1 23 19 31 6 34 16 35 1 9 1 33 39 11 18 17 10 39 41 24 29 25 37 21 24 34 42 9 40 41 14 7 18 33 15 26 2 42 23 4 38 28 1 28 12 16 31 12 7 28 16 23 31 33 42 8 41 14 39 24 27 10 2 37 12 1 2 13 28 30 7 42 16 16 41 19 33 39 2 4 28 26 22 33 5"
9,7,-0.6359,0.8235,0.9383,-0.2619,0.1140,"42 36 34 16 10 29 17 39 6 2 37 0 21 31 40 39 14 1 28 33 36 31 39 19 20 22 25 23 21 19 31 10 31 1 42 13 20 36 40 10 25 6 38 27 15 0 29 32 40 0 37 3 41 4 0 14 24 42 24 1 1 4 2 30 1 14 35 5 13 40 7 23 34 12 35 1 2 30 11 2 0 25 33 16 41 14 33 13 2 22 9 39 25 21 21 14 39 8 41 25 1 40 28 29 13 1 1 40 32 42 17 9 35 42 10 20 4 37 5 31 1 6 15 41 21 2 29 30 14 12 4 30 36 3 24 7 27 16 9 3 34 3 33 28 33 25 14 28 5 28 0 7 13 17 5 17 34 38 30 25 19 13 21 30 8 24 41 26 2 0 7 3 40 32 18 21 39 10 7 8 6 18 21 15 23 11 29 17 28 13 21 25 28 9 18 7 40 1 14 9 40 8 42 38 6 5 16 1 3 5 37 19 20 13 21 33 16 29 14 36 17 35 22 6 20 36 39 40 6 20 1 20 32 34 19 29 25 40 20 38 22 36 29 4 36 33 7 14 0 3 41 21 22 37 12 14 2 33 28 38 25 33 34 35 28 27 29 8 12 9 38 0 20 36 33 38 14 36 32 15 30 20 19 21 5 12 5 34 5 20 6 1 0 36 41 13 1 4 0 7 30 25 7 17 8 32 7 30 3 12 35 6 36 28 17 0 2 10 15 3 24 9 6 9 18 42 7 4 0 36 2 14 22 24 23 41 6 3 19 41 22 11 26 37 16 1 38 1 23 34 37 42 22 10 20 25 4 19 2 19 24 29 17 8 12 35 35 1 39 28 0 15 22 2 14 39 15 10 10 39 41 32 31 41 22 33 18 28 30 0 16 20 8 42 15 39 1 27 1 4 1 6 13 17 38 15 28 38 42 27 9 13 26 1 21 1 23 19 31 6 34 16 35 1 9 1 33 39 11 18 17 10 39 41 24 29 25 37 21 24 34 42 9 40 41 14 7 18 33 15 26 2 42 23 4 38 28 1 28 12 16 31 12 7 28 16 23 31 33 42 8 41 14 39 24 27 10 2 37 12 1 2 13 28 30 7 42 16 16 41 19 33 39 2 4 28 26 22 33 5"
