# seed=123456
# instance=EXPONENTIAL
# popSize=100
# generations=50
# crossover=BlockUniformCrossover(p=0.75)
# mutation=FlipMutation(p0=0.1,pMin=0.002,alpha=0.9)
# selection=NaryTournament(k=3)
# elitism=2
# lambda_similarity=0.2
# fights_per_team=5
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6339,0.8235,0.9479,-0.1557,0.1880,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 22 37 20 12 6 24 7 0 14 39 2 27 14 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 41 32 22 0 2 8 28 37 1 11 11 35 41 41 42 41 13 25 32 40 12 23 37 37 37 0 20 34 22 10 0 9 4 34 2 10 3 2 13 11 21 40 32 27 37 20 41 5 30 2 5 22 35 34 29 28 3 28 25 25 11 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 20 8 20 39 14 28 18 40 18 34 29 3 39 8 3 33 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 6 31 26 4 18 33 6 26 1 24 34 17 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 19 13 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 31 14 37 30 0 20 13 13 38 2 3 19 22 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 7 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 27 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 9 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 41 20 17 26 9 8 28 41 31 13 16 33 7 30 37 15 17 3 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 12 9 22 18 11 39 13 19 37 24 26 21 21 23 37 42 23 16 8 9 40 23 34 36 39 2 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 37 34 27 12 29 12 12 21 27 6 37 40 21 1 38 18 2 31 16 26 11 26 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 19 2 32 36 2 22 41 26 30 34 35 4 9 15 10 4 4 3 31 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 12 29 27 1 2 24 7 28 0 17 39 38 30 39 42"
1,2,-0.6594,0.8421,0.9138,-0.1871,0.1864,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
2,2,-0.6594,0.8421,0.9138,-0.2155,0.1862,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
3,2,-0.6594,0.8421,0.9138,-0.2530,0.1886,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 25 28 25 1 11 3 35 41 41 42 41 13 9 32 40 12 23 10 37 37 28 20 34 22 10 0 9 4 34 2 2 3 2 13 11 21 40 32 27 37 20 41 5 4 2 5 22 35 34 29 28 3 28 25 25 35 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 14 8 20 39 14 41 7 40 18 34 29 3 39 8 3 36 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 22 31 26 4 18 33 6 26 1 24 34 15 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 23 34 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 32 14 37 30 29 20 13 13 38 2 3 19 7 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 1 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 0 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 10 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 24 20 17 26 9 8 28 41 31 13 16 33 7 30 37 1 17 40 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 11 9 22 18 11 39 13 19 37 24 26 21 21 23 37 3 23 16 8 9 40 23 34 36 39 7 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 4 34 27 22 29 12 12 21 27 6 37 40 21 32 38 18 2 31 16 26 11 38 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 27 2 32 36 2 22 41 9 30 34 10 4 9 15 10 4 4 39 26 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 26 29 11 1 2 24 7 28 0 17 33 38 30 39 42"
4,3,-0.6600,0.8421,0.9108,-0.2728,0.1875,"30 23 28 11 2 39 38 30 10 26 15 0 7 32 39 41 27 13 13 20 18 13 10 24 38 4 1 1 7 1 28 26 2 30 21 9 29 15 23 3 18 2 4 29 41 19 15 26 38 30 11 17 38 35 24 2 20 26 41 26 4 35 2 5 36 41 1 7 27 34 25 39 19 4 37 28 8 8 39 2 24 2 16 5 13 34 25 33 18 1 10 30 39 29 4 26 36 9 24 5 31 32 1 41 27 3 38 20 2 27 1 5 29 8 11 14 20 25 41 4 38 32 34 15 42 1 33 22 22 2 7 8 13 32 0 36 14 38 40 16 0 25 30 20 20 7 18 12 28 17 19 7 15 39 14 12 21 20 24 19 22 30 33 16 39 22 18 17 17 18 11 29 16 28 40 40 35 9 23 13 21 16 15 28 22 24 11 35 11 22 33 22 28 29 15 12 13 9 6 41 32 35 23 15 14 2 19 17 34 34 7 3 32 7 8 9 20 18 22 32 26 26 20 1 28 28 22 18 42 21 16 17 40 5 30 1 7 36 21 2 36 20 33 5 42 18 2 27 10 11 15 26 38 28 24 25 28 36 31 34 7 24 13 15 13 34 32 32 36 3 38 17 1 33 29 32 34 1 1 4 18 7 16 24 24 34 2 28 22 7 23 30 9 1 42 17 31 42 15 20 24 17 11 7 39 28 35 19 3 26 26 36 26 39 20 21 0 28 27 33 36 9 36 28 2 10 24 3 26 3 40 32 36 0 37 23 17 1 25 29 2 15 19 36 26 18 2 31 36 33 37 0 21 6 10 9 10 27 2 41 41 7 16 14 40 39 3 1 33 8 37 2 30 1 11 40 33 10 1 42 6 30 39 20 13 1 39 16 34 17 26 31 7 19 36 16 27 0 35 37 30 38 19 31 11 26 16 2 3 3 7 33 10 12 33 25 3 12 25 41 39 33 1 7 10 9 38 30 9 37 25 12 35 18 0 29 19 20 39 30 34 39 30 14 32 24 10 38 33 16 26 20 19 15 14 7 42 26 42 20 34 10 20 19 2 40 31 19 13 20 41 40 31 8 36 38 11 8 19 36 8 9 27 12 29 12 26 0 0 26 27 26 30 41 32 26 8 10 20 10"
5,4,-0.6900,0.8750,0.9250,-0.2852,0.1281,"34 14 20 27 37 33 34 8 32 40 25 33 7 2 25 36 1 38 2 14 27 17 1 30 37 20 11 6 24 7 0 14 39 2 27 31 38 36 9 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 9 2 25 1 11 3 18 41 38 42 21 13 9 32 40 12 23 10 37 37 28 20 40 22 10 0 9 1 19 2 2 3 2 13 11 21 40 31 27 28 20 23 18 22 41 38 27 19 38 2 23 41 33 18 35 11 31 39 14 41 12 5 23 38 3 28 26 25 39 37 32 15 20 30 38 33 32 41 20 38 39 18 0 22 12 14 23 12 2 12 39 18 22 32 41 11 27 2 39 41 15 14 9 0 23 24 11 14 0 7 2 38 42 36 3 5 35 1 16 17 36 33 38 26 37 8 33 16 8 31 39 12 39 2 1 24 30 12 23 25 30 16 28 20 23 34 35 27 5 28 32 16 37 25 27 25 22 16 32 4 23 38 32 14 37 1 8 20 13 13 38 2 25 16 7 8 9 15 35 20 39 19 41 39 33 37 24 16 0 31 1 19 7 27 19 8 38 27 28 4 14 32 25 1 18 13 11 41 33 14 42 37 25 4 4 38 34 42 35 10 29 0 36 23 5 41 4 21 1 11 7 29 36 10 37 19 2 19 29 10 32 0 40 10 9 28 6 23 37 40 10 24 8 38 23 32 22 20 10 19 38 4 24 35 29 16 14 34 16 17 17 17 33 23 21 35 14 32 18 36 35 18 1 12 6 2 0 29 3 28 31 35 28 25 30 0 8 30 5 0 11 23 32 6 32 11 16 33 20 40 12 30 11 9 14 22 33 29 6 14 28 14 1 16 17 22 19 34 22 0 42 9 24 39 9 1 25 25 31 30 25 42 37 5 39 0 33 20 41 41 1 35 14 28 0 12 13 24 4 21 24 29 20 2 2 29 5 19 38 35 4 29 38 22 24 1 19 41 27 35 25 8 1 35 4 3 21 26 25 32 5 32 39 30 15 19 18 37 34 10 23 5 33 2 39 2 31 30 1 4 39 32 42 14 27 5 18 22 38 1 1 40 3 23 14 38 24 39 27 17 12 40 0 3 29 38 17 42 37 19 39"
6,5,-0.7051,0.8889,0.9189,-0.2900,0.0722,"34 14 20 27 37 33 34 8 32 40 12 33 7 2 25 36 1 4 2 14 27 17 1 30 35 10 11 6 24 7 0 14 39 2 27 31 38 36 9 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 19 32 22 0 2 2 2 25 1 11 3 18 41 27 42 21 13 9 32 40 12 23 10 38 37 28 20 40 22 10 0 9 1 35 2 2 3 2 13 1 21 40 31 27 28 20 23 18 22 41 38 27 19 38 2 23 11 19 18 35 11 20 39 26 41 24 36 14 38 0 28 18 37 39 37 32 15 27 30 38 33 32 41 20 14 39 18 0 22 12 2 35 12 2 12 39 18 22 32 25 11 27 2 3 20 15 14 36 0 38 24 11 14 8 7 2 22 42 36 3 5 35 1 16 17 36 33 38 26 37 4 33 16 8 31 39 12 39 2 1 24 30 12 23 25 30 16 0 20 23 34 35 27 5 28 32 16 37 25 27 25 22 16 32 4 23 38 32 14 37 1 8 20 13 13 38 2 25 16 7 8 9 15 35 20 39 19 41 39 33 37 24 16 0 31 35 19 7 27 19 8 38 27 28 4 14 32 25 1 30 13 11 41 33 14 42 37 25 4 4 22 34 42 35 10 29 0 36 23 5 41 4 21 1 11 7 29 36 10 37 19 2 19 29 10 32 9 6 40 13 38 33 15 41 16 35 23 1 42 1 2 14 2 31 38 40 1 16 13 12 8 5 37 13 28 26 39 23 30 13 3 2 36 20 40 12 32 18 18 23 25 10 21 18 38 5 7 17 42 2 36 19 3 27 4 30 27 26 34 36 10 0 2 32 13 5 31 0 34 26 18 8 38 3 3 38 27 9 11 28 41 33 31 36 37 16 42 16 16 18 21 32 38 38 5 39 42 37 5 39 0 33 20 41 41 1 35 14 28 0 12 13 24 4 21 24 29 20 18 2 29 5 19 38 35 4 29 38 22 24 1 19 41 27 35 25 8 1 35 4 3 21 26 25 32 5 32 27 30 15 19 18 37 34 10 23 5 33 2 39 2 31 30 1 4 39 32 42 14 27 5 18 22 23 1 1 42 3 23 2 38 24 39 25 17 12 40 0 3 29 38 17 42 37 19 39"
7,6,-0.7199,0.9048,0.9245,-0.2938,0.0685,"34 14 20 27 37 33 34 8 32 40 12 33 7 2 25 36 1 4 2 14 27 17 1 30 35 10 11 6 24 7 0 14 39 2 27 31 38 36 9 39 2 41 37 15 30 33 40 37 36 10 10 34 17 12 19 32 22 0 2 2 2 25 1 11 3 18 34 27 42 21 13 9 32 40 12 23 13 38 37 28 20 40 22 10 0 9 1 35 2 2 3 2 13 1 21 40 31 27 28 20 23 18 22 41 38 27 19 38 2 23 11 19 10 35 11 20 39 26 41 24 36 14 38 21 28 18 37 39 37 32 15 27 30 38 33 32 41 20 14 39 18 0 22 12 2 35 9 2 12 39 18 22 32 25 11 27 2 3 20 15 14 36 0 38 24 11 14 8 7 2 22 42 36 3 5 35 1 16 17 36 33 38 26 37 4 33 16 8 31 39 0 39 13 1 24 30 23 23 25 30 16 0 35 23 34 35 27 5 28 32 16 37 25 27 25 22 16 32 4 23 38 32 14 37 1 8 20 13 13 38 2 25 16 7 8 9 15 35 39 39 19 24 39 33 37 24 16 0 31 35 19 7 27 19 8 38 27 28 4 14 32 25 1 13 13 11 41 33 14 42 37 25 4 4 22 35 42 35 10 29 0 36 23 5 41 4 41 1 11 7 29 5 10 37 19 2 19 29 8 32 37 17 11 7 39 28 35 19 3 26 26 36 26 39 20 21 0 28 36 33 8 9 40 28 2 35 24 3 12 3 40 32 36 42 41 29 17 1 25 29 2 15 19 36 26 18 2 32 36 33 37 0 21 42 17 9 10 27 3 41 41 7 16 26 40 2 3 13 2 8 37 2 30 14 11 2 33 10 1 14 6 8 39 20 13 1 39 16 34 17 26 31 7 3 36 36 27 0 35 37 42 37 5 39 0 33 20 41 41 1 35 14 28 0 12 13 24 4 21 24 29 20 18 26 29 5 19 38 35 4 29 38 22 24 1 19 41 20 35 25 8 1 35 4 3 21 26 25 32 5 32 27 30 4 19 18 37 34 10 23 5 33 2 39 2 31 30 1 4 39 32 42 0 27 5 18 22 23 1 1 42 3 23 2 38 24 39 25 17 12 40 0 3 29 38 17 42 12 19 39"
8,6,-0.7199,0.9048,0.9245,-0.2980,0.0576,"34 14 20 27 37 33 34 8 32 40 12 33 7 2 25 36 1 4 2 14 27 17 1 30 35 10 11 6 24 7 0 14 39 2 27 31 38 36 9 39 2 41 37 15 30 33 40 37 36 10 10 34 17 12 19 32 22 0 2 2 2 25 1 11 3 18 34 27 42 21 13 9 32 40 12 23 13 38 37 28 20 40 22 10 0 9 1 35 2 2 3 2 13 1 21 40 31 27 28 20 23 18 22 41 38 27 19 38 2 23 11 19 10 35 11 20 39 26 41 24 36 14 38 21 28 18 37 39 37 32 15 27 30 38 33 32 41 20 14 39 18 0 22 12 2 35 9 2 12 39 18 22 32 25 11 27 2 3 20 15 14 36 0 38 24 11 14 8 7 2 22 42 36 3 5 35 1 16 17 36 33 38 26 37 4 33 16 8 31 39 0 39 13 1 24 30 23 23 25 30 16 0 35 23 34 35 27 5 28 32 16 37 25 27 25 22 16 32 4 23 38 32 14 37 1 8 20 13 13 38 2 25 16 7 8 9 15 35 39 39 19 24 39 33 37 24 16 0 31 35 19 7 27 19 8 38 27 28 4 14 32 25 1 13 13 11 41 33 14 42 37 25 4 4 22 35 42 35 10 29 0 36 23 5 41 4 41 1 11 7 29 5 10 37 19 2 19 29 8 32 37 17 11 7 39 28 35 19 3 26 26 36 26 39 20 21 0 28 36 33 8 9 40 28 2 35 24 3 12 3 40 32 36 42 41 29 17 1 25 29 2 15 19 36 26 18 2 32 36 33 37 0 21 42 17 9 10 27 3 41 41 7 16 26 40 2 3 13 2 8 37 2 30 14 11 2 33 10 1 14 6 8 39 20 13 1 39 16 34 17 26 31 7 3 36 36 27 0 35 37 42 37 5 39 0 33 20 41 41 1 35 14 28 0 12 13 24 4 21 24 29 20 18 26 29 5 19 38 35 4 29 38 22 24 1 19 41 20 35 25 8 1 35 4 3 21 26 25 32 5 32 27 30 4 19 18 37 34 10 23 5 33 2 39 2 31 30 1 4 39 32 42 0 27 5 18 22 23 1 1 42 3 23 2 38 24 39 25 17 12 40 0 3 29 38 17 42 12 19 39"
9,6,-0.7199,0.9048,0.9245,-0.3002,0.0688,"34 14 20 27 37 33 34 8 32 40 12 33 7 2 25 36 1 4 2 14 27 17 1 30 35 10 11 6 24 7 0 14 39 2 27 31 38 36 9 39 2 41 37 15 30 33 40 37 36 10 10 34 17 12 19 32 22 0 2 2 2 25 1 11 3 18 34 27 42 21 13 9 32 40 12 23 13 38 37 28 20 40 22 10 0 9 1 35 2 2 3 2 13 1 21 40 31 27 28 20 23 18 22 41 38 27 19 38 2 23 11 19 10 35 11 20 39 26 41 24 36 14 38 21 28 18 37 39 37 32 15 27 30 38 33 32 41 20 14 39 18 0 22 12 2 35 9 2 12 39 18 22 32 25 11 27 2 3 20 15 14 36 0 38 24 11 14 8 7 2 22 42 36 3 5 35 1 16 17 36 33 38 26 37 4 33 16 8 31 39 0 39 13 1 24 30 23 23 25 30 16 0 35 23 34 35 27 5 28 32 16 37 25 27 25 22 16 32 4 23 38 32 14 37 1 8 20 13 13 38 2 25 16 7 8 9 15 35 39 39 19 24 39 33 37 24 16 0 31 35 19 7 27 19 8 38 27 28 4 14 32 25 1 13 13 11 41 33 14 42 37 25 4 4 22 35 42 35 10 29 0 36 23 5 41 4 41 1 11 7 29 5 10 37 19 2 19 29 8 32 37 17 11 7 39 28 35 19 3 26 26 36 26 39 20 21 0 28 36 33 8 9 40 28 2 35 24 3 12 3 40 32 36 42 41 29 17 1 25 29 2 15 19 36 26 18 2 32 36 33 37 0 21 42 17 9 10 27 3 41 41 7 16 26 40 2 3 13 2 8 37 2 30 14 11 2 33 10 1 14 6 8 39 20 13 1 39 16 34 17 26 31 7 3 36 36 27 0 35 37 42 37 5 39 0 33 20 41 41 1 35 14 28 0 12 13 24 4 21 24 29 20 18 26 29 5 19 38 35 4 29 38 22 24 1 19 41 20 35 25 8 1 35 4 3 21 26 25 32 5 32 27 30 4 19 18 37 34 10 23 5 33 2 39 2 31 30 1 4 39 32 42 0 27 5 18 22 23 1 1 42 3 23 2 38 24 39 25 17 12 40 0 3 29 38 17 42 12 19 39"
