# seed=123456
# instance=PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.75)
# mutation=p0=0.05,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.3
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6803,0.9565,0.9208,-0.2105,0.2570,"22 20 15 34 19 6 29 8 9 37 8 17 41 5 8 39 32 10 7 39 21 8 41 18 25 26 19 42 19 30 17 19 11 4 23 5 10 22 40 33 12 19 41 28 26 26 35 15 29 24 4 2 27 26 22 24 18 12 7 4 24 23 1 20 41 29 37 31 29 42 28 1 25 22 18 5 15 26 13 36 26 22 27 2 13 29 9 19 10 12 0 37 10 33 37 14 15 37 0 2 28 36 36 39 27 24 18 6 17 40 4 14 22 18 32 30 31 40 30 34 10 35 14 23 33 14 37 25 33 42 14 17 4 0 13 11 42 7 9 15 7 11 9 11 30 35 12 2 17 18 3 19 7 12 24 17 13 21 4 27 28 29 7 12 8 33 6 25 0 3 2 12 36 18 21 16 25 21 15 16 5 27 34 21 27 8 18 7 27 42 17 39 4 18 42 10 0 2 7 33 15 27 40 18 0 15 30 27 39 24 0 14 23 42 5 27 19 0 28 41 1 27 34 38 42 6 11 8 15 3 34 19 18 4 24 19 20 8 33 32 1 16 1 26 6 36 13 17 36 28 41 40 42 11 10 12 16 2 8 10 40 37 3 25 28 17 32 23 1 5 17 20 1 40 37 6 31 41 20 18 32 4 18 16 7 23 15 21 5 10 33 19 0 17 8 17 35 29 24 41 40 16 42 16 13 1 4 31 2 30 41 41 41 41 18 33 10 16 17 13 29 18 37 20 39 30 14 7 21 42 39 15 10 41 41 2 10 28 33 1 18 12 32 41 9 27 28 13 19 32 30 0 26 33 21 39 4 32 38 26 32 2 28 1 34 19 13 26 19 18 41 35 41 30 36 15 24 6 17 7 18 15 7 10 31 33 19 10 40 0 9 7 28 0 23 29 37 42 41 38 1 13 4 17 12 20 22 17 15 22 35 29 0 38 40 25 28 10 15 8 39 36 7 31 28 16 37 13 27 32 28 10 1 4 32 14 25 42 0 21 42 9 8 1 4 31 20 27 38 14 18 21 1 24 26 12 19 31 42 0 22 35 22 24 22 6 3 21 32 25 32 36 17 15 11 18 25 1 19 17 0 35 6 35 7 30 37 13 9 10 38 29 18 21 2 42 5 40 28 31"
1,2,-0.7027,0.9574,0.8491,-0.2565,0.1775,"29 1 2 3 9 15 38 2 20 33 20 5 31 9 23 27 12 12 34 0 11 28 32 3 8 13 35 13 31 31 14 40 12 21 26 35 2 12 6 32 39 40 39 14 34 12 8 21 37 13 8 15 20 38 8 14 34 39 26 14 5 9 41 14 42 0 41 13 37 6 41 35 11 19 41 23 20 35 24 34 25 38 0 12 30 25 39 2 30 5 42 33 8 17 10 37 15 18 2 19 29 9 38 10 41 9 34 36 0 16 8 8 17 28 18 9 39 35 9 41 11 15 40 38 11 18 35 2 11 33 38 11 39 33 39 8 7 11 2 11 10 8 6 10 7 11 15 2 11 17 14 8 39 7 22 1 26 24 4 15 42 0 11 30 1 28 11 5 8 9 35 31 2 10 8 5 33 25 9 8 39 39 32 24 11 32 27 7 9 26 39 8 42 12 22 14 4 11 40 11 39 36 22 32 24 38 40 26 0 22 1 12 4 39 8 9 39 25 42 27 37 39 36 26 14 9 26 23 42 2 12 42 12 0 25 42 40 1 12 37 39 21 13 28 25 21 30 19 5 12 0 25 18 21 27 26 39 3 38 9 12 2 2 10 12 22 18 25 32 3 39 25 23 34 7 32 2 26 6 27 1 12 12 16 27 9 36 23 35 21 22 21 3 22 26 21 39 27 22 12 33 13 12 31 31 33 1 25 31 18 31 10 0 29 18 32 11 8 5 27 27 8 12 26 27 39 32 2 7 32 10 42 17 23 29 25 21 32 12 11 34 32 9 31 2 10 31 11 12 2 12 38 31 21 24 26 21 38 3 31 22 31 39 33 8 3 2 0 31 19 18 23 12 32 25 16 31 34 6 12 29 9 31 29 27 33 7 2 32 22 1 31 2 39 13 16 11 9 33 42 39 4 0 39 32 42 33 18 14 13 2 39 32 4 31 14 2 39 30 0 6 28 32 33 4 12 40 39 33 8 16 39 31 31 31 4 41 14 12 4 22 41 24 28 0 21 5 4 39 32 16 39 4 18 40 39 33 29 42 14 29 18 2 25 34 14 28 33 30 24 18 35 2 33 30 16 37 27 16 19 33 25 17 10 31 33 21 33 39 32 33 32 33 31 20 12 37 31 7 33"
2,2,-0.7027,0.9574,0.8491,-0.2606,0.1845,"29 1 2 3 9 15 38 2 20 33 20 5 31 9 23 27 12 12 34 0 11 28 32 3 8 13 35 13 31 31 14 40 12 21 26 35 2 12 6 32 39 40 39 14 34 12 8 21 37 13 8 15 20 38 8 14 34 39 26 14 5 9 41 14 42 0 41 13 37 6 41 35 11 19 41 23 20 35 24 34 25 38 0 12 30 25 39 2 30 5 42 33 8 17 10 37 15 18 2 19 29 9 38 10 41 9 34 36 0 16 8 8 17 28 18 9 39 35 9 41 11 15 40 38 11 18 35 2 11 33 38 11 39 33 39 8 7 11 2 11 10 8 6 10 7 11 15 2 11 17 14 8 39 7 22 1 26 24 4 15 42 0 11 30 1 28 11 5 8 9 35 31 2 10 8 5 33 25 9 8 39 39 32 24 11 32 27 7 9 26 39 8 42 12 22 14 4 11 40 11 39 36 22 32 24 38 40 26 0 22 1 12 4 39 8 9 39 25 42 27 37 39 36 26 14 9 26 23 42 2 12 42 12 0 25 42 40 1 12 37 39 21 13 28 25 21 30 19 5 12 0 25 18 21 27 26 39 3 38 9 12 2 2 10 12 22 18 25 32 3 39 25 23 34 7 32 2 26 6 27 1 12 12 16 27 9 36 23 35 21 22 21 3 22 26 21 39 27 22 12 33 13 12 31 31 33 1 25 31 18 31 10 0 29 18 32 11 8 5 27 27 8 12 26 27 39 32 2 7 32 10 42 17 23 29 25 21 32 12 11 34 32 9 31 2 10 31 11 12 2 12 38 31 21 24 26 21 38 3 31 22 31 39 33 8 3 2 0 31 19 18 23 12 32 25 16 31 34 6 12 29 9 31 29 27 33 7 2 32 22 1 31 2 39 13 16 11 9 33 42 39 4 0 39 32 42 33 18 14 13 2 39 32 4 31 14 2 39 30 0 6 28 32 33 4 12 40 39 33 8 16 39 31 31 31 4 41 14 12 4 22 41 24 28 0 21 5 4 39 32 16 39 4 18 40 39 33 29 42 14 29 18 2 25 34 14 28 33 30 24 18 35 2 33 30 16 37 27 16 19 33 25 17 10 31 33 21 33 39 32 33 32 33 31 20 12 37 31 7 33"
3,2,-0.7027,0.9574,0.8491,-0.2657,0.1672,"29 1 2 3 9 15 38 2 20 33 20 5 31 9 23 27 12 12 34 0 11 28 32 3 8 13 35 13 31 31 14 40 12 21 26 35 2 12 6 32 39 40 39 14 34 12 8 21 37 13 8 15 20 38 8 14 34 39 26 14 5 9 41 14 42 0 41 13 37 6 41 35 11 19 41 23 20 35 24 34 25 38 0 12 30 25 39 2 30 5 42 33 8 17 10 37 15 18 2 19 29 9 38 10 41 9 34 36 0 16 8 8 17 28 18 9 39 35 9 41 11 15 40 38 11 18 35 2 11 33 38 11 39 33 39 8 7 11 2 11 10 8 6 10 7 11 15 2 11 17 14 8 39 7 22 1 26 24 4 15 42 0 11 30 1 28 11 5 8 9 35 31 2 10 8 5 33 25 9 8 39 39 32 24 11 32 27 7 9 26 39 8 42 12 22 14 4 11 40 11 39 36 22 32 24 38 40 26 0 22 1 12 4 39 8 9 39 25 42 27 37 39 36 26 14 9 26 23 42 2 12 42 12 0 25 42 40 1 12 37 39 21 13 28 25 21 30 19 5 12 0 25 18 21 27 26 39 3 38 9 12 2 2 10 12 22 18 25 32 3 39 25 23 34 7 32 2 26 6 27 1 12 12 16 27 9 36 23 35 21 22 21 3 22 26 21 39 27 22 12 33 13 12 31 31 33 1 25 31 18 31 10 0 29 18 32 11 8 5 27 27 8 12 26 27 39 32 2 7 32 10 42 17 23 29 25 21 32 12 11 34 32 9 31 2 10 31 11 12 2 12 38 31 21 24 26 21 38 3 31 22 31 39 33 8 3 2 0 31 19 18 23 12 32 25 16 31 34 6 12 29 9 31 29 27 33 7 2 32 22 1 31 2 39 13 16 11 9 33 42 39 4 0 39 32 42 33 18 14 13 2 39 32 4 31 14 2 39 30 0 6 28 32 33 4 12 40 39 33 8 16 39 31 31 31 4 41 14 12 4 22 41 24 28 0 21 5 4 39 32 16 39 4 18 40 39 33 29 42 14 29 18 2 25 34 14 28 33 30 24 18 35 2 33 30 16 37 27 16 19 33 25 17 10 31 33 21 33 39 32 33 32 33 31 20 12 37 31 7 33"
4,2,-0.7027,0.9574,0.8491,-0.2548,0.2036,"29 1 2 3 9 15 38 2 20 33 20 5 31 9 23 27 12 12 34 0 11 28 32 3 8 13 35 13 31 31 14 40 12 21 26 35 2 12 6 32 39 40 39 14 34 12 8 21 37 13 8 15 20 38 8 14 34 39 26 14 5 9 41 14 42 0 41 13 37 6 41 35 11 19 41 23 20 35 24 34 25 38 0 12 30 25 39 2 30 5 42 33 8 17 10 37 15 18 2 19 29 9 38 10 41 9 34 36 0 16 8 8 17 28 18 9 39 35 9 41 11 15 40 38 11 18 35 2 11 33 38 11 39 33 39 8 7 11 2 11 10 8 6 10 7 11 15 2 11 17 14 8 39 7 22 1 26 24 4 15 42 0 11 30 1 28 11 5 8 9 35 31 2 10 8 5 33 25 9 8 39 39 32 24 11 32 27 7 9 26 39 8 42 12 22 14 4 11 40 11 39 36 22 32 24 38 40 26 0 22 1 12 4 39 8 9 39 25 42 27 37 39 36 26 14 9 26 23 42 2 12 42 12 0 25 42 40 1 12 37 39 21 13 28 25 21 30 19 5 12 0 25 18 21 27 26 39 3 38 9 12 2 2 10 12 22 18 25 32 3 39 25 23 34 7 32 2 26 6 27 1 12 12 16 27 9 36 23 35 21 22 21 3 22 26 21 39 27 22 12 33 13 12 31 31 33 1 25 31 18 31 10 0 29 18 32 11 8 5 27 27 8 12 26 27 39 32 2 7 32 10 42 17 23 29 25 21 32 12 11 34 32 9 31 2 10 31 11 12 2 12 38 31 21 24 26 21 38 3 31 22 31 39 33 8 3 2 0 31 19 18 23 12 32 25 16 31 34 6 12 29 9 31 29 27 33 7 2 32 22 1 31 2 39 13 16 11 9 33 42 39 4 0 39 32 42 33 18 14 13 2 39 32 4 31 14 2 39 30 0 6 28 32 33 4 12 40 39 33 8 16 39 31 31 31 4 41 14 12 4 22 41 24 28 0 21 5 4 39 32 16 39 4 18 40 39 33 29 42 14 29 18 2 25 34 14 28 33 30 24 18 35 2 33 30 16 37 27 16 19 33 25 17 10 31 33 21 33 39 32 33 32 33 31 20 12 37 31 7 33"
5,2,-0.7027,0.9574,0.8491,-0.2551,0.1986,"29 1 2 3 9 15 38 2 20 33 20 5 31 9 23 27 12 12 34 0 11 28 32 3 8 13 35 13 31 31 14 40 12 21 26 35 2 12 6 32 39 40 39 14 34 12 8 21 37 13 8 15 20 38 8 14 34 39 26 14 5 9 41 14 42 0 41 13 37 6 41 35 11 19 41 23 20 35 24 34 25 38 0 12 30 25 39 2 30 5 42 33 8 17 10 37 15 18 2 19 29 9 38 10 41 9 34 36 0 16 8 8 17 28 18 9 39 35 9 41 11 15 40 38 11 18 35 2 11 33 38 11 39 33 39 8 7 11 2 11 10 8 6 10 7 11 15 2 11 17 14 8 39 7 22 1 26 24 4 15 42 0 11 30 1 28 11 5 8 9 35 31 2 10 8 5 33 25 9 8 39 39 32 24 11 32 27 7 9 26 39 8 42 12 22 14 4 11 40 11 39 36 22 32 24 38 40 26 0 22 1 12 4 39 8 9 39 25 42 27 37 39 36 26 14 9 26 23 42 2 12 42 12 0 25 42 40 1 12 37 39 21 13 28 25 21 30 19 5 12 0 25 18 21 27 26 39 3 38 9 12 2 2 10 12 22 18 25 32 3 39 25 23 34 7 32 2 26 6 27 1 12 12 16 27 9 36 23 35 21 22 21 3 22 26 21 39 27 22 12 33 13 12 31 31 33 1 25 31 18 31 10 0 29 18 32 11 8 5 27 27 8 12 26 27 39 32 2 7 32 10 42 17 23 29 25 21 32 12 11 34 32 9 31 2 10 31 11 12 2 12 38 31 21 24 26 21 38 3 31 22 31 39 33 8 3 2 0 31 19 18 23 12 32 25 16 31 34 6 12 29 9 31 29 27 33 7 2 32 22 1 31 2 39 13 16 11 9 33 42 39 4 0 39 32 42 33 18 14 13 2 39 32 4 31 14 2 39 30 0 6 28 32 33 4 12 40 39 33 8 16 39 31 31 31 4 41 14 12 4 22 41 24 28 0 21 5 4 39 32 16 39 4 18 40 39 33 29 42 14 29 18 2 25 34 14 28 33 30 24 18 35 2 33 30 16 37 27 16 19 33 25 17 10 31 33 21 33 39 32 33 32 33 31 20 12 37 31 7 33"
6,2,-0.7027,0.9574,0.8491,-0.2606,0.1450,"29 1 2 3 9 15 38 2 20 33 20 5 31 9 23 27 12 12 34 0 11 28 32 3 8 13 35 13 31 31 14 40 12 21 26 35 2 12 6 32 39 40 39 14 34 12 8 21 37 13 8 15 20 38 8 14 34 39 26 14 5 9 41 14 42 0 41 13 37 6 41 35 11 19 41 23 20 35 24 34 25 38 0 12 30 25 39 2 30 5 42 33 8 17 10 37 15 18 2 19 29 9 38 10 41 9 34 36 0 16 8 8 17 28 18 9 39 35 9 41 11 15 40 38 11 18 35 2 11 33 38 11 39 33 39 8 7 11 2 11 10 8 6 10 7 11 15 2 11 17 14 8 39 7 22 1 26 24 4 15 42 0 11 30 1 28 11 5 8 9 35 31 2 10 8 5 33 25 9 8 39 39 32 24 11 32 27 7 9 26 39 8 42 12 22 14 4 11 40 11 39 36 22 32 24 38 40 26 0 22 1 12 4 39 8 9 39 25 42 27 37 39 36 26 14 9 26 23 42 2 12 42 12 0 25 42 40 1 12 37 39 21 13 28 25 21 30 19 5 12 0 25 18 21 27 26 39 3 38 9 12 2 2 10 12 22 18 25 32 3 39 25 23 34 7 32 2 26 6 27 1 12 12 16 27 9 36 23 35 21 22 21 3 22 26 21 39 27 22 12 33 13 12 31 31 33 1 25 31 18 31 10 0 29 18 32 11 8 5 27 27 8 12 26 27 39 32 2 7 32 10 42 17 23 29 25 21 32 12 11 34 32 9 31 2 10 31 11 12 2 12 38 31 21 24 26 21 38 3 31 22 31 39 33 8 3 2 0 31 19 18 23 12 32 25 16 31 34 6 12 29 9 31 29 27 33 7 2 32 22 1 31 2 39 13 16 11 9 33 42 39 4 0 39 32 42 33 18 14 13 2 39 32 4 31 14 2 39 30 0 6 28 32 33 4 12 40 39 33 8 16 39 31 31 31 4 41 14 12 4 22 41 24 28 0 21 5 4 39 32 16 39 4 18 40 39 33 29 42 14 29 18 2 25 34 14 28 33 30 24 18 35 2 33 30 16 37 27 16 19 33 25 17 10 31 33 21 33 39 32 33 32 33 31 20 12 37 31 7 33"
7,2,-0.7027,0.9574,0.8491,-0.2618,0.1731,"29 1 2 3 9 15 38 2 20 33 20 5 31 9 23 27 12 12 34 0 11 28 32 3 8 13 35 13 31 31 14 40 12 21 26 35 2 12 6 32 39 40 39 14 34 12 8 21 37 13 8 15 20 38 8 14 34 39 26 14 5 9 41 14 42 0 41 13 37 6 41 35 11 19 41 23 20 35 24 34 25 38 0 12 30 25 39 2 30 5 42 33 8 17 10 37 15 18 2 19 29 9 38 10 41 9 34 36 0 16 8 8 17 28 18 9 39 35 9 41 11 15 40 38 11 18 35 2 11 33 38 11 39 33 39 8 7 11 2 11 10 8 6 10 7 11 15 2 11 17 14 8 39 7 22 1 26 24 4 15 42 0 11 30 1 28 11 5 8 9 35 31 2 10 8 5 33 25 9 8 39 39 32 24 11 32 27 7 9 26 39 8 42 12 22 14 4 11 40 11 39 36 22 32 24 38 40 26 0 22 1 12 4 39 8 9 39 25 42 27 37 39 36 26 14 9 26 23 42 2 12 42 12 0 25 42 40 1 12 37 39 21 13 28 25 21 30 19 5 12 0 25 18 21 27 26 39 3 38 9 12 2 2 10 12 22 18 25 32 3 39 25 23 34 7 32 2 26 6 27 1 12 12 16 27 9 36 23 35 21 22 21 3 22 26 21 39 27 22 12 33 13 12 31 31 33 1 25 31 18 31 10 0 29 18 32 11 8 5 27 27 8 12 26 27 39 32 2 7 32 10 42 17 23 29 25 21 32 12 11 34 32 9 31 2 10 31 11 12 2 12 38 31 21 24 26 21 38 3 31 22 31 39 33 8 3 2 0 31 19 18 23 12 32 25 16 31 34 6 12 29 9 31 29 27 33 7 2 32 22 1 31 2 39 13 16 11 9 33 42 39 4 0 39 32 42 33 18 14 13 2 39 32 4 31 14 2 39 30 0 6 28 32 33 4 12 40 39 33 8 16 39 31 31 31 4 41 14 12 4 22 41 24 28 0 21 5 4 39 32 16 39 4 18 40 39 33 29 42 14 29 18 2 25 34 14 28 33 30 24 18 35 2 33 30 16 37 27 16 19 33 25 17 10 31 33 21 33 39 32 33 32 33 31 20 12 37 31 7 33"
8,2,-0.7027,0.9574,0.8491,-0.2603,0.1914,"29 1 2 3 9 15 38 2 20 33 20 5 31 9 23 27 12 12 34 0 11 28 32 3 8 13 35 13 31 31 14 40 12 21 26 35 2 12 6 32 39 40 39 14 34 12 8 21 37 13 8 15 20 38 8 14 34 39 26 14 5 9 41 14 42 0 41 13 37 6 41 35 11 19 41 23 20 35 24 34 25 38 0 12 30 25 39 2 30 5 42 33 8 17 10 37 15 18 2 19 29 9 38 10 41 9 34 36 0 16 8 8 17 28 18 9 39 35 9 41 11 15 40 38 11 18 35 2 11 33 38 11 39 33 39 8 7 11 2 11 10 8 6 10 7 11 15 2 11 17 14 8 39 7 22 1 26 24 4 15 42 0 11 30 1 28 11 5 8 9 35 31 2 10 8 5 33 25 9 8 39 39 32 24 11 32 27 7 9 26 39 8 42 12 22 14 4 11 40 11 39 36 22 32 24 38 40 26 0 22 1 12 4 39 8 9 39 25 42 27 37 39 36 26 14 9 26 23 42 2 12 42 12 0 25 42 40 1 12 37 39 21 13 28 25 21 30 19 5 12 0 25 18 21 27 26 39 3 38 9 12 2 2 10 12 22 18 25 32 3 39 25 23 34 7 32 2 26 6 27 1 12 12 16 27 9 36 23 35 21 22 21 3 22 26 21 39 27 22 12 33 13 12 31 31 33 1 25 31 18 31 10 0 29 18 32 11 8 5 27 27 8 12 26 27 39 32 2 7 32 10 42 17 23 29 25 21 32 12 11 34 32 9 31 2 10 31 11 12 2 12 38 31 21 24 26 21 38 3 31 22 31 39 33 8 3 2 0 31 19 18 23 12 32 25 16 31 34 6 12 29 9 31 29 27 33 7 2 32 22 1 31 2 39 13 16 11 9 33 42 39 4 0 39 32 42 33 18 14 13 2 39 32 4 31 14 2 39 30 0 6 28 32 33 4 12 40 39 33 8 16 39 31 31 31 4 41 14 12 4 22 41 24 28 0 21 5 4 39 32 16 39 4 18 40 39 33 29 42 14 29 18 2 25 34 14 28 33 30 24 18 35 2 33 30 16 37 27 16 19 33 25 17 10 31 33 21 33 39 32 33 32 33 31 20 12 37 31 7 33"
9,2,-0.7027,0.9574,0.8491,-0.2618,0.1913,"29 1 2 3 9 15 38 2 20 33 20 5 31 9 23 27 12 12 34 0 11 28 32 3 8 13 35 13 31 31 14 40 12 21 26 35 2 12 6 32 39 40 39 14 34 12 8 21 37 13 8 15 20 38 8 14 34 39 26 14 5 9 41 14 42 0 41 13 37 6 41 35 11 19 41 23 20 35 24 34 25 38 0 12 30 25 39 2 30 5 42 33 8 17 10 37 15 18 2 19 29 9 38 10 41 9 34 36 0 16 8 8 17 28 18 9 39 35 9 41 11 15 40 38 11 18 35 2 11 33 38 11 39 33 39 8 7 11 2 11 10 8 6 10 7 11 15 2 11 17 14 8 39 7 22 1 26 24 4 15 42 0 11 30 1 28 11 5 8 9 35 31 2 10 8 5 33 25 9 8 39 39 32 24 11 32 27 7 9 26 39 8 42 12 22 14 4 11 40 11 39 36 22 32 24 38 40 26 0 22 1 12 4 39 8 9 39 25 42 27 37 39 36 26 14 9 26 23 42 2 12 42 12 0 25 42 40 1 12 37 39 21 13 28 25 21 30 19 5 12 0 25 18 21 27 26 39 3 38 9 12 2 2 10 12 22 18 25 32 3 39 25 23 34 7 32 2 26 6 27 1 12 12 16 27 9 36 23 35 21 22 21 3 22 26 21 39 27 22 12 33 13 12 31 31 33 1 25 31 18 31 10 0 29 18 32 11 8 5 27 27 8 12 26 27 39 32 2 7 32 10 42 17 23 29 25 21 32 12 11 34 32 9 31 2 10 31 11 12 2 12 38 31 21 24 26 21 38 3 31 22 31 39 33 8 3 2 0 31 19 18 23 12 32 25 16 31 34 6 12 29 9 31 29 27 33 7 2 32 22 1 31 2 39 13 16 11 9 33 42 39 4 0 39 32 42 33 18 14 13 2 39 32 4 31 14 2 39 30 0 6 28 32 33 4 12 40 39 33 8 16 39 31 31 31 4 41 14 12 4 22 41 24 28 0 21 5 4 39 32 16 39 4 18 40 39 33 29 42 14 29 18 2 25 34 14 28 33 30 24 18 35 2 33 30 16 37 27 16 19 33 25 17 10 31 33 21 33 39 32 33 32 33 31 20 12 37 31 7 33"
