# seed=123456
# instance=BALANCED
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.75)
# mutation=p0=0.05,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.3
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6253,0.9000,0.9158,-0.1889,0.2518,"30 23 28 11 2 19 38 30 5 26 38 0 7 32 39 41 27 13 13 20 29 13 6 24 38 4 1 1 7 10 35 26 2 39 21 9 29 15 28 29 18 2 4 29 41 4 15 24 32 30 11 17 38 35 24 2 20 26 6 13 4 33 2 38 5 41 1 13 27 34 25 18 19 4 37 28 8 0 39 19 24 2 16 5 36 34 25 33 18 1 10 30 39 29 4 26 41 9 24 5 7 21 31 15 29 5 4 38 39 38 5 9 17 28 2 27 33 25 19 35 39 31 34 31 2 27 33 20 16 11 32 6 9 42 5 33 28 15 25 9 33 5 6 12 2 27 40 7 23 37 10 7 7 22 0 2 40 26 5 25 28 20 38 42 29 7 17 26 19 33 38 12 41 7 34 36 14 13 22 25 31 41 7 29 33 12 29 22 22 10 29 16 16 20 37 10 1 2 3 8 21 23 21 9 34 27 12 22 22 1 19 31 14 8 39 32 2 36 8 4 0 13 20 18 36 3 41 12 24 26 30 18 18 34 21 10 26 10 15 15 2 19 24 19 7 12 27 29 31 39 21 8 17 18 31 27 21 2 13 33 28 17 30 36 11 16 28 36 33 16 20 18 4 1 40 1 36 32 21 29 10 42 13 18 11 4 27 34 29 41 40 0 6 41 6 28 31 17 40 18 29 23 32 23 7 11 35 13 2 38 15 36 19 23 2 6 19 36 2 20 6 24 41 24 16 10 41 7 36 27 33 21 9 19 9 40 3 37 29 7 40 26 13 17 37 40 9 40 21 9 23 1 29 32 28 5 41 37 6 38 30 18 10 28 17 10 20 5 13 32 29 40 8 40 8 6 15 19 35 1 25 40 15 23 14 15 6 29 8 8 14 32 5 19 41 31 39 18 26 31 41 42 33 36 37 22 1 18 18 28 29 28 38 28 36 22 14 8 26 2 37 22 36 8 22 15 13 37 37 4 34 32 24 14 36 16 28 12 26 27 36 40 13 0 33 33 9 19 14 16 42 10 31 0 36 16 41 39 26 16 38 24 42 5 2 8 40 22 14 26 10 12 34 21 4 16 11 19 8 19 22 33 41 26 42 16 34 28 40 41 15 1 12 19 15 38 18 4 12 26"
1,2,-0.6523,0.9070,0.8491,-0.2298,0.2065,"41 36 30 40 12 23 16 36 18 39 15 0 21 5 26 39 22 29 30 12 28 37 35 39 28 5 31 27 34 30 42 32 36 34 22 17 29 26 34 29 30 28 13 35 29 30 30 15 39 24 36 39 19 38 22 31 34 18 32 39 22 28 30 39 30 40 36 24 30 15 28 29 36 4 36 35 30 7 22 41 35 35 7 1 14 37 6 34 37 2 22 12 29 8 39 34 39 22 32 22 21 20 21 10 19 31 42 29 32 41 39 4 30 29 29 22 23 24 27 13 40 24 29 32 37 30 23 37 12 23 4 22 41 19 11 8 34 28 14 29 29 12 19 40 39 23 29 21 31 19 20 24 29 28 4 12 39 30 20 12 4 0 36 23 24 37 29 24 23 28 12 30 34 28 37 11 19 17 0 23 15 37 39 29 3 5 23 29 38 12 15 35 34 39 19 23 8 18 28 29 40 22 32 28 8 18 26 8 12 12 2 12 41 2 12 41 5 12 20 8 19 1 18 24 7 1 34 40 31 8 8 19 14 8 5 4 1 4 22 2 39 3 27 31 8 7 20 12 30 7 8 19 31 2 37 10 21 35 42 12 17 7 25 8 41 25 2 2 14 40 29 38 7 12 14 38 31 12 12 34 15 17 19 27 18 12 31 7 31 14 41 7 7 8 12 12 12 42 2 24 39 20 10 20 29 39 23 20 20 30 6 2 19 2 10 20 3 2 24 3 30 8 21 31 35 28 12 12 20 19 7 30 30 34 27 19 12 41 13 18 13 17 29 1 36 29 0 6 36 34 12 29 22 39 13 14 39 19 36 39 3 22 30 21 30 28 27 23 26 28 10 40 20 29 19 23 15 26 1 32 40 2 39 13 20 0 37 39 4 19 7 2 1 16 8 19 38 40 29 19 27 39 34 34 35 34 2 13 35 16 34 25 13 36 12 34 7 32 36 35 39 39 34 39 34 42 35 11 36 36 33 12 35 8 34 12 12 39 2 31 39 41 34 0 28 10 11 39 7 9 11 15 12 24 12 12 35 35 30 31 27 19 35 39 36 2 34 35 39 9 34 25 36 36 3 11 2 10 34 39 36 39 35 34 22 16 10 34 36 10 30 38 27 39 12 41 12 12 38 36"
2,2,-0.6523,0.9070,0.8491,-0.2360,0.1733,"41 36 30 40 12 23 16 36 18 39 15 0 21 5 26 39 22 29 30 12 28 37 35 39 28 5 31 27 34 30 42 32 36 34 22 17 29 26 34 29 30 28 13 35 29 30 30 15 39 24 36 39 19 38 22 31 34 18 32 39 22 28 30 39 30 40 36 24 30 15 28 29 36 4 36 35 30 7 22 41 35 35 7 1 14 37 6 34 37 2 22 12 29 8 39 34 39 22 32 22 21 20 21 10 19 31 42 29 32 41 39 4 30 29 29 22 23 24 27 13 40 24 29 32 37 30 23 37 12 23 4 22 41 19 11 8 34 28 14 29 29 12 19 40 39 23 29 21 31 19 20 24 29 28 4 12 39 30 20 12 4 0 36 23 24 37 29 24 23 28 12 30 34 28 37 11 19 17 0 23 15 37 39 29 3 5 23 29 38 12 15 35 34 39 19 23 8 18 28 29 40 22 32 28 8 18 26 8 12 12 2 12 41 2 12 41 5 12 20 8 19 1 18 24 7 1 34 40 31 8 8 19 14 8 5 4 1 4 22 2 39 3 27 31 8 7 20 12 30 7 8 19 31 2 37 10 21 35 42 12 17 7 25 8 41 25 2 2 14 40 29 38 7 12 14 38 31 12 12 34 15 17 19 27 18 12 31 7 31 14 41 7 7 8 12 12 12 42 2 24 39 20 10 20 29 39 23 20 20 30 6 2 19 2 10 20 3 2 24 3 30 8 21 31 35 28 12 12 20 19 7 30 30 34 27 19 12 41 13 18 13 17 29 1 36 29 0 6 36 34 12 29 22 39 13 14 39 19 36 39 3 22 30 21 30 28 27 23 26 28 10 40 20 29 19 23 15 26 1 32 40 2 39 13 20 0 37 39 4 19 7 2 1 16 8 19 38 40 29 19 27 39 34 34 35 34 2 13 35 16 34 25 13 36 12 34 7 32 36 35 39 39 34 39 34 42 35 11 36 36 33 12 35 8 34 12 12 39 2 31 39 41 34 0 28 10 11 39 7 9 11 15 12 24 12 12 35 35 30 31 27 19 35 39 36 2 34 35 39 9 34 25 36 36 3 11 2 10 34 39 36 39 35 34 22 16 10 34 36 10 30 38 27 39 12 41 12 12 38 36"
3,3,-0.6650,0.9048,0.7991,-0.2328,0.2177,"7 28 29 28 28 2 8 29 39 10 28 29 7 28 2 29 12 28 1 23 29 2 30 24 2 30 29 30 39 6 22 30 21 30 30 11 28 9 28 11 39 2 29 9 28 24 24 12 9 11 8 30 12 38 29 11 2 12 30 29 2 15 28 12 39 30 39 30 39 30 2 7 11 28 29 5 39 30 12 11 34 39 28 23 3 29 23 29 1 28 1 28 12 24 14 12 30 6 7 11 37 10 9 11 2 29 39 30 13 3 30 11 28 29 39 29 29 29 29 39 29 9 21 9 23 28 16 28 9 0 3 28 0 39 13 11 18 11 29 2 41 28 12 42 11 39 9 19 0 8 9 29 11 2 9 39 39 29 29 12 17 38 12 28 0 30 28 11 9 3 11 28 29 39 11 10 30 30 12 30 28 29 10 28 9 30 33 6 36 10 29 29 28 39 2 41 10 11 28 28 7 8 41 8 12 7 9 24 37 10 8 19 41 35 6 11 1 22 18 40 24 21 11 7 12 23 13 8 8 2 34 25 24 7 0 24 5 10 33 8 2 8 11 7 23 8 17 8 18 29 37 12 39 23 24 7 23 1 39 14 23 7 7 11 12 18 39 32 7 17 10 12 8 24 7 8 39 7 23 17 23 21 10 30 15 8 7 12 40 8 34 18 12 9 17 26 24 2 30 30 35 34 11 27 18 35 18 21 36 39 2 41 12 2 12 8 27 12 11 12 39 34 2 26 27 36 9 24 10 2 26 39 12 25 27 35 23 24 27 26 23 20 2 24 2 14 1 39 4 17 39 27 39 2 35 17 27 39 35 2 34 2 36 25 25 39 24 4 2 36 12 39 3 25 23 27 26 2 3 39 5 25 12 2 24 36 9 12 8 27 35 24 12 34 9 26 26 23 24 2 12 10 24 32 10 32 11 24 11 37 10 32 9 8 30 11 7 24 10 12 31 11 39 2 8 9 10 10 2 39 10 10 10 2 9 10 11 10 9 2 23 11 0 8 31 22 2 12 10 13 6 10 8 11 32 2 11 4 7 27 2 20 31 18 30 10 10 9 11 11 12 39 10 7 39 37 10 33 10 10 21 11 41 23 8 33 23 9 12 2 12 13 28 2 24 1 9 24 11 33"
4,4,-0.6776,0.9200,0.8078,-0.2379,0.2043,"21 12 22 25 12 26 2 39 11 36 39 12 19 27 22 27 12 19 39 34 26 26 10 18 12 11 39 18 39 25 27 39 26 25 26 39 28 36 8 7 12 12 26 12 9 27 25 39 17 27 39 18 15 11 12 11 12 12 11 12 9 9 27 36 25 27 27 10 9 19 19 11 17 10 27 20 17 25 10 18 29 26 12 39 25 11 26 17 39 25 11 26 15 39 35 19 25 0 17 17 10 9 39 7 7 19 19 19 8 39 10 19 2 19 20 32 7 12 24 32 39 31 32 6 23 33 12 40 37 9 19 32 19 19 10 12 20 9 39 1 39 19 9 9 19 38 11 11 9 39 23 39 2 20 31 31 32 31 20 31 7 23 20 22 31 7 20 24 39 23 39 10 30 19 38 30 33 20 12 40 19 20 20 2 3 20 28 20 7 31 2 20 2 20 32 39 2 4 12 23 24 11 10 19 30 24 27 36 23 0 24 34 10 39 12 30 39 11 39 29 28 39 39 24 12 39 10 31 20 17 9 36 9 34 39 29 2 30 38 32 32 2 16 5 24 30 32 35 34 3 12 23 3 0 23 10 24 12 33 19 2 39 24 33 12 2 12 33 23 32 31 9 19 0 32 24 29 0 6 32 23 3 19 41 41 36 30 0 39 1 12 24 0 30 0 21 30 39 31 2 33 5 22 1 16 23 42 19 25 36 19 24 40 6 0 9 36 16 31 20 21 2 18 37 18 20 9 23 39 25 24 38 41 11 25 42 37 2 10 9 16 18 23 40 12 30 2 38 28 39 9 29 16 2 35 23 33 20 6 31 40 12 12 23 39 27 37 36 32 0 21 36 2 2 39 24 13 24 24 0 4 1 38 39 36 12 7 24 39 8 27 41 28 11 23 39 0 24 3 14 1 2 0 0 0 15 20 38 42 27 41 12 23 1 19 40 39 9 0 0 19 16 19 26 20 1 33 39 20 6 12 25 19 23 3 3 25 19 20 34 34 12 9 20 20 14 19 20 20 12 26 20 42 23 4 20 20 1 3 12 16 31 33 20 0 12 12 35 33 12 20 41 14 39 24 19 0 2 19 19 3 20 28 20 30 8 28 20 16 41 19 39 39 20 12 23 26 22 33 5"
5,4,-0.6776,0.9200,0.8078,-0.2362,0.2233,"21 12 22 25 12 26 2 39 11 36 39 12 19 27 22 27 12 19 39 34 26 26 10 18 12 11 39 18 39 25 27 39 26 25 26 39 28 36 8 7 12 12 26 12 9 27 25 39 17 27 39 18 15 11 12 11 12 12 11 12 9 9 27 36 25 27 27 10 9 19 19 11 17 10 27 20 17 25 10 18 29 26 12 39 25 11 26 17 39 25 11 26 15 39 35 19 25 0 17 17 10 9 39 7 7 19 19 19 8 39 10 19 2 19 20 32 7 12 24 32 39 31 32 6 23 33 12 40 37 9 19 32 19 19 10 12 20 9 39 1 39 19 9 9 19 38 11 11 9 39 23 39 2 20 31 31 32 31 20 31 7 23 20 22 31 7 20 24 39 23 39 10 30 19 38 30 33 20 12 40 19 20 20 2 3 20 28 20 7 31 2 20 2 20 32 39 2 4 12 23 24 11 10 19 30 24 27 36 23 0 24 34 10 39 12 30 39 11 39 29 28 39 39 24 12 39 10 31 20 17 9 36 9 34 39 29 2 30 38 32 32 2 16 5 24 30 32 35 34 3 12 23 3 0 23 10 24 12 33 19 2 39 24 33 12 2 12 33 23 32 31 9 19 0 32 24 29 0 6 32 23 3 19 41 41 36 30 0 39 1 12 24 0 30 0 21 30 39 31 2 33 5 22 1 16 23 42 19 25 36 19 24 40 6 0 9 36 16 31 20 21 2 18 37 18 20 9 23 39 25 24 38 41 11 25 42 37 2 10 9 16 18 23 40 12 30 2 38 28 39 9 29 16 2 35 23 33 20 6 31 40 12 12 23 39 27 37 36 32 0 21 36 2 2 39 24 13 24 24 0 4 1 38 39 36 12 7 24 39 8 27 41 28 11 23 39 0 24 3 14 1 2 0 0 0 15 20 38 42 27 41 12 23 1 19 40 39 9 0 0 19 16 19 26 20 1 33 39 20 6 12 25 19 23 3 3 25 19 20 34 34 12 9 20 20 14 19 20 20 12 26 20 42 23 4 20 20 1 3 12 16 31 33 20 0 12 12 35 33 12 20 41 14 39 24 19 0 2 19 19 3 20 28 20 30 8 28 20 16 41 19 39 39 20 12 23 26 22 33 5"
6,4,-0.6776,0.9200,0.8078,-0.2366,0.1705,"21 12 22 25 12 26 2 39 11 36 39 12 19 27 22 27 12 19 39 34 26 26 10 18 12 11 39 18 39 25 27 39 26 25 26 39 28 36 8 7 12 12 26 12 9 27 25 39 17 27 39 18 15 11 12 11 12 12 11 12 9 9 27 36 25 27 27 10 9 19 19 11 17 10 27 20 17 25 10 18 29 26 12 39 25 11 26 17 39 25 11 26 15 39 35 19 25 0 17 17 10 9 39 7 7 19 19 19 8 39 10 19 2 19 20 32 7 12 24 32 39 31 32 6 23 33 12 40 37 9 19 32 19 19 10 12 20 9 39 1 39 19 9 9 19 38 11 11 9 39 23 39 2 20 31 31 32 31 20 31 7 23 20 22 31 7 20 24 39 23 39 10 30 19 38 30 33 20 12 40 19 20 20 2 3 20 28 20 7 31 2 20 2 20 32 39 2 4 12 23 24 11 10 19 30 24 27 36 23 0 24 34 10 39 12 30 39 11 39 29 28 39 39 24 12 39 10 31 20 17 9 36 9 34 39 29 2 30 38 32 32 2 16 5 24 30 32 35 34 3 12 23 3 0 23 10 24 12 33 19 2 39 24 33 12 2 12 33 23 32 31 9 19 0 32 24 29 0 6 32 23 3 19 41 41 36 30 0 39 1 12 24 0 30 0 21 30 39 31 2 33 5 22 1 16 23 42 19 25 36 19 24 40 6 0 9 36 16 31 20 21 2 18 37 18 20 9 23 39 25 24 38 41 11 25 42 37 2 10 9 16 18 23 40 12 30 2 38 28 39 9 29 16 2 35 23 33 20 6 31 40 12 12 23 39 27 37 36 32 0 21 36 2 2 39 24 13 24 24 0 4 1 38 39 36 12 7 24 39 8 27 41 28 11 23 39 0 24 3 14 1 2 0 0 0 15 20 38 42 27 41 12 23 1 19 40 39 9 0 0 19 16 19 26 20 1 33 39 20 6 12 25 19 23 3 3 25 19 20 34 34 12 9 20 20 14 19 20 20 12 26 20 42 23 4 20 20 1 3 12 16 31 33 20 0 12 12 35 33 12 20 41 14 39 24 19 0 2 19 19 3 20 28 20 30 8 28 20 16 41 19 39 39 20 12 23 26 22 33 5"
7,5,-0.6805,0.9400,0.8649,-0.2403,0.1955,"2 12 19 25 9 10 25 39 11 2 12 2 12 9 2 25 12 19 39 34 20 2 39 39 2 27 27 37 39 8 7 19 7 9 26 2 20 5 8 8 12 12 39 2 2 7 9 12 8 27 39 11 2 19 11 19 27 26 39 25 9 10 20 36 10 19 39 11 9 25 19 7 8 10 25 20 39 39 10 7 29 12 12 12 26 9 2 27 10 26 25 27 39 39 35 11 2 0 17 17 20 8 19 2 0 7 30 29 7 30 24 24 8 19 39 19 12 19 39 8 24 23 12 7 23 23 30 8 23 30 39 7 30 7 7 28 19 39 8 23 23 20 8 23 20 1 25 29 23 24 19 23 24 24 7 8 7 39 12 29 8 23 24 8 18 19 8 24 28 7 19 8 2 26 39 7 28 12 26 29 28 2 36 8 2 23 23 7 24 2 39 40 4 8 7 6 29 23 23 24 24 24 27 7 9 24 9 39 23 39 40 27 0 27 7 9 1 25 12 24 25 22 23 26 23 12 23 12 26 17 12 14 23 22 39 10 2 23 11 23 26 39 39 39 25 12 1 12 33 17 39 23 9 20 39 24 11 23 12 39 12 0 23 39 37 23 24 10 23 1 25 41 0 29 39 2 39 37 24 30 27 23 27 5 41 30 27 2 24 42 10 9 11 24 23 27 23 9 40 9 39 20 39 16 20 20 39 19 2 20 0 18 39 20 19 39 27 39 6 20 17 12 19 39 12 9 10 19 9 41 19 39 19 32 10 11 19 39 2 19 19 19 22 11 20 20 19 20 19 39 0 9 10 2 20 39 20 39 14 19 6 19 10 33 20 12 20 19 12 19 19 20 19 19 20 39 10 32 34 39 12 20 19 10 25 34 31 9 12 9 12 18 19 20 9 17 20 20 12 12 39 29 39 10 18 28 17 39 29 39 2 12 29 30 28 12 18 30 12 18 39 29 17 34 20 29 28 39 9 39 17 17 29 18 35 29 17 9 30 32 39 10 9 10 2 18 3 12 29 29 2 9 30 29 39 32 12 18 29 2 29 37 2 18 28 39 2 28 9 12 9 32 29 2 17 11 12 29 35 29 18 20 10 28 33 9 12 39 32 9 28 28 33 18 12 2 11 9 2 9"
8,5,-0.6805,0.9400,0.8649,-0.2360,0.2153,"2 12 19 25 9 10 25 39 11 2 12 2 12 9 2 25 12 19 39 34 20 2 39 39 2 27 27 37 39 8 7 19 7 9 26 2 20 5 8 8 12 12 39 2 2 7 9 12 8 27 39 11 2 19 11 19 27 26 39 25 9 10 20 36 10 19 39 11 9 25 19 7 8 10 25 20 39 39 10 7 29 12 12 12 26 9 2 27 10 26 25 27 39 39 35 11 2 0 17 17 20 8 19 2 0 7 30 29 7 30 24 24 8 19 39 19 12 19 39 8 24 23 12 7 23 23 30 8 23 30 39 7 30 7 7 28 19 39 8 23 23 20 8 23 20 1 25 29 23 24 19 23 24 24 7 8 7 39 12 29 8 23 24 8 18 19 8 24 28 7 19 8 2 26 39 7 28 12 26 29 28 2 36 8 2 23 23 7 24 2 39 40 4 8 7 6 29 23 23 24 24 24 27 7 9 24 9 39 23 39 40 27 0 27 7 9 1 25 12 24 25 22 23 26 23 12 23 12 26 17 12 14 23 22 39 10 2 23 11 23 26 39 39 39 25 12 1 12 33 17 39 23 9 20 39 24 11 23 12 39 12 0 23 39 37 23 24 10 23 1 25 41 0 29 39 2 39 37 24 30 27 23 27 5 41 30 27 2 24 42 10 9 11 24 23 27 23 9 40 9 39 20 39 16 20 20 39 19 2 20 0 18 39 20 19 39 27 39 6 20 17 12 19 39 12 9 10 19 9 41 19 39 19 32 10 11 19 39 2 19 19 19 22 11 20 20 19 20 19 39 0 9 10 2 20 39 20 39 14 19 6 19 10 33 20 12 20 19 12 19 19 20 19 19 20 39 10 32 34 39 12 20 19 10 25 34 31 9 12 9 12 18 19 20 9 17 20 20 12 12 39 29 39 10 18 28 17 39 29 39 2 12 29 30 28 12 18 30 12 18 39 29 17 34 20 29 28 39 9 39 17 17 29 18 35 29 17 9 30 32 39 10 9 10 2 18 3 12 29 29 2 9 30 29 39 32 12 18 29 2 29 37 2 18 28 39 2 28 9 12 9 32 29 2 17 11 12 29 35 29 18 20 10 28 33 9 12 39 32 9 28 28 33 18 12 2 11 9 2 9"
9,5,-0.6805,0.9400,0.8649,-0.2440,0.2020,"2 12 19 25 9 10 25 39 11 2 12 2 12 9 2 25 12 19 39 34 20 2 39 39 2 27 27 37 39 8 7 19 7 9 26 2 20 5 8 8 12 12 39 2 2 7 9 12 8 27 39 11 2 19 11 19 27 26 39 25 9 10 20 36 10 19 39 11 9 25 19 7 8 10 25 20 39 39 10 7 29 12 12 12 26 9 2 27 10 26 25 27 39 39 35 11 2 0 17 17 20 8 19 2 0 7 30 29 7 30 24 24 8 19 39 19 12 19 39 8 24 23 12 7 23 23 30 8 23 30 39 7 30 7 7 28 19 39 8 23 23 20 8 23 20 1 25 29 23 24 19 23 24 24 7 8 7 39 12 29 8 23 24 8 18 19 8 24 28 7 19 8 2 26 39 7 28 12 26 29 28 2 36 8 2 23 23 7 24 2 39 40 4 8 7 6 29 23 23 24 24 24 27 7 9 24 9 39 23 39 40 27 0 27 7 9 1 25 12 24 25 22 23 26 23 12 23 12 26 17 12 14 23 22 39 10 2 23 11 23 26 39 39 39 25 12 1 12 33 17 39 23 9 20 39 24 11 23 12 39 12 0 23 39 37 23 24 10 23 1 25 41 0 29 39 2 39 37 24 30 27 23 27 5 41 30 27 2 24 42 10 9 11 24 23 27 23 9 40 9 39 20 39 16 20 20 39 19 2 20 0 18 39 20 19 39 27 39 6 20 17 12 19 39 12 9 10 19 9 41 19 39 19 32 10 11 19 39 2 19 19 19 22 11 20 20 19 20 19 39 0 9 10 2 20 39 20 39 14 19 6 19 10 33 20 12 20 19 12 19 19 20 19 19 20 39 10 32 34 39 12 20 19 10 25 34 31 9 12 9 12 18 19 20 9 17 20 20 12 12 39 29 39 10 18 28 17 39 29 39 2 12 29 30 28 12 18 30 12 18 39 29 17 34 20 29 28 39 9 39 17 17 29 18 35 29 17 9 30 32 39 10 9 10 2 18 3 12 29 29 2 9 30 29 39 32 12 18 29 2 29 37 2 18 28 39 2 28 9 12 9 32 29 2 17 11 12 29 35 29 18 20 10 28 33 9 12 39 32 9 28 28 33 18 12 2 11 9 2 9"
