# seed=1
# instance=BALANCED
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.5)
# mutation=p0=0.002,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.3
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6454,0.9231,0.9256,-0.1890,0.2617,"20 4 33 28 21 40 33 5 14 25 12 13 8 33 41 5 34 9 25 36 2 5 34 19 2 38 14 17 39 32 10 12 13 4 36 8 2 7 31 29 24 33 1 22 9 6 37 39 41 7 0 16 23 8 37 39 1 42 38 34 23 40 10 6 25 27 40 41 13 18 20 1 21 23 18 28 1 6 10 17 27 12 31 40 40 13 41 14 19 38 34 33 18 1 32 12 9 25 33 35 21 6 8 24 26 25 23 19 28 16 39 6 26 22 29 6 1 24 4 10 39 35 7 11 19 35 33 37 10 17 13 8 6 36 36 20 1 6 6 36 13 28 30 27 0 6 20 5 33 22 28 33 16 33 12 20 39 2 32 1 13 36 10 8 3 39 5 34 40 0 37 36 16 16 16 4 5 26 8 33 39 17 42 5 23 4 5 8 4 25 42 22 7 16 9 24 19 13 20 26 5 41 20 32 23 13 31 6 39 40 21 29 30 31 3 39 15 2 34 35 6 24 24 31 39 14 39 20 2 10 27 41 33 2 27 30 7 36 27 3 39 18 27 26 14 11 25 14 15 32 36 34 21 31 25 23 26 36 16 23 1 23 23 42 11 23 13 3 23 23 6 15 4 29 31 18 29 27 21 24 15 13 18 38 19 6 33 15 8 13 24 21 1 26 26 30 39 24 27 7 7 10 33 22 8 27 10 37 18 28 32 14 27 23 16 14 17 37 3 4 9 4 28 41 9 8 31 28 11 39 42 38 0 0 22 3 2 22 37 3 14 24 13 19 32 19 18 7 1 26 38 28 32 34 16 0 18 14 16 0 41 0 38 1 29 29 13 21 25 4 12 0 0 9 21 28 3 6 3 23 13 1 26 37 8 15 42 23 41 14 27 9 5 17 5 29 18 8 16 2 8 16 25 8 7 26 6 16 4 19 23 37 21 1 19 5 1 20 29 9 10 28 5 12 30 28 20 29 31 7 19 33 27 5 11 38 26 15 15 8 20 6 37 42 14 37 6 12 0 32 4 2 12 19 23 34 38 39 33 14 5 11 23 41 3 36 42 33 31 37 31 40 20 38 23 22 0 18 9 24 13 28 30 39 24 36 40 15 32 34 18 21 23 37 23 36 17 33 35 12"
1,1,-0.6454,0.9231,0.9256,-0.2165,0.2345,"20 4 33 28 21 40 33 5 14 25 12 13 8 33 41 5 34 9 25 36 2 5 34 19 2 38 14 17 39 32 10 12 13 4 36 8 2 7 31 29 24 33 1 22 9 6 37 39 41 7 0 16 23 8 37 39 1 42 38 34 23 40 10 6 25 27 40 41 13 18 20 1 21 23 18 28 1 6 10 17 27 12 31 40 40 13 41 14 19 38 34 33 18 1 32 12 9 25 33 35 21 6 8 24 26 25 23 19 28 16 39 6 26 22 29 6 1 24 4 10 39 35 7 11 19 35 33 37 10 17 13 8 6 36 36 20 1 6 6 36 13 28 30 27 0 6 20 5 33 22 28 33 16 33 12 20 39 2 32 1 13 36 10 8 3 39 5 34 40 0 37 36 16 16 16 4 5 26 8 33 39 17 42 5 23 4 5 8 4 25 42 22 7 16 9 24 19 13 20 26 5 41 20 32 23 13 31 6 39 40 21 29 30 31 3 39 15 2 34 35 6 24 24 31 39 14 39 20 2 10 27 41 33 2 27 30 7 36 27 3 39 18 27 26 14 11 25 14 15 32 36 34 21 31 25 23 26 36 16 23 1 23 23 42 11 23 13 3 23 23 6 15 4 29 31 18 29 27 21 24 15 13 18 38 19 6 33 15 8 13 24 21 1 26 26 30 39 24 27 7 7 10 33 22 8 27 10 37 18 28 32 14 27 23 16 14 17 37 3 4 9 4 28 41 9 8 31 28 11 39 42 38 0 0 22 3 2 22 37 3 14 24 13 19 32 19 18 7 1 26 38 28 32 34 16 0 18 14 16 0 41 0 38 1 29 29 13 21 25 4 12 0 0 9 21 28 3 6 3 23 13 1 26 37 8 15 42 23 41 14 27 9 5 17 5 29 18 8 16 2 8 16 25 8 7 26 6 16 4 19 23 37 21 1 19 5 1 20 29 9 10 28 5 12 30 28 20 29 31 7 19 33 27 5 11 38 26 15 15 8 20 6 37 42 14 37 6 12 0 32 4 2 12 19 23 34 38 39 33 14 5 11 23 41 3 36 42 33 31 37 31 40 20 38 23 22 0 18 9 24 13 28 30 39 24 36 40 15 32 34 18 21 23 37 23 36 17 33 35 12"
2,1,-0.6454,0.9231,0.9256,-0.2195,0.2210,"20 4 33 28 21 40 33 5 14 25 12 13 8 33 41 5 34 9 25 36 2 5 34 19 2 38 14 17 39 32 10 12 13 4 36 8 2 7 31 29 24 33 1 22 9 6 37 39 41 7 0 16 23 8 37 39 1 42 38 34 23 40 10 6 25 27 40 41 13 18 20 1 21 23 18 28 1 6 10 17 27 12 31 40 40 13 41 14 19 38 34 33 18 1 32 12 9 25 33 35 21 6 8 24 26 25 23 19 28 16 39 6 26 22 29 6 1 24 4 10 39 35 7 11 19 35 33 37 10 17 13 8 6 36 36 20 1 6 6 36 13 28 30 27 0 6 20 5 33 22 28 33 16 33 12 20 39 2 32 1 13 36 10 8 3 39 5 34 40 0 37 36 16 16 16 4 5 26 8 33 39 17 42 5 23 4 5 8 4 25 42 22 7 16 9 24 19 13 20 26 5 41 20 32 23 13 31 6 39 40 21 29 30 31 3 39 15 2 34 35 6 24 24 31 39 14 39 20 2 10 27 41 33 2 27 30 7 36 27 3 39 18 27 26 14 11 25 14 15 32 36 34 21 31 25 23 26 36 16 23 1 23 23 42 11 23 13 3 23 23 6 15 4 29 31 18 29 27 21 24 15 13 18 38 19 6 33 15 8 13 24 21 1 26 26 30 39 24 27 7 7 10 33 22 8 27 10 37 18 28 32 14 27 23 16 14 17 37 3 4 9 4 28 41 9 8 31 28 11 39 42 38 0 0 22 3 2 22 37 3 14 24 13 19 32 19 18 7 1 26 38 28 32 34 16 0 18 14 16 0 41 0 38 1 29 29 13 21 25 4 12 0 0 9 21 28 3 6 3 23 13 1 26 37 8 15 42 23 41 14 27 9 5 17 5 29 18 8 16 2 8 16 25 8 7 26 6 16 4 19 23 37 21 1 19 5 1 20 29 9 10 28 5 12 30 28 20 29 31 7 19 33 27 5 11 38 26 15 15 8 20 6 37 42 14 37 6 12 0 32 4 2 12 19 23 34 38 39 33 14 5 11 23 41 3 36 42 33 31 37 31 40 20 38 23 22 0 18 9 24 13 28 30 39 24 36 40 15 32 34 18 21 23 37 23 36 17 33 35 12"
3,2,-0.6460,0.9184,0.9079,-0.2205,0.2232,"20 4 33 28 21 40 33 5 14 25 12 13 8 33 41 13 34 9 25 36 2 5 34 19 2 38 14 17 39 32 10 12 13 4 36 8 2 7 31 29 24 33 1 22 9 6 37 39 41 7 0 16 23 8 37 39 1 42 38 34 23 40 10 6 25 27 40 41 13 18 20 1 21 23 18 28 1 6 10 17 27 12 31 40 40 13 41 14 19 38 34 33 18 1 32 12 9 25 33 35 14 20 39 7 33 38 13 8 36 8 27 18 7 14 31 2 20 12 41 12 6 11 35 22 4 41 2 22 8 8 6 33 17 16 5 25 15 8 23 8 30 8 1 37 9 7 9 15 0 42 1 8 29 22 8 16 36 31 7 23 7 8 29 18 37 1 26 12 39 42 14 5 4 14 14 35 23 27 39 18 37 21 8 8 20 27 30 33 27 14 25 10 16 1 3 37 6 29 2 41 6 26 41 7 9 5 0 26 26 35 17 28 20 31 23 36 19 32 12 33 9 3 21 8 11 8 40 7 3 3 14 33 1 42 34 25 26 2 1 27 27 19 30 34 38 34 13 21 17 32 25 21 25 17 27 39 0 9 17 36 1 24 7 3 33 26 14 3 42 33 13 23 17 24 32 5 32 38 15 38 28 1 29 38 28 19 26 35 16 40 21 8 39 5 24 31 8 24 22 25 20 42 38 21 23 39 26 36 5 33 23 3 39 2 40 10 28 25 34 2 13 13 4 21 9 40 40 23 39 23 32 37 2 15 22 18 27 6 27 25 38 0 27 18 21 29 11 30 8 3 21 32 26 12 31 27 23 42 8 14 18 1 23 30 10 36 29 31 39 11 2 22 7 5 16 14 29 13 25 30 41 3 41 24 26 11 1 13 21 38 37 32 3 12 9 1 9 37 28 23 8 16 25 8 7 26 6 16 22 19 21 37 21 1 19 5 1 20 21 9 10 28 5 21 21 28 39 29 31 7 19 33 21 12 11 38 26 15 15 8 12 22 37 42 14 37 22 12 0 32 4 2 12 19 23 34 38 39 33 21 22 22 23 41 3 36 42 33 31 37 31 39 20 38 21 22 0 18 9 24 13 28 30 39 24 36 21 21 32 34 18 22 23 22 23 36 17 33 35 12"
4,3,-0.6523,0.9231,0.9025,-0.2173,0.1986,"20 4 33 39 21 40 33 12 14 25 12 37 8 34 35 5 34 9 25 36 2 5 36 19 2 38 14 17 39 34 10 12 13 4 36 39 2 7 31 29 24 33 1 22 9 12 35 35 41 7 0 39 23 8 37 39 1 42 38 39 23 40 35 6 25 39 40 41 13 18 20 1 21 35 18 34 1 6 36 17 36 34 31 40 40 13 41 14 19 38 34 33 18 1 32 12 9 25 33 34 14 20 39 7 33 38 13 42 36 8 27 18 12 14 31 2 20 12 41 12 6 11 35 22 4 41 2 22 8 32 6 33 17 16 5 25 15 3 23 19 30 4 1 37 9 2 9 15 0 42 1 26 29 22 27 16 36 31 42 23 21 30 29 18 37 1 26 12 39 42 14 5 4 14 14 35 23 27 39 18 37 21 22 5 20 27 30 33 27 14 25 10 16 1 3 37 6 29 2 41 42 29 22 18 26 20 29 5 16 11 8 2 9 7 8 8 3 41 8 42 8 11 11 42 17 30 26 37 0 15 26 22 8 39 8 18 4 7 33 7 1 7 7 14 1 23 5 0 9 34 42 15 17 8 28 30 29 24 32 11 41 7 8 20 9 7 14 30 7 34 41 23 13 33 31 24 34 35 19 23 25 31 8 14 36 27 27 22 29 29 18 2 0 13 8 32 9 7 32 8 42 27 1 19 8 25 11 6 7 2 27 18 12 26 13 7 26 26 20 28 12 38 14 39 31 12 35 27 27 26 24 39 24 10 37 39 1 36 36 27 25 21 27 25 23 27 36 12 25 27 5 24 27 25 39 26 27 14 24 30 10 33 39 9 2 32 27 1 3 35 26 26 27 7 27 27 25 8 31 26 39 16 3 15 17 6 26 27 39 12 27 13 3 10 23 36 41 37 21 32 41 6 4 29 25 21 20 40 38 32 42 17 30 3 17 39 11 34 27 14 20 26 19 34 40 34 38 35 1 29 31 12 2 32 36 31 9 40 25 39 16 7 28 27 25 39 25 27 25 35 32 14 42 9 37 39 39 26 39 27 39 41 6 33 27 35 17 24 26 6 25 12 25 25 20 2 39 11 2 14 2 28 26 17 10 39 17 1 38 30 25 20 26 7 1 37 19 42 17 34"
5,3,-0.6523,0.9231,0.9025,-0.2243,0.2208,"20 4 33 39 21 40 33 12 14 25 12 37 8 34 35 5 34 9 25 36 2 5 36 19 2 38 14 17 39 34 10 12 13 4 36 39 2 7 31 29 24 33 1 22 9 12 35 35 41 7 0 39 23 8 37 39 1 42 38 39 23 40 35 6 25 39 40 41 13 18 20 1 21 35 18 34 1 6 36 17 36 34 31 40 40 13 41 14 19 38 34 33 18 1 32 12 9 25 33 34 14 20 39 7 33 38 13 42 36 8 27 18 12 14 31 2 20 12 41 12 6 11 35 22 4 41 2 22 8 32 6 33 17 16 5 25 15 3 23 19 30 4 1 37 9 2 9 15 0 42 1 26 29 22 27 16 36 31 42 23 21 30 29 18 37 1 26 12 39 42 14 5 4 14 14 35 23 27 39 18 37 21 22 5 20 27 30 33 27 14 25 10 16 1 3 37 6 29 2 41 42 29 22 18 26 20 29 5 16 11 8 2 9 7 8 8 3 41 8 42 8 11 11 42 17 30 26 37 0 15 26 22 8 39 8 18 4 7 33 7 1 7 7 14 1 23 5 0 9 34 42 15 17 8 28 30 29 24 32 11 41 7 8 20 9 7 14 30 7 34 41 23 13 33 31 24 34 35 19 23 25 31 8 14 36 27 27 22 29 29 18 2 0 13 8 32 9 7 32 8 42 27 1 19 8 25 11 6 7 2 27 18 12 26 13 7 26 26 20 28 12 38 14 39 31 12 35 27 27 26 24 39 24 10 37 39 1 36 36 27 25 21 27 25 23 27 36 12 25 27 5 24 27 25 39 26 27 14 24 30 10 33 39 9 2 32 27 1 3 35 26 26 27 7 27 27 25 8 31 26 39 16 3 15 17 6 26 27 39 12 27 13 3 10 23 36 41 37 21 32 41 6 4 29 25 21 20 40 38 32 42 17 30 3 17 39 11 34 27 14 20 26 19 34 40 34 38 35 1 29 31 12 2 32 36 31 9 40 25 39 16 7 28 27 25 39 25 27 25 35 32 14 42 9 37 39 39 26 39 27 39 41 6 33 27 35 17 24 26 6 25 12 25 25 20 2 39 11 2 14 2 28 26 17 10 39 17 1 38 30 25 20 26 7 1 37 19 42 17 34"
6,3,-0.6523,0.9231,0.9025,-0.2243,0.2201,"20 4 33 39 21 40 33 12 14 25 12 37 8 34 35 5 34 9 25 36 2 5 36 19 2 38 14 17 39 34 10 12 13 4 36 39 2 7 31 29 24 33 1 22 9 12 35 35 41 7 0 39 23 8 37 39 1 42 38 39 23 40 35 6 25 39 40 41 13 18 20 1 21 35 18 34 1 6 36 17 36 34 31 40 40 13 41 14 19 38 34 33 18 1 32 12 9 25 33 34 14 20 39 7 33 38 13 42 36 8 27 18 12 14 31 2 20 12 41 12 6 11 35 22 4 41 2 22 8 32 6 33 17 16 5 25 15 3 23 19 30 4 1 37 9 2 9 15 0 42 1 26 29 22 27 16 36 31 42 23 21 30 29 18 37 1 26 12 39 42 14 5 4 14 14 35 23 27 39 18 37 21 22 5 20 27 30 33 27 14 25 10 16 1 3 37 6 29 2 41 42 29 22 18 26 20 29 5 16 11 8 2 9 7 8 8 3 41 8 42 8 11 11 42 17 30 26 37 0 15 26 22 8 39 8 18 4 7 33 7 1 7 7 14 1 23 5 0 9 34 42 15 17 8 28 30 29 24 32 11 41 7 8 20 9 7 14 30 7 34 41 23 13 33 31 24 34 35 19 23 25 31 8 14 36 27 27 22 29 29 18 2 0 13 8 32 9 7 32 8 42 27 1 19 8 25 11 6 7 2 27 18 12 26 13 7 26 26 20 28 12 38 14 39 31 12 35 27 27 26 24 39 24 10 37 39 1 36 36 27 25 21 27 25 23 27 36 12 25 27 5 24 27 25 39 26 27 14 24 30 10 33 39 9 2 32 27 1 3 35 26 26 27 7 27 27 25 8 31 26 39 16 3 15 17 6 26 27 39 12 27 13 3 10 23 36 41 37 21 32 41 6 4 29 25 21 20 40 38 32 42 17 30 3 17 39 11 34 27 14 20 26 19 34 40 34 38 35 1 29 31 12 2 32 36 31 9 40 25 39 16 7 28 27 25 39 25 27 25 35 32 14 42 9 37 39 39 26 39 27 39 41 6 33 27 35 17 24 26 6 25 12 25 25 20 2 39 11 2 14 2 28 26 17 10 39 17 1 38 30 25 20 26 7 1 37 19 42 17 34"
7,3,-0.6523,0.9231,0.9025,-0.2218,0.2212,"20 4 33 39 21 40 33 12 14 25 12 37 8 34 35 5 34 9 25 36 2 5 36 19 2 38 14 17 39 34 10 12 13 4 36 39 2 7 31 29 24 33 1 22 9 12 35 35 41 7 0 39 23 8 37 39 1 42 38 39 23 40 35 6 25 39 40 41 13 18 20 1 21 35 18 34 1 6 36 17 36 34 31 40 40 13 41 14 19 38 34 33 18 1 32 12 9 25 33 34 14 20 39 7 33 38 13 42 36 8 27 18 12 14 31 2 20 12 41 12 6 11 35 22 4 41 2 22 8 32 6 33 17 16 5 25 15 3 23 19 30 4 1 37 9 2 9 15 0 42 1 26 29 22 27 16 36 31 42 23 21 30 29 18 37 1 26 12 39 42 14 5 4 14 14 35 23 27 39 18 37 21 22 5 20 27 30 33 27 14 25 10 16 1 3 37 6 29 2 41 42 29 22 18 26 20 29 5 16 11 8 2 9 7 8 8 3 41 8 42 8 11 11 42 17 30 26 37 0 15 26 22 8 39 8 18 4 7 33 7 1 7 7 14 1 23 5 0 9 34 42 15 17 8 28 30 29 24 32 11 41 7 8 20 9 7 14 30 7 34 41 23 13 33 31 24 34 35 19 23 25 31 8 14 36 27 27 22 29 29 18 2 0 13 8 32 9 7 32 8 42 27 1 19 8 25 11 6 7 2 27 18 12 26 13 7 26 26 20 28 12 38 14 39 31 12 35 27 27 26 24 39 24 10 37 39 1 36 36 27 25 21 27 25 23 27 36 12 25 27 5 24 27 25 39 26 27 14 24 30 10 33 39 9 2 32 27 1 3 35 26 26 27 7 27 27 25 8 31 26 39 16 3 15 17 6 26 27 39 12 27 13 3 10 23 36 41 37 21 32 41 6 4 29 25 21 20 40 38 32 42 17 30 3 17 39 11 34 27 14 20 26 19 34 40 34 38 35 1 29 31 12 2 32 36 31 9 40 25 39 16 7 28 27 25 39 25 27 25 35 32 14 42 9 37 39 39 26 39 27 39 41 6 33 27 35 17 24 26 6 25 12 25 25 20 2 39 11 2 14 2 28 26 17 10 39 17 1 38 30 25 20 26 7 1 37 19 42 17 34"
8,3,-0.6523,0.9231,0.9025,-0.2281,0.2225,"20 4 33 39 21 40 33 12 14 25 12 37 8 34 35 5 34 9 25 36 2 5 36 19 2 38 14 17 39 34 10 12 13 4 36 39 2 7 31 29 24 33 1 22 9 12 35 35 41 7 0 39 23 8 37 39 1 42 38 39 23 40 35 6 25 39 40 41 13 18 20 1 21 35 18 34 1 6 36 17 36 34 31 40 40 13 41 14 19 38 34 33 18 1 32 12 9 25 33 34 14 20 39 7 33 38 13 42 36 8 27 18 12 14 31 2 20 12 41 12 6 11 35 22 4 41 2 22 8 32 6 33 17 16 5 25 15 3 23 19 30 4 1 37 9 2 9 15 0 42 1 26 29 22 27 16 36 31 42 23 21 30 29 18 37 1 26 12 39 42 14 5 4 14 14 35 23 27 39 18 37 21 22 5 20 27 30 33 27 14 25 10 16 1 3 37 6 29 2 41 42 29 22 18 26 20 29 5 16 11 8 2 9 7 8 8 3 41 8 42 8 11 11 42 17 30 26 37 0 15 26 22 8 39 8 18 4 7 33 7 1 7 7 14 1 23 5 0 9 34 42 15 17 8 28 30 29 24 32 11 41 7 8 20 9 7 14 30 7 34 41 23 13 33 31 24 34 35 19 23 25 31 8 14 36 27 27 22 29 29 18 2 0 13 8 32 9 7 32 8 42 27 1 19 8 25 11 6 7 2 27 18 12 26 13 7 26 26 20 28 12 38 14 39 31 12 35 27 27 26 24 39 24 10 37 39 1 36 36 27 25 21 27 25 23 27 36 12 25 27 5 24 27 25 39 26 27 14 24 30 10 33 39 9 2 32 27 1 3 35 26 26 27 7 27 27 25 8 31 26 39 16 3 15 17 6 26 27 39 12 27 13 3 10 23 36 41 37 21 32 41 6 4 29 25 21 20 40 38 32 42 17 30 3 17 39 11 34 27 14 20 26 19 34 40 34 38 35 1 29 31 12 2 32 36 31 9 40 25 39 16 7 28 27 25 39 25 27 25 35 32 14 42 9 37 39 39 26 39 27 39 41 6 33 27 35 17 24 26 6 25 12 25 25 20 2 39 11 2 14 2 28 26 17 10 39 17 1 38 30 25 20 26 7 1 37 19 42 17 34"
9,3,-0.6523,0.9231,0.9025,-0.2302,0.2017,"20 4 33 39 21 40 33 12 14 25 12 37 8 34 35 5 34 9 25 36 2 5 36 19 2 38 14 17 39 34 10 12 13 4 36 39 2 7 31 29 24 33 1 22 9 12 35 35 41 7 0 39 23 8 37 39 1 42 38 39 23 40 35 6 25 39 40 41 13 18 20 1 21 35 18 34 1 6 36 17 36 34 31 40 40 13 41 14 19 38 34 33 18 1 32 12 9 25 33 34 14 20 39 7 33 38 13 42 36 8 27 18 12 14 31 2 20 12 41 12 6 11 35 22 4 41 2 22 8 32 6 33 17 16 5 25 15 3 23 19 30 4 1 37 9 2 9 15 0 42 1 26 29 22 27 16 36 31 42 23 21 30 29 18 37 1 26 12 39 42 14 5 4 14 14 35 23 27 39 18 37 21 22 5 20 27 30 33 27 14 25 10 16 1 3 37 6 29 2 41 42 29 22 18 26 20 29 5 16 11 8 2 9 7 8 8 3 41 8 42 8 11 11 42 17 30 26 37 0 15 26 22 8 39 8 18 4 7 33 7 1 7 7 14 1 23 5 0 9 34 42 15 17 8 28 30 29 24 32 11 41 7 8 20 9 7 14 30 7 34 41 23 13 33 31 24 34 35 19 23 25 31 8 14 36 27 27 22 29 29 18 2 0 13 8 32 9 7 32 8 42 27 1 19 8 25 11 6 7 2 27 18 12 26 13 7 26 26 20 28 12 38 14 39 31 12 35 27 27 26 24 39 24 10 37 39 1 36 36 27 25 21 27 25 23 27 36 12 25 27 5 24 27 25 39 26 27 14 24 30 10 33 39 9 2 32 27 1 3 35 26 26 27 7 27 27 25 8 31 26 39 16 3 15 17 6 26 27 39 12 27 13 3 10 23 36 41 37 21 32 41 6 4 29 25 21 20 40 38 32 42 17 30 3 17 39 11 34 27 14 20 26 19 34 40 34 38 35 1 29 31 12 2 32 36 31 9 40 25 39 16 7 28 27 25 39 25 27 25 35 32 14 42 9 37 39 39 26 39 27 39 41 6 33 27 35 17 24 26 6 25 12 25 25 20 2 39 11 2 14 2 28 26 17 10 39 17 1 38 30 25 20 26 7 1 37 19 42 17 34"
