rank,fitness,winrate,genome
1,-0.7124,0.9762,"22 21 17 18 10 2 17 21 21 21 39 2 10 20 22 21 20 12 32 39 2 21 7 2 39 21 29 29 29 5 10 19 19 10 36 20 18 21 23 21 21 21 24 11 23 28 39 39 14 30 17 3 34 23 12 33 39 23 22 35 39 28 39 1 2 12 18 39 39 39 39 21 2 28 18 39 12 12 21 9 19 9 18 39 39 29 18 31 20 11 19 12 18 12 18 11 21 39 21 19 11 23 39 24 2 24 12 24 9 23 9 11 39 2 8 23 12 10 24 2 8 24 9 39 7 23 39 23 24 12 23 11 7 23 10 11 2 12 42 9 2 7 23 2 24 9 39 2 7 2 39 27 11 18 7 9 11 23 10 2 24 23 23 8 7 12 9 7 23 5 12 24 23 42 7 39 23 11 35 11 8 24 12 11 23 31 24 2 24 23 9 39 12 40 17 30 23 11 11 38 22 19 23 16 20 39 41 29 21 12 0 24 41 24 19 20 40 28 7 27 24 24 29 28 29 23 23 19 12 41 18 20 12 20 12 19 0 23 19 22 20 19 41 12 39 3 39 8 12 15 19 21 27 22 20 39 28 14 14 22 22 0 23 20 39 39 12 30 1 22 7 39 12 2 16 20 26 19 22 0 35 11 3 27 34 12 2 22 20 39 12 22 12 12 28 37 39 25 30 28 22 7 39 1 19 20 22 20 0 17 3 39 12 12 19 23 39 12 19 22 12 20 12 39 39 19 3 14 23 32 24 20 12 2 39 23 39 19 20 12 24 12 8 0 41 3 18 39 39 39 39 23 39 34 24 19 19 12 23 22 19 24 39 24 20 20 24 23 12 24 23 34 7 20 23 24 19 12 36 12 20 39 12 7 24 39 23 18 23 7 23 17 23 24 12 24 5 12 9 15 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 37 39 21 10 21 28 30 32 32 7 23 6 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 38 1 37 13 26 28 37 32 36 40 10 11 37 8 29 30 38 32 37 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 17 14 12 15 39 24 12 21 1 34 0 8 5"
2,-0.7007,0.9800,"22 8 30 39 10 2 28 29 7 39 39 2 10 20 2 21 20 12 32 39 2 21 7 2 39 21 29 29 29 5 7 19 19 8 36 8 20 7 23 2 27 21 8 11 23 28 39 30 14 30 10 3 34 23 8 33 31 23 22 35 39 8 28 1 2 20 10 2 8 39 39 7 2 8 8 39 12 22 21 9 19 9 20 39 39 29 12 7 20 11 7 12 39 12 29 11 39 39 7 19 25 34 4 8 25 27 10 25 2 9 42 14 27 39 41 18 17 2 2 10 34 8 11 16 18 39 18 18 27 7 2 4 2 27 7 18 27 9 39 2 2 8 26 17 12 18 18 34 18 12 26 34 12 39 25 9 10 12 17 26 18 40 27 26 2 9 26 12 21 17 18 11 40 25 27 25 12 25 30 39 18 2 40 12 36 18 27 39 41 18 9 12 26 27 27 25 18 17 18 25 22 25 23 12 20 39 41 29 30 12 0 24 24 24 23 27 23 23 13 23 23 24 28 24 29 23 24 23 39 41 18 23 12 30 12 12 0 23 39 22 27 29 24 39 39 3 21 28 28 0 28 28 23 22 36 24 28 14 14 22 22 24 23 23 39 39 29 23 1 29 7 39 39 23 16 29 23 39 22 12 35 12 28 27 34 15 2 22 24 39 39 22 12 12 39 37 39 12 12 12 22 7 8 1 24 8 22 2 0 17 23 39 42 19 10 23 39 9 10 22 42 20 12 39 39 19 18 14 21 32 7 26 12 2 39 23 12 19 37 12 24 23 8 17 34 19 18 39 39 7 39 23 39 34 8 18 23 24 23 22 10 24 39 10 7 20 21 12 34 12 23 34 7 38 23 42 23 12 36 12 21 39 23 7 24 39 23 18 23 7 23 17 23 20 12 12 5 12 9 15 35 0 36 12 14 5 17 12 1 35 41 19 2 38 33 1 17 39 21 10 42 28 30 32 32 7 23 6 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 12 10 0 38 1 37 13 26 28 37 32 36 33 10 11 37 8 29 30 38 32 37 3 0 22 24 11 12 12 12 15 20 7 20 33 15 5 2 14 12 15 39 24 12 21 1 34 12 8 5"
3,-0.7005,0.9800,"22 8 30 39 10 2 28 29 7 39 39 2 10 20 2 21 20 12 32 39 2 21 7 2 39 21 29 29 29 5 7 19 19 8 36 8 20 7 23 2 27 21 8 11 23 28 39 30 14 30 10 3 34 23 8 33 31 23 22 35 39 8 28 1 2 20 10 2 8 39 39 7 2 8 8 39 12 22 21 9 19 9 20 39 39 29 12 7 20 11 7 12 39 12 29 11 39 39 7 19 25 34 4 8 25 27 10 25 2 9 42 14 27 39 41 18 17 2 2 10 34 8 11 16 18 39 18 18 27 7 2 4 2 27 7 18 27 9 39 2 2 8 26 17 12 18 18 34 18 12 26 34 12 39 25 9 10 12 17 26 18 40 27 26 2 9 26 12 21 17 18 11 40 25 27 25 12 25 30 39 18 2 40 12 36 18 27 39 41 18 9 12 26 27 27 25 18 17 18 25 22 25 23 16 20 39 41 29 30 12 0 24 41 24 0 27 23 28 13 27 24 24 28 28 29 23 23 19 39 41 18 28 12 30 12 12 0 23 39 22 27 29 41 39 39 3 21 28 28 0 28 28 27 22 36 24 28 14 14 22 22 0 23 39 39 39 29 30 1 29 7 39 39 29 16 29 26 39 22 0 35 11 28 27 34 15 2 22 30 39 39 22 12 12 39 37 39 25 30 28 22 7 8 1 24 8 22 2 0 17 23 39 42 19 10 23 39 9 10 22 42 20 12 39 39 19 18 14 21 32 7 26 12 2 39 23 12 19 37 12 24 23 8 17 34 19 18 39 39 7 39 23 39 34 8 18 23 24 23 22 10 24 39 10 7 20 21 12 34 12 23 34 7 38 23 42 23 12 36 12 21 39 23 7 24 39 23 18 23 7 23 17 23 20 12 12 5 12 9 15 35 0 36 37 14 5 17 19 1 35 41 19 2 38 33 1 17 39 21 10 42 28 30 32 32 7 23 6 6 12 29 27 32 22 14 0 17 13 23 15 31 41 12 42 1 16 6 3 37 15 10 10 0 38 1 37 13 26 28 37 32 36 33 10 11 37 8 29 30 38 32 37 3 0 22 24 11 12 12 3 28 20 7 20 33 15 5 2 14 12 15 39 24 12 21 1 34 0 8 5"
4,-0.5797,0.8750,"7 8 30 2 12 2 28 3 7 2 11 2 39 39 2 8 20 24 32 3 23 24 7 2 39 2 29 29 29 7 12 23 10 2 2 8 2 7 2 2 27 11 2 2 23 28 8 23 2 30 12 39 34 23 8 33 10 23 24 39 39 12 2 2 7 12 7 12 8 39 39 39 39 8 8 12 2 2 2 9 19 11 42 39 23 29 24 7 24 23 2 2 2 5 10 11 39 39 4 2 7 39 20 33 39 23 39 8 9 23 12 23 19 23 11 12 23 10 20 32 23 12 24 33 12 39 27 11 12 27 12 26 12 39 39 32 23 19 20 12 25 7 23 12 23 26 23 23 23 12 26 12 27 23 26 20 27 2 39 10 39 23 36 39 18 39 12 19 33 27 29 26 39 21 11 23 2 27 10 25 10 23 20 9 27 29 27 23 2 19 12 12 12 8 8 20 20 20 23 23 26 8 23 12 20 25 41 12 7 25 39 7 41 8 23 27 23 23 13 12 12 2 28 13 29 39 24 2 26 39 12 2 2 23 12 25 23 39 25 22 39 29 23 2 8 12 21 2 26 25 27 39 23 39 36 24 25 12 2 12 22 42 23 0 39 39 7 7 39 29 7 39 12 7 26 29 23 39 39 12 35 12 28 0 8 7 24 22 42 39 39 2 12 2 39 37 39 12 12 39 12 7 3 29 12 24 22 27 0 17 28 0 28 19 23 25 29 11 23 39 25 30 12 11 12 19 29 2 21 14 28 0 26 12 39 23 12 12 37 12 24 23 39 1 12 19 18 41 3 11 26 12 39 25 24 18 23 10 23 22 39 23 1 12 11 0 39 12 28 12 23 23 7 24 39 42 23 12 36 12 2 39 23 12 11 23 23 18 23 28 29 29 23 20 10 12 39 12 39 2 31 28 39 31 32 34 39 35 32 20 39 12 35 12 28 32 6 20 39 36 2 0 20 28 31 34 31 12 19 33 19 36 33 31 29 36 39 28 35 11 32 10 0 39 39 12 23 29 11 9 29 20 12 12 20 32 39 12 39 28 31 39 11 9 32 29 34 20 19 39 34 12 12 0 29 8 31 10 32 34 12 31 36 36 12 32 12 12 29 7 2 39 12 35 31 39 12 36 28 33"
5,-0.5666,0.8600,"7 8 29 2 12 2 28 12 7 2 11 2 39 39 2 28 20 28 32 3 23 24 7 2 39 2 29 29 29 7 30 23 29 2 2 8 30 39 2 2 30 29 2 2 23 28 8 23 30 12 12 39 34 23 8 33 10 23 24 39 39 30 2 2 7 30 7 12 8 39 39 39 39 39 8 12 2 29 2 9 28 11 42 39 23 29 24 7 24 23 2 2 28 28 29 11 39 39 4 2 7 39 21 33 21 23 39 8 21 23 12 23 19 12 11 12 23 10 20 32 23 12 24 33 39 39 33 11 27 19 12 12 21 21 22 32 23 21 20 12 39 7 23 12 21 39 23 13 23 12 21 12 12 23 12 20 19 2 39 21 39 23 36 39 18 39 12 19 33 23 29 20 21 21 12 23 2 31 10 22 10 23 22 9 12 21 12 23 2 19 12 12 12 8 8 20 20 20 23 23 26 8 23 12 20 25 41 12 7 25 39 7 41 8 23 27 0 23 13 12 12 2 28 13 29 39 24 2 26 39 12 2 2 23 12 25 23 39 25 22 39 29 23 2 8 12 21 2 26 25 27 39 23 39 36 24 25 12 2 12 22 42 23 0 39 39 7 7 39 29 7 39 12 7 26 29 23 39 39 12 35 12 28 0 8 7 24 22 42 39 39 2 12 2 39 37 39 12 12 39 22 7 7 29 12 8 22 7 7 17 28 0 8 19 10 25 29 11 0 7 25 30 12 11 2 19 29 2 8 8 8 0 26 8 39 23 12 19 37 12 24 23 39 1 12 19 18 41 3 8 26 23 39 25 29 18 23 10 23 22 39 26 39 12 11 0 39 12 28 12 8 7 7 28 39 42 23 39 8 12 2 39 23 12 11 12 23 18 23 0 29 29 23 20 10 12 39 12 39 2 20 28 39 12 19 20 39 19 23 32 12 12 41 19 35 0 3 39 39 25 2 0 31 36 12 34 31 14 20 12 12 36 32 12 35 36 12 5 35 11 32 12 0 12 19 12 23 39 11 12 34 39 19 12 13 32 12 34 2 39 30 12 11 9 35 35 34 39 12 20 19 11 39 0 23 8 39 19 29 34 12 31 31 12 12 39 8 12 23 7 2 32 23 35 12 2 35 36 20 39"
6,-0.5625,0.8571,"7 8 30 2 12 2 28 3 7 2 11 2 39 39 2 8 20 24 32 3 23 24 7 2 39 2 29 29 29 7 12 23 10 2 2 8 2 7 2 2 27 11 2 2 23 28 8 23 2 30 12 39 34 23 8 33 10 23 24 39 39 12 2 2 7 12 7 12 8 39 39 39 39 8 8 12 2 2 2 9 19 11 42 39 23 29 24 7 24 23 2 2 2 5 10 11 39 39 4 2 7 39 20 33 39 23 39 8 9 23 12 23 19 23 11 12 23 10 20 32 23 12 24 33 12 39 27 11 12 27 12 26 12 39 39 32 23 19 20 12 25 7 23 12 23 26 23 23 23 12 26 12 27 23 26 20 27 2 39 10 39 23 36 39 18 39 12 19 33 27 29 26 39 21 11 23 2 27 10 25 10 23 20 9 27 29 27 23 2 19 12 12 12 8 8 20 20 20 23 23 26 8 23 12 20 25 41 12 7 25 39 7 41 8 23 27 23 23 13 12 12 2 28 13 29 39 24 2 26 39 12 2 2 23 12 25 23 39 25 22 39 29 23 2 8 12 21 2 26 25 27 39 23 39 36 24 25 12 2 12 22 42 23 0 39 39 7 7 39 29 7 39 12 7 26 29 23 39 39 12 35 12 28 0 8 7 24 22 42 39 39 2 12 2 39 37 39 12 12 39 22 7 7 29 12 8 22 7 7 17 28 0 8 19 10 25 29 11 0 7 25 30 12 11 2 19 29 2 8 8 8 0 26 8 39 23 12 19 37 12 24 23 39 1 12 19 18 41 3 8 26 23 39 25 29 18 23 10 23 22 39 26 39 12 11 0 39 12 28 12 8 7 7 28 39 42 23 39 8 12 2 39 23 12 11 12 23 18 23 0 29 29 23 20 10 12 39 12 39 2 31 28 39 31 32 34 39 35 32 20 39 12 35 12 28 32 6 20 39 36 2 0 20 28 31 34 31 12 19 33 19 36 33 31 29 36 39 28 35 11 32 10 0 39 39 12 23 29 11 9 29 20 12 12 20 32 39 12 39 28 31 39 11 9 32 29 34 20 19 39 34 12 12 0 29 8 31 10 32 34 12 31 36 36 12 32 12 12 29 7 2 39 12 35 31 39 12 36 28 33"
7,-0.5520,0.8478,"7 8 30 2 12 2 28 3 7 2 11 2 39 39 2 8 20 24 32 3 23 24 7 2 39 2 29 29 29 7 12 23 10 2 2 8 2 7 2 2 27 11 2 2 23 28 8 23 2 30 12 39 34 23 8 33 10 23 24 39 39 12 2 2 7 12 7 12 8 39 39 39 39 8 8 12 2 2 2 9 19 11 42 39 23 29 24 7 24 23 2 2 2 5 10 11 39 39 4 2 7 39 20 33 39 23 39 8 9 23 12 23 19 23 11 12 23 10 20 32 23 12 24 33 12 39 27 11 12 27 12 26 12 39 39 32 23 19 20 12 25 7 23 12 23 26 23 23 23 12 26 12 27 23 26 20 27 2 39 10 39 23 36 39 18 39 12 19 33 27 29 26 39 21 11 23 2 27 10 25 10 23 20 9 27 29 27 23 2 19 12 12 12 8 8 20 20 20 23 23 26 8 23 12 20 25 41 12 7 25 39 7 41 8 23 27 23 23 13 12 12 2 28 13 29 39 24 2 26 39 12 2 2 23 12 25 23 39 25 22 39 29 23 2 8 12 21 2 26 25 27 39 23 39 36 24 25 12 2 12 22 42 23 0 39 39 7 7 39 29 7 39 12 7 26 29 23 39 39 12 35 12 28 0 8 7 24 22 42 39 39 2 12 2 39 37 39 12 12 39 12 7 3 29 12 24 22 27 0 17 28 0 28 19 23 25 29 11 23 39 25 30 12 11 12 19 29 2 21 14 28 0 26 12 39 23 12 12 37 12 24 23 39 1 12 19 18 41 3 11 26 12 39 25 24 18 23 10 23 22 39 23 1 12 11 0 39 12 28 12 23 23 7 24 39 42 23 12 36 12 2 39 23 12 11 23 23 18 23 28 29 29 23 20 10 12 39 12 39 2 20 11 10 32 32 34 39 39 26 20 35 12 35 39 27 2 27 20 27 36 2 26 20 25 10 27 31 12 19 1 19 36 34 12 26 36 39 28 35 2 32 10 0 39 39 12 23 9 11 26 29 25 20 26 20 32 39 12 2 28 39 33 11 9 35 29 9 20 19 10 34 12 12 0 29 8 39 10 25 10 12 39 36 36 12 28 12 35 29 2 2 26 26 35 27 39 39 36 2 39"
8,-0.5173,0.8140,"7 8 21 2 12 2 28 3 7 2 21 2 39 39 2 8 20 22 32 3 23 24 7 2 22 2 29 29 29 7 12 23 10 22 2 8 2 7 2 2 27 11 2 2 23 28 8 23 2 39 12 39 34 23 8 12 10 23 24 39 39 39 2 2 7 22 7 12 8 39 39 39 39 8 8 12 12 2 2 9 19 11 42 39 23 12 24 7 24 23 2 2 2 5 10 22 39 39 4 2 7 39 20 33 39 23 39 8 9 23 12 23 19 23 11 12 23 10 20 32 23 12 24 33 12 39 27 11 12 27 12 26 12 39 39 32 23 19 20 12 25 7 23 12 23 26 23 23 23 12 26 12 27 23 26 39 27 2 39 10 39 23 36 39 18 39 12 19 33 27 29 26 39 21 11 23 2 27 10 25 10 23 20 9 27 29 27 23 2 19 12 12 12 8 8 20 20 20 23 23 26 2 23 12 20 2 28 12 7 10 39 7 41 8 2 27 23 23 13 30 12 2 28 30 29 30 24 10 26 39 29 2 2 23 12 25 11 39 29 22 39 29 23 12 8 30 21 10 26 25 27 39 30 28 2 39 39 12 10 12 22 42 23 11 30 39 39 7 39 29 7 39 12 7 26 29 23 39 39 10 11 12 28 0 8 7 24 22 42 39 39 2 12 10 39 12 39 2 12 39 12 7 3 29 12 24 22 27 0 17 28 0 28 19 23 25 29 11 23 39 25 30 12 11 2 19 29 2 21 3 28 0 26 12 39 2 12 19 37 12 24 23 39 1 12 19 12 41 3 12 26 23 39 25 24 18 23 10 23 22 39 23 1 12 11 0 39 2 28 12 23 23 7 24 39 42 23 39 36 12 2 39 23 12 11 23 23 18 23 28 29 29 23 42 10 12 39 12 39 2 20 28 39 12 19 20 39 19 23 32 12 12 41 19 35 0 3 39 39 1 2 0 31 36 12 34 31 14 20 12 12 36 32 12 35 36 12 5 35 11 32 12 0 12 19 12 23 39 11 12 34 39 19 12 13 32 12 34 2 39 30 12 11 9 35 35 34 39 12 20 19 11 39 0 23 8 39 19 29 34 12 31 31 12 12 1 8 12 23 7 2 32 23 35 12 2 35 36 20 39"
9,-0.4808,0.7750,"7 8 30 2 12 2 28 3 7 2 11 2 39 39 2 8 20 24 32 3 23 24 7 2 39 2 29 29 29 7 12 23 10 2 2 8 2 7 2 2 27 11 2 2 23 28 8 23 2 30 12 39 34 23 8 33 10 23 24 39 39 12 2 2 7 12 7 12 8 39 39 39 39 8 8 12 2 2 2 9 19 11 42 39 23 29 24 7 24 23 2 2 2 5 10 11 39 39 4 2 22 39 21 33 39 21 30 8 9 23 39 23 19 22 11 30 23 21 29 32 23 12 24 33 12 21 27 11 12 27 21 26 12 21 22 32 23 19 20 12 30 30 23 12 22 26 23 23 23 12 22 39 22 21 26 22 27 2 39 10 39 39 36 39 12 39 39 29 39 27 29 26 39 21 11 23 2 27 22 30 10 23 28 39 27 39 27 23 2 19 12 12 28 8 8 29 21 29 23 21 26 8 23 12 20 25 41 12 7 25 39 7 41 8 23 27 23 23 13 12 12 2 28 13 29 39 24 2 26 39 12 2 2 23 12 25 23 39 25 22 39 29 23 2 8 12 21 2 26 25 27 39 23 39 36 24 25 12 2 12 22 42 23 0 39 39 7 7 39 29 7 39 12 7 26 29 23 39 39 12 35 12 28 0 8 7 24 22 42 39 39 2 12 2 39 37 39 12 12 39 12 7 3 12 12 24 22 2 0 17 28 0 28 19 23 25 29 11 23 39 25 30 12 11 42 19 2 2 21 3 28 0 26 2 39 23 12 19 37 12 24 23 39 1 12 12 18 41 3 11 26 23 39 25 24 18 23 10 23 22 39 23 1 12 11 0 39 12 28 12 23 23 7 24 39 42 23 39 36 12 2 39 23 12 11 23 23 18 23 28 29 29 23 20 10 12 39 12 39 2 2 38 39 32 32 34 11 35 2 20 2 12 35 12 34 19 3 20 39 36 2 0 20 36 31 34 2 29 19 1 2 36 34 9 35 36 34 35 35 11 10 10 0 39 39 12 9 35 11 9 39 20 39 12 9 32 39 12 2 19 39 33 11 9 35 20 34 20 19 19 11 12 12 2 23 10 39 10 2 9 12 39 36 36 12 19 8 35 10 7 2 36 12 35 31 39 35 36 2 39"
10,-0.4642,0.7561,"7 8 24 2 21 2 24 3 7 2 11 2 23 12 2 8 20 9 10 39 2 2 22 12 2 39 23 29 29 11 12 39 9 23 2 12 2 9 2 10 11 12 24 2 23 28 39 39 2 23 11 2 9 23 8 33 9 23 5 39 23 12 9 2 7 9 39 23 8 39 12 23 39 8 9 12 2 39 2 39 19 11 24 39 9 39 11 12 39 11 2 2 2 5 11 9 39 11 23 2 12 39 20 18 18 23 39 8 18 23 12 23 19 23 11 12 23 10 20 17 23 17 12 18 12 39 27 11 12 27 12 26 12 39 39 32 23 19 20 12 25 18 17 12 18 17 18 23 23 39 26 12 27 23 26 20 27 2 39 12 39 18 36 39 18 39 12 19 33 27 12 26 39 21 11 23 17 27 18 25 10 23 20 18 27 29 27 12 2 19 12 12 12 17 8 20 20 20 23 23 38 21 23 21 39 21 41 12 7 25 39 39 41 8 23 22 23 23 13 12 12 12 28 21 29 39 24 2 26 21 12 2 2 23 12 25 21 39 25 22 12 22 23 2 39 12 21 2 26 25 27 39 23 39 36 24 25 22 2 12 22 42 23 0 39 21 7 7 39 29 7 39 22 7 26 29 23 39 39 12 35 12 28 0 8 7 22 22 42 39 39 21 12 2 39 37 39 12 12 39 12 7 3 29 12 24 22 27 0 17 28 0 28 19 23 25 29 11 23 39 25 30 12 11 12 19 29 2 21 14 28 0 26 12 39 23 12 12 37 12 24 23 39 1 12 19 18 41 3 11 26 12 39 25 24 18 23 10 23 22 39 23 1 12 11 0 39 12 28 12 23 23 7 24 39 42 23 12 36 12 2 39 23 12 11 23 23 18 23 28 29 29 23 20 10 12 39 12 39 2 11 38 39 32 32 34 39 35 19 20 35 12 2 12 34 19 3 20 39 9 10 0 9 36 31 34 31 29 19 1 19 36 34 12 35 10 34 35 35 11 32 10 0 39 39 12 11 35 11 9 39 39 20 12 20 32 39 12 2 19 39 11 10 9 35 20 34 20 11 19 10 12 12 10 23 8 11 10 29 34 12 31 10 36 12 19 9 9 9 7 39 36 2 35 31 11 35 36 2 11"
