# seed=2
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.5)
# mutation=p0=0.02,pMin=0.002,alpha=0.9
# tournamentK=3
# elitism=3
# lambda_similarity=0.3
# fights_per_team=20
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6733,0.9500,0.9224,-0.2107,0.2104,"30 28 34 14 2 39 28 16 25 12 39 27 13 14 31 18 32 6 33 33 40 38 14 12 15 21 35 33 18 19 20 12 33 30 29 0 5 39 8 38 1 19 8 5 33 8 0 0 41 26 33 7 28 25 1 1 16 8 6 4 35 12 41 18 30 30 38 24 27 40 10 16 28 1 14 35 25 27 25 23 33 25 5 23 2 6 21 31 10 5 8 13 39 8 32 35 5 2 36 37 36 6 12 29 20 2 27 21 1 19 31 27 28 17 41 29 26 1 20 10 23 2 8 10 0 9 41 1 10 14 18 20 0 2 11 14 9 37 6 40 38 8 9 17 11 13 20 42 41 12 27 42 19 13 3 14 30 8 41 38 35 40 29 41 29 0 33 18 28 42 17 9 19 31 13 28 16 32 0 13 36 11 0 32 39 37 24 35 36 35 21 10 37 20 16 20 1 38 34 15 1 32 40 28 41 28 3 21 38 29 37 40 37 28 33 30 40 19 41 41 6 14 25 8 20 23 32 37 18 1 29 11 39 12 16 26 22 16 8 39 24 13 11 42 15 8 42 1 15 36 19 3 37 8 39 32 19 2 36 40 32 23 38 2 17 4 31 0 17 9 38 0 28 9 21 4 4 16 22 26 37 24 17 42 7 11 26 41 22 6 11 22 42 1 34 14 15 29 34 33 34 12 14 37 10 32 16 5 9 27 33 2 30 32 37 24 0 39 9 1 40 21 14 32 31 10 32 18 32 17 25 20 21 17 40 22 10 38 4 6 1 12 2 31 31 21 1 5 42 38 26 41 0 25 8 12 17 1 27 37 17 13 37 11 35 10 3 31 38 35 40 16 1 32 0 4 34 2 40 35 27 12 8 19 9 19 21 32 30 37 14 41 15 2 23 29 3 0 3 41 8 23 6 27 37 17 0 6 11 24 14 19 17 24 31 27 3 28 7 19 28 26 2 17 16 42 17 3 22 1 37 35 18 6 20 39 34 21 22 15 42 8 28 10 36 21 41 12 30 29 12 17 31 20 16 24 21 6 20 0 41 0 23 30 25 37 39 28 34 4 34 25 22 38 35 18 37 17 30 0 33 18 21 36 6 38 36 15 1 5 8 33 37 39 16 35 28 11 20 20"
1,2,-0.6738,0.9348,0.8699,-0.2743,0.1190,"23 17 6 25 40 20 7 24 0 22 42 23 36 10 24 0 23 18 37 37 39 29 24 10 24 39 36 32 3 19 39 25 31 15 22 14 26 20 25 15 10 23 10 30 17 33 12 26 14 6 2 23 23 24 21 11 18 19 39 1 38 23 17 36 37 23 42 31 23 5 35 31 21 10 14 15 23 21 23 11 5 19 3 21 5 39 34 27 21 15 4 13 30 39 24 31 4 26 23 39 34 35 12 37 3 6 42 38 42 23 36 17 10 40 22 34 12 36 37 40 27 34 12 35 10 35 27 30 6 24 0 32 17 4 29 26 28 21 5 42 15 23 14 25 19 41 36 36 20 31 13 42 40 4 5 35 6 40 33 8 9 39 24 29 35 12 17 12 33 42 39 35 30 23 12 9 36 30 42 10 15 35 12 11 31 18 8 12 35 34 12 30 34 22 7 11 11 0 36 20 6 12 38 11 16 16 3 10 24 1 15 31 27 17 14 1 10 11 22 21 9 21 26 26 2 9 10 30 3 27 2 42 4 42 29 11 35 11 34 9 2 34 35 5 5 41 11 39 29 41 23 36 39 9 0 39 23 39 17 20 2 31 10 8 11 6 28 41 10 37 39 15 38 31 3 19 9 34 41 33 39 25 11 2 28 14 8 41 0 41 0 0 22 5 21 26 25 11 28 26 21 12 14 12 21 25 19 26 18 12 17 39 27 17 27 17 7 25 20 14 22 26 5 19 21 26 27 0 10 16 26 2 39 21 20 12 1 39 12 8 19 22 27 26 25 12 12 27 21 12 12 26 12 17 19 26 20 22 12 25 19 12 26 26 12 35 39 0 22 42 22 21 12 28 32 21 21 19 31 26 39 25 22 39 8 39 26 25 22 27 32 31 40 26 8 12 13 25 12 19 42 31 22 27 22 21 25 37 0 11 12 2 12 5 41 11 19 26 41 14 24 16 41 15 18 4 12 4 14 1 1 3 4 32 1 31 33 26 29 37 35 34 34 5 36 33 21 5 7 21 12 2 36 31 18 12 14 27 37 0 0 31 11 41 34 1 29 34 20 15 18 36 9 42 7 7 42 15 15 19 29 25 34 17 24 39 42 22 3 20 41 4 12 8 36 32 1 1 0 3"
2,2,-0.6738,0.9348,0.8699,-0.2865,0.1422,"23 17 6 25 40 20 7 24 0 22 42 23 36 10 24 0 23 18 37 37 39 29 24 10 24 39 36 32 3 19 39 25 31 15 22 14 26 20 25 15 10 23 10 30 17 33 12 26 14 6 2 23 23 24 21 11 18 19 39 1 38 23 17 36 37 23 42 31 23 5 35 31 21 10 14 15 23 21 23 11 5 19 3 21 5 39 34 27 21 15 4 13 30 39 24 31 4 26 23 39 34 35 12 37 3 6 42 38 42 23 36 17 10 40 22 34 12 36 37 40 27 34 12 35 10 35 27 30 6 24 0 32 17 4 29 26 28 21 5 42 15 23 14 25 19 41 36 36 20 31 13 42 40 4 5 35 6 40 33 8 9 39 24 29 35 12 17 12 33 42 39 35 30 23 12 9 36 30 42 10 15 35 12 11 31 18 8 12 35 34 12 30 34 22 7 11 11 0 36 20 6 12 38 11 16 16 3 10 24 1 15 31 27 17 14 1 10 11 22 21 9 21 26 26 2 9 10 30 3 27 2 42 4 42 29 11 35 11 34 9 2 34 35 5 5 41 11 39 29 41 23 36 39 9 0 39 23 39 17 20 2 31 10 8 11 6 28 41 10 37 39 15 38 31 3 19 9 34 41 33 39 25 11 2 28 14 8 41 0 41 0 0 22 5 21 26 25 11 28 26 21 12 14 12 21 25 19 26 18 12 17 39 27 17 27 17 7 25 20 14 22 26 5 19 21 26 27 0 10 16 26 2 39 21 20 12 1 39 12 8 19 22 27 26 25 12 12 27 21 12 12 26 12 17 19 26 20 22 12 25 19 12 26 26 12 35 39 0 22 42 22 21 12 28 32 21 21 19 31 26 39 25 22 39 8 39 26 25 22 27 32 31 40 26 8 12 13 25 12 19 42 31 22 27 22 21 25 37 0 11 12 2 12 5 41 11 19 26 41 14 24 16 41 15 18 4 12 4 14 1 1 3 4 32 1 31 33 26 29 37 35 34 34 5 36 33 21 5 7 21 12 2 36 31 18 12 14 27 37 0 0 31 11 41 34 1 29 34 20 15 18 36 9 42 7 7 42 15 15 19 29 25 34 17 24 39 42 22 3 20 41 4 12 8 36 32 1 1 0 3"
3,3,-0.6747,0.9333,0.8621,-0.2861,0.1252,"2 20 25 32 19 39 16 20 35 2 0 39 15 34 12 12 11 19 38 12 19 19 20 20 41 41 10 27 20 34 20 19 35 20 35 32 12 19 21 28 30 39 16 39 18 22 18 39 19 20 19 20 11 20 15 0 10 24 19 20 19 26 20 18 19 39 12 19 40 0 39 38 30 3 3 8 35 0 12 20 31 19 19 23 9 12 19 10 26 12 19 19 42 20 13 4 20 19 19 2 34 16 24 41 23 34 11 14 34 5 20 36 2 29 27 1 34 2 33 39 2 23 27 1 36 12 13 5 36 40 34 0 34 33 23 24 14 27 21 38 39 22 33 2 34 24 24 40 22 34 23 5 35 35 33 24 13 25 17 0 16 11 15 10 2 29 4 22 39 2 27 35 23 22 35 24 34 39 12 23 23 0 31 35 24 39 4 34 2 34 2 23 24 35 39 2 29 2 16 34 18 40 27 4 35 24 21 39 42 10 2 18 12 9 40 2 39 15 26 20 12 27 17 0 0 18 3 15 36 41 39 39 40 25 25 39 17 26 2 25 21 17 39 20 17 15 2 2 17 41 18 14 4 42 28 25 14 28 28 39 26 21 1 17 19 1 16 18 39 13 33 0 25 12 38 18 16 25 2 18 14 26 25 20 32 14 15 12 2 36 8 25 2 13 17 34 26 27 12 36 34 12 14 37 10 32 16 5 9 27 33 34 36 32 39 24 0 39 9 1 40 21 14 32 31 35 32 18 32 17 25 20 21 17 40 36 10 38 4 6 1 12 2 31 35 21 1 5 42 38 26 41 0 25 8 36 35 1 27 37 17 35 37 11 35 10 36 31 39 39 34 36 1 32 0 36 34 2 40 35 27 12 35 19 9 19 21 35 30 35 14 41 15 2 23 29 3 0 3 41 39 23 6 27 33 17 0 6 11 24 14 19 17 24 31 27 3 28 7 19 31 26 2 17 16 31 17 3 22 1 37 35 32 31 20 39 34 39 22 33 42 33 28 10 36 21 41 12 30 29 12 17 31 20 16 24 21 6 20 0 41 0 39 30 39 37 39 31 34 39 34 25 22 33 35 18 37 17 30 0 33 18 31 32 39 38 36 15 31 5 8 33 37 39 39 12 28 11 20 20"
4,4,-0.6947,0.9348,0.8002,-0.2974,0.0978,"0 19 25 3 10 10 22 2 13 22 27 33 2 40 2 2 6 36 16 1 40 19 41 13 16 1 39 6 11 39 0 2 38 0 7 7 8 16 42 38 9 23 41 0 29 8 7 7 22 31 18 2 17 7 2 7 36 8 19 31 6 28 7 7 29 35 22 13 0 31 2 24 11 37 8 4 9 0 8 4 17 19 16 22 30 29 42 26 35 2 7 20 3 7 8 0 7 9 8 18 10 0 18 19 9 17 3 28 10 19 9 32 12 39 8 40 17 37 39 5 1 25 38 40 13 31 13 12 17 20 9 12 0 3 19 19 41 39 27 38 3 39 39 18 2 21 20 12 39 39 11 34 39 35 17 38 3 17 7 17 12 30 10 20 18 40 38 0 36 4 25 13 15 20 18 20 26 31 12 18 2 21 20 0 12 17 4 7 17 42 31 2 2 42 19 35 16 38 22 39 12 18 16 27 20 38 25 19 19 7 19 18 6 18 27 36 7 8 39 23 23 8 9 20 18 1 29 16 13 20 21 0 19 39 7 8 19 8 19 28 35 39 26 5 37 19 27 33 39 8 8 36 25 20 5 10 12 11 17 20 40 12 35 25 25 18 30 19 25 18 12 25 19 28 12 19 9 20 0 22 11 38 25 5 20 11 20 39 26 17 25 19 26 20 8 39 25 20 36 42 21 12 14 12 21 25 19 26 18 12 17 39 27 17 27 17 7 25 20 14 22 26 5 19 21 26 27 0 10 16 26 2 39 21 20 12 1 39 12 8 19 22 27 26 25 12 12 27 21 12 12 26 12 17 19 26 20 22 12 25 19 12 26 26 12 35 39 0 22 42 22 21 12 28 32 21 21 19 31 26 39 25 22 39 8 39 26 25 22 27 32 31 40 26 8 12 13 25 12 19 42 31 22 27 22 21 25 37 0 11 12 8 12 7 8 11 19 7 7 14 24 16 7 8 18 4 12 4 7 1 1 3 4 32 1 8 33 8 7 7 35 8 34 5 36 8 7 7 7 21 12 2 36 31 7 8 8 27 7 8 0 31 8 8 7 1 29 34 20 15 18 36 9 42 8 7 42 15 8 19 7 7 34 17 24 7 42 8 3 20 41 7 12 7 36 7 1 1 0 7"
5,5,-0.7241,0.9783,0.8472,-0.3044,0.1369,"2 16 25 2 4 13 16 12 39 2 3 2 34 12 18 3 11 3 38 2 29 2 25 14 0 26 25 29 33 28 25 33 18 12 12 12 26 1 27 29 3 39 28 37 12 18 39 25 13 18 25 3 17 11 36 26 10 18 12 39 3 18 36 25 12 39 25 12 41 25 18 38 29 26 39 18 7 0 36 12 27 17 30 23 25 10 30 10 2 18 31 12 34 35 17 17 1 38 19 2 16 12 29 27 23 0 39 14 30 11 20 2 2 29 4 1 25 27 27 39 19 25 2 27 39 29 13 2 12 33 12 31 29 33 26 24 14 27 39 39 33 22 39 12 3 29 39 40 30 25 30 5 27 23 33 32 12 25 17 0 30 28 25 33 2 29 33 22 32 24 26 33 23 22 39 26 39 0 9 39 26 0 26 35 0 30 4 39 2 12 3 39 27 30 39 23 29 38 29 12 7 40 20 2 7 7 39 19 42 2 2 7 12 24 24 22 5 15 8 20 20 29 2 0 23 23 7 7 36 41 4 24 40 39 2 19 7 8 0 12 12 38 23 24 32 24 8 28 8 32 8 14 8 20 2 8 12 23 28 12 13 33 24 12 19 1 12 39 2 8 12 0 33 20 2 13 2 8 37 30 2 27 7 20 12 24 15 23 23 24 39 39 2 8 23 2 11 24 24 8 33 32 39 8 30 25 20 34 27 37 23 33 27 19 1 0 18 25 25 31 40 12 39 31 34 7 23 0 7 41 12 7 10 7 26 7 41 41 12 7 8 33 18 32 25 23 41 29 13 22 32 38 13 32 7 15 3 25 9 28 11 31 37 20 28 26 35 12 3 21 41 29 33 32 3 39 15 7 4 26 0 27 39 12 25 20 9 0 42 25 39 15 37 0 8 20 31 26 20 27 11 32 33 39 32 31 40 37 31 33 33 34 37 4 33 25 16 33 33 33 12 33 17 19 30 31 32 30 4 0 30 2 31 39 32 28 5 29 33 9 31 31 32 39 12 5 36 31 24 32 6 31 33 18 3 26 19 3 12 31 14 0 32 20 23 38 2 22 39 39 31 27 32 1 12 31 31 33 24 31 27 32 13 31 39 0 12 32 33 39 39 12 31 28 35 33 33 33 39 32"
6,5,-0.7241,0.9783,0.8472,-0.3020,0.1341,"2 16 25 2 4 13 16 12 39 2 3 2 34 12 18 3 11 3 38 2 29 2 25 14 0 26 25 29 33 28 25 33 18 12 12 12 26 1 27 29 3 39 28 37 12 18 39 25 13 18 25 3 17 11 36 26 10 18 12 39 3 18 36 25 12 39 25 12 41 25 18 38 29 26 39 18 7 0 36 12 27 17 30 23 25 10 30 10 2 18 31 12 34 35 17 17 1 38 19 2 16 12 29 27 23 0 39 14 30 11 20 2 2 29 4 1 25 27 27 39 19 25 2 27 39 29 13 2 12 33 12 31 29 33 26 24 14 27 39 39 33 22 39 12 3 29 39 40 30 25 30 5 27 23 33 32 12 25 17 0 30 28 25 33 2 29 33 22 32 24 26 33 23 22 39 26 39 0 9 39 26 0 26 35 0 30 4 39 2 12 3 39 27 30 39 23 29 38 29 12 7 40 20 2 7 7 39 19 42 2 2 7 12 24 24 22 5 15 8 20 20 29 2 0 23 23 7 7 36 41 4 24 40 39 2 19 7 8 0 12 12 38 23 24 32 24 8 28 8 32 8 14 8 20 2 8 12 23 28 12 13 33 24 12 19 1 12 39 2 8 12 0 33 20 2 13 2 8 37 30 2 27 7 20 12 24 15 23 23 24 39 39 2 8 23 2 11 24 24 8 33 32 39 8 30 25 20 34 27 37 23 33 27 19 1 0 18 25 25 31 40 12 39 31 34 7 23 0 7 41 12 7 10 7 26 7 41 41 12 7 8 33 18 32 25 23 41 29 13 22 32 38 13 32 7 15 3 25 9 28 11 31 37 20 28 26 35 12 3 21 41 29 33 32 3 39 15 7 4 26 0 27 39 12 25 20 9 0 42 25 39 15 37 0 8 20 31 26 20 27 11 32 33 39 32 31 40 37 31 33 33 34 37 4 33 25 16 33 33 33 12 33 17 19 30 31 32 30 4 0 30 2 31 39 32 28 5 29 33 9 31 31 32 39 12 5 36 31 24 32 6 31 33 18 3 26 19 3 12 31 14 0 32 20 23 38 2 22 39 39 31 27 32 1 12 31 31 33 24 31 27 32 13 31 39 0 12 32 33 39 39 12 31 28 35 33 33 33 39 32"
7,5,-0.7241,0.9783,0.8472,-0.3008,0.1082,"2 16 25 2 4 13 16 12 39 2 3 2 34 12 18 3 11 3 38 2 29 2 25 14 0 26 25 29 33 28 25 33 18 12 12 12 26 1 27 29 3 39 28 37 12 18 39 25 13 18 25 3 17 11 36 26 10 18 12 39 3 18 36 25 12 39 25 12 41 25 18 38 29 26 39 18 7 0 36 12 27 17 30 23 25 10 30 10 2 18 31 12 34 35 17 17 1 38 19 2 16 12 29 27 23 0 39 14 30 11 20 2 2 29 4 1 25 27 27 39 19 25 2 27 39 29 13 2 12 33 12 31 29 33 26 24 14 27 39 39 33 22 39 12 3 29 39 40 30 25 30 5 27 23 33 32 12 25 17 0 30 28 25 33 2 29 33 22 32 24 26 33 23 22 39 26 39 0 9 39 26 0 26 35 0 30 4 39 2 12 3 39 27 30 39 23 29 38 29 12 7 40 20 2 7 7 39 19 42 2 2 7 12 24 24 22 5 15 8 20 20 29 2 0 23 23 7 7 36 41 4 24 40 39 2 19 7 8 0 12 12 38 23 24 32 24 8 28 8 32 8 14 8 20 2 8 12 23 28 12 13 33 24 12 19 1 12 39 2 8 12 0 33 20 2 13 2 8 37 30 2 27 7 20 12 24 15 23 23 24 39 39 2 8 23 2 11 24 24 8 33 32 39 8 30 25 20 34 27 37 23 33 27 19 1 0 18 25 25 31 40 12 39 31 34 7 23 0 7 41 12 7 10 7 26 7 41 41 12 7 8 33 18 32 25 23 41 29 13 22 32 38 13 32 7 15 3 25 9 28 11 31 37 20 28 26 35 12 3 21 41 29 33 32 3 39 15 7 4 26 0 27 39 12 25 20 9 0 42 25 39 15 37 0 8 20 31 26 20 27 11 32 33 39 32 31 40 37 31 33 33 34 37 4 33 25 16 33 33 33 12 33 17 19 30 31 32 30 4 0 30 2 31 39 32 28 5 29 33 9 31 31 32 39 12 5 36 31 24 32 6 31 33 18 3 26 19 3 12 31 14 0 32 20 23 38 2 22 39 39 31 27 32 1 12 31 31 33 24 31 27 32 13 31 39 0 12 32 33 39 39 12 31 28 35 33 33 33 39 32"
8,5,-0.7241,0.9783,0.8472,-0.3060,0.0836,"2 16 25 2 4 13 16 12 39 2 3 2 34 12 18 3 11 3 38 2 29 2 25 14 0 26 25 29 33 28 25 33 18 12 12 12 26 1 27 29 3 39 28 37 12 18 39 25 13 18 25 3 17 11 36 26 10 18 12 39 3 18 36 25 12 39 25 12 41 25 18 38 29 26 39 18 7 0 36 12 27 17 30 23 25 10 30 10 2 18 31 12 34 35 17 17 1 38 19 2 16 12 29 27 23 0 39 14 30 11 20 2 2 29 4 1 25 27 27 39 19 25 2 27 39 29 13 2 12 33 12 31 29 33 26 24 14 27 39 39 33 22 39 12 3 29 39 40 30 25 30 5 27 23 33 32 12 25 17 0 30 28 25 33 2 29 33 22 32 24 26 33 23 22 39 26 39 0 9 39 26 0 26 35 0 30 4 39 2 12 3 39 27 30 39 23 29 38 29 12 7 40 20 2 7 7 39 19 42 2 2 7 12 24 24 22 5 15 8 20 20 29 2 0 23 23 7 7 36 41 4 24 40 39 2 19 7 8 0 12 12 38 23 24 32 24 8 28 8 32 8 14 8 20 2 8 12 23 28 12 13 33 24 12 19 1 12 39 2 8 12 0 33 20 2 13 2 8 37 30 2 27 7 20 12 24 15 23 23 24 39 39 2 8 23 2 11 24 24 8 33 32 39 8 30 25 20 34 27 37 23 33 27 19 1 0 18 25 25 31 40 12 39 31 34 7 23 0 7 41 12 7 10 7 26 7 41 41 12 7 8 33 18 32 25 23 41 29 13 22 32 38 13 32 7 15 3 25 9 28 11 31 37 20 28 26 35 12 3 21 41 29 33 32 3 39 15 7 4 26 0 27 39 12 25 20 9 0 42 25 39 15 37 0 8 20 31 26 20 27 11 32 33 39 32 31 40 37 31 33 33 34 37 4 33 25 16 33 33 33 12 33 17 19 30 31 32 30 4 0 30 2 31 39 32 28 5 29 33 9 31 31 32 39 12 5 36 31 24 32 6 31 33 18 3 26 19 3 12 31 14 0 32 20 23 38 2 22 39 39 31 27 32 1 12 31 31 33 24 31 27 32 13 31 39 0 12 32 33 39 39 12 31 28 35 33 33 33 39 32"
9,5,-0.7241,0.9783,0.8472,-0.3068,0.1407,"2 16 25 2 4 13 16 12 39 2 3 2 34 12 18 3 11 3 38 2 29 2 25 14 0 26 25 29 33 28 25 33 18 12 12 12 26 1 27 29 3 39 28 37 12 18 39 25 13 18 25 3 17 11 36 26 10 18 12 39 3 18 36 25 12 39 25 12 41 25 18 38 29 26 39 18 7 0 36 12 27 17 30 23 25 10 30 10 2 18 31 12 34 35 17 17 1 38 19 2 16 12 29 27 23 0 39 14 30 11 20 2 2 29 4 1 25 27 27 39 19 25 2 27 39 29 13 2 12 33 12 31 29 33 26 24 14 27 39 39 33 22 39 12 3 29 39 40 30 25 30 5 27 23 33 32 12 25 17 0 30 28 25 33 2 29 33 22 32 24 26 33 23 22 39 26 39 0 9 39 26 0 26 35 0 30 4 39 2 12 3 39 27 30 39 23 29 38 29 12 7 40 20 2 7 7 39 19 42 2 2 7 12 24 24 22 5 15 8 20 20 29 2 0 23 23 7 7 36 41 4 24 40 39 2 19 7 8 0 12 12 38 23 24 32 24 8 28 8 32 8 14 8 20 2 8 12 23 28 12 13 33 24 12 19 1 12 39 2 8 12 0 33 20 2 13 2 8 37 30 2 27 7 20 12 24 15 23 23 24 39 39 2 8 23 2 11 24 24 8 33 32 39 8 30 25 20 34 27 37 23 33 27 19 1 0 18 25 25 31 40 12 39 31 34 7 23 0 7 41 12 7 10 7 26 7 41 41 12 7 8 33 18 32 25 23 41 29 13 22 32 38 13 32 7 15 3 25 9 28 11 31 37 20 28 26 35 12 3 21 41 29 33 32 3 39 15 7 4 26 0 27 39 12 25 20 9 0 42 25 39 15 37 0 8 20 31 26 20 27 11 32 33 39 32 31 40 37 31 33 33 34 37 4 33 25 16 33 33 33 12 33 17 19 30 31 32 30 4 0 30 2 31 39 32 28 5 29 33 9 31 31 32 39 12 5 36 31 24 32 6 31 33 18 3 26 19 3 12 31 14 0 32 20 23 38 2 22 39 39 31 27 32 1 12 31 31 33 24 31 27 32 13 31 39 0 12 32 33 39 39 12 31 28 35 33 33 33 39 32"
