rank,fitness,winrate,genome
1,-0.7066,1.0000,"26 25 11 33 0 12 25 39 4 0 39 36 2 41 10 26 36 7 25 25 12 1 0 39 36 12 27 28 3 0 0 22 2 39 27 35 0 3 35 25 0 41 12 12 27 39 2 25 26 40 39 29 36 36 27 25 35 34 27 37 25 39 0 12 34 6 34 42 22 0 38 11 10 12 0 30 12 12 35 36 2 27 36 11 9 25 2 12 27 39 12 0 10 27 36 26 21 2 38 30 3 33 12 0 2 18 2 26 27 2 28 32 10 0 26 9 2 0 12 21 2 2 13 37 0 35 2 2 0 12 3 3 0 0 17 10 12 31 42 27 15 2 0 9 12 2 25 3 9 12 3 5 0 20 40 21 26 2 19 26 26 31 20 11 23 3 11 1 12 12 39 40 33 0 31 0 2 2 3 3 3 2 39 25 7 0 12 2 12 2 2 40 12 11 2 16 12 2 41 32 0 2 39 2 3 16 8 8 7 0 12 0 12 7 2 2 8 8 7 33 27 8 20 0 0 18 28 7 5 4 10 2 8 8 2 8 11 2 2 2 41 7 0 0 2 12 2 8 3 7 38 11 2 2 7 8 8 0 2 0 2 8 3 2 0 7 42 7 5 8 2 8 7 7 7 8 1 7 29 2 4 7 7 17 0 7 7 31 8 2 0 7 12 2 8 33 41 3 7 34 33 34 25 39 41 20 12 2 37 29 26 11 23 17 24 10 23 8 32 27 39 0 11 28 28 41 3 22 10 17 39 10 39 23 30 23 39 24 24 29 29 24 27 39 29 12 24 12 31 23 9 7 23 25 32 4 12 18 12 0 32 26 10 17 41 24 23 12 38 3 29 39 37 23 25 34 37 30 39 29 32 38 23 16 32 9 39 33 26 26 12 37 0 24 23 39 27 34 0 33 29 34 23 29 12 0 28 25 36 11 25 33 27 27 32 29 30 30 9 30 35 29 0 12 41 12 25 14 39 36 36 28 23 31 28 39 25 25 39 34 26 12 11 25 28 25 39 35 35 26 3 32 26 36 26 11 25 2 2 32 25 36 9 12 32 0 40 28 23 30 30 3 33 29 0 0 12 9 12 36 12 12 25 12 12 23 36 30 38 25 12 28 27 12 34 12 0 29 25 34"
2,-0.6865,0.9804,"26 25 11 33 0 12 25 39 4 0 39 36 2 41 10 26 36 7 25 25 12 1 0 39 36 12 27 28 3 0 0 22 2 39 27 35 0 3 35 25 0 41 12 12 27 39 2 25 26 40 39 29 36 36 27 25 35 34 27 37 25 39 0 12 34 6 34 42 22 0 38 11 10 12 0 30 12 12 35 36 2 27 36 11 9 25 2 12 27 39 12 0 10 27 36 26 21 2 38 30 3 33 12 0 2 18 2 26 27 2 28 32 10 0 26 9 2 0 12 21 2 2 13 37 0 35 2 2 0 12 3 3 0 0 17 10 12 31 42 27 15 2 0 9 12 2 25 3 9 12 3 5 0 20 40 21 26 2 19 26 26 31 20 11 23 3 11 1 12 12 39 40 33 0 31 0 2 2 3 3 3 2 39 25 7 0 12 2 12 2 2 40 12 11 2 16 12 2 41 32 0 2 39 2 3 16 8 8 7 0 12 0 12 7 2 2 8 8 7 33 27 8 20 0 0 18 28 7 5 4 10 2 8 8 2 8 11 2 2 2 41 7 0 0 2 12 2 8 3 7 38 11 2 2 7 8 8 0 2 0 2 8 3 2 0 7 42 7 5 8 2 8 7 7 7 8 1 7 29 2 4 7 7 17 0 7 7 31 8 2 0 7 12 2 8 33 41 3 7 34 33 34 25 39 41 20 12 21 37 22 26 11 23 17 24 10 23 8 21 27 39 0 39 28 28 41 21 22 10 22 39 21 39 21 21 22 39 24 24 29 12 24 27 39 12 12 24 12 31 23 9 7 23 25 32 4 12 18 12 0 32 26 10 17 41 24 23 12 38 3 22 39 21 23 25 39 37 30 39 12 32 38 23 16 32 9 39 33 26 26 12 37 0 24 23 39 27 39 21 33 29 34 23 29 12 0 28 25 36 11 25 33 27 27 32 29 30 30 9 30 35 29 0 12 41 12 25 14 39 36 36 28 23 31 28 39 25 25 39 34 26 12 11 25 28 25 39 35 35 26 3 32 26 36 26 11 25 2 2 32 25 36 9 12 32 0 40 28 23 30 30 3 33 29 0 0 12 9 12 36 12 12 25 12 12 23 36 30 38 25 12 28 27 12 34 12 0 29 25 34"
3,-0.6857,0.9778,"36 25 11 33 3 12 25 12 4 0 39 36 2 41 10 3 36 7 34 35 39 1 0 39 36 12 0 28 3 0 0 22 2 10 0 35 0 3 35 35 0 41 12 15 12 39 2 36 12 40 12 29 36 36 0 2 35 34 34 37 36 39 0 3 34 18 34 42 22 0 36 11 10 12 0 30 39 30 35 36 2 34 36 11 9 10 2 1 35 39 28 0 10 35 36 28 21 2 38 30 2 33 4 22 2 2 10 26 27 2 28 32 10 0 26 9 2 20 0 21 37 2 5 37 0 35 12 4 2 12 5 12 0 2 17 10 12 31 42 27 40 2 2 5 3 2 25 39 9 12 35 5 0 2 40 21 26 2 19 26 26 31 20 2 23 3 11 1 2 12 39 2 2 0 31 0 2 25 3 2 1 20 39 25 7 0 12 25 12 9 1 2 2 11 2 16 9 2 41 32 0 2 39 33 2 16 8 0 7 8 12 0 0 7 33 20 8 8 2 33 27 3 20 31 0 18 28 33 31 4 10 5 38 39 2 9 11 30 37 2 41 7 0 0 0 7 2 8 3 7 38 11 7 38 8 2 8 0 2 0 3 8 3 8 0 7 27 0 5 8 2 8 7 7 7 8 1 14 29 32 4 7 7 17 0 33 7 31 8 2 7 7 15 7 8 33 3 3 8 34 33 34 25 39 41 20 12 9 37 33 26 3 32 17 33 4 32 8 32 27 20 0 11 2 0 41 2 22 32 17 39 10 2 2 33 0 39 38 32 3 29 24 27 39 2 12 41 12 31 39 5 7 23 2 32 4 31 2 31 0 32 26 0 17 41 12 8 16 38 3 21 0 37 42 25 34 37 22 39 15 32 38 37 16 32 31 0 33 26 26 26 37 0 5 10 39 27 34 0 33 22 39 21 9 27 25 17 27 10 11 18 33 12 12 16 29 30 26 11 36 1 12 12 36 22 22 39 14 29 39 17 11 11 30 39 18 25 12 21 0 12 11 39 10 21 20 30 2 28 30 39 9 12 10 12 11 12 17 21 39 10 10 22 40 22 0 11 17 39 30 2 18 12 31 22 12 39 10 31 18 39 21 17 21 39 39 17 29 30 26 39 12 28 28 9 29 16 39 29 39"
4,-0.5922,0.8864,"36 25 11 33 39 12 25 12 4 0 39 2 2 41 10 3 36 10 34 37 39 39 0 39 36 10 15 28 9 0 12 22 2 10 0 11 2 3 10 35 0 41 12 11 12 39 2 12 12 40 12 29 36 36 0 2 35 34 34 37 12 39 0 3 34 6 34 42 22 0 36 39 10 12 0 30 9 12 35 12 2 37 36 11 10 10 10 1 39 39 28 0 10 35 36 28 21 12 38 30 3 33 12 0 2 18 2 26 27 2 28 32 10 0 26 9 2 0 12 21 2 2 13 37 0 35 2 2 0 12 3 3 0 0 17 10 12 31 42 27 15 2 0 9 12 2 25 3 9 12 3 5 0 20 40 21 26 2 19 26 26 31 20 11 23 3 11 1 12 12 39 40 33 0 31 0 2 2 3 3 3 2 39 25 7 0 12 2 12 2 2 40 12 11 2 16 12 2 41 32 0 2 39 2 3 16 8 8 7 0 12 0 12 7 2 2 8 8 7 33 27 8 20 0 0 18 28 7 5 4 10 2 8 8 2 8 11 2 2 2 41 7 0 0 2 12 2 8 3 7 38 11 2 2 7 8 8 0 2 0 2 8 3 2 0 7 42 7 5 8 2 8 7 7 7 8 1 7 29 2 4 7 7 17 0 7 7 31 8 2 0 7 12 2 8 33 41 3 7 34 33 34 25 39 41 20 12 9 37 33 26 3 32 17 33 4 32 8 32 27 20 0 11 28 0 41 3 22 32 17 39 10 2 18 33 0 39 38 32 3 29 24 27 39 2 12 41 12 31 39 37 7 23 25 32 4 31 18 31 0 32 26 0 17 41 12 8 16 38 3 21 0 37 42 25 34 37 22 39 15 32 38 37 16 32 31 0 33 26 26 26 37 0 5 10 39 27 34 0 33 29 34 23 29 12 0 28 25 36 11 25 33 27 27 32 29 30 30 9 30 35 29 0 12 41 12 25 14 39 36 36 28 23 31 28 39 25 25 39 34 26 12 11 25 28 25 39 35 35 26 3 32 26 36 26 11 25 2 2 32 25 36 9 12 32 0 40 28 23 30 30 3 33 29 0 0 12 9 12 36 12 12 25 12 12 23 36 30 38 25 12 28 27 12 34 12 0 29 25 34"
5,-0.5666,0.8649,"26 25 11 33 0 12 25 39 4 0 39 36 2 41 10 26 36 7 25 25 12 1 0 39 36 12 27 28 3 0 0 22 2 39 27 35 0 3 35 25 0 41 12 12 27 39 2 25 26 40 39 29 36 36 27 25 35 34 27 37 25 39 0 12 34 6 34 42 22 0 38 11 10 12 0 30 12 12 35 36 2 27 36 11 9 25 2 12 27 39 12 0 10 27 36 26 21 2 38 30 3 33 12 0 2 18 2 26 27 2 28 32 10 0 26 9 2 0 12 21 2 2 13 37 0 35 2 2 0 12 3 3 0 0 17 10 12 31 42 27 15 2 0 9 12 2 25 3 9 12 3 5 0 20 40 21 26 2 19 26 26 31 20 11 23 3 11 1 12 12 39 40 33 0 31 0 2 2 3 3 3 2 39 25 7 0 12 2 12 2 2 40 12 11 2 16 12 2 41 32 0 2 39 2 3 16 8 8 7 0 12 0 12 7 2 2 8 8 7 33 27 8 20 0 0 18 28 7 5 4 10 2 8 8 2 8 11 2 2 2 41 7 0 0 2 12 2 8 3 7 38 11 2 2 7 8 8 0 2 0 2 8 3 2 0 7 42 7 5 8 2 8 7 7 7 8 1 7 29 2 4 7 7 17 0 7 7 31 8 2 0 7 12 2 8 33 41 3 7 34 33 34 25 39 41 20 12 2 37 29 26 11 23 17 24 10 23 8 32 27 39 0 11 28 28 41 3 22 10 17 39 10 39 23 30 23 39 24 24 29 29 24 27 39 29 12 24 12 31 23 9 7 23 25 32 4 12 18 12 0 32 26 10 17 41 24 23 12 38 3 29 39 37 23 25 34 37 30 39 29 32 38 23 16 32 9 39 33 26 26 12 37 0 24 23 39 27 34 0 33 29 34 23 29 12 0 28 25 36 11 25 33 27 27 32 29 30 30 9 30 35 29 0 12 41 12 25 14 39 36 36 28 23 31 28 39 25 25 39 34 26 12 11 25 28 25 39 35 35 26 3 32 26 36 26 11 25 2 2 32 25 36 9 12 32 0 40 28 23 30 30 3 33 29 0 0 12 9 12 36 12 12 25 12 12 23 36 30 38 25 12 28 27 12 34 12 0 29 25 34"
6,-0.5563,0.8537,"26 39 11 33 0 12 25 39 4 0 39 36 2 12 27 26 36 7 25 39 12 1 0 39 39 12 27 28 26 0 0 22 2 39 27 35 0 3 35 39 0 39 12 12 27 12 2 39 25 40 39 29 36 12 27 25 25 34 25 37 26 39 0 12 34 6 34 42 12 0 38 11 10 12 26 30 12 12 35 36 26 27 27 27 9 25 2 12 27 39 12 0 10 27 39 26 21 2 38 27 3 33 12 0 2 18 2 26 27 2 28 32 10 0 26 9 2 0 12 21 2 2 13 37 0 35 2 2 0 12 3 3 0 0 17 10 12 31 42 27 15 2 0 9 12 2 25 3 9 12 3 5 0 20 40 21 26 2 19 26 26 31 20 11 23 3 11 1 12 12 39 40 33 0 31 0 2 2 3 3 3 2 39 25 7 0 12 2 12 2 2 40 12 11 2 16 12 2 41 32 0 2 39 2 3 16 8 8 7 0 12 0 12 7 2 2 8 8 7 33 27 8 20 0 0 18 28 7 5 4 10 2 8 8 2 8 11 2 2 2 41 7 0 0 2 12 2 8 3 7 38 11 2 2 7 8 8 0 2 0 2 8 3 2 0 7 42 7 5 8 2 8 7 7 7 8 1 7 29 2 4 7 7 17 0 7 7 31 8 2 0 7 12 2 8 33 41 3 7 34 33 34 25 39 41 20 12 2 37 29 26 11 23 17 24 10 23 8 32 27 39 0 11 28 28 41 3 22 10 17 39 10 39 23 30 23 39 24 24 29 29 24 27 39 29 12 24 12 31 23 9 7 23 25 32 4 12 18 12 0 32 26 10 17 41 24 23 12 38 3 29 39 37 23 25 34 37 30 39 29 32 38 23 16 32 9 39 33 26 26 12 37 0 24 23 39 27 34 0 33 29 34 23 29 12 0 28 25 36 11 25 33 27 27 32 29 30 30 9 30 35 29 0 12 41 12 25 14 39 36 36 28 23 31 28 39 25 25 39 34 26 12 11 25 28 25 39 35 35 26 3 32 26 36 26 11 25 2 2 32 25 36 9 12 32 0 40 28 23 30 30 3 33 29 0 0 12 9 12 36 12 12 25 12 12 23 36 30 38 25 12 28 27 12 34 12 0 29 25 34"
7,-0.5462,0.8444,"26 25 11 33 0 12 25 39 4 0 39 36 2 41 10 26 36 7 25 25 12 1 0 39 36 12 27 28 3 0 0 22 2 39 27 35 0 3 35 25 0 41 12 12 27 39 2 25 26 40 39 29 36 36 27 25 35 34 27 37 25 39 0 12 34 6 34 42 22 0 38 11 10 12 0 30 12 12 35 36 2 27 36 11 9 25 2 12 27 39 12 0 10 27 36 26 21 2 38 30 3 33 12 0 2 18 2 26 27 2 28 32 10 0 26 9 2 0 12 21 2 2 13 37 0 35 2 2 0 12 3 3 0 0 17 10 12 31 42 27 15 2 0 9 12 2 25 3 9 12 3 5 0 20 40 21 26 2 19 26 26 31 20 11 23 3 11 1 12 12 39 40 33 0 31 0 2 2 3 3 3 2 39 25 7 0 12 2 12 2 2 40 12 11 2 16 12 2 41 32 0 2 39 2 3 16 8 8 7 0 12 0 12 7 2 2 8 8 7 33 27 8 20 0 0 18 28 7 5 4 10 2 8 8 2 8 11 2 2 2 41 7 0 0 2 12 2 8 3 7 38 11 2 2 7 8 8 0 2 0 2 8 3 2 0 7 42 7 5 8 2 8 7 7 7 8 1 7 29 2 4 7 7 17 0 7 7 31 8 2 0 7 12 2 8 12 41 3 7 34 33 34 25 39 41 20 12 2 37 29 26 11 23 17 24 10 23 8 32 27 39 0 11 28 28 41 3 22 10 17 39 10 39 23 30 23 39 24 24 29 29 24 27 39 29 12 24 12 31 23 9 7 23 25 32 4 12 18 12 0 32 26 39 17 41 24 23 12 38 3 29 39 37 23 25 34 37 30 39 29 32 38 23 16 32 9 39 33 26 26 12 37 0 24 23 39 27 34 0 33 29 34 23 29 12 0 28 25 36 11 25 33 27 27 32 29 30 30 9 30 35 29 0 12 41 12 25 14 39 36 36 28 23 31 28 39 25 25 39 34 26 12 11 25 28 25 39 35 35 26 3 32 26 36 26 11 25 2 2 32 25 36 9 12 32 0 29 28 23 30 30 3 33 29 0 0 12 9 12 36 12 12 25 12 12 23 36 30 38 25 12 28 27 12 34 9 0 29 25 34"
8,-0.4923,0.7907,"26 25 11 33 0 12 25 39 4 0 39 36 2 41 10 26 36 7 25 25 12 1 0 39 36 12 27 28 3 0 0 22 2 39 27 35 0 3 35 25 0 41 12 12 27 39 2 25 26 40 39 29 36 36 27 25 35 34 27 37 25 39 0 12 34 6 34 42 22 0 38 11 10 12 0 30 12 12 35 36 2 27 36 11 9 25 2 12 27 39 12 0 10 27 36 26 21 2 38 30 3 33 12 0 2 18 2 26 27 2 28 32 10 0 26 9 2 0 12 21 2 2 13 37 0 35 2 2 0 12 3 3 0 0 17 10 12 31 42 27 15 2 0 9 12 2 25 3 9 12 3 5 0 20 40 21 26 2 19 26 26 31 20 11 23 3 11 1 12 12 39 40 33 0 31 0 2 2 3 3 3 2 39 25 7 0 12 2 12 2 2 40 12 11 2 16 12 2 41 32 0 2 39 2 3 16 8 8 7 0 12 0 12 7 2 2 8 8 7 33 27 8 20 0 0 18 28 7 5 4 10 2 8 8 2 8 11 2 2 2 41 7 0 0 2 12 2 8 3 7 38 11 2 2 7 8 8 0 2 0 2 8 3 2 0 7 42 7 5 8 2 8 7 7 7 8 1 7 29 2 4 7 7 17 0 7 7 31 8 2 0 7 12 2 8 33 41 3 7 34 33 34 25 39 41 20 12 2 37 29 26 11 23 17 24 10 23 8 32 27 39 0 11 28 28 41 3 22 10 17 39 10 39 23 30 12 39 15 24 29 29 24 27 39 29 12 24 12 31 23 9 7 23 25 32 4 12 18 12 0 32 26 10 17 41 24 23 12 12 3 29 39 37 23 25 34 37 30 39 29 32 38 23 16 32 9 39 33 26 26 12 37 0 24 23 39 12 34 0 33 29 34 23 29 12 0 28 25 36 11 25 33 27 27 32 29 30 30 9 30 35 29 0 12 41 12 25 14 39 36 36 28 23 31 28 39 25 25 39 34 26 12 11 25 28 25 39 35 35 26 3 32 26 36 26 11 25 2 2 32 25 36 9 12 32 0 40 28 23 30 30 3 33 29 0 0 12 9 12 36 12 12 25 12 12 23 36 30 38 25 12 28 27 12 34 12 0 29 25 34"
9,-0.4912,0.7857,"26 25 11 21 0 22 22 39 21 0 39 36 2 41 10 26 36 12 25 25 12 1 0 39 21 12 27 28 3 0 0 22 2 39 27 12 0 3 22 21 0 21 12 21 27 22 2 25 26 40 39 29 36 12 27 25 35 34 27 37 25 39 0 12 34 12 34 38 22 0 21 11 10 12 0 39 12 12 35 36 2 27 36 21 9 22 2 12 27 39 12 0 10 27 36 26 21 22 38 30 3 33 12 0 2 18 2 26 27 2 28 32 10 0 26 9 2 0 12 21 2 2 13 37 0 35 2 2 0 12 3 3 0 0 17 10 12 31 42 27 15 2 0 9 12 2 25 3 9 12 3 5 0 20 40 21 26 2 19 26 26 31 20 11 23 3 11 1 12 12 39 40 33 0 31 0 2 2 3 3 3 2 39 25 7 0 12 2 12 2 2 40 12 11 2 16 12 2 41 32 0 2 39 2 3 16 8 8 7 0 12 0 12 7 2 2 8 8 7 33 27 8 20 0 0 18 28 7 5 4 10 2 8 8 2 8 11 2 2 2 41 7 0 0 2 12 2 8 3 7 38 11 2 2 7 8 8 0 2 0 2 8 3 2 0 7 42 7 5 8 2 8 7 7 7 8 1 7 29 2 4 7 7 17 0 7 7 31 8 2 0 7 12 2 8 33 41 3 7 34 33 34 25 39 41 20 12 21 37 21 26 12 39 17 24 10 23 22 32 21 39 0 11 28 28 41 3 22 10 17 39 10 39 23 30 23 39 24 24 21 29 24 27 39 29 12 24 39 31 23 9 22 23 25 21 4 12 18 12 21 32 26 10 17 22 24 23 22 38 3 29 39 37 23 39 34 37 30 39 29 32 38 23 16 21 22 39 33 26 26 12 37 0 24 23 21 27 34 0 33 29 34 23 29 12 0 28 25 36 2 25 33 27 27 32 29 30 30 9 5 35 29 0 12 41 12 25 14 39 36 36 28 23 31 28 39 25 25 39 34 26 12 11 25 28 25 39 35 35 26 3 32 26 36 26 11 25 2 2 32 25 36 9 12 32 0 40 28 23 30 30 3 33 29 0 0 12 9 12 36 12 12 25 12 12 23 36 30 38 25 12 28 27 12 34 12 0 29 25 34"
10,-0.4896,0.7857,"26 25 11 33 0 12 25 39 10 0 39 36 2 41 10 26 36 7 25 25 12 39 0 39 36 12 27 11 3 0 10 22 11 39 9 35 0 11 35 25 10 10 12 12 27 9 9 25 9 11 39 29 10 36 27 25 35 34 10 37 25 39 10 12 34 11 34 42 22 0 38 11 10 11 0 30 10 12 35 36 2 27 36 11 39 25 9 12 27 39 11 0 10 27 36 9 21 2 2 30 3 33 12 0 2 18 2 26 27 2 28 32 10 0 26 9 2 0 12 21 2 2 13 37 0 35 2 2 0 12 3 3 0 0 17 10 12 31 42 27 15 2 0 9 12 2 25 3 9 12 3 5 0 20 40 21 26 2 19 26 26 31 20 11 23 3 11 1 12 12 39 40 33 0 31 0 2 2 3 3 3 2 39 25 7 0 12 2 12 2 2 40 12 11 2 16 12 2 41 32 0 2 39 2 3 16 8 8 7 0 12 0 12 7 2 2 8 8 7 33 27 8 20 0 0 18 28 7 5 4 10 2 8 8 2 8 11 2 2 2 41 7 0 0 2 12 2 8 3 7 38 11 2 2 7 8 8 0 2 0 2 8 3 2 0 7 42 7 5 8 2 8 7 7 7 8 1 7 29 2 4 7 7 17 0 7 7 31 8 2 0 7 12 2 8 33 41 3 7 34 33 34 25 39 41 20 12 21 37 21 26 12 39 17 24 10 23 22 32 21 39 0 11 28 28 41 3 22 10 17 39 10 39 23 30 23 39 24 24 21 29 24 27 39 29 12 24 39 31 23 9 22 23 25 21 4 12 18 12 21 32 26 10 17 22 24 23 22 38 3 29 39 37 23 39 34 37 30 39 29 32 38 23 16 21 22 39 33 26 26 12 37 0 24 23 21 27 34 0 33 29 34 23 29 12 0 28 25 36 11 25 33 27 27 32 29 30 30 9 30 35 29 0 12 41 12 25 14 39 36 36 28 23 31 28 39 25 25 39 34 26 12 11 25 28 25 39 35 35 26 3 32 26 36 26 11 25 2 2 32 25 36 9 12 32 0 40 28 23 30 30 3 33 29 0 0 12 9 12 36 12 12 25 12 12 23 36 30 38 25 12 28 27 12 34 12 0 29 25 34"
