rank,fitness,winrate,genome
1,-0.7154,1.0000,"27 12 26 12 25 16 26 39 16 25 6 27 39 27 24 25 27 27 25 12 27 25 39 27 12 25 25 30 39 26 25 1 27 27 12 25 39 9 32 25 25 7 25 27 27 25 25 7 8 27 8 26 8 39 25 25 26 26 39 0 27 16 27 25 25 25 39 8 10 39 25 18 27 27 27 7 18 27 25 25 27 25 27 26 25 27 25 25 26 27 39 39 10 18 25 35 39 25 27 25 0 0 36 24 9 34 23 2 23 10 12 0 2 23 39 11 12 39 35 34 23 20 29 35 22 16 36 39 12 34 39 8 22 12 2 22 24 30 11 23 24 34 23 23 12 36 11 36 23 22 23 16 36 12 35 34 11 21 21 39 39 31 11 9 39 2 34 4 23 18 24 23 21 3 2 23 29 22 39 14 6 1 23 1 24 0 23 23 41 2 36 12 36 13 34 22 23 41 23 20 23 23 28 8 7 7 7 8 13 7 2 42 36 3 8 2 8 23 12 7 2 1 35 29 2 8 23 23 34 39 19 24 0 23 8 7 8 23 39 42 7 8 8 23 39 24 21 30 7 37 7 24 18 2 28 7 12 7 37 8 1 1 23 12 30 8 14 21 32 16 8 24 24 28 17 24 39 24 7 7 31 23 7 7 41 33 39 22 19 2 8 2 24 23 25 28 8 9 7 12 21 10 2 2 42 28 7 2 4 2 14 2 8 33 7 26 15 12 2 2 5 20 7 2 8 9 21 27 12 26 2 0 35 6 7 2 8 8 7 2 7 39 16 39 20 2 6 2 8 6 8 11 8 9 14 20 15 36 2 7 7 12 34 2 12 20 2 32 4 41 5 12 2 7 40 8 0 2 2 7 12 6 5 8 24 16 7 12 18 2 2 20 32 25 20 35 2 12 6 39 24 39 12 28 21 41 3 39 11 8 25 30 30 23 26 22 2 8 10 26 39 22 39 27 7 12 7 33 29 7 8 8 22 24 25 39 7 27 30 7 39 23 22 24 21 2 2 7 7 0 21 24 2 24 39 8 24 26 24 7 8 0 28 29 28 22 22 22 24 29 28 39 22 12 22 21 3 8 39 21 8 12 8 8 19 39 25 12 2 1 21 29 39 7 23 22 0 7 12 8"
2,-0.7150,1.0000,"27 12 26 12 25 16 26 39 16 25 6 27 39 27 24 25 27 27 25 12 27 25 39 27 12 25 25 30 39 26 25 1 27 27 12 25 39 9 32 25 25 7 25 27 27 25 25 7 8 27 8 26 8 39 25 25 26 26 39 0 27 16 27 25 25 25 39 8 10 39 25 18 27 27 27 7 18 27 25 25 27 25 27 26 25 27 25 25 26 27 39 39 10 18 25 35 39 25 27 25 0 34 36 24 26 36 39 39 35 35 12 0 2 12 39 11 12 35 35 34 23 39 12 35 20 34 39 27 12 34 39 8 34 2 34 22 24 30 11 23 36 34 12 23 12 36 25 36 27 36 23 34 39 35 35 35 25 35 21 19 39 19 25 9 39 39 34 35 23 18 24 25 20 39 2 25 26 22 39 14 35 34 36 34 35 12 19 26 19 2 36 25 27 35 26 22 34 41 39 20 23 23 28 8 20 20 7 29 13 7 2 7 7 12 8 2 8 23 19 19 19 1 35 7 2 8 8 30 34 39 19 8 19 12 8 29 12 8 39 42 29 8 8 8 39 19 8 30 39 12 19 24 7 8 28 19 12 7 7 8 1 20 8 20 7 8 14 39 32 20 39 20 24 20 17 24 39 28 7 7 30 20 12 28 12 20 12 29 7 2 8 20 12 39 25 8 8 28 7 39 21 10 12 36 35 34 7 2 4 2 14 18 35 33 7 26 15 17 36 2 5 34 7 36 17 9 17 18 39 26 17 12 35 6 35 2 8 8 12 18 7 36 18 18 17 2 6 34 2 6 8 36 8 9 18 20 35 36 2 17 18 12 34 36 34 17 2 32 4 41 36 39 2 36 40 8 35 2 2 36 39 6 5 8 36 16 7 17 18 2 2 20 32 35 39 18 2 12 6 39 24 39 12 28 21 41 3 39 11 8 25 30 30 23 26 22 2 8 10 26 39 22 39 27 7 12 7 33 29 7 8 8 22 24 25 39 7 27 30 7 39 23 22 24 21 2 2 7 7 0 21 24 2 24 39 8 24 26 24 7 8 0 28 29 28 22 22 22 24 29 28 39 22 12 22 21 3 8 39 21 8 12 8 8 19 39 25 12 2 1 21 29 39 7 23 22 0 7 12 8"
3,-0.7117,1.0000,"27 12 26 12 25 16 26 39 16 25 6 27 39 27 24 25 27 27 25 12 27 25 39 27 12 25 25 30 39 26 25 1 27 27 12 25 39 9 32 25 25 7 25 27 27 25 25 7 8 27 8 26 8 39 25 25 26 26 39 0 27 16 27 25 25 25 39 8 10 39 25 18 27 27 27 7 18 27 25 25 27 25 27 26 25 27 25 25 26 27 39 39 10 18 25 35 39 25 27 25 0 0 36 24 9 34 23 2 23 10 12 0 2 23 39 11 12 39 35 34 23 20 29 35 22 16 36 39 12 34 39 8 22 12 2 22 24 30 11 23 24 34 23 23 12 36 11 36 23 22 23 16 36 12 35 34 11 21 21 39 39 31 11 9 39 2 34 4 23 18 24 23 21 3 2 23 29 22 39 14 6 1 23 1 24 0 23 23 41 2 36 12 36 13 34 22 23 41 23 20 23 23 28 8 7 7 7 8 13 7 2 42 36 3 8 2 8 23 12 7 2 1 35 29 2 8 23 23 34 39 19 24 0 23 8 7 8 23 39 42 7 8 8 23 39 24 21 30 7 37 7 24 18 2 28 7 12 7 37 8 1 1 23 12 30 8 14 21 32 16 8 24 24 28 17 24 39 24 7 7 31 23 7 7 41 33 39 22 19 2 8 2 24 23 25 28 8 9 7 12 21 10 2 2 42 28 7 2 4 2 14 2 8 33 7 26 15 12 2 2 5 20 7 2 8 9 21 27 12 26 2 0 35 6 7 2 8 8 7 2 7 39 16 39 20 2 6 2 8 6 8 11 8 9 14 20 15 36 2 7 7 12 34 2 12 20 2 32 4 41 5 12 2 7 40 8 0 2 2 7 12 6 5 8 24 16 7 12 18 2 2 20 32 25 20 35 2 12 6 39 24 39 12 28 21 41 3 39 11 8 25 30 30 23 26 22 2 8 10 26 39 22 39 27 7 12 7 33 29 7 8 8 22 24 25 39 7 27 30 7 39 23 22 24 21 2 2 7 7 0 21 24 2 24 39 8 24 26 24 7 8 0 28 29 28 22 22 22 24 29 28 39 22 12 22 21 3 8 39 21 8 12 8 8 19 39 25 12 2 1 21 29 39 7 23 22 0 7 12 8"
4,-0.7033,1.0000,"27 12 26 12 25 16 26 39 16 25 6 39 39 2 24 25 25 27 25 27 27 25 39 27 12 25 25 30 39 26 25 1 27 25 12 25 39 9 32 25 25 7 25 27 26 12 27 25 8 27 8 26 2 39 25 25 27 25 27 0 27 16 27 25 25 25 39 8 10 39 25 18 27 27 2 7 27 5 25 25 27 25 27 26 25 27 25 25 12 27 27 39 10 39 25 27 39 25 27 25 0 34 36 24 26 36 39 39 35 35 12 0 2 12 39 11 12 35 35 34 23 39 12 35 20 34 39 27 12 34 39 8 34 2 34 22 24 30 11 23 36 34 12 23 12 36 25 36 27 36 23 34 39 35 35 35 25 35 21 19 39 19 25 9 39 39 34 35 23 18 24 25 20 39 2 25 26 22 39 14 35 34 36 34 35 12 19 26 19 2 36 25 27 35 26 22 34 41 39 20 23 8 28 39 7 29 39 8 13 8 2 7 7 30 8 2 8 9 2 7 39 29 35 28 2 39 8 28 7 39 19 9 11 30 28 12 8 8 39 30 10 8 2 8 39 9 8 30 39 39 2 24 7 7 8 8 8 7 39 8 1 1 8 30 7 8 14 39 32 8 39 24 10 28 12 8 39 5 7 28 30 8 29 30 2 39 7 39 7 2 7 7 12 10 25 8 7 28 7 10 12 32 2 39 42 28 32 2 4 2 14 32 8 31 7 26 15 32 2 2 5 33 7 32 8 9 21 32 12 3 2 0 35 0 7 2 39 32 7 2 7 31 16 39 20 2 6 2 8 39 39 11 8 9 14 39 15 36 2 7 31 12 12 12 12 20 2 32 4 41 32 32 39 7 40 8 31 2 2 7 12 6 39 8 24 16 12 12 18 2 2 20 32 33 31 35 39 32 33 39 24 26 26 25 25 41 3 39 11 8 25 30 30 23 26 22 12 8 10 26 39 22 39 27 7 12 7 27 29 39 12 8 22 27 25 39 7 27 30 7 39 27 22 27 26 2 2 7 7 0 21 24 2 24 27 8 24 26 24 7 25 0 28 2 12 22 22 27 39 27 27 39 22 27 22 21 3 26 39 21 8 12 8 8 19 39 26 12 2 25 21 29 26 7 23 22 0 27 12 8"
5,-0.6154,0.9111,"27 12 26 12 25 16 26 39 16 25 6 39 39 2 24 25 25 27 25 27 27 25 39 27 12 25 25 30 39 26 25 1 27 25 12 25 39 9 32 25 25 7 25 27 26 12 27 25 8 27 8 26 2 39 25 25 27 25 27 0 27 16 27 25 25 25 39 8 10 39 25 18 27 27 2 7 27 5 25 25 27 25 27 26 25 27 25 25 12 27 27 39 10 39 25 27 39 25 27 25 0 34 36 24 26 36 39 39 35 35 12 0 2 12 39 11 12 35 35 34 23 39 12 35 20 34 39 27 12 34 39 8 34 2 34 22 24 30 11 23 36 34 12 23 12 36 25 36 27 36 23 34 39 35 35 35 25 35 21 19 39 19 25 9 39 39 34 35 23 18 24 25 20 39 2 25 26 22 39 14 35 34 36 34 35 12 19 26 19 2 36 25 27 35 26 22 34 41 39 20 23 23 28 39 7 29 39 9 8 7 2 8 7 30 8 2 8 9 8 29 39 29 35 28 2 39 8 28 34 39 19 9 11 30 28 12 30 7 39 30 10 8 8 8 39 9 8 30 39 39 7 24 7 9 8 7 12 7 39 8 8 1 8 30 39 8 14 39 32 30 7 24 10 28 12 24 39 8 29 28 30 8 29 30 2 39 39 39 7 2 28 8 12 39 25 7 8 28 7 10 21 10 2 2 42 13 7 2 4 2 14 2 8 33 7 26 15 12 2 2 5 20 7 2 8 9 21 27 12 26 2 0 35 6 7 2 8 8 7 2 7 39 16 39 20 2 6 2 8 6 8 11 8 9 14 20 15 38 2 7 7 12 34 2 12 20 2 32 4 41 5 12 2 7 40 8 0 2 2 7 12 6 5 8 24 16 7 12 18 2 2 20 32 25 20 35 2 12 6 39 24 39 12 28 21 41 3 39 11 8 25 30 30 23 26 22 2 8 10 26 39 22 39 27 7 12 7 33 29 7 8 8 22 24 25 39 7 27 30 7 39 23 22 24 21 2 2 7 7 0 21 24 2 24 39 8 24 26 24 7 8 0 28 29 28 22 22 22 24 29 28 39 22 12 22 21 3 8 39 21 8 12 8 8 19 39 25 12 2 1 21 29 39 7 23 22 0 7 12 8"
6,-0.6056,0.9020,"27 12 26 12 25 16 26 39 16 25 6 39 39 2 24 25 25 27 25 27 27 25 39 27 12 25 25 30 39 26 25 1 27 25 12 25 39 9 32 25 25 7 25 27 26 12 27 25 8 27 8 26 2 39 25 25 27 25 27 0 27 16 27 25 25 25 39 8 10 39 25 18 27 27 2 7 27 5 25 25 27 25 27 26 25 27 25 25 12 27 27 39 10 39 25 27 39 25 27 25 0 34 36 24 26 36 39 39 35 35 12 0 2 12 26 26 12 35 35 34 27 39 12 27 20 34 39 27 27 34 39 15 34 2 12 22 24 30 11 39 36 34 12 23 12 36 25 36 27 36 26 34 39 39 35 12 25 27 21 19 39 19 25 9 39 39 34 25 27 18 12 25 20 12 2 25 26 22 39 14 35 12 27 34 35 12 19 25 39 2 12 25 25 35 26 22 34 41 39 20 23 8 28 39 7 29 39 8 13 8 8 7 7 30 8 2 8 9 9 7 39 29 35 28 2 39 8 28 7 39 19 9 11 30 28 12 8 8 39 30 10 8 8 12 39 9 8 30 39 39 7 24 7 7 8 8 8 7 39 8 1 1 8 30 7 8 14 39 32 8 39 24 10 28 12 8 39 28 7 28 30 8 29 30 2 39 7 39 7 2 7 7 12 10 38 8 7 28 7 10 12 32 2 39 42 28 8 2 4 2 14 32 8 7 8 8 15 32 2 2 5 33 7 7 8 9 21 32 12 7 2 0 35 6 7 2 39 32 7 7 8 31 8 39 20 2 6 2 7 39 39 11 8 8 14 39 7 36 2 7 31 12 12 12 12 20 7 32 4 41 32 32 39 7 40 8 31 7 2 7 7 6 39 8 24 16 8 12 18 2 2 20 32 33 31 35 39 32 33 7 24 39 12 28 21 41 3 39 11 8 25 30 30 23 26 22 2 8 10 26 39 22 39 27 7 12 7 33 29 7 8 8 22 24 25 39 7 27 30 7 39 23 22 24 21 2 2 7 7 0 21 24 2 24 39 8 24 26 24 7 8 0 28 29 28 22 22 22 24 29 28 39 22 12 22 21 3 8 39 21 8 12 8 8 19 39 25 12 2 1 21 29 39 7 23 22 0 7 12 8"
7,-0.5957,0.8913,"27 12 26 12 25 16 26 39 16 25 6 39 39 2 24 25 25 27 25 27 27 25 39 27 12 25 25 30 39 26 25 1 27 25 12 25 39 9 32 25 25 7 25 27 26 12 27 25 8 27 8 26 2 39 25 25 27 25 27 0 27 16 27 25 25 25 39 8 10 39 25 18 27 27 2 7 27 5 25 25 27 25 27 26 25 27 25 25 12 27 27 39 10 39 25 27 39 25 27 25 0 34 36 24 26 36 39 39 35 35 12 0 2 12 39 11 12 35 35 34 23 39 12 35 20 34 39 27 12 34 39 8 34 2 34 22 24 30 11 23 36 34 12 23 12 36 25 36 27 36 23 34 39 35 35 35 25 35 21 19 39 19 25 9 39 39 34 35 23 18 24 25 20 39 2 25 26 22 39 14 35 34 36 34 35 12 19 26 19 2 36 25 27 35 26 22 34 41 39 20 7 23 28 8 7 29 39 9 13 9 2 7 7 30 8 2 8 9 9 29 39 29 7 7 2 39 8 8 34 39 19 9 11 30 28 12 30 8 39 7 10 8 8 7 39 9 8 30 39 39 7 24 7 9 28 2 12 7 39 8 1 8 8 30 39 8 14 39 32 8 39 24 10 28 12 24 39 28 29 28 30 8 29 7 2 39 39 39 7 2 28 8 12 10 7 8 8 28 7 10 12 29 2 29 42 28 32 2 30 2 14 39 8 31 7 26 15 32 2 2 5 33 7 32 8 9 21 32 12 39 2 0 35 28 7 2 39 32 12 29 7 31 16 29 12 2 6 2 8 39 39 11 8 9 14 29 15 36 2 7 31 12 12 30 12 20 2 32 4 28 32 32 30 7 40 8 31 2 2 7 12 6 39 8 24 16 12 12 18 2 28 39 32 33 31 30 39 32 33 39 24 39 12 28 21 41 3 39 0 8 25 30 30 23 26 22 2 8 10 26 39 22 39 27 0 12 7 33 29 7 8 8 22 24 25 39 7 27 30 41 39 23 22 24 21 2 2 7 7 0 21 24 2 24 39 8 24 26 24 7 8 0 28 29 28 22 22 22 24 29 28 39 3 12 22 21 3 8 39 21 8 12 8 8 19 39 25 12 2 1 21 29 39 7 23 22 0 7 12 8"
8,-0.5955,0.8913,"27 12 26 12 25 16 26 39 16 25 6 39 39 2 24 25 25 27 25 27 27 25 39 27 12 25 25 30 39 26 25 1 27 25 12 25 39 9 32 25 25 7 25 27 26 12 27 25 8 27 8 26 2 39 25 25 27 25 27 0 27 16 27 25 25 25 39 8 10 39 25 18 27 27 2 7 27 5 25 25 27 25 27 26 25 27 25 25 12 27 27 39 10 39 25 27 39 25 27 25 0 34 36 24 26 36 39 39 35 35 12 0 2 12 39 11 12 35 35 34 23 39 12 35 20 34 39 27 12 34 39 8 34 2 34 22 24 30 11 23 36 34 12 23 12 36 25 36 27 36 23 34 39 35 35 35 25 35 21 19 39 19 25 9 39 39 34 35 23 18 24 25 20 39 2 25 26 22 39 14 35 34 36 34 35 12 19 26 19 2 36 25 27 35 26 22 34 41 39 20 23 8 28 39 7 29 39 8 13 8 8 7 7 30 8 2 8 9 9 7 39 29 35 28 2 39 8 28 7 39 19 9 11 30 28 12 8 8 39 30 10 8 8 8 39 9 8 30 39 39 7 24 7 7 8 8 8 7 39 8 1 1 8 30 7 8 14 39 32 8 39 24 10 28 12 8 39 28 7 28 30 8 29 30 2 39 7 39 7 2 7 7 12 10 25 8 7 28 7 10 10 32 2 39 42 28 32 2 10 2 14 10 8 31 7 26 15 32 2 11 10 33 7 32 8 9 21 32 12 3 10 0 35 0 7 2 39 32 7 2 7 31 16 39 20 11 6 9 8 39 39 39 8 9 14 39 11 36 2 7 31 12 10 12 12 10 2 10 4 41 32 9 39 7 40 8 31 2 2 11 10 6 39 8 10 16 12 12 18 2 2 20 32 33 31 35 39 32 33 39 24 26 26 25 25 41 3 39 11 8 25 30 30 23 26 22 12 8 10 26 39 22 39 27 7 12 7 27 29 39 12 8 22 27 25 39 7 27 30 7 39 27 22 27 26 2 2 7 7 0 21 24 2 24 27 8 24 26 24 7 25 0 28 29 12 22 22 27 39 27 27 39 22 27 22 21 3 26 39 21 8 12 8 8 19 39 26 12 2 25 21 29 26 7 23 22 0 27 12 8"
9,-0.5784,0.8750,"27 12 26 12 25 16 26 39 16 25 6 39 39 2 24 25 25 27 25 27 27 25 39 27 12 25 25 30 39 26 25 1 27 25 12 25 39 9 32 25 25 7 25 27 26 12 27 25 8 27 8 26 2 39 25 25 27 25 27 0 27 16 27 25 25 25 39 8 10 39 25 18 27 27 2 7 27 5 25 25 27 25 27 26 25 27 25 25 12 27 27 39 10 39 25 27 39 25 27 25 0 34 36 24 26 12 39 39 35 35 12 0 2 12 39 11 12 35 35 34 23 39 12 35 20 34 39 27 12 34 39 8 34 2 15 22 24 30 11 23 36 34 12 23 12 36 25 36 27 36 23 34 39 35 35 35 25 35 21 19 39 19 25 9 39 39 34 35 23 18 24 25 20 12 2 25 26 22 39 14 12 34 36 34 35 12 19 26 19 2 36 25 27 35 26 22 34 41 39 20 23 8 28 39 7 29 39 8 13 8 8 7 7 30 8 2 8 9 9 7 39 29 35 28 2 39 8 28 7 39 19 9 11 30 28 12 8 8 39 30 10 8 8 12 39 9 8 30 39 39 7 24 7 7 8 8 8 7 39 8 1 1 8 30 7 8 14 39 32 8 39 24 10 28 12 8 39 28 7 28 30 8 29 30 2 39 7 39 7 2 7 7 12 10 25 8 7 28 7 10 12 32 2 39 42 28 32 2 4 2 14 32 8 31 7 26 15 32 2 2 5 33 7 32 8 9 21 32 12 3 2 0 35 6 7 2 39 32 7 2 7 31 16 39 20 2 6 2 8 39 39 11 8 9 14 39 15 36 2 7 31 12 12 12 12 20 2 32 4 41 32 32 39 7 40 8 31 2 2 7 12 6 39 8 24 16 12 12 18 2 2 20 32 33 31 35 39 32 33 39 24 39 12 28 21 41 3 39 0 8 25 30 30 23 26 22 2 8 10 26 39 22 39 27 0 12 7 33 29 7 8 8 22 24 25 39 7 27 30 41 39 23 22 24 21 2 2 7 7 0 21 24 2 24 39 8 24 26 24 7 8 0 28 29 28 22 22 22 24 29 28 39 3 12 22 21 3 8 39 21 8 12 8 8 19 39 25 12 2 1 21 29 39 7 23 22 0 7 12 8"
10,-0.5551,0.8511,"27 12 26 12 25 16 26 39 16 25 6 39 39 2 24 25 25 27 25 27 27 25 39 27 12 25 25 30 39 26 25 1 27 25 12 25 39 9 32 25 25 7 25 27 26 12 27 25 8 27 8 26 2 39 25 25 27 25 27 0 27 16 27 25 25 25 39 8 10 39 25 18 27 27 2 7 27 5 25 25 27 25 27 26 25 27 25 25 12 27 27 39 10 39 25 27 39 25 27 25 0 34 36 24 26 36 39 39 35 35 12 0 2 12 39 11 12 35 35 34 12 39 12 35 20 34 39 27 12 34 39 15 34 2 34 22 24 30 11 23 36 34 12 23 12 36 25 36 27 36 23 34 39 12 35 12 25 35 21 19 39 19 25 9 39 39 34 35 23 18 12 25 20 39 2 25 26 22 39 14 35 12 36 34 35 12 19 26 19 2 36 25 27 35 26 22 34 41 39 20 7 23 28 8 7 29 39 9 13 9 2 7 7 30 8 2 8 9 9 29 39 29 7 7 2 39 8 8 34 39 19 9 11 30 28 12 30 8 39 7 10 8 8 7 39 9 8 30 39 39 7 24 7 9 28 2 12 7 39 8 1 8 8 30 39 8 14 39 32 8 39 24 10 28 12 24 39 28 29 28 30 8 29 7 2 39 39 39 7 2 28 8 12 10 7 8 8 28 7 10 12 32 2 39 42 28 8 2 4 2 14 32 8 7 8 8 15 32 2 2 5 33 7 7 8 9 21 32 12 7 2 0 35 6 7 2 39 32 7 7 8 31 8 39 20 2 6 2 7 39 39 11 8 8 14 39 7 36 2 7 31 12 12 12 12 20 7 32 4 41 32 32 39 7 40 8 31 7 2 7 7 6 39 8 24 16 8 12 18 2 2 20 32 33 31 35 39 32 33 7 24 39 12 28 21 41 3 39 11 8 25 30 30 23 26 22 2 8 10 26 39 22 39 27 7 12 7 33 29 7 8 8 22 24 25 39 7 27 30 7 39 23 22 24 21 2 2 7 7 0 21 24 2 24 39 8 24 26 24 7 8 0 28 29 28 22 22 22 24 29 28 39 22 12 22 21 3 8 39 21 8 12 8 8 19 39 25 12 2 1 21 29 39 7 23 22 0 7 12 8"
