configuracion,fitness_promedio,fitness_std,winrate_promedio,winrate_std,n_seeds
"pop=100,p0=0.002,cross=0.25,inst=BALANCED",0.7053,0.0,1.0,0.0,1
"pop=100,p0=0.002,cross=0.25,inst=EXPONENTIAL",0.7187,0.0,1.0,0.0,1
"pop=100,p0=0.002,cross=0.25,inst=PIECEWISE",0.7038,0.0,1.0,0.0,1
"pop=100,p0=0.002,cross=0.50,inst=EXPONENTIAL",0.7103,0.0,1.0,0.0,1
"pop=100,p0=0.002,cross=0.50,inst=PIECEWISE",0.7079,0.0,1.0,0.0,1
"pop=100,p0=0.020,cross=0.25,inst=BALANCED",0.6997,0.0,0.9535,0.0,1
"pop=100,p0=0.020,cross=0.25,inst=EXPONENTIAL",0.7259,0.0,0.9796,0.0,1
"pop=100,p0=0.020,cross=0.25,inst=PIECEWISE",0.7308,0.0,0.9787,0.0,1
"pop=100,p0=0.050,cross=0.25,inst=BALANCED",0.7089,0.0,1.0,0.0,1
"pop=100,p0=0.050,cross=0.25,inst=EXPONENTIAL",0.7277,0.0,0.9756,0.0,1
"pop=100,p0=0.050,cross=0.25,inst=PIECEWISE",0.7395,0.0,0.9762,0.0,1
"pop=50,p0=0.002,cross=0.25,inst=BALANCED",0.6944,0.0,0.9773,0.0,1
"pop=50,p0=0.002,cross=0.25,inst=EXPONENTIAL",0.7108,0.0,1.0,0.0,1
"pop=50,p0=0.002,cross=0.25,inst=PIECEWISE",0.7036,0.0,1.0,0.0,1
"pop=50,p0=0.002,cross=0.50,inst=BALANCED",0.7079,0.0,1.0,0.0,1
"pop=50,p0=0.002,cross=0.50,inst=EXPONENTIAL",0.7114,0.0,1.0,0.0,1
"pop=50,p0=0.002,cross=0.50,inst=PIECEWISE",0.7089,0.0,1.0,0.0,1
"pop=50,p0=0.002,cross=0.75,inst=BALANCED",0.7082,0.0,1.0,0.0,1
"pop=50,p0=0.002,cross=0.75,inst=EXPONENTIAL",0.7076,0.0,1.0,0.0,1
"pop=50,p0=0.002,cross=0.75,inst=PIECEWISE",0.7063,0.0,1.0,0.0,1
"pop=50,p0=0.020,cross=0.25,inst=BALANCED",0.6865,0.0,0.9796,0.0,1
"pop=50,p0=0.020,cross=0.25,inst=EXPONENTIAL",0.7124,0.0,0.9762,0.0,1
"pop=50,p0=0.020,cross=0.25,inst=PIECEWISE",0.7105,0.0,1.0,0.0,1
"pop=50,p0=0.020,cross=0.50,inst=BALANCED",0.7134,0.0,1.0,0.0,1
"pop=50,p0=0.020,cross=0.50,inst=EXPONENTIAL",0.719,0.0,0.9796,0.0,1
"pop=50,p0=0.020,cross=0.50,inst=PIECEWISE",0.7063,0.0,1.0,0.0,1
"pop=50,p0=0.020,cross=0.75,inst=BALANCED",0.7007,0.0,0.9574,0.0,1
"pop=50,p0=0.020,cross=0.75,inst=EXPONENTIAL",0.7391,0.0,0.9773,0.0,1
"pop=50,p0=0.020,cross=0.75,inst=PIECEWISE",0.7073,0.0,1.0,0.0,1
"pop=50,p0=0.050,cross=0.25,inst=BALANCED",0.6867,0.0,0.9787,0.0,1
"pop=50,p0=0.050,cross=0.25,inst=EXPONENTIAL",0.7221,0.0,0.9756,0.0,1
"pop=50,p0=0.050,cross=0.25,inst=PIECEWISE",0.7254,0.0,0.9762,0.0,1
"pop=50,p0=0.050,cross=0.50,inst=BALANCED",0.7073,0.0,1.0,0.0,1
"pop=50,p0=0.050,cross=0.50,inst=EXPONENTIAL",0.7318,0.0,0.9773,0.0,1
"pop=50,p0=0.050,cross=0.50,inst=PIECEWISE",0.708,0.0,0.9783,0.0,1
"pop=50,p0=0.050,cross=0.75,inst=BALANCED",0.7045,0.0,1.0,0.0,1
"pop=50,p0=0.050,cross=0.75,inst=EXPONENTIAL",0.7256,0.0,1.0,0.0,1
"pop=50,p0=0.050,cross=0.75,inst=PIECEWISE",0.7244,0.0,0.9792,0.0,1
